* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -38.4 dBFS, measurement signal peak level -5.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 2:17:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.6158 ms (-2.612 m, -(8 ft 6.8 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: p2_device_102hz-hard
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 71.945 -59.8631
15.250248 72.063 -61.6373
15.360758 72.206 -63.4122
15.472068 72.354 -65.1936
15.584185 72.507 -66.9817
15.697114 72.662 -68.7765
15.810862 72.816 -70.5857
15.925434 72.967 -72.4133
16.040836 73.116 -74.2560
16.157075 73.259 -76.1112
16.274156 73.397 -77.9892
16.392085 73.528 -79.8787
16.510869 73.649 -81.7537
16.630513 73.760 -83.6339
16.751025 73.861 -85.4913
16.872410 73.952 -87.2785
16.994674 74.030 -89.0213
17.117825 74.102 -90.6774
17.241867 74.168 -92.2017
17.366809 74.231 -93.6140
17.492656 74.300 -94.8986
17.619415 74.379 -96.0287
17.747093 74.474 -97.0382
17.875695 74.594 -97.9934
18.005230 74.743 -98.8593
18.135703 74.920 -99.7543
18.267122 75.128 -100.7642
18.399493 75.364 -101.8615
18.532824 75.616 -103.1922
18.667120 75.880 -104.7515
18.802390 76.143 -106.5335
18.938640 76.391 -108.5820
19.075877 76.621 -110.8617
19.214108 76.817 -113.2745
19.353342 76.975 -115.8715
19.493584 77.090 -118.5050
19.634843 77.157 -121.0972
19.777125 77.179 -123.6559
19.920438 77.159 -125.9608
20.064790 77.101 -128.0542
20.210187 77.024 -129.8035
20.356639 76.936 -131.1328
20.504151 76.860 -132.0902
20.652733 76.822 -132.6510
20.802391 76.832 -132.8896
20.953134 76.910 -133.0395
21.104969 77.058 -133.1077
21.257904 77.263 -133.4194
21.411948 77.521 -133.9780
21.567108 77.801 -134.9046
21.723392 78.088 -136.2301
21.880808 78.362 -137.8574
22.039366 78.608 -139.7859
22.199072 78.821 -141.8822
22.359936 78.995 -144.0621
22.521965 79.133 -146.2702
22.685168 79.242 -148.3817
22.849554 79.327 -150.4074
23.015132 79.402 -152.2713
23.181909 79.472 -154.0047
23.349895 79.548 -155.6220
23.519098 79.632 -157.1449
23.689527 79.726 -158.6348
23.861191 79.829 -160.0908
24.034099 79.939 -161.5456
24.208260 80.055 -162.9823
24.383683 80.176 -164.3830
24.560377 80.309 -165.7506
24.738352 80.461 -167.0623
24.917616 80.640 -168.3968
25.098179 80.853 -169.7706
25.280051 81.100 -171.3557
25.463241 81.379 -173.1880
25.647758 81.672 -175.4405
25.833612 81.968 -178.1139
26.020813 82.237 178.7385
26.209371 82.466 175.1691
26.399294 82.631 171.2530
26.590595 82.723 167.1057
26.783281 82.731 162.8235
26.977364 82.655 158.6101
27.172853 82.498 154.5229
27.369758 82.273 150.7822
27.568091 81.997 147.4081
27.767861 81.696 144.5082
27.969078 81.392 141.9838
28.171754 81.107 139.8090
28.375898 80.848 137.6973
28.581521 80.609 135.5704
28.788635 80.366 133.1924
28.997249 80.086 130.6099
29.207375 79.740 127.8003
29.419024 79.292 125.0516
29.632206 78.729 122.5641
29.846933 78.045 120.7300
30.063216 77.269 119.9751
30.281067 76.450 120.6563
30.500496 75.679 123.0464
30.721515 75.067 126.8075
30.944136 74.676 131.4045
31.168370 74.515 135.7598
31.394229 74.499 139.3900
31.621724 74.551 142.1724
31.850868 74.594 144.4692
32.081673 74.621 146.7919
32.314150 74.656 149.4339
32.548312 74.753 152.6124
32.784170 74.966 156.0956
33.021738 75.312 159.5205
33.261027 75.783 162.4843
33.502050 76.335 164.7133
33.744819 76.930 166.1971
33.989348 77.541 167.0011
34.235649 78.152 167.2417
34.483735 78.756 166.9820
34.733618 79.347 166.2519
34.985312 79.917 165.0755
35.238830 80.454 163.4706
35.494185 80.948 161.5163
35.751391 81.392 159.3169
36.010460 81.785 156.9783
36.271407 82.134 154.6158
36.534244 82.454 152.2984
36.798987 82.755 150.0253
37.065647 83.047 147.7639
37.334240 83.332 145.4565
37.604779 83.606 143.0489
37.877279 83.861 140.5526
38.151754 84.093 138.0282
38.428217 84.304 135.5538
38.706684 84.505 133.1992
38.987168 84.716 130.9805
39.269685 84.951 128.8055
39.554250 85.216 126.5229
39.840876 85.501 123.9999
40.129579 85.791 121.1752
40.420375 86.069 118.0788
40.713278 86.330 114.8151
41.008303 86.587 111.4894
41.305466 86.864 108.0807
41.604782 87.181 104.3844
41.906268 87.538 100.0685
42.209938 87.903 94.8014
42.515808 88.225 88.3714
42.823895 88.440 80.7330
43.134215 88.491 71.9807
43.446783 88.328 62.2915
43.761617 87.909 51.8676
44.078731 87.197 40.8881
44.398144 86.154 29.4638
44.719871 84.729 17.5583
45.043930 82.857 4.8082
45.370337 80.474 -10.0815
45.699109 77.708 -32.3904
46.030264 75.801 -90.4498
46.363818 76.619 -162.1699
46.699789 78.977 172.8503
47.038195 81.296 159.3939
47.379053 83.228 149.5173
47.722381 84.832 141.2283
48.068197 86.195 133.7388
48.416519 87.378 126.6524
48.767365 88.420 119.7765
49.120754 89.350 113.0450
49.476703 90.199 106.4430
49.835232 90.995 99.9336
50.196358 91.762 93.4183
50.560102 92.511 86.7584
50.926481 93.245 79.8390
51.295515 93.961 72.6143
51.667224 94.667 65.0787
52.041626 95.373 57.1746
52.418741 96.090 48.7153
52.798589 96.804 39.4081
53.181189 97.475 28.9903
53.566562 98.041 17.3642
53.954727 98.440 4.6450
54.345706 98.617 -8.8487
54.739517 98.540 -22.6501
55.136182 98.200 -36.2013
55.535722 97.615 -48.9147
55.938156 96.840 -60.2695
56.343507 95.962 -69.9072
56.751796 95.091 -77.8610
57.163042 94.312 -84.5921
57.577269 93.657 -90.6683
57.994498 93.121 -96.3957
58.414750 92.698 -101.8484
58.838047 92.404 -107.1563
59.264412 92.247 -112.7160
59.693867 92.192 -118.9940
60.126433 92.168 -126.2369
60.562134 92.099 -134.3331
61.000992 91.933 -142.9733
61.443030 91.640 -151.7925
61.888272 91.210 -160.3894
62.336740 90.652 -168.3545
62.788457 89.997 -175.2935
63.243449 89.307 179.0557
63.701737 88.653 174.6604
64.163346 88.094 171.2148
64.628300 87.659 168.3132
65.096623 87.352 165.6464
65.568340 87.165 162.8748
66.043475 87.065 159.6056
66.522053 86.985 155.6290
67.004100 86.857 151.1304
67.489639 86.644 146.5846
67.978697 86.356 142.5226
68.471298 86.039 139.2446
68.967470 85.747 136.7451
69.467236 85.523 134.7977
69.970625 85.387 133.0787
70.477661 85.332 131.2520
70.988371 85.324 129.0908
71.502782 85.325 126.6104
72.020920 85.313 124.1223
72.542814 85.309 121.9934
73.068489 85.357 120.1755
73.597973 85.469 118.0542
74.131294 85.571 115.0359
74.668480 85.569 111.4587
75.209559 85.447 108.6620
75.754558 85.348 108.0071
76.303507 85.502 109.3049
76.856434 86.002 110.1311
77.413367 86.695 108.5107
77.974336 87.373 104.5173
78.539371 87.936 99.2130
79.108499 88.376 93.3542
79.681752 88.716 87.2311
80.259159 88.977 80.9458
80.840750 89.181 74.6000
81.426555 89.354 68.1561
82.016606 89.505 61.3169
82.610932 89.606 53.7874
83.209565 89.614 45.6158
83.812535 89.508 37.0859
84.419876 89.294 28.3622
85.031617 88.973 19.3365
85.647791 88.521 9.9199
86.268430 87.906 0.2825
86.893567 87.113 -9.2954
87.523233 86.137 -18.6952
88.157463 84.956 -27.9359
88.796288 83.517 -36.8027
89.439743 81.750 -44.3854
90.087860 79.654 -48.2545
90.740674 77.551 -42.7952
91.398218 76.481 -25.6885
92.060527 77.019 -16.7645
92.727636 78.037 -23.4376
93.399578 78.564 -38.3263
94.076390 78.347 -56.4900
94.758106 77.458 -75.3978
95.444763 76.132 -94.3033
96.136395 74.735 -114.5980
96.833039 73.675 -138.6527
97.534731 73.282 -166.3923
98.241508 73.689 165.9341
98.953406 74.747 141.7170
99.670463 76.131 120.9550
100.392717 77.528 101.8295
101.120204 78.700 82.7316
101.852962 79.475 63.1417
102.591031 79.767 43.6344
103.334448 79.585 25.2623
104.083252 79.021 8.7761
104.837482 78.187 -5.8152
105.597178 77.164 -19.0258
106.362378 75.975 -31.3740
107.133124 74.607 -43.3132
107.909455 72.994 -55.1560
108.691411 71.026 -66.6167
109.479034 68.577 -76.3414
110.272364 65.583 -80.5214
111.071443 62.333 -67.6177
111.876313 60.184 -28.6509
112.687014 60.398 -8.4347
113.503591 61.672 -6.3586
114.326085 62.819 -10.7952
115.154539 63.585 -18.1162
115.988996 63.983 -26.7720
116.829500 64.090 -35.8219
117.676095 63.996 -44.7932
118.528824 63.783 -53.6740
119.387733 63.504 -62.6123
120.252866 63.189 -71.5552
121.124268 62.868 -80.3562
122.001984 62.567 -88.9343
122.886061 62.304 -97.1482
123.776544 62.097 -104.7688
124.673480 61.963 -111.6870
125.576915 61.916 -117.7297
126.486897 62.023 -122.0359
127.403473 62.437 -124.1268
128.326691 63.256 -125.5038
129.256599 64.392 -128.1255
130.193246 65.668 -132.8246
131.136680 66.949 -139.2495
132.086950 68.174 -146.8185
133.044107 69.311 -155.5077
134.008199 70.329 -165.1819
134.979278 71.229 -175.3586
135.957393 72.030 173.9707
136.942597 72.694 162.1028
137.934939 73.134 148.8844
138.934473 73.306 135.2616
139.941249 73.246 121.9631
140.955321 73.003 108.8363
141.976742 72.595 95.4399
143.005564 72.001 81.3209
144.041841 71.181 66.3601
145.085627 70.135 50.8201
146.136978 68.955 34.3525
147.195946 67.816 15.3002
148.262589 66.963 -8.2303
149.336961 66.703 -36.3839
150.419118 67.193 -66.4487
151.509117 68.197 -94.5471
152.607014 69.311 -118.9055
153.712868 70.262 -139.5962
154.826735 70.972 -156.7131
155.948673 71.519 -169.9922
157.078741 72.036 179.7278
158.216999 72.564 170.5532
159.363504 73.072 161.8286
160.518318 73.508 152.8892
161.681500 73.775 143.0669
162.853110 73.807 133.4697
164.033211 73.715 126.5420
165.221864 73.721 121.9805
166.419129 73.818 115.3286
167.625071 73.747 105.9019
168.839751 73.345 96.3762
170.063234 72.639 88.8379
171.295582 71.777 84.3960
172.536860 70.912 81.7024
173.787134 70.064 79.2361
175.046467 69.137 76.5830
176.314926 68.018 74.6816
177.592576 66.784 76.8416
178.879485 66.109 91.7471
180.175720 67.048 120.5613
181.481347 69.154 132.0833
182.796436 71.245 128.4194
184.121054 72.866 118.9844
185.455271 73.950 107.0608
186.799157 74.502 93.9565
188.152780 74.545 80.9480
189.516213 74.151 69.7173
190.889526 73.483 61.8521
192.272790 72.745 56.7842
193.666078 72.013 51.7722
195.069462 71.221 47.0039
196.483016 70.389 44.6428
197.906813 69.639 44.1096
199.340927 69.032 43.1282
200.785433 68.614 42.9788
202.240407 68.596 45.7847
203.705925 68.928 42.6008
205.182062 68.953 27.2314
206.668896 68.047 4.8550
208.166504 65.978 -19.8462
209.674964 63.116 -45.6189
211.194355 61.165 116.4946
212.724757 61.211 96.1086
214.266248 61.912 85.0073
215.818909 63.327 96.4106
217.382822 65.658 113.4575
218.958068 67.789 104.2100
220.544728 68.879 82.3547
222.142886 68.681 58.0676
223.752625 67.245 37.7227
225.374029 64.987 31.4385
227.007182 63.440 75.8931
228.652170 64.186 100.4534
230.309077 65.824 93.8018
231.977992 67.129 82.3599
233.659000 67.851 67.8308
235.352190 67.820 49.3225
237.057649 66.937 31.6909
238.775466 65.417 19.7419
240.505731 63.470 3.7695
242.248535 60.825 -18.7173
244.003968 57.443 -45.3040
245.772121 54.916 142.8591
247.553087 55.229 126.2646
249.346959 56.268 111.0217
251.153830 56.265 92.9739
252.973794 55.304 89.8477
254.806946 55.079 133.0847
256.653383 57.106 166.1262
258.513199 60.231 -174.2717
260.386492 63.134 -177.5417
262.273360 65.490 172.0515
264.173901 67.421 162.5938
266.088214 68.931 150.5232
268.016399 69.824 133.7441
269.958556 70.026 116.7815
