* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -38.6 dBFS, measurement signal peak level -5.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 2:09:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -2.9054 ms (-997 mm, -(3 ft 3.23 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: p2_device_84hz
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 72.042 -60.8160
15.250248 72.155 -62.6652
15.360758 72.293 -64.5091
15.472068 72.435 -66.3465
15.584185 72.581 -68.1754
15.697114 72.728 -69.9991
15.810862 72.875 -71.8260
15.925434 73.019 -73.6584
16.040836 73.161 -75.4953
16.157075 73.299 -77.3408
16.274156 73.433 -79.2044
16.392085 73.561 -81.0759
16.510869 73.681 -82.9363
16.630513 73.791 -84.8049
16.751025 73.891 -86.6530
16.872410 73.981 -88.4349
16.994674 74.059 -90.1775
17.117825 74.128 -91.8338
17.241867 74.192 -93.3556
17.366809 74.251 -94.7643
17.492656 74.317 -96.0371
17.619415 74.392 -97.1441
17.747093 74.484 -98.1212
17.875695 74.602 -99.0342
18.005230 74.752 -99.8462
18.135703 74.932 -100.6864
18.267122 75.147 -101.6468
18.399493 75.393 -102.6994
18.532824 75.656 -104.0073
18.667120 75.934 -105.5631
18.802390 76.212 -107.3635
18.938640 76.475 -109.4590
19.075877 76.718 -111.8082
19.214108 76.926 -114.3100
19.353342 77.092 -117.0195
19.493584 77.214 -119.7782
19.634843 77.283 -122.5061
19.777125 77.302 -125.2120
19.920438 77.275 -127.6566
20.064790 77.205 -129.8897
20.210187 77.111 -131.7572
20.356639 77.000 -133.1755
20.504151 76.900 -134.1846
20.652733 76.836 -134.7427
20.802391 76.821 -134.9267
20.953134 76.881 -134.9804
21.104969 77.018 -134.9153
21.257904 77.220 -135.0967
21.411948 77.482 -135.5319
21.567108 77.771 -136.3684
21.723392 78.070 -137.6411
21.880808 78.357 -139.2490
22.039366 78.614 -141.1938
22.199072 78.835 -143.3272
22.359936 79.014 -145.5596
22.521965 79.153 -147.8260
22.685168 79.258 -149.9869
22.849554 79.337 -152.0512
23.015132 79.404 -153.9267
23.181909 79.465 -155.6473
23.349895 79.533 -157.2221
23.519098 79.612 -158.6792
23.689527 79.706 -160.0911
23.861191 79.814 -161.4641
24.034099 79.932 -162.8504
24.208260 80.060 -164.2363
24.383683 80.195 -165.6184
24.560377 80.342 -166.9953
24.738352 80.505 -168.3470
24.917616 80.692 -169.7383
25.098179 80.910 -171.1791
25.280051 81.157 -172.8231
25.463241 81.434 -174.6997
25.647758 81.724 -176.9738
25.833612 82.016 -179.6464
26.020813 82.284 177.2218
26.209371 82.514 173.6791
26.399294 82.685 169.7871
26.590595 82.785 165.6563
26.783281 82.804 161.3730
26.977364 82.740 157.1348
27.172853 82.596 152.9926
27.369758 82.384 149.1660
27.568091 82.116 145.6736
27.767861 81.818 142.6336
27.969078 81.512 139.9619
28.171754 81.217 137.6498
28.375898 80.944 135.4355
28.581521 80.688 133.2476
28.788635 80.429 130.8532
28.997249 80.138 128.2806
29.207375 79.784 125.4976
29.419024 79.335 122.7615
29.632206 78.774 120.2651
29.846933 78.092 118.3800
30.063216 77.316 117.5363
30.281067 76.491 118.0970
30.500496 75.703 120.3798
30.721515 75.067 124.1042
30.944136 74.651 128.7717
31.168370 74.478 133.2759
31.394229 74.464 137.0458
31.621724 74.529 139.9001
31.850868 74.588 142.1605
32.081673 74.626 144.3552
32.314150 74.659 146.8085
32.548312 74.738 149.8008
32.784170 74.922 153.1752
33.021738 75.235 156.6019
33.261027 75.679 159.6755
33.502050 76.214 162.0717
33.744819 76.804 163.7336
33.989348 77.420 164.6963
34.235649 78.042 165.0598
34.483735 78.661 164.8809
34.733618 79.269 164.1865
34.985312 79.858 163.0002
35.238830 80.412 161.3386
35.494185 80.917 159.2878
35.751391 81.367 156.9673
36.010460 81.759 154.4999
36.271407 82.101 152.0267
36.534244 82.408 149.6434
36.798987 82.696 147.3606
37.065647 82.978 145.1436
37.334240 83.260 142.9178
37.604779 83.540 140.5942
37.877279 83.807 138.1528
38.151754 84.053 135.6406
38.428217 84.277 133.1371
38.706684 84.488 130.7291
38.987168 84.703 128.4618
39.269685 84.940 126.2681
39.554250 85.207 124.0007
39.840876 85.499 121.5133
40.129579 85.798 118.7225
40.420375 86.089 115.6401
40.713278 86.362 112.3645
41.008303 86.629 109.0117
41.305466 86.912 105.5801
41.604782 87.235 101.8770
41.906268 87.597 97.5662
42.209938 87.970 92.2992
42.515808 88.299 85.8471
42.823895 88.520 78.1566
43.134215 88.571 69.3270
43.446783 88.399 59.5504
43.761617 87.962 49.0528
44.078731 87.221 38.0435
44.398144 86.138 26.6694
44.719871 84.664 14.9372
45.043930 82.731 2.5384
45.370337 80.272 -11.7333
45.699109 77.412 -33.0835
46.030264 75.474 -94.2599
46.363818 76.409 -168.7286
46.699789 78.870 168.1243
47.038195 81.236 155.4608
47.379053 83.190 145.9317
47.722381 84.802 137.7858
48.068197 86.165 130.3563
48.416519 87.345 123.3126
48.767365 88.387 116.4828
49.120754 89.324 109.7881
49.476703 90.185 103.1868
49.835232 90.994 96.6218
50.196358 91.770 89.9996
50.560102 92.523 83.2141
50.926481 93.254 76.1976
51.295515 93.967 68.9417
51.667224 94.674 61.4477
52.041626 95.394 53.6274
52.418741 96.135 45.2393
52.798589 96.879 35.9449
53.181189 97.577 25.4724
53.566562 98.164 13.7496
53.954727 98.573 0.9307
54.345706 98.752 -12.6324
54.739517 98.673 -26.4535
55.136182 98.330 -39.9711
55.535722 97.747 -52.6120
55.938156 96.981 -63.8870
56.343507 96.119 -73.4874
56.751796 95.265 -81.4916
57.163042 94.496 -88.3577
57.577269 93.837 -94.5926
57.994498 93.282 -100.4260
58.414750 92.835 -105.8766
58.838047 92.521 -111.0612
59.264412 92.359 -116.4136
59.693867 92.321 -122.4733
60.126433 92.331 -129.5601
60.562134 92.306 -137.5967
61.000992 92.185 -146.2617
61.443030 91.937 -155.1538
61.888272 91.552 -163.8406
62.336740 91.040 -171.9219
62.788457 90.435 -179.0540
63.243449 89.787 174.9861
63.701737 89.158 170.2103
64.163346 88.603 166.4417
64.628300 88.159 163.3715
65.096623 87.848 160.6519
65.568340 87.664 157.8418
66.043475 87.566 154.5326
66.522053 87.492 150.5901
67.004100 87.381 146.2457
67.489639 87.211 141.9070
67.978697 86.993 137.9436
68.471298 86.760 134.5315
68.967470 86.547 131.7107
69.467236 86.393 129.4496
69.970625 86.334 127.5437
70.477661 86.379 125.5186
70.988371 86.490 122.8835
71.502782 86.596 119.5745
72.020920 86.655 116.0986
72.542814 86.690 113.0872
73.068489 86.773 110.6050
73.597973 86.931 107.9487
74.131294 87.098 104.4053
74.668480 87.182 100.3042
75.209559 87.178 96.9563
75.754558 87.240 95.4624
76.303507 87.567 95.2744
76.856434 88.197 94.1357
77.413367 88.976 90.6328
77.974336 89.735 84.9900
78.539371 90.401 77.9883
79.108499 90.965 70.1139
79.681752 91.438 61.6194
80.259159 91.847 52.6766
80.840750 92.230 43.1973
81.426555 92.599 32.6794
82.016606 92.903 20.4475
82.610932 93.040 6.2102
83.209565 92.904 -9.8044
83.812535 92.419 -27.1022
84.419876 91.535 -45.1151
85.031617 90.223 -63.2771
85.647791 88.463 -81.0532
86.268430 86.236 -97.8545
86.893567 83.531 -112.9934
87.523233 80.337 -125.6146
88.157463 76.638 -134.3000
88.796288 72.435 -135.7618
89.439743 67.834 -122.9066
90.087860 63.302 -93.0741
90.740674 60.139 -56.8051
91.398218 60.042 -17.6050
92.060527 61.957 -2.3230
92.727636 63.803 -6.4165
93.399578 64.848 -18.6709
94.076390 65.007 -34.0134
94.758106 64.412 -49.8699
95.444763 63.353 -65.5494
96.136395 62.261 -82.9341
96.833039 61.608 -104.9803
97.534731 61.702 -131.2023
98.241508 62.520 -156.6393
98.953406 63.757 -177.4436
99.670463 65.102 166.6205
100.392717 66.409 154.5604
101.120204 67.665 145.3696
101.852962 68.905 137.9944
102.591031 70.159 131.5630
103.334448 71.450 125.4338
104.083252 72.769 118.7649
104.837482 74.046 110.6270
105.597178 75.180 100.6688
106.362378 76.091 89.2052
107.133124 76.738 76.7555
107.909455 77.100 63.7770
108.691411 77.172 50.7394
109.479034 76.968 38.2684
110.272364 76.549 27.0211
111.071443 76.012 17.1689
111.876313 75.441 8.2443
112.687014 74.874 -0.2528
113.503591 74.323 -8.6375
114.326085 73.781 -17.3971
115.154539 73.198 -26.8033
115.988996 72.531 -36.5251
116.829500 71.779 -46.1035
117.676095 70.980 -55.3533
118.528824 70.177 -64.3762
119.387733 69.400 -73.3640
120.252866 68.662 -82.3099
121.124268 67.979 -91.1669
122.001984 67.359 -99.9473
122.886061 66.799 -108.4277
123.776544 66.314 -116.2485
124.673480 65.924 -123.3054
125.576915 65.645 -129.4575
126.486897 65.541 -133.8102
127.403473 65.762 -136.0515
128.326691 66.390 -137.8611
129.256599 67.335 -140.8820
130.193246 68.437 -145.7300
131.136680 69.570 -152.1077
132.086950 70.682 -159.4712
133.044107 71.735 -167.9589
134.008199 72.682 -177.5624
134.979278 73.515 172.2911
135.957393 74.249 161.6412
136.942597 74.843 149.7196
137.934939 75.206 136.4705
138.934473 75.302 122.9512
139.941249 75.180 109.8455
140.955321 74.897 96.8973
141.976742 74.468 83.5502
143.005564 73.859 69.2939
144.041841 73.019 54.1222
145.085627 71.941 38.4231
146.136978 70.718 21.8324
147.195946 69.519 2.5741
148.262589 68.575 -21.2791
149.336961 68.212 -49.8303
150.419118 68.634 -80.3728
151.509117 69.606 -108.8965
152.607014 70.694 -133.5437
153.712868 71.615 -154.4209
154.826735 72.291 -171.5991
155.948673 72.808 175.1379
157.078741 73.295 164.8203
158.216999 73.787 155.5435
159.363504 74.253 146.8081
160.518318 74.651 137.9648
161.681500 74.884 128.2378
162.853110 74.887 118.7554
164.033211 74.770 111.9553
165.221864 74.752 107.3899
166.419129 74.816 100.6360
167.625071 74.706 91.2537
168.839751 74.275 81.9917
170.063234 73.563 74.8257
171.295582 72.722 70.6836
172.536860 71.896 67.9780
173.787134 71.078 65.2461
175.046467 70.163 62.3594
176.314926 69.047 60.3806
177.592576 67.813 62.2847
178.879485 67.132 76.6360
180.175720 68.080 106.1526
181.481347 70.209 117.7080
182.796436 72.302 113.3542
184.121054 73.900 103.3123
185.455271 74.945 90.9292
186.799157 75.448 77.5271
188.152780 75.442 64.4788
189.516213 75.015 53.4817
190.889526 74.342 45.8567
192.272790 73.612 40.5901
193.666078 72.863 35.0461
195.069462 72.017 30.0005
196.483016 71.121 27.9917
197.906813 70.341 28.1313
199.340927 69.751 27.5815
200.785433 69.375 27.4355
202.240407 69.385 29.9468
203.705925 69.722 26.7168
205.182062 69.749 11.6377
206.668896 68.848 -10.1516
208.166504 66.781 -33.2173
209.674964 63.883 -47.8442
211.194355 61.812 85.6780
212.724757 61.748 72.0042
214.266248 62.368 61.8899
215.818909 63.728 75.0190
217.382822 66.067 94.7131
218.958068 68.217 85.4399
220.544728 69.308 63.2656
222.142886 69.095 38.7102
223.752625 67.633 18.1199
225.374029 65.368 11.8965
227.007182 63.939 60.9031
228.652170 64.887 84.5803
230.309077 66.635 76.6440
231.977992 67.976 63.9619
233.659000 68.697 48.5249
235.352190 68.651 29.4297
237.057649 67.745 11.4194
238.775466 66.199 -0.2434
240.505731 64.249 -15.1638
242.248535 61.626 -35.3232
244.003968 58.165 -50.7380
245.772121 54.989 94.2588
247.553087 54.472 94.2036
249.346959 55.334 80.5967
251.153830 55.373 58.6826
252.973794 54.561 40.3994
254.806946 55.032 164.4434
256.653383 57.916 174.4250
258.513199 61.320 177.3101
260.386492 64.198 168.1597
262.273360 66.446 155.0288
264.173901 68.247 143.5596
266.088214 69.622 130.1069
268.016399 70.380 112.4766
269.958556 70.450 95.2441
