* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -37.3 dBFS, measurement signal peak level -6.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 2:01:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.6079 ms (-2.610 m, -(8 ft 6.7 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: p2_device_close-2
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 71.924 -60.6905
15.250248 72.044 -62.4886
15.360758 72.188 -64.2889
15.472068 72.338 -66.0951
15.584185 72.492 -67.9074
15.697114 72.647 -69.7261
15.810862 72.800 -71.5566
15.925434 72.950 -73.4028
16.040836 73.097 -75.2617
16.157075 73.238 -77.1288
16.274156 73.373 -79.0142
16.392085 73.501 -80.9069
16.510869 73.620 -82.7797
16.630513 73.728 -84.6519
16.751025 73.827 -86.4961
16.872410 73.915 -88.2653
16.994674 73.993 -89.9838
17.117825 74.065 -91.6124
17.241867 74.133 -93.1079
17.366809 74.199 -94.4883
17.492656 74.273 -95.7458
17.619415 74.359 -96.8550
17.747093 74.463 -97.8513
17.875695 74.593 -98.8104
18.005230 74.753 -99.6960
18.135703 74.942 -100.6291
18.267122 75.160 -101.6979
18.399493 75.406 -102.8715
18.532824 75.664 -104.2909
18.667120 75.933 -105.9519
18.802390 76.199 -107.8408
18.938640 76.447 -109.9965
19.075877 76.674 -112.3859
19.214108 76.865 -114.9016
19.353342 77.016 -117.5984
19.493584 77.122 -120.3250
19.634843 77.178 -123.0001
19.777125 77.188 -125.6343
19.920438 77.154 -128.0004
20.064790 77.080 -130.1413
20.210187 76.987 -131.9197
20.356639 76.881 -133.2543
20.504151 76.789 -134.1923
20.652733 76.735 -134.7056
20.802391 76.732 -134.8703
20.953134 76.802 -134.9307
21.104969 76.947 -134.8976
21.257904 77.154 -135.1163
21.411948 77.418 -135.5926
21.567108 77.706 -136.4597
21.723392 78.004 -137.7486
21.880808 78.289 -139.3621
22.039366 78.546 -141.2998
22.199072 78.769 -143.4233
22.359936 78.951 -145.6481
22.521965 79.095 -147.9142
22.685168 79.207 -150.0932
22.849554 79.293 -152.1926
23.015132 79.366 -154.1275
23.181909 79.430 -155.9268
23.349895 79.498 -157.5933
23.519098 79.572 -159.1486
23.689527 79.656 -160.6468
23.861191 79.750 -162.0903
24.034099 79.852 -163.5142
24.208260 79.963 -164.9074
24.383683 80.083 -166.2617
24.560377 80.217 -167.5860
24.738352 80.373 -168.8677
24.917616 80.556 -170.1876
25.098179 80.774 -171.5671
25.280051 81.026 -173.1720
25.463241 81.308 -175.0372
25.647758 81.602 -177.3244
25.833612 81.896 179.9669
26.020813 82.164 176.7906
26.209371 82.391 173.1974
26.399294 82.554 169.2623
26.590595 82.645 165.0968
26.783281 82.654 160.7944
26.977364 82.579 156.5534
27.172853 82.423 152.4284
27.369758 82.199 148.6374
27.568091 81.922 145.2003
27.767861 81.617 142.2302
27.969078 81.307 139.6378
28.171754 81.012 137.4075
28.375898 80.742 135.2667
28.581521 80.492 133.1403
28.788635 80.241 130.7916
28.997249 79.957 128.2521
29.207375 79.613 125.4914
29.419024 79.172 122.7712
29.632206 78.622 120.2825
29.846933 77.953 118.3928
30.063216 77.192 117.5186
30.281067 76.382 118.0063
30.500496 75.607 120.1537
30.721515 74.975 123.6898
30.944136 74.552 128.1533
31.168370 74.358 132.5086
31.394229 74.318 136.2216
31.621724 74.357 139.1122
31.850868 74.395 141.4807
32.081673 74.421 143.8291
32.314150 74.453 146.4608
32.548312 74.542 149.6263
32.784170 74.745 153.1353
33.021738 75.085 156.6301
33.261027 75.557 159.6923
33.502050 76.117 161.9985
33.744819 76.726 163.5050
33.989348 77.352 164.2657
34.235649 77.972 164.4003
34.483735 78.577 164.0016
34.733618 79.161 163.1308
34.985312 79.717 161.8380
35.238830 80.237 160.1647
35.494185 80.712 158.1941
35.751391 81.141 156.0213
36.010460 81.524 153.7379
36.271407 81.871 151.4359
36.534244 82.192 149.1566
36.798987 82.499 146.8841
37.065647 82.796 144.5803
37.334240 83.083 142.1945
37.604779 83.353 139.6965
37.877279 83.599 137.1256
38.151754 83.818 134.5607
38.428217 84.017 132.0856
38.706684 84.211 129.7626
38.987168 84.419 127.5839
39.269685 84.656 125.4279
39.554250 84.923 123.1309
39.840876 85.208 120.5685
40.129579 85.492 117.7026
40.420375 85.761 114.5916
40.713278 86.011 111.3610
41.008303 86.262 108.1165
41.305466 86.539 104.8122
41.604782 86.864 101.2063
41.906268 87.230 96.9392
42.209938 87.604 91.6764
42.515808 87.927 85.2269
42.823895 88.137 77.5756
43.134215 88.176 68.8459
43.446783 87.995 59.2371
43.761617 87.556 48.9689
44.078731 86.825 38.2366
44.398144 85.762 27.1714
44.719871 84.320 15.7736
45.043930 82.429 3.7653
45.370337 80.012 -9.9048
45.699109 77.155 -29.7160
46.030264 75.091 -87.3245
46.363818 75.912 -169.6232
46.699789 78.381 166.6722
47.038195 80.777 153.9893
47.379053 82.746 144.4626
47.722381 84.361 136.3386
48.068197 85.721 128.9500
48.416519 86.895 121.9514
48.767365 87.928 115.1546
49.120754 88.852 108.4731
49.476703 89.695 101.8718
49.835232 90.480 95.3125
50.196358 91.229 88.7218
50.560102 91.952 82.0036
50.926481 92.657 75.0831
51.295515 93.346 67.9319
51.667224 94.033 60.5341
52.041626 94.732 52.7994
52.418741 95.451 44.5020
52.798589 96.175 35.3220
53.181189 96.857 24.9914
53.566562 97.436 13.4238
53.954727 97.846 0.7480
54.345706 98.036 -12.7103
54.739517 97.971 -26.4873
55.136182 97.644 -40.0369
55.535722 97.074 -52.7882
55.938156 96.310 -64.2344
56.343507 95.437 -74.0144
56.751796 94.557 -82.1301
57.163042 93.759 -88.9980
57.577269 93.079 -95.1705
57.994498 92.513 -100.9731
58.414750 92.056 -106.4904
58.838047 91.721 -111.8118
59.264412 91.523 -117.2791
59.693867 91.440 -123.3662
60.126433 91.406 -130.4045
60.562134 91.344 -138.3767
61.000992 91.189 -147.0087
61.443030 90.902 -155.9038
61.888272 90.470 -164.5923
62.336740 89.903 -172.6105
62.788457 89.240 -179.5592
63.243449 88.544 174.7803
63.701737 87.888 170.3271
64.163346 87.322 166.7666
64.628300 86.871 163.7148
65.096623 86.539 160.8757
65.568340 86.312 157.9299
66.043475 86.158 154.5444
66.522053 86.017 150.5806
67.004100 85.834 146.2368
67.489639 85.581 141.9194
67.978697 85.269 138.0393
68.471298 84.934 134.8164
68.967470 84.620 132.2739
69.467236 84.366 130.2904
69.970625 84.199 128.5854
70.477661 84.118 126.7290
70.988371 84.080 124.3689
71.502782 84.024 121.5234
72.020920 83.914 118.6814
72.542814 83.773 116.4709
73.068489 83.673 115.0454
73.597973 83.661 113.7649
74.131294 83.689 111.8057
74.668480 83.665 109.3264
75.209559 83.574 107.5737
75.754558 83.552 107.7161
76.303507 83.798 109.2617
76.856434 84.352 109.8630
77.413367 85.052 107.9858
77.974336 85.714 103.9098
78.539371 86.256 98.6073
79.108499 86.671 92.7097
79.681752 86.975 86.4678
80.259159 87.180 80.0359
80.840750 87.306 73.6038
81.426555 87.388 67.2173
82.016606 87.446 60.6074
82.610932 87.463 53.4132
83.209565 87.396 45.5964
83.812535 87.220 37.4257
84.419876 86.941 29.1083
85.031617 86.564 20.5259
85.647791 86.070 11.4733
86.268430 85.418 1.9990
86.893567 84.571 -7.6290
87.523233 83.509 -17.1809
88.157463 82.205 -26.5303
88.796288 80.605 -35.3704
89.439743 78.644 -42.7212
90.087860 76.315 -45.9705
90.740674 73.926 -38.8936
91.398218 72.536 -18.8501
92.060527 72.816 -8.1260
92.727636 73.639 -13.5649
93.399578 73.980 -27.0087
94.076390 73.566 -43.4520
94.758106 72.455 -60.2952
95.444763 70.879 -76.7063
96.136395 69.215 -94.2197
96.833039 67.901 -115.5878
97.534731 67.288 -140.7797
98.241508 67.475 -165.5878
98.953406 68.247 173.8145
99.670463 69.280 157.9894
100.392717 70.376 146.0538
101.120204 71.489 136.9757
101.852962 72.632 129.6642
102.591031 73.822 123.1870
103.334448 75.065 116.7812
104.083252 76.328 109.5277
104.837482 77.519 100.5609
105.597178 78.524 89.6956
106.362378 79.265 77.4604
107.133124 79.710 64.5837
107.909455 79.866 51.6379
108.691411 79.751 39.0527
109.479034 79.398 27.3102
110.272364 78.874 16.8896
111.071443 78.273 7.8052
111.876313 77.670 -0.4944
112.687014 77.093 -8.5428
113.503591 76.543 -16.6566
114.326085 76.001 -25.2552
115.154539 75.417 -34.5508
115.988996 74.745 -44.2045
116.829500 73.985 -53.7295
117.676095 73.171 -62.9414
118.528824 72.346 -71.9596
119.387733 71.536 -80.9169
120.252866 70.758 -89.7827
121.124268 70.032 -98.5383
122.001984 69.370 -107.1650
122.886061 68.783 -115.4796
123.776544 68.286 -123.2417
124.673480 67.896 -130.3386
125.576915 67.625 -136.6547
126.486897 67.518 -141.4335
127.403473 67.706 -144.1924
128.326691 68.277 -146.2982
129.256599 69.161 -149.4237
130.193246 70.210 -154.2545
131.136680 71.303 -160.5114
132.086950 72.386 -167.7955
133.044107 73.409 -176.3610
134.008199 74.320 173.9338
134.979278 75.116 163.7551
135.957393 75.812 153.0590
136.942597 76.366 141.1281
137.934939 76.697 128.0526
138.934473 76.783 114.8490
139.941249 76.676 102.0259
140.955321 76.426 89.2001
141.976742 76.035 75.7922
143.005564 75.461 61.3314
144.041841 74.645 45.8444
145.085627 73.583 29.7294
146.136978 72.362 12.6439
147.195946 71.146 -7.0875
148.262589 70.163 -31.2452
149.336961 69.741 -59.8447
150.419118 70.098 -90.1675
151.509117 71.024 -118.3755
152.607014 72.089 -142.8135
153.712868 72.992 -163.6060
154.826735 73.650 179.2534
155.948673 74.149 166.0854
157.078741 74.629 155.9558
158.216999 75.130 146.8667
159.363504 75.614 138.1396
160.518318 76.019 129.0435
161.681500 76.241 119.0088
162.853110 76.221 109.3889
164.033211 76.083 102.5149
165.221864 76.036 97.6909
166.419129 76.056 90.7126
167.625071 75.895 81.3865
168.839751 75.424 72.4089
170.063234 74.691 65.6021
171.295582 73.848 61.7158
172.536860 73.027 59.1150
173.787134 72.212 56.4421
175.046467 71.296 53.6975
176.314926 70.190 52.1523
177.592576 69.024 54.9861
178.879485 68.510 70.3723
180.175720 69.597 97.6619
181.481347 71.702 106.8228
182.796436 73.704 101.6655
184.121054 75.210 91.4373
185.455271 76.183 79.1807
186.799157 76.638 65.9644
188.152780 76.603 53.0725
189.516213 76.160 42.1541
190.889526 75.477 34.4397
192.272790 74.729 28.9175
193.666078 73.942 23.0066
195.069462 73.030 17.7163
196.483016 72.052 15.9246
197.906813 71.211 16.8462
199.340927 70.615 17.1292
200.785433 70.290 17.5671
202.240407 70.381 20.1333
203.705925 70.779 16.4639
205.182062 70.832 1.0159
206.668896 69.937 -20.9470
208.166504 67.860 -43.8691
209.674964 64.893 -58.3879
211.194355 62.591 72.1072
212.724757 62.361 60.7412
214.266248 63.068 52.1660
215.818909 64.646 67.3608
217.382822 67.088 84.1160
218.958068 69.206 73.0837
220.544728 70.225 50.3201
222.142886 69.936 25.4980
223.752625 68.401 4.5369
225.374029 66.088 -1.7747
227.007182 64.753 56.4143
228.652170 65.849 76.1760
230.309077 67.620 66.3096
231.977992 68.929 52.7654
233.659000 69.598 36.6887
235.352190 69.485 17.1733
237.057649 68.505 -0.7817
238.775466 66.900 -11.8103
240.505731 64.922 -26.4724
242.248535 62.293 -46.9365
244.003968 58.855 -64.5845
245.772121 55.846 96.3909
247.553087 55.606 88.3625
249.346959 56.553 73.3081
251.153830 56.579 52.1230
252.973794 55.792 45.2065
254.806946 56.264 132.9966
256.653383 58.976 150.3965
258.513199 62.278 159.1235
260.386492 65.103 151.3083
262.273360 67.256 137.7017
264.173901 68.908 125.6392
266.088214 70.130 112.3923
268.016399 70.774 95.6997
269.958556 70.786 79.6611
271.914787 70.310 67.3079
