* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -36.6 dBFS, measurement signal peak level -6.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 1:59:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.6109 ms (-2.611 m, -(8 ft 6.8 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: p2_device_closed
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 71.938 -60.3743
15.250248 72.054 -62.1838
15.360758 72.195 -63.9912
15.472068 72.341 -65.8011
15.584185 72.491 -67.6132
15.697114 72.643 -69.4285
15.810862 72.793 -71.2541
15.925434 72.941 -73.0942
16.040836 73.086 -74.9457
16.157075 73.226 -76.8060
16.274156 73.361 -78.6854
16.392085 73.488 -80.5725
16.510869 73.607 -82.4414
16.630513 73.716 -84.3111
16.751025 73.815 -86.1541
16.872410 73.904 -87.9235
16.994674 73.982 -89.6437
17.117825 74.055 -91.2752
17.241867 74.124 -92.7749
17.366809 74.191 -94.1608
17.492656 74.266 -95.4253
17.619415 74.354 -96.5430
17.747093 74.458 -97.5494
17.875695 74.590 -98.5206
18.005230 74.751 -99.4202
18.135703 74.940 -100.3687
18.267122 75.160 -101.4543
18.399493 75.405 -102.6458
18.532824 75.664 -104.0829
18.667120 75.932 -105.7617
18.802390 76.197 -107.6676
18.938640 76.444 -109.8390
19.075877 76.670 -112.2429
19.214108 76.859 -114.7710
19.353342 77.008 -117.4784
19.493584 77.112 -120.2133
19.634843 77.167 -122.8937
19.777125 77.173 -125.5304
19.920438 77.137 -127.8949
20.064790 77.061 -130.0298
20.210187 76.965 -131.7975
20.356639 76.858 -133.1156
20.504151 76.764 -134.0330
20.652733 76.711 -134.5233
20.802391 76.710 -134.6644
20.953134 76.783 -134.7073
21.104969 76.931 -134.6633
21.257904 77.143 -134.8830
21.411948 77.411 -135.3719
21.567108 77.702 -136.2606
21.723392 78.002 -137.5804
21.880808 78.287 -139.2270
22.039366 78.542 -141.1996
22.199072 78.761 -143.3538
22.359936 78.937 -145.6010
22.521965 79.074 -147.8788
22.685168 79.178 -150.0515
22.849554 79.255 -152.1275
23.015132 79.320 -154.0167
23.181909 79.378 -155.7515
23.349895 79.443 -157.3389
23.519098 79.519 -158.8059
23.689527 79.608 -160.2212
23.861191 79.711 -161.5918
24.034099 79.826 -162.9688
24.208260 79.950 -164.3411
24.383683 80.083 -165.7081
24.560377 80.229 -167.0714
24.738352 80.392 -168.4151
24.917616 80.579 -169.8047
25.098179 80.796 -171.2520
25.280051 81.042 -172.9068
25.463241 81.317 -174.7980
25.647758 81.603 -177.0840
25.833612 81.891 -179.7656
26.020813 82.155 177.1007
26.209371 82.380 173.5619
26.399294 82.546 169.6801
26.590595 82.642 165.5639
26.783281 82.658 161.2990
26.977364 82.592 157.0811
27.172853 82.445 152.9609
27.369758 82.231 149.1567
27.568091 81.963 145.6876
27.767861 81.665 142.6712
27.969078 81.359 140.0240
28.171754 81.065 137.7369
28.375898 80.794 135.5470
28.581521 80.541 133.3813
28.788635 80.287 131.0043
28.997249 80.001 128.4422
29.207375 79.655 125.6606
29.419024 79.212 122.9149
29.632206 78.659 120.3966
29.846933 77.985 118.4745
30.063216 77.215 117.5795
30.281067 76.396 118.0708
30.500496 75.611 120.2694
30.721515 74.976 123.8953
30.944136 74.558 128.4564
31.168370 74.379 132.8472
31.394229 74.354 136.5014
31.621724 74.403 139.2472
31.850868 74.437 141.4248
32.081673 74.444 143.6042
32.314150 74.445 146.1418
32.548312 74.498 149.3518
32.784170 74.675 153.0412
33.021738 75.005 156.7892
33.261027 75.487 160.0833
33.502050 76.067 162.5149
33.744819 76.696 164.0424
33.989348 77.335 164.7512
34.235649 77.958 164.8157
34.483735 78.561 164.3792
34.733618 79.141 163.5159
34.985312 79.695 162.2741
35.238830 80.220 160.6696
35.494185 80.706 158.7500
35.751391 81.148 156.5922
36.010460 81.545 154.2793
36.271407 81.901 151.9114
36.534244 82.226 149.5587
36.798987 82.531 147.2296
37.065647 82.825 144.9009
37.334240 83.111 142.5233
37.604779 83.384 140.0452
37.877279 83.636 137.4767
38.151754 83.862 134.8795
38.428217 84.066 132.3367
38.706684 84.257 129.9289
38.987168 84.455 127.6862
39.269685 84.679 125.5236
39.554250 84.936 123.2821
39.840876 85.218 120.8104
40.129579 85.508 118.0266
40.420375 85.788 114.9470
40.713278 86.050 111.6749
41.008303 86.304 108.3292
41.305466 86.574 104.9114
41.604782 86.882 101.2335
41.906268 87.229 96.9658
42.209938 87.588 91.7649
42.515808 87.904 85.4029
42.823895 88.116 77.8236
43.134215 88.161 69.1214
43.446783 87.989 59.4823
43.761617 87.556 49.1254
44.078731 86.826 38.2537
44.398144 85.758 27.0098
44.719871 84.303 15.4038
45.043930 82.392 3.1531
45.370337 79.951 -10.8528
45.699109 77.084 -31.4199
46.030264 75.065 -91.0699
46.363818 75.927 -169.6598
46.699789 78.385 166.9788
47.038195 80.762 154.3416
47.379053 82.722 144.8353
47.722381 84.334 136.7034
48.068197 85.693 129.2753
48.416519 86.866 122.2174
48.767365 87.897 115.3617
49.120754 88.818 108.6406
49.476703 89.658 102.0276
49.835232 90.445 95.4793
50.196358 91.198 88.9065
50.560102 91.931 82.1956
50.926481 92.644 75.2621
51.295515 93.341 68.0813
51.667224 94.032 60.6493
52.041626 94.733 52.8899
52.418741 95.454 44.5844
52.798589 96.178 35.4111
53.181189 96.862 25.0956
53.566562 97.442 13.5460
53.954727 97.854 0.8890
54.345706 98.044 -12.5498
54.739517 97.981 -26.3063
55.136182 97.656 -39.8364
55.535722 97.087 -52.5742
55.938156 96.326 -64.0200
56.343507 95.454 -73.8184
56.751796 94.574 -81.9659
57.163042 93.772 -88.8608
57.577269 93.086 -95.0367
57.994498 92.516 -100.8196
58.414750 92.057 -106.3130
58.838047 91.723 -111.6254
59.264412 91.527 -117.0975
59.693867 91.444 -123.1866
60.126433 91.412 -130.2134
60.562134 91.353 -138.1694
61.000992 91.204 -146.7961
61.443030 90.922 -155.7056
61.888272 90.494 -164.4202
62.336740 89.928 -172.4602
62.788457 89.264 -179.4150
63.243449 88.570 174.9277
63.701737 87.915 170.4668
64.163346 87.350 166.8767
64.628300 86.896 163.7916
65.096623 86.558 160.9402
65.568340 86.327 158.0061
66.043475 86.169 154.6382
66.522053 86.026 150.6858
67.004100 85.841 146.3525
67.489639 85.587 142.0505
67.978697 85.276 138.1848
68.471298 84.943 134.9657
68.967470 84.631 132.4174
69.467236 84.379 130.4248
69.970625 84.215 128.6985
70.477661 84.135 126.7930
70.988371 84.093 124.3691
71.502782 84.028 121.4863
72.020920 83.908 118.6592
72.542814 83.761 116.5004
73.068489 83.658 115.1218
73.597973 83.646 113.8655
74.131294 83.673 111.9270
74.668480 83.651 109.4760
75.209559 83.563 107.7388
75.754558 83.545 107.8599
76.303507 83.790 109.3615
76.856434 84.342 109.9419
77.413367 85.039 108.0750
77.974336 85.701 104.0176
78.539371 86.244 98.7283
79.108499 86.662 92.8369
79.681752 86.967 86.5933
80.259159 87.173 80.1508
80.840750 87.300 73.7036
81.426555 87.379 67.3096
82.016606 87.434 60.7114
82.610932 87.448 53.5532
83.209565 87.381 45.7896
83.812535 87.209 37.6730
84.419876 86.937 29.3893
85.031617 86.568 20.8064
85.647791 86.080 11.7238
86.268430 85.430 2.2102
86.893567 84.582 -7.4417
87.523233 83.519 -16.9866
88.157463 82.213 -26.3008
88.796288 80.616 -35.0934
89.439743 78.662 -42.4059
90.087860 76.344 -45.6802
90.740674 73.963 -38.8420
91.398218 72.561 -19.0750
92.060527 72.824 -8.1647
92.727636 73.646 -13.4675
93.399578 73.991 -26.8950
94.076390 73.578 -43.3503
94.758106 72.466 -60.1803
95.444763 70.892 -76.5461
96.136395 69.231 -94.0043
96.833039 67.920 -115.3075
97.534731 67.308 -140.4279
98.241508 67.494 -165.2139
98.953406 68.262 174.1245
99.670463 69.286 158.1794
100.392717 70.371 146.1429
101.120204 71.475 137.0413
101.852962 72.617 129.7479
102.591031 73.809 123.2671
103.334448 75.055 116.8513
104.083252 76.320 109.6027
104.837482 77.512 100.6364
105.597178 78.517 89.7800
106.362378 79.257 77.5917
107.133124 79.706 64.7816
107.909455 79.867 51.8749
108.691411 79.757 39.2854
109.479034 79.405 27.5203
110.272364 78.880 17.0734
111.071443 78.279 7.9279
111.876313 77.671 -0.4784
112.687014 77.084 -8.6115
113.503591 76.525 -16.7367
114.326085 75.979 -25.3082
115.154539 75.398 -34.5935
115.988996 74.733 -44.2783
116.829500 73.977 -53.8113
117.676095 73.172 -62.9259
118.528824 72.364 -71.9039
119.387733 71.565 -81.0389
120.252866 70.776 -90.0079
121.124268 70.035 -98.5990
122.001984 69.373 -107.1122
122.886061 68.789 -115.4705
123.776544 68.290 -123.2717
124.673480 67.896 -130.3237
125.576915 67.629 -136.4657
126.486897 67.535 -141.2139
127.403473 67.722 -144.1260
128.326691 68.280 -146.1799
129.256599 69.159 -149.1624
130.193246 70.208 -153.9153
131.136680 71.305 -160.1698
132.086950 72.388 -167.5326
133.044107 73.408 -176.1823
134.008199 74.316 174.0739
134.979278 75.112 163.8911
135.957393 75.811 153.1887
136.942597 76.368 141.2728
137.934939 76.703 128.2461
138.934473 76.795 115.0768
139.941249 76.693 102.2561
140.955321 76.445 89.4321
141.976742 76.053 76.0306
143.005564 75.478 61.5708
144.041841 74.661 46.1030
145.085627 73.600 30.0360
146.136978 72.385 13.0016
147.195946 71.175 -6.7122
148.262589 70.195 -30.8430
149.336961 69.768 -59.3839
150.419118 70.119 -89.6812
151.509117 71.040 -117.9116
152.607014 72.100 -142.3916
153.712868 72.999 -163.2178
154.826735 73.651 179.6196
155.948673 74.144 166.4341
157.078741 74.618 156.2725
158.216999 75.113 147.1528
159.363504 75.592 138.4480
160.518318 76.000 129.3865
161.681500 76.226 119.3550
162.853110 76.213 109.7346
164.033211 76.081 102.8613
165.221864 76.042 98.0154
166.419129 76.067 91.0083
167.625071 75.910 81.6699
168.839751 75.441 72.6516
170.063234 74.708 65.7874
171.295582 73.862 61.8774
172.536860 73.037 59.2336
173.787134 72.215 56.5073
175.046467 71.292 53.7537
176.314926 70.179 52.2241
177.592576 69.008 55.0713
178.879485 68.497 70.5613
180.175720 69.596 97.9861
181.481347 71.714 107.1550
182.796436 73.722 101.9214
184.121054 75.230 91.6191
185.455271 76.203 79.3018
186.799157 76.653 66.0168
188.152780 76.607 53.0664
189.516213 76.150 42.1184
190.889526 75.449 34.4651
192.272790 74.690 29.1384
193.666078 73.904 23.4023
195.069462 73.003 18.1531
196.483016 72.037 16.3713
197.906813 71.209 17.3081
199.340927 70.623 17.4880
200.785433 70.297 17.7427
202.240407 70.378 20.2534
203.705925 70.770 16.6606
205.182062 70.825 1.2209
206.668896 69.935 -20.8167
208.166504 67.866 -43.9856
209.674964 64.905 -59.9714
211.194355 62.607 74.5652
212.724757 62.386 62.1433
214.266248 63.106 53.3682
215.818909 64.681 68.0105
217.382822 67.109 84.3704
218.958068 69.221 73.4983
220.544728 70.241 50.8333
222.142886 69.953 26.0405
223.752625 68.418 5.1873
225.374029 66.111 -0.7588
227.007182 64.790 56.4778
228.652170 65.889 76.1436
230.309077 67.654 66.4065
231.977992 68.953 52.8818
233.659000 69.609 36.8665
235.352190 69.487 17.4534
237.057649 68.498 -0.4553
238.775466 66.880 -11.4463
240.505731 64.885 -26.0022
242.248535 62.243 -46.3528
244.003968 58.806 -63.8779
245.772121 55.832 96.3179
247.553087 55.626 88.4102
249.346959 56.569 73.5591
251.153830 56.593 52.8997
252.973794 55.827 47.4797
254.806946 56.306 132.0962
256.653383 58.965 148.8027
258.513199 62.232 158.1523
260.386492 65.056 151.0806
262.273360 67.224 137.7749
264.173901 68.894 125.8293
266.088214 70.129 112.6108
268.016399 70.782 95.8994
269.958556 70.799 79.8162
271.914787 70.323 67.4058
