* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -38.7 dBFS, measurement signal peak level -6.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 2:31:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.2659 ms (-2.492 m, -(8 ft 2.1 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: p2_device_empty
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 71.951 -62.2309
15.250248 72.074 -64.0484
15.360758 72.224 -65.8889
15.472068 72.378 -67.7420
15.584185 72.531 -69.6093
15.697114 72.682 -71.4912
15.810862 72.828 -73.3733
15.925434 72.968 -75.2566
16.040836 73.102 -77.1425
16.157075 73.231 -79.0169
16.274156 73.353 -80.8846
16.392085 73.469 -82.7422
16.510869 73.578 -84.5715
16.630513 73.681 -86.3839
16.751025 73.776 -88.1644
16.872410 73.865 -89.8862
16.994674 73.947 -91.5654
17.117825 74.024 -93.1742
17.241867 74.097 -94.6851
17.366809 74.169 -96.1112
17.492656 74.245 -97.4355
17.619415 74.328 -98.6393
17.747093 74.421 -99.7446
17.875695 74.534 -100.7881
18.005230 74.668 -101.7444
18.135703 74.826 -102.7019
18.267122 75.012 -103.7205
18.399493 75.223 -104.7849
18.532824 75.452 -106.0299
18.667120 75.698 -107.4461
18.802390 75.950 -109.0546
18.938640 76.196 -110.9128
19.075877 76.432 -112.9827
19.214108 76.644 -115.2158
19.353342 76.827 -117.6492
19.493584 76.974 -120.1599
19.634843 77.079 -122.6956
19.777125 77.141 -125.2513
19.920438 77.163 -127.6298
20.064790 77.144 -129.8805
20.210187 77.100 -131.8478
20.356639 77.033 -133.4745
20.504151 76.966 -134.7671
20.652733 76.918 -135.6593
20.802391 76.901 -136.2099
20.953134 76.942 -136.5679
21.104969 77.042 -136.7405
21.257904 77.204 -137.0357
21.411948 77.425 -137.4587
21.567108 77.681 -138.1986
21.723392 77.961 -139.2944
21.880808 78.240 -140.7126
22.039366 78.504 -142.4749
22.199072 78.742 -144.4596
22.359936 78.943 -146.6089
22.521965 79.110 -148.8486
22.685168 79.241 -151.0589
22.849554 79.343 -153.2316
23.015132 79.424 -155.2622
23.181909 79.492 -157.1724
23.349895 79.557 -158.9316
23.519098 79.624 -160.5633
23.689527 79.700 -162.1029
23.861191 79.786 -163.5621
24.034099 79.884 -164.9852
24.208260 79.993 -166.3721
24.383683 80.115 -167.7367
24.560377 80.253 -169.0897
24.738352 80.410 -170.4310
24.917616 80.591 -171.8254
25.098179 80.803 -173.2897
25.280051 81.043 -174.9627
25.463241 81.309 -176.8713
25.647758 81.587 -179.1644
25.833612 81.866 178.1570
26.020813 82.123 175.0344
26.209371 82.343 171.5115
26.399294 82.505 167.6409
26.590595 82.598 163.5281
26.783281 82.612 159.2506
26.977364 82.543 155.0047
27.172853 82.391 150.8371
27.369758 82.168 146.9778
27.568091 81.884 143.4501
27.767861 81.564 140.3967
27.969078 81.231 137.7516
28.171754 80.906 135.5302
28.375898 80.604 133.4786
28.581521 80.324 131.5244
28.788635 80.052 129.4112
28.997249 79.758 127.1380
29.207375 79.414 124.6546
29.419024 78.981 122.1885
29.632206 78.444 119.9330
29.846933 77.791 118.2473
30.063216 77.044 117.5782
30.281067 76.250 118.2922
30.500496 75.494 120.7363
30.721515 74.895 124.6546
30.944136 74.526 129.5424
31.168370 74.414 134.2645
31.394229 74.475 138.1806
31.621724 74.627 141.0735
31.850868 74.780 143.2176
32.081673 74.910 145.1124
32.314150 75.026 147.0680
32.548312 75.164 149.3727
32.784170 75.374 151.9577
33.021738 75.678 154.6033
33.261027 76.083 157.0178
33.502050 76.565 158.9261
33.744819 77.098 160.2521
33.989348 77.658 160.9922
34.235649 78.227 161.2024
34.483735 78.797 160.9154
34.733618 79.359 160.1483
34.985312 79.903 158.9194
35.238830 80.414 157.2451
35.494185 80.879 155.2090
35.751391 81.291 152.9267
36.010460 81.648 150.5184
36.271407 81.957 148.1226
36.534244 82.235 145.8312
36.798987 82.498 143.6497
37.065647 82.759 141.5369
37.334240 83.025 139.4107
37.604779 83.291 137.1752
37.877279 83.547 134.8081
38.151754 83.784 132.3561
38.428217 84.001 129.8983
38.706684 84.206 127.5196
38.987168 84.416 125.2606
39.269685 84.648 123.0496
39.554250 84.908 120.7416
39.840876 85.189 118.2009
40.129579 85.475 115.3599
40.420375 85.749 112.2468
40.713278 86.005 108.9718
41.008303 86.256 105.6525
41.305466 86.529 102.2755
41.604782 86.846 98.6289
41.906268 87.207 94.3607
42.209938 87.580 89.1190
42.515808 87.910 82.6831
42.823895 88.132 75.0134
43.134215 88.185 66.2207
43.446783 88.020 56.5032
43.761617 87.596 46.0848
44.078731 86.880 35.1656
44.398144 85.835 23.8752
44.719871 84.418 12.1963
45.043930 82.567 -0.1995
45.370337 80.216 -14.4777
45.699109 77.455 -35.1886
46.030264 75.383 -87.2128
46.363818 76.000 -164.1312
46.699789 78.346 168.5186
47.038195 80.718 154.2977
47.379053 82.689 143.8958
47.722381 84.305 135.1695
48.068197 85.661 127.3499
48.416519 86.828 120.0660
48.767365 87.859 113.1113
49.120754 88.791 106.3625
49.476703 89.653 99.7271
49.835232 90.470 93.1038
50.196358 91.256 86.3727
50.560102 92.014 79.4266
50.926481 92.746 72.2136
51.295515 93.454 64.7426
51.667224 94.151 57.0235
52.041626 94.854 48.9703
52.418741 95.572 40.3489
52.798589 96.285 30.8395
53.181189 96.947 20.1937
53.566562 97.495 8.3550
53.954727 97.864 -4.5168
54.345706 98.007 -18.0724
54.739517 97.895 -31.8318
55.136182 97.525 -45.2412
55.535722 96.922 -57.7360
55.938156 96.144 -68.8367
56.343507 95.279 -78.2509
56.751796 94.431 -86.0751
57.163042 93.676 -92.7790
57.577269 93.037 -98.8755
57.994498 92.508 -104.6096
58.414750 92.089 -110.0294
58.838047 91.798 -115.2690
59.264412 91.645 -120.7304
59.693867 91.598 -126.8811
60.126433 91.586 -133.9746
60.562134 91.533 -141.9106
61.000992 91.386 -150.3777
61.443030 91.118 -158.9971
61.888272 90.723 -167.3708
62.336740 90.215 -175.1436
62.788457 89.626 177.9713
63.243449 89.002 172.1317
63.701737 88.394 167.3159
64.163346 87.843 163.3704
64.628300 87.380 160.0679
65.096623 87.025 157.1558
65.568340 86.777 154.2756
66.043475 86.610 151.0555
66.522053 86.471 147.3384
67.004100 86.309 143.2878
67.489639 86.098 139.2454
67.978697 85.849 135.5432
68.471298 85.589 132.3494
68.967470 85.353 129.6844
69.467236 85.175 127.4624
69.970625 85.080 125.4387
70.477661 85.066 123.1798
70.988371 85.091 120.2759
71.502782 85.082 116.6749
72.020920 84.987 112.8474
72.542814 84.809 109.4980
73.068489 84.613 107.0051
73.597973 84.459 104.9915
74.131294 84.330 102.6830
74.668480 84.147 100.0640
75.209559 83.883 98.2990
75.754558 83.674 98.8567
76.303507 83.769 101.6694
76.856434 84.284 104.0603
77.413367 85.055 103.6556
77.974336 85.844 100.4211
78.539371 86.524 95.4570
79.108499 87.072 89.5623
79.681752 87.492 83.0776
80.259159 87.790 76.2035
80.840750 87.983 69.1924
81.426555 88.098 62.1924
82.016606 88.164 55.0463
82.610932 88.172 47.4498
83.209565 88.093 39.3464
83.812535 87.907 30.9399
84.419876 87.618 22.3616
85.031617 87.227 13.4562
85.647791 86.706 4.0637
86.268430 86.011 -5.6718
86.893567 85.117 -15.4158
87.523233 84.015 -24.9575
88.157463 82.685 -34.2571
88.796288 81.078 -43.1023
89.439743 79.130 -50.6543
90.087860 76.813 -54.6693
90.740674 74.354 -49.5762
91.398218 72.682 -30.8690
92.060527 72.653 -18.2258
92.727636 73.348 -22.1622
93.399578 73.648 -34.7360
94.076390 73.218 -50.5153
94.758106 72.110 -66.8770
95.444763 70.562 -83.2432
96.136395 68.957 -101.4412
96.833039 67.753 -124.1550
97.534731 67.324 -150.6206
98.241508 67.735 -175.7281
98.953406 68.712 164.2125
99.670463 69.913 149.0698
100.392717 71.143 137.5135
101.120204 72.356 128.4020
101.852962 73.562 120.7172
102.591031 74.776 113.6288
103.334448 76.004 106.5084
104.083252 77.221 98.5460
104.837482 78.339 88.8768
105.597178 79.241 77.3525
106.362378 79.849 64.6600
107.133124 80.147 51.6840
107.909455 80.163 39.0588
108.691411 79.940 27.1686
109.479034 79.531 16.3473
110.272364 79.011 6.8256
111.071443 78.465 -1.6257
111.876313 77.944 -9.6385
112.687014 77.453 -17.6827
113.503591 76.979 -26.0009
114.326085 76.492 -34.9409
115.154539 75.938 -44.6234
115.988996 75.274 -54.6372
116.829500 74.503 -64.4072
117.676095 73.675 -73.6501
118.528824 72.853 -82.5671
119.387733 72.068 -91.5249
120.252866 71.325 -100.5417
121.124268 70.634 -109.5033
122.001984 70.001 -118.4347
122.886061 69.424 -127.2062
123.776544 68.899 -135.4752
124.673480 68.434 -143.0493
125.576915 68.036 -149.6350
126.486897 67.787 -153.9236
127.403473 67.902 -155.2531
128.326691 68.515 -156.0090
129.256599 69.500 -158.6625
130.193246 70.640 -163.6213
131.136680 71.798 -170.2462
132.086950 72.913 -178.1531
133.044107 73.928 172.5757
134.008199 74.804 162.3241
134.979278 75.555 151.8102
135.957393 76.217 141.0441
136.942597 76.766 129.2079
137.934939 77.120 116.1342
138.934473 77.246 102.7534
139.941249 77.194 89.6447
140.955321 77.018 76.3557
141.976742 76.716 62.0876
143.005564 76.226 46.2556
144.041841 75.470 28.9213
145.085627 74.436 10.5658
146.136978 73.217 -8.9550
147.195946 72.013 -30.9596
148.262589 71.096 -56.7408
149.336961 70.775 -85.3291
150.419118 71.197 -113.7544
151.509117 72.094 -139.8772
152.607014 73.028 -163.2229
153.712868 73.735 176.4773
154.826735 74.186 159.8733
155.948673 74.504 147.2427
157.078741 74.813 137.1890
158.216999 75.114 127.8865
159.363504 75.383 119.5342
160.518318 75.634 111.8127
161.681500 75.822 103.5625
162.853110 75.891 95.2981
164.033211 75.903 88.6619
165.221864 75.968 82.7498
166.419129 75.997 74.4417
167.625071 75.773 64.4529
168.839751 75.227 55.3433
170.063234 74.434 48.4375
171.295582 73.535 44.0823
172.536860 72.627 40.7432
173.787134 71.685 37.6270
175.046467 70.618 34.6479
176.314926 69.335 32.7854
177.592576 68.017 36.8232
178.879485 67.616 58.1768
180.175720 69.037 87.2109
181.481347 71.274 92.4106
182.796436 73.202 84.6113
184.121054 74.530 72.6497
185.455271 75.272 59.4841
186.799157 75.484 46.2886
188.152780 75.226 34.1497
189.516213 74.600 24.4502
190.889526 73.793 18.4912
192.272790 73.019 15.1538
193.666078 72.316 10.8132
195.069462 71.539 5.7336
196.483016 70.655 3.0593
197.906813 69.793 2.5852
199.340927 69.026 1.8359
200.785433 68.440 2.9966
202.240407 68.329 8.7805
203.705925 68.693 8.4033
205.182062 68.848 -4.4839
206.668896 68.172 -24.3733
208.166504 66.428 -47.6936
209.674964 63.921 -76.3752
211.194355 62.417 109.1804
212.724757 63.423 82.0085
214.266248 65.281 69.5901
215.818909 67.041 62.7886
217.382822 68.498 53.9263
218.958068 69.396 39.6504
220.544728 69.520 22.2949
222.142886 68.781 5.3052
223.752625 67.244 -6.9731
225.374029 65.377 -3.4514
227.007182 64.395 21.3167
228.652170 64.776 27.9963
230.309077 65.444 20.6340
231.977992 65.707 9.5688
233.659000 65.357 -4.6697
235.352190 64.192 -22.1299
237.057649 62.076 -34.1741
238.775466 59.332 -20.9714
240.505731 56.666 -16.4866
242.248535 54.851 15.7039
244.003968 55.263 87.5303
245.772121 57.173 88.1624
247.553087 59.061 86.7517
249.346959 60.327 78.5129
251.153830 60.806 68.5417
252.973794 60.747 64.8494
254.806946 60.461 61.4727
256.653383 60.351 61.6821
258.513199 61.474 99.9858
260.386492 63.633 113.8789
262.273360 65.525 102.4204
264.173901 66.791 89.9944
266.088214 67.580 79.5312
268.016399 67.922 67.5542
269.958556 67.792 56.0972
