* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -35.6 dBFS, measurement signal peak level -20.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 1:57:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0567 ms (-19 mm, -0.77 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: p2_device_mic-to-mic
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 71.880 -103.9506
15.250248 71.996 -106.3514
15.360758 72.137 -108.7762
15.472068 72.282 -111.1947
15.584185 72.422 -113.6163
15.697114 72.558 -116.0516
15.810862 72.688 -118.4664
15.925434 72.809 -120.8687
16.040836 72.924 -123.2697
16.157075 73.031 -125.6357
16.274156 73.132 -127.9782
16.392085 73.227 -130.3020
16.510869 73.316 -132.5773
16.630513 73.399 -134.8196
16.751025 73.478 -137.0255
16.872410 73.552 -139.1710
16.994674 73.623 -141.2721
17.117825 73.692 -143.3204
17.241867 73.760 -145.3011
17.366809 73.828 -147.2248
17.492656 73.898 -149.0897
17.619415 73.971 -150.8865
17.747093 74.049 -152.6257
17.875695 74.135 -154.3227
18.005230 74.229 -155.9621
18.135703 74.334 -157.5760
18.267122 74.450 -159.1824
18.399493 74.577 -160.7695
18.532824 74.716 -162.3917
18.667120 74.866 -164.0384
18.802390 75.025 -165.7279
18.938640 75.191 -167.4932
19.075877 75.363 -169.3168
19.214108 75.536 -171.2147
19.353342 75.708 -173.1934
19.493584 75.878 -175.2321
19.634843 76.043 -177.3322
19.777125 76.201 -179.4879
19.920438 76.352 178.3369
20.064790 76.494 176.1250
20.210187 76.630 173.9152
20.356639 76.760 171.7065
20.504151 76.885 169.5035
20.652733 77.008 167.3228
20.802391 77.130 165.1501
20.953134 77.254 162.9830
21.104969 77.380 160.8188
21.257904 77.509 158.6285
21.411948 77.641 156.4149
21.567108 77.774 154.1508
21.723392 77.908 151.8271
21.880808 78.040 149.4425
22.039366 78.166 146.9780
22.199072 78.284 144.4541
22.359936 78.390 141.8639
22.521965 78.483 139.2281
22.685168 78.559 136.5686
22.849554 78.619 133.8931
23.015132 78.661 131.2510
23.181909 78.687 128.6371
23.349895 78.698 126.1138
23.519098 78.697 123.6689
23.689527 78.689 121.3570
23.861191 78.679 119.1617
24.034099 78.674 117.1096
24.208260 78.681 115.1726
24.383683 78.709 113.3363
24.560377 78.760 111.5467
24.738352 78.842 109.7562
24.917616 78.954 107.8794
25.098179 79.094 105.8645
25.280051 79.254 103.6215
25.463241 79.429 101.1169
25.647758 79.602 98.3076
25.833612 79.766 95.1796
26.020813 79.904 91.7651
26.209371 80.007 88.0677
26.399294 80.064 84.1696
26.590595 80.070 80.1190
26.783281 80.018 75.9724
26.977364 79.908 71.8571
27.172853 79.740 67.7761
27.369758 79.521 63.8869
27.568091 79.258 60.1673
27.767861 78.961 56.7152
27.969078 78.644 53.4767
28.171754 78.314 50.4706
28.375898 77.978 47.5729
28.581521 77.635 44.7589
28.788635 77.275 41.8998
28.997249 76.880 39.0100
29.207375 76.431 36.0472
29.419024 75.900 33.1751
29.632206 75.269 30.5200
29.846933 74.521 28.3546
30.063216 73.662 27.0679
30.281067 72.715 27.0147
30.500496 71.737 28.6924
30.721515 70.842 32.1177
30.944136 70.124 37.2240
31.168370 69.672 43.0143
31.394229 69.449 48.7322
31.621724 69.395 53.9430
31.850868 69.419 58.8558
32.081673 69.535 64.1024
32.314150 69.803 69.8393
32.548312 70.326 75.9482
32.784170 71.125 81.2484
33.021738 72.127 84.9014
33.261027 73.204 86.5246
33.502050 74.222 86.2319
33.744819 75.119 84.6833
33.989348 75.868 82.3593
34.235649 76.478 79.8024
34.483735 76.994 77.4749
34.733618 77.473 75.4987
34.985312 77.974 73.9132
35.238830 78.550 72.4700
35.494185 79.211 70.6640
35.751391 79.927 68.1685
36.010460 80.652 64.7839
36.271407 81.327 60.4274
36.534244 81.907 55.2889
36.798987 82.367 49.6279
37.065647 82.694 43.6658
37.334240 82.887 37.6340
37.604779 82.960 31.8229
37.877279 82.934 26.4181
38.151754 82.838 21.5161
38.428217 82.703 17.1671
38.706684 82.560 13.3518
38.987168 82.432 9.9574
39.269685 82.332 6.8171
39.554250 82.256 3.8051
39.840876 82.200 0.8456
40.129579 82.154 -2.0896
40.420375 82.117 -4.9945
40.713278 82.092 -7.8589
41.008303 82.084 -10.7080
41.305466 82.099 -13.6214
41.604782 82.133 -16.7062
41.906268 82.175 -20.0609
42.209938 82.205 -23.7403
42.515808 82.198 -27.7338
42.823895 82.133 -31.9559
43.134215 81.991 -36.2510
43.446783 81.766 -40.4036
43.761617 81.462 -44.1605
44.078731 81.104 -47.2672
44.398144 80.734 -49.5322
44.719871 80.412 -50.9176
45.043930 80.197 -51.6097
45.370337 80.130 -52.0070
45.699109 80.213 -52.5843
46.030264 80.414 -53.7169
46.363818 80.688 -55.5889
46.699789 80.992 -58.2223
47.038195 81.292 -61.5544
47.379053 81.566 -65.4926
47.722381 81.795 -69.9283
48.068197 81.966 -74.7269
48.416519 82.075 -79.7208
48.767365 82.126 -84.7271
49.120754 82.142 -89.5929
49.476703 82.151 -94.2562
49.835232 82.185 -98.7851
50.196358 82.264 -103.3581
50.560102 82.388 -108.1755
50.926481 82.543 -113.3594
51.295515 82.718 -118.9241
51.667224 82.912 -124.8473
52.041626 83.138 -131.1852
52.418741 83.404 -138.1411
52.798589 83.694 -146.0112
53.181189 83.961 -155.0348
53.566562 84.143 -165.2795
53.954727 84.171 -176.5995
54.345706 83.994 171.3433
54.739517 83.576 159.0248
55.136182 82.910 147.0106
55.535722 82.014 135.9030
55.938156 80.944 126.2573
56.343507 79.795 118.4846
56.751796 78.689 112.5979
57.163042 77.734 108.1489
57.577269 76.979 104.5610
57.994498 76.428 101.5353
58.414750 76.088 98.9933
58.838047 75.993 96.7428
59.264412 76.155 94.2544
59.693867 76.532 90.9428
60.126433 77.038 86.4774
60.562134 77.591 80.8871
61.000992 78.139 74.3607
61.443030 78.651 67.0768
61.888272 79.104 59.1916
62.336740 79.479 50.8699
62.788457 79.763 42.3091
63.243449 79.959 33.7665
63.701737 80.082 25.4492
64.163346 80.159 17.4637
64.628300 80.217 9.7999
65.096623 80.271 2.3165
65.568340 80.314 -5.1562
66.043475 80.319 -12.6981
66.522053 80.262 -20.2484
67.004100 80.129 -27.6033
67.489639 79.925 -34.5891
67.978697 79.673 -41.1253
68.471298 79.390 -47.2788
68.967470 79.081 -53.1704
69.467236 78.737 -58.8572
69.970625 78.352 -64.3242
70.477661 77.922 -69.5707
70.988371 77.438 -74.6458
71.502782 76.870 -79.5110
72.020920 76.186 -83.8128
72.542814 75.390 -86.8263
73.068489 74.569 -87.7020
73.597973 73.903 -86.0952
74.131294 73.587 -82.9553
74.668480 73.685 -80.0303
75.209559 74.092 -78.7004
75.754558 74.645 -79.3665
76.303507 75.203 -81.9233
76.856434 75.658 -86.0365
77.413367 75.937 -91.1591
77.974336 76.007 -96.5436
78.539371 75.892 -101.3212
79.108499 75.672 -104.8638
79.681752 75.461 -106.9744
80.259159 75.373 -107.8573
80.840750 75.524 -107.7036
81.426555 76.037 -107.0414
82.016606 76.943 -107.5911
82.610932 78.052 -111.4446
83.209565 79.081 -119.0667
83.812535 79.831 -129.5200
84.419876 80.224 -141.5413
85.031617 80.267 -154.1295
85.647791 79.995 -166.7678
86.268430 79.440 -179.2863
86.893567 78.611 168.2917
87.523233 77.491 155.8081
88.157463 76.019 142.9801
88.796288 74.086 129.5049
89.439743 71.619 115.2234
90.087860 69.270 100.1907
90.740674 69.558 -96.8361
91.398218 72.250 -114.1759
92.060527 74.797 -133.1498
92.727636 76.493 -153.2163
93.399578 77.310 -173.5007
94.076390 77.317 167.3002
94.758106 76.638 150.7712
95.444763 75.485 138.3120
96.136395 74.152 130.1138
96.833039 72.894 124.6533
97.534731 71.790 120.2756
98.241508 70.804 116.5441
98.953406 69.906 113.5630
99.670463 69.102 111.4087
100.392717 68.436 110.1019
101.120204 67.967 109.3064
101.852962 67.719 108.2716
102.591031 67.649 106.1882
103.334448 67.653 102.4819
104.083252 67.602 97.0715
104.837482 67.386 90.3606
105.597178 66.937 82.8999
106.362378 66.202 75.2509
107.133124 65.138 68.2546
107.909455 63.743 63.4451
108.691411 62.150 63.1753
109.479034 60.784 69.6138
110.272364 60.299 80.5288
111.071443 60.850 88.2896
111.876313 61.854 89.5198
112.687014 62.803 86.3013
113.503591 63.553 81.2141
114.326085 64.144 75.3816
115.154539 64.611 68.7715
115.988996 64.942 61.3855
116.829500 65.134 53.6825
117.676095 65.209 45.9462
118.528824 65.170 38.0668
119.387733 64.978 30.1077
120.252866 64.606 22.7303
121.124268 64.093 16.7959
122.001984 63.543 12.6268
122.886061 63.043 9.5854
123.776544 62.590 6.8964
124.673480 62.150 5.0054
125.576915 61.859 5.8293
126.486897 62.142 10.7073
127.403473 63.286 16.0063
128.326691 64.928 15.7522
129.256599 66.518 9.3170
130.193246 67.774 -0.9800
131.136680 68.614 -13.3027
132.086950 69.022 -26.4556
133.044107 69.020 -39.3341
134.008199 68.679 -51.0353
134.979278 68.089 -61.2024
135.957393 67.324 -69.7428
136.942597 66.454 -76.4564
137.934939 65.545 -81.6855
138.934473 64.574 -86.4545
139.941249 63.426 -89.9198
140.955321 62.236 -87.4573
141.976742 61.733 -76.0461
143.005564 62.429 -65.7129
144.041841 63.651 -65.0657
145.085627 64.638 -70.8329
146.136978 65.178 -78.3524
147.195946 65.334 -85.4371
148.262589 65.197 -91.4004
149.336961 64.865 -95.4114
150.419118 64.543 -96.2419
151.509117 64.624 -92.9648
152.607014 65.484 -87.6704
153.712868 66.962 -86.3547
154.826735 68.519 -91.7312
155.948673 69.785 -102.0422
157.078741 70.611 -115.4471
158.216999 70.928 -130.6487
159.363504 70.704 -146.5782
160.518318 69.895 -162.4724
161.681500 68.417 -176.9351
162.853110 66.237 173.8358
164.033211 63.645 177.2761
165.221864 61.648 -165.1975
166.419129 61.106 -154.5197
167.625071 61.249 -154.1129
168.839751 61.238 -156.1277
170.063234 61.055 -154.9812
171.295582 61.055 -150.8680
172.536860 61.280 -149.1276
173.787134 61.397 -150.9323
175.046467 61.231 -152.5090
176.314926 61.162 -148.1652
177.592576 62.034 -135.7726
178.879485 63.933 -126.5869
180.175720 66.000 -128.6644
181.481347 67.676 -137.8053
182.796436 68.859 -149.9446
184.121054 69.600 -163.2948
185.455271 69.969 -177.2858
186.799157 69.991 167.9094
188.152780 69.616 152.0571
189.516213 68.775 135.5880
190.889526 67.446 118.9717
192.272790 65.651 101.6774
193.666078 63.474 81.5039
195.069462 61.313 52.4689
196.483016 60.454 3.6415
197.906813 61.801 -44.9910
199.340927 64.155 -73.7837
200.785433 66.554 -92.4225
202.240407 68.759 -107.3901
203.705925 70.649 -122.4554
205.182062 72.086 -139.1689
206.668896 72.956 -157.2179
208.166504 73.218 -175.1625
209.674964 72.929 168.7301
211.194355 72.220 155.4664
212.724757 71.204 144.4336
214.266248 69.869 135.4497
215.818909 68.344 133.4092
217.382822 67.489 144.8135
218.958068 68.095 155.4619
220.544728 69.246 151.8740
222.142886 69.941 141.1099
223.752625 69.974 129.8544
225.374029 69.509 121.2112
227.007182 68.834 116.2646
228.652170 68.223 113.6141
230.309077 67.734 110.7583
231.977992 67.275 107.8258
233.659000 66.852 106.4532
235.352190 66.565 105.9139
237.057649 66.334 103.5284
238.775466 65.933 99.6851
240.505731 65.293 97.7197
242.248535 64.783 102.8149
244.003968 64.945 110.9166
245.772121 65.595 112.7517
247.553087 66.255 110.6965
249.346959 66.952 110.1504
251.153830 67.899 109.8561
252.973794 69.010 106.4946
254.806946 69.963 98.3707
256.653383 70.402 85.9493
258.513199 70.161 73.0374
260.386492 69.347 63.6074
262.273360 68.368 61.2119
264.173901 67.897 64.2065
266.088214 68.215 65.3486
268.016399 68.900 60.8801
