* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -32.6 dBFS, measurement signal peak level -20.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 2:18:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.4479 ms (-497 mm, -(1 ft 7.55 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: p2_room_102hz-hard
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 63.000 -88.8362
15.250248 63.135 -91.2490
15.360758 63.299 -93.6967
15.472068 63.465 -96.1427
15.584185 63.625 -98.5886
15.697114 63.778 -101.0423
15.810862 63.924 -103.4700
15.925434 64.062 -105.8679
16.040836 64.192 -108.2474
16.157075 64.318 -110.5925
16.274156 64.440 -112.9010
16.392085 64.557 -115.1814
16.510869 64.673 -117.4348
16.630513 64.786 -119.6626
16.751025 64.897 -121.8672
16.872410 65.005 -124.0520
16.994674 65.110 -126.2227
17.117825 65.212 -128.3676
17.241867 65.309 -130.4817
17.366809 65.401 -132.5723
17.492656 65.489 -134.6103
17.619415 65.573 -136.5899
17.747093 65.655 -138.5131
17.875695 65.738 -140.3547
18.005230 65.823 -142.1116
18.135703 65.915 -143.7997
18.267122 66.019 -145.4169
18.399493 66.135 -146.9666
18.532824 66.268 -148.5137
18.667120 66.419 -150.0427
18.802390 66.587 -151.6042
18.938640 66.770 -153.2566
19.075877 66.966 -154.9781
19.214108 67.169 -156.8239
19.353342 67.374 -158.7966
19.493584 67.578 -160.8763
19.634843 67.772 -163.0708
19.777125 67.959 -165.3596
19.920438 68.137 -167.6869
20.064790 68.305 -170.0696
20.210187 68.466 -172.4376
20.356639 68.618 -174.7837
20.504151 68.765 -177.0955
20.652733 68.909 -179.3396
20.802391 69.051 178.4628
20.953134 69.199 176.3010
21.104969 69.354 174.1747
21.257904 69.517 172.0196
21.411948 69.689 169.8445
21.567108 69.865 167.5930
21.723392 70.045 165.2549
21.880808 70.222 162.8268
22.039366 70.391 160.2896
22.199072 70.549 157.6764
22.359936 70.691 154.9932
22.521965 70.816 152.2694
22.685168 70.921 149.5457
22.849554 71.009 146.8317
23.015132 71.081 144.1810
23.181909 71.139 141.5903
23.349895 71.187 139.0996
23.519098 71.230 136.7020
23.689527 71.271 134.4128
23.861191 71.314 132.2241
24.034099 71.361 130.1301
24.208260 71.415 128.1165
24.383683 71.476 126.1628
24.560377 71.552 124.2347
24.738352 71.653 122.3002
24.917616 71.783 120.2914
25.098179 71.946 118.1722
25.280051 72.129 115.8511
25.463241 72.323 113.3018
25.647758 72.512 110.4551
25.833612 72.685 107.3056
26.020813 72.834 103.8520
26.209371 72.954 100.1141
26.399294 73.036 96.1556
26.590595 73.069 92.0400
26.783281 73.043 87.8340
26.977364 72.950 83.6646
27.172853 72.788 79.5672
27.369758 72.574 75.6803
27.568091 72.318 72.0114
27.767861 72.043 68.6277
27.969078 71.758 65.4716
28.171754 71.472 62.5357
28.375898 71.183 59.6619
28.581521 70.884 56.8127
28.788635 70.559 53.8480
28.997249 70.190 50.7936
29.207375 69.756 47.6283
29.419024 69.231 44.5434
29.632206 68.598 41.6946
29.846933 67.844 39.3867
30.063216 66.979 38.0243
30.281067 66.031 37.9980
30.500496 65.066 39.7810
30.721515 64.203 43.3812
30.944136 63.534 48.5800
31.168370 63.143 54.2833
31.394229 62.985 59.6487
31.621724 62.939 64.2631
31.850868 62.948 68.4223
32.081673 63.003 72.8969
32.314150 63.158 78.0910
32.548312 63.528 84.1591
32.784170 64.193 90.1147
33.021738 65.117 94.7922
33.261027 66.191 97.4542
33.502050 67.258 97.9651
33.744819 68.235 96.9089
33.989348 69.076 94.8229
34.235649 69.773 92.2749
34.483735 70.358 89.7779
34.733618 70.882 87.5299
34.985312 71.403 85.6118
35.238830 71.981 83.8480
35.494185 72.634 81.7879
35.751391 73.341 79.0912
36.010460 74.057 75.5424
36.271407 74.723 71.0536
36.534244 75.295 65.7937
36.798987 75.747 60.0225
37.065647 76.068 53.9801
37.334240 76.259 47.9151
37.604779 76.336 42.0988
37.877279 76.324 36.6919
38.151754 76.250 31.7663
38.428217 76.143 27.3392
38.706684 76.023 23.3638
38.987168 75.908 19.7438
39.269685 75.801 16.3910
39.554250 75.707 13.2621
39.840876 75.630 10.3286
40.129579 75.579 7.5512
40.420375 75.560 4.8566
40.713278 75.578 2.1282
41.008303 75.626 -0.7693
41.305466 75.689 -3.9319
41.604782 75.747 -7.3856
41.906268 75.783 -11.1019
42.209938 75.787 -15.0234
42.515808 75.749 -19.0862
42.823895 75.662 -23.2272
43.134215 75.518 -27.3693
43.446783 75.309 -31.3920
43.761617 75.032 -35.1049
44.078731 74.700 -38.2495
44.398144 74.345 -40.5544
44.719871 74.028 -41.8642
45.043930 73.825 -42.2986
45.370337 73.792 -42.3236
45.699109 73.937 -42.5948
46.030264 74.217 -43.6434
46.363818 74.564 -45.6805
46.699789 74.921 -48.6384
47.038195 75.252 -52.3253
47.379053 75.540 -56.5499
47.722381 75.778 -61.1702
48.068197 75.963 -66.0813
48.416519 76.093 -71.1779
48.767365 76.170 -76.3288
49.120754 76.206 -81.3892
49.476703 76.223 -86.2534
49.835232 76.253 -90.9219
50.196358 76.322 -95.5323
50.560102 76.438 -100.3053
50.926481 76.594 -105.4248
51.295515 76.774 -110.9525
51.667224 76.974 -116.8594
52.041626 77.201 -123.1589
52.418741 77.468 -130.0273
52.798589 77.764 -137.7894
53.181189 78.042 -146.7463
53.566562 78.234 -156.9982
53.954727 78.263 -168.3798
54.345706 78.068 179.5153
54.739517 77.610 167.2598
55.136182 76.887 155.5191
55.535722 75.934 144.9662
55.938156 74.827 136.1638
56.343507 73.679 129.3870
56.751796 72.604 124.4257
57.163042 71.678 120.7546
57.577269 70.933 117.9828
57.994498 70.394 115.9937
58.414750 70.111 114.5809
58.838047 70.118 113.1304
59.264412 70.388 110.8713
59.693867 70.841 107.3715
60.126433 71.397 102.5754
60.562134 71.996 96.5724
61.000992 72.589 89.4587
61.443030 73.130 81.3776
61.888272 73.583 72.5941
62.336740 73.930 63.4550
62.788457 74.172 54.2853
63.243449 74.330 45.3425
63.701737 74.429 36.7496
64.163346 74.490 28.5267
64.628300 74.533 20.6180
65.096623 74.566 12.8985
65.568340 74.585 5.1957
66.043475 74.567 -2.6174
66.522053 74.482 -10.5164
67.004100 74.308 -18.2928
67.489639 74.049 -25.6857
67.978697 73.727 -32.5152
68.471298 73.373 -38.7979
68.967470 73.006 -44.6972
69.467236 72.624 -50.3660
69.970625 72.217 -55.8736
70.477661 71.772 -61.2602
70.988371 71.267 -66.5402
71.502782 70.671 -71.5730
72.020920 69.962 -75.8873
72.542814 69.156 -78.7026
73.068489 68.349 -79.2148
73.597973 67.707 -77.1487
74.131294 67.419 -73.4051
74.668480 67.558 -69.8648
75.209559 68.021 -68.2809
75.754558 68.610 -69.2393
76.303507 69.154 -72.3367
76.856434 69.556 -76.7598
77.413367 69.780 -81.7013
77.974336 69.840 -86.4067
78.539371 69.793 -90.1891
79.108499 69.735 -92.7031
79.681752 69.765 -94.1790
80.259159 69.952 -95.1257
80.840750 70.358 -95.7221
81.426555 71.059 -96.4037
82.016606 72.040 -98.7819
82.610932 73.112 -104.5571
83.209565 74.036 -113.7733
83.812535 74.660 -125.3281
84.419876 74.941 -138.0164
85.031617 74.896 -151.0334
85.647791 74.564 -164.0393
86.268430 73.964 -176.9290
86.893567 73.104 170.3103
87.523233 71.973 157.5437
88.157463 70.525 144.3777
88.796288 68.663 130.2130
89.439743 66.280 114.2009
90.087860 63.719 92.7588
90.740674 63.120 -57.9202
91.398218 65.382 -103.5327
92.060527 67.921 -126.2205
92.727636 69.638 -148.0862
93.399578 70.436 -169.5793
94.076390 70.384 170.4280
94.758106 69.610 153.6777
95.444763 68.341 141.9922
96.136395 66.922 136.0322
96.833039 65.715 133.9640
97.534731 64.900 132.7515
98.241508 64.419 130.6479
98.953406 64.123 127.2766
99.670463 63.886 122.6182
100.392717 63.598 116.4867
101.120204 63.129 108.9937
101.852962 62.366 101.3658
102.591031 61.317 95.8634
103.334448 60.185 94.3649
104.083252 59.299 96.3142
104.837482 58.888 98.9390
105.597178 58.918 99.7131
106.362378 59.165 97.3560
107.133124 59.373 91.8884
107.909455 59.341 83.9949
108.691411 58.920 74.7897
109.479034 58.029 66.2899
110.272364 56.742 61.6301
111.071443 55.406 63.9756
111.876313 54.604 72.0265
112.687014 54.632 78.7997
113.503591 55.228 81.5123
114.326085 56.068 81.1017
115.154539 56.934 77.6603
115.988996 57.669 71.5912
116.829500 58.201 64.1761
117.676095 58.540 56.3538
118.528824 58.701 48.2225
119.387733 58.665 39.8191
120.252866 58.415 31.8816
121.124268 58.003 25.4100
122.001984 57.535 20.7827
122.886061 57.103 17.4465
123.776544 56.715 14.4412
124.673480 56.334 12.0367
125.576915 56.094 12.7826
126.486897 56.420 18.5316
127.403473 57.578 24.6655
128.326691 59.206 24.4309
129.256599 60.783 17.5264
130.193246 62.042 6.5988
131.136680 62.899 -6.4464
132.086950 63.331 -20.4381
133.044107 63.351 -34.2042
134.008199 63.020 -46.7067
134.979278 62.432 -57.4913
135.957393 61.677 -66.5442
136.942597 60.831 -73.9667
137.934939 59.938 -80.3201
138.934473 58.950 -86.9012
139.941249 57.704 -93.6445
140.955321 56.149 -95.8192
141.976742 54.864 -84.1016
143.005564 54.923 -63.2769
144.041841 56.120 -56.0248
145.085627 57.353 -60.1503
146.136978 58.157 -67.6025
147.195946 58.537 -75.1519
148.262589 58.557 -82.2650
149.336961 58.272 -88.0586
150.419118 57.853 -90.2970
151.509117 57.755 -86.1913
152.607014 58.551 -76.8250
153.712868 60.167 -71.8015
154.826735 61.933 -76.3370
155.948673 63.378 -87.3729
157.078741 64.321 -102.0955
158.216999 64.696 -118.8461
159.363504 64.482 -136.3420
160.518318 63.650 -154.0240
161.681500 62.110 -171.0872
162.853110 59.779 176.3308
164.033211 56.933 -178.4154
165.221864 54.905 -139.4813
166.419129 54.903 -123.6555
167.625071 55.682 -125.5741
168.839751 56.215 -129.7756
170.063234 56.554 -130.0339
171.295582 57.007 -128.0211
172.536860 57.523 -129.4186
173.787134 57.816 -134.4746
175.046467 57.749 -139.6012
176.314926 57.581 -139.5348
177.592576 58.000 -129.9283
178.879485 59.361 -119.8560
180.175720 61.091 -120.6425
181.481347 62.610 -128.7560
182.796436 63.755 -139.8121
184.121054 64.549 -152.1210
185.455271 65.024 -165.6230
186.799157 65.153 179.2687
188.152780 64.858 162.5802
189.516213 64.075 145.2819
190.889526 62.801 128.0844
192.272790 61.062 110.4374
193.666078 58.910 90.4452
195.069462 56.584 63.6975
196.483016 55.062 21.6886
197.906813 55.682 -26.9784
199.340927 57.815 -59.2350
200.785433 60.247 -78.8301
202.240407 62.546 -93.5083
203.705925 64.529 -108.4019
205.182062 66.045 -125.4919
206.668896 66.983 -144.2305
208.166504 67.321 -162.7947
209.674964 67.139 -179.2063
211.194355 66.582 167.4568
212.724757 65.743 155.5549
214.266248 64.546 143.9434
215.818909 63.022 138.6580
217.382822 61.913 151.9556
218.958068 62.173 168.1042
220.544728 63.164 165.2834
222.142886 63.832 153.7363
223.752625 63.873 141.6074
225.374029 63.421 132.7798
227.007182 62.782 128.9368
228.652170 62.243 127.4548
230.309077 61.836 124.5479
231.977992 61.435 120.7485
233.659000 61.015 118.4775
235.352190 60.644 117.1084
237.057649 60.244 113.3442
238.775466 59.620 108.1982
240.505731 58.737 105.6001
242.248535 58.002 114.1558
244.003968 58.042 127.9658
245.772121 58.721 131.1670
247.553087 59.577 130.2678
249.346959 60.594 131.4595
251.153830 61.780 130.0088
252.973794 62.930 124.0229
254.806946 63.800 113.6035
256.653383 64.157 99.3059
258.513199 63.905 85.0283
260.386492 63.164 74.5918
262.273360 62.306 71.8516
264.173901 61.851 74.1130
266.088214 61.969 73.9993
268.016399 62.375 69.0625
