* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -32.9 dBFS, measurement signal peak level -20.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 2:14:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.4410 ms (-494 mm, -(1 ft 7.46 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: p2_room_102hz
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 62.943 -88.8567
15.250248 63.079 -91.2311
15.360758 63.243 -93.6396
15.472068 63.411 -96.0491
15.584185 63.573 -98.4602
15.697114 63.729 -100.8805
15.810862 63.880 -103.2806
15.925434 64.022 -105.6569
16.040836 64.158 -108.0199
16.157075 64.290 -110.3576
16.274156 64.418 -112.6686
16.392085 64.542 -114.9600
16.510869 64.663 -117.2338
16.630513 64.781 -119.4932
16.751025 64.896 -121.7373
16.872410 65.006 -123.9657
16.994674 65.112 -126.1876
17.117825 65.212 -128.3846
17.241867 65.306 -130.5459
17.366809 65.393 -132.6830
17.492656 65.474 -134.7575
17.619415 65.550 -136.7608
17.747093 65.623 -138.6966
17.875695 65.697 -140.5346
18.005230 65.773 -142.2705
18.135703 65.858 -143.9248
18.267122 65.957 -145.4966
18.399493 66.070 -146.9891
18.532824 66.203 -148.4815
18.667120 66.357 -149.9561
18.802390 66.531 -151.4714
18.938640 66.722 -153.0961
19.075877 66.927 -154.8041
19.214108 67.139 -156.6558
19.353342 67.354 -158.6544
19.493584 67.565 -160.7737
19.634843 67.765 -163.0201
19.777125 67.955 -165.3706
19.920438 68.134 -167.7578
20.064790 68.301 -170.2023
20.210187 68.458 -172.6225
20.356639 68.604 -175.0099
20.504151 68.745 -177.3504
20.652733 68.882 -179.6048
20.802391 69.018 178.2023
20.953134 69.161 176.0588
21.104969 69.313 173.9645
21.257904 69.475 171.8437
21.411948 69.649 169.7070
21.567108 69.829 167.4873
21.723392 70.015 165.1729
21.880808 70.198 162.7581
22.039366 70.375 160.2206
22.199072 70.539 157.5977
22.359936 70.687 154.8949
22.521965 70.816 152.1459
22.685168 70.925 149.3961
22.849554 71.014 146.6563
23.015132 71.087 143.9867
23.181909 71.144 141.3829
23.349895 71.193 138.8887
23.519098 71.235 136.4953
23.689527 71.278 134.2162
23.861191 71.323 132.0411
24.034099 71.374 129.9584
24.208260 71.432 127.9520
24.383683 71.498 125.9958
24.560377 71.579 124.0563
24.738352 71.684 122.0995
24.917616 71.817 120.0625
25.098179 71.981 117.9108
25.280051 72.163 115.5599
25.463241 72.355 112.9857
25.647758 72.540 110.1235
25.833612 72.710 106.9678
26.020813 72.855 103.5173
26.209371 72.971 99.7904
26.399294 73.050 95.8477
26.590595 73.081 91.7507
26.783281 73.054 87.5634
26.977364 72.961 83.4100
27.172853 72.800 79.3247
27.369758 72.586 75.4427
27.568091 72.332 71.7712
27.767861 72.058 68.3755
27.969078 71.774 65.1983
28.171754 71.487 62.2317
28.375898 71.196 59.3215
28.581521 70.893 56.4314
28.788635 70.563 53.4261
28.997249 70.186 50.3345
29.207375 69.743 47.1383
29.419024 69.208 44.0323
29.632206 68.565 41.1724
29.846933 67.801 38.8671
30.063216 66.926 37.5155
30.281067 65.970 37.5060
30.500496 64.999 39.2953
30.721515 64.128 42.8740
30.944136 63.448 48.0179
31.168370 63.033 53.6580
31.394229 62.830 59.0135
31.621724 62.768 63.7108
31.850868 62.754 68.0813
32.081673 62.796 72.8865
32.314150 62.960 78.4845
32.548312 63.368 84.9126
32.784170 64.085 91.0392
33.021738 65.058 95.6825
33.261027 66.166 98.1856
33.502050 67.252 98.5224
33.744819 68.238 97.3221
33.989348 69.083 95.1297
34.235649 69.785 92.5052
34.483735 70.375 89.9423
34.733618 70.904 87.6271
34.985312 71.430 85.6338
35.238830 72.011 83.7890
35.494185 72.665 81.6549
35.751391 73.371 78.8982
36.010460 74.086 75.3049
36.271407 74.752 70.7803
36.534244 75.325 65.4810
36.798987 75.778 59.6604
37.065647 76.098 53.5570
37.334240 76.284 47.4225
37.604779 76.351 41.5449
37.877279 76.324 36.1095
38.151754 76.233 31.2096
38.428217 76.110 26.8748
38.706684 75.984 23.0519
38.987168 75.873 19.6045
39.269685 75.784 16.3804
39.554250 75.714 13.2885
39.840876 75.659 10.2874
40.129579 75.616 7.3685
40.420375 75.590 4.5277
40.713278 75.586 1.7332
41.008303 75.609 -1.0950
41.305466 75.656 -4.0646
41.604782 75.718 -7.2721
41.906268 75.778 -10.7787
42.209938 75.819 -14.6011
42.515808 75.821 -18.7095
42.823895 75.767 -23.0284
43.134215 75.640 -27.4329
43.446783 75.432 -31.7406
43.761617 75.140 -35.7076
44.078731 74.782 -39.0421
44.398144 74.394 -41.4591
44.719871 74.044 -42.8000
45.043930 73.809 -43.1873
45.370337 73.751 -43.0997
45.699109 73.883 -43.2241
46.030264 74.160 -44.1333
46.363818 74.514 -46.0708
46.699789 74.881 -48.9817
47.038195 75.223 -52.6696
47.379053 75.520 -56.9286
47.722381 75.764 -61.6004
48.068197 75.953 -66.5670
48.416519 76.084 -71.7149
48.767365 76.161 -76.9066
49.120754 76.194 -81.9896
49.476703 76.209 -86.8490
49.835232 76.238 -91.4800
50.196358 76.309 -96.0272
50.560102 76.434 -100.7321
50.926481 76.602 -105.8041
51.295515 76.795 -111.3204
51.667224 77.003 -117.2487
52.041626 77.233 -123.5801
52.418741 77.495 -130.4607
52.798589 77.782 -138.1929
53.181189 78.053 -147.0768
53.566562 78.239 -157.2301
53.954727 78.267 -168.5114
54.345706 78.074 179.4641
54.739517 77.620 167.2538
55.136182 76.900 155.5151
55.535722 75.945 144.9234
55.938156 74.830 136.0596
56.343507 73.665 129.2371
56.751796 72.567 124.2862
57.163042 71.620 120.6883
57.577269 70.860 118.0237
57.994498 70.314 116.1498
58.414750 70.032 114.8525
58.838047 70.048 113.5068
59.264412 70.333 111.3164
59.693867 70.805 107.8365
60.126433 71.377 103.0278
60.562134 71.991 97.0045
61.000992 72.598 89.8694
61.443030 73.155 81.7496
61.888272 73.623 72.8870
62.336740 73.980 63.6201
62.788457 74.225 54.2887
63.243449 74.376 45.1849
63.701737 74.459 36.4674
64.163346 74.503 28.1777
64.628300 74.530 20.2593
65.096623 74.554 12.5697
65.568340 74.571 4.9100
66.043475 74.557 -2.8731
66.522053 74.481 -10.7746
67.004100 74.318 -18.5936
67.489639 74.067 -26.0579
67.978697 73.749 -32.9568
68.471298 73.398 -39.2830
68.967470 73.034 -45.2116
69.467236 72.656 -50.9336
69.970625 72.249 -56.5280
70.477661 71.797 -61.9885
70.988371 71.282 -67.2770
71.502782 70.680 -72.2723
72.020920 69.971 -76.5935
72.542814 69.164 -79.5130
73.068489 68.343 -80.1369
73.597973 67.685 -78.0557
74.131294 67.390 -74.2698
74.668480 67.522 -70.8890
75.209559 67.958 -69.5709
75.754558 68.505 -70.6206
76.303507 69.014 -73.5792
76.856434 69.398 -77.7875
77.413367 69.617 -82.5745
77.974336 69.673 -87.1910
78.539371 69.621 -90.8341
79.108499 69.569 -93.0651
79.681752 69.631 -94.1962
80.259159 69.873 -94.9907
80.840750 70.330 -95.7848
81.426555 71.046 -96.8934
82.016606 72.009 -99.6035
82.610932 73.055 -105.4562
83.209565 73.964 -114.6061
83.812535 74.584 -126.0901
84.419876 74.866 -138.7600
85.031617 74.823 -151.7938
85.647791 74.490 -164.8041
86.268430 73.893 -177.6626
86.893567 73.041 169.6213
87.523233 71.925 156.8694
88.157463 70.498 143.6587
88.796288 68.659 129.3728
89.439743 66.302 113.1023
90.087860 63.768 90.8856
90.740674 63.176 -54.5581
91.398218 65.420 -103.2039
92.060527 67.944 -126.3678
92.727636 69.648 -148.4392
93.399578 70.430 -170.0514
94.076390 70.357 169.8988
94.758106 69.562 153.1598
95.444763 68.278 141.5309
96.136395 66.851 135.5825
96.833039 65.640 133.4088
97.534731 64.816 131.9956
98.241508 64.312 129.6304
98.953406 63.971 126.0734
99.670463 63.680 121.6052
100.392717 63.374 116.2289
101.120204 62.970 109.7438
101.852962 62.363 102.5734
102.591031 61.493 96.1798
103.334448 60.435 92.4866
104.083252 59.424 92.5841
104.837482 58.768 95.4335
105.597178 58.627 97.9550
106.362378 58.854 97.3267
107.133124 59.144 92.9191
107.909455 59.233 85.4865
108.691411 58.941 76.2953
109.479034 58.172 67.3698
110.272364 56.979 61.7495
111.071443 55.668 62.5447
111.876313 54.772 69.1141
112.687014 54.634 75.6541
113.503591 55.108 79.0615
114.326085 55.897 79.4553
115.154539 56.760 76.6318
115.988996 57.513 70.9717
116.829500 58.069 63.8405
117.676095 58.437 56.2386
118.528824 58.628 48.1405
119.387733 58.608 39.5642
120.252866 58.358 31.4669
121.124268 57.940 24.9552
122.001984 57.471 20.3035
122.886061 57.041 16.8439
123.776544 56.649 13.7202
124.673480 56.267 11.3993
125.576915 56.039 12.2335
126.486897 56.379 17.8976
127.403473 57.548 24.0790
128.326691 59.185 23.9066
129.256599 60.766 16.9912
130.193246 62.024 6.0852
131.136680 62.884 -6.8844
132.086950 63.324 -20.8210
133.044107 63.351 -34.6083
134.008199 63.025 -47.1493
134.979278 62.442 -57.9586
135.957393 61.691 -67.1312
136.942597 60.836 -74.7397
137.934939 59.923 -81.1554
138.934473 58.911 -87.7164
139.941249 57.638 -94.3823
140.955321 56.068 -96.1492
141.976742 54.827 -83.3186
143.005564 54.992 -62.2058
144.041841 56.251 -55.8048
145.085627 57.491 -60.3920
146.136978 58.289 -67.9886
147.195946 58.662 -75.6226
148.262589 58.678 -82.7598
149.336961 58.394 -88.5813
150.419118 57.974 -90.9427
151.509117 57.869 -86.9475
152.607014 58.650 -77.7461
153.712868 60.245 -72.9109
154.826735 61.997 -77.4435
155.948673 63.439 -88.3466
157.078741 64.389 -102.9666
158.216999 64.774 -119.6780
159.363504 64.565 -137.1652
160.518318 63.732 -154.7810
161.681500 62.189 -171.5760
162.853110 59.868 176.4469
164.033211 57.061 -178.0339
165.221864 55.061 -142.5491
166.419129 55.010 -126.9287
167.625071 55.737 -128.3563
168.839751 56.223 -132.6093
170.063234 56.500 -132.9434
171.295582 56.893 -130.5453
172.536860 57.376 -131.4332
173.787134 57.647 -136.2487
175.046467 57.557 -141.1520
176.314926 57.394 -140.3799
177.592576 57.899 -129.3241
178.879485 59.381 -118.8770
180.175720 61.181 -120.3356
181.481347 62.717 -129.0942
182.796436 63.847 -140.6288
184.121054 64.613 -153.1871
185.455271 65.063 -166.6676
186.799157 65.182 178.3342
188.152780 64.889 161.6765
189.516213 64.109 144.2908
190.889526 62.828 126.9620
192.272790 61.069 109.2102
193.666078 58.881 89.0757
195.069462 56.522 61.8176
196.483016 55.060 18.0247
197.906813 55.837 -31.4865
199.340927 58.041 -63.1720
200.785433 60.459 -82.4941
202.240407 62.719 -97.0225
203.705925 64.667 -111.8120
205.182062 66.150 -128.8726
206.668896 67.057 -147.6353
208.166504 67.361 -166.2163
209.674964 67.139 177.4172
211.194355 66.536 164.1919
212.724757 65.646 152.5283
214.266248 64.407 141.3594
215.818909 62.873 136.8774
217.382822 61.834 151.3774
218.958068 62.209 167.4102
220.544728 63.266 163.9722
222.142886 63.954 151.9629
223.752625 63.994 139.4443
225.374029 63.522 130.3037
227.007182 62.849 126.2671
228.652170 62.267 124.7300
230.309077 61.815 121.8801
231.977992 61.377 118.3599
233.659000 60.946 116.6411
235.352190 60.602 115.8145
237.057649 60.262 112.3982
238.775466 59.719 107.3506
240.505731 58.928 104.4854
242.248535 58.269 112.0513
244.003968 58.324 124.4790
245.772121 58.943 126.8005
247.553087 59.656 124.6738
249.346959 60.466 125.0923
251.153830 61.478 124.5652
252.973794 62.548 120.0503
254.806946 63.406 110.6763
256.653383 63.776 96.9529
258.513199 63.549 83.2505
260.386492 62.857 73.4307
262.273360 62.075 70.9368
264.173901 61.692 72.9312
266.088214 61.847 72.4919
268.016399 62.258 67.3840
