* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -33.1 dBFS, measurement signal peak level -20.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 2:03:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.4433 ms (-495 mm, -(1 ft 7.49 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: p2_room_close-2
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 62.855 -88.6126
15.250248 62.988 -90.9746
15.360758 63.149 -93.3697
15.472068 63.314 -95.7659
15.584185 63.473 -98.1648
15.697114 63.627 -100.5729
15.810862 63.774 -102.9601
15.925434 63.913 -105.3233
16.040836 64.045 -107.6724
16.157075 64.173 -109.9924
16.274156 64.296 -112.2822
16.392085 64.416 -114.5486
16.510869 64.532 -116.7906
16.630513 64.646 -119.0113
16.751025 64.756 -121.2104
16.872410 64.863 -123.3872
16.994674 64.967 -125.5494
17.117825 65.066 -127.6824
17.241867 65.160 -129.7776
17.366809 65.249 -131.8439
17.492656 65.335 -133.8517
17.619415 65.417 -135.7930
17.747093 65.498 -137.6720
17.875695 65.581 -139.4678
18.005230 65.669 -141.1747
18.135703 65.764 -142.8155
18.267122 65.874 -144.3935
18.399493 65.997 -145.9102
18.532824 66.138 -147.4390
18.667120 66.298 -148.9649
18.802390 66.475 -150.5371
18.938640 66.665 -152.2152
19.075877 66.867 -153.9756
19.214108 67.074 -155.8645
19.353342 67.281 -157.8869
19.493584 67.484 -160.0140
19.634843 67.676 -162.2476
19.777125 67.858 -164.5690
19.920438 68.031 -166.9132
20.064790 68.193 -169.2991
20.210187 68.349 -171.6566
20.356639 68.497 -173.9755
20.504151 68.642 -176.2500
20.652733 68.785 -178.4494
20.802391 68.931 179.4026
20.953134 69.085 177.2830
21.104969 69.248 175.1938
21.257904 69.421 173.0585
21.411948 69.604 170.8867
21.567108 69.792 168.6212
21.723392 69.982 166.2497
21.880808 70.168 163.7766
22.039366 70.344 161.1830
22.199072 70.506 158.5096
22.359936 70.650 155.7676
22.521965 70.775 152.9887
22.685168 70.879 150.2208
22.849554 70.963 147.4720
23.015132 71.031 144.8008
23.181909 71.085 142.2013
23.349895 71.130 139.7133
23.519098 71.170 137.3283
23.689527 71.210 135.0571
23.861191 71.252 132.8913
24.034099 71.300 130.8208
24.208260 71.355 128.8313
24.383683 71.417 126.9008
24.560377 71.494 124.9955
24.738352 71.597 123.0838
24.917616 71.729 121.0977
25.098179 71.894 119.0014
25.280051 72.079 116.7015
25.463241 72.276 114.1715
25.647758 72.468 111.3396
25.833612 72.644 108.2001
26.020813 72.795 104.7512
26.209371 72.915 101.0135
26.399294 72.997 97.0527
26.590595 73.029 92.9341
26.783281 73.000 88.7271
26.977364 72.903 84.5614
27.172853 72.738 80.4745
27.369758 72.519 76.6054
27.568091 72.259 72.9614
27.767861 71.981 69.6060
27.969078 71.695 66.4754
28.171754 71.410 63.5564
28.375898 71.121 60.6821
28.581521 70.823 57.8129
28.788635 70.498 54.8072
28.997249 70.125 51.6985
29.207375 69.685 48.4689
29.419024 69.149 45.3243
29.632206 68.503 42.4230
29.846933 67.734 40.0814
30.063216 66.852 38.6996
30.281067 65.889 38.6682
30.500496 64.909 40.4398
30.721515 64.029 44.0025
30.944136 63.337 49.1382
31.168370 62.906 54.7949
31.394229 62.687 60.2220
31.621724 62.611 65.0570
31.850868 62.593 69.6390
32.081673 62.648 74.6979
32.314150 62.845 80.5276
32.548312 63.303 87.0566
32.784170 64.068 93.0795
33.021738 65.076 97.4715
33.261027 66.199 99.6780
33.502050 67.286 99.7518
33.744819 68.265 98.3388
33.989348 69.099 95.9776
34.235649 69.786 93.2192
34.483735 70.360 90.5534
34.733618 70.870 88.1699
34.985312 71.376 86.1500
35.238830 71.938 84.3303
35.494185 72.578 82.2697
35.751391 73.275 79.6178
36.010460 73.988 76.1418
36.271407 74.659 71.7296
36.534244 75.241 66.5255
36.798987 75.706 60.7800
37.065647 76.041 54.7303
37.334240 76.243 48.6257
37.604779 76.327 42.7502
37.877279 76.316 37.2857
38.151754 76.239 32.3234
38.428217 76.125 27.8951
38.706684 76.002 23.9573
38.987168 75.888 20.3939
39.269685 75.788 17.0790
39.554250 75.702 13.9410
39.840876 75.630 10.9467
40.129579 75.575 8.0799
40.420375 75.542 5.3142
40.713278 75.538 2.5848
41.008303 75.565 -0.2181
41.305466 75.616 -3.2125
41.604782 75.677 -6.4789
41.906268 75.729 -10.0472
42.209938 75.757 -13.9021
42.515808 75.744 -17.9939
42.823895 75.678 -22.2480
43.134215 75.546 -26.5605
43.446783 75.340 -30.7836
43.761617 75.057 -34.7081
44.078731 74.706 -38.0643
44.398144 74.321 -40.5625
44.719871 73.961 -42.0033
45.043930 73.703 -42.4377
45.370337 73.616 -42.2784
45.699109 73.721 -42.1979
46.030264 73.986 -42.8127
46.363818 74.341 -44.4277
46.699789 74.724 -47.0305
47.038195 75.092 -50.4460
47.379053 75.421 -54.4797
47.722381 75.703 -58.9810
48.068197 75.933 -63.8366
48.416519 76.105 -68.9342
48.767365 76.222 -74.1366
49.120754 76.293 -79.2938
49.476703 76.341 -84.2964
49.835232 76.395 -89.1387
50.196358 76.479 -93.9449
50.560102 76.602 -98.9152
50.926481 76.758 -104.2136
51.295515 76.932 -109.8909
51.667224 77.123 -115.9185
52.041626 77.341 -122.3140
52.418741 77.599 -129.2543
52.798589 77.885 -137.0593
53.181189 78.158 -146.0281
53.566562 78.350 -156.2679
53.954727 78.388 -167.6324
54.345706 78.209 -179.7422
54.739517 77.776 167.9435
55.136182 77.081 156.0587
55.535722 76.153 145.2571
55.938156 75.060 136.1130
56.343507 73.905 128.9737
56.751796 72.805 123.7418
57.163042 71.847 119.9427
57.577269 71.075 117.1113
57.994498 70.513 115.0214
58.414750 70.198 113.4479
58.838047 70.159 111.8710
59.264412 70.375 109.6034
59.693867 70.778 106.2094
60.126433 71.292 101.5953
60.562134 71.858 95.8273
61.000992 72.431 88.9838
61.443030 72.967 81.1749
61.888272 73.427 72.6205
62.336740 73.788 63.6357
62.788457 74.046 54.5404
63.243449 74.217 45.6136
63.701737 74.323 37.0150
64.163346 74.388 28.7968
64.628300 74.435 20.9131
65.096623 74.474 13.2235
65.568340 74.500 5.5317
66.043475 74.487 -2.2938
66.522053 74.402 -10.2063
67.004100 74.225 -17.9594
67.489639 73.963 -25.2688
67.978697 73.645 -31.9659
68.471298 73.305 -38.1130
68.967470 72.959 -43.9273
69.467236 72.600 -49.5833
69.970625 72.214 -55.1270
70.477661 71.785 -60.5521
70.988371 71.294 -65.8442
71.502782 70.716 -70.8746
72.020920 70.031 -75.2162
72.542814 69.254 -78.1241
73.068489 68.475 -78.7935
73.597973 67.863 -76.9553
74.131294 67.598 -73.5687
74.668480 67.745 -70.4862
75.209559 68.201 -69.2769
75.754558 68.788 -70.4542
76.303507 69.346 -73.7712
76.856434 69.771 -78.6307
77.413367 70.006 -84.3159
77.974336 70.039 -90.0491
78.539371 69.905 -95.0482
79.108499 69.677 -98.7729
79.681752 69.454 -101.0981
80.259159 69.332 -102.1874
80.840750 69.425 -102.0677
81.426555 69.874 -101.1613
82.016606 70.722 -101.3881
82.610932 71.780 -105.1151
83.209565 72.762 -112.7915
83.812535 73.470 -123.3145
84.419876 73.832 -135.3307
85.031617 73.855 -147.8633
85.647791 73.579 -160.4448
86.268430 73.031 -172.9419
86.893567 72.219 174.6064
87.523233 71.127 162.0209
88.157463 69.697 148.9265
88.796288 67.825 134.7589
89.439743 65.427 118.5994
90.087860 63.044 95.5510
90.740674 63.079 -66.3911
91.398218 65.663 -99.7644
92.060527 68.225 -121.5916
92.727636 69.945 -143.0952
93.399578 70.774 -164.4365
94.076390 70.781 175.5204
94.758106 70.092 158.4454
95.444763 68.925 145.9214
96.136395 67.586 138.2043
96.833039 66.344 133.4901
97.534731 65.287 129.7255
98.241508 64.369 126.3024
98.953406 63.538 123.4142
99.670463 62.792 121.3171
100.392717 62.176 120.0592
101.120204 61.751 119.2352
101.852962 61.542 118.0656
102.591031 61.509 115.7252
103.334448 61.554 111.6312
104.083252 61.551 105.7047
104.837482 61.392 98.4036
105.597178 61.011 90.3768
106.362378 60.365 82.1469
107.133124 59.412 74.2620
107.909455 58.118 67.8818
108.691411 56.537 65.4556
109.479034 54.993 70.4684
110.272364 54.158 82.7986
111.071443 54.438 93.6530
111.876313 55.379 96.9252
112.687014 56.379 94.4795
113.503591 57.212 89.6235
114.326085 57.888 83.8987
115.154539 58.433 77.2531
115.988996 58.828 69.6691
116.829500 59.066 61.7191
117.676095 59.165 53.7574
118.528824 59.130 45.5721
119.387733 58.923 37.1866
120.252866 58.524 29.3790
121.124268 57.980 23.0854
122.001984 57.393 18.7012
122.886061 56.859 15.6884
123.776544 56.385 12.9816
124.673480 55.924 10.8530
125.576915 55.602 11.9542
126.486897 55.864 18.5200
127.403473 57.012 25.8368
128.326691 58.660 26.2190
129.256599 60.246 19.4827
130.193246 61.494 8.6656
131.136680 62.328 -4.2427
132.086950 62.727 -18.0773
133.044107 62.701 -31.6311
134.008199 62.316 -43.7716
134.979278 61.672 -53.9243
135.957393 60.877 -62.0101
136.942597 60.028 -68.0717
137.934939 59.193 -72.8577
138.934473 58.325 -78.0441
139.941249 57.261 -83.1293
140.955321 56.056 -82.7526
141.976742 55.371 -70.9114
143.005564 55.864 -57.4565
144.041841 57.005 -55.7140
145.085627 57.953 -62.1299
146.136978 58.419 -70.6433
147.195946 58.441 -78.4535
148.262589 58.114 -84.8784
149.336961 57.547 -88.8115
150.419118 57.046 -87.2458
151.509117 57.266 -77.6699
152.607014 58.590 -66.9368
153.712868 60.474 -65.5958
154.826735 62.216 -73.4009
155.948673 63.510 -86.1405
157.078741 64.279 -101.4482
158.216999 64.498 -118.1038
159.363504 64.152 -135.2273
160.518318 63.196 -152.4125
161.681500 61.529 -168.4044
162.853110 59.115 -178.1273
164.033211 56.419 -165.9419
165.221864 54.921 -131.0792
166.419129 55.179 -122.7156
167.625071 55.787 -126.4904
168.839751 56.043 -130.7639
170.063234 56.122 -130.1368
171.295582 56.380 -126.7134
172.536860 56.798 -126.3489
173.787134 57.114 -129.1510
175.046467 57.248 -131.3781
176.314926 57.483 -129.1982
177.592576 58.291 -121.8231
178.879485 59.740 -116.3944
180.175720 61.338 -119.5637
181.481347 62.661 -128.7493
182.796436 63.597 -140.3036
184.121054 64.183 -152.6938
185.455271 64.471 -165.7595
186.799157 64.459 179.9805
188.152780 64.078 164.1573
189.516213 63.248 147.3966
190.889526 61.936 130.2354
192.272790 60.141 112.0396
193.666078 57.914 90.7802
195.069462 55.624 61.2910
196.483016 54.574 15.9646
197.906813 55.818 -28.7578
199.340927 58.164 -56.8265
200.785433 60.593 -74.6279
202.240407 62.843 -88.6169
203.705925 64.776 -103.2927
205.182062 66.246 -120.2566
206.668896 67.156 -138.7209
208.166504 67.493 -156.8945
209.674964 67.333 -173.0576
211.194355 66.805 173.5598
212.724757 65.984 161.4963
214.266248 64.796 149.8887
215.818909 63.307 145.1135
217.382822 62.305 159.2009
218.958068 62.642 173.1768
220.544728 63.563 168.3623
222.142886 64.087 156.2866
223.752625 63.993 144.6636
225.374029 63.457 136.8586
227.007182 62.800 133.9580
228.652170 62.293 132.9993
230.309077 61.938 130.2993
231.977992 61.590 126.4358
233.659000 61.214 123.9883
235.352190 60.868 122.1587
237.057649 60.448 117.5085
238.775466 59.748 111.7517
240.505731 58.768 109.6887
242.248535 57.974 119.6956
244.003968 58.000 133.7610
245.772121 58.706 137.4619
247.553087 59.702 138.7759
249.346959 60.966 141.3755
251.153830 62.372 138.9009
252.973794 63.650 131.4358
254.806946 64.575 119.6460
256.653383 64.937 104.1184
258.513199 64.644 88.6460
260.386492 63.825 77.5374
262.273360 62.888 74.9507
264.173901 62.382 77.0916
266.088214 62.448 76.2107
268.016399 62.770 70.5293
