* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -32.2 dBFS, measurement signal peak level -20.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 2:00:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.4515 ms (-498 mm, -(1 ft 7.6 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: p2_room_closed
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 62.877 -88.2575
15.250248 63.014 -90.6659
15.360758 63.179 -93.1131
15.472068 63.348 -95.5674
15.584185 63.510 -98.0330
15.697114 63.665 -100.5149
15.810862 63.812 -102.9767
15.925434 63.949 -105.4180
16.040836 64.077 -107.8479
16.157075 64.198 -110.2391
16.274156 64.312 -112.5927
16.392085 64.420 -114.9147
16.510869 64.524 -117.1917
16.630513 64.624 -119.4276
16.751025 64.720 -121.6234
16.872410 64.814 -123.7738
16.994674 64.905 -125.8839
17.117825 64.994 -127.9486
17.241867 65.082 -129.9630
17.366809 65.168 -131.9315
17.492656 65.255 -133.8444
17.619415 65.342 -135.6968
17.747093 65.432 -137.4931
17.875695 65.528 -139.2319
18.005230 65.629 -140.9061
18.135703 65.739 -142.5385
18.267122 65.862 -144.1388
18.399493 65.996 -145.7052
18.532824 66.144 -147.2932
18.667120 66.306 -148.8930
18.802390 66.480 -150.5367
18.938640 66.664 -152.2655
19.075877 66.856 -154.0623
19.214108 67.051 -155.9573
19.353342 67.247 -157.9535
19.493584 67.440 -160.0313
19.634843 67.625 -162.1911
19.777125 67.805 -164.4204
19.920438 67.979 -166.6761
20.064790 68.148 -168.9700
20.210187 68.314 -171.2570
20.356639 68.476 -173.5304
20.504151 68.635 -175.7873
20.652733 68.793 -178.0090
20.802391 68.951 179.7894
20.953134 69.113 177.5934
21.104969 69.279 175.4041
21.257904 69.448 173.1770
21.411948 69.622 170.9172
21.567108 69.797 168.5936
21.723392 69.971 166.1982
21.880808 70.141 163.7360
22.039366 70.302 161.1963
22.199072 70.454 158.6028
22.359936 70.593 155.9633
22.521965 70.719 153.2950
22.685168 70.831 150.6257
22.849554 70.929 147.9596
23.015132 71.016 145.3289
23.181909 71.091 142.7319
23.349895 71.158 140.1931
23.519098 71.218 137.7110
23.689527 71.273 135.3024
23.861191 71.324 132.9666
24.034099 71.374 130.7158
24.208260 71.424 128.5426
24.383683 71.476 126.4490
24.560377 71.539 124.4043
24.738352 71.624 122.3900
24.917616 71.738 120.3333
25.098179 71.886 118.1993
25.280051 72.056 115.8831
25.463241 72.242 113.3539
25.647758 72.424 110.5293
25.833612 72.593 107.4015
26.020813 72.738 103.9645
26.209371 72.855 100.2396
26.399294 72.933 96.2933
26.590595 72.964 92.1920
26.783281 72.933 88.0071
26.977364 72.836 83.8671
27.172853 72.673 79.8108
27.369758 72.457 75.9730
27.568091 72.203 72.3606
27.767861 71.932 69.0313
27.969078 71.654 65.9200
28.171754 71.378 63.0100
28.375898 71.100 60.1358
28.581521 70.810 57.2579
28.788635 70.493 54.2394
28.997249 70.127 51.1163
29.207375 69.692 47.8728
29.419024 69.162 44.7170
29.632206 68.520 41.8078
29.846933 67.753 39.4628
30.063216 66.873 38.0862
30.281067 65.911 38.0733
30.500496 64.932 39.8862
30.721515 64.055 43.5111
30.944136 63.370 48.7164
31.168370 62.951 54.4119
31.394229 62.743 59.8215
31.621724 62.674 64.5868
31.850868 62.652 69.0757
32.081673 62.692 74.0765
32.314150 62.867 79.9357
32.548312 63.307 86.6229
32.784170 64.068 92.8767
33.021738 65.086 97.4748
33.261027 66.226 99.8053
33.502050 67.329 99.9191
33.744819 68.320 98.4996
33.989348 69.160 96.1108
34.235649 69.849 93.3264
34.483735 70.422 90.6507
34.733618 70.932 88.2731
34.985312 71.439 86.2715
35.238830 72.004 84.4656
35.494185 72.650 82.3943
35.751391 73.353 79.7015
36.010460 74.069 76.1566
36.271407 74.739 71.6572
36.534244 75.316 66.3637
36.798987 75.772 60.5370
37.065647 76.094 54.4215
37.334240 76.283 48.2738
37.604779 76.352 42.3848
37.877279 76.328 36.9376
38.151754 76.242 32.0199
38.428217 76.124 27.6542
38.706684 76.003 23.7797
38.987168 75.896 20.2573
39.269685 75.807 16.9429
39.554250 75.731 13.7614
39.840876 75.666 10.6887
40.129579 75.612 7.7296
40.420375 75.575 4.8835
40.713278 75.563 2.1083
41.008303 75.583 -0.6981
41.305466 75.630 -3.6655
41.604782 75.691 -6.8975
41.906268 75.749 -10.4465
42.209938 75.784 -14.3099
42.515808 75.779 -18.4399
42.823895 75.718 -22.7543
43.134215 75.589 -27.1393
43.446783 75.384 -31.4416
43.761617 75.100 -35.4542
44.078731 74.747 -38.9140
44.398144 74.355 -41.5341
44.719871 73.981 -43.1017
45.043930 73.702 -43.6348
45.370337 73.590 -43.5119
45.699109 73.674 -43.4021
46.030264 73.924 -43.9563
46.363818 74.271 -45.5171
46.699789 74.649 -48.0842
47.038195 75.012 -51.4696
47.379053 75.339 -55.4614
47.722381 75.622 -59.9054
48.068197 75.858 -64.7052
48.416519 76.041 -69.7747
48.767365 76.170 -74.9933
49.120754 76.249 -80.2036
49.476703 76.299 -85.2631
49.835232 76.349 -90.1252
50.196358 76.429 -94.8933
50.560102 76.554 -99.7868
50.926481 76.717 -105.0165
51.295515 76.901 -110.6721
51.667224 77.097 -116.7270
52.041626 77.311 -123.1630
52.418741 77.555 -130.1086
52.798589 77.825 -137.8568
53.181189 78.084 -146.7167
53.566562 78.266 -156.8274
53.954727 78.300 -168.0712
54.345706 78.120 179.9167
54.739517 77.688 167.6754
55.136182 76.995 155.8422
55.535722 76.071 145.0706
55.938156 74.985 135.9265
56.343507 73.838 128.7413
56.751796 72.745 123.4114
57.163042 71.790 119.4868
57.577269 71.013 116.5511
57.994498 70.445 114.4160
58.414750 70.127 112.8580
58.838047 70.094 111.3241
59.264412 70.320 109.0919
59.693867 70.736 105.7150
60.126433 71.261 101.1097
60.562134 71.838 95.3593
61.000992 72.420 88.5518
61.443030 72.965 80.7961
61.888272 73.435 72.2999
62.336740 73.806 63.3622
62.788457 74.076 54.2913
63.243449 74.255 45.3635
63.701737 74.366 36.7462
64.163346 74.432 28.5071
64.628300 74.477 20.6179
65.096623 74.515 12.9468
65.568340 74.542 5.2902
66.043475 74.534 -2.5051
66.522053 74.458 -10.4119
67.004100 74.290 -18.1876
67.489639 74.035 -25.5350
67.978697 73.725 -32.2722
68.471298 73.395 -38.4686
68.967470 73.059 -44.3689
69.467236 72.708 -50.1648
69.970625 72.323 -55.8871
70.477661 71.886 -61.4984
70.988371 71.380 -66.9614
71.502782 70.778 -72.1320
72.020920 70.063 -76.5582
72.542814 69.253 -79.4667
73.068489 68.445 -80.0626
73.597973 67.809 -78.1251
74.131294 67.527 -74.6241
74.668480 67.663 -71.3870
75.209559 68.119 -70.0328
75.754558 68.709 -71.1311
76.303507 69.271 -74.3916
76.856434 69.700 -79.1566
77.413367 69.946 -84.7364
77.974336 69.995 -90.4279
78.539371 69.874 -95.4603
79.108499 69.653 -99.2128
79.681752 69.437 -101.4921
80.259159 69.329 -102.5278
80.840750 69.442 -102.4584
81.426555 69.904 -101.7106
82.016606 70.753 -102.1129
82.610932 71.805 -105.9747
83.209565 72.777 -113.7414
83.812535 73.476 -124.3154
84.419876 73.830 -136.3530
85.031617 73.849 -148.8999
85.647791 73.571 -161.5111
86.268430 73.021 -174.0576
86.893567 72.207 173.4388
87.523233 71.110 160.8110
88.157463 69.679 147.6628
88.796288 67.808 133.3713
89.439743 65.415 116.9170
90.087860 63.048 92.7847
90.740674 63.104 -65.6665
91.398218 65.684 -100.2233
92.060527 68.235 -122.3199
92.727636 69.949 -143.9536
93.399578 70.775 -165.3948
94.076390 70.777 174.4755
94.758106 70.084 157.3264
95.444763 68.914 144.7257
96.136395 67.572 136.9027
96.833039 66.320 132.0787
97.534731 65.248 128.2623
98.241508 64.314 124.8411
98.953406 63.467 121.9893
99.670463 62.706 119.9963
100.392717 62.084 118.8822
101.120204 61.659 118.1259
101.852962 61.449 116.9545
102.591031 61.412 114.6305
103.334448 61.451 110.5347
104.083252 61.438 104.5732
104.837482 61.267 97.2932
105.597178 60.876 89.3175
106.362378 60.217 81.0668
107.133124 59.239 73.2405
107.909455 57.918 67.3132
108.691411 56.349 65.6797
109.479034 54.886 71.3254
110.272364 54.189 83.6964
111.071443 54.581 93.8881
111.876313 55.555 96.3027
112.687014 56.536 93.2936
113.503591 57.333 88.1659
114.326085 57.976 82.3527
115.154539 58.500 75.6736
115.988996 58.879 67.9752
116.829500 59.094 59.8807
117.676095 59.169 51.8853
118.528824 59.116 43.7638
119.387733 58.901 35.4700
120.252866 58.501 27.7922
121.124268 57.965 21.6249
122.001984 57.392 17.2974
122.886061 56.872 14.3474
123.776544 56.416 11.7227
124.673480 55.977 9.5900
125.576915 55.669 10.4890
126.486897 55.915 16.5491
127.403473 57.022 23.6125
128.326691 58.642 24.1807
129.256599 60.218 17.6063
130.193246 61.466 6.9377
131.136680 62.309 -5.7590
132.086950 62.728 -19.3901
133.044107 62.732 -32.7935
134.008199 62.381 -44.8389
134.979278 61.774 -55.0208
135.957393 61.005 -63.3163
136.942597 60.162 -69.6172
137.934939 59.318 -74.4769
138.934473 58.441 -79.6166
139.941249 57.379 -84.5941
140.955321 56.191 -84.1980
141.976742 55.523 -72.7029
143.005564 56.012 -59.4891
144.041841 57.141 -57.7032
145.085627 58.089 -63.8448
146.136978 58.578 -71.9169
147.195946 58.654 -79.3156
148.262589 58.411 -85.3947
149.336961 57.957 -89.2172
150.419118 57.561 -88.3424
151.509117 57.765 -80.9960
152.607014 58.931 -72.0909
153.712868 60.671 -70.4075
154.826735 62.350 -77.2987
155.948673 63.635 -89.2816
157.078741 64.423 -104.0181
158.216999 64.679 -120.1918
159.363504 64.384 -136.8862
160.518318 63.494 -153.6475
161.681500 61.914 -169.1141
162.853110 59.626 -178.2932
164.033211 57.083 -168.3044
165.221864 55.599 -140.2057
166.419129 55.696 -131.6320
167.625071 56.177 -134.4418
168.839751 56.362 -138.3175
170.063234 56.384 -137.6265
171.295582 56.592 -134.0284
172.536860 56.962 -133.7842
173.787134 57.193 -137.2609
175.046467 57.153 -140.5568
176.314926 57.120 -138.7863
177.592576 57.715 -129.2909
178.879485 59.163 -120.4757
180.175720 60.902 -121.8097
181.481347 62.395 -130.4014
182.796436 63.475 -142.0525
184.121054 64.163 -154.8619
185.455271 64.509 -168.3634
186.799157 64.522 177.0547
188.152780 64.144 161.0560
189.516213 63.304 144.3218
190.889526 61.977 127.4879
192.272790 60.175 109.9604
193.666078 57.937 89.6532
195.069462 55.566 61.5088
196.483016 54.321 15.9395
197.906813 55.483 -32.2004
199.340927 57.892 -61.8319
200.785433 60.384 -80.2441
202.240407 62.668 -94.5181
203.705925 64.625 -109.1814
205.182062 66.121 -126.0642
206.668896 67.052 -144.6692
208.166504 67.388 -163.2305
209.674964 67.198 -179.7612
211.194355 66.621 166.7141
212.724757 65.746 154.7271
214.266248 64.510 143.2803
215.818909 62.969 138.4250
217.382822 61.903 152.6582
218.958068 62.246 168.7888
220.544728 63.262 164.9521
222.142886 63.899 152.8135
223.752625 63.898 140.6641
225.374029 63.418 131.9875
227.007182 62.763 128.1543
228.652170 62.209 126.5659
230.309077 61.778 123.4429
231.977992 61.336 119.3398
233.659000 60.853 116.8662
235.352190 60.416 115.8125
237.057649 59.978 112.6973
238.775466 59.357 108.1738
240.505731 58.522 106.2939
242.248535 57.876 115.0757
244.003968 57.980 127.7764
245.772121 58.639 130.0588
247.553087 59.415 128.6499
249.346959 60.345 129.9885
251.153830 61.488 129.2979
252.973794 62.645 124.0576
254.806946 63.545 113.9219
256.653383 63.922 99.5107
258.513199 63.669 85.0474
260.386492 62.913 74.5820
262.273360 62.042 72.1294
264.173901 61.600 74.9456
266.088214 61.767 75.2754
268.016399 62.228 70.2551
