* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -32.7 dBFS, measurement signal peak level -20.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 2:32:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.4499 ms (-497 mm, -(1 ft 7.58 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -3.4 ppm
* Measurement: p2_room_empty
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 63.087 -88.5423
15.250248 63.230 -90.9729
15.360758 63.403 -93.4545
15.472068 63.578 -95.9405
15.584185 63.743 -98.4338
15.697114 63.900 -100.9432
15.810862 64.047 -103.4224
15.925434 64.183 -105.8672
16.040836 64.310 -108.2917
16.157075 64.431 -110.6705
16.274156 64.547 -113.0001
16.392085 64.658 -115.2918
16.510869 64.767 -117.5448
16.630513 64.874 -119.7580
16.751025 64.980 -121.9384
16.872410 65.085 -124.0942
16.994674 65.188 -126.2268
17.117825 65.290 -128.3324
17.241867 65.389 -130.4121
17.366809 65.485 -132.4693
17.492656 65.578 -134.4828
17.619415 65.669 -136.4499
17.747093 65.758 -138.3706
17.875695 65.849 -140.2233
18.005230 65.942 -142.0061
18.135703 66.040 -143.7314
18.267122 66.149 -145.3960
18.399493 66.269 -147.0035
18.532824 66.404 -148.6100
18.667120 66.555 -150.2010
18.802390 66.720 -151.8219
18.938640 66.899 -153.5251
19.075877 67.091 -155.2906
19.214108 67.287 -157.1692
19.353342 67.487 -159.1635
19.493584 67.685 -161.2553
19.634843 67.875 -163.4518
19.777125 68.057 -165.7344
19.920438 68.231 -168.0504
20.064790 68.398 -170.4160
20.210187 68.557 -172.7658
20.356639 68.710 -175.0924
20.504151 68.859 -177.3858
20.652733 69.004 -179.6155
20.802391 69.150 178.1980
20.953134 69.302 176.0410
21.104969 69.461 173.9140
21.257904 69.628 171.7528
21.411948 69.803 169.5658
21.567108 69.983 167.3001
21.723392 70.165 164.9450
21.880808 70.343 162.5005
22.039366 70.513 159.9486
22.199072 70.672 157.3234
22.359936 70.814 154.6326
22.521965 70.939 151.9047
22.685168 71.045 149.1810
22.849554 71.134 146.4694
23.015132 71.207 143.8216
23.181909 71.268 141.2329
23.349895 71.320 138.7392
23.519098 71.367 136.3330
23.689527 71.412 134.0255
23.861191 71.459 131.8092
24.034099 71.509 129.6777
24.208260 71.564 127.6184
24.383683 71.625 125.6144
24.560377 71.698 123.6350
24.738352 71.794 121.6535
24.917616 71.919 119.6057
25.098179 72.074 117.4589
25.280051 72.249 115.1218
25.463241 72.437 112.5685
25.647758 72.619 109.7250
25.833612 72.787 106.5844
26.020813 72.933 103.1393
26.209371 73.049 99.4088
26.399294 73.129 95.4526
26.590595 73.160 91.3350
26.783281 73.131 87.1217
26.977364 73.035 82.9422
27.172853 72.871 78.8325
27.369758 72.653 74.9351
27.568091 72.393 71.2583
27.767861 72.113 67.8729
27.969078 71.824 64.7204
28.171754 71.535 61.7942
28.375898 71.243 58.9318
28.581521 70.942 56.0944
28.788635 70.618 53.1371
28.997249 70.249 50.0860
29.207375 69.816 46.9188
29.419024 69.291 43.8304
29.632206 68.658 40.9786
29.846933 67.905 38.6729
30.063216 67.040 37.3218
30.281067 66.094 37.3188
30.500496 65.133 39.1373
30.721515 64.278 42.7779
30.944136 63.623 48.0067
31.168370 63.247 53.7114
31.394229 63.095 59.0322
31.621724 63.090 63.5439
31.850868 63.128 67.5166
32.081673 63.198 71.6882
32.314150 63.348 76.4710
32.548312 63.682 82.0927
32.784170 64.286 87.7600
33.021738 65.142 92.4116
33.261027 66.162 95.2810
33.502050 67.201 96.1074
33.744819 68.172 95.3575
33.989348 69.024 93.5157
34.235649 69.743 91.1054
34.483735 70.349 88.6216
34.733618 70.886 86.2810
34.985312 71.404 84.1954
35.238830 71.960 82.2672
35.494185 72.578 80.1350
35.751391 73.245 77.4921
36.010460 73.925 74.1191
36.271407 74.570 69.8905
36.534244 75.136 64.9125
36.798987 75.595 59.4032
37.065647 75.933 53.5784
37.334240 76.146 47.6684
37.604779 76.247 41.9391
37.877279 76.255 36.5665
38.151754 76.198 31.6438
38.428217 76.103 27.2112
38.706684 75.993 23.2427
38.987168 75.888 19.6454
39.269685 75.797 16.3070
39.554250 75.721 13.1522
39.840876 75.661 10.1335
40.129579 75.618 7.2188
40.420375 75.597 4.3741
40.713278 75.600 1.5445
41.008303 75.628 -1.3521
41.305466 75.676 -4.4036
41.604782 75.733 -7.6786
41.906268 75.785 -11.2166
42.209938 75.819 -15.0258
42.515808 75.816 -19.0834
42.823895 75.762 -23.3301
43.134215 75.642 -27.6600
43.446783 75.445 -31.9067
43.761617 75.167 -35.8367
44.078731 74.824 -39.1636
44.398144 74.451 -41.6057
44.719871 74.112 -43.0028
45.043930 73.884 -43.4657
45.370337 73.826 -43.4495
45.699109 73.952 -43.6141
46.030264 74.222 -44.5212
46.363818 74.569 -46.4224
46.699789 74.933 -49.2806
47.038195 75.274 -52.9148
47.379053 75.571 -57.1268
47.722381 75.816 -61.7589
48.068197 76.006 -66.6901
48.416519 76.140 -71.8060
48.767365 76.222 -76.9747
49.120754 76.263 -82.0557
49.476703 76.286 -86.9484
49.835232 76.323 -91.6558
50.196358 76.397 -96.3130
50.560102 76.520 -101.1345
50.926481 76.682 -106.2975
51.295515 76.870 -111.8627
51.667224 77.079 -117.8113
52.041626 77.320 -124.1759
52.418741 77.599 -131.1514
52.798589 77.902 -139.0619
53.181189 78.178 -148.1842
53.566562 78.358 -158.5831
53.954727 78.368 -170.0615
54.345706 78.148 177.8073
54.739517 77.666 165.6029
55.136182 76.923 153.9822
55.535722 75.959 143.5889
55.938156 74.854 134.9326
56.343507 73.715 128.2195
56.751796 72.649 123.2087
57.163042 71.720 119.4265
57.577269 70.957 116.5732
57.994498 70.393 114.5828
58.414750 70.083 113.2433
58.838047 70.069 111.9175
59.264412 70.324 109.8159
59.693867 70.772 106.4763
60.126433 71.329 101.8082
60.562134 71.928 95.8993
61.000992 72.519 88.8876
61.443030 73.059 80.9628
61.888272 73.518 72.3924
62.336740 73.884 63.4706
62.788457 74.156 54.4523
63.243449 74.344 45.5510
63.701737 74.464 36.9089
64.163346 74.534 28.6116
64.628300 74.573 20.6749
65.096623 74.600 13.0080
65.568340 74.614 5.4387
66.043475 74.600 -2.1743
66.522053 74.533 -9.8264
67.004100 74.396 -17.3485
67.489639 74.194 -24.5368
67.978697 73.948 -31.2789
68.471298 73.683 -37.6384
68.967470 73.409 -43.7967
69.467236 73.119 -49.9122
69.970625 72.795 -56.0532
70.477661 72.415 -62.2393
70.988371 71.954 -68.4532
71.502782 71.376 -74.5505
72.020920 70.648 -80.0953
72.542814 69.768 -84.2991
73.068489 68.800 -86.1470
73.597973 67.911 -84.8834
74.131294 67.338 -80.9389
74.668480 67.248 -76.2504
75.209559 67.599 -73.1463
75.754558 68.188 -72.7836
76.303507 68.798 -75.0833
76.856434 69.281 -79.3229
77.413367 69.564 -84.5977
77.974336 69.630 -89.9911
78.539371 69.517 -94.6266
79.108499 69.311 -97.8552
79.681752 69.130 -99.4166
80.259159 69.117 -99.4578
80.840750 69.417 -98.3749
81.426555 70.134 -97.3655
82.016606 71.198 -98.7283
82.610932 72.350 -104.1163
83.209565 73.330 -113.1789
83.812535 73.993 -124.5941
84.419876 74.308 -137.1272
85.031617 74.298 -150.0245
85.647791 73.996 -162.9941
86.268430 73.419 -175.9458
86.893567 72.565 171.1331
87.523233 71.414 158.0891
88.157463 69.912 144.4917
88.796288 67.950 129.6809
89.439743 65.469 112.4224
90.087860 63.165 84.0613
90.740674 63.518 -69.7548
91.398218 66.170 -102.0123
92.060527 68.654 -124.1775
92.727636 70.295 -145.8328
93.399578 71.064 -167.2161
94.076390 71.030 172.7573
94.758106 70.314 155.6862
95.444763 69.129 143.0803
96.136395 67.764 135.2224
96.833039 66.482 130.4879
97.534731 65.385 126.9733
98.241508 64.453 124.0476
98.953406 63.655 121.7095
99.670463 62.988 119.9210
100.392717 62.477 118.5153
101.120204 62.144 117.0703
101.852962 61.984 114.9973
102.591031 61.950 111.6881
103.334448 61.943 106.6090
104.083252 61.835 99.7222
104.837482 61.518 91.6766
105.597178 60.929 83.3175
106.362378 60.037 75.3044
107.133124 58.815 68.5604
107.909455 57.293 65.0891
108.691411 55.711 68.0438
109.479034 54.652 78.7362
110.272364 54.668 90.7310
111.071443 55.531 96.3336
111.876313 56.611 95.2068
112.687014 57.530 90.0852
113.503591 58.212 83.4718
114.326085 58.718 76.5463
115.154539 59.101 69.1624
115.988996 59.356 61.0680
116.829500 59.463 52.6494
117.676095 59.434 44.2582
118.528824 59.269 35.7261
119.387733 58.929 27.0374
120.252866 58.380 18.8492
121.124268 57.637 12.0919
122.001984 56.779 7.5140
122.886061 55.916 5.1713
123.776544 55.120 4.1611
124.673480 54.427 4.6815
125.576915 54.098 10.0427
126.486897 54.698 21.5647
127.403473 56.293 30.1642
128.326691 58.198 28.9926
129.256599 59.861 20.8077
130.193246 61.103 9.2510
131.136680 61.898 -3.8169
132.086950 62.256 -17.2958
133.044107 62.209 -30.0618
134.008199 61.836 -41.0840
134.979278 61.258 -49.8442
135.957393 60.602 -56.3970
136.942597 59.981 -61.0953
137.934939 59.441 -65.2363
138.934473 58.886 -70.2754
139.941249 58.192 -74.6182
140.955321 57.528 -73.8080
141.976742 57.374 -67.8254
143.005564 57.855 -64.5646
144.041841 58.521 -67.6699
145.085627 58.919 -74.9879
146.136978 58.875 -83.0687
147.195946 58.435 -89.3263
148.262589 57.764 -92.2520
149.336961 57.137 -90.9420
150.419118 56.992 -84.3455
151.509117 57.808 -73.4171
152.607014 59.499 -66.0609
153.712868 61.437 -67.7565
154.826735 63.142 -76.3997
155.948673 64.441 -88.8259
157.078741 65.275 -103.7645
158.216999 65.590 -120.3995
159.363504 65.347 -137.5981
160.518318 64.516 -154.5507
161.681500 63.036 -170.0831
162.853110 60.896 179.9596
164.033211 58.464 -174.5178
165.221864 56.807 -153.8821
166.419129 56.476 -146.2648
167.625071 56.559 -148.9393
168.839751 56.373 -153.0674
170.063234 55.926 -153.2853
171.295582 55.576 -148.5503
172.536860 55.517 -144.2402
173.787134 55.571 -143.5502
175.046467 55.607 -142.9027
176.314926 56.016 -135.3965
177.592576 57.354 -121.7620
178.879485 59.333 -115.9572
180.175720 61.194 -121.9088
181.481347 62.543 -133.8678
182.796436 63.340 -147.4269
184.121054 63.702 -160.4640
185.455271 63.771 -172.6287
186.799157 63.622 174.9641
188.152780 63.199 161.0316
189.516213 62.382 145.7952
190.889526 61.080 129.9406
192.272790 59.242 113.5005
193.666078 56.887 95.1805
195.069462 54.395 68.3567
196.483016 53.352 15.6277
197.906813 55.020 -39.0975
199.340927 57.681 -68.4844
200.785433 60.179 -86.7427
202.240407 62.366 -100.8433
203.705925 64.230 -114.5435
205.182062 65.715 -129.5962
206.668896 66.734 -146.3948
208.166504 67.220 -164.0310
209.674964 67.167 179.1125
211.194355 66.636 164.3618
212.724757 65.687 151.5811
214.266248 64.330 141.0283
215.818909 62.814 140.1375
217.382822 62.117 158.6060
218.958068 62.797 168.7905
220.544728 63.814 161.7275
222.142886 64.341 149.1714
223.752625 64.248 137.1265
225.374029 63.715 128.8696
227.007182 63.083 125.9768
228.652170 62.625 124.3257
230.309077 62.253 119.4766
231.977992 61.734 113.3477
233.659000 61.044 109.9634
235.352190 60.391 110.5405
237.057649 59.895 110.4143
238.775466 59.396 107.3943
240.505731 58.730 104.5137
242.248535 58.184 111.7783
244.003968 58.331 124.4766
245.772121 59.011 126.4580
247.553087 59.733 123.5889
249.346959 60.490 122.9390
251.153830 61.433 122.4482
252.973794 62.481 118.7253
254.806946 63.357 109.7510
256.653383 63.756 96.1155
258.513199 63.561 82.5437
260.386492 62.941 73.4634
262.273360 62.305 71.1316
264.173901 62.089 71.9934
266.088214 62.338 69.6943
