* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, L, volume: no control. Timing signal peak level -32.9 dBFS, measurement signal peak level -20.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 9, 2024 1:55:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1104 ms (-38 mm, -1.49 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 5.4 ppm
* Measurement: p2_room_mic-to-mic
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.140533 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.140533 62.874 -88.9795
15.250248 62.995 -91.4035
15.360758 63.141 -93.8392
15.472068 63.291 -96.2588
15.584185 63.438 -98.6685
15.697114 63.583 -101.0804
15.810862 63.722 -103.4697
15.925434 63.856 -105.8422
16.040836 63.984 -108.2083
16.157075 64.107 -110.5461
16.274156 64.226 -112.8660
16.392085 64.340 -115.1712
16.510869 64.448 -117.4402
16.630513 64.552 -119.6893
16.751025 64.652 -121.9117
16.872410 64.747 -124.0857
16.994674 64.838 -126.2300
17.117825 64.926 -128.3296
17.241867 65.011 -130.3667
17.366809 65.094 -132.3563
17.492656 65.178 -134.2858
17.619415 65.263 -136.1444
17.747093 65.352 -137.9444
17.875695 65.448 -139.6927
18.005230 65.552 -141.3745
18.135703 65.665 -143.0239
18.267122 65.792 -144.6565
18.399493 65.931 -146.2615
18.532824 66.082 -147.9017
18.667120 66.247 -149.5630
18.802390 66.422 -151.2699
18.938640 66.605 -153.0624
19.075877 66.795 -154.9186
19.214108 66.987 -156.8611
19.353342 67.178 -158.8965
19.493584 67.367 -161.0005
19.634843 67.549 -163.1762
19.777125 67.726 -165.4151
19.920438 67.899 -167.6741
20.064790 68.068 -169.9740
20.210187 68.234 -172.2660
20.356639 68.397 -174.5514
20.504151 68.557 -176.8233
20.652733 68.715 -179.0596
20.802391 68.872 178.7223
20.953134 69.031 176.5215
21.104969 69.194 174.3350
21.257904 69.361 172.1261
21.411948 69.533 169.9009
21.567108 69.709 167.6206
21.723392 69.887 165.2774
21.880808 70.064 162.8636
22.039366 70.237 160.3567
22.199072 70.401 157.7784
22.359936 70.554 155.1171
22.521965 70.692 152.3979
22.685168 70.813 149.6423
22.849554 70.915 146.8608
23.015132 70.996 144.1083
23.181909 71.059 141.3795
23.349895 71.104 138.7461
23.519098 71.135 136.1940
23.689527 71.157 133.7877
23.861191 71.174 131.5081
24.034099 71.193 129.3883
24.208260 71.218 127.3974
24.383683 71.255 125.5225
24.560377 71.314 123.7053
24.738352 71.406 121.8958
24.917616 71.535 120.0039
25.098179 71.702 117.9747
25.280051 71.892 115.7150
25.463241 72.094 113.1906
25.647758 72.288 110.3580
25.833612 72.465 107.2042
26.020813 72.615 103.7634
26.209371 72.734 100.0400
26.399294 72.816 96.1191
26.590595 72.851 92.0494
26.783281 72.828 87.8893
26.977364 72.741 83.7672
27.172853 72.589 79.6871
27.369758 72.384 75.8076
27.568091 72.136 72.1064
27.767861 71.866 68.6813
27.969078 71.582 65.4748
28.171754 71.292 62.5044
28.375898 70.997 59.6365
28.581521 70.693 56.8434
28.788635 70.370 53.9859
28.997249 70.010 51.0742
29.207375 69.598 48.0587
29.419024 69.104 45.0982
29.632206 68.510 42.3137
29.846933 67.801 39.9634
30.063216 66.975 38.4381
30.281067 66.056 38.0758
30.500496 65.093 39.3944
30.721515 64.194 42.4648
30.944136 63.455 47.3047
31.168370 62.976 53.0085
31.394229 62.739 58.7812
31.621724 62.690 64.1086
31.850868 62.738 69.0697
32.081673 62.884 74.2428
32.314150 63.176 79.7822
32.548312 63.706 85.6332
32.784170 64.500 90.7367
33.021738 65.491 94.2952
33.261027 66.564 95.9160
33.502050 67.585 95.6522
33.744819 68.493 94.1236
33.989348 69.257 91.7938
34.235649 69.880 89.1890
34.483735 70.399 86.7736
34.733618 70.869 84.6804
34.985312 71.354 82.9624
35.238830 71.911 81.4012
35.494185 72.556 79.5142
35.751391 73.263 76.9789
36.010460 73.983 73.5905
36.271407 74.657 69.2537
36.534244 75.239 64.1443
36.798987 75.703 58.5152
37.065647 76.035 52.5844
37.334240 76.237 46.5815
37.604779 76.319 40.7946
37.877279 76.305 35.4077
38.151754 76.222 30.5139
38.428217 76.102 26.1595
38.706684 75.975 22.3214
38.987168 75.863 18.8854
39.269685 75.777 15.6887
39.554250 75.715 12.6117
39.840876 75.671 9.5845
40.129579 75.637 6.5834
40.420375 75.611 3.6157
40.713278 75.597 0.6908
41.008303 75.602 -2.2180
41.305466 75.629 -5.1895
41.604782 75.677 -8.3293
41.906268 75.732 -11.7347
42.209938 75.777 -15.4615
42.515808 75.786 -19.5026
42.823895 75.738 -23.7766
43.134215 75.613 -28.1298
43.446783 75.402 -32.3428
43.761617 75.111 -36.1495
44.078731 74.764 -39.2754
44.398144 74.406 -41.5096
44.719871 74.103 -42.8137
45.043930 73.919 -43.4065
45.370337 73.894 -43.7421
45.699109 74.023 -44.3358
46.030264 74.268 -45.5560
46.363818 74.577 -47.5428
46.699789 74.910 -50.2714
47.038195 75.238 -53.6577
47.379053 75.544 -57.6211
47.722381 75.811 -62.0860
48.068197 76.025 -66.9513
48.416519 76.176 -72.0663
48.767365 76.266 -77.2415
49.120754 76.310 -82.2989
49.476703 76.340 -87.1449
49.835232 76.390 -91.8243
50.196358 76.481 -96.5105
50.560102 76.617 -101.4132
50.926481 76.783 -106.6650
51.295515 76.967 -112.2830
51.667224 77.170 -118.2412
52.041626 77.405 -124.5977
52.418741 77.682 -131.5671
52.798589 77.982 -139.4590
53.181189 78.257 -148.5130
53.566562 78.439 -158.7800
53.954727 78.460 -170.0850
54.345706 78.264 177.9422
54.739517 77.818 165.8061
55.136182 77.117 154.0914
55.535722 76.188 143.4033
55.938156 75.098 134.2784
56.343507 73.946 127.0790
56.751796 72.851 121.7672
57.163042 71.910 117.9037
57.577269 71.167 114.9832
57.994498 70.639 112.7409
58.414750 70.350 110.9991
58.838047 70.332 109.3648
59.264412 70.577 107.1837
59.693867 71.019 103.9177
60.126433 71.568 99.3561
60.562134 72.149 93.5908
61.000992 72.715 86.8083
61.443030 73.234 79.1804
61.888272 73.680 70.8879
62.336740 74.034 62.1387
62.788457 74.288 53.1623
63.243449 74.447 44.2296
63.701737 74.530 35.5366
64.163346 74.564 27.1746
64.628300 74.574 19.1325
65.096623 74.573 11.2831
65.568340 74.556 3.4785
66.043475 74.503 -4.3500
66.522053 74.390 -12.1482
67.004100 74.206 -19.7271
67.489639 73.959 -26.9244
67.978697 73.670 -33.6663
68.471298 73.359 -40.0215
68.967470 73.028 -46.1157
69.467236 72.670 -52.0137
69.970625 72.277 -57.7034
70.477661 71.842 -63.1807
70.988371 71.355 -68.4843
71.502782 70.787 -73.5653
72.020920 70.109 -78.0641
72.542814 69.321 -81.2543
73.068489 68.505 -82.2934
73.597973 67.834 -80.8440
74.131294 67.499 -77.8436
74.668480 67.569 -75.0082
75.209559 67.953 -73.7205
75.754558 68.491 -74.4310
76.303507 69.044 -77.0742
76.856434 69.499 -81.3207
77.413367 69.785 -86.6226
77.974336 69.867 -92.2566
78.539371 69.761 -97.3909
79.108499 69.534 -101.3905
79.681752 69.289 -103.9638
80.259159 69.138 -105.1743
80.840750 69.210 -105.1398
81.426555 69.656 -104.3911
82.016606 70.524 -104.7169
82.610932 71.626 -108.3371
83.209565 72.664 -115.8085
83.812535 73.426 -126.2133
84.419876 73.826 -138.2791
85.031617 73.869 -150.9915
85.647791 73.593 -163.8176
86.268430 73.033 -176.5693
86.893567 72.203 170.7410
87.523233 71.092 157.9360
88.157463 69.651 144.6583
88.796288 67.778 130.4277
89.439743 65.394 114.5271
90.087860 63.022 93.1167
90.740674 62.966 -73.4366
91.398218 65.463 -105.4236
92.060527 68.000 -126.7009
92.727636 69.715 -147.7773
93.399578 70.541 -168.6705
94.076390 70.540 171.7415
94.758106 69.841 155.0342
95.444763 68.668 142.6414
96.136395 67.334 134.6935
96.833039 66.101 129.4841
97.534731 65.039 125.3037
98.241508 64.102 121.8033
98.953406 63.264 119.1008
99.670463 62.539 117.2229
100.392717 61.970 116.0928
101.120204 61.609 115.2034
101.852962 61.456 113.8043
102.591031 61.462 111.3119
103.334448 61.536 107.2307
104.083252 61.558 101.3865
104.837482 61.419 94.1628
105.597178 61.047 86.1281
106.362378 60.388 77.7765
107.133124 59.382 69.9055
107.909455 58.005 64.1805
108.691411 56.382 63.1765
109.479034 54.926 68.9156
110.272364 54.257 78.8541
111.071443 54.570 86.5844
111.876313 55.431 89.0968
112.687014 56.358 87.1251
113.503591 57.137 82.6356
114.326085 57.757 77.1025
115.154539 58.253 70.7537
115.988996 58.615 63.5302
116.829500 58.832 55.9277
117.676095 58.933 48.2677
118.528824 58.916 40.3395
119.387733 58.731 32.1976
120.252866 58.344 24.6956
121.124268 57.809 18.9082
122.001984 57.257 15.0820
122.886061 56.784 12.3308
123.776544 56.373 9.8049
124.673480 55.966 7.6895
125.576915 55.649 7.8534
126.486897 55.837 12.4694
127.403473 56.920 18.4109
128.326691 58.580 18.8252
129.256599 60.216 12.5596
130.193246 61.510 2.1965
131.136680 62.379 -10.1141
132.086950 62.812 -23.1907
133.044107 62.820 -36.0328
134.008199 62.464 -47.7441
134.979278 61.829 -57.8995
135.957393 60.999 -66.2363
136.942597 60.076 -72.4601
137.934939 59.156 -77.1344
138.934473 58.218 -81.5032
139.941249 57.137 -84.6707
140.955321 56.048 -82.2163
141.976742 55.627 -71.7583
143.005564 56.305 -62.4458
144.041841 57.451 -62.0096
145.085627 58.359 -67.6556
146.136978 58.826 -74.9923
147.195946 58.910 -81.8593
148.262589 58.707 -87.4712
149.336961 58.328 -90.8893
150.419118 58.014 -90.6974
151.509117 58.214 -86.0319
152.607014 59.268 -79.9707
153.712868 60.885 -79.0813
154.826735 62.484 -85.1923
155.948673 63.737 -95.9467
157.078741 64.528 -109.4702
158.216999 64.801 -124.5669
159.363504 64.526 -140.2129
160.518318 63.656 -155.6470
161.681500 62.107 -169.2595
162.853110 59.879 -176.4966
164.033211 57.421 -168.9381
165.221864 55.934 -150.1765
166.419129 55.886 -142.6868
167.625071 56.206 -144.1323
168.839751 56.248 -146.8237
170.063234 56.119 -146.1014
171.295582 56.174 -142.7644
172.536860 56.428 -141.6655
173.787134 56.570 -143.6218
175.046467 56.465 -144.9825
176.314926 56.487 -140.9669
177.592576 57.353 -130.4478
178.879485 59.110 -123.0566
180.175720 61.013 -125.5040
181.481347 62.561 -134.3057
182.796436 63.654 -145.8448
184.121054 64.340 -158.4791
185.455271 64.681 -171.7069
186.799157 64.692 174.2538
188.152780 64.321 159.1318
189.516213 63.489 143.3418
190.889526 62.156 127.3928
192.272790 60.316 110.8883
193.666078 57.996 91.9719
195.069462 55.515 64.2153
196.483016 54.318 6.5375
197.906813 55.728 -50.8164
199.340927 58.259 -78.1792
200.785433 60.748 -95.0303
202.240407 62.980 -108.6538
203.705925 64.874 -122.6953
205.182062 66.309 -138.5742
206.668896 67.182 -155.8967
208.166504 67.455 -173.1594
209.674964 67.188 171.2798
211.194355 66.499 158.2144
212.724757 65.469 147.0591
214.266248 64.071 138.0610
215.818909 62.468 136.9883
217.382822 61.635 150.9312
218.958068 62.353 162.1758
220.544728 63.550 157.8784
222.142886 64.228 146.7173
223.752625 64.220 135.3765
225.374029 63.720 126.9404
227.007182 63.041 122.3455
228.652170 62.450 119.7407
230.309077 61.970 116.5620
231.977992 61.479 113.1699
233.659000 60.976 111.3074
235.352190 60.564 110.3323
237.057649 60.191 107.8918
238.775466 59.680 104.7197
240.505731 59.016 103.7559
242.248535 58.570 109.1519
244.003968 58.781 116.0791
245.772121 59.379 116.5259
247.553087 59.910 113.5962
249.346959 60.421 112.2739
251.153830 61.147 111.5032
252.973794 62.062 108.4309
254.806946 62.891 101.2107
256.653383 63.288 89.8252
258.513199 63.077 77.9158
260.386492 62.369 69.2668
262.273360 61.551 66.5083
264.173901 61.162 67.6145
266.088214 61.391 67.3098
