* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -25.8 dBFS, measurement signal peak level -17.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 9:08:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0067 ms (2.3 mm, 0.09 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 22.992 -59.3413
10.166832 23.153 -62.6466
10.240505 23.348 -65.7464
10.314712 23.549 -68.5666
10.389457 23.749 -71.0115
10.464743 23.933 -72.9960
10.540575 24.090 -74.6321
10.616956 24.236 -75.9707
10.693891 24.388 -77.0157
10.771383 24.557 -77.7577
10.849437 24.742 -78.1178
10.928057 24.942 -78.1525
11.007246 25.165 -78.0151
11.087009 25.424 -77.8536
11.167350 25.727 -77.6600
11.248273 26.070 -77.3145
11.329783 26.442 -77.0222
11.411883 26.829 -76.9724
11.494578 27.229 -77.2356
11.577873 27.649 -77.6291
11.661771 28.072 -78.2128
11.746277 28.475 -79.0636
11.831395 28.849 -80.2462
11.917130 29.200 -81.7028
12.003487 29.519 -83.3350
12.090469 29.788 -85.0807
12.178081 30.001 -87.0104
12.266329 30.162 -89.2307
12.355216 30.260 -91.5299
12.444747 30.280 -93.7145
12.534926 30.222 -95.9420
12.625760 30.084 -98.3548
12.717251 29.842 -100.6286
12.809406 29.475 -102.4182
12.902228 28.982 -104.0198
12.995723 28.358 -105.3185
13.089895 27.582 -105.7387
13.184750 26.574 -104.5989
13.280292 25.298 -101.5732
13.376526 24.099 -95.5038
13.473458 23.435 -85.0566
13.571093 23.473 -69.4825
13.669434 24.057 -52.2833
13.768489 25.034 -39.3634
13.868261 26.373 -31.9904
13.968756 28.041 -28.0367
14.069979 29.710 -26.6514
14.171936 31.114 -27.1673
14.274632 32.280 -28.8807
14.378072 33.281 -31.2312
14.482261 34.146 -33.9758
14.587206 34.875 -37.2976
14.692910 35.473 -40.9343
14.799381 35.958 -44.5272
14.906624 36.338 -48.2872
15.014643 36.607 -52.3153
15.123446 36.770 -56.1572
15.233036 36.831 -59.8328
15.343421 36.785 -63.6689
15.454606 36.630 -67.2021
15.566596 36.362 -70.2458
15.679398 35.980 -73.1315
15.793018 35.486 -75.4327
15.907460 34.866 -76.7391
16.022732 34.138 -77.0873
16.138840 33.390 -76.1296
16.255788 32.648 -73.2238
16.373585 31.975 -68.0722
16.492234 31.613 -61.4714
16.611744 31.703 -53.8914
16.732119 32.141 -46.5450
16.853367 32.794 -41.3004
16.975494 33.646 -38.0536
17.098505 34.562 -36.5265
17.222408 35.375 -36.5739
17.347209 36.087 -37.8678
17.472914 36.689 -39.8041
17.599530 37.161 -42.2669
17.727063 37.509 -45.2629
17.855521 37.741 -48.1929
17.984909 37.856 -51.2804
18.115235 37.863 -54.3463
18.246506 37.772 -56.9501
18.378727 37.583 -59.3552
18.511907 37.323 -61.2149
18.646052 36.998 -62.3109
18.781169 36.645 -62.7014
18.917265 36.319 -62.2278
19.054347 36.036 -60.7371
19.192423 35.869 -58.6840
19.331499 35.858 -56.1093
19.471583 35.991 -53.4221
19.612682 36.263 -51.2596
19.754804 36.649 -49.5554
19.897956 37.077 -48.6076
20.042144 37.524 -48.3867
20.187378 37.957 -48.6678
20.333664 38.347 -49.4139
20.481010 38.697 -50.4523
20.629424 39.003 -51.5514
20.778913 39.271 -52.7492
20.929486 39.516 -53.8327
21.081150 39.744 -54.8252
21.233912 39.973 -55.7303
21.387782 40.212 -56.5156
21.542767 40.463 -57.3017
21.698874 40.731 -58.1188
21.856113 41.005 -59.0029
22.014492 41.278 -60.0375
22.174018 41.538 -61.1513
22.334700 41.771 -62.3291
22.496546 41.974 -63.5088
22.659566 42.140 -64.5033
22.823766 42.279 -65.3146
22.989157 42.406 -65.6929
23.155745 42.541 -65.6824
23.323542 42.722 -65.2168
23.492554 42.970 -64.3803
23.662790 43.314 -63.4720
23.834261 43.755 -62.5858
24.006973 44.274 -62.1844
24.180938 44.848 -62.2280
24.356163 45.429 -62.9608
24.532658 45.993 -64.1963
24.710431 46.504 -65.8901
24.889493 46.953 -67.8187
25.069853 47.331 -69.7952
25.251519 47.653 -71.6158
25.434502 47.933 -73.0938
25.618811 48.214 -74.1520
25.804456 48.528 -74.6977
25.991445 48.924 -75.0112
26.179790 49.419 -75.1550
26.369500 50.017 -75.7057
26.560584 50.694 -76.7251
26.753053 51.403 -78.5890
26.946917 52.103 -81.1758
27.142185 52.754 -84.5324
27.338869 53.326 -88.3703
27.536977 53.805 -92.6442
27.736522 54.180 -96.9907
27.937512 54.459 -101.3130
28.139959 54.651 -105.3790
28.343872 54.786 -109.0073
28.549264 54.889 -112.1506
28.756143 55.008 -114.7589
28.964522 55.171 -117.0265
29.174411 55.404 -119.0823
29.385821 55.700 -121.3699
29.598763 56.041 -123.9824
29.813248 56.382 -127.2027
30.029287 56.680 -130.9156
30.246891 56.901 -135.1195
30.466073 57.009 -139.5372
30.686842 56.991 -143.8922
30.909212 56.841 -148.0180
31.133193 56.575 -151.3817
31.358797 56.230 -153.7945
31.586035 55.858 -154.9147
31.814921 55.562 -154.6764
32.045465 55.424 -153.4276
32.277680 55.497 -151.6235
32.511577 55.776 -150.1933
32.747169 56.185 -149.5616
32.984469 56.653 -149.8369
33.223488 57.108 -150.9196
33.464239 57.522 -152.4137
33.706735 57.896 -154.0672
33.950987 58.251 -155.6488
34.197010 58.626 -157.0216
34.444816 59.058 -158.3128
34.694417 59.568 -159.6985
34.945827 60.160 -161.4218
35.199059 60.813 -163.8229
35.454126 61.493 -167.0388
35.711041 62.163 -171.1013
35.969818 62.788 -176.0146
36.230470 63.337 178.3050
36.493011 63.785 172.0241
36.757455 64.115 165.2843
37.023814 64.313 158.2107
37.292104 64.368 150.9945
37.562338 64.276 143.9069
37.834530 64.037 137.1512
38.108695 63.663 130.9463
38.384846 63.175 125.5543
38.662999 62.613 121.2441
38.943167 62.036 118.1327
39.225365 61.512 116.1249
39.509608 61.096 114.9462
39.795911 60.815 114.1805
40.084289 60.662 113.4066
40.374756 60.602 112.3615
40.667328 60.601 110.9894
40.962020 60.640 109.3473
41.258848 60.711 107.4868
41.557827 60.817 105.4279
41.858972 60.960 103.1727
42.162299 61.146 100.7146
42.467824 61.388 98.0200
42.775564 61.706 94.9708
43.085533 62.114 91.3064
43.397749 62.603 86.6409
43.712227 63.130 80.5887
44.028983 63.626 72.9345
44.348036 64.019 63.6848
44.669400 64.242 53.0181
44.993093 64.248 41.2128
45.319131 64.000 28.5938
45.647532 63.478 15.5139
45.978313 62.670 2.3558
46.311491 61.579 -10.4573
46.647083 60.229 -22.4592
46.985107 58.674 -33.1812
47.325581 57.012 -42.2891
47.668521 55.387 -49.8258
48.013947 53.946 -56.3704
48.361876 52.773 -62.7622
48.712326 51.854 -69.4752
49.065315 51.140 -76.2781
49.420863 50.629 -82.4384
49.778987 50.411 -87.2006
50.139706 50.631 -90.3361
50.503039 51.389 -92.5535
50.869005 52.617 -95.2733
51.237623 54.100 -99.6458
51.608912 55.612 -105.8312
51.982891 57.016 -113.1407
52.359580 58.304 -120.5355
52.739000 59.585 -127.1580
53.121168 61.021 -132.9645
53.506106 62.689 -139.0925
53.893833 64.491 -147.0841
54.284370 66.226 -157.7925
54.677737 67.716 -171.0932
55.073955 68.850 173.6920
55.473043 69.570 157.3811
55.875024 69.849 140.7757
56.279917 69.684 124.5459
56.687745 69.089 109.5259
57.098527 68.118 96.6861
57.512287 66.896 86.9290
57.929045 65.632 80.5909
58.348822 64.552 76.8694
58.771642 63.746 73.9495
59.197525 63.107 70.7407
59.626495 62.503 67.5687
60.058573 61.917 65.1937
60.493782 61.426 63.7700
60.932145 61.077 62.6842
61.373685 60.832 61.4968
61.818424 60.653 60.4921
62.266386 60.585 60.1373
62.717593 60.719 60.1611
63.172071 61.067 59.5624
63.629842 61.535 57.6750
64.090930 62.032 54.7106
64.555359 62.540 51.1942
65.023154 63.093 47.3507
65.494339 63.717 43.1035
65.968938 64.435 38.4359
66.446976 65.294 33.4610
66.928478 66.362 27.8481
67.413469 67.625 20.5596
67.901975 68.942 10.6316
68.394021 70.112 -2.1578
68.889632 70.984 -17.1453
69.388835 71.477 -33.1714
69.891655 71.579 -49.2476
70.398118 71.347 -64.1595
70.908252 70.898 -77.2200
71.422083 70.398 -88.1916
71.939636 69.984 -97.6307
72.460941 69.693 -106.4562
72.986023 69.480 -115.0550
73.514909 69.319 -123.2577
74.047629 69.253 -130.9668
74.584208 69.330 -138.7164
75.124676 69.501 -147.5323
75.669061 69.621 -157.9858
76.217390 69.519 -169.8064
76.769692 69.086 177.8752
77.325997 68.289 166.0286
77.886333 67.162 155.4089
78.450730 65.750 146.0500
79.019216 64.034 137.5842
79.591822 61.883 130.2498
80.168577 59.184 127.0844
80.749512 56.578 145.6885
81.334656 56.625 -141.1183
81.924040 59.240 -124.3691
82.517696 61.974 -125.7245
83.115653 64.180 -131.0449
83.717943 65.928 -137.2422
84.324598 67.435 -142.6323
84.935649 68.942 -146.8767
85.551128 70.547 -151.4453
86.171066 72.132 -158.1639
86.795497 73.518 -167.3038
87.424453 74.623 -177.8508
88.057967 75.471 171.2087
88.696071 76.115 160.3452
89.338800 76.603 149.7495
89.986185 76.982 139.5631
90.638262 77.304 129.7035
91.295065 77.598 119.9623
91.956626 77.911 110.4980
92.622982 78.366 101.1487
93.294166 79.003 89.8895
93.970214 79.548 74.3125
94.651161 79.573 54.5255
95.337042 78.761 32.9470
96.027894 76.976 13.4187
96.723752 74.313 1.4314
97.424652 71.278 0.9327
98.130631 68.683 3.8326
98.841726 66.735 3.1892
99.557974 65.084 3.0533
100.279412 63.632 4.8795
101.006078 62.416 8.4598
101.738010 61.643 14.5325
102.475245 61.467 18.8634
103.217823 61.574 18.1537
103.965782 61.595 13.6339
104.719161 61.343 6.4895
105.477999 60.733 -2.3558
106.242336 59.799 -11.7355
107.012212 58.761 -21.1323
107.787666 58.056 -31.7373
108.568740 58.217 -45.8915
109.355474 59.551 -64.0895
110.147909 61.839 -85.1527
110.946086 64.374 -108.9371
111.750047 66.516 -134.9788
112.559834 67.970 -161.4377
113.375489 68.701 173.9319
114.197055 68.845 152.7892
115.024574 68.604 135.6123
115.858089 68.123 121.8055
116.697645 67.456 110.8450
117.543284 66.663 102.8336
118.395051 65.838 97.3524
119.252990 65.013 93.3969
120.117147 64.150 90.8606
120.987565 63.243 90.4453
121.864291 62.375 92.7045
122.747370 61.753 98.6012
123.636848 61.825 109.2317
124.532771 62.960 121.6793
125.435187 64.816 128.5968
126.344142 66.663 126.7765
127.259684 68.021 118.7109
128.181860 68.703 107.8473
129.110718 68.695 97.4496
130.046308 68.211 91.3087
130.988677 67.813 92.1344
131.937875 68.059 95.5850
132.893951 68.760 94.1656
133.856956 69.356 87.8542
134.826938 69.590 79.7725
135.803950 69.422 71.1489
136.788041 68.764 62.0889
137.779264 67.481 55.0850
138.777669 65.732 57.4502
139.783309 64.374 74.1648
140.796237 64.205 88.4117
141.816504 64.904 96.7263
142.844165 66.224 106.5309
143.879273 67.973 112.9929
144.921881 69.683 112.3851
145.972045 71.146 108.7395
147.029819 72.449 104.7833
148.095257 73.634 99.7595
149.168417 74.631 93.1567
150.249353 75.451 86.4297
151.338121 76.254 80.7417
152.434780 77.153 74.8937
153.539385 78.028 66.6080
154.651995 78.603 55.1390
155.772667 78.682 42.6014
156.901460 78.392 33.0298
158.038432 78.206 27.9747
159.183644 78.355 21.5167
160.337154 78.402 9.9514
161.499023 77.958 -2.9055
162.669312 77.057 -13.9983
163.848081 75.821 -23.8556
165.035392 74.230 -32.5447
166.231306 72.308 -35.2559
167.435887 70.638 -25.2260
168.649196 69.858 -19.9574
169.871298 69.179 -26.8601
171.102255 67.763 -33.4490
172.342133 66.002 -27.8960
