* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -25.1 dBFS, measurement signal peak level -14.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 9:09:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -4.1337 ms (-1.418 m, -(4 ft 7.8 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p1-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 25.851 2.5155
10.166832 25.852 0.5167
10.240505 25.855 -1.3542
10.314712 25.857 -3.0520
10.389457 25.859 -4.5060
10.464743 25.860 -5.6276
10.540575 25.861 -6.4048
10.616956 25.862 -6.9189
10.693891 25.866 -7.2508
10.771383 25.887 -7.4796
10.849437 25.968 -7.4769
10.928057 26.090 -7.2476
11.007246 26.247 -7.0001
11.087009 26.438 -6.9395
11.167350 26.670 -7.0957
11.248273 26.944 -7.2946
11.329783 27.241 -7.6681
11.411883 27.539 -8.3494
11.494578 27.830 -9.4203
11.577873 28.123 -10.7678
11.661771 28.405 -12.3392
11.746277 28.658 -14.1183
11.831395 28.871 -16.1644
11.917130 29.052 -18.5542
12.003487 29.193 -21.1300
12.090469 29.283 -23.7560
12.178081 29.318 -26.4855
12.266329 29.299 -29.5358
12.355216 29.220 -32.6982
12.444747 29.070 -35.7445
12.534926 28.850 -38.7988
12.625760 28.556 -42.0765
12.717251 28.174 -45.3313
12.809406 27.689 -48.2557
12.902228 27.108 -51.0825
12.995723 26.413 -53.8485
13.089895 25.566 -56.2397
13.184750 24.515 -57.8331
13.280292 23.254 -58.5712
13.376526 21.882 -58.0472
13.473458 20.501 -55.4186
13.571093 19.009 -48.7407
13.669434 17.595 -36.0669
13.768489 16.813 -18.3333
13.868261 17.193 -1.1817
13.968756 18.529 11.3773
14.069979 20.129 18.2414
14.171936 21.493 20.9733
14.274632 22.679 21.0991
14.378072 23.732 19.8199
14.482261 24.607 17.8026
14.587206 25.285 14.8868
14.692910 25.800 11.3788
14.799381 26.192 7.7958
14.906624 26.475 3.9707
15.014643 26.643 -0.2874
15.123446 26.716 -4.5209
15.233036 26.704 -8.6973
15.343421 26.604 -13.1858
15.454606 26.428 -17.6545
15.566596 26.186 -21.9538
15.679398 25.875 -26.4203
15.793018 25.512 -30.8816
15.907460 25.107 -35.1670
16.022732 24.660 -39.4815
16.138840 24.197 -43.8285
16.255788 23.731 -48.0730
16.373585 23.268 -52.2866
16.492234 22.838 -56.6545
16.611744 22.454 -61.0665
16.732119 22.123 -65.5393
16.853367 21.863 -70.3378
16.975494 21.682 -75.3486
17.098505 21.570 -80.5372
17.222408 21.519 -86.0593
17.347209 21.529 -91.8470
17.472914 21.568 -97.6969
17.599530 21.618 -103.6983
17.727063 21.668 -109.8354
17.855521 21.681 -115.6907
17.984909 21.646 -121.5856
18.115235 21.540 -127.2795
18.246506 21.332 -132.3454
18.378727 21.016 -137.2213
18.511907 20.565 -141.2516
18.646052 19.951 -144.1977
18.781169 19.207 -145.9752
18.917265 18.360 -145.5687
19.054347 17.450 -142.2563
19.192423 16.843 -136.0851
19.331499 16.759 -126.7762
19.471583 17.177 -117.0690
19.612682 18.091 -110.4074
19.754804 19.350 -106.5241
19.897956 20.557 -105.9677
20.042144 21.623 -107.7933
20.187378 22.511 -111.0067
20.333664 23.177 -115.7105
20.481010 23.632 -121.2853
20.629424 23.877 -127.4388
20.778913 23.908 -134.6531
20.929486 23.720 -142.0049
21.081150 23.309 -150.6101
21.233912 22.658 -159.5758
21.387782 21.757 -169.9828
21.542767 20.621 178.1195
21.698874 19.234 163.9337
21.856113 17.795 145.4213
22.014492 16.542 122.4053
22.174018 15.664 93.9786
22.334700 15.461 68.4756
22.496546 15.733 48.0280
22.659566 16.055 35.7235
22.823766 16.402 28.1699
22.989157 16.797 26.6014
23.155745 17.404 29.4829
23.323542 18.583 34.6313
23.492554 20.238 40.0262
23.662790 22.081 41.6874
23.834261 23.955 41.0483
24.006973 25.607 37.3730
24.180938 27.011 32.2914
24.356163 28.132 25.8322
24.532658 28.966 18.6329
24.710431 29.511 10.9113
24.889493 29.748 2.8978
25.069853 29.658 -5.1833
25.251519 29.184 -12.9277
25.434502 28.265 -20.1166
25.618811 26.769 -25.2538
25.804456 24.648 -25.8570
25.991445 23.232 -10.8041
26.179790 23.542 37.8665
26.369500 25.929 61.4156
26.560584 29.076 64.0270
26.753053 31.533 59.3430
26.946917 33.461 52.7759
27.142185 34.936 44.9009
27.338869 36.058 37.1590
27.536977 36.871 29.2058
27.736522 37.431 22.0201
27.937512 37.773 15.4384
28.139959 37.942 9.9899
28.343872 38.021 5.9185
28.549264 38.083 3.3625
28.756143 38.268 2.2393
28.964522 38.644 1.8805
29.174411 39.257 1.6644
29.385821 40.024 0.3594
29.598763 40.861 -2.0760
29.813248 41.646 -6.0078
30.029287 42.309 -10.9115
30.246891 42.802 -16.6932
30.466073 43.093 -22.8130
30.686842 43.170 -28.8713
30.909212 43.028 -34.7207
31.133193 42.677 -39.5334
31.358797 42.158 -43.0381
31.586035 41.538 -44.5720
31.814921 40.983 -43.7229
32.045465 40.674 -40.9808
32.277680 40.739 -37.2554
32.511577 41.157 -34.6510
32.747169 41.741 -33.9910
32.984469 42.324 -35.2635
33.223488 42.763 -38.1110
33.464239 42.998 -41.5790
33.706735 43.016 -45.1045
33.950987 42.836 -48.0628
34.197010 42.526 -49.5724
34.444816 42.221 -49.3131
34.694417 42.072 -47.2574
34.945827 42.238 -44.0790
35.199059 42.744 -41.4772
35.454126 43.469 -40.5095
35.711041 44.266 -41.4537
35.969818 45.004 -44.1478
36.230470 45.609 -48.0636
36.493011 46.057 -52.6725
36.757455 46.347 -57.6292
37.023814 46.486 -62.6611
37.292104 46.490 -67.5128
37.562338 46.378 -72.0021
37.834530 46.163 -76.0381
38.108695 45.861 -79.5245
38.384846 45.484 -82.3550
38.662999 45.052 -84.4092
38.943167 44.593 -85.5875
39.225365 44.148 -85.8733
39.509608 43.759 -85.3864
39.795911 43.460 -84.4138
40.084289 43.256 -83.3627
40.374756 43.121 -82.6146
40.667328 42.998 -82.3505
40.962020 42.835 -82.4836
41.258848 42.597 -82.7819
41.557827 42.269 -82.9882
41.858972 41.851 -82.8889
42.162299 41.345 -82.3234
42.467824 40.744 -81.0980
42.775564 40.038 -78.7723
43.085533 39.261 -74.3488
43.397749 38.598 -66.1634
43.712227 38.499 -53.2299
44.028983 39.363 -38.8581
44.348036 40.963 -29.0745
44.669400 42.754 -25.6403
44.993093 44.387 -26.9187
45.319131 45.726 -31.0760
45.647532 46.744 -36.8396
45.978313 47.454 -43.3575
46.311491 47.884 -50.0156
46.647083 48.071 -56.3323
46.985107 48.063 -61.9250
47.325581 47.920 -66.5385
47.668521 47.712 -70.1160
48.013947 47.493 -72.8510
48.361876 47.290 -75.1204
48.712326 47.082 -77.2722
49.065315 46.825 -79.4063
49.420863 46.476 -81.3129
49.778987 46.027 -82.5986
50.139706 45.510 -82.9258
50.503039 44.979 -82.2468
50.869005 44.470 -80.8439
51.237623 43.972 -79.0367
51.608912 43.445 -76.7930
51.982891 42.870 -73.7098
52.359580 42.275 -69.4325
52.739000 41.703 -63.9303
53.121168 41.197 -56.7604
53.506106 40.980 -45.6178
53.893833 41.666 -27.8999
54.284370 43.598 -9.9138
54.677737 46.099 -1.9694
55.073955 48.393 -3.4030
55.473043 50.167 -10.0889
55.875024 51.365 -19.2133
56.279917 52.012 -29.0997
56.687745 52.167 -38.4823
57.098527 51.928 -46.2806
57.512287 51.441 -51.7218
57.929045 50.886 -54.6878
58.348822 50.411 -55.9062
58.771642 50.048 -56.5696
59.197525 49.721 -57.3121
59.626495 49.353 -57.9346
60.058573 48.925 -57.9545
60.493782 48.466 -57.0645
60.932145 48.017 -55.2173
61.373685 47.614 -52.4514
61.818424 47.301 -49.0100
62.266386 47.082 -45.5455
62.717593 46.887 -42.6525
63.172071 46.596 -40.0850
63.629842 46.154 -36.5618
64.090930 45.650 -30.6285
64.555359 45.291 -21.8710
65.023154 45.246 -11.4587
65.494339 45.566 -0.4696
65.968938 46.325 11.3676
66.446976 47.679 24.2645
66.928478 49.672 36.4354
67.413469 52.059 44.4075
67.901975 54.461 46.3317
68.394021 56.567 42.8047
68.889632 58.216 35.6931
69.388835 59.344 26.8129
69.891655 59.960 17.6404
70.398118 60.132 9.6183
70.908252 59.976 3.6830
71.422083 59.648 0.4119
71.939636 59.298 -0.2146
72.460941 59.055 1.4938
72.986023 59.035 5.1839
73.514909 59.335 10.0545
74.047629 59.971 15.0179
74.584208 60.913 19.5748
75.124676 62.161 23.6625
75.669061 63.686 26.3328
76.217390 65.319 25.9049
76.769692 66.818 21.8719
77.325997 67.998 15.1058
77.886333 68.783 7.1089
78.450730 69.190 -0.7189
79.019216 69.309 -7.2942
79.591822 69.276 -12.0046
80.168577 69.226 -14.9142
80.749512 69.262 -16.4988
81.334656 69.431 -17.3347
81.924040 69.751 -17.9033
82.517696 70.210 -18.6410
83.115653 70.778 -19.8789
83.717943 71.424 -21.7276
84.324598 72.135 -24.1978
84.935649 72.906 -27.5073
85.551128 73.699 -32.1234
86.171066 74.431 -38.4462
86.795497 75.001 -46.5123
87.424453 75.319 -56.0143
88.057967 75.314 -66.5137
88.696071 74.915 -77.5122
89.338800 74.038 -88.2087
89.986185 72.604 -96.9485
90.638262 70.642 -100.2920
91.295065 68.606 -92.3485
91.956626 67.754 -71.9802
92.622982 68.896 -54.5747
93.294166 71.009 -49.2310
93.970214 73.004 -54.1569
94.651161 74.392 -65.8845
95.337042 75.001 -81.0585
96.027894 74.813 -96.8997
96.723752 73.909 -111.2423
97.424652 72.431 -122.6452
98.130631 70.542 -130.6162
98.841726 68.364 -135.3219
99.557974 65.958 -136.7965
100.279412 63.352 -134.7549
101.006078 60.568 -128.1681
101.738010 57.865 -111.2692
102.475245 56.537 -69.5107
103.217823 57.734 -32.4443
103.965782 59.886 -20.3818
104.719161 61.799 -16.4238
105.477999 63.409 -13.5620
106.242336 64.931 -10.1628
107.012212 66.547 -6.4551
107.787666 68.325 -3.6602
108.568740 70.208 -3.1298
109.355474 72.118 -4.9451
110.147909 73.958 -9.6649
110.946086 75.497 -18.6985
111.750047 76.451 -31.4608
112.559834 76.682 -45.2218
113.375489 76.265 -56.7345
114.197055 75.471 -63.8920
115.024574 74.647 -66.9133
115.858089 74.041 -67.5691
116.697645 73.752 -67.3070
117.543284 73.754 -67.7311
118.395051 73.851 -70.6032
119.252990 73.754 -75.9204
120.117147 73.279 -81.6686
120.987565 72.437 -85.6116
121.864291 71.362 -86.7045
122.747370 70.206 -84.8392
123.636848 69.136 -79.8345
124.532771 68.490 -70.3488
125.435187 68.934 -54.4415
126.344142 70.665 -39.6002
127.259684 72.750 -37.2569
128.181860 74.316 -45.3740
129.110718 75.019 -58.1727
130.046308 74.832 -71.0554
130.988677 73.905 -80.9340
131.937875 72.450 -86.8024
132.893951 70.642 -87.3496
133.856956 68.962 -75.6080
134.826938 68.449 -54.7449
135.803950 69.000 -46.4436
136.788041 69.487 -46.8619
137.779264 69.724 -44.1978
138.777669 70.437 -32.2440
139.783309 71.755 -24.9924
140.796237 72.872 -27.9036
141.816504 73.576 -31.1274
142.844165 74.376 -29.5743
143.879273 75.518 -28.8878
144.921881 76.555 -34.6052
145.972045 77.042 -44.3531
147.029819 76.865 -54.2352
148.095257 76.100 -61.6604
149.168417 74.944 -64.3154
150.249353 73.812 -60.1852
151.338121 73.311 -50.6396
152.434780 73.625 -43.2030
153.539385 74.171 -42.7318
154.651995 74.363 -46.0375
155.772667 74.092 -48.0413
156.901460 73.645 -46.2816
158.038432 73.657 -37.4653
159.183644 74.904 -19.2016
160.337154 76.892 -12.1161
161.499023 78.542 -17.9825
162.669312 79.581 -26.8301
163.848081 80.180 -34.9807
165.035392 80.457 -43.1528
166.231306 80.318 -52.2330
