* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -25.7 dBFS, measurement signal peak level -19.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 9:10:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.5470 ms (-188 mm, -7.39 in) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p1-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 63.361 -66.7717
10.166832 63.486 -68.5285
10.240505 63.637 -70.2811
10.314712 63.792 -72.0290
10.389457 63.950 -73.7720
10.464743 64.108 -75.5101
10.540575 64.267 -77.2442
10.616956 64.427 -78.9747
10.693891 64.587 -80.7017
10.771383 64.747 -82.4253
10.849437 64.906 -84.1450
10.928057 65.065 -85.8616
11.007246 65.224 -87.5768
11.087009 65.383 -89.2923
11.167350 65.543 -91.0082
11.248273 65.702 -92.7231
11.329783 65.861 -94.4396
11.411883 66.019 -96.1601
11.494578 66.177 -97.8866
11.577873 66.335 -99.6174
11.661771 66.493 -101.3527
11.746277 66.649 -103.0929
11.831395 66.803 -104.8400
11.917130 66.956 -106.5961
12.003487 67.107 -108.3561
12.090469 67.256 -110.1152
12.178081 67.403 -111.8743
12.266329 67.546 -113.6400
12.355216 67.687 -115.4016
12.444747 67.825 -117.1483
12.534926 67.960 -118.8832
12.625760 68.092 -120.6118
12.717251 68.222 -122.3223
12.809406 68.351 -124.0034
12.902228 68.479 -125.6604
12.995723 68.605 -127.2955
13.089895 68.733 -128.9054
13.184750 68.864 -130.4848
13.280292 68.997 -132.0333
13.376526 69.133 -133.5641
13.473458 69.275 -135.0894
13.571093 69.423 -136.5952
13.669434 69.577 -138.0922
13.768489 69.738 -139.6097
13.868261 69.905 -141.1569
13.968756 70.080 -142.7152
14.069979 70.261 -144.3149
14.171936 70.445 -145.9832
14.274632 70.633 -147.7007
14.378072 70.824 -149.4751
14.482261 71.013 -151.3246
14.587206 71.201 -153.2510
14.692910 71.386 -155.2423
14.799381 71.564 -157.2926
14.906624 71.734 -159.4109
15.014643 71.896 -161.5906
15.123446 72.047 -163.8020
15.233036 72.186 -166.0441
15.343421 72.313 -168.3273
15.454606 72.428 -170.6104
15.566596 72.531 -172.8808
15.679398 72.621 -175.1582
15.793018 72.700 -177.4047
15.907460 72.768 -179.6049
16.022732 72.826 178.2237
16.138840 72.876 176.1050
16.255788 72.920 174.0494
16.373585 72.958 172.0469
16.492234 72.993 170.1031
16.611744 73.025 168.2231
16.732119 73.056 166.4011
16.853367 73.087 164.6299
16.975494 73.118 162.9134
17.098505 73.151 161.2462
17.222408 73.186 159.6196
17.347209 73.223 158.0375
17.472914 73.263 156.4955
17.599530 73.306 154.9908
17.727063 73.353 153.5250
17.855521 73.404 152.0923
17.984909 73.461 150.6966
18.115235 73.524 149.3285
18.246506 73.596 147.9775
18.378727 73.676 146.6484
18.511907 73.765 145.3092
18.646052 73.865 143.9589
18.781169 73.974 142.5826
18.917265 74.092 141.1443
19.054347 74.217 139.6541
19.192423 74.345 138.0831
19.331499 74.475 136.4229
19.471583 74.604 134.6810
19.612682 74.725 132.8513
19.754804 74.839 130.9388
19.897956 74.940 128.9797
20.042144 75.027 126.9612
20.187378 75.098 124.9364
20.333664 75.152 122.9202
20.481010 75.190 120.9313
20.629424 75.214 119.0251
20.778913 75.225 117.1921
20.929486 75.230 115.4779
21.081150 75.231 113.8841
21.233912 75.235 112.4050
21.387782 75.246 111.0533
21.542767 75.270 109.7835
21.698874 75.309 108.5859
21.856113 75.365 107.4192
22.014492 75.438 106.2376
22.174018 75.526 105.0302
22.334700 75.623 103.7495
22.496546 75.728 102.4042
22.659566 75.834 100.9847
22.823766 75.939 99.5009
22.989157 76.039 97.9850
23.155745 76.135 96.4402
23.323542 76.227 94.9101
23.492554 76.316 93.3923
23.662790 76.407 91.9066
23.834261 76.502 90.4461
24.006973 76.604 88.9945
24.180938 76.714 87.5445
24.356163 76.831 86.0640
24.532658 76.955 84.5537
24.710431 77.081 82.9992
24.889493 77.209 81.4150
25.069853 77.338 79.8146
25.251519 77.469 78.2153
25.434502 77.606 76.6381
25.618811 77.755 75.0660
25.804456 77.920 73.5027
25.991445 78.107 71.8626
26.179790 78.317 70.1284
26.369500 78.544 68.1785
26.560584 78.782 66.0028
26.753053 79.017 63.5275
26.946917 79.236 60.7965
27.142185 79.427 57.8054
27.338869 79.579 54.6821
27.536977 79.689 51.4551
27.736522 79.758 48.2899
27.937512 79.796 45.2174
28.139959 79.814 42.3366
28.343872 79.832 39.6142
28.549264 79.862 37.0416
28.756143 79.916 34.4628
28.964522 79.991 31.7798
29.174411 80.079 28.8612
29.385821 80.157 25.6343
29.598763 80.204 22.1120
29.813248 80.196 18.3507
30.029287 80.119 14.5429
30.246891 79.969 10.7883
30.466073 79.751 7.3729
30.686842 79.489 4.4031
30.909212 79.210 2.0178
31.133193 78.960 0.1804
31.358797 78.767 -1.2903
31.586035 78.649 -2.5961
31.814921 78.595 -4.1140
32.045465 78.575 -5.9575
32.277680 78.557 -8.1980
32.511577 78.505 -10.7211
32.747169 78.408 -13.3183
32.984469 78.266 -15.8380
33.223488 78.095 -18.0856
33.464239 77.921 -20.0229
33.706735 77.765 -21.6851
33.950987 77.641 -23.1504
34.197010 77.551 -24.5355
34.444816 77.496 -25.8477
34.694417 77.480 -27.0863
34.945827 77.521 -28.2358
35.199059 77.647 -29.4237
35.454126 77.872 -30.9755
35.711041 78.187 -33.2367
35.969818 78.551 -36.5436
36.230470 78.895 -41.1069
36.493011 79.155 -46.8015
36.757455 79.278 -53.3965
37.023814 79.226 -60.6249
37.292104 78.976 -68.0898
37.562338 78.524 -75.3095
37.834530 77.885 -81.9071
38.108695 77.095 -87.5005
38.384846 76.213 -91.7313
38.662999 75.324 -94.4694
38.943167 74.515 -96.0532
39.225365 73.831 -97.0530
39.509608 73.261 -98.0096
39.795911 72.758 -99.2052
40.084289 72.271 -100.5641
40.374756 71.778 -101.7691
40.667328 71.303 -102.5288
40.962020 70.891 -102.8404
41.258848 70.580 -102.9869
41.557827 70.369 -103.3497
41.858972 70.231 -104.1849
42.162299 70.132 -105.5184
42.467824 70.053 -107.2147
42.775564 70.006 -109.1533
43.085533 70.013 -111.4014
43.397749 70.092 -114.2731
43.712227 70.225 -118.2183
44.028983 70.358 -123.5982
44.348036 70.417 -130.5449
44.669400 70.326 -138.9608
44.993093 70.020 -148.5862
45.319131 69.447 -159.0593
45.647532 68.565 -169.9368
45.978313 67.349 179.3225
46.311491 65.790 169.3948
46.647083 63.910 161.1022
46.985107 61.795 155.2572
47.325581 59.606 152.0891
47.668521 57.531 150.4600
48.013947 55.647 148.3204
48.361876 53.836 144.6895
48.712326 51.936 140.6000
49.065315 49.998 138.2137
49.420863 48.483 138.2665
49.778987 48.000 137.1024
50.139706 48.501 130.8266
50.503039 49.459 120.6133
50.869005 50.606 109.9064
51.237623 51.970 101.0146
51.608912 53.601 93.9583
51.982891 55.389 87.3112
52.359580 57.148 80.1895
52.739000 58.787 73.0156
53.121168 60.374 66.6813
53.506106 62.058 61.2822
53.893833 63.898 55.5082
54.284370 65.778 47.5567
54.677737 67.491 36.6157
55.073955 68.865 23.0919
55.473043 69.802 7.9376
55.875024 70.260 -7.8085
56.279917 70.234 -23.2115
56.687745 69.755 -37.2256
57.098527 68.907 -48.7337
57.512287 67.854 -56.8682
57.929045 66.820 -61.6664
58.348822 65.979 -64.4307
58.771642 65.339 -66.8493
59.197525 64.788 -69.3659
59.626495 64.261 -71.3918
60.058573 63.786 -72.4713
60.493782 63.416 -72.8088
60.932145 63.162 -72.8403
61.373685 63.018 -72.6641
61.818424 62.997 -72.1925
62.266386 63.128 -71.5706
62.717593 63.417 -71.1779
63.172071 63.845 -71.3825
63.629842 64.370 -72.4073
64.090930 64.949 -74.2399
64.555359 65.561 -76.5872
65.023154 66.228 -79.1135
65.494339 66.994 -81.8028
65.968938 67.890 -84.9274
66.446976 68.929 -88.7043
66.928478 70.124 -93.3888
67.413469 71.455 -99.6893
67.901975 72.815 -108.5113
68.394021 74.033 -120.2583
68.889632 74.963 -134.3710
69.388835 75.516 -149.7275
69.891655 75.685 -165.2006
70.398118 75.529 -179.6165
70.908252 75.161 167.6875
71.422083 74.718 156.8435
71.939636 74.301 147.4558
72.460941 73.957 139.0000
72.986023 73.708 131.2285
73.514909 73.579 123.9209
74.047629 73.590 116.6383
74.584208 73.722 108.7915
75.124676 73.914 99.8499
75.669061 74.075 89.5217
76.217390 74.103 77.8190
76.769692 73.906 65.1365
77.325997 73.426 52.0840
77.886333 72.644 39.3470
78.450730 71.566 27.3676
79.019216 70.194 16.4005
79.591822 68.502 6.6266
80.168577 66.429 -1.5260
80.749512 63.898 -6.7860
81.334656 60.990 -4.0610
81.924040 58.839 34.2084
82.517696 59.488 86.5430
83.115653 61.721 93.9376
83.717943 63.773 92.0007
84.324598 65.524 90.1895
84.935649 67.292 90.3029
85.551128 69.198 89.6592
86.171066 71.051 85.0051
86.795497 72.597 76.3557
87.424453 73.731 65.7954
88.057967 74.512 55.4307
88.696071 75.097 46.3590
89.338800 75.639 38.3883
89.986185 76.209 30.6764
90.638262 76.803 22.5284
91.295065 77.390 13.6106
91.956626 77.971 4.2610
92.622982 78.640 -5.0477
93.294166 79.468 -15.9062
93.970214 80.235 -31.3313
94.651161 80.521 -51.7781
95.337042 79.988 -74.7970
96.027894 78.489 -96.5426
96.723752 76.088 -111.9513
97.424652 73.148 -116.4132
98.130631 70.289 -113.5837
98.841726 67.928 -110.5616
99.557974 66.084 -106.7224
100.279412 64.685 -101.5355
101.006078 63.779 -93.8970
101.738010 63.557 -85.5778
102.475245 63.897 -81.9430
103.217823 64.425 -83.3721
103.965782 64.839 -89.0868
104.719161 64.909 -98.1599
105.477999 64.524 -108.3497
106.242336 63.752 -117.3418
107.012212 62.816 -123.9097
107.787666 62.062 -128.7593
108.568740 61.818 -134.9633
109.355474 62.234 -145.6176
110.147909 63.286 -162.7673
110.946086 64.700 171.9989
111.750047 66.030 140.0537
112.559834 66.957 105.8556
113.375489 67.392 74.0331
114.197055 67.430 47.3339
115.024574 67.248 26.3429
115.858089 66.992 10.0988
116.697645 66.734 -2.5852
117.543284 66.516 -12.7861
118.395051 66.321 -21.9921
119.252990 66.040 -31.1699
120.117147 65.569 -39.7358
120.987565 64.904 -46.4808
121.864291 64.119 -51.0588
122.747370 63.280 -53.9138
123.636848 62.446 -54.9146
124.532771 61.879 -51.6399
125.435187 62.283 -39.2185
126.344142 63.924 -28.0696
127.259684 65.817 -33.1298
128.181860 67.054 -49.3506
129.110718 67.271 -69.8315
130.046308 66.425 -88.4561
130.988677 64.905 -96.9343
131.937875 63.965 -88.3663
132.893951 64.851 -80.9048
133.856956 66.846 -88.8407
134.826938 68.911 -108.2106
135.803950 70.591 -136.7230
136.788041 71.695 -171.6721
137.779264 72.261 151.1422
138.777669 72.462 114.9889
139.783309 72.310 81.2101
140.796237 71.678 52.1694
141.816504 70.766 32.5259
142.844165 70.244 22.6255
143.879273 70.430 13.8141
144.921881 70.870 1.4249
145.972045 71.078 -13.1833
147.029819 70.837 -28.0378
148.095257 70.089 -41.1584
149.168417 68.954 -48.9100
150.249353 67.899 -47.7250
151.338121 67.534 -41.9668
152.434780 67.906 -40.0946
153.539385 68.553 -43.2477
154.651995 69.061 -50.7186
155.772667 69.223 -60.4365
156.901460 69.282 -65.4987
158.038432 69.846 -64.4706
159.183644 70.673 -74.8110
160.337154 70.768 -97.8687
161.499023 69.591 -124.5989
162.669312 67.121 -149.4055
163.848081 64.001 -166.9592
165.035392 62.736 -10.2496
166.231306 64.306 -22.4611
167.435887 66.060 -37.1821
168.649196 67.056 -51.1821
169.871298 67.529 -59.8621
171.102255 67.840 -65.1152
172.342133 68.010 -72.0251
173.590995 68.006 -77.8066
174.848907 68.328 -73.2300
