* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -25.1 dBFS, measurement signal peak level -15.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 9:30:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.3645 ms (125 mm, 4.92 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p2-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 27.609 29.1530
10.166832 27.771 25.7192
10.240505 27.968 22.1331
10.314712 28.169 18.5973
10.389457 28.361 15.2935
10.464743 28.500 12.3110
10.540575 28.557 9.2747
10.616956 28.557 6.2631
10.693891 28.506 3.4913
10.771383 28.401 1.2100
10.849437 28.231 -0.6893
10.928057 28.002 -2.3452
11.007246 27.740 -3.5838
11.087009 27.470 -4.1626
11.167350 27.182 -3.8565
11.248273 26.862 -2.6755
11.329783 26.582 -0.6581
11.411883 26.437 2.0652
11.494578 26.488 5.4142
11.577873 26.712 9.5466
11.661771 27.083 13.7294
11.746277 27.580 17.1830
11.831395 28.212 19.5813
11.917130 28.992 21.4156
12.003487 29.847 22.4312
12.090469 30.686 22.4578
12.178081 31.471 21.5441
12.266329 32.229 20.0762
12.355216 32.952 18.1740
12.444747 33.617 15.8774
12.534926 34.217 13.1218
12.625760 34.758 10.0253
12.717251 35.242 6.7992
12.809406 35.670 3.5404
12.902228 36.040 0.0006
12.995723 36.352 -3.6942
13.089895 36.610 -7.3029
13.184750 36.814 -10.7905
13.280292 36.962 -14.4491
13.376526 37.057 -18.0561
13.473458 37.102 -21.3517
13.571093 37.093 -24.5237
13.669434 37.034 -27.6216
13.768489 36.933 -30.4059
13.868261 36.791 -32.7179
13.968756 36.607 -34.7256
14.069979 36.405 -36.3394
14.171936 36.206 -37.3919
14.274632 36.002 -37.7915
14.378072 35.826 -37.6493
14.482261 35.725 -37.1129
14.587206 35.712 -36.0128
14.692910 35.786 -34.5227
14.799381 35.960 -33.1299
14.906624 36.251 -31.9172
15.014643 36.640 -30.8435
15.123446 37.080 -30.2747
15.233036 37.550 -30.3220
15.343421 38.050 -30.7854
15.454606 38.541 -31.6693
15.566596 39.000 -33.0064
15.679398 39.431 -34.7036
15.793018 39.822 -36.5613
15.907460 40.164 -38.5664
16.022732 40.460 -40.7570
16.138840 40.712 -42.8776
16.255788 40.919 -44.8992
16.373585 41.085 -46.8970
16.492234 41.223 -48.6550
16.611744 41.335 -50.1483
16.732119 41.431 -51.4334
16.853367 41.533 -52.4309
16.975494 41.644 -53.0962
17.098505 41.776 -53.5414
17.222408 41.948 -53.8551
17.347209 42.162 -53.9687
17.472914 42.416 -54.1094
17.599530 42.713 -54.3858
17.727063 43.046 -54.7403
17.855521 43.395 -55.3646
17.984909 43.756 -56.2522
18.115235 44.115 -57.3549
18.246506 44.453 -58.7052
18.378727 44.770 -60.2858
18.511907 45.053 -61.9579
18.646052 45.298 -63.7536
18.781169 45.504 -65.6002
18.917265 45.669 -67.3419
19.054347 45.795 -69.0617
19.192423 45.887 -70.5884
19.331499 45.949 -71.9054
19.471583 45.990 -73.0014
19.612682 46.021 -73.7751
19.754804 46.048 -74.2571
19.897956 46.088 -74.4444
20.042144 46.148 -74.3119
20.187378 46.241 -73.9519
20.333664 46.376 -73.3844
20.481010 46.556 -72.6797
20.629424 46.787 -71.9637
20.778913 47.069 -71.2421
20.929486 47.394 -70.6918
21.081150 47.762 -70.2838
21.233912 48.157 -70.1647
21.387782 48.575 -70.3146
21.542767 48.999 -70.7753
21.698874 49.418 -71.5663
21.856113 49.821 -72.6147
22.014492 50.192 -73.9294
22.174018 50.527 -75.4081
22.334700 50.815 -76.9582
22.496546 51.055 -78.5339
22.659566 51.248 -79.9158
22.823766 51.400 -81.1226
22.989157 51.531 -81.8993
23.155745 51.656 -82.2915
23.323542 51.814 -82.2037
23.492554 52.023 -81.7052
23.662790 52.319 -81.0294
23.834261 52.704 -80.2659
24.006973 53.171 -79.8442
24.180938 53.702 -79.7587
24.356163 54.255 -80.2781
24.532658 54.806 -81.2515
24.710431 55.319 -82.6691
24.889493 55.786 -84.3250
25.069853 56.196 -86.0563
25.251519 56.561 -87.6784
25.434502 56.896 -89.0255
25.618811 57.238 -90.0499
25.804456 57.614 -90.6767
25.991445 58.062 -91.1825
26.179790 58.597 -91.6144
26.369500 59.212 -92.4740
26.560584 59.888 -93.7866
26.753053 60.583 -95.8638
26.946917 61.260 -98.5761
27.142185 61.886 -101.9635
27.338869 62.434 -105.7499
27.536977 62.894 -109.9001
27.736522 63.259 -114.0717
27.937512 63.536 -118.1860
28.139959 63.739 -122.0257
28.343872 63.898 -125.4577
28.549264 64.037 -128.4451
28.756143 64.199 -130.9990
28.964522 64.407 -133.3097
29.174411 64.678 -135.5210
29.385821 65.001 -138.0162
29.598763 65.355 -140.8611
29.813248 65.701 -144.2766
30.029287 66.001 -148.1348
30.246891 66.225 -152.4280
30.466073 66.347 -156.8959
30.686842 66.355 -161.2995
30.909212 66.246 -165.4950
31.133193 66.033 -169.0233
31.358797 65.747 -171.7160
31.586035 65.431 -173.2800
31.814921 65.167 -173.5801
32.045465 65.036 -172.8292
32.277680 65.099 -171.3324
32.511577 65.383 -169.8923
32.747169 65.842 -169.0985
32.984469 66.415 -169.2309
33.223488 67.024 -170.4253
33.464239 67.613 -172.4962
33.706735 68.154 -175.2045
33.950987 68.630 -178.3489
34.197010 69.045 178.3495
34.444816 69.414 175.0582
34.694417 69.759 171.8615
34.945827 70.109 168.8206
35.199059 70.493 165.8252
35.454126 70.926 162.6549
35.711041 71.405 159.1050
35.969818 71.911 154.9513
36.230470 72.404 149.9999
36.493011 72.843 144.2756
36.757455 73.190 137.8745
37.023814 73.413 130.9072
37.292104 73.489 123.5842
37.562338 73.404 116.2418
37.834530 73.156 109.1368
38.108695 72.754 102.5309
38.384846 72.224 96.7324
38.662999 71.608 92.0524
38.943167 70.975 88.6085
39.225365 70.400 86.2552
39.509608 69.937 84.6381
39.795911 69.604 83.2649
40.084289 69.375 81.6899
40.374756 69.197 79.7062
40.667328 69.021 77.3945
40.962020 68.824 74.9857
41.258848 68.610 72.6800
41.557827 68.401 70.5772
41.858972 68.219 68.6569
42.162299 68.080 66.8007
42.467824 67.989 64.8502
42.775564 67.938 62.6639
43.085533 67.917 60.1328
43.397749 67.911 57.1572
43.712227 67.902 53.6259
44.028983 67.864 49.4398
44.348036 67.754 44.5598
44.669400 67.528 39.0504
44.993093 67.137 33.1032
45.319131 66.539 27.0444
45.647532 65.700 21.3537
45.978313 64.604 16.7065
46.311491 63.274 14.0314
46.647083 61.811 14.4690
46.985107 60.450 18.8423
47.325581 59.517 26.2559
47.668521 59.183 33.5837
48.013947 59.275 38.1811
48.361876 59.479 39.8379
48.712326 59.584 39.6617
49.065315 59.522 38.8431
49.420863 59.313 38.2440
49.778987 59.022 38.3192
50.139706 58.720 39.1329
50.503039 58.458 40.4890
50.869005 58.258 42.1382
51.237623 58.127 43.9066
51.608912 58.065 45.6360
51.982891 58.063 47.0748
52.359580 58.077 47.9719
52.739000 58.037 48.3914
53.121168 57.894 48.9848
53.506106 57.687 50.9603
53.893833 57.621 55.4479
54.284370 57.992 61.9409
54.677737 58.898 67.3560
55.073955 60.077 68.8722
55.473043 61.180 66.3608
55.875024 62.000 61.1939
56.279917 62.468 54.8061
56.687745 62.598 48.3976
57.098527 62.461 42.8870
57.512287 62.164 38.7996
57.929045 61.821 36.1600
58.348822 61.511 34.5898
58.771642 61.264 33.6046
59.197525 61.075 32.9599
59.626495 60.944 32.5945
60.058573 60.877 32.3504
60.493782 60.855 31.9538
60.932145 60.831 31.3940
61.373685 60.777 31.1161
61.818424 60.736 31.7168
62.266386 60.796 33.2198
62.717593 61.002 35.0026
63.172071 61.336 36.8908
63.629842 61.879 40.0325
64.090930 62.901 45.2690
64.555359 64.562 50.1039
65.023154 66.570 50.3604
65.494339 68.510 45.4373
65.968938 70.170 37.1467
66.446976 71.556 27.4178
66.928478 72.784 17.3370
67.413469 73.968 6.9283
67.901975 75.128 -4.4614
68.394021 76.182 -17.4216
68.889632 77.022 -31.8953
69.388835 77.576 -47.2129
69.891655 77.832 -62.6750
70.398118 77.835 -77.4209
70.908252 77.670 -91.0607
71.422083 77.430 -103.4400
71.939636 77.182 -114.7620
72.460941 76.958 -125.2311
72.986023 76.782 -134.9012
73.514909 76.699 -143.7698
74.047629 76.771 -152.0869
74.584208 77.031 -160.4440
75.124676 77.446 -169.6386
75.669061 77.920 179.7812
76.217390 78.329 167.6469
76.769692 78.563 154.2477
77.325997 78.546 140.0828
77.886333 78.242 125.9150
78.450730 77.658 112.3994
79.019216 76.837 100.1149
79.591822 75.843 89.4053
80.168577 74.739 80.3086
80.749512 73.570 72.7927
81.334656 72.361 66.9892
81.924040 71.172 63.2991
82.517696 70.131 61.9150
83.115653 69.397 62.0512
83.717943 69.035 62.0668
84.324598 68.959 60.8199
84.935649 69.045 58.0147
85.551128 69.189 53.5135
86.171066 69.297 47.1938
86.795497 69.284 39.1936
87.424453 69.106 29.6959
88.057967 68.730 18.4163
88.696071 68.074 4.6950
89.338800 66.991 -11.9994
89.986185 65.343 -32.2857
90.638262 63.186 -59.1337
91.295065 61.375 -105.0889
91.956626 61.989 -166.1580
92.622982 64.976 161.3840
93.294166 68.388 141.8066
93.970214 71.389 122.4883
94.651161 73.721 100.2614
95.337042 75.261 75.2747
96.027894 75.937 48.6055
96.723752 75.703 21.5970
97.424652 74.533 -4.1487
98.130631 72.434 -26.5559
98.841726 69.463 -42.8756
99.557974 65.767 -49.8522
100.279412 61.658 -42.3611
101.006078 58.219 -7.1033
101.738010 57.708 27.2432
102.475245 59.549 36.2565
103.217823 61.818 35.7787
103.965782 63.939 29.2570
104.719161 65.680 16.8595
105.477999 66.883 -0.0820
106.242336 67.507 -19.5658
107.012212 67.645 -39.7686
107.787666 67.528 -59.7878
108.568740 67.444 -80.3759
109.355474 67.485 -103.7362
110.147909 67.397 -131.1439
110.946086 66.779 -161.1697
111.750047 65.319 170.3732
112.559834 62.983 151.3566
113.375489 60.717 158.1525
114.197055 60.739 177.3572
115.024574 62.573 175.6978
115.858089 64.399 164.9719
116.697645 65.718 151.4197
117.543284 66.482 137.0728
118.395051 66.714 123.4393
119.252990 66.531 112.7247
120.117147 66.269 107.1489
120.987565 66.386 105.9235
121.864291 67.007 104.8212
122.747370 67.869 101.5608
123.636848 68.723 96.6144
124.532771 69.501 91.0563
125.435187 70.288 85.7384
126.344142 71.272 80.8749
127.259684 72.607 75.3173
128.181860 74.174 66.0121
129.110718 75.534 49.9902
130.046308 76.191 27.8425
130.988677 75.820 3.4351
131.937875 74.388 -17.0499
132.893951 72.451 -25.8726
133.856956 71.440 -26.5436
134.826938 72.044 -35.2253
135.803950 73.298 -54.6644
136.788041 74.360 -82.5892
137.779264 74.915 -115.8933
138.777669 74.950 -150.9825
139.783309 74.500 174.9138
140.796237 73.477 144.2626
141.816504 71.834 120.8337
142.844165 69.928 108.7457
143.879273 68.647 106.6589
144.921881 68.588 106.1202
145.972045 69.223 100.9434
147.029819 69.801 92.1162
148.095257 70.048 82.6544
149.168417 69.975 74.5190
150.249353 69.764 69.5400
151.338121 69.704 67.4858
152.434780 69.947 65.9902
153.539385 70.505 64.3827
154.651995 71.387 62.0656
155.772667 72.481 56.8881
156.901460 73.550 47.5067
158.038432 74.372 33.9636
159.183644 74.712 15.9530
160.337154 74.273 -5.6489
161.499023 72.874 -27.4141
162.669312 70.682 -47.0315
163.848081 68.390 -70.8628
165.035392 67.401 -120.3335
166.231306 68.463 166.6704
167.435887 70.182 122.8452
168.649196 71.499 94.6204
169.871298 72.421 74.7961
171.102255 73.319 60.6968
172.342133 74.360 47.5928
173.590995 75.171 29.2185
174.848907 75.121 4.6589
176.115934 73.826 -21.6692
177.392143 71.314 -44.4709
178.677599 68.483 -32.9482
