* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -25.7 dBFS, measurement signal peak level -18.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 9:31:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -8.1531 ms (-2.797 m, -(9 ft 2.1 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p2-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 58.452 -62.0753
10.166832 58.538 -63.7608
10.240505 58.642 -65.4730
10.314712 58.749 -67.1895
10.389457 58.856 -68.8899
10.464743 58.957 -70.5648
10.540575 59.048 -72.2574
10.616956 59.132 -73.9521
10.693891 59.211 -75.6198
10.771383 59.282 -77.2307
10.849437 59.346 -78.8077
10.928057 59.402 -80.3691
11.007246 59.453 -81.8907
11.087009 59.501 -83.3450
11.167350 59.545 -84.7211
11.248273 59.585 -86.0445
11.329783 59.624 -87.3126
11.411883 59.665 -88.5174
11.494578 59.710 -89.6443
11.577873 59.757 -90.6895
11.661771 59.810 -91.6768
11.746277 59.871 -92.6289
11.831395 59.943 -93.5469
11.917130 60.025 -94.3965
12.003487 60.118 -95.2196
12.090469 60.223 -96.0634
12.178081 60.341 -96.9378
12.266329 60.472 -97.7996
12.355216 60.613 -98.6916
12.444747 60.762 -99.6612
12.534926 60.919 -100.7078
12.625760 61.084 -101.8035
12.717251 61.253 -102.9695
12.809406 61.421 -104.2300
12.902228 61.590 -105.5829
12.995723 61.758 -107.0107
13.089895 61.921 -108.5049
13.184750 62.077 -110.0726
13.280292 62.227 -111.7264
13.376526 62.369 -113.4358
13.473458 62.501 -115.1742
13.571093 62.624 -116.9713
13.669434 62.736 -118.8211
13.768489 62.838 -120.6860
13.868261 62.930 -122.5581
13.968756 63.011 -124.4718
14.069979 63.083 -126.3984
14.171936 63.145 -128.3124
14.274632 63.197 -130.2464
14.378072 63.240 -132.1926
14.482261 63.275 -134.1285
14.587206 63.300 -136.0731
14.692910 63.316 -138.0317
14.799381 63.322 -139.9855
14.906624 63.318 -141.9463
15.014643 63.304 -143.9271
15.123446 63.277 -145.9024
15.233036 63.236 -147.8780
15.343421 63.182 -149.8770
15.454606 63.112 -151.8593
15.566596 63.024 -153.8204
15.679398 62.918 -155.7935
15.793018 62.792 -157.7248
15.907460 62.644 -159.5991
16.022732 62.474 -161.4508
16.138840 62.281 -163.2209
16.255788 62.063 -164.8887
16.373585 61.822 -166.4764
16.492234 61.556 -167.9324
16.611744 61.266 -169.2343
16.732119 60.953 -170.3842
16.853367 60.617 -171.3511
16.975494 60.258 -172.0999
17.098505 59.879 -172.6227
17.222408 59.480 -172.9032
17.347209 59.062 -172.8845
17.472914 58.627 -172.5555
17.599530 58.177 -171.8837
17.727063 57.715 -170.7944
17.855521 57.250 -169.2617
17.984909 56.782 -167.2058
18.115235 56.329 -164.5650
18.246506 55.915 -161.3067
18.378727 55.546 -157.3688
18.511907 55.266 -152.8257
18.646052 55.097 -147.7511
18.781169 55.051 -142.3149
18.917265 55.147 -136.8035
19.054347 55.384 -131.4067
19.192423 55.731 -126.3363
19.331499 56.177 -121.7382
19.471583 56.698 -117.6351
19.612682 57.265 -114.0081
19.754804 57.876 -110.8573
19.897956 58.518 -108.1371
20.042144 59.189 -105.7882
20.187378 59.885 -103.8990
20.333664 60.605 -102.4062
20.481010 61.343 -101.3667
20.629424 62.087 -100.8762
20.778913 62.832 -100.8109
20.929486 63.560 -101.3293
21.081150 64.263 -102.2814
21.233912 64.925 -103.6854
21.387782 65.539 -105.5093
21.542767 66.094 -107.6017
21.698874 66.584 -109.9945
21.856113 67.005 -112.5113
22.014492 67.353 -115.0969
22.174018 67.629 -117.6846
22.334700 67.835 -120.0765
22.496546 67.979 -122.3126
22.659566 68.071 -124.1254
22.823766 68.126 -125.5849
22.989157 68.169 -126.5012
23.155745 68.218 -126.9225
23.323542 68.310 -126.8886
23.492554 68.457 -126.4431
23.662790 68.682 -125.8781
23.834261 68.982 -125.2338
24.006973 69.345 -124.8446
24.180938 69.755 -124.6844
24.356163 70.182 -124.9013
24.532658 70.614 -125.4030
24.710431 71.031 -126.1461
24.889493 71.430 -127.0363
25.069853 71.812 -127.9636
25.251519 72.185 -128.8909
25.434502 72.562 -129.7431
25.618811 72.955 -130.5966
25.804456 73.373 -131.4314
25.991445 73.821 -132.4360
26.179790 74.296 -133.6036
26.369500 74.784 -135.1163
26.560584 75.274 -136.9301
26.753053 75.747 -139.1160
26.946917 76.191 -141.5730
27.142185 76.595 -144.2975
27.338869 76.955 -147.1333
27.536977 77.271 -150.0719
27.736522 77.550 -152.9645
27.937512 77.799 -155.8212
28.139959 78.032 -158.5816
28.343872 78.260 -161.3051
28.549264 78.490 -164.0105
28.756143 78.725 -166.8200
28.964522 78.958 -169.7822
29.174411 79.181 -172.9883
29.385821 79.375 -176.4455
29.598763 79.524 179.8492
29.813248 79.609 175.9443
30.029287 79.618 172.0089
30.246891 79.541 168.0742
30.466073 79.376 164.4316
30.686842 79.130 161.2217
30.909212 78.818 158.6302
31.133193 78.477 156.9115
31.358797 78.157 156.0814
31.586035 77.912 156.1991
31.814921 77.803 156.8966
32.045465 77.852 157.7360
32.277680 78.051 158.3129
32.511577 78.350 158.1318
32.747169 78.684 157.1390
32.984469 79.003 155.3941
33.223488 79.262 153.0566
33.464239 79.440 150.4955
33.706735 79.539 147.9475
33.950987 79.575 145.6736
34.197010 79.592 143.9578
34.444816 79.648 142.7728
34.694417 79.797 141.9615
34.945827 80.079 141.1858
35.199059 80.491 139.7861
35.454126 80.981 137.3686
35.711041 81.487 133.7693
35.969818 81.937 128.9170
36.230470 82.272 122.9883
36.493011 82.454 116.2952
36.757455 82.455 109.0695
37.023814 82.260 101.5298
37.292104 81.859 94.0164
37.562338 81.250 86.9185
37.834530 80.444 80.5038
38.108695 79.461 75.0967
38.384846 78.340 71.0855
38.662999 77.143 68.7748
38.943167 75.957 68.1049
39.225365 74.857 68.7579
39.509608 73.876 70.2509
39.795911 72.997 72.1297
40.084289 72.174 74.2525
40.374756 71.363 76.9097
40.667328 70.573 80.6687
40.962020 69.881 85.9897
41.258848 69.417 92.8424
41.557827 69.286 100.4735
41.858972 69.507 107.6506
42.162299 69.999 113.3849
42.467824 70.632 117.3840
42.775564 71.303 119.9201
43.085533 71.968 121.4852
43.397749 72.637 122.4942
43.712227 73.351 123.0525
44.028983 74.141 122.8638
44.348036 74.987 121.4115
44.669400 75.824 118.2890
44.993093 76.561 113.4119
45.319131 77.117 107.0015
45.647532 77.428 99.4664
45.978313 77.454 91.3053
46.311491 77.178 83.0672
46.647083 76.598 75.3472
46.985107 75.745 68.7804
47.325581 74.683 63.9731
47.668521 73.523 61.2965
48.013947 72.402 60.5640
48.361876 71.412 60.9442
48.712326 70.546 61.5082
49.065315 69.714 61.9658
49.420863 68.843 62.7660
49.778987 67.939 64.5619
50.139706 67.073 67.5249
50.503039 66.298 71.1155
50.869005 65.571 74.7839
51.237623 64.801 79.0170
51.608912 64.009 85.4953
51.982891 63.451 95.6718
52.359580 63.465 107.9817
52.739000 64.063 118.6315
53.121168 64.998 126.7102
53.506106 66.197 133.8063
53.893833 67.761 140.0462
54.284370 69.629 143.0960
54.677737 71.511 141.1082
55.073955 73.117 134.4711
55.473043 74.287 124.6089
55.875024 74.956 112.9272
56.279917 75.109 100.4952
56.687745 74.756 88.3285
57.098527 73.937 77.4811
57.512287 72.740 68.9830
57.929045 71.321 63.5333
58.348822 69.890 60.9472
58.771642 68.596 59.7329
59.197525 67.403 58.4056
59.626495 66.155 56.9732
60.058573 64.762 56.5786
60.493782 63.287 58.1469
60.932145 61.860 60.9676
61.373685 60.474 63.3245
61.818424 58.920 64.7199
62.266386 56.943 67.1376
62.717593 54.464 74.8136
63.172071 51.893 94.3396
63.629842 50.924 134.2065
64.090930 53.270 -166.1279
64.555359 57.195 -134.8209
65.023154 60.912 -128.2595
65.494339 63.992 -130.8124
65.968938 66.441 -136.9086
66.446976 68.382 -144.1097
66.928478 69.966 -151.3552
67.413469 71.316 -158.5301
67.901975 72.480 -166.1112
68.394021 73.423 -174.5898
68.889632 74.071 176.0136
69.388835 74.363 166.2712
69.891655 74.282 156.8903
70.398118 73.857 148.7684
70.908252 73.148 142.4959
71.422083 72.229 138.5674
71.939636 71.184 137.5907
72.460941 70.184 140.5565
72.986023 69.567 147.9647
73.514909 69.694 157.5407
74.047629 70.556 165.2975
74.584208 71.841 169.3085
75.124676 73.248 169.4538
75.669061 74.569 166.0168
76.217390 75.636 159.5162
76.769692 76.345 150.9649
77.325997 76.651 141.4359
77.886333 76.563 132.0304
78.450730 76.126 123.5372
79.019216 75.404 116.6360
79.591822 74.490 111.9363
80.168577 73.525 109.7773
80.749512 72.680 109.7118
81.334656 72.050 110.1736
81.924040 71.554 109.8297
82.517696 71.032 108.7926
83.115653 70.395 108.1164
83.717943 69.668 108.7449
84.324598 68.938 110.9890
84.935649 68.312 114.9755
85.551128 67.939 120.8524
86.171066 68.001 127.8869
86.795497 68.549 133.9310
87.424453 69.412 136.9696
88.057967 70.335 136.4412
88.696071 71.107 132.7864
89.338800 71.584 126.8107
89.986185 71.671 119.5621
90.638262 71.326 112.4480
91.295065 70.599 107.1324
91.956626 69.653 104.7250
92.622982 68.704 105.1675
93.294166 68.045 109.4158
93.970214 68.260 118.8044
94.651161 69.508 124.2639
95.337042 70.834 117.6949
96.027894 71.378 103.1759
96.723752 70.836 86.5417
97.424652 69.202 73.0522
98.130631 66.724 68.6287
98.841726 64.047 76.4499
99.557974 62.052 88.3558
100.279412 61.035 97.0758
101.006078 60.618 102.6920
101.738010 60.379 106.1308
102.475245 60.153 108.8103
103.217823 59.946 110.8845
103.965782 59.721 111.5273
104.719161 59.370 110.4886
105.477999 58.767 108.2796
106.242336 57.842 106.5275
107.012212 56.696 107.0578
107.787666 55.558 108.7919
108.568740 54.470 107.5414
109.355474 53.216 100.5451
110.147909 51.992 87.0688
110.946086 52.277 -92.7823
111.750047 54.279 -123.6934
112.559834 56.075 -143.1133
113.375489 56.917 -159.2785
114.197055 56.959 -170.6309
115.024574 56.558 -177.2734
115.858089 55.948 178.5757
116.697645 55.130 174.6765
117.543284 53.934 170.1465
118.395051 52.127 166.1528
119.252990 49.691 168.9349
120.117147 47.789 -147.1704
120.987565 48.596 -89.5507
121.864291 50.839 -79.9435
122.747370 52.853 -77.8334
123.636848 54.448 -76.4396
124.532771 55.852 -73.7024
125.435187 57.399 -68.5421
126.344142 59.276 -63.0995
127.259684 61.405 -59.9943
128.181860 63.647 -59.9102
129.110718 65.892 -62.9275
130.046308 68.024 -69.2754
130.988677 69.828 -80.2136
131.937875 71.024 -95.6425
132.893951 71.463 -112.9589
133.856956 71.217 -129.1675
134.826938 70.494 -142.9221
135.803950 69.478 -154.5378
136.788041 68.282 -164.4036
137.779264 67.059 -172.4011
138.777669 66.061 179.3477
139.783309 65.262 165.1818
140.796237 64.131 142.8701
141.816504 62.275 114.0108
142.844165 60.130 78.8303
143.879273 59.408 41.9470
144.921881 60.880 13.9572
145.972045 62.941 -7.6744
147.029819 64.554 -27.2416
148.095257 65.467 -45.5159
149.168417 65.679 -61.6281
150.249353 65.320 -74.2098
151.338121 64.604 -83.0189
152.434780 63.660 -89.2714
153.539385 62.504 -92.8185
154.651995 61.216 -92.5808
155.772667 59.992 -88.8253
156.901460 59.302 -78.5200
158.038432 60.037 -58.2746
159.183644 61.946 -45.9713
160.337154 63.705 -50.0121
161.499023 64.744 -60.1169
162.669312 65.175 -70.3852
163.848081 65.208 -80.3151
165.035392 64.954 -90.7322
166.231306 64.395 -103.6487
167.435887 63.281 -120.7858
168.649196 61.295 -141.2507
169.871298 58.515 -166.8445
171.102255 56.655 126.6038
172.342133 58.270 63.6569
173.590995 61.021 40.4055
174.848907 62.871 19.9836
176.115934 63.625 2.7037
