* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -26.8 dBFS, measurement signal peak level -16.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 9:34:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0500 ms (-17 mm, -0.68 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p3-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 20.595 -44.7165
10.166832 20.578 -49.2337
10.240505 20.558 -53.7314
10.314712 20.536 -58.1469
10.389457 20.506 -62.3866
10.464743 20.437 -66.3760
10.540575 20.306 -70.3552
10.616956 20.130 -74.3651
10.693891 19.904 -78.3621
10.771383 19.623 -82.2734
10.849437 19.292 -86.2228
10.928057 18.907 -90.3657
11.007246 18.455 -94.7047
11.087009 17.915 -99.2247
11.167350 17.267 -104.0488
11.248273 16.509 -109.5496
11.329783 15.683 -115.8884
11.411883 14.830 -123.2738
11.494578 13.923 -132.2282
11.577873 12.898 -144.0978
11.661771 11.975 -159.8101
11.746277 11.499 -179.4700
11.831395 11.765 158.5434
11.917130 12.709 137.4666
12.003487 14.012 120.5937
12.090469 15.374 107.8687
12.178081 16.683 97.8822
12.266329 18.030 89.6863
12.355216 19.350 82.8637
12.444747 20.549 76.9875
12.534926 21.596 71.6064
12.625760 22.526 66.5804
12.717251 23.367 61.9417
12.809406 24.134 57.6276
12.902228 24.822 53.3662
12.995723 25.433 49.2101
13.089895 25.980 45.2668
13.184750 26.470 41.4848
13.280292 26.897 37.6495
13.376526 27.266 33.9073
13.473458 27.583 30.3842
13.571093 27.848 26.8788
13.669434 28.059 23.3752
13.768489 28.221 20.0403
13.868261 28.335 16.8976
13.968756 28.399 13.7479
14.069979 28.417 10.7311
14.171936 28.389 7.9922
14.274632 28.314 5.3669
14.378072 28.195 2.9017
14.482261 28.037 0.7605
14.587206 27.835 -1.0759
14.692910 27.598 -2.6269
14.799381 27.339 -3.7712
14.906624 27.057 -4.4037
15.014643 26.762 -4.5244
15.123446 26.491 -4.1194
15.233036 26.261 -3.0978
15.343421 26.079 -1.4145
15.454606 25.992 0.6803
15.566596 26.037 3.0568
15.679398 26.207 5.7079
15.793018 26.495 8.1179
15.907460 26.907 10.0638
16.022732 27.428 11.6266
16.138840 28.007 12.4719
16.255788 28.619 12.5870
16.373585 29.259 12.1619
16.492234 29.892 11.1293
16.611744 30.505 9.5492
16.732119 31.097 7.5766
16.853367 31.656 5.2710
16.975494 32.178 2.6251
17.098505 32.664 -0.2211
17.222408 33.111 -3.1810
17.347209 33.519 -6.3284
17.472914 33.889 -9.4940
17.599530 34.222 -12.6440
17.727063 34.519 -15.8386
17.855521 34.783 -18.8914
17.984909 35.015 -21.8724
18.115235 35.218 -24.7405
18.246506 35.397 -27.3768
18.378727 35.553 -29.8682
18.511907 35.693 -32.1279
18.646052 35.821 -34.1383
18.781169 35.941 -35.9280
18.917265 36.061 -37.4576
19.054347 36.182 -38.7410
19.192423 36.313 -39.8075
19.331499 36.456 -40.6475
19.471583 36.614 -41.2968
19.612682 36.791 -41.7955
19.754804 36.988 -42.1387
19.897956 37.205 -42.3948
20.042144 37.445 -42.5558
20.187378 37.705 -42.6776
20.333664 37.987 -42.7759
20.481010 38.288 -42.8768
20.629424 38.608 -43.0327
20.778913 38.945 -43.2345
20.929486 39.294 -43.5612
21.081150 39.653 -43.9874
21.233912 40.013 -44.5732
21.387782 40.373 -45.3123
21.542767 40.722 -46.1996
21.698874 41.055 -47.2527
21.856113 41.365 -48.4128
22.014492 41.645 -49.6715
22.174018 41.894 -50.9745
22.334700 42.106 -52.2406
22.496546 42.284 -53.4556
22.659566 42.430 -54.4751
22.823766 42.552 -55.3169
22.989157 42.663 -55.8444
23.155745 42.775 -56.0858
23.323542 42.910 -56.0173
23.492554 43.079 -55.6763
23.662790 43.301 -55.2135
23.834261 43.580 -54.6727
24.006973 43.912 -54.2996
24.180938 44.288 -54.0985
24.356163 44.687 -54.2344
24.532658 45.095 -54.6395
24.710431 45.490 -55.3162
24.889493 45.866 -56.1497
25.069853 46.217 -57.0372
25.251519 46.551 -57.8680
25.434502 46.877 -58.5355
25.618811 47.221 -59.0292
25.804456 47.599 -59.3068
25.991445 48.036 -59.5739
26.179790 48.539 -59.8606
26.369500 49.103 -60.5094
26.560584 49.713 -61.5350
26.753053 50.339 -63.1539
26.946917 50.954 -65.2821
27.142185 51.535 -67.9431
27.338869 52.058 -70.9379
27.536977 52.516 -74.2229
27.736522 52.904 -77.5383
27.937512 53.229 -80.8135
28.139959 53.504 -83.8810
28.343872 53.753 -86.6695
28.549264 53.998 -89.1614
28.756143 54.267 -91.4288
28.964522 54.572 -93.6332
29.174411 54.920 -95.9117
29.385821 55.292 -98.5398
29.598763 55.668 -101.5446
29.813248 56.010 -105.0627
30.029287 56.289 -108.9370
30.246891 56.481 -113.1530
30.466073 56.562 -117.4280
30.686842 56.528 -121.5367
30.909212 56.378 -125.3183
31.133193 56.133 -128.3319
31.358797 55.834 -130.4521
31.586035 55.531 -131.4366
31.814921 55.309 -131.3615
32.045465 55.224 -130.5947
32.277680 55.306 -129.5445
32.511577 55.531 -128.9271
32.747169 55.833 -128.9823
32.984469 56.152 -129.7411
33.223488 56.431 -131.0627
33.464239 56.650 -132.5418
33.706735 56.818 -133.9312
33.950987 56.960 -134.9797
34.197010 57.129 -135.5508
34.444816 57.370 -135.8304
34.694417 57.709 -136.0768
34.945827 58.148 -136.6500
35.199059 58.648 -137.9532
35.454126 59.163 -140.0883
35.711041 59.645 -143.0317
35.969818 60.055 -146.7015
36.230470 60.366 -150.8879
36.493011 60.566 -155.3837
36.757455 60.646 -160.0378
37.023814 60.604 -164.7128
37.292104 60.436 -169.2559
37.562338 60.138 -173.5006
37.834530 59.701 -177.2764
38.108695 59.119 179.6762
38.384846 58.394 177.7584
38.662999 57.554 177.5753
38.943167 56.692 179.7836
39.225365 55.978 -175.3929
39.509608 55.584 -168.7276
39.795911 55.559 -161.9086
40.084289 55.785 -156.2626
40.374756 56.072 -151.6728
40.667328 56.355 -146.7178
40.962020 56.791 -139.8370
41.258848 57.651 -131.0580
41.557827 59.027 -122.7421
41.858972 60.737 -117.4071
42.162299 62.513 -115.4812
42.467824 64.194 -115.9627
42.775564 65.765 -117.7021
43.085533 67.292 -120.0029
43.397749 68.849 -122.8151
43.712227 70.459 -126.6310
44.028983 72.070 -132.0281
44.348036 73.598 -139.2591
44.669400 74.959 -148.1959
44.993093 76.096 -158.4798
45.319131 76.974 -169.6707
45.647532 77.575 178.6818
45.978313 77.899 167.0184
46.311491 77.957 155.7734
46.647083 77.779 145.3737
46.985107 77.411 136.2150
47.325581 76.926 128.5929
47.668521 76.412 122.5901
48.013947 75.956 117.9832
48.361876 75.611 114.2908
48.712326 75.380 110.9974
49.065315 75.233 107.7867
49.420863 75.135 104.6028
49.778987 75.067 101.5609
50.139706 75.035 98.8226
50.503039 75.070 96.4807
50.869005 75.214 94.4375
51.237623 75.495 92.3301
51.608912 75.899 89.6537
51.982891 76.366 86.0872
52.359580 76.826 81.7430
52.739000 77.262 77.0970
53.121168 77.731 72.5988
53.506106 78.341 68.1304
53.893833 79.148 62.8027
54.284370 80.082 55.4430
54.677737 80.976 45.4052
55.073955 81.659 32.8371
55.473043 82.010 18.3726
55.875024 81.957 2.8092
56.279917 81.459 -13.1336
56.687745 80.499 -28.5771
57.098527 79.088 -42.4533
57.512287 77.291 -53.5737
57.929045 75.269 -60.9820
58.348822 73.280 -64.7900
58.771642 71.539 -67.0680
59.197525 70.007 -69.8084
59.626495 68.466 -72.7100
60.058573 66.813 -73.9726
60.493782 65.186 -72.4885
60.932145 63.796 -69.8251
61.373685 62.607 -68.3052
61.818424 61.357 -67.7064
62.266386 59.898 -65.4699
62.717593 58.357 -59.3149
63.172071 57.034 -49.2380
63.629842 56.204 -36.2858
64.090930 56.148 -20.6761
64.555359 56.992 -6.1512
65.023154 58.311 2.0410
65.494339 59.567 4.6876
65.968938 60.587 5.5657
66.446976 61.576 7.7484
66.928478 62.904 12.0554
67.413469 64.718 15.6707
67.901975 66.756 15.0370
68.394021 68.659 9.3624
68.889632 70.217 0.1102
69.388835 71.358 -11.0610
69.891655 72.096 -22.8913
70.398118 72.498 -34.3116
70.908252 72.656 -44.8171
71.422083 72.669 -54.1924
71.939636 72.609 -62.6255
72.460941 72.509 -70.3617
72.986023 72.385 -77.4857
73.514909 72.264 -83.8932
74.047629 72.205 -89.5593
74.584208 72.276 -94.8029
75.124676 72.496 -100.4200
75.669061 72.800 -107.1977
76.217390 73.059 -115.5016
76.769692 73.142 -125.0081
77.325997 72.963 -134.9968
77.886333 72.492 -144.3876
78.450730 71.774 -152.0310
79.019216 70.967 -156.6848
79.591822 70.383 -157.8630
80.168577 70.349 -157.4701
80.749512 70.849 -159.2673
81.334656 71.504 -165.2925
81.924040 71.944 -174.6504
82.517696 71.996 174.5348
83.115653 71.649 164.0643
83.717943 71.007 155.3798
84.324598 70.254 149.0625
84.935649 69.573 144.5991
85.551128 69.049 140.8459
86.171066 68.653 136.9253
86.795497 68.296 132.6245
87.424453 67.908 128.3464
88.057967 67.498 124.9819
88.696071 67.196 123.0342
89.338800 67.129 121.3188
89.986185 67.223 117.9844
90.638262 67.280 113.0259
91.295065 67.231 107.9576
91.956626 67.216 103.9933
92.622982 67.515 101.2881
93.294166 68.368 97.8776
93.970214 69.613 89.1322
94.651161 70.681 72.3789
95.337042 71.061 48.8320
96.027894 70.479 20.7849
96.723752 68.817 -10.0800
97.424652 66.056 -43.8047
98.130631 62.333 -90.9233
98.841726 58.238 158.9785
99.557974 55.239 117.3059
100.279412 54.259 104.2128
101.006078 54.163 99.2537
101.738010 54.308 100.7697
102.475245 54.995 106.8019
103.217823 56.390 112.5120
103.965782 58.285 114.5450
104.719161 60.212 109.3877
105.477999 61.674 96.8175
106.242336 62.406 79.8757
107.012212 62.389 61.8639
107.787666 61.792 44.9338
108.568740 60.896 29.3108
109.355474 59.930 13.1534
110.147909 58.965 -5.4813
110.946086 58.054 -27.4215
111.750047 57.373 -52.7672
112.559834 57.080 -80.1632
113.375489 57.129 -106.1494
114.197055 57.377 -127.5649
115.024574 57.777 -143.3245
115.858089 58.390 -154.1074
116.697645 59.233 -162.1703
117.543284 60.119 -170.5835
118.395051 60.729 179.4004
119.252990 60.838 169.3578
120.117147 60.451 162.2531
120.987565 59.853 160.9506
121.864291 59.632 166.8339
122.747370 60.466 178.1016
123.636848 62.462 -171.2657
124.532771 65.050 -166.5905
125.435187 67.631 -169.2477
126.344142 69.796 -178.8499
127.259684 71.289 166.6654
128.181860 72.008 150.4700
129.110718 72.052 136.2736
130.046308 71.847 127.8425
130.988677 72.075 124.9515
131.937875 72.842 119.3301
132.893951 73.465 106.9678
133.856956 73.418 91.4016
134.826938 72.574 77.0952
135.803950 71.193 70.3719
136.788041 70.386 78.7793
137.779264 71.174 85.7329
138.777669 72.476 76.2913
139.783309 73.127 57.5410
140.796237 72.730 35.3416
141.816504 71.205 13.9252
142.844165 68.630 -3.3560
143.879273 65.158 -15.2762
144.921881 61.034 -22.9463
145.972045 57.655 -34.0292
147.029819 58.677 156.3350
148.095257 62.089 155.9102
149.168417 64.949 146.2568
150.249353 66.821 132.3965
151.338121 67.844 119.0747
152.434780 68.214 108.2478
153.539385 68.185 101.6257
154.651995 68.211 100.6182
155.772667 68.941 104.9216
156.901460 70.771 111.5251
158.038432 73.248 113.0623
159.183644 75.493 103.6511
160.337154 76.875 85.2073
161.499023 77.184 64.2170
162.669312 76.619 46.4175
163.848081 75.620 33.5635
165.035392 74.580 23.5205
166.231306 73.629 12.8372
167.435887 72.508 -1.7009
168.649196 70.682 -18.6064
169.871298 67.793 -30.2036
171.102255 64.178 -25.2109
172.342133 62.280 71.1821
173.590995 64.225 109.8391
174.848907 66.835 102.3411
