* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -27.0 dBFS, measurement signal peak level -14.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 15, 2024 9:35:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -3.0260 ms (-1.038 m, -(3 ft 4.9 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: empty-p3-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 24.052 -115.5683
10.166832 24.050 -123.2992
10.240505 24.047 -131.7343
10.314712 24.044 -140.4620
10.389457 24.037 -149.0711
10.464743 24.017 -157.4494
10.540575 23.969 -166.7112
10.616956 23.914 -176.7132
10.693891 23.879 173.0833
10.771383 23.886 163.1667
10.849437 23.936 152.7427
10.928057 24.024 141.4291
11.007246 24.159 129.9721
11.087009 24.353 119.0556
11.167350 24.622 108.4397
11.248273 24.960 97.3654
11.329783 25.344 86.5687
11.411883 25.746 76.6401
11.494578 26.158 67.4579
11.577873 26.590 58.1430
11.661771 27.025 49.1729
11.746277 27.435 40.9766
11.831395 27.806 33.4562
11.917130 28.148 25.8036
12.003487 28.453 18.3646
12.090469 28.708 11.5223
12.178081 28.909 5.1700
12.266329 29.057 -1.3639
12.355216 29.147 -7.7588
12.444747 29.169 -13.6224
12.534926 29.125 -19.1946
12.625760 29.011 -24.9338
12.717251 28.812 -30.5087
12.809406 28.519 -35.5054
12.902228 28.139 -40.3846
12.995723 27.651 -45.2849
13.089895 27.012 -49.8247
13.184750 26.199 -53.6121
13.280292 25.218 -57.0565
13.376526 24.028 -59.8896
13.473458 22.524 -61.2396
13.571093 20.424 -59.8400
13.669434 18.081 -53.2979
13.768489 16.504 -35.9721
13.868261 16.757 -4.8562
13.968756 18.520 22.2057
14.069979 20.719 34.0572
14.171936 22.683 37.4661
14.274632 24.510 37.3659
14.378072 26.201 35.6467
14.482261 27.642 32.9818
14.587206 28.798 29.4679
14.692910 29.741 25.5461
14.799381 30.547 21.5443
14.906624 31.237 17.2422
15.014643 31.802 12.6331
15.123446 32.264 8.0968
15.233036 32.634 3.5107
15.343421 32.907 -1.3787
15.454606 33.090 -6.1696
15.566596 33.187 -10.8732
15.679398 33.195 -15.8542
15.793018 33.113 -20.7209
15.907460 32.943 -25.4116
16.022732 32.681 -30.3072
16.138840 32.322 -35.0386
16.255788 31.863 -39.5040
16.373585 31.301 -44.0137
16.492234 30.626 -48.2407
16.611744 29.834 -52.0118
16.732119 28.924 -55.4802
16.853367 27.892 -58.4253
16.975494 26.726 -60.3440
17.098505 25.471 -61.2717
17.222408 24.183 -61.2015
17.347209 22.865 -59.0405
17.472914 21.676 -55.5166
17.599530 20.777 -51.5224
17.727063 20.144 -46.9686
17.855521 19.706 -43.9159
17.984909 19.460 -43.2577
18.115235 19.266 -44.6285
18.246506 18.935 -48.1547
18.378727 18.462 -54.7103
18.511907 17.838 -62.9971
18.646052 17.024 -74.3994
18.781169 16.155 -89.7807
18.917265 15.456 -107.6527
19.054347 14.967 -130.3525
19.192423 14.760 -152.5727
19.331499 14.900 -173.1949
19.471583 15.136 168.9659
19.612682 15.176 155.5912
19.754804 14.957 143.1099
19.897956 14.213 134.1578
20.042144 12.837 127.1194
20.187378 11.187 123.9148
20.333664 9.429 134.9299
20.481010 8.632 -178.8313
20.629424 10.446 -146.8881
20.778913 13.606 -140.8357
20.929486 16.115 -144.1656
21.081150 17.835 -151.2130
21.233912 18.989 -158.8678
21.387782 19.612 -169.0834
21.542767 19.761 -179.7646
21.698874 19.443 166.6036
21.856113 18.914 149.2209
22.014492 18.448 124.0988
22.174018 18.534 85.4890
22.334700 19.856 44.4122
22.496546 21.912 15.2640
22.659566 23.959 -3.8988
22.823766 25.869 -18.4413
22.989157 27.415 -30.0654
23.155745 28.610 -40.6208
23.323542 29.488 -49.6555
23.492554 30.054 -58.3835
23.662790 30.326 -65.8239
23.834261 30.298 -72.9492
24.006973 29.963 -78.5778
24.180938 29.311 -83.2834
24.356163 28.322 -85.5987
24.532658 27.069 -85.0793
24.710431 25.708 -79.4669
24.889493 24.669 -67.2819
25.069853 24.614 -50.6641
25.251519 25.348 -36.0740
25.434502 26.557 -27.4631
25.618811 27.741 -22.9330
25.804456 28.647 -21.0482
25.991445 29.273 -19.6641
26.179790 29.642 -18.3723
26.369500 29.856 -15.9440
26.560584 30.000 -12.3164
26.753053 30.222 -7.1542
26.946917 30.604 -1.0528
27.142185 31.214 5.3505
27.338869 32.002 11.0616
27.536977 32.921 15.7583
27.736522 33.883 19.2352
27.937512 34.856 21.6392
28.139959 35.814 23.1324
28.343872 36.748 23.6900
28.549264 37.649 23.4562
28.756143 38.501 22.2739
28.964522 39.287 20.2464
29.174411 39.984 17.3396
29.385821 40.566 13.6707
29.598763 41.017 9.3331
29.813248 41.316 4.4345
30.029287 41.450 -0.7156
30.246891 41.409 -6.1346
30.466073 41.185 -11.3455
30.686842 40.778 -16.1223
30.909212 40.197 -20.1539
31.133193 39.481 -22.7236
31.358797 38.720 -23.4800
31.586035 38.046 -21.8049
31.814921 37.695 -18.1440
32.045465 37.788 -13.8269
32.277680 38.324 -10.3829
32.511577 39.110 -9.1996
32.747169 39.959 -10.0795
32.984469 40.755 -12.5212
33.223488 41.430 -15.9317
33.464239 41.979 -19.5520
33.706735 42.420 -22.9966
33.950987 42.789 -25.8995
34.197010 43.148 -27.9246
34.444816 43.559 -29.1278
34.694417 44.073 -29.6835
34.945827 44.721 -29.9209
35.199059 45.490 -30.3876
35.454126 46.341 -31.4074
35.711041 47.226 -33.1231
35.969818 48.101 -35.5773
36.230470 48.927 -38.7245
36.493011 49.685 -42.4366
36.757455 50.357 -46.5999
37.023814 50.932 -51.1227
37.292104 51.398 -55.9036
37.562338 51.748 -60.7792
37.834530 51.977 -65.5913
38.108695 52.086 -70.1710
38.384846 52.087 -74.3213
38.662999 52.004 -77.8121
38.943167 51.878 -80.4675
39.225365 51.765 -82.2856
39.509608 51.711 -83.4260
39.795911 51.749 -84.1888
40.084289 51.878 -84.9308
40.374756 52.071 -85.9189
40.667328 52.289 -87.2092
40.962020 52.509 -88.6568
41.258848 52.733 -90.0666
41.557827 52.984 -91.3102
41.858972 53.294 -92.3964
42.162299 53.690 -93.4883
42.467824 54.183 -94.8549
42.775564 54.759 -96.7766
43.085533 55.390 -99.4698
43.397749 56.043 -103.0687
43.712227 56.683 -107.6494
44.028983 57.274 -113.2418
44.348036 57.779 -119.8304
44.669400 58.161 -127.3462
44.993093 58.381 -135.6598
45.319131 58.404 -144.5833
45.647532 58.199 -153.8689
45.978313 57.739 -163.2062
46.311491 57.003 -172.2079
46.647083 55.983 179.6107
46.985107 54.685 172.8467
47.325581 53.151 168.1724
47.668521 51.469 166.1545
48.013947 49.764 166.8831
48.361876 48.144 169.7567
48.712326 46.625 174.1307
49.065315 45.170 -179.4995
49.420863 43.876 -169.4504
49.778987 43.080 -155.4680
50.139706 43.009 -141.4891
50.503039 43.420 -130.7426
50.869005 44.028 -121.5002
51.237623 44.941 -110.8940
51.608912 46.392 -99.9163
51.982891 48.228 -92.7914
52.359580 50.053 -90.6839
52.739000 51.659 -91.4158
53.121168 53.130 -92.5353
53.506106 54.704 -93.0699
53.893833 56.526 -94.2280
54.284370 58.485 -98.2151
54.677737 60.330 -106.0611
55.073955 61.852 -117.2561
55.473043 62.944 -130.7048
55.875024 63.559 -145.3188
56.279917 63.683 -160.2417
56.687745 63.324 -174.5579
57.098527 62.514 172.7700
57.512287 61.343 162.8391
57.929045 59.989 156.4861
58.348822 58.707 153.5957
58.771642 57.698 152.4298
59.197525 56.938 151.0952
59.626495 56.260 149.3591
60.058573 55.584 148.1375
60.493782 54.979 148.0594
60.932145 54.547 148.5658
61.373685 54.279 148.6976
61.818424 54.089 148.3148
62.266386 53.954 148.1570
62.717593 53.965 148.6067
63.172071 54.218 149.0627
63.629842 54.672 148.0913
64.090930 55.170 145.1199
64.555359 55.555 140.5842
65.023154 55.752 135.5027
65.494339 55.785 130.9329
65.968938 55.778 127.8276
66.446976 55.932 126.4521
66.928478 56.433 125.7869
67.413469 57.287 123.8071
67.901975 58.302 119.0599
68.394021 59.238 111.3699
68.889632 59.934 101.5613
69.388835 60.316 90.8583
69.891655 60.393 80.3090
70.398118 60.239 70.8755
70.908252 59.955 62.8900
71.422083 59.614 56.2220
71.939636 59.231 50.7362
72.460941 58.811 46.8948
72.986023 58.457 45.4337
73.514909 58.364 46.2297
74.047629 58.655 48.0188
74.584208 59.348 49.9858
75.124676 60.482 51.9437
75.669061 62.023 52.3848
76.217390 63.713 49.0109
76.769692 65.231 41.6243
77.325997 66.384 31.6725
77.886333 67.142 21.0492
78.450730 67.586 11.1553
79.019216 67.863 2.7131
79.591822 68.114 -4.5139
80.168577 68.381 -11.4797
80.749512 68.591 -18.9518
81.334656 68.631 -26.8855
81.924040 68.433 -34.4221
82.517696 68.030 -40.4170
83.115653 67.567 -43.8862
83.717943 67.276 -44.7230
84.324598 67.351 -44.2704
84.935649 67.791 -44.5619
85.551128 68.420 -46.8123
86.171066 69.050 -50.9729
86.795497 69.568 -56.4481
87.424453 69.924 -62.7687
88.057967 70.077 -69.6493
88.696071 69.989 -76.6741
89.338800 69.645 -83.1897
89.986185 69.073 -88.5405
90.638262 68.326 -92.3052
91.295065 67.462 -94.1514
91.956626 66.575 -93.3964
92.622982 65.902 -88.8077
93.294166 65.907 -79.8258
93.970214 66.920 -70.2325
94.651161 68.576 -66.4240
95.337042 70.233 -69.7905
96.027894 71.511 -78.0559
96.723752 72.273 -88.8047
97.424652 72.500 -100.0724
98.130631 72.257 -110.1057
98.841726 71.711 -117.5580
99.557974 71.093 -122.2554
100.279412 70.585 -125.2855
101.006078 70.257 -127.6620
101.738010 70.141 -129.8864
102.475245 70.264 -132.6459
103.217823 70.615 -136.8798
103.965782 71.101 -144.0610
104.719161 71.478 -155.7330
105.477999 71.408 -171.8799
106.242336 70.629 169.2042
107.012212 69.029 149.7239
107.787666 66.643 131.1520
108.568740 63.620 112.8811
109.355474 60.253 90.4086
110.147909 57.315 56.5999
110.946086 56.382 19.5330
111.750047 57.541 -4.2864
112.559834 59.173 -18.8291
113.375489 60.573 -28.2703
114.197055 61.737 -33.9318
115.024574 62.808 -36.7776
115.858089 63.957 -37.3262
116.697645 65.359 -36.1848
117.543284 67.017 -35.7841
118.395051 68.657 -39.2638
119.252990 69.940 -46.9308
120.117147 70.705 -56.3788
120.987565 70.993 -65.0187
121.864291 70.959 -71.5746
122.747370 70.735 -75.9358
123.636848 70.437 -77.8271
124.532771 70.277 -76.2390
125.435187 70.648 -70.5509
126.344142 71.810 -63.8545
127.259684 73.477 -61.7604
128.181860 75.185 -65.3143
129.110718 76.736 -72.3701
130.046308 78.104 -81.9398
130.988677 79.187 -94.8032
131.937875 79.769 -111.1340
132.893951 79.672 -129.1094
133.856956 78.896 -146.0449
134.826938 77.608 -160.6283
135.803950 75.973 -173.8131
136.788041 74.020 173.5483
137.779264 71.860 161.1890
138.777669 70.081 142.9656
139.783309 69.523 103.9878
140.796237 70.235 45.4457
141.816504 71.561 3.3457
142.844165 73.030 -21.2587
143.879273 74.445 -37.4492
144.921881 75.757 -49.4089
145.972045 77.007 -59.4344
147.029819 78.080 -70.5432
148.095257 78.750 -83.5017
149.168417 78.889 -96.8711
150.249353 78.484 -108.9595
151.338121 77.622 -117.6616
152.434780 76.578 -121.0659
153.539385 75.783 -119.8467
154.651995 75.551 -117.2280
155.772667 75.821 -116.6777
156.901460 76.208 -120.5024
158.038432 76.323 -127.7432
159.183644 75.964 -136.4751
160.337154 74.991 -145.1121
161.499023 73.370 -148.4150
162.669312 71.585 -138.8315
163.848081 70.610 -123.1060
165.035392 70.830 -112.2949
166.231306 72.179 -99.6152
167.435887 74.496 -85.7197
168.649196 76.964 -85.1064
169.871298 79.034 -93.6807
