* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.0 dBFS, measurement signal peak level -20.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:26:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9057 ms (-311 mm, -(1 ft 0.23 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: couch-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 25.407 17.2010
10.166832 25.575 15.8451
10.240505 25.778 14.4987
10.314712 25.987 13.2088
10.389457 26.196 12.0242
10.464743 26.397 10.9828
10.540575 26.584 10.0334
10.616956 26.765 9.1679
10.693891 26.948 8.3967
10.771383 27.137 7.7337
10.849437 27.333 7.1986
10.928057 27.534 6.7694
11.007246 27.747 6.4070
11.087009 27.976 6.0762
11.167350 28.226 5.7910
11.248273 28.494 5.5875
11.329783 28.780 5.3881
11.411883 29.084 5.1186
11.494578 29.409 4.7629
11.577873 29.755 4.4080
11.661771 30.117 3.9801
11.746277 30.490 3.4026
11.831395 30.871 2.6522
11.917130 31.265 1.8225
12.003487 31.663 0.8760
12.090469 32.060 -0.2341
12.178081 32.453 -1.5212
12.266329 32.842 -2.9242
12.355216 33.225 -4.4370
12.444747 33.594 -6.0656
12.534926 33.949 -7.8285
12.625760 34.291 -9.6989
12.717251 34.616 -11.6300
12.809406 34.921 -13.5960
12.902228 35.207 -15.6561
12.995723 35.473 -17.7709
13.089895 35.718 -19.8691
13.184750 35.943 -21.9349
13.280292 36.145 -24.0441
13.376526 36.328 -26.1267
13.473458 36.493 -28.1068
13.571093 36.639 -30.0343
13.669434 36.768 -31.9200
13.768489 36.884 -33.7038
13.868261 36.989 -35.3539
13.968756 37.083 -36.9176
14.069979 37.170 -38.3849
14.171936 37.257 -39.7354
14.274632 37.341 -40.9673
14.378072 37.425 -42.1086
14.482261 37.513 -43.1849
14.587206 37.606 -44.1822
14.692910 37.703 -45.1117
14.799381 37.802 -46.0106
14.906624 37.904 -46.8933
15.014643 38.007 -47.7448
15.123446 38.107 -48.5648
15.233036 38.201 -49.3696
15.343421 38.290 -50.1554
15.454606 38.371 -50.8690
15.566596 38.442 -51.4961
15.679398 38.503 -52.0568
15.793018 38.561 -52.4832
15.907460 38.616 -52.7356
16.022732 38.672 -52.8405
16.138840 38.740 -52.7873
16.255788 38.826 -52.5441
16.373585 38.934 -52.1403
16.492234 39.074 -51.6832
16.611744 39.253 -51.1523
16.732119 39.466 -50.6036
16.853367 39.712 -50.2082
16.975494 39.992 -49.9260
17.098505 40.293 -49.8089
17.222408 40.601 -49.9562
17.347209 40.916 -50.3213
17.472914 41.221 -50.8769
17.599530 41.507 -51.6402
17.727063 41.772 -52.5767
17.855521 42.007 -53.5620
17.984909 42.209 -54.6421
18.115235 42.378 -55.7250
18.246506 42.515 -56.6831
18.378727 42.620 -57.5835
18.511907 42.701 -58.2733
18.646052 42.762 -58.7224
18.781169 42.812 -58.9267
18.917265 42.866 -58.7887
19.054347 42.930 -58.3255
19.192423 43.026 -57.5580
19.331499 43.164 -56.4634
19.471583 43.357 -55.1502
19.612682 43.622 -53.7355
19.754804 43.960 -52.2490
19.897956 44.369 -50.9790
20.042144 44.849 -49.8839
20.187378 45.379 -49.2004
20.333664 45.947 -48.9661
20.481010 46.537 -49.1683
20.629424 47.123 -49.9169
20.778913 47.698 -51.0766
20.929486 48.238 -52.6498
21.081150 48.738 -54.5938
21.233912 49.186 -56.7306
21.387782 49.574 -59.1128
21.542767 49.903 -61.5011
21.698874 50.168 -63.8898
21.856113 50.376 -66.1470
22.014492 50.534 -68.1142
22.174018 50.655 -69.8098
22.334700 50.760 -71.0352
22.496546 50.867 -71.8708
22.659566 51.007 -72.2969
22.823766 51.193 -72.3838
22.989157 51.444 -72.3839
23.155745 51.758 -72.3202
23.323542 52.119 -72.5131
23.492554 52.513 -72.9116
23.662790 52.908 -73.6198
23.834261 53.291 -74.5530
24.006973 53.642 -75.5445
24.180938 53.965 -76.5412
24.356163 54.269 -77.2553
24.532658 54.577 -77.7150
24.710431 54.927 -77.7511
24.889493 55.349 -77.5756
25.069853 55.877 -77.2998
25.251519 56.507 -77.3471
25.434502 57.232 -77.8904
25.618811 58.004 -79.2835
25.804456 58.790 -81.4931
25.991445 59.537 -84.5708
26.179790 60.220 -88.3760
26.369500 60.809 -92.7322
26.560584 61.292 -97.5017
26.753053 61.658 -102.4691
26.946917 61.907 -107.4153
27.142185 62.040 -112.2582
27.338869 62.072 -116.6239
27.536977 62.019 -120.5153
27.736522 61.920 -123.5812
27.937512 61.815 -125.8896
28.139959 61.758 -127.3048
28.343872 61.802 -128.2130
28.549264 61.973 -128.7432
28.756143 62.272 -129.5538
28.964522 62.666 -130.8352
29.174411 63.109 -132.8600
29.385821 63.543 -135.6459
29.598763 63.936 -139.0910
29.813248 64.251 -143.0760
30.029287 64.476 -147.3316
30.246891 64.599 -151.8040
30.466073 64.620 -156.1833
30.686842 64.541 -160.3358
30.909212 64.370 -164.1337
31.133193 64.123 -167.2812
31.358797 63.827 -169.6713
31.586035 63.516 -171.1047
31.814921 63.252 -171.5033
32.045465 63.101 -171.0326
32.277680 63.114 -169.9282
32.511577 63.322 -168.8635
32.747169 63.691 -168.4167
32.984469 64.166 -168.8851
33.223488 64.668 -170.4779
33.464239 65.128 -173.0138
33.706735 65.507 -176.2208
33.950987 65.782 -179.8667
34.197010 65.952 176.4662
34.444816 66.036 173.0355
34.694417 66.068 169.9956
34.945827 66.092 167.4866
35.199059 66.160 165.3726
35.454126 66.298 163.3470
35.711041 66.506 161.1076
35.969818 66.759 158.3226
36.230470 67.002 154.8762
36.493011 67.187 150.7947
36.757455 67.278 146.2749
37.023814 67.251 141.5329
37.292104 67.101 136.8888
37.562338 66.840 132.6716
37.834530 66.499 129.0768
38.108695 66.117 126.2349
38.384846 65.742 124.1703
38.662999 65.416 122.7250
38.943167 65.161 121.5732
39.225365 64.970 120.4334
39.509608 64.815 119.1334
39.795911 64.667 117.6274
40.084289 64.498 115.9896
40.374756 64.292 114.3784
40.667328 64.048 112.9908
40.962020 63.779 112.0076
41.258848 63.509 111.5605
41.557827 63.275 111.7021
41.858972 63.116 112.3574
42.162299 63.068 113.2953
42.467824 63.142 114.1630
42.775564 63.324 114.5963
43.085533 63.574 114.3490
43.397749 63.844 113.3573
43.712227 64.096 111.7134
44.028983 64.306 109.5840
44.348036 64.465 107.1316
44.669400 64.575 104.4723
44.993093 64.638 101.6688
45.319131 64.653 98.7522
45.647532 64.617 95.7560
45.978313 64.524 92.7446
46.311491 64.372 89.8200
46.647083 64.165 87.1033
46.985107 63.917 84.6985
47.325581 63.645 82.6549
47.668521 63.369 80.9490
48.013947 63.101 79.5007
48.361876 62.844 78.2194
48.712326 62.597 77.0493
49.065315 62.356 75.9815
49.420863 62.120 75.0263
49.778987 61.895 74.1694
50.139706 61.682 73.3521
50.503039 61.478 72.4981
50.869005 61.269 71.5679
51.237623 61.042 70.5996
51.608912 60.789 69.6969
51.982891 60.516 68.9626
52.359580 60.234 68.4232
52.739000 59.950 68.0083
53.121168 59.657 67.6271
53.506106 59.333 67.2922
53.893833 58.963 67.1867
54.284370 58.551 67.6208
54.677737 58.132 68.8727
55.073955 57.763 70.9721
55.473043 57.489 73.6067
55.875024 57.314 76.3093
56.279917 57.197 78.8089
56.687745 57.091 81.2358
57.098527 56.979 84.1065
57.512287 56.917 88.0754
57.929045 57.028 93.4682
58.348822 57.447 99.7770
58.771642 58.218 105.6967
59.197525 59.265 110.0795
59.626495 60.476 112.6068
60.058573 61.780 113.4010
60.493782 63.131 112.4183
60.932145 64.466 109.4075
61.373685 65.698 104.2994
61.818424 66.739 97.3339
62.266386 67.525 89.0932
62.717593 68.034 80.2552
63.172071 68.288 71.5382
63.629842 68.348 63.5571
64.090930 68.303 56.5785
64.555359 68.247 50.4985
65.023154 68.242 44.8455
65.494339 68.293 39.0944
65.968938 68.367 32.8993
66.446976 68.426 26.1920
66.928478 68.449 19.0470
67.413469 68.427 11.5370
67.901975 68.360 3.6709
68.394021 68.249 -4.5569
68.889632 68.093 -13.1567
69.388835 67.899 -22.0822
69.891655 67.687 -31.3370
70.398118 67.492 -41.0420
70.908252 67.337 -51.5135
71.422083 67.219 -63.1622
71.939636 67.101 -76.2632
72.460941 66.928 -90.7465
72.986023 66.671 -106.3178
73.514909 66.334 -122.4504
74.047629 65.955 -138.6853
74.584208 65.585 -154.6062
75.124676 65.273 -169.8419
75.669061 65.071 175.9072
76.217390 65.035 162.7924
76.769692 65.211 150.5073
77.325997 65.573 138.3796
77.886333 66.008 125.7988
78.450730 66.386 112.7569
79.019216 66.626 99.6822
79.591822 66.727 87.1891
80.168577 66.735 75.5969
80.749512 66.713 64.9143
81.334656 66.706 54.9362
81.924040 66.741 45.3852
82.517696 66.826 35.9656
83.115653 66.944 26.3985
83.717943 67.062 16.5639
84.324598 67.153 6.5831
84.935649 67.214 -3.3677
85.551128 67.259 -13.2592
86.171066 67.282 -23.1971
86.795497 67.261 -33.2247
87.424453 67.174 -43.2082
88.057967 67.015 -53.0010
88.696071 66.779 -62.6737
89.338800 66.419 -72.4523
89.986185 65.831 -82.2474
90.638262 64.899 -90.9769
91.295065 63.643 -95.7035
91.956626 62.624 -90.8148
92.622982 63.094 -75.2679
93.294166 65.124 -65.9260
93.970214 67.424 -69.3342
94.651161 69.297 -79.9956
95.337042 70.599 -93.8616
96.027894 71.354 -108.6584
96.723752 71.640 -122.9792
97.424652 71.559 -136.0101
98.130631 71.199 -147.3818
98.841726 70.637 -156.8621
99.557974 69.957 -164.1550
100.279412 69.273 -169.1812
101.006078 68.703 -172.4017
101.738010 68.318 -174.5098
102.475245 68.145 -176.1522
103.217823 68.153 -178.1907
103.965782 68.238 178.7286
104.719161 68.283 174.8857
105.477999 68.251 171.0691
106.242336 68.177 167.8278
107.012212 68.133 165.2424
107.787666 68.169 162.8219
108.568740 68.253 159.6489
109.355474 68.272 155.3729
110.147909 68.127 150.7329
110.946086 67.820 146.7932
111.750047 67.415 143.8545
112.559834 66.934 141.3910
113.375489 66.330 139.5361
114.197055 65.622 139.9443
115.024574 65.033 144.0623
115.858089 64.868 150.7253
116.697645 65.234 157.1229
117.543284 65.979 161.3488
118.395051 66.887 163.1252
119.252990 67.831 163.2366
120.117147 68.789 162.3341
120.987565 69.767 160.4199
121.864291 70.751 157.2847
122.747370 71.719 152.8406
123.636848 72.640 146.9078
124.532771 73.463 139.1758
125.435187 74.103 129.4175
126.344142 74.459 117.6490
127.259684 74.426 104.3423
128.181860 73.937 90.4773
129.110718 72.995 76.9814
130.046308 71.625 64.0016
130.988677 69.805 51.3033
131.937875 67.489 38.6278
132.893951 64.757 23.5715
133.856956 62.430 -7.7551
134.826938 62.797 -93.6851
135.803950 65.480 -137.0693
136.788041 68.122 -159.1926
137.779264 70.026 -177.6281
138.777669 71.216 166.0864
139.783309 71.856 152.0867
140.796237 72.076 140.0048
141.816504 71.933 129.5922
142.844165 71.473 121.3838
143.879273 70.804 116.1066
144.921881 70.103 114.3077
145.972045 69.628 115.9020
147.029819 69.605 119.0996
148.095257 70.050 121.4027
149.168417 70.773 121.2169
150.249353 71.546 118.1934
151.338121 72.210 112.9528
152.434780 72.704 106.3101
153.539385 73.017 98.6239
154.651995 73.133 89.9076
155.772667 73.022 80.1713
156.901460 72.656 69.5482
158.038432 72.025 58.1362
159.183644 71.140 45.4701
160.337154 70.019 30.3004
161.499023 68.737 10.0983
162.669312 67.577 -20.3868
163.848081 67.139 -67.2145
165.035392 67.742 -116.4543
166.231306 68.835 -150.6315
167.435887 69.839 -173.2479
168.649196 70.670 171.7794
169.871298 71.437 161.4200
171.102255 72.134 152.4340
172.342133 72.625 143.2659
173.590995 72.791 134.1287
174.848907 72.574 125.9219
176.115934 72.055 121.0642
177.392143 71.649 122.9442
