* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.3 dBFS, measurement signal peak level -25.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:25:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0115 ms (-3.9 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: couch-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 21.738 -112.4879
10.166832 22.006 -125.2344
10.240505 22.329 -138.5376
10.314712 22.665 -151.3991
10.389457 23.018 -163.0344
10.464743 23.438 -173.3403
10.540575 23.968 176.5973
10.616956 24.550 167.0224
10.693891 25.129 158.3011
10.771383 25.662 150.5766
10.849437 26.146 143.1697
10.928057 26.595 135.7920
11.007246 27.008 128.7572
11.087009 27.378 122.2935
11.167350 27.700 116.1967
11.248273 27.975 109.9511
11.329783 28.208 103.7983
11.411883 28.400 97.9931
11.494578 28.553 92.5477
11.577873 28.662 86.9591
11.661771 28.732 81.3740
11.746277 28.765 76.0343
11.831395 28.763 71.0298
11.917130 28.723 65.9464
12.003487 28.647 60.8734
12.090469 28.539 56.0227
12.178081 28.399 51.4859
12.266329 28.226 46.9684
12.355216 28.024 42.5334
12.444747 27.796 38.3540
12.534926 27.543 34.4896
12.625760 27.265 30.7911
12.717251 26.969 27.2894
12.809406 26.665 24.0965
12.902228 26.347 21.2940
12.995723 26.023 18.8235
13.089895 25.711 16.6458
13.184750 25.421 14.8192
13.280292 25.147 13.4941
13.376526 24.908 12.5415
13.473458 24.725 11.7999
13.571093 24.601 11.4211
13.669434 24.537 11.3840
13.768489 24.541 11.4442
13.868261 24.620 11.4868
13.968756 24.774 11.6522
14.069979 24.989 11.7480
14.171936 25.254 11.6052
14.274632 25.575 11.3423
14.378072 25.937 10.9036
14.482261 26.323 10.1842
14.587206 26.732 9.2452
14.692910 27.160 8.1178
14.799381 27.593 6.7517
14.906624 28.027 5.1606
15.014643 28.461 3.4046
15.123446 28.887 1.4747
15.233036 29.300 -0.6426
15.343421 29.700 -2.9052
15.454606 30.080 -5.2710
15.566596 30.437 -7.7603
15.679398 30.771 -10.3739
15.793018 31.076 -13.0130
15.907460 31.350 -15.6930
16.022732 31.592 -18.4548
16.138840 31.800 -21.1472
16.255788 31.972 -23.7867
16.373585 32.107 -26.4229
16.492234 32.207 -28.8672
16.611744 32.271 -31.1534
16.732119 32.302 -33.2933
16.853367 32.308 -35.1064
16.975494 32.288 -36.6201
17.098505 32.257 -37.8231
17.222408 32.232 -38.6095
17.347209 32.216 -38.9655
17.472914 32.235 -38.9919
17.599530 32.309 -38.6876
17.727063 32.442 -38.0757
17.855521 32.647 -37.4910
17.984909 32.931 -36.8880
18.115235 33.278 -36.4506
18.246506 33.669 -36.4463
18.378727 34.101 -36.7452
18.511907 34.537 -37.4622
18.646052 34.964 -38.6382
18.781169 35.368 -40.1266
18.917265 35.726 -41.8673
19.054347 36.037 -43.8958
19.192423 36.290 -45.9126
19.331499 36.480 -47.9803
19.471583 36.611 -49.9484
19.612682 36.686 -51.5510
19.754804 36.712 -52.8965
19.897956 36.718 -53.6829
20.042144 36.713 -53.8777
20.187378 36.743 -53.5352
20.333664 36.844 -52.5570
20.481010 37.034 -51.2007
20.629424 37.350 -49.8169
20.778913 37.780 -48.4565
20.929486 38.294 -47.7140
21.081150 38.877 -47.4712
21.233912 39.472 -47.9438
21.387782 40.055 -49.0924
21.542767 40.597 -50.7122
21.698874 41.074 -52.8202
21.856113 41.483 -55.1577
22.014492 41.815 -57.6125
22.174018 42.073 -60.1058
22.334700 42.266 -62.3839
22.496546 42.403 -64.5059
22.659566 42.504 -66.2379
22.823766 42.582 -67.6566
22.989157 42.664 -68.7162
23.155745 42.759 -69.4561
23.323542 42.881 -70.0320
23.492554 43.030 -70.4469
23.662790 43.197 -70.8675
23.834261 43.376 -71.2610
24.006973 43.549 -71.6006
24.180938 43.717 -71.8355
24.356163 43.883 -71.7498
24.532658 44.070 -71.3408
24.710431 44.316 -70.4366
24.889493 44.656 -69.2516
25.069853 45.132 -67.9195
25.251519 45.744 -66.9583
25.434502 46.481 -66.5967
25.618811 47.286 -67.2734
25.804456 48.116 -68.9409
25.991445 48.908 -71.6522
26.179790 49.631 -75.2174
26.369500 50.252 -79.4259
26.560584 50.758 -84.1031
26.753053 51.137 -88.9983
26.946917 51.391 -93.8596
27.142185 51.522 -98.5784
27.338869 51.550 -102.7428
27.536977 51.496 -106.3338
27.736522 51.409 -108.9870
27.937512 51.339 -110.7990
28.139959 51.352 -111.6891
28.343872 51.496 -112.2001
28.549264 51.792 -112.5366
28.756143 52.212 -113.4556
28.964522 52.706 -115.0686
29.174411 53.214 -117.5992
29.385821 53.674 -120.9039
29.598763 54.055 -124.8455
29.813248 54.328 -129.2069
30.029287 54.485 -133.6725
30.246891 54.523 -138.1727
30.466073 54.449 -142.3296
30.686842 54.279 -146.0344
30.909212 54.032 -149.1174
31.133193 53.743 -151.3799
31.358797 53.449 -152.8177
31.586035 53.192 -153.3705
31.814921 53.019 -153.2479
32.045465 52.956 -152.7011
32.277680 53.018 -152.0001
32.511577 53.193 -151.5558
32.747169 53.449 -151.5837
32.984469 53.752 -152.1837
33.223488 54.063 -153.4030
33.464239 54.348 -155.1203
33.706735 54.590 -157.1924
33.950987 54.779 -159.4778
34.197010 54.916 -161.7475
34.444816 55.017 -163.8729
34.694417 55.104 -165.7888
34.945827 55.203 -167.4665
35.199059 55.338 -169.0461
35.454126 55.516 -170.7222
35.711041 55.727 -172.6613
35.969818 55.948 -175.0209
36.230470 56.143 -177.8553
36.493011 56.282 178.9377
36.757455 56.342 175.4988
37.023814 56.309 172.0029
37.292104 56.178 168.6918
37.562338 55.960 165.8135
37.834530 55.675 163.5392
38.108695 55.352 162.0084
38.384846 55.026 161.3022
38.662999 54.735 161.3936
38.943167 54.513 162.1151
39.225365 54.376 163.2414
39.509608 54.325 164.5465
39.795911 54.342 165.8655
40.084289 54.407 167.1478
40.374756 54.500 168.4767
40.667328 54.622 170.0544
40.962020 54.800 172.1062
41.258848 55.090 174.7271
41.557827 55.552 177.7501
41.858972 56.228 -179.3015
42.162299 57.113 -177.0781
42.467824 58.153 -176.1417
42.775564 59.270 -176.7838
43.085533 60.389 -179.0275
43.397749 61.451 177.2697
43.712227 62.416 172.3210
44.028983 63.256 166.3640
44.348036 63.953 159.6349
44.669400 64.494 152.3661
44.993093 64.872 144.7917
45.319131 65.085 137.1513
45.647532 65.139 129.6941
45.978313 65.048 122.6746
46.311491 64.838 116.3342
46.647083 64.549 110.8635
46.985107 64.233 106.3402
47.325581 63.943 102.6683
47.668521 63.717 99.5731
48.013947 63.565 96.7028
48.361876 63.466 93.7990
48.712326 63.386 90.8182
49.065315 63.308 87.9197
49.420863 63.243 85.3301
49.778987 63.235 83.1468
50.139706 63.333 81.1917
50.503039 63.559 79.0544
50.869005 63.894 76.3276
51.237623 64.296 72.8363
51.608912 64.739 68.6360
51.982891 65.227 63.7951
52.359580 65.781 58.1603
52.739000 66.397 51.3179
53.121168 67.026 42.8087
53.506106 67.580 32.3999
53.893833 67.968 20.1531
54.284370 68.111 6.3526
54.677737 67.954 -8.5640
55.073955 67.463 -24.0772
55.473043 66.623 -39.6093
55.875024 65.443 -54.5399
56.279917 63.963 -68.2642
56.687745 62.277 -80.2252
57.098527 60.549 -90.3538
57.512287 58.973 -99.4902
57.929045 57.673 -109.0488
58.348822 56.635 -120.0231
58.771642 55.786 -132.5006
59.197525 55.127 -145.8894
59.626495 54.767 -159.6210
60.058573 54.822 -173.5618
60.493782 55.280 171.9968
60.932145 55.982 156.8438
61.373685 56.741 141.1067
61.818424 57.413 125.1562
62.266386 57.920 109.4713
62.717593 58.234 94.3948
63.172071 58.366 80.3213
63.629842 58.367 67.6283
64.090930 58.319 56.4370
64.555359 58.322 46.6001
65.023154 58.448 37.6088
65.494339 58.708 28.8680
65.968938 59.068 19.9713
66.446976 59.486 10.8602
66.928478 59.945 1.6238
67.413469 60.441 -7.7079
67.901975 60.964 -17.1954
68.394021 61.487 -26.8682
68.889632 61.987 -36.6249
69.388835 62.459 -46.2164
69.891655 62.927 -55.4567
70.398118 63.432 -64.3379
70.908252 63.998 -73.1167
71.422083 64.605 -82.1895
71.939636 65.200 -91.7819
72.460941 65.723 -101.8226
72.986023 66.139 -112.0094
73.514909 66.448 -121.9382
74.047629 66.680 -131.3595
74.584208 66.877 -140.2344
75.124676 67.066 -148.7540
75.669061 67.249 -157.2224
76.217390 67.401 -165.9607
76.769692 67.470 -175.1865
77.325997 67.390 175.0426
77.886333 67.092 164.9564
78.450730 66.517 154.9374
79.019216 65.618 145.4606
79.591822 64.339 137.1803
80.168577 62.616 131.4226
80.749512 60.514 132.0957
81.334656 58.837 149.9116
81.924040 59.382 -176.2877
82.517696 61.754 -161.0028
83.115653 64.285 -160.3925
83.717943 66.427 -165.6971
84.324598 68.122 -173.8586
84.935649 69.399 176.6406
85.551128 70.324 166.8868
86.171066 70.994 157.5593
86.795497 71.500 148.8159
87.424453 71.898 140.4617
88.057967 72.210 132.3442
88.696071 72.456 124.4817
89.338800 72.671 116.8843
89.986185 72.891 109.4198
90.638262 73.145 101.7732
91.295065 73.427 93.3428
91.956626 73.659 83.3563
92.622982 73.682 71.4979
93.294166 73.324 58.4457
93.970214 72.484 45.8156
94.651161 71.195 35.6924
95.337042 69.663 29.6278
96.027894 68.200 27.1005
96.723752 67.022 25.7747
97.424652 66.123 24.0463
98.130631 65.387 21.4723
98.841726 64.678 17.9873
99.557974 63.887 14.1045
100.279412 62.982 10.6132
101.006078 61.993 7.8219
101.738010 60.950 5.7063
102.475245 59.883 4.4077
103.217823 58.846 3.7423
103.965782 57.852 2.7870
104.719161 56.823 0.9341
105.477999 55.653 -1.3590
106.242336 54.296 -3.3143
107.012212 52.779 -4.8386
107.787666 51.149 -7.1581
108.568740 49.425 -13.3616
109.355474 47.723 -29.1339
110.147909 46.902 -72.0876
110.946086 48.202 -142.7883
111.750047 50.726 -175.3193
112.559834 53.173 168.3604
113.375489 55.192 156.8541
114.197055 56.753 146.9124
115.024574 57.884 137.8127
115.858089 58.663 129.8613
116.697645 59.181 123.1692
117.543284 59.491 117.4314
118.395051 59.597 112.5641
119.252990 59.518 109.1823
120.117147 59.357 108.2753
120.987565 59.327 110.4164
121.864291 59.676 114.9744
122.747370 60.514 119.7360
123.636848 61.684 121.9943
124.532771 62.897 120.7142
125.435187 63.928 116.5569
126.344142 64.694 111.2549
127.259684 65.301 106.8622
128.181860 65.964 103.8835
129.110718 66.763 100.4304
130.046308 67.562 94.7864
130.988677 68.173 87.0859
131.937875 68.505 78.5146
132.893951 68.580 70.3306
133.856956 68.504 63.1483
134.826938 68.398 56.8384
135.803950 68.337 50.4047
136.788041 68.244 42.0814
137.779264 67.883 31.2510
138.777669 67.026 19.1852
139.783309 65.547 7.6542
140.796237 63.380 -1.5779
141.816504 60.569 -4.2933
142.844165 57.943 23.7156
143.879273 57.792 82.0957
144.921881 59.615 89.1046
145.972045 61.297 84.6847
147.029819 62.382 78.9363
148.095257 62.993 74.3047
149.168417 63.398 72.3191
150.249353 63.995 73.9946
151.338121 65.126 77.6373
152.434780 66.694 78.2754
153.539385 68.266 73.0233
154.651995 69.495 62.9237
155.772667 70.218 50.0018
156.901460 70.391 36.0735
158.038432 70.034 22.4817
159.183644 69.176 10.1233
160.337154 67.847 0.0990
161.499023 66.114 -6.4541
162.669312 64.101 -8.4149
163.848081 62.189 -0.6442
165.035392 61.402 19.4661
166.231306 62.048 29.6886
167.435887 62.933 26.9285
168.649196 63.335 20.0619
169.871298 63.163 13.1819
171.102255 62.538 8.5084
172.342133 61.708 7.6561
173.590995 60.950 8.9415
174.848907 60.225 7.5032
176.115934 59.337 5.3564
177.392143 59.100 22.4470
178.677599 60.806 62.2386
