* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.2 dBFS, measurement signal peak level -24.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:25:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0535 ms (18 mm, 0.72 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: couch-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 24.329 -4.3197
10.166832 24.348 -7.3947
10.240505 24.372 -10.4645
10.314712 24.396 -13.4594
10.389457 24.414 -16.2991
10.464743 24.404 -18.9243
10.540575 24.351 -21.4814
10.616956 24.265 -23.9645
10.693891 24.148 -26.3111
10.771383 23.997 -28.4407
10.849437 23.812 -30.3966
10.928057 23.593 -32.2295
11.007246 23.336 -33.8796
11.087009 23.034 -35.2628
11.167350 22.685 -36.3351
11.248273 22.288 -37.1352
11.329783 21.847 -37.5663
11.411883 21.359 -37.4884
11.494578 20.808 -36.7502
11.577873 20.177 -35.2563
11.661771 19.536 -32.7928
11.746277 18.977 -29.1165
11.831395 18.546 -23.9958
11.917130 18.208 -17.2336
12.003487 18.032 -9.1653
12.090469 18.133 -0.6913
12.178081 18.609 7.2873
12.266329 19.423 14.3978
12.355216 20.412 19.9028
12.444747 21.421 23.5420
12.534926 22.419 25.7221
12.625760 23.439 26.9117
12.717251 24.431 27.1619
12.809406 25.340 26.5439
12.902228 26.166 25.3023
12.995723 26.924 23.6334
13.089895 27.617 21.6154
13.184750 28.245 19.2390
13.280292 28.806 16.5187
13.376526 29.303 13.6278
13.473458 29.743 10.6654
13.571093 30.124 7.4547
13.669434 30.445 4.0681
13.768489 30.711 0.7079
13.868261 30.921 -2.6321
13.968756 31.075 -6.1636
14.069979 31.173 -9.6612
14.171936 31.219 -12.9377
14.274632 31.208 -16.2584
14.378072 31.145 -19.5221
14.482261 31.033 -22.4669
14.587206 30.869 -25.1710
14.692910 30.660 -27.6840
14.799381 30.422 -29.8020
14.906624 30.153 -31.3818
15.014643 29.865 -32.4898
15.123446 29.600 -33.1173
15.233036 29.379 -33.1194
15.343421 29.204 -32.4568
15.454606 29.123 -31.4979
15.566596 29.172 -30.3843
15.679398 29.341 -29.0307
15.793018 29.608 -28.0210
15.907460 29.969 -27.5972
16.022732 30.412 -27.5584
16.138840 30.880 -28.1418
16.255788 31.343 -29.4330
16.373585 31.800 -31.2140
16.492234 32.216 -33.3471
16.611744 32.578 -35.9398
16.732119 32.885 -38.8214
16.853367 33.124 -41.6722
16.975494 33.291 -44.7230
17.098505 33.386 -47.7456
17.222408 33.408 -50.3899
17.347209 33.355 -52.9129
17.472914 33.243 -54.9962
17.599530 33.078 -56.3577
17.727063 32.876 -57.1135
17.855521 32.694 -57.0605
17.984909 32.546 -55.9817
18.115235 32.485 -54.1290
18.246506 32.586 -51.8258
18.378727 32.848 -49.0502
18.511907 33.253 -46.6680
18.646052 33.799 -44.8690
18.781169 34.431 -43.7218
18.917265 35.070 -43.5458
19.054347 35.705 -44.1037
19.192423 36.291 -45.1950
19.331499 36.804 -46.8516
19.471583 37.244 -48.7746
19.612682 37.599 -50.7328
19.754804 37.876 -52.8137
19.897956 38.086 -54.5980
20.042144 38.233 -56.1673
20.187378 38.346 -57.3790
20.333664 38.445 -58.0805
20.481010 38.552 -58.4046
20.629424 38.703 -58.3738
20.778913 38.905 -58.0363
20.929486 39.170 -57.7702
21.081150 39.497 -57.5290
21.233912 39.857 -57.6161
21.387782 40.239 -58.0642
21.542767 40.612 -58.8067
21.698874 40.954 -59.9007
21.856113 41.257 -61.1342
22.014492 41.508 -62.3984
22.174018 41.717 -63.6153
22.334700 41.896 -64.5351
22.496546 42.061 -65.2171
22.659566 42.247 -65.5321
22.823766 42.468 -65.5708
22.989157 42.754 -65.5336
23.155745 43.104 -65.4654
23.323542 43.507 -65.7396
23.492554 43.948 -66.3000
23.662790 44.388 -67.3293
23.834261 44.810 -68.7110
24.006973 45.183 -70.3042
24.180938 45.504 -72.0231
24.356163 45.773 -73.5197
24.532658 46.007 -74.7773
24.710431 46.241 -75.4674
24.889493 46.516 -75.7310
25.069853 46.884 -75.5190
25.251519 47.368 -75.2953
25.434502 47.984 -75.2517
25.618811 48.692 -75.9597
25.804456 49.458 -77.4527
25.991445 50.214 -79.9491
26.179790 50.926 -83.2799
26.369500 51.547 -87.3153
26.560584 52.060 -91.8589
26.753053 52.448 -96.6865
26.946917 52.708 -101.5240
27.142185 52.840 -106.2746
27.338869 52.859 -110.5006
27.536977 52.782 -114.1903
27.736522 52.656 -116.9339
27.937512 52.529 -118.8029
28.139959 52.467 -119.6565
28.343872 52.530 -119.9886
28.549264 52.746 -119.9927
28.756143 53.101 -120.4579
28.964522 53.549 -121.5613
29.174411 54.031 -123.5697
29.385821 54.484 -126.3965
29.598763 54.873 -129.9066
29.813248 55.168 -133.9058
30.029287 55.362 -138.1060
30.246891 55.451 -142.4402
30.466073 55.440 -146.5972
30.686842 55.338 -150.4831
30.909212 55.155 -153.9813
31.133193 54.908 -156.8852
31.358797 54.618 -159.1134
31.586035 54.309 -160.5150
31.814921 54.025 -160.9794
32.045465 53.820 -160.5376
32.277680 53.747 -159.2817
32.511577 53.862 -157.6652
32.747169 54.169 -156.2869
32.984469 54.636 -155.5799
33.223488 55.196 -155.9427
33.464239 55.771 -157.4159
33.706735 56.308 -159.7874
33.950987 56.768 -162.8625
34.197010 57.137 -166.2758
34.444816 57.424 -169.7494
34.694417 57.647 -173.1220
34.945827 57.838 -176.2390
35.199059 58.035 -179.1203
35.454126 58.260 178.0553
35.711041 58.519 175.1068
35.969818 58.800 171.8170
36.230470 59.071 168.0220
36.493011 59.295 163.7611
36.757455 59.446 159.1425
37.023814 59.502 154.3182
37.292104 59.456 149.5359
37.562338 59.319 145.0724
37.834530 59.116 141.0964
38.108695 58.882 137.7188
38.384846 58.660 134.9630
38.662999 58.490 132.7014
38.943167 58.396 130.6432
39.225365 58.376 128.5094
39.509608 58.411 126.1048
39.795911 58.475 123.3412
40.084289 58.544 120.2349
40.374756 58.608 116.8754
40.667328 58.667 113.3707
40.962020 58.740 109.7676
41.258848 58.845 106.0114
41.557827 59.001 101.9446
41.858972 59.212 97.3361
42.162299 59.468 91.9341
42.467824 59.742 85.5265
42.775564 59.998 77.9807
43.085533 60.199 69.2542
43.397749 60.313 59.3812
43.712227 60.317 48.4544
44.028983 60.197 36.5928
44.348036 59.949 23.9219
44.669400 59.574 10.5760
44.993093 59.085 -3.2886
45.319131 58.496 -17.4756
45.647532 57.830 -31.7203
45.978313 57.114 -45.6690
46.311491 56.382 -58.8771
46.647083 55.685 -70.8519
46.985107 55.091 -81.1647
47.325581 54.689 -89.6404
47.668521 54.550 -96.5372
48.013947 54.682 -102.5006
48.361876 55.006 -108.1851
48.712326 55.402 -113.8293
49.065315 55.780 -119.1449
49.420863 56.128 -123.5209
49.778987 56.525 -126.4149
50.139706 57.105 -127.8491
50.503039 57.952 -128.6545
50.869005 59.032 -129.9834
51.237623 60.235 -132.4610
51.608912 61.478 -135.9956
51.982891 62.747 -140.2766
52.359580 64.066 -145.2963
52.739000 65.432 -151.4697
53.121168 66.782 -159.3164
53.506106 68.017 -169.0635
53.893833 69.041 179.4473
54.284370 69.779 166.6174
54.677737 70.186 152.9893
55.073955 70.239 139.1703
55.473043 69.935 125.8077
55.875024 69.295 113.5688
56.279917 68.373 103.0703
56.687745 67.262 94.8558
57.098527 66.091 89.0617
57.512287 64.982 85.2166
57.929045 63.985 82.5837
58.348822 63.083 80.7849
58.771642 62.260 79.9529
59.197525 61.558 80.3106
59.626495 61.053 81.5969
60.058573 60.785 83.1354
60.493782 60.735 84.3419
60.932145 60.872 84.9238
61.373685 61.163 84.5592
61.818424 61.548 82.7951
62.266386 61.927 79.4300
62.717593 62.207 74.7333
63.172071 62.340 69.2891
63.629842 62.333 63.7098
64.090930 62.230 58.3503
64.555359 62.089 53.2964
65.023154 61.959 48.3764
65.494339 61.865 43.2968
65.968938 61.806 37.7247
66.446976 61.759 31.4166
66.928478 61.688 24.2794
67.413469 61.559 16.3897
67.901975 61.360 7.9113
68.394021 61.102 -0.9860
68.889632 60.811 -10.2814
69.388835 60.519 -20.0487
69.891655 60.252 -30.4385
70.398118 60.032 -41.6153
70.908252 59.872 -53.7844
71.422083 59.754 -67.1407
71.939636 59.626 -81.7737
72.460941 59.396 -97.4150
72.986023 58.967 -113.5692
73.514909 58.248 -129.3827
74.047629 57.157 -143.9539
74.584208 55.620 -155.9755
75.124676 53.649 -162.3979
75.669061 51.933 -152.8716
76.217390 52.528 -116.2292
76.769692 55.202 -99.4806
77.325997 57.933 -102.1808
77.886333 60.162 -109.9943
78.450730 62.007 -118.5847
79.019216 63.636 -127.1594
79.591822 65.100 -136.2998
80.168577 66.353 -146.3809
80.749512 67.352 -157.1025
81.334656 68.109 -167.8647
81.924040 68.667 -178.3953
82.517696 69.038 171.1477
83.115653 69.177 160.6667
83.717943 69.023 150.6289
84.324598 68.570 142.1185
84.935649 67.915 136.3577
85.551128 67.269 134.1531
86.171066 66.914 135.2184
86.795497 67.066 137.8608
87.424453 67.728 139.7559
88.057967 68.718 139.4636
88.696071 69.847 136.8257
89.338800 71.003 132.0955
89.986185 72.113 125.3354
90.638262 73.103 116.4865
91.295065 73.886 105.5764
91.956626 74.369 92.8130
92.622982 74.456 78.6887
93.294166 74.068 64.1055
93.970214 73.163 50.4242
94.651161 71.785 39.3260
95.337042 70.086 32.2554
96.027894 68.317 29.3544
96.723752 66.706 29.2468
97.424652 65.356 30.6902
98.130631 64.290 33.2766
98.841726 63.520 36.6144
99.557974 63.053 40.2865
100.279412 62.898 43.8472
101.006078 63.037 46.4646
101.738010 63.376 47.1473
102.475245 63.749 45.1681
103.217823 63.958 40.5759
103.965782 63.847 34.5411
104.719161 63.379 28.8951
105.477999 62.658 25.2021
106.242336 61.883 23.8940
107.012212 61.246 24.0669
107.787666 60.815 23.9565
108.568740 60.472 21.9204
109.355474 59.982 17.8926
110.147909 59.164 13.4630
110.946086 57.990 10.5728
111.750047 56.538 10.0273
112.559834 54.866 11.5502
113.375489 53.027 17.4326
114.197055 51.588 36.6024
115.024574 51.799 66.9113
115.858089 53.463 82.9136
116.697645 55.307 86.5017
117.543284 56.791 84.8070
118.395051 57.838 80.7848
119.252990 58.469 75.7029
120.117147 58.697 70.1758
120.987565 58.516 64.9049
121.864291 57.937 61.1027
122.747370 57.049 60.3529
123.636848 56.074 64.1779
124.532771 55.408 73.4875
125.435187 55.507 86.4674
126.344142 56.431 97.6669
127.259684 57.795 104.2423
128.181860 59.267 107.1257
129.110718 60.738 107.9175
130.046308 62.183 106.9392
130.988677 63.484 102.9843
131.937875 64.457 96.0603
132.893951 64.999 87.8159
133.856956 65.117 79.8759
134.826938 64.877 73.4773
135.803950 64.402 69.6454
136.788041 63.887 69.1521
137.779264 63.617 72.2950
138.777669 63.845 77.1268
139.783309 64.515 80.0437
140.796237 65.338 79.7605
141.816504 66.065 76.8374
142.844165 66.541 72.1514
143.879273 66.707 67.2572
144.921881 66.638 63.9624
145.972045 66.527 63.2029
147.029819 66.621 64.9221
148.095257 67.147 68.2664
149.168417 68.163 71.0010
150.249353 69.447 70.2524
151.338121 70.671 65.2244
152.434780 71.618 57.1908
153.539385 72.210 47.6982
154.651995 72.464 38.1348
155.772667 72.476 29.5631
156.901460 72.380 22.1494
158.038432 72.266 15.1801
159.183644 72.139 7.8770
160.337154 71.946 -0.2091
161.499023 71.593 -9.3522
162.669312 70.955 -19.4506
163.848081 69.905 -29.4148
165.035392 68.399 -36.8832
166.231306 66.585 -38.9447
167.435887 64.853 -35.2627
168.649196 63.591 -30.0201
169.871298 62.816 -26.4991
171.102255 62.249 -25.1350
172.342133 61.654 -24.3531
173.590995 61.083 -21.5447
174.848907 61.005 -14.1555
176.115934 61.934 -4.8136
