* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.0 dBFS, measurement signal peak level -22.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:26:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -3.7330 ms (-1.280 m, -(4 ft 2.4 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: couch-p1-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 17.094 49.1914
10.166832 17.267 48.3741
10.240505 17.478 47.6327
10.314712 17.695 46.8964
10.389457 17.917 46.0986
10.464743 18.151 45.1970
10.540575 18.405 44.2778
10.616956 18.669 43.3163
10.693891 18.938 42.2616
10.771383 19.207 41.0645
10.849437 19.476 39.7521
10.928057 19.747 38.3574
11.007246 20.015 36.8603
11.087009 20.278 35.2367
11.167350 20.532 33.4746
11.248273 20.781 31.6013
11.329783 21.022 29.6247
11.411883 21.253 27.5434
11.494578 21.474 25.3427
11.577873 21.684 23.0147
11.661771 21.883 20.5843
11.746277 22.071 18.0675
11.831395 22.246 15.4519
11.917130 22.409 12.6996
12.003487 22.560 9.8476
12.090469 22.698 6.9271
12.178081 22.823 3.9185
12.266329 22.935 0.7660
12.355216 23.034 -2.4764
12.444747 23.119 -5.7603
12.534926 23.190 -9.1391
12.625760 23.246 -12.6573
12.717251 23.289 -16.2382
12.809406 23.316 -19.8219
12.902228 23.327 -23.5266
12.995723 23.323 -27.3349
13.089895 23.302 -31.1497
13.184750 23.264 -34.9457
13.280292 23.209 -38.8612
13.376526 23.135 -42.8082
13.473458 23.042 -46.6697
13.571093 22.929 -50.5431
13.669434 22.796 -54.4549
13.768489 22.643 -58.2865
13.868261 22.468 -61.9782
13.968756 22.272 -65.6516
14.069979 22.055 -69.2345
14.171936 21.817 -72.6155
14.274632 21.559 -75.8426
14.378072 21.281 -78.9249
14.482261 20.990 -81.8012
14.587206 20.683 -84.4090
14.692910 20.364 -86.7827
14.799381 20.041 -88.9603
14.906624 19.716 -90.8743
15.014643 19.389 -92.4976
15.123446 19.064 -93.9558
15.233036 18.745 -95.2741
15.343421 18.430 -96.3646
15.454606 18.108 -97.3439
15.566596 17.775 -98.3006
15.679398 17.428 -99.1601
15.793018 17.039 -99.8767
15.907460 16.594 -100.4788
16.022732 16.088 -100.9321
16.138840 15.490 -100.8993
16.255788 14.768 -100.1794
16.373585 13.947 -98.5876
16.492234 13.099 -95.3725
16.611744 12.204 -89.7523
16.732119 11.429 -81.2545
16.853367 11.155 -70.3327
16.975494 11.519 -58.0987
17.098505 12.314 -47.5495
17.222408 13.354 -40.6663
17.347209 14.607 -36.6094
17.472914 15.835 -34.9223
17.599530 16.870 -35.1426
17.727063 17.750 -36.5562
17.855521 18.467 -38.5712
17.984909 19.012 -41.3387
18.115235 19.397 -44.4119
18.246506 19.629 -47.3808
18.378727 19.709 -50.6195
18.511907 19.646 -53.5101
18.646052 19.441 -55.9993
18.781169 19.110 -58.1304
18.917265 18.679 -59.3592
19.054347 18.155 -59.6556
19.192423 17.622 -59.0394
19.331499 17.117 -57.1258
19.471583 16.691 -54.2575
19.612682 16.428 -51.1525
19.754804 16.310 -47.7901
19.897956 16.264 -45.0823
20.042144 16.268 -43.2368
20.187378 16.209 -41.8159
20.333664 16.008 -40.8843
20.481010 15.652 -39.8209
20.629424 15.095 -37.3672
20.778913 14.427 -33.2396
20.929486 13.953 -25.7893
21.081150 13.802 -14.7281
21.233912 14.284 -3.2415
21.387782 15.485 6.3169
21.542767 16.939 11.4656
21.698874 18.373 12.7366
21.856113 19.682 11.6364
22.014492 20.735 8.5299
22.174018 21.549 4.4293
22.334700 22.126 -0.2508
22.496546 22.470 -5.4064
22.659566 22.592 -10.2192
22.823766 22.497 -15.0360
22.989157 22.199 -18.8080
23.155745 21.718 -21.7938
23.323542 21.111 -23.0705
23.492554 20.441 -22.4505
23.662790 19.878 -19.8527
23.834261 19.494 -15.1827
24.006973 19.407 -9.9661
24.180938 19.574 -4.5687
24.356163 19.855 0.1713
24.532658 20.209 4.7039
24.710431 20.589 10.0328
24.889493 21.135 16.4190
25.069853 22.030 24.3197
25.251519 23.319 31.6458
25.434502 24.997 37.3295
25.618811 26.814 39.6752
25.804456 28.619 39.5150
25.991445 30.282 36.9438
26.179790 31.756 32.9517
26.369500 33.022 27.8800
26.560584 34.082 22.2403
26.753053 34.943 16.2926
26.946917 35.616 10.4357
27.142185 36.113 4.7007
27.338869 36.462 -0.3830
27.536977 36.684 -4.9056
27.736522 36.826 -8.3870
27.937512 36.938 -10.9520
28.139959 37.080 -12.4178
28.343872 37.312 -13.1908
28.549264 37.665 -13.4266
28.756143 38.140 -13.7972
28.964522 38.703 -14.5146
29.174411 39.311 -15.8333
29.385821 39.916 -17.7745
29.598763 40.490 -20.2363
29.813248 41.013 -23.1114
30.029287 41.481 -26.2608
30.246891 41.893 -29.6370
30.466073 42.249 -33.1764
30.686842 42.546 -36.8656
30.909212 42.775 -40.7203
31.133193 42.921 -44.6786
31.358797 42.966 -48.6299
31.586035 42.894 -52.5163
31.814921 42.690 -55.9753
32.045465 42.356 -58.7084
32.277680 41.910 -60.3451
32.511577 41.416 -60.2765
32.747169 40.999 -58.3012
32.984469 40.792 -54.4929
33.223488 40.930 -49.7686
33.464239 41.398 -45.6906
33.706735 42.084 -43.0782
33.950987 42.845 -42.2090
34.197010 43.560 -42.7503
34.444816 44.190 -44.1243
34.694417 44.726 -45.9347
34.945827 45.187 -47.8320
35.199059 45.613 -49.6188
35.454126 46.034 -51.3483
35.711041 46.469 -53.1285
35.969818 46.921 -55.1307
36.230470 47.374 -57.5556
36.493011 47.800 -60.4483
36.757455 48.174 -63.7680
37.023814 48.474 -67.4304
37.292104 48.687 -71.2818
37.562338 48.809 -75.1165
37.834530 48.847 -78.7773
38.108695 48.814 -82.1287
38.384846 48.727 -85.0535
38.662999 48.611 -87.4743
38.943167 48.493 -89.3926
39.225365 48.394 -90.8822
39.509608 48.332 -92.0562
39.795911 48.312 -93.0462
40.084289 48.331 -93.9714
40.374756 48.383 -94.9072
40.667328 48.459 -95.8716
40.962020 48.559 -96.8506
41.258848 48.685 -97.8494
41.557827 48.845 -98.9277
41.858972 49.041 -100.2049
42.162299 49.262 -101.8335
42.467824 49.489 -103.9492
42.775564 49.688 -106.6200
43.085533 49.824 -109.8172
43.397749 49.866 -113.4155
43.712227 49.789 -117.2105
44.028983 49.579 -120.9498
44.348036 49.233 -124.3530
44.669400 48.760 -127.1229
44.993093 48.183 -128.9623
45.319131 47.545 -129.6139
45.647532 46.904 -128.9365
45.978313 46.327 -127.0036
46.311491 45.872 -124.1430
46.647083 45.563 -120.8185
46.985107 45.387 -117.3961
47.325581 45.323 -114.0046
47.668521 45.363 -110.6335
48.013947 45.513 -107.3661
48.361876 45.774 -104.5050
48.712326 46.109 -102.4183
49.065315 46.454 -101.2334
49.420863 46.747 -100.6818
49.778987 46.972 -100.2097
50.139706 47.169 -99.2668
50.503039 47.426 -97.6588
50.869005 47.818 -95.7578
51.237623 48.359 -94.2911
51.608912 48.998 -93.7941
51.982891 49.671 -94.3370
52.359580 50.347 -95.7513
52.739000 51.022 -97.9986
53.121168 51.682 -101.3040
53.506106 52.275 -105.9659
53.893833 52.719 -112.0735
54.284370 52.920 -119.3921
54.677737 52.802 -127.3668
55.073955 52.311 -135.1800
55.473043 51.436 -141.7655
55.875024 50.224 -145.8026
56.279917 48.826 -145.8404
56.687745 47.540 -141.1372
57.098527 46.715 -133.2863
57.512287 46.472 -125.5579
57.929045 46.649 -119.7705
58.348822 47.046 -115.9186
58.771642 47.546 -113.6492
59.197525 48.083 -112.8576
59.626495 48.607 -113.5125
60.058573 49.079 -115.5716
60.493782 49.460 -119.0799
60.932145 49.700 -124.1433
61.373685 49.724 -130.8006
61.818424 49.449 -138.8789
62.266386 48.793 -147.9689
62.717593 47.688 -157.6894
63.172071 46.082 -167.7626
63.629842 43.943 -178.5289
64.090930 41.317 167.5486
64.555359 38.795 139.3627
65.023154 38.373 76.1118
65.494339 40.611 37.5238
65.968938 43.426 22.4839
66.446976 45.927 13.8848
66.928478 48.052 7.5093
67.413469 49.866 2.0140
67.901975 51.418 -3.1667
68.394021 52.739 -8.2284
68.889632 53.853 -13.0971
69.388835 54.801 -17.5507
69.891655 55.633 -21.4672
70.398118 56.397 -24.9298
70.908252 57.113 -28.2036
71.422083 57.772 -31.5084
71.939636 58.359 -34.7963
72.460941 58.884 -37.7915
72.986023 59.390 -40.2963
73.514909 59.927 -42.4373
74.047629 60.511 -44.6997
74.584208 61.104 -47.5969
75.124676 61.631 -51.3517
75.669061 62.019 -55.7859
76.217390 62.214 -60.3475
76.769692 62.217 -64.2084
77.325997 62.102 -66.4437
77.886333 62.026 -66.5060
78.450730 62.158 -64.9727
79.019216 62.552 -63.3558
79.591822 63.117 -62.8101
80.168577 63.743 -63.3066
80.749512 64.394 -64.3368
81.334656 65.084 -65.6950
81.924040 65.818 -67.7488
82.517696 66.544 -70.9773
83.115653 67.178 -75.4689
83.717943 67.654 -80.8036
84.324598 67.957 -86.3091
84.935649 68.118 -91.4736
85.551128 68.183 -96.1471
86.171066 68.179 -100.4341
86.795497 68.112 -104.3363
87.424453 67.997 -107.5524
88.057967 67.895 -109.7805
88.696071 67.887 -111.2206
89.338800 68.008 -112.6165
89.986185 68.218 -114.6262
90.638262 68.456 -117.2437
91.295065 68.715 -119.9750
91.956626 69.053 -122.6741
92.622982 69.498 -126.1930
93.294166 69.953 -131.6735
93.970214 70.250 -139.2190
94.651161 70.273 -147.8344
95.337042 70.019 -156.3289
96.027894 69.561 -164.0729
96.723752 68.976 -171.1387
97.424652 68.305 -177.8762
98.130631 67.549 175.4691
98.841726 66.693 168.7836
99.557974 65.714 162.0507
100.279412 64.599 155.3099
101.006078 63.344 148.5110
101.738010 61.957 141.3639
102.475245 60.450 133.0573
103.217823 58.816 121.9418
103.965782 56.999 105.8216
104.719161 54.991 82.1724
105.477999 53.094 49.1702
106.242336 52.083 14.6569
107.012212 52.449 -8.1818
107.787666 53.691 -20.0659
108.568740 55.181 -26.3413
109.355474 56.653 -30.0538
110.147909 58.067 -32.3348
110.946086 59.451 -33.8716
111.750047 60.817 -35.3871
112.559834 62.149 -37.3340
113.375489 63.409 -40.1409
114.197055 64.533 -44.0068
115.024574 65.486 -48.4784
115.858089 66.283 -52.9518
116.697645 66.967 -57.1708
117.543284 67.572 -61.1978
118.395051 68.100 -65.3450
119.252990 68.522 -69.7180
120.117147 68.829 -73.7759
120.987565 69.088 -76.8076
121.864291 69.414 -78.7568
122.747370 69.884 -80.3945
123.636848 70.486 -82.7349
124.532771 71.153 -86.3206
125.435187 71.817 -91.2106
126.344142 72.421 -97.5724
127.259684 72.877 -105.8220
128.181860 73.069 -115.8580
129.110718 72.915 -126.9467
130.046308 72.374 -138.5220
130.988677 71.390 -150.0964
131.937875 69.910 -160.5471
132.893951 67.935 -168.5308
133.856956 65.505 -173.5364
134.826938 62.628 -175.5149
135.803950 59.399 -172.7759
136.788041 57.120 -143.5911
137.779264 58.635 -32.0090
138.777669 62.026 -25.4637
139.783309 65.029 -30.1310
140.796237 67.355 -37.8107
141.816504 69.090 -46.6802
142.844165 70.351 -55.6724
143.879273 71.251 -64.2891
144.921881 71.855 -72.6741
145.972045 72.182 -80.7934
147.029819 72.249 -88.4009
148.095257 72.056 -95.4590
149.168417 71.600 -101.2184
150.249353 71.006 -103.8636
151.338121 70.554 -103.1956
152.434780 70.404 -102.5239
153.539385 70.347 -105.0364
154.651995 70.001 -110.2534
155.772667 69.163 -114.2515
156.901460 68.036 -111.6349
158.038432 67.224 -101.5026
159.183644 67.109 -92.1891
160.337154 67.411 -86.9529
161.499023 67.863 -82.5630
162.669312 68.486 -77.6051
163.848081 69.336 -72.9142
165.035392 70.302 -70.7427
166.231306 71.164 -71.6584
