* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.0 dBFS, measurement signal peak level -22.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:27:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -4.1831 ms (-1.435 m, -(4 ft 8.5 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: couch-p1-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 17.431 61.0762
10.166832 17.659 53.1489
10.240505 17.935 45.1946
10.314712 18.219 37.4714
10.389457 18.507 30.2171
10.464743 18.801 23.5215
10.540575 19.103 16.9126
10.616956 19.409 10.4451
10.693891 19.707 4.3068
10.771383 19.989 -1.3318
10.849437 20.255 -6.6976
10.928057 20.507 -11.9684
11.007246 20.744 -17.0127
11.087009 20.966 -21.6824
11.167350 21.170 -25.9826
11.248273 21.357 -30.1454
11.329783 21.529 -34.1168
11.411883 21.691 -37.8015
11.494578 21.844 -41.1380
11.577873 21.986 -44.2558
11.661771 22.121 -47.1791
11.746277 22.258 -49.8927
11.831395 22.401 -52.3553
11.917130 22.547 -54.5739
12.003487 22.699 -56.6304
12.090469 22.863 -58.5961
12.178081 23.044 -60.4689
12.266329 23.240 -62.1863
12.355216 23.448 -63.8564
12.444747 23.665 -65.5906
12.534926 23.892 -67.3857
12.625760 24.129 -69.1853
12.717251 24.365 -71.0533
12.809406 24.591 -73.0626
12.902228 24.809 -75.2261
12.995723 25.015 -77.4912
13.089895 25.196 -79.8275
13.184750 25.345 -82.2751
13.280292 25.465 -84.9115
13.376526 25.549 -87.6057
13.473458 25.585 -90.2402
13.571093 25.574 -92.9847
13.669434 25.513 -95.8143
13.768489 25.393 -98.5130
13.868261 25.209 -101.0125
13.968756 24.961 -103.5181
14.069979 24.646 -105.8157
14.171936 24.258 -107.6313
14.274632 23.790 -109.0525
14.378072 23.263 -109.9827
14.482261 22.704 -110.1480
14.587206 22.091 -109.2338
14.692910 21.481 -107.1888
14.799381 21.000 -104.1585
14.906624 20.708 -99.9969
15.014643 20.596 -94.8852
15.123446 20.695 -90.0637
15.233036 21.050 -86.1875
15.343421 21.615 -83.1695
15.454606 22.241 -81.5942
15.566596 22.847 -81.5797
15.679398 23.445 -82.6665
15.793018 23.975 -84.6109
15.907460 24.399 -87.4726
16.022732 24.723 -91.1669
16.138840 24.939 -95.1944
16.255788 25.038 -99.7248
16.373585 25.018 -104.9295
16.492234 24.871 -110.1713
16.611744 24.593 -115.8075
16.732119 24.174 -122.0207
16.853367 23.590 -128.0932
16.975494 22.844 -134.6284
17.098505 21.891 -141.7014
17.222408 20.676 -148.5736
17.347209 19.193 -156.1368
17.472914 17.306 -164.5080
17.599530 14.703 -173.1482
17.727063 11.656 175.1959
17.855521 9.652 150.0059
17.984909 9.830 26.4351
18.115235 11.297 -5.1781
18.246506 13.039 -17.1735
18.378727 14.922 -28.0421
18.511907 16.477 -36.9969
18.646052 17.478 -46.1369
18.781169 18.094 -55.4869
18.917265 18.459 -64.0530
19.054347 18.576 -73.5316
19.192423 18.477 -82.6051
19.331499 18.177 -91.9160
19.471583 17.672 -101.7883
19.612682 16.969 -111.2416
19.754804 16.057 -121.6918
19.897956 14.916 -132.2580
20.042144 13.531 -143.7828
20.187378 11.915 -157.0799
20.333664 10.002 -172.6572
20.481010 8.141 165.2948
20.629424 6.991 133.8578
20.778913 6.734 93.6552
20.929486 7.495 62.2467
21.081150 9.089 41.1217
21.233912 10.743 26.6832
21.387782 12.204 15.3310
21.542767 13.490 5.8616
21.698874 14.580 -2.7528
21.856113 15.484 -10.6656
22.014492 16.206 -18.3471
22.174018 16.727 -25.7703
22.334700 17.025 -32.8687
22.496546 17.066 -39.8992
22.659566 16.792 -45.9686
22.823766 16.148 -51.6151
22.989157 14.982 -54.5786
23.155745 13.457 -54.0209
23.323542 12.206 -42.6847
23.492554 11.873 -12.8311
23.662790 13.570 14.1579
23.834261 16.396 24.6765
24.006973 18.803 25.2311
24.180938 20.744 22.4471
24.356163 22.194 18.2723
24.532658 23.204 13.6942
24.710431 23.851 9.8669
24.889493 24.194 7.0546
25.069853 24.325 6.6232
25.251519 24.473 8.7675
25.434502 24.881 14.3652
25.618811 25.768 21.0019
25.804456 27.188 27.1025
25.991445 28.815 29.6821
26.179790 30.476 29.5813
26.369500 31.954 26.8395
26.560584 33.208 22.6907
26.753053 34.207 17.4908
26.946917 34.955 12.0489
27.142185 35.458 6.4135
27.338869 35.742 1.4798
27.536977 35.830 -2.8355
27.736522 35.790 -5.5195
27.937512 35.717 -6.8992
28.139959 35.743 -6.3387
28.343872 36.013 -4.6007
28.549264 36.584 -2.5312
28.756143 37.396 -1.7637
28.964522 38.329 -2.5475
29.174411 39.248 -5.1359
29.385821 40.055 -9.0998
29.598763 40.707 -14.0717
29.813248 41.179 -19.6608
30.029287 41.470 -25.3490
30.246891 41.584 -31.0643
30.466073 41.542 -36.2269
30.686842 41.373 -40.7158
30.909212 41.113 -44.2778
31.133193 40.827 -46.6956
31.358797 40.578 -48.0901
31.586035 40.422 -48.5314
31.814921 40.402 -48.5984
32.045465 40.506 -48.6910
32.277680 40.704 -49.1402
32.511577 40.939 -50.1912
32.747169 41.161 -51.7325
32.984469 41.340 -53.6523
33.223488 41.454 -55.7391
33.464239 41.499 -57.7042
33.706735 41.488 -59.3760
33.950987 41.442 -60.5609
34.197010 41.404 -61.1187
34.444816 41.419 -61.1460
34.694417 41.525 -60.8481
34.945827 41.741 -60.5803
35.199059 42.047 -60.8586
35.454126 42.389 -61.9250
35.711041 42.711 -63.8303
35.969818 42.952 -66.5046
36.230470 43.070 -69.6144
36.493011 43.048 -72.7634
36.757455 42.892 -75.6078
37.023814 42.630 -77.7893
37.292104 42.321 -79.0073
37.562338 42.038 -79.3077
37.834530 41.837 -79.0231
38.108695 41.731 -78.6134
38.384846 41.691 -78.5125
38.662999 41.653 -78.9037
38.943167 41.557 -79.5519
39.225365 41.384 -80.0191
39.509608 41.159 -79.9041
39.795911 40.939 -78.9833
40.084289 40.791 -77.3718
40.374756 40.753 -75.5751
40.667328 40.791 -74.2164
40.962020 40.819 -73.5203
41.258848 40.748 -73.1485
41.557827 40.538 -72.3215
41.858972 40.230 -69.9618
42.162299 39.991 -65.0060
42.467824 40.092 -57.3129
42.775564 40.740 -48.7781
43.085533 41.864 -42.3297
43.397749 43.177 -39.3663
43.712227 44.438 -39.4816
44.028983 45.530 -41.6859
44.348036 46.421 -45.1152
44.669400 47.117 -49.1641
44.993093 47.641 -53.4444
45.319131 48.017 -57.7271
45.647532 48.269 -61.8879
45.978313 48.414 -65.8593
46.311491 48.462 -69.5862
46.647083 48.425 -73.0004
46.985107 48.312 -76.0193
47.325581 48.143 -78.5712
47.668521 47.938 -80.6330
48.013947 47.717 -82.2546
48.361876 47.493 -83.5458
48.712326 47.265 -84.6275
49.065315 47.022 -85.5740
49.420863 46.749 -86.3790
49.778987 46.431 -86.9521
50.139706 46.062 -87.1315
50.503039 45.644 -86.7087
50.869005 45.195 -85.4815
51.237623 44.741 -83.3391
51.608912 44.308 -80.2953
51.982891 43.905 -76.2992
52.359580 43.568 -70.8102
52.739000 43.453 -62.6340
53.121168 43.896 -51.2310
53.506106 45.115 -39.5587
53.893833 46.860 -32.3840
54.284370 48.669 -31.0562
54.677737 50.230 -34.0941
55.073955 51.426 -39.6651
55.473043 52.243 -46.3503
55.875024 52.714 -53.1239
56.279917 52.901 -59.2853
56.687745 52.890 -64.3523
57.098527 52.772 -68.1474
57.512287 52.632 -70.8452
57.929045 52.519 -72.8547
58.348822 52.444 -74.5941
58.771642 52.392 -76.3548
59.197525 52.339 -78.2687
59.626495 52.264 -80.4058
60.058573 52.141 -82.8480
60.493782 51.933 -85.6646
60.932145 51.588 -88.7963
61.373685 51.047 -91.9609
61.818424 50.260 -94.5058
62.266386 49.217 -95.3347
62.717593 47.998 -92.9914
63.172071 46.831 -86.1921
63.629842 46.062 -75.5273
64.090930 45.896 -64.0511
64.555359 46.223 -54.4002
65.023154 46.819 -46.7607
65.494339 47.557 -40.4862
65.968938 48.386 -35.2584
66.446976 49.276 -31.0688
66.928478 50.199 -27.8962
67.413469 51.130 -25.7001
67.901975 52.041 -24.5131
68.394021 52.891 -24.3835
68.889632 53.635 -25.1689
69.388835 54.240 -26.5053
69.891655 54.700 -27.9706
70.398118 55.030 -29.2247
70.908252 55.244 -30.0912
71.422083 55.354 -30.3262
71.939636 55.388 -29.4616
72.460941 55.436 -26.8683
72.986023 55.641 -22.3814
73.514909 56.131 -16.7277
74.047629 56.943 -11.0090
74.584208 58.055 -5.8738
75.124676 59.433 -1.7311
75.669061 61.007 0.6691
76.217390 62.646 0.5054
76.769692 64.204 -2.3273
77.325997 65.577 -7.2642
77.886333 66.726 -13.4861
78.450730 67.661 -20.3000
79.019216 68.413 -27.3165
79.591822 69.006 -34.4010
80.168577 69.447 -41.4808
80.749512 69.744 -48.3392
81.334656 69.932 -54.6309
81.924040 70.074 -60.2496
82.517696 70.219 -65.5942
83.115653 70.352 -71.2982
83.717943 70.397 -77.6127
84.324598 70.290 -84.1313
84.935649 70.026 -90.2375
85.551128 69.643 -95.6152
86.171066 69.178 -100.3679
86.795497 68.629 -104.6487
87.424453 67.975 -108.2912
88.057967 67.213 -110.9371
88.696071 66.357 -112.2151
89.338800 65.452 -111.4492
89.986185 64.656 -107.4081
90.638262 64.318 -99.4562
91.295065 64.760 -90.2916
91.956626 65.834 -85.0009
92.622982 67.043 -85.6093
93.294166 67.995 -90.6036
93.970214 68.549 -97.4910
94.651161 68.754 -104.1614
95.337042 68.766 -109.6005
96.027894 68.737 -114.1862
96.723752 68.710 -118.8900
97.424652 68.645 -124.1582
98.130631 68.500 -129.9082
98.841726 68.253 -136.0413
99.557974 67.887 -142.5110
100.279412 67.389 -149.1875
101.006078 66.766 -155.9364
101.738010 66.033 -162.8040
102.475245 65.205 -170.0527
103.217823 64.278 -177.9922
103.965782 63.256 173.1362
104.719161 62.173 162.9558
105.477999 61.120 150.7114
106.242336 60.257 135.4653
107.012212 59.808 116.7142
107.787666 59.939 95.3057
108.568740 60.567 73.7607
109.355474 61.451 54.7174
110.147909 62.414 39.3260
110.946086 63.386 27.3513
111.750047 64.341 17.9387
112.559834 65.256 10.0669
113.375489 66.076 2.7904
114.197055 66.740 -4.1152
115.024574 67.254 -10.1233
115.858089 67.685 -14.9751
116.697645 68.082 -19.1770
117.543284 68.430 -23.3112
118.395051 68.675 -27.5417
119.252990 68.766 -31.6116
120.117147 68.692 -34.7325
120.987565 68.532 -35.8458
121.864291 68.448 -34.5856
122.747370 68.599 -31.7104
123.636848 69.088 -28.0536
124.532771 69.971 -24.2891
125.435187 71.168 -22.4364
126.344142 72.391 -24.8137
127.259684 73.324 -31.1017
128.181860 73.817 -38.9965
129.110718 73.898 -46.1838
130.046308 73.715 -51.1820
130.988677 73.487 -53.4640
131.937875 73.402 -54.1561
132.893951 73.462 -55.4304
133.856956 73.507 -57.9731
134.826938 73.404 -60.8810
135.803950 73.135 -62.8221
136.788041 72.820 -62.3240
137.779264 72.708 -58.9973
138.777669 72.988 -54.8220
139.783309 73.609 -52.2666
140.796237 74.353 -52.4138
141.816504 75.012 -54.9983
142.844165 75.478 -58.7700
143.879273 75.776 -62.3268
144.921881 76.015 -65.0677
145.972045 76.298 -67.4236
147.029819 76.642 -70.4371
148.095257 76.958 -75.0278
149.168417 77.105 -81.3059
150.249353 76.972 -88.4041
151.338121 76.536 -94.9531
152.434780 75.858 -100.1519
153.539385 75.008 -103.9205
154.651995 74.050 -105.9883
155.772667 73.046 -106.6825
156.901460 71.964 -107.3712
158.038432 70.673 -106.9285
159.183644 69.309 -99.6471
160.337154 68.656 -81.3771
161.499023 69.392 -63.0282
162.669312 70.926 -54.8442
163.848081 72.417 -54.8472
165.035392 73.484 -59.4276
