* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.2 dBFS, measurement signal peak level -20.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:27:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.7222 ms (-248 mm, -9.75 in) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: couch-p1-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 62.906 -66.6947
10.166832 63.047 -68.2930
10.240505 63.218 -69.8736
10.314712 63.394 -71.4618
10.389457 63.573 -73.0824
10.464743 63.759 -74.7526
10.540575 63.954 -76.4448
10.616956 64.154 -78.1629
10.693891 64.356 -79.9202
10.771383 64.555 -81.7306
10.849437 64.752 -83.5991
10.928057 64.948 -85.5128
11.007246 65.139 -87.4595
11.087009 65.323 -89.4300
11.167350 65.499 -91.4352
11.248273 65.667 -93.4895
11.329783 65.827 -95.5586
11.411883 65.977 -97.6091
11.494578 66.116 -99.6339
11.577873 66.243 -101.6758
11.661771 66.360 -103.6979
11.746277 66.469 -105.6562
11.831395 66.570 -107.5292
11.917130 66.662 -109.3583
12.003487 66.747 -111.1228
12.090469 66.833 -112.7929
12.178081 66.919 -114.3474
12.266329 67.006 -115.8033
12.355216 67.097 -117.1753
12.444747 67.202 -118.4767
12.534926 67.321 -119.6854
12.625760 67.453 -120.8056
12.717251 67.602 -121.9018
12.809406 67.772 -123.0320
12.902228 67.964 -124.1429
12.995723 68.176 -125.2693
13.089895 68.403 -126.4929
13.184750 68.645 -127.8525
13.280292 68.902 -129.2887
13.376526 69.168 -130.8423
13.473458 69.434 -132.5592
13.571093 69.701 -134.4294
13.669434 69.967 -136.4248
13.768489 70.224 -138.5386
13.868261 70.467 -140.7808
13.968756 70.698 -143.1513
14.069979 70.914 -145.5967
14.171936 71.111 -148.0810
14.274632 71.288 -150.6534
14.378072 71.446 -153.2646
14.482261 71.585 -155.8439
14.587206 71.704 -158.4251
14.692910 71.805 -161.0035
14.799381 71.890 -163.5122
14.906624 71.960 -165.9418
15.014643 72.016 -168.3189
15.123446 72.064 -170.6098
15.233036 72.106 -172.7918
15.343421 72.143 -174.8835
15.454606 72.181 -176.8968
15.566596 72.222 -178.8263
15.679398 72.266 179.3303
15.793018 72.317 177.5293
15.907460 72.375 175.7553
16.022732 72.441 174.0219
16.138840 72.512 172.2865
16.255788 72.588 170.5305
16.373585 72.668 168.7677
16.492234 72.747 166.9880
16.611744 72.825 165.1790
16.732119 72.899 163.3560
16.853367 72.969 161.5458
16.975494 73.032 159.7355
17.098505 73.090 157.9480
17.222408 73.144 156.2186
17.347209 73.195 154.5359
17.472914 73.245 152.9120
17.599530 73.300 151.3650
17.727063 73.360 149.8842
17.855521 73.430 148.4401
17.984909 73.512 147.0467
18.115235 73.607 145.6662
18.246506 73.717 144.2483
18.378727 73.841 142.8102
18.511907 73.973 141.2958
18.646052 74.114 139.6890
18.781169 74.259 137.9972
18.917265 74.400 136.2023
19.054347 74.538 134.3072
19.192423 74.666 132.3475
19.331499 74.783 130.3169
19.471583 74.886 128.2463
19.612682 74.976 126.1784
19.754804 75.052 124.1019
19.897956 75.117 122.0690
20.042144 75.172 120.0777
20.187378 75.221 118.1393
20.333664 75.265 116.2678
20.481010 75.307 114.4526
20.629424 75.350 112.6883
20.778913 75.394 110.9745
20.929486 75.440 109.2922
21.081150 75.488 107.6426
21.233912 75.538 106.0209
21.387782 75.589 104.4239
21.542767 75.642 102.8594
21.698874 75.697 101.3305
21.856113 75.756 99.8370
22.014492 75.821 98.3842
22.174018 75.893 96.9600
22.334700 75.975 95.5507
22.496546 76.068 94.1460
22.659566 76.171 92.7108
22.823766 76.283 91.2449
22.989157 76.400 89.7222
23.155745 76.520 88.1492
23.323542 76.640 86.5394
23.492554 76.760 84.8989
23.662790 76.878 83.2730
23.834261 76.999 81.6599
24.006973 77.129 80.0897
24.180938 77.272 78.5431
24.356163 77.437 76.9855
24.532658 77.626 75.3748
24.710431 77.841 73.6146
24.889493 78.076 71.6600
25.069853 78.324 69.4178
25.251519 78.569 66.8854
25.434502 78.800 64.0225
25.618811 79.001 60.9076
25.804456 79.162 57.5395
25.991445 79.274 54.0794
26.179790 79.335 50.5400
26.369500 79.345 47.1154
26.560584 79.311 43.8261
26.753053 79.248 40.8213
26.946917 79.171 38.0991
27.142185 79.099 35.7177
27.338869 79.053 33.5706
27.536977 79.046 31.6264
27.736522 79.087 29.6768
27.937512 79.172 27.6335
28.139959 79.293 25.3490
28.343872 79.431 22.7461
28.549264 79.574 19.7969
28.756143 79.701 16.4969
28.964522 79.801 12.8887
29.174411 79.862 8.9946
29.385821 79.874 4.9057
29.598763 79.829 0.6525
29.813248 79.719 -3.6727
30.029287 79.537 -7.9539
30.246891 79.281 -12.1199
30.466073 78.949 -15.9590
30.686842 78.552 -19.3258
30.909212 78.106 -22.0329
31.133193 77.653 -23.9058
31.358797 77.241 -24.9521
31.586035 76.920 -25.2323
31.814921 76.739 -25.2176
32.045465 76.695 -25.3636
32.277680 76.763 -26.0662
32.511577 76.878 -27.6252
32.747169 76.981 -29.9459
32.984469 77.028 -32.8839
33.223488 76.990 -36.1573
33.464239 76.864 -39.4000
33.706735 76.662 -42.3923
33.950987 76.414 -44.8960
34.197010 76.165 -46.7923
34.444816 75.963 -48.1866
34.694417 75.842 -49.2782
34.945827 75.820 -50.4042
35.199059 75.884 -51.9751
35.454126 75.999 -54.2166
35.711041 76.125 -57.2319
35.969818 76.219 -61.0276
36.230470 76.240 -65.4701
36.493011 76.165 -70.3579
36.757455 75.976 -75.4847
37.023814 75.666 -80.6192
37.292104 75.241 -85.4753
37.562338 74.723 -89.7968
37.834530 74.146 -93.4341
38.108695 73.556 -96.3328
38.384846 72.994 -98.5889
38.662999 72.491 -100.4774
38.943167 72.050 -102.3263
39.225365 71.648 -104.3048
39.509608 71.262 -106.4282
39.795911 70.878 -108.6062
40.084289 70.499 -110.7206
40.374756 70.143 -112.7285
40.667328 69.829 -114.7307
40.962020 69.564 -116.9173
41.258848 69.340 -119.4498
41.557827 69.143 -122.4194
41.858972 68.964 -125.8739
42.162299 68.796 -129.8794
42.467824 68.636 -134.5686
42.775564 68.469 -140.1328
43.085533 68.264 -146.7555
43.397749 67.980 -154.5336
43.712227 67.570 -163.4428
44.028983 66.997 -173.3667
44.348036 66.234 175.8446
44.669400 65.269 164.3313
44.993093 64.100 152.2009
45.319131 62.737 139.5220
45.647532 61.208 126.3486
45.978313 59.562 112.7788
46.311491 57.884 99.0576
46.647083 56.314 85.6807
46.985107 55.045 73.3575
47.325581 54.264 62.6790
47.668521 54.041 53.7120
48.013947 54.261 46.0530
48.361876 54.716 39.3201
48.712326 55.226 33.4903
49.065315 55.705 28.8753
49.420863 56.159 25.9379
49.778987 56.673 25.0323
50.139706 57.373 26.0082
50.503039 58.347 27.8900
50.869005 59.572 29.2324
51.237623 60.935 29.0681
51.608912 62.329 27.3259
51.982891 63.705 24.4054
52.359580 65.070 20.5731
52.739000 66.430 15.6630
53.121168 67.755 9.2239
53.506106 68.967 0.9271
53.893833 69.976 -9.1790
54.284370 70.703 -20.7284
54.677737 71.096 -33.1481
55.073955 71.130 -45.7553
55.473043 70.806 -57.8132
55.875024 70.160 -68.5806
56.279917 69.263 -77.4078
56.687745 68.222 -83.8949
57.098527 67.157 -88.1938
57.512287 66.146 -90.9222
57.929045 65.203 -92.5530
58.348822 64.326 -93.0049
58.771642 63.558 -91.9635
59.197525 62.989 -89.6161
59.626495 62.675 -86.7817
60.058573 62.608 -84.1473
60.493782 62.764 -81.8915
60.932145 63.139 -80.3184
61.373685 63.689 -80.2139
61.818424 64.300 -82.2430
62.266386 64.835 -86.2875
62.717593 65.209 -91.6328
63.172071 65.406 -97.4437
63.629842 65.461 -103.0939
64.090930 65.435 -108.3169
64.555359 65.386 -113.1326
65.023154 65.360 -117.7681
65.494339 65.381 -122.5650
65.968938 65.438 -127.9292
66.446976 65.496 -134.1091
66.928478 65.511 -141.0669
67.413469 65.461 -148.5476
67.901975 65.355 -156.3496
68.394021 65.217 -164.5166
68.889632 65.049 -173.2563
69.388835 64.832 177.3564
69.891655 64.557 167.5066
70.398118 64.254 157.4270
70.908252 63.974 146.9790
71.422083 63.742 135.5500
71.939636 63.505 122.5668
72.460941 63.154 107.9559
72.986023 62.581 92.1735
73.514909 61.705 76.0381
74.047629 60.473 60.4016
74.584208 58.831 46.2997
75.124676 56.736 35.5930
75.669061 54.348 33.7845
76.217390 52.840 56.1028
76.769692 53.844 86.0068
77.325997 56.190 90.3274
77.886333 58.415 84.6638
78.450730 60.338 76.8252
79.019216 62.071 68.2551
79.591822 63.633 58.2134
80.168577 64.943 46.3767
80.749512 65.944 33.4023
81.334656 66.653 20.2509
81.924040 67.135 7.2976
82.517696 67.411 -5.8507
83.115653 67.419 -19.6746
83.717943 67.041 -33.9607
84.324598 66.177 -47.6161
84.935649 64.786 -59.0300
85.551128 62.910 -65.9323
86.171066 60.808 -63.9135
86.795497 59.421 -45.2175
87.424453 60.028 -20.0259
88.057967 62.020 -10.5245
88.696071 64.195 -11.6913
89.338800 66.160 -17.7675
89.986185 67.851 -27.0446
90.638262 69.238 -38.9880
91.295065 70.284 -53.2192
91.956626 70.938 -69.4109
92.622982 71.136 -87.1543
93.294166 70.806 -105.7278
93.970214 69.894 -123.9933
94.651161 68.393 -140.4871
95.337042 66.350 -153.7238
96.027894 63.857 -162.6405
96.723752 61.014 -166.2968
97.424652 57.992 -161.3066
98.130631 55.448 -139.9147
98.841726 54.644 -111.7175
99.557974 55.525 -99.1729
100.279412 56.830 -97.5360
101.006078 57.967 -100.4515
101.738010 58.839 -105.7600
102.475245 59.421 -113.2194
103.217823 59.643 -122.6833
103.965782 59.422 -133.1309
104.719161 58.743 -142.8308
105.477999 57.687 -150.1608
106.242336 56.404 -154.4233
107.012212 55.066 -155.6437
107.787666 53.845 -154.3336
108.568740 52.846 -152.6462
109.355474 51.968 -152.6871
110.147909 51.012 -153.6310
110.946086 49.892 -153.2550
111.750047 48.660 -150.8906
112.559834 47.352 -147.7666
113.375489 45.966 -142.8263
114.197055 44.878 -128.4623
115.024574 45.119 -99.5911
115.858089 46.835 -79.8566
116.697645 48.908 -76.3142
117.543284 50.649 -80.8170
118.395051 51.919 -88.5873
119.252990 52.773 -97.5425
120.117147 53.270 -107.4171
120.987565 53.417 -118.1815
121.864291 53.212 -129.3438
122.747370 52.666 -140.6925
123.636848 51.762 -152.2778
124.532771 50.458 -163.9587
125.435187 48.689 -175.3052
126.344142 46.383 174.8962
127.259684 43.510 168.7980
128.181860 40.148 169.3744
129.110718 36.663 172.1378
130.046308 34.112 148.2573
130.988677 33.978 40.8667
131.937875 35.549 -3.9214
132.893951 37.713 -25.4915
133.856956 41.193 -5.8479
134.826938 45.488 72.8392
135.803950 49.265 57.7344
136.788041 52.073 36.9385
137.779264 53.914 16.0334
138.777669 54.926 -2.6908
139.783309 55.340 -17.3936
140.796237 55.430 -27.5656
141.816504 55.473 -33.3185
142.844165 55.764 -34.8500
143.879273 56.417 -36.1150
144.921881 57.194 -41.0946
145.972045 57.839 -48.3398
147.029819 58.297 -55.7936
148.095257 58.582 -63.4037
149.168417 58.652 -71.7183
150.249353 58.474 -79.4429
151.338121 58.193 -83.9241
152.434780 58.104 -84.9541
153.539385 58.308 -87.2539
154.651995 58.532 -94.0908
155.772667 58.454 -103.7183
156.901460 57.948 -113.1354
158.038432 57.068 -120.0236
159.183644 55.979 -123.3676
160.337154 54.913 -122.7545
161.499023 54.222 -116.7872
162.669312 54.199 -109.6299
163.848081 54.588 -109.5055
165.035392 54.846 -115.3517
166.231306 54.715 -122.1631
167.435887 54.213 -127.5635
168.649196 53.429 -131.0082
169.871298 52.506 -131.3326
171.102255 51.797 -124.9977
172.342133 51.896 -110.8094
173.590995 52.845 -103.3029
