* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.2 dBFS, measurement signal peak level -20.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:30:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -6.8906 ms (-2.363 m, -(7 ft 9.1 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: couch-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 58.728 -62.9135
10.166832 58.836 -64.5705
10.240505 58.968 -66.2519
10.314712 59.103 -67.9530
10.389457 59.239 -69.6713
10.464743 59.371 -71.4106
10.540575 59.498 -73.1919
10.616956 59.620 -74.9963
10.693891 59.736 -76.8001
10.771383 59.842 -78.5812
10.849437 59.939 -80.3685
10.928057 60.027 -82.1701
11.007246 60.107 -83.9501
11.087009 60.178 -85.6716
11.167350 60.241 -87.3307
11.248273 60.293 -88.9643
11.329783 60.340 -90.5465
11.411883 60.383 -92.0462
11.494578 60.424 -93.4406
11.577873 60.460 -94.7507
11.661771 60.497 -95.9812
11.746277 60.540 -97.1319
11.831395 60.593 -98.1902
11.917130 60.653 -99.1388
12.003487 60.723 -100.0193
12.090469 60.809 -100.8776
12.178081 60.913 -101.7182
12.266329 61.035 -102.4999
12.355216 61.174 -103.2896
12.444747 61.327 -104.1582
12.534926 61.497 -105.0991
12.625760 61.684 -106.0807
12.717251 61.879 -107.1547
12.809406 62.078 -108.3690
12.902228 62.283 -109.7029
12.995723 62.491 -111.1394
13.089895 62.694 -112.6830
13.184750 62.888 -114.3468
13.280292 63.075 -116.1309
13.376526 63.253 -117.9975
13.473458 63.416 -119.9144
13.571093 63.565 -121.9149
13.669434 63.699 -123.9838
13.768489 63.818 -126.0668
13.868261 63.922 -128.1474
13.968756 64.009 -130.2664
14.069979 64.084 -132.3827
14.171936 64.146 -134.4561
14.274632 64.195 -136.5165
14.378072 64.234 -138.5598
14.482261 64.265 -140.5638
14.587206 64.289 -142.5288
14.692910 64.305 -144.4677
14.799381 64.317 -146.3845
14.906624 64.325 -148.2776
15.014643 64.328 -150.1512
15.123446 64.327 -152.0179
15.233036 64.321 -153.8862
15.343421 64.309 -155.7536
15.454606 64.291 -157.6197
15.566596 64.264 -159.4913
15.679398 64.229 -161.3714
15.793018 64.183 -163.2401
15.907460 64.126 -165.0936
16.022732 64.058 -166.9414
16.138840 63.978 -168.7570
16.255788 63.886 -170.5297
16.373585 63.783 -172.2691
16.492234 63.671 -173.9626
16.611744 63.549 -175.6004
16.732119 63.419 -177.1907
16.853367 63.281 -178.7450
16.975494 63.136 179.7444
17.098505 62.982 178.2693
17.222408 62.817 176.8121
17.347209 62.641 175.3756
17.472914 62.449 173.9738
17.599530 62.236 172.6039
17.727063 62.002 171.2733
17.855521 61.740 170.0470
17.984909 61.449 168.9269
18.115235 61.129 167.9578
18.246506 60.780 167.2266
18.378727 60.402 166.7545
18.511907 60.007 166.5741
18.646052 59.599 166.7675
18.781169 59.185 167.3270
18.917265 58.779 168.1878
19.054347 58.384 169.4232
19.192423 57.997 170.9168
19.331499 57.619 172.6210
19.471583 57.235 174.6346
19.612682 56.823 177.0244
19.754804 56.385 179.8969
19.897956 55.938 -176.1464
20.042144 55.486 -170.9434
20.187378 55.193 -163.9594
20.333664 55.185 -155.0854
20.481010 55.524 -145.3937
20.629424 56.312 -136.5164
20.778913 57.450 -129.5143
20.929486 58.692 -125.3959
21.081150 59.977 -123.4169
21.233912 61.176 -123.3677
21.387782 62.241 -124.7328
21.542767 63.163 -126.9719
21.698874 63.928 -129.9850
21.856113 64.543 -133.3437
22.014492 65.009 -136.9106
22.174018 65.330 -140.5485
22.334700 65.514 -143.9147
22.496546 65.567 -147.0674
22.659566 65.505 -149.5333
22.823766 65.342 -151.3737
22.989157 65.119 -152.1522
23.155745 64.867 -151.8200
23.323542 64.671 -150.2361
23.492554 64.575 -147.4089
23.662790 64.670 -143.8128
23.834261 64.968 -139.7818
24.006973 65.465 -136.1115
24.180938 66.126 -133.0604
24.356163 66.878 -130.9661
24.532658 67.688 -129.7616
24.710431 68.509 -129.4083
24.889493 69.326 -129.7785
25.069853 70.122 -130.7782
25.251519 70.891 -132.3373
25.434502 71.625 -134.3869
25.618811 72.316 -136.8851
25.804456 72.959 -139.7811
25.991445 73.544 -143.0020
26.179790 74.069 -146.5096
26.369500 74.526 -150.1824
26.560584 74.915 -153.9777
26.753053 75.237 -157.7683
26.946917 75.497 -161.4715
27.142185 75.702 -165.0194
27.338869 75.867 -168.3007
27.536977 76.006 -171.3072
27.736522 76.141 -173.9986
27.937512 76.287 -176.4464
28.139959 76.461 -178.6995
28.343872 76.669 179.0504
28.549264 76.912 176.7384
28.756143 77.175 174.1577
28.964522 77.443 171.2889
29.174411 77.695 168.0583
29.385821 77.909 164.5318
29.598763 78.068 160.7537
29.813248 78.157 156.8425
30.029287 78.172 152.9733
30.246891 78.110 149.2249
30.466073 77.978 145.8482
30.686842 77.795 142.9456
30.909212 77.582 140.6554
31.133193 77.379 139.0462
31.358797 77.224 138.0237
31.586035 77.147 137.4795
31.814921 77.169 137.0347
32.045465 77.278 136.4132
32.277680 77.451 135.3975
32.511577 77.643 133.8225
32.747169 77.817 131.7750
32.984469 77.944 129.3597
33.223488 78.006 126.7756
33.464239 78.000 124.3120
33.706735 77.942 122.1508
33.950987 77.858 120.4916
34.197010 77.797 119.4485
34.444816 77.807 118.8872
34.694417 77.926 118.5575
34.945827 78.170 118.0659
35.199059 78.515 116.9056
35.454126 78.911 114.8330
35.711041 79.305 111.7828
35.969818 79.644 107.7922
36.230470 79.885 103.0719
36.493011 80.006 97.8944
36.757455 79.995 92.4954
37.023814 79.852 87.1154
37.292104 79.586 82.0367
37.562338 79.224 77.4893
37.834530 78.797 73.5873
38.108695 78.345 70.3757
38.384846 77.904 67.7929
38.662999 77.500 65.6448
38.943167 77.139 63.6807
39.225365 76.808 61.7551
39.509608 76.490 59.8302
39.795911 76.173 57.9548
40.084289 75.854 56.2247
40.374756 75.545 54.7139
40.667328 75.264 53.4049
40.962020 75.023 52.1815
41.258848 74.824 50.8967
41.557827 74.658 49.4273
41.858972 74.510 47.6999
42.162299 74.365 45.6837
42.467824 74.210 43.3656
42.775564 74.031 40.7328
43.085533 73.809 37.7823
43.397749 73.521 34.5551
43.712227 73.146 31.1720
44.028983 72.663 27.8423
44.348036 72.068 24.8414
44.669400 71.371 22.4731
44.993093 70.602 21.0120
45.319131 69.807 20.6327
45.647532 69.045 21.3384
45.978313 68.368 22.9272
46.311491 67.814 25.0345
46.647083 67.391 27.2488
46.985107 67.081 29.2419
47.325581 66.850 30.8447
47.668521 66.667 32.0421
48.013947 66.507 32.9096
48.361876 66.358 33.5355
48.712326 66.215 33.9781
49.065315 66.073 34.2868
49.420863 65.930 34.5552
49.778987 65.795 34.9310
50.139706 65.694 35.5295
50.503039 65.664 36.2927
50.869005 65.733 36.9356
51.237623 65.897 37.0880
51.608912 66.129 36.5248
51.982891 66.401 35.2289
52.359580 66.704 33.2187
52.739000 67.038 30.3393
53.121168 67.378 26.2531
53.506106 67.663 20.6649
53.893833 67.809 13.5487
54.284370 67.730 5.1995
54.677737 67.360 -3.8071
55.073955 66.667 -12.6930
55.473043 65.656 -20.5414
55.875024 64.392 -26.4033
56.279917 63.004 -29.5220
56.687745 61.681 -29.8229
57.098527 60.606 -28.1882
57.512287 59.880 -25.7592
57.929045 59.539 -23.2517
58.348822 59.598 -21.3392
58.771642 60.012 -20.9744
59.197525 60.655 -22.7618
59.626495 61.411 -26.5043
60.058573 62.231 -31.6761
60.493782 63.113 -38.0381
60.932145 64.037 -45.7555
61.373685 64.932 -54.9769
61.818424 65.706 -65.5264
62.266386 66.289 -76.8229
62.717593 66.660 -88.1617
63.172071 66.844 -98.8309
63.629842 66.906 -108.3196
64.090930 66.927 -116.5146
64.555359 66.969 -123.6556
65.023154 67.056 -130.1702
65.494339 67.175 -136.3960
65.968938 67.298 -142.5168
66.446976 67.400 -148.5910
66.928478 67.457 -154.6349
67.413469 67.447 -160.6295
67.901975 67.348 -166.5003
68.394021 67.146 -172.1013
68.889632 66.829 -177.2544
69.388835 66.400 178.2599
69.891655 65.864 174.6469
70.398118 65.236 172.0977
70.908252 64.533 170.8729
71.422083 63.800 171.5016
71.939636 63.152 174.7153
72.460941 62.794 -179.5130
72.986023 62.871 -173.1053
73.514909 63.293 -168.5306
74.047629 63.841 -166.2661
74.584208 64.373 -165.3725
75.124676 64.860 -164.9852
75.669061 65.320 -164.8096
76.217390 65.766 -164.8137
76.769692 66.201 -165.0637
77.325997 66.611 -165.6813
77.886333 66.969 -166.4976
78.450730 67.295 -166.8148
79.019216 67.689 -166.0743
79.591822 68.258 -164.8134
80.168577 68.999 -164.3774
80.749512 69.828 -165.3400
81.334656 70.682 -167.4894
81.924040 71.532 -170.8643
82.517696 72.317 -175.8375
83.115653 72.946 177.5463
83.717943 73.347 169.7851
84.324598 73.491 161.5984
84.935649 73.392 153.6069
85.551128 73.087 146.2917
86.171066 72.638 139.9275
86.795497 72.108 134.4013
87.424453 71.530 129.2153
88.057967 70.879 123.8893
88.696071 70.090 118.2684
89.338800 69.076 112.5097
89.986185 67.739 107.1561
90.638262 65.991 103.7059
91.295065 63.904 106.4579
91.956626 62.211 125.9492
92.622982 62.280 155.6269
93.294166 63.679 165.0035
93.970214 64.930 161.7044
94.651161 65.547 155.3158
95.337042 65.626 150.1317
96.027894 65.425 147.6249
96.723752 65.178 147.1359
97.424652 64.991 147.3250
98.130631 64.866 147.4425
98.841726 64.767 147.2032
99.557974 64.649 146.5729
100.279412 64.484 145.7562
101.006078 64.262 145.0020
101.738010 63.990 144.4444
102.475245 63.676 144.0439
103.217823 63.310 143.7618
103.965782 62.888 143.9231
104.719161 62.441 144.9641
105.477999 62.021 146.6678
106.242336 61.628 148.3687
107.012212 61.214 149.9444
107.787666 60.743 151.9529
108.568740 60.246 155.3381
109.355474 59.846 160.8030
110.147909 59.695 167.6874
110.946086 59.858 174.4748
111.750047 60.284 -179.9912
112.559834 60.854 -176.4214
113.375489 61.446 -174.6742
114.197055 61.987 -174.2368
115.024574 62.433 -174.8746
115.858089 62.753 -176.2007
116.697645 62.945 -177.6760
117.543284 63.034 -178.8887
118.395051 63.064 -179.5266
119.252990 63.088 -179.6388
120.117147 63.132 -179.6320
120.987565 63.190 -179.7114
121.864291 63.259 -179.7233
122.747370 63.362 -179.5259
123.636848 63.534 -179.1888
124.532771 63.809 -178.9484
125.435187 64.203 -179.3292
126.344142 64.690 179.1062
127.259684 65.213 175.8188
128.181860 65.664 170.1331
129.110718 65.905 162.0511
130.046308 65.830 152.2957
130.988677 65.369 141.6187
131.937875 64.483 131.0078
132.893951 63.178 121.5020
133.856956 61.483 113.5640
134.826938 59.406 107.9899
135.803950 56.991 106.7524
136.788041 54.438 112.6104
137.779264 52.212 125.3607
138.777669 50.730 135.1081
139.783309 49.748 136.8435
140.796237 48.782 132.1729
141.816504 47.735 117.9612
142.844165 47.155 82.0837
143.879273 48.105 15.2150
144.921881 50.407 -26.5513
145.972045 52.944 -46.0208
147.029819 55.157 -59.0773
148.095257 56.880 -71.1393
149.168417 58.092 -82.9888
150.249353 58.860 -93.9099
151.338121 59.270 -103.8691
152.434780 59.355 -113.1523
153.539385 59.160 -121.0037
154.651995 58.770 -127.2866
155.772667 58.227 -132.7795
156.901460 57.522 -137.4138
158.038432 56.663 -140.8729
159.183644 55.636 -143.8296
160.337154 54.360 -146.1582
161.499023 52.793 -145.6686
162.669312 51.118 -138.6716
163.848081 50.000 -118.9704
165.035392 50.178 -96.7836
166.231306 51.183 -88.2584
167.435887 52.253 -85.9896
168.649196 53.253 -84.2839
169.871298 54.311 -82.5078
171.102255 55.460 -82.7163
172.342133 56.558 -86.7803
173.590995 57.409 -94.7598
174.848907 57.848 -105.9633
