* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.2 dBFS, measurement signal peak level -22.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:58:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9054 ms (-311 mm, -(1 ft 0.23 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: curtains-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 28.271 9.3314
10.166832 28.320 6.8957
10.240505 28.379 4.3423
10.314712 28.439 1.8001
10.389457 28.493 -0.6022
10.464743 28.513 -2.7834
10.540575 28.479 -4.9643
10.616956 28.408 -7.0876
10.693891 28.307 -9.0043
10.771383 28.177 -10.5366
10.849437 28.006 -11.7170
10.928057 27.802 -12.6171
11.007246 27.589 -13.1358
11.087009 27.395 -13.1434
11.167350 27.222 -12.4964
11.248273 27.056 -11.1767
11.329783 26.941 -9.3065
11.411883 26.932 -7.0798
11.494578 27.068 -4.6020
11.577873 27.338 -1.7199
11.661771 27.716 1.0939
11.746277 28.180 3.3628
11.831395 28.728 4.9015
11.917130 29.374 6.0632
12.003487 30.072 6.6699
12.090469 30.765 6.5761
12.178081 31.427 5.7877
12.266329 32.077 4.5669
12.355216 32.702 2.9959
12.444747 33.284 1.1053
12.534926 33.815 -1.1562
12.625760 34.301 -3.7027
12.717251 34.740 -6.3613
12.809406 35.131 -9.0397
12.902228 35.471 -11.9305
12.995723 35.763 -14.9352
13.089895 36.008 -17.8526
13.184750 36.207 -20.6342
13.280292 36.358 -23.5024
13.376526 36.466 -26.2907
13.473458 36.537 -28.7966
13.571093 36.568 -31.1238
13.669434 36.563 -33.3194
13.768489 36.538 -35.2460
13.868261 36.497 -36.7901
13.968756 36.440 -38.0295
14.069979 36.387 -38.9935
14.171936 36.359 -39.6702
14.274632 36.355 -39.9565
14.378072 36.382 -40.0069
14.482261 36.459 -40.0334
14.587206 36.592 -39.9479
14.692910 36.771 -39.8153
14.799381 36.984 -39.8885
14.906624 37.231 -40.2199
15.014643 37.503 -40.7178
15.123446 37.776 -41.4525
15.233036 38.034 -42.4930
15.343421 38.280 -43.7731
15.454606 38.498 -45.1562
15.566596 38.676 -46.6415
15.679398 38.816 -48.2753
15.793018 38.917 -49.8262
15.907460 38.975 -51.2207
16.022732 38.995 -52.5548
16.138840 38.989 -53.6288
16.255788 38.964 -54.3382
16.373585 38.925 -54.7566
16.492234 38.904 -54.8547
16.611744 38.911 -54.5431
16.732119 38.954 -53.9235
16.853367 39.055 -53.2204
16.975494 39.225 -52.3609
17.098505 39.449 -51.5300
17.222408 39.721 -50.9873
17.347209 40.038 -50.6424
17.472914 40.371 -50.5745
17.599530 40.700 -50.8632
17.727063 41.023 -51.4200
17.855521 41.319 -52.1216
17.984909 41.581 -53.0195
18.115235 41.809 -53.9764
18.246506 42.002 -54.8253
18.378727 42.161 -55.6446
18.511907 42.300 -56.2595
18.646052 42.422 -56.6205
18.781169 42.541 -56.7577
18.917265 42.677 -56.6138
19.054347 42.831 -56.1995
19.192423 43.021 -55.6178
19.331499 43.254 -54.8721
19.471583 43.530 -54.0473
19.612682 43.850 -53.2573
19.754804 44.214 -52.4905
19.897956 44.613 -51.8641
20.042144 45.046 -51.3536
20.187378 45.509 -51.0404
20.333664 45.997 -50.9176
20.481010 46.507 -51.0190
20.629424 47.032 -51.4183
20.778913 47.568 -52.0586
20.929486 48.103 -53.0608
21.081150 48.631 -54.3497
21.233912 49.136 -55.9460
21.387782 49.612 -57.8538
21.542767 50.045 -59.9389
21.698874 50.427 -62.2366
21.856113 50.754 -64.5807
22.014492 51.020 -66.8923
22.174018 51.229 -69.1119
22.334700 51.387 -71.0145
22.496546 51.506 -72.6434
22.659566 51.611 -73.7693
22.823766 51.717 -74.4631
22.989157 51.864 -74.7148
23.155745 52.064 -74.5881
23.323542 52.341 -74.3778
23.492554 52.690 -74.1161
23.662790 53.094 -74.1601
23.834261 53.537 -74.4550
24.006973 53.982 -75.1125
24.180938 54.417 -76.0212
24.356163 54.823 -77.0198
24.532658 55.205 -78.0270
24.710431 55.575 -78.7844
24.889493 55.962 -79.3324
25.069853 56.402 -79.5367
25.251519 56.923 -79.7048
25.434502 57.548 -79.8873
25.618811 58.265 -80.6341
25.804456 59.059 -81.9482
25.991445 59.877 -84.2510
26.179790 60.687 -87.3586
26.369500 61.441 -91.3810
26.560584 62.116 -96.0691
26.753053 62.686 -101.3759
26.946917 63.139 -106.9961
27.142185 63.464 -112.9683
27.338869 63.658 -118.8351
27.536977 63.719 -124.7233
27.736522 63.653 -130.1220
27.937512 63.472 -135.0600
28.139959 63.195 -139.1636
28.343872 62.869 -142.3058
28.549264 62.538 -144.2915
28.756143 62.287 -145.2052
28.964522 62.171 -145.3274
29.174411 62.238 -145.0547
29.385821 62.468 -145.2007
29.598763 62.818 -145.9814
29.813248 63.208 -147.7797
30.029287 63.574 -150.3969
30.246891 63.872 -153.7561
30.466073 64.067 -157.5173
30.686842 64.148 -161.3952
30.909212 64.114 -165.2272
31.133193 63.978 -168.5740
31.358797 63.766 -171.2878
31.586035 63.515 -173.1255
31.814921 63.291 -173.9444
32.045465 63.160 -173.9077
32.277680 63.175 -173.2181
32.511577 63.370 -172.5245
32.747169 63.713 -172.3698
32.984469 64.155 -173.0388
33.223488 64.622 -174.7379
33.464239 65.052 -177.3047
33.706735 65.408 179.5032
33.950987 65.668 175.8960
34.197010 65.829 172.2527
34.444816 65.909 168.8103
34.694417 65.935 165.7144
34.945827 65.945 163.1034
35.199059 65.987 160.8865
35.454126 66.086 158.8128
35.711041 66.248 156.6266
35.969818 66.453 154.0392
36.230470 66.658 150.8589
36.493011 66.818 147.1472
36.757455 66.901 143.0417
37.023814 66.885 138.7299
37.292104 66.763 134.4933
37.562338 66.548 130.6127
37.834530 66.269 127.2394
38.108695 65.957 124.4562
38.384846 65.650 122.2506
38.662999 65.375 120.4749
38.943167 65.141 118.8924
39.225365 64.938 117.3363
39.509608 64.747 115.7286
39.795911 64.548 114.0729
40.084289 64.329 112.4397
40.374756 64.081 110.9366
40.667328 63.804 109.6861
40.962020 63.505 108.8258
41.258848 63.198 108.5172
41.557827 62.918 108.9158
41.858972 62.715 110.0764
42.162299 62.652 111.8177
42.467824 62.772 113.6508
42.775564 63.069 114.9160
43.085533 63.481 115.0885
43.397749 63.918 113.9990
43.712227 64.307 111.8168
44.028983 64.601 108.8895
44.348036 64.787 105.5841
44.669400 64.873 102.1975
44.993093 64.879 98.9156
45.319131 64.827 95.8096
45.647532 64.732 92.8674
45.978313 64.601 90.0515
46.311491 64.431 87.3539
46.647083 64.221 84.8214
46.985107 63.973 82.5392
47.325581 63.699 80.5872
47.668521 63.415 78.9951
48.013947 63.140 77.7255
48.361876 62.882 76.6936
48.712326 62.647 75.8105
49.065315 62.433 75.0132
49.420863 62.238 74.2625
49.778987 62.061 73.5174
50.139706 61.899 72.7185
50.503039 61.743 71.8024
50.869005 61.578 70.7390
51.237623 61.388 69.5661
51.608912 61.159 68.3952
51.982891 60.889 67.3799
52.359580 60.586 66.6630
52.739000 60.266 66.3250
53.121168 59.948 66.3679
53.506106 59.642 66.7470
53.893833 59.355 67.4351
54.284370 59.092 68.4545
54.677737 58.868 69.8421
55.073955 58.702 71.5494
55.473043 58.609 73.3741
55.875024 58.577 75.0428
56.279917 58.569 76.4196
56.687745 58.544 77.6686
57.098527 58.493 79.2606
57.512287 58.463 81.7486
57.929045 58.559 85.3698
58.348822 58.886 89.7207
58.771642 59.487 93.8505
59.197525 60.317 96.8829
59.626495 61.297 98.4284
60.058573 62.359 98.4048
60.493782 63.444 96.7239
60.932145 64.487 93.3041
61.373685 65.418 88.2362
61.818424 66.176 81.8135
62.266386 66.721 74.5305
62.717593 67.044 66.9057
63.172071 67.168 59.4582
63.629842 67.143 52.5950
64.090930 67.032 46.4576
64.555359 66.898 40.9408
65.023154 66.782 35.7244
65.494339 66.689 30.4576
65.968938 66.600 24.8860
66.446976 66.488 18.9328
66.928478 66.336 12.6418
67.413469 66.142 6.0653
67.901975 65.911 -0.8334
68.394021 65.649 -8.1716
68.889632 65.354 -16.0837
69.388835 65.026 -24.6311
69.891655 64.688 -33.9122
70.398118 64.388 -44.2574
70.908252 64.166 -56.3296
71.422083 64.017 -70.8987
71.939636 63.889 -88.3945
72.460941 63.725 -108.4956
72.986023 63.506 -130.3292
73.514909 63.261 -152.2868
74.047629 63.067 -172.7870
74.584208 63.016 169.3801
75.124676 63.186 154.5248
75.669061 63.605 142.1931
76.217390 64.240 131.4993
76.769692 65.021 121.5270
77.325997 65.854 111.5214
77.886333 66.633 101.0552
78.450730 67.273 90.1716
79.019216 67.729 79.2045
79.591822 68.004 68.6475
80.168577 68.139 58.8427
80.749512 68.193 49.9387
81.334656 68.228 41.8624
81.924040 68.289 34.3014
82.517696 68.386 26.8274
83.115653 68.489 19.1033
83.717943 68.552 11.0932
84.324598 68.547 3.0533
84.935649 68.481 -4.7409
85.551128 68.378 -12.1758
86.171066 68.259 -19.2477
86.795497 68.145 -25.8958
87.424453 68.076 -32.0620
88.057967 68.095 -38.0456
88.696071 68.193 -44.5690
89.338800 68.272 -52.1790
89.986185 68.203 -60.6132
90.638262 67.918 -68.8064
91.295065 67.472 -75.3992
91.956626 67.057 -79.5211
92.622982 66.925 -81.6149
93.294166 67.220 -83.4977
93.970214 67.856 -87.2411
94.651161 68.588 -93.9030
95.337042 69.173 -103.1561
96.027894 69.475 -113.8064
96.723752 69.470 -124.5632
97.424652 69.205 -134.5652
98.130631 68.741 -143.4160
98.841726 68.130 -150.7776
99.557974 67.451 -156.1541
100.279412 66.840 -159.3855
101.006078 66.431 -161.1868
101.738010 66.268 -162.7246
102.475245 66.291 -164.8811
103.217823 66.388 -168.0703
103.965782 66.440 -172.0527
104.719161 66.399 -175.9375
105.477999 66.324 -178.8000
106.242336 66.346 179.6155
107.012212 66.580 178.6383
107.787666 67.034 176.9182
108.568740 67.576 173.3032
109.355474 68.031 167.8678
110.147909 68.316 161.6931
110.946086 68.462 155.7495
111.750047 68.537 150.0437
112.559834 68.549 143.9402
113.375489 68.439 137.1868
114.197055 68.143 130.0425
115.024574 67.609 122.7961
115.858089 66.783 116.0452
116.697645 65.652 111.1777
117.543284 64.326 109.8728
118.395051 63.058 112.6904
119.252990 62.128 118.2297
120.117147 61.629 123.7423
120.987565 61.378 127.4464
121.864291 61.182 131.0497
122.747370 61.201 138.0095
123.636848 61.841 147.9456
124.532771 63.140 155.4071
125.435187 64.700 157.2759
126.344142 66.139 153.8762
127.259684 67.234 146.6304
128.181860 67.902 137.2239
129.110718 68.136 126.7241
130.046308 67.897 115.3154
130.988677 67.068 103.5776
131.937875 65.534 93.3533
132.893951 63.348 87.9323
133.856956 61.464 100.1947
134.826938 62.514 170.3608
135.803950 65.687 -173.2847
136.788041 68.492 177.1436
137.779264 70.320 161.0546
138.777669 71.187 143.7600
139.783309 71.278 128.3049
140.796237 70.833 116.0784
141.816504 70.065 107.0197
142.844165 69.104 100.6841
143.879273 68.032 96.9768
144.921881 66.941 96.2656
145.972045 66.018 99.2126
147.029819 65.563 105.3025
148.095257 65.782 111.8057
149.168417 66.558 115.6445
150.249353 67.535 114.9390
151.338121 68.383 110.1433
152.434780 68.953 103.0540
153.539385 69.228 94.8256
154.651995 69.213 85.7461
155.772667 68.893 75.9221
156.901460 68.252 65.8079
158.038432 67.333 55.7354
159.183644 66.228 44.7979
160.337154 65.045 30.5446
161.499023 63.970 8.7609
162.669312 63.444 -26.8763
163.848081 63.977 -75.3324
165.035392 65.322 -116.0336
166.231306 66.777 -143.4641
167.435887 68.026 -162.2592
168.649196 69.093 -175.5026
169.871298 69.994 173.7152
171.102255 70.618 163.3623
172.342133 70.899 154.2288
173.590995 70.951 147.9583
174.848907 70.988 144.5380
176.115934 71.198 143.3033
