* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.6 dBFS, measurement signal peak level -25.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:57:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0130 ms (-4.4 mm, -0.18 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: curtains-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 19.197 -1.3343
10.166832 18.701 -5.7476
10.240505 18.089 -10.5625
10.314712 17.446 -15.5268
10.389457 16.735 -20.1673
10.464743 15.676 -23.8737
10.540575 13.910 -27.2763
10.616956 11.789 -30.2932
10.693891 9.848 -31.8390
10.771383 8.704 -28.3726
10.849437 8.646 -7.6681
10.928057 9.416 50.4219
11.007246 10.675 79.5347
11.087009 12.173 84.9269
11.167350 13.894 83.5692
11.248273 15.904 80.4778
11.329783 17.946 76.6963
11.411883 19.747 72.4127
11.494578 21.159 67.4480
11.577873 22.282 61.9625
11.661771 23.214 56.4828
11.746277 24.035 51.1588
11.831395 24.784 45.7191
11.917130 25.429 39.7880
12.003487 25.976 33.8500
12.090469 26.442 28.1999
12.178081 26.836 22.5896
12.266329 27.148 16.4970
12.355216 27.377 10.4043
12.444747 27.524 4.7183
12.534926 27.592 -0.9677
12.625760 27.574 -7.0907
12.717251 27.454 -13.1288
12.809406 27.222 -18.5765
12.902228 26.893 -24.2006
12.995723 26.431 -30.1046
13.089895 25.766 -35.6524
13.184750 24.838 -40.3466
13.280292 23.651 -45.0843
13.376526 22.246 -49.4274
13.473458 20.617 -51.7626
13.571093 18.470 -49.9464
13.669434 16.212 -36.2859
13.768489 15.127 14.7362
13.868261 16.530 52.0422
13.968756 19.650 60.9981
14.069979 22.880 61.4601
14.171936 25.336 58.5675
14.274632 27.168 54.2911
14.378072 28.663 49.6447
14.482261 29.967 44.8060
14.587206 31.087 39.4660
14.692910 32.027 33.9995
14.799381 32.844 28.7411
14.906624 33.558 23.3723
15.014643 34.158 17.8302
15.123446 34.668 12.5442
15.233036 35.096 7.4011
15.343421 35.439 2.1057
15.454606 35.708 -2.9373
15.566596 35.909 -7.6901
15.679398 36.041 -12.4932
15.793018 36.112 -17.0265
15.907460 36.127 -21.1852
16.022732 36.087 -25.2389
16.138840 36.003 -28.9802
16.255788 35.880 -32.2988
16.373585 35.722 -35.3462
16.492234 35.545 -38.0603
16.611744 35.356 -40.3437
16.732119 35.160 -42.2718
16.853367 34.975 -43.9437
16.975494 34.806 -45.2605
17.098505 34.654 -46.3148
17.222408 34.525 -47.2691
17.347209 34.419 -48.0411
17.472914 34.329 -48.7028
17.599530 34.248 -49.3349
17.727063 34.175 -49.8839
17.855521 34.102 -50.2944
17.984909 34.026 -50.5809
18.115235 33.956 -50.6826
18.246506 33.900 -50.4964
18.378727 33.863 -50.0314
18.511907 33.871 -49.3403
18.646052 33.939 -48.3754
18.781169 34.073 -47.2824
18.917265 34.285 -46.3037
19.054347 34.574 -45.3900
19.192423 34.916 -44.8245
19.331499 35.300 -44.6529
19.471583 35.705 -44.8261
19.612682 36.101 -45.3980
19.754804 36.483 -46.2914
19.897956 36.836 -47.3198
20.042144 37.155 -48.5214
20.187378 37.447 -49.6956
20.333664 37.714 -50.7574
20.481010 37.969 -51.7227
20.629424 38.233 -52.4785
20.778913 38.511 -53.0813
20.929486 38.824 -53.6583
21.081150 39.173 -54.1695
21.233912 39.552 -54.8833
21.387782 39.961 -55.7869
21.542767 40.373 -56.9703
21.698874 40.774 -58.5131
21.856113 41.146 -60.2798
22.014492 41.466 -62.2909
22.174018 41.730 -64.4066
22.334700 41.925 -66.4470
22.496546 42.055 -68.3960
22.659566 42.127 -69.9237
22.823766 42.156 -71.0850
22.989157 42.174 -71.6168
23.155745 42.204 -71.5728
23.323542 42.294 -71.0150
23.492554 42.459 -70.0145
23.662790 42.720 -68.9806
23.834261 43.068 -67.9670
24.006973 43.473 -67.3431
24.180938 43.915 -67.0414
24.356163 44.356 -67.0949
24.532658 44.788 -67.3759
24.710431 45.202 -67.6881
24.889493 45.616 -67.9821
25.069853 46.052 -68.0814
25.251519 46.539 -68.1646
25.434502 47.103 -68.2102
25.618811 47.746 -68.6776
25.804456 48.465 -69.5745
25.991445 49.220 -71.3547
26.179790 49.983 -73.8796
26.369500 50.706 -77.3267
26.560584 51.365 -81.4609
26.753053 51.928 -86.2642
26.946917 52.382 -91.4303
27.142185 52.714 -96.9844
27.338869 52.920 -102.4759
27.536977 52.999 -108.0022
27.736522 52.958 -113.0631
27.937512 52.812 -117.6733
28.139959 52.585 -121.4730
28.343872 52.326 -124.3778
28.549264 52.080 -126.2347
28.756143 51.926 -127.2229
28.964522 51.903 -127.6458
29.174411 52.040 -127.9060
29.385821 52.301 -128.6631
29.598763 52.644 -130.0439
29.813248 52.996 -132.2977
30.029287 53.304 -135.1782
30.246891 53.534 -138.6058
30.466073 53.663 -142.2134
30.686842 53.687 -145.7529
30.909212 53.613 -149.0440
31.133193 53.466 -151.7185
31.358797 53.281 -153.7010
31.586035 53.099 -154.8388
31.814921 52.978 -155.2131
32.045465 52.958 -155.0795
32.277680 53.061 -154.7013
32.511577 53.280 -154.5684
32.747169 53.579 -154.9364
32.984469 53.918 -155.9115
33.223488 54.250 -157.5310
33.464239 54.543 -159.6217
33.706735 54.779 -162.0185
33.950987 54.952 -164.5597
34.197010 55.070 -167.0089
34.444816 55.150 -169.2600
34.694417 55.216 -171.2684
34.945827 55.293 -173.0345
35.199059 55.401 -174.7228
35.454126 55.541 -176.5169
35.711041 55.699 -178.5595
35.969818 55.852 179.0293
36.230470 55.966 176.2579
36.493011 56.017 173.2662
36.757455 55.992 170.2117
37.023814 55.887 167.2774
37.292104 55.713 164.6729
37.562338 55.491 162.5306
37.834530 55.243 160.8826
38.108695 54.988 159.7217
38.384846 54.736 159.0083
38.662999 54.494 158.7076
38.943167 54.262 158.8428
39.225365 54.053 159.4582
39.509608 53.882 160.5466
39.795911 53.762 162.0399
40.084289 53.692 163.8592
40.374756 53.663 166.0397
40.667328 53.680 168.9180
40.962020 53.818 173.0809
41.258848 54.240 178.7706
41.557827 55.098 -174.9181
41.858972 56.388 -169.9741
42.162299 57.934 -168.0163
42.467824 59.506 -169.3495
42.775564 60.942 -173.4027
43.085533 62.164 -179.3899
43.397749 63.146 173.3961
43.712227 63.894 165.5284
44.028983 64.425 157.4432
44.348036 64.768 149.4561
44.669400 64.953 141.7823
44.993093 65.012 134.5501
45.319131 64.974 127.8137
45.647532 64.861 121.5808
45.978313 64.688 115.8497
46.311491 64.466 110.6408
46.647083 64.212 106.0006
46.985107 63.945 101.9675
47.325581 63.696 98.5139
47.668521 63.487 95.5111
48.013947 63.331 92.7672
48.361876 63.219 90.1292
48.712326 63.138 87.5719
49.065315 63.088 85.1832
49.420863 63.091 83.0403
49.778987 63.181 81.0586
50.139706 63.380 78.9520
50.503039 63.682 76.3735
50.869005 64.054 73.1084
51.237623 64.470 69.1349
51.608912 64.922 64.4954
51.982891 65.421 59.1007
52.359580 65.967 52.6512
52.739000 66.525 44.7613
53.121168 67.023 35.1820
53.506106 67.379 23.9276
53.893833 67.520 11.2134
54.284370 67.390 -2.6069
54.677737 66.953 -17.0800
55.073955 66.192 -31.6998
55.473043 65.110 -45.9302
55.875024 63.734 -59.2507
56.279917 62.130 -71.2479
56.687745 60.405 -81.7860
57.098527 58.698 -91.3433
57.512287 57.124 -100.9977
57.929045 55.727 -111.8585
58.348822 54.504 -124.5455
58.771642 53.480 -139.1612
59.197525 52.769 -155.4280
59.626495 52.518 -172.8203
60.058573 52.769 169.3541
60.493782 53.400 151.6888
60.932145 54.202 134.5532
61.373685 55.002 118.0695
61.818424 55.686 102.3187
62.266386 56.198 87.4325
62.717593 56.526 73.4833
63.172071 56.691 60.6497
63.629842 56.749 49.1047
64.090930 56.774 38.8000
64.555359 56.842 29.4651
65.023154 56.994 20.6244
65.494339 57.225 11.8497
65.968938 57.504 2.9390
66.446976 57.805 -6.0444
66.928478 58.128 -14.9152
67.413469 58.496 -23.5544
67.901975 58.930 -32.0078
68.394021 59.434 -40.4388
68.889632 59.993 -48.9606
69.388835 60.589 -57.5413
69.891655 61.224 -66.0595
70.398118 61.920 -74.5175
70.908252 62.687 -83.1810
71.422083 63.486 -92.5100
71.939636 64.240 -102.7324
72.460941 64.865 -113.6695
72.986023 65.320 -124.8351
73.514909 65.619 -135.6122
74.047629 65.821 -145.6394
74.584208 65.997 -154.9115
75.124676 66.192 -163.8197
75.669061 66.400 -172.8469
76.217390 66.573 177.6575
76.769692 66.653 167.5936
77.325997 66.583 157.0010
77.886333 66.310 146.0695
78.450730 65.788 134.9978
79.019216 64.965 124.0027
79.591822 63.770 113.4230
80.168577 62.100 103.9194
80.749512 59.849 97.3889
81.334656 57.179 100.8232
81.924040 55.682 142.0226
82.517696 57.284 -175.9114
83.115653 60.086 -171.0056
83.717943 62.523 -176.0195
84.324598 64.395 175.6002
84.935649 65.759 165.8859
85.551128 66.702 155.9644
86.171066 67.324 146.6107
86.795497 67.736 138.2781
87.424453 68.048 131.0200
88.057967 68.338 124.4875
88.696071 68.635 118.1799
89.338800 68.933 111.8073
89.986185 69.230 105.3774
90.638262 69.554 98.8760
91.295065 69.928 91.8896
91.956626 70.317 83.6477
92.622982 70.604 73.5630
93.294166 70.639 61.7493
93.970214 70.300 49.0842
94.651161 69.539 36.9368
95.337042 68.410 26.7333
96.027894 67.062 19.3335
96.723752 65.686 14.4850
97.424652 64.422 11.1288
98.130631 63.314 8.2583
98.841726 62.325 5.2090
99.557974 61.371 1.7695
100.279412 60.377 -1.6788
101.006078 59.332 -4.6415
101.738010 58.271 -7.1201
102.475245 57.220 -9.4459
103.217823 56.183 -11.9086
103.965782 55.144 -15.0452
104.719161 54.024 -19.4685
105.477999 52.691 -24.9032
106.242336 51.062 -30.0227
107.012212 49.213 -33.3298
107.787666 47.495 -34.7544
108.568740 46.522 -38.7583
109.355474 46.596 -52.1622
110.147909 47.367 -75.4048
110.946086 48.476 -101.8679
111.750047 49.802 -124.4640
112.559834 51.265 -141.1742
113.375489 52.776 -153.2106
114.197055 54.296 -162.0850
115.024574 55.811 -169.2743
115.858089 57.244 -176.4515
116.697645 58.468 175.5347
117.543284 59.388 167.0948
118.395051 59.996 159.2765
119.252990 60.376 153.2555
120.117147 60.716 149.9352
120.987565 61.253 149.2303
121.864291 62.115 149.2765
122.747370 63.202 147.8021
123.636848 64.321 144.1868
124.532771 65.346 138.9576
125.435187 66.220 132.6447
126.344142 66.932 125.8501
127.259684 67.527 119.2546
128.181860 68.089 113.0806
129.110718 68.668 106.7445
130.046308 69.217 99.3165
130.988677 69.623 90.5471
131.937875 69.817 81.2002
132.893951 69.825 72.1915
133.856956 69.731 63.6943
134.826938 69.608 55.3457
135.803950 69.488 46.3022
136.788041 69.283 35.0385
137.779264 68.760 20.8883
138.777669 67.686 4.9352
139.783309 65.938 -11.4282
140.796237 63.489 -28.1792
141.816504 60.448 -48.6333
142.844165 57.748 -109.7374
143.879273 57.605 144.4088
144.921881 59.330 120.7476
145.972045 60.916 106.1359
147.029819 61.949 95.3246
148.095257 62.559 87.5594
149.168417 62.947 82.4066
150.249353 63.291 79.1272
151.338121 63.731 77.1763
152.434780 64.339 75.2156
153.539385 64.983 70.8781
154.651995 65.394 63.5089
155.772667 65.359 54.7731
156.901460 64.839 47.4011
158.038432 63.987 43.7098
159.183644 63.072 43.9353
160.337154 62.361 47.4048
161.499023 62.125 53.6527
162.669312 62.551 60.3409
163.848081 63.557 65.0359
165.035392 64.816 65.1201
166.231306 65.907 59.6564
167.435887 66.557 50.6523
168.649196 66.660 40.4397
169.871298 66.216 31.0543
171.102255 65.313 24.5120
172.342133 64.173 22.8396
173.590995 63.159 25.9639
174.848907 62.528 30.0697
176.115934 62.298 34.2406
