* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -32.0 dBFS, measurement signal peak level -26.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:57:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0458 ms (16 mm, 0.62 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: curtains-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 17.934 97.3566
10.166832 18.238 91.2843
10.240505 18.605 85.1937
10.314712 18.982 79.3109
10.389457 19.360 73.8213
10.464743 19.728 68.7941
10.540575 20.078 63.8830
10.616956 20.416 59.1269
10.693891 20.741 54.6635
10.771383 21.052 50.6263
10.849437 21.345 46.9047
10.928057 21.623 43.3632
11.007246 21.893 40.0460
11.087009 22.161 37.0199
11.167350 22.427 34.3272
11.248273 22.689 31.8827
11.329783 22.953 29.6188
11.411883 23.229 27.4925
11.494578 23.521 25.5214
11.577873 23.827 23.7662
11.661771 24.145 22.1006
11.746277 24.476 20.4005
11.831395 24.823 18.6253
11.917130 25.185 16.9022
12.003487 25.556 15.1420
12.090469 25.925 13.2371
12.178081 26.290 11.1360
12.266329 26.653 8.9297
12.355216 27.005 6.6260
12.444747 27.334 4.2021
12.534926 27.638 1.5817
12.625760 27.919 -1.2019
12.717251 28.168 -4.0387
12.809406 28.379 -6.8717
12.902228 28.551 -9.8846
12.995723 28.683 -12.9979
13.089895 28.770 -16.0283
13.184750 28.808 -18.9349
13.280292 28.796 -21.9494
13.376526 28.735 -24.8879
13.473458 28.621 -27.5107
13.571093 28.452 -29.9407
13.669434 28.230 -32.2112
13.768489 27.968 -34.1018
13.868261 27.663 -35.4155
13.968756 27.314 -36.2226
14.069979 26.965 -36.4666
14.171936 26.652 -36.0300
14.274632 26.367 -34.6900
14.378072 26.153 -32.6565
14.482261 26.076 -30.3364
14.587206 26.164 -27.6329
14.692910 26.388 -24.8257
14.799381 26.721 -22.5740
14.906624 27.162 -21.0160
15.014643 27.691 -19.9989
15.123446 28.237 -19.6962
15.233036 28.761 -20.1545
15.343421 29.272 -21.1663
15.454606 29.744 -22.5377
15.566596 30.158 -24.2522
15.679398 30.519 -26.3101
15.793018 30.828 -28.4166
15.907460 31.083 -30.5113
16.022732 31.286 -32.7056
16.138840 31.448 -34.7417
16.255788 31.575 -36.5467
16.373585 31.670 -38.2239
16.492234 31.755 -39.6419
16.611744 31.834 -40.7406
16.732119 31.917 -41.5989
16.853367 32.023 -42.2676
16.975494 32.158 -42.6865
17.098505 32.322 -42.9755
17.222408 32.521 -43.2823
17.347209 32.757 -43.5413
17.472914 33.015 -43.8694
17.599530 33.291 -44.3471
17.727063 33.580 -44.9184
17.855521 33.869 -45.5959
17.984909 34.152 -46.3961
18.115235 34.429 -47.2611
18.246506 34.693 -48.1403
18.378727 34.946 -49.0527
18.511907 35.191 -49.9392
18.646052 35.429 -50.7837
18.781169 35.661 -51.5982
18.917265 35.892 -52.3714
19.054347 36.122 -53.1077
19.192423 36.349 -53.8141
19.331499 36.573 -54.5059
19.471583 36.792 -55.1570
19.612682 37.002 -55.7507
19.754804 37.205 -56.2920
19.897956 37.403 -56.6913
20.042144 37.597 -56.9612
20.187378 37.800 -57.0706
20.333664 38.019 -56.9721
20.481010 38.265 -56.7445
20.629424 38.553 -56.4434
20.778913 38.886 -56.0963
20.929486 39.264 -55.9553
21.081150 39.684 -55.9664
21.233912 40.123 -56.3423
21.387782 40.571 -57.0781
21.542767 41.005 -58.1303
21.698874 41.406 -59.5477
21.856113 41.763 -61.1406
22.014492 42.062 -62.8478
22.174018 42.306 -64.5598
22.334700 42.496 -66.0374
22.496546 42.646 -67.3026
22.659566 42.779 -68.0905
22.823766 42.915 -68.4775
22.989157 43.098 -68.4454
23.155745 43.340 -68.0755
23.323542 43.666 -67.7062
23.492554 44.070 -67.3747
23.662790 44.527 -67.4825
23.834261 45.018 -67.9493
24.006973 45.498 -68.8882
24.180938 45.952 -70.1573
24.356163 46.358 -71.5611
24.532658 46.718 -72.9951
24.710431 47.044 -74.1371
24.889493 47.366 -74.9942
25.069853 47.725 -75.3514
25.251519 48.160 -75.4974
25.434502 48.709 -75.4565
25.618811 49.369 -75.8586
25.804456 50.131 -76.7496
25.991445 50.937 -78.6704
26.179790 51.752 -81.4443
26.369500 52.516 -85.2340
26.560584 53.203 -89.7589
26.753053 53.781 -94.9770
26.946917 54.236 -100.5497
27.142185 54.555 -106.5140
27.338869 54.735 -112.3782
27.536977 54.772 -118.2719
27.736522 54.672 -123.6469
27.937512 54.448 -128.5285
28.139959 54.120 -132.5042
28.343872 53.740 -135.4366
28.549264 53.355 -137.0947
28.756143 53.060 -137.5918
28.964522 52.917 -137.2384
29.174411 52.975 -136.5151
29.385821 53.204 -136.2928
29.598763 53.555 -136.7987
29.813248 53.939 -138.3809
30.029287 54.291 -140.7867
30.246891 54.569 -143.9144
30.466073 54.744 -147.3847
30.686842 54.810 -150.9293
30.909212 54.770 -154.3749
31.133193 54.642 -157.3391
31.358797 54.452 -159.7075
31.586035 54.233 -161.2871
31.814921 54.040 -161.9875
32.045465 53.924 -161.9228
32.277680 53.930 -161.2379
32.511577 54.089 -160.3914
32.747169 54.392 -159.8243
32.984469 54.810 -159.8233
33.223488 55.292 -160.6399
33.464239 55.782 -162.2805
33.706735 56.246 -164.6026
33.950987 56.655 -167.4725
34.197010 56.997 -170.6375
34.444816 57.275 -173.8959
34.694417 57.501 -177.1245
34.945827 57.695 179.7964
35.199059 57.884 176.8772
35.454126 58.084 174.0074
35.711041 58.303 171.0666
35.969818 58.533 167.9005
36.230470 58.754 164.3762
36.493011 58.938 160.5103
36.757455 59.061 156.3853
37.023814 59.106 152.1307
37.292104 59.069 147.9686
37.562338 58.962 144.1479
37.834530 58.815 140.8067
38.108695 58.667 137.9984
38.384846 58.559 135.6592
38.662999 58.521 133.5569
38.943167 58.559 131.3413
39.225365 58.648 128.7763
39.509608 58.754 125.7890
39.795911 58.849 122.4452
40.084289 58.920 118.9047
40.374756 58.982 115.3493
40.667328 59.070 111.8555
40.962020 59.227 108.2584
41.258848 59.474 104.1903
41.557827 59.799 99.2252
41.858972 60.158 93.0342
42.162299 60.488 85.4693
42.467824 60.731 76.5558
42.775564 60.840 66.4389
43.085533 60.786 55.3278
43.397749 60.557 43.4551
43.712227 60.153 31.0565
44.028983 59.589 18.3314
44.348036 58.894 5.4354
44.669400 58.109 -7.5177
44.993093 57.285 -20.4526
45.319131 56.479 -33.3168
45.647532 55.740 -46.0347
45.978313 55.101 -58.4480
46.311491 54.578 -70.2781
46.647083 54.180 -81.1564
46.985107 53.927 -90.7412
47.325581 53.847 -98.8904
47.668521 53.960 -105.7825
48.013947 54.240 -111.8356
48.361876 54.620 -117.4109
48.712326 55.021 -122.5310
49.065315 55.411 -126.8513
49.420863 55.831 -129.9132
49.778987 56.385 -131.5804
50.139706 57.170 -132.3920
50.503039 58.190 -133.3494
50.869005 59.364 -135.2170
51.237623 60.609 -138.1406
51.608912 61.889 -141.9312
51.982891 63.212 -146.5425
52.359580 64.572 -152.2650
52.739000 65.920 -159.5281
53.121168 67.169 -168.5641
53.506106 68.231 -179.2619
53.893833 69.035 168.7294
54.284370 69.538 155.8806
54.677737 69.715 142.7383
55.073955 69.565 129.8820
55.473043 69.106 117.9024
55.875024 68.385 107.3508
56.279917 67.476 98.6394
56.687745 66.477 91.9391
57.098527 65.484 87.0070
57.512287 64.552 83.3411
57.929045 63.682 80.6075
58.348822 62.869 78.8456
58.771642 62.145 78.2111
59.197525 61.578 78.5416
59.626495 61.213 79.2448
60.058573 61.036 79.7006
60.493782 61.002 79.5991
60.932145 61.070 78.8596
61.373685 61.214 77.3493
61.818424 61.389 74.8632
62.266386 61.536 71.3511
62.717593 61.601 67.0170
63.172071 61.555 62.2405
63.629842 61.404 57.4126
64.090930 61.178 52.7672
64.555359 60.918 48.3724
65.023154 60.660 44.1000
65.494339 60.427 39.6730
65.968938 60.210 34.7404
66.446976 59.972 29.0773
66.928478 59.665 22.7109
67.413469 59.260 15.8875
67.901975 58.764 8.8486
68.394021 58.218 1.6164
68.889632 57.667 -6.1567
69.388835 57.129 -15.0496
69.891655 56.596 -25.6045
70.398118 56.071 -38.3164
70.908252 55.578 -53.8360
71.422083 55.151 -72.8771
71.939636 54.785 -95.9838
72.460941 54.417 -122.6740
72.986023 53.940 -151.8351
73.514909 53.222 178.2249
74.047629 52.160 147.9580
74.584208 50.792 115.5090
75.124676 49.652 73.2614
75.669061 49.954 9.5448
76.217390 52.002 -42.9443
76.769692 54.591 -73.3313
77.325997 56.975 -94.5833
77.886333 59.033 -111.4867
78.450730 60.838 -125.8619
79.019216 62.454 -138.9380
79.591822 63.869 -151.7999
80.168577 65.027 -164.8900
80.749512 65.894 -178.0192
81.334656 66.490 169.2872
81.924040 66.867 157.2133
82.517696 67.045 145.5167
83.115653 66.981 133.9674
83.717943 66.599 122.8905
84.324598 65.855 113.3470
84.935649 64.801 106.7678
85.551128 63.614 104.4963
86.171066 62.604 107.0728
86.795497 62.151 113.4127
87.424453 62.476 120.5771
88.057967 63.446 125.5133
88.696071 64.756 127.1346
89.338800 66.180 125.6807
89.986185 67.584 121.4595
90.638262 68.873 114.6960
91.295065 69.971 105.6830
91.956626 70.818 94.7257
92.622982 71.350 82.1317
93.294166 71.498 68.3650
93.970214 71.204 54.1957
94.651161 70.439 40.7003
95.337042 69.231 29.1113
96.027894 67.668 20.5311
96.723752 65.887 15.6432
97.424652 64.063 14.7097
98.130631 62.414 17.6328
98.841726 61.191 23.3384
99.557974 60.548 29.6173
100.279412 60.433 34.5923
101.006078 60.668 37.4465
101.738010 61.063 37.8225
102.475245 61.433 35.4904
103.217823 61.596 30.7991
103.965782 61.426 25.0997
104.719161 60.927 20.3085
105.477999 60.251 17.9458
106.242336 59.664 18.2832
107.012212 59.417 19.9464
107.787666 59.563 20.1301
108.568740 59.866 16.6152
109.355474 60.008 9.7461
110.147909 59.830 1.3744
110.946086 59.364 -6.9315
111.750047 58.745 -15.0082
112.559834 58.061 -24.1237
113.375489 57.274 -35.6241
114.197055 56.296 -50.0975
115.024574 55.106 -68.1527
115.858089 53.799 -90.8641
116.697645 52.596 -118.3652
117.543284 51.838 -146.8715
118.395051 51.740 -170.4017
119.252990 52.182 173.4180
120.117147 52.988 164.0365
120.987565 54.172 160.0177
121.864291 55.714 158.0846
122.747370 57.390 154.7422
123.636848 58.944 148.9824
124.532771 60.250 141.6573
125.435187 61.281 133.7120
126.344142 62.047 125.6515
127.259684 62.559 117.8456
128.181860 62.843 110.8130
129.110718 62.972 105.1742
130.046308 63.068 101.2543
130.988677 63.240 98.3298
131.937875 63.471 94.9734
132.893951 63.642 90.6748
133.856956 63.652 86.1335
134.826938 63.483 82.3779
135.803950 63.204 80.2739
136.788041 62.972 80.7153
137.779264 63.046 83.9053
138.777669 63.571 87.2261
139.783309 64.362 87.4806
140.796237 65.117 84.5632
141.816504 65.663 79.9053
142.844165 65.940 74.5331
143.879273 65.927 69.4043
144.921881 65.696 66.1912
145.972045 65.475 66.3058
147.029819 65.581 69.3201
148.095257 66.205 72.9728
149.168417 67.264 74.6865
150.249353 68.495 72.8861
151.338121 69.635 67.5078
152.434780 70.536 59.7590
153.539385 71.168 50.8672
154.651995 71.544 41.4479
155.772667 71.687 31.9064
156.901460 71.634 22.6178
158.038432 71.427 13.6559
159.183644 71.099 4.8940
160.337154 70.660 -3.9386
161.499023 70.076 -13.2859
162.669312 69.262 -23.3947
163.848081 68.091 -33.8826
165.035392 66.443 -43.2312
166.231306 64.289 -48.7328
167.435887 61.759 -47.8202
168.649196 59.191 -38.6982
169.871298 57.250 -21.0599
171.102255 56.711 -2.0746
172.342133 57.579 12.8060
173.590995 59.147 20.7838
174.848907 60.686 19.8429
176.115934 61.844 13.4573
177.392143 62.566 4.3009
