* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.7 dBFS, measurement signal peak level -23.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:58:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -3.8248 ms (-1.312 m, -(4 ft 3.6 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: curtains-p1-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 16.135 -10.2987
10.166832 16.535 -18.6940
10.240505 17.015 -27.2169
10.314712 17.507 -35.3477
10.389457 17.989 -42.7716
10.464743 18.408 -49.5467
10.540575 18.729 -56.6969
10.616956 18.982 -64.0094
10.693891 19.168 -71.0598
10.771383 19.286 -77.5241
10.849437 19.336 -84.0952
10.928057 19.316 -91.1904
11.007246 19.219 -98.3923
11.087009 19.035 -105.2408
11.167350 18.762 -111.9121
11.248273 18.404 -119.4155
11.329783 17.945 -127.4886
11.411883 17.365 -135.6082
11.494578 16.619 -143.6441
11.577873 15.683 -153.2581
11.661771 14.673 -164.7685
11.746277 13.745 -177.8914
11.831395 12.976 167.1732
11.917130 12.303 146.2416
12.003487 11.860 119.1783
12.090469 11.875 92.2412
12.178081 12.549 69.2598
12.266329 13.796 49.3911
12.355216 15.249 34.1035
12.444747 16.573 22.4280
12.534926 17.684 11.9889
12.625760 18.686 2.0144
12.717251 19.577 -6.8643
12.809406 20.338 -14.6614
12.902228 20.963 -22.6932
12.995723 21.465 -30.7542
13.089895 21.861 -38.2346
13.184750 22.162 -45.2443
13.280292 22.359 -52.8002
13.376526 22.453 -60.3407
13.473458 22.444 -67.2440
13.571093 22.336 -74.3206
13.669434 22.118 -81.8402
13.768489 21.773 -89.1052
13.868261 21.301 -95.8547
13.968756 20.700 -103.1826
14.069979 19.909 -110.7009
14.171936 18.869 -117.4995
14.274632 17.589 -124.4001
14.378072 16.024 -131.7825
14.482261 14.043 -138.6163
14.587206 11.252 -143.8797
14.692910 8.193 -146.6733
14.799381 6.570 -92.9777
14.906624 7.976 -2.9921
15.014643 11.026 -5.4422
15.123446 13.878 -10.7260
15.233036 15.865 -17.7129
15.343421 17.395 -25.5485
15.454606 18.619 -32.8588
15.566596 19.582 -40.3132
15.679398 20.277 -48.5500
15.793018 20.773 -56.3348
15.907460 21.113 -63.9700
16.022732 21.281 -72.3629
16.138840 21.286 -80.3517
16.255788 21.137 -88.1398
16.373585 20.820 -96.6506
16.492234 20.312 -104.7218
16.611744 19.618 -112.6978
16.732119 18.689 -121.3861
16.853367 17.414 -129.6122
16.975494 15.725 -137.9657
17.098505 13.720 -147.4847
17.222408 11.437 -157.3234
17.347209 8.841 -171.5377
17.472914 7.309 77.5306
17.599530 8.517 18.3536
17.727063 11.304 4.5717
17.855521 13.738 -3.7853
17.984909 15.415 -12.0892
18.115235 16.655 -19.6677
18.246506 17.557 -25.9741
18.378727 18.127 -32.5397
18.511907 18.446 -38.0589
18.646052 18.546 -42.7327
18.781169 18.455 -46.8531
18.917265 18.223 -49.3720
19.054347 17.871 -50.5322
19.192423 17.545 -50.2705
19.331499 17.316 -48.0003
19.471583 17.266 -44.5298
19.612682 17.519 -41.0997
19.754804 18.030 -37.8215
19.897956 18.648 -36.2290
20.042144 19.327 -36.1502
20.187378 19.949 -37.2903
20.333664 20.429 -39.7833
20.481010 20.755 -43.0455
20.629424 20.887 -46.7007
20.778913 20.817 -50.9826
20.929486 20.521 -54.9641
21.081150 19.989 -59.1345
21.233912 19.176 -62.6519
21.387782 18.063 -65.3559
21.542767 16.588 -66.6566
21.698874 14.628 -64.8187
21.856113 12.633 -57.2027
22.014492 11.212 -37.1255
22.174018 10.917 -2.6202
22.334700 12.376 23.0768
22.496546 14.733 35.0781
22.659566 16.851 40.5508
22.823766 18.754 42.8877
22.989157 20.464 43.5919
23.155745 22.008 43.2657
23.323542 23.440 41.8013
23.492554 24.758 39.6389
23.662790 25.957 36.4791
23.834261 27.028 32.7208
24.006973 27.954 28.2904
24.180938 28.727 23.4302
24.356163 29.333 18.3424
24.532658 29.764 13.1346
24.710431 30.011 8.2342
24.889493 30.073 3.7810
25.069853 29.954 0.4081
25.251519 29.710 -1.4950
25.434502 29.403 -1.0404
25.618811 29.281 1.9914
25.804456 29.528 7.7974
25.991445 30.312 13.8947
26.179790 31.591 18.8826
26.369500 33.065 20.6591
26.560584 34.585 20.0335
26.753053 35.975 17.1417
26.946917 37.203 13.0034
27.142185 38.245 7.8434
27.338869 39.106 2.3564
27.536977 39.791 -3.4510
27.736522 40.316 -9.0516
27.937512 40.695 -14.4247
28.139959 40.946 -19.3238
28.343872 41.098 -23.5472
28.549264 41.175 -27.0690
28.756143 41.223 -29.7195
28.964522 41.275 -31.6194
29.174411 41.368 -32.7869
29.385821 41.528 -33.5587
29.598763 41.760 -34.0806
29.813248 42.056 -34.6782
30.029287 42.394 -35.5103
30.246891 42.754 -36.6558
30.466073 43.109 -38.1930
30.686842 43.442 -40.0969
30.909212 43.736 -42.3662
31.133193 43.972 -44.9705
31.358797 44.131 -47.8304
31.586035 44.194 -50.9187
31.814921 44.139 -54.0211
32.045465 43.948 -56.8916
32.277680 43.613 -59.2911
32.511577 43.142 -60.6084
32.747169 42.599 -60.3121
32.984469 42.092 -57.8918
33.223488 41.814 -53.1499
33.464239 41.952 -47.3627
33.706735 42.511 -42.2859
33.950987 43.365 -39.3417
34.197010 44.279 -39.0178
34.444816 45.115 -40.6624
34.694417 45.798 -43.6252
34.945827 46.302 -47.3287
35.199059 46.641 -51.0865
35.454126 46.854 -54.5290
35.711041 46.990 -57.4187
35.969818 47.113 -59.5917
36.230470 47.291 -61.2175
36.493011 47.553 -62.7016
36.757455 47.892 -64.4199
37.023814 48.269 -66.6754
37.292104 48.627 -69.6078
37.562338 48.915 -73.0560
37.834530 49.103 -76.7382
38.108695 49.184 -80.3669
38.384846 49.169 -83.6510
38.662999 49.091 -86.3329
38.943167 48.996 -88.3209
39.225365 48.929 -89.7362
39.509608 48.913 -90.8125
39.795911 48.950 -91.8116
40.084289 49.021 -92.9272
40.374756 49.103 -94.2103
40.667328 49.183 -95.5812
40.962020 49.267 -96.9598
41.258848 49.373 -98.3895
41.557827 49.511 -100.0515
41.858972 49.670 -102.1910
42.162299 49.814 -105.0002
42.467824 49.895 -108.5181
42.775564 49.864 -112.5941
43.085533 49.683 -116.9113
43.397749 49.342 -121.0421
43.712227 48.854 -124.5243
44.028983 48.263 -126.9708
44.348036 47.638 -128.1780
44.669400 47.050 -128.2135
44.993093 46.550 -127.3903
45.319131 46.153 -126.0782
45.647532 45.845 -124.4913
45.978313 45.612 -122.6429
46.311491 45.455 -120.4763
46.647083 45.389 -118.0167
46.985107 45.423 -115.4048
47.325581 45.553 -112.8225
47.668521 45.767 -110.4277
48.013947 46.047 -108.3634
48.361876 46.364 -106.7629
48.712326 46.681 -105.6697
49.065315 46.956 -104.9240
49.420863 47.178 -104.1485
49.778987 47.374 -102.9070
50.139706 47.617 -101.0111
50.503039 47.979 -98.7784
50.869005 48.477 -96.9230
51.237623 49.061 -96.0495
51.608912 49.658 -96.2807
51.982891 50.224 -97.3854
52.359580 50.758 -99.1599
52.739000 51.269 -101.6843
53.121168 51.738 -105.2655
53.506106 52.103 -110.1405
53.893833 52.280 -116.2439
54.284370 52.188 -123.1666
54.677737 51.774 -130.1967
55.073955 51.018 -136.3884
55.473043 49.959 -140.6288
55.875024 48.715 -141.8240
56.279917 47.494 -139.3564
56.687745 46.545 -133.8793
57.098527 46.026 -127.2068
57.512287 45.929 -120.9158
57.929045 46.159 -115.8064
58.348822 46.598 -112.3777
58.771642 47.112 -110.8971
59.197525 47.581 -111.1713
59.626495 47.933 -112.7122
60.058573 48.145 -115.1386
60.493782 48.205 -118.3802
60.932145 48.072 -122.5807
61.373685 47.663 -127.8063
61.818424 46.864 -133.7585
62.266386 45.550 -139.6340
62.717593 43.600 -144.0486
63.172071 40.973 -143.7278
63.629842 38.224 -125.1902
64.090930 37.611 -51.5571
64.555359 39.897 -21.2646
65.023154 42.733 -14.0156
65.494339 45.231 -12.0580
65.968938 47.335 -12.5327
66.446976 49.098 -14.3762
66.928478 50.586 -16.8499
67.413469 51.871 -19.5101
67.901975 53.002 -22.2708
68.394021 54.000 -25.2273
68.889632 54.861 -28.3348
69.388835 55.595 -31.2391
69.891655 56.253 -33.5353
70.398118 56.916 -35.1557
70.908252 57.629 -36.5776
71.422083 58.372 -38.4284
71.939636 59.095 -40.8391
72.460941 59.780 -43.5336
72.986023 60.446 -46.3688
73.514909 61.101 -49.6260
74.047629 61.699 -53.6797
74.584208 62.171 -58.5258
75.124676 62.467 -63.6760
75.669061 62.585 -68.5711
76.217390 62.552 -72.7681
76.769692 62.406 -75.9678
77.325997 62.203 -77.7719
77.886333 62.050 -77.8003
78.450730 62.083 -76.4086
79.019216 62.356 -74.9259
79.591822 62.779 -74.5686
80.168577 63.228 -75.2670
80.749512 63.660 -76.2682
81.334656 64.117 -77.1451
81.924040 64.634 -78.2792
82.517696 65.180 -80.2739
83.115653 65.680 -83.2805
83.717943 66.080 -86.9243
84.324598 66.373 -90.6763
84.935649 66.585 -94.2104
85.551128 66.749 -97.4853
86.171066 66.881 -100.5966
86.795497 66.985 -103.4990
87.424453 67.087 -105.9089
88.057967 67.255 -107.6887
88.696071 67.553 -109.3636
89.338800 67.961 -111.9163
89.986185 68.380 -115.9109
90.638262 68.705 -121.1345
91.295065 68.890 -126.9917
91.956626 68.939 -132.9570
92.622982 68.886 -138.7874
93.294166 68.767 -144.5596
93.970214 68.585 -150.5229
94.651161 68.320 -156.7925
95.337042 67.946 -163.2095
96.027894 67.466 -169.5579
96.723752 66.895 -175.8489
97.424652 66.234 177.7068
98.130631 65.459 170.9596
98.841726 64.537 163.9467
99.557974 63.442 156.7875
100.279412 62.160 149.5416
101.006078 60.688 142.1519
101.738010 59.038 134.3105
102.475245 57.253 124.9236
103.217823 55.391 111.5581
103.965782 53.509 90.8854
104.719161 51.768 60.6562
105.477999 50.584 26.8693
106.242336 50.452 3.3293
107.012212 51.437 -7.0056
107.787666 53.108 -10.2188
108.568740 54.988 -11.8717
109.355474 56.826 -13.7919
110.147909 58.543 -16.2577
110.946086 60.101 -19.5033
111.750047 61.484 -23.3157
112.559834 62.702 -27.4143
113.375489 63.750 -31.9584
114.197055 64.610 -36.6740
115.024574 65.332 -40.7273
115.858089 66.012 -43.8932
116.697645 66.712 -46.6947
117.543284 67.431 -49.7252
118.395051 68.121 -53.5111
119.252990 68.709 -58.1112
120.117147 69.159 -62.9344
120.987565 69.498 -67.3925
121.864291 69.784 -71.3024
122.747370 70.065 -74.8197
123.636848 70.364 -78.3755
124.532771 70.659 -82.3688
125.435187 70.920 -86.7797
126.344142 71.137 -91.5667
127.259684 71.277 -97.1320
128.181860 71.274 -103.5658
129.110718 71.077 -110.3676
130.046308 70.668 -117.4069
130.988677 69.991 -124.7229
131.937875 68.975 -131.5615
132.893951 67.597 -136.8586
133.856956 65.862 -139.9326
134.826938 63.771 -139.6381
135.803950 61.419 -133.3176
136.788041 59.429 -114.2633
137.779264 59.498 -71.5566
138.777669 61.826 -41.7013
139.783309 64.516 -35.6851
140.796237 66.749 -37.9865
141.816504 68.456 -43.1512
142.844165 69.713 -49.2676
143.879273 70.613 -55.4451
144.921881 71.234 -61.2222
145.972045 71.664 -66.0906
147.029819 72.002 -69.9319
148.095257 72.305 -73.3982
149.168417 72.568 -76.9066
150.249353 72.800 -80.0979
151.338121 73.038 -83.1189
152.434780 73.258 -86.9358
153.539385 73.341 -92.1907
154.651995 73.137 -98.4609
155.772667 72.572 -103.8595
156.901460 71.746 -106.0853
158.038432 70.894 -104.9105
159.183644 70.174 -102.3337
160.337154 69.619 -98.5482
161.499023 69.359 -91.8683
162.669312 69.616 -83.4869
163.848081 70.375 -76.8282
165.035392 71.367 -73.8053
