* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.0 dBFS, measurement signal peak level -23.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:59:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -4.2796 ms (-1.468 m, -(4 ft 9.8 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: curtains-p1-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 17.348 -3.1006
10.166832 17.636 -4.0168
10.240505 17.985 -5.1109
10.314712 18.345 -6.5159
10.389457 18.708 -8.3622
10.464743 19.076 -10.7604
10.540575 19.451 -13.5747
10.616956 19.827 -16.6876
10.693891 20.190 -20.0621
10.771383 20.530 -23.7227
10.849437 20.846 -27.8192
10.928057 21.141 -32.2685
11.007246 21.415 -36.8912
11.087009 21.667 -41.5895
11.167350 21.894 -46.5046
11.248273 22.098 -51.8178
11.329783 22.280 -57.2839
11.411883 22.439 -62.7044
11.494578 22.578 -68.1157
11.577873 22.694 -73.8787
11.661771 22.787 -79.7654
11.746277 22.859 -85.5156
11.831395 22.909 -91.0860
11.917130 22.936 -96.8945
12.003487 22.939 -102.7505
12.090469 22.918 -108.3696
12.178081 22.871 -113.6906
12.266329 22.798 -119.0901
12.355216 22.699 -124.4082
12.444747 22.574 -129.3693
12.534926 22.421 -133.9484
12.625760 22.241 -138.3816
12.717251 22.043 -142.5685
12.809406 21.834 -146.3033
12.902228 21.607 -149.5275
12.995723 21.374 -152.3666
13.089895 21.161 -154.8836
13.184750 20.984 -156.9891
13.280292 20.836 -158.5011
13.376526 20.733 -159.7243
13.473458 20.697 -161.0061
13.571093 20.740 -162.1268
13.669434 20.846 -163.1439
13.768489 20.993 -164.4676
13.868261 21.174 -166.3244
13.968756 21.391 -168.4640
14.069979 21.608 -170.9571
14.171936 21.792 -173.9717
14.274632 21.947 -177.6139
14.378072 22.058 178.3569
14.482261 22.098 174.0970
14.587206 22.063 169.1934
14.692910 21.947 163.7407
14.799381 21.731 158.1730
14.906624 21.407 152.1599
15.014643 20.970 145.2991
15.123446 20.395 138.1554
15.233036 19.662 130.6205
15.343421 18.774 121.6450
15.454606 17.729 111.6275
15.566596 16.470 100.4295
15.679398 15.046 85.5609
15.793018 13.819 66.3936
15.907460 13.087 42.3151
16.022732 12.828 11.6268
16.138840 13.053 -16.1763
16.255788 13.828 -37.7618
16.373585 14.952 -55.4446
16.492234 15.979 -68.5589
16.611744 16.749 -79.9750
16.732119 17.322 -90.7036
16.853367 17.676 -99.6530
16.975494 17.802 -108.5719
17.098505 17.698 -117.3917
17.222408 17.359 -125.0500
17.347209 16.783 -133.0964
17.472914 15.900 -140.9929
17.599530 14.669 -147.8669
17.727063 13.053 -155.0242
17.855521 10.864 -161.4788
17.984909 7.709 -165.2723
18.115235 4.669 -161.8978
18.246506 4.088 -64.6383
18.378727 6.041 -30.8887
18.511907 8.313 -31.1060
18.646052 10.090 -36.0710
18.781169 11.479 -41.8962
18.917265 12.312 -46.6517
19.054347 12.604 -52.1855
19.192423 12.455 -56.2484
19.331499 11.873 -58.7950
19.471583 10.986 -59.4952
19.612682 9.932 -55.3298
19.754804 8.935 -44.5453
19.897956 8.916 -28.7647
20.042144 10.123 -12.6949
20.187378 11.781 -3.5361
20.333664 13.450 -0.7609
20.481010 14.994 -1.1256
20.629424 16.166 -3.5964
20.778913 17.000 -7.3824
20.929486 17.543 -11.1281
21.081150 17.798 -15.4159
21.233912 17.791 -18.9047
21.387782 17.525 -21.7933
21.542767 17.048 -23.3685
21.698874 16.375 -22.7101
21.856113 15.697 -19.5227
22.014492 15.232 -12.8866
22.174018 15.142 -3.5139
22.334700 15.666 5.9802
22.496546 16.638 13.9397
22.659566 17.759 18.8947
22.823766 18.933 21.6167
22.989157 19.998 22.7510
23.155745 20.948 22.8278
23.323542 21.791 22.4346
23.492554 22.537 21.6800
23.662790 23.210 20.8062
23.834261 23.813 19.8350
24.006973 24.349 18.8622
24.180938 24.813 17.9523
24.356163 25.196 17.3448
24.532658 25.510 17.1831
24.710431 25.777 17.9694
24.889493 26.066 19.8240
25.069853 26.480 23.1660
25.251519 27.126 27.3445
25.434502 28.095 31.9166
25.618811 29.321 35.1599
25.804456 30.739 36.9002
25.991445 32.180 36.3097
26.179790 33.570 34.1199
26.369500 34.824 30.3180
26.560584 35.922 25.5636
26.753053 36.840 19.9865
26.946917 37.576 14.1082
27.142185 38.128 7.8926
27.338869 38.502 1.9713
27.536977 38.704 -3.8069
27.736522 38.756 -8.7686
27.937512 38.689 -12.9573
28.139959 38.551 -15.8865
28.343872 38.431 -17.6094
28.549264 38.404 -18.0417
28.756143 38.563 -17.8746
28.964522 38.912 -17.7110
29.174411 39.423 -18.2322
29.385821 39.989 -19.9489
29.598763 40.537 -22.7377
29.813248 40.984 -26.5396
30.029287 41.292 -30.8171
30.246891 41.440 -35.4465
30.466073 41.423 -39.7975
30.686842 41.260 -43.5853
30.909212 40.983 -46.4684
31.133193 40.669 -47.9973
31.358797 40.411 -48.2462
31.586035 40.300 -47.2760
31.814921 40.412 -46.0009
32.045465 40.720 -45.1830
32.277680 41.157 -45.3496
32.511577 41.610 -46.8232
32.747169 41.998 -49.2748
32.984469 42.270 -52.4408
33.223488 42.395 -55.9158
33.464239 42.374 -59.1567
33.706735 42.229 -61.8705
33.950987 42.000 -63.6682
34.197010 41.765 -64.2500
34.444816 41.617 -63.7550
34.694417 41.626 -62.5356
34.945827 41.833 -61.2776
35.199059 42.191 -60.8453
35.454126 42.615 -61.5571
35.711041 43.019 -63.4208
35.969818 43.330 -66.2701
36.230470 43.503 -69.6757
36.493011 43.524 -73.2161
36.757455 43.398 -76.5566
37.023814 43.149 -79.3615
37.292104 42.819 -81.3260
37.562338 42.466 -82.3788
37.834530 42.143 -82.6493
38.108695 41.882 -82.3884
38.384846 41.690 -81.9194
38.662999 41.545 -81.4951
38.943167 41.418 -81.1498
39.225365 41.291 -80.7859
39.509608 41.166 -80.3317
39.795911 41.046 -79.7983
40.084289 40.927 -79.2827
40.374756 40.782 -78.8867
40.667328 40.560 -78.5146
40.962020 40.217 -77.6595
41.258848 39.765 -75.3804
41.557827 39.337 -70.4445
41.858972 39.219 -62.0913
42.162299 39.710 -51.7351
42.467824 40.832 -43.0348
42.775564 42.278 -38.4388
43.085533 43.712 -37.7710
43.397749 44.959 -39.8275
43.712227 45.967 -43.4876
44.028983 46.736 -47.9424
44.348036 47.290 -52.6438
44.669400 47.662 -57.2246
44.993093 47.888 -61.4502
45.319131 48.008 -65.1987
45.647532 48.056 -68.4491
45.978313 48.059 -71.2621
46.311491 48.031 -73.7442
46.647083 47.978 -75.9985
46.985107 47.896 -78.0814
47.325581 47.780 -79.9866
47.668521 47.630 -81.6633
48.013947 47.453 -83.0629
48.361876 47.259 -84.1872
48.712326 47.053 -85.1082
49.065315 46.832 -85.9286
49.420863 46.574 -86.6927
49.778987 46.255 -87.2981
50.139706 45.856 -87.4669
50.503039 45.384 -86.8098
50.869005 44.877 -84.9714
51.237623 44.396 -81.8090
51.608912 43.997 -77.4067
51.982891 43.725 -71.7645
52.359580 43.671 -64.4719
52.739000 44.019 -55.2149
53.121168 44.944 -45.3528
53.506106 46.363 -38.0034
53.893833 47.966 -35.0946
54.284370 49.456 -36.2738
54.677737 50.669 -40.2321
55.073955 51.552 -45.6714
55.473043 52.116 -51.5515
55.875024 52.406 -57.1008
56.279917 52.495 -61.8367
56.687745 52.464 -65.5477
57.098527 52.385 -68.3428
57.512287 52.302 -70.5394
57.929045 52.222 -72.4355
58.348822 52.138 -74.1802
58.771642 52.046 -75.8362
59.197525 51.940 -77.5052
59.626495 51.803 -79.3556
60.058573 51.595 -81.4905
60.493782 51.262 -83.7687
60.932145 50.759 -85.7174
61.373685 50.077 -86.6315
61.818424 49.264 -85.6665
62.266386 48.438 -82.1418
62.717593 47.771 -75.9243
63.172071 47.437 -67.8126
63.629842 47.511 -59.3412
64.090930 47.934 -51.9012
64.555359 48.568 -46.1265
65.023154 49.285 -41.9026
65.494339 50.016 -38.8095
65.968938 50.737 -36.4869
66.446976 51.442 -34.7943
66.928478 52.121 -33.7157
67.413469 52.758 -33.2043
67.901975 53.340 -33.1456
68.394021 53.858 -33.4266
68.889632 54.303 -33.9664
69.388835 54.663 -34.6381
69.891655 54.930 -35.2189
70.398118 55.113 -35.3989
70.908252 55.237 -34.9360
71.422083 55.336 -33.6534
71.939636 55.453 -31.3582
72.460941 55.663 -27.7628
72.986023 56.078 -22.8358
73.514909 56.794 -17.2316
74.047629 57.821 -12.0992
74.584208 59.090 -8.2743
75.124676 60.516 -6.0998
75.669061 62.018 -5.7921
76.217390 63.505 -7.5970
76.769692 64.885 -11.4352
77.325997 66.093 -16.8791
77.886333 67.103 -23.3523
78.450730 67.919 -30.4042
79.019216 68.549 -37.8003
79.591822 68.992 -45.3823
80.168577 69.240 -52.8759
80.749512 69.309 -59.8206
81.334656 69.258 -65.7185
81.924040 69.183 -70.5095
82.517696 69.148 -74.7737
83.115653 69.138 -79.3029
83.717943 69.072 -84.3748
84.324598 68.881 -89.5470
84.935649 68.562 -94.1914
85.551128 68.159 -97.9966
86.171066 67.716 -101.0433
86.795497 67.249 -103.4435
87.424453 66.773 -105.1023
88.057967 66.311 -105.9969
88.696071 65.882 -106.3113
89.338800 65.484 -105.9885
89.986185 65.159 -104.5490
90.638262 65.015 -101.8014
91.295065 65.161 -98.5280
91.956626 65.605 -96.1104
92.622982 66.231 -95.7594
93.294166 66.853 -97.9514
93.970214 67.313 -102.0794
94.651161 67.559 -106.8184
95.337042 67.660 -111.0859
96.027894 67.727 -114.8375
96.723752 67.812 -118.8420
97.424652 67.881 -123.6833
98.130631 67.874 -129.3923
98.841726 67.750 -135.7913
99.557974 67.481 -142.6807
100.279412 67.056 -149.8081
101.006078 66.488 -156.9751
101.738010 65.798 -164.2034
102.475245 65.003 -171.6833
103.217823 64.111 -179.5629
103.965782 63.149 172.0192
104.719161 62.178 162.6785
105.477999 61.294 151.7579
106.242336 60.636 138.5245
107.012212 60.366 122.3610
107.787666 60.546 103.4380
108.568740 61.076 83.4133
109.355474 61.801 64.6184
110.147909 62.617 48.4606
110.946086 63.461 35.0675
111.750047 64.281 23.8665
112.559834 65.022 14.0690
113.375489 65.613 5.1381
114.197055 66.022 -2.6707
115.024574 66.311 -8.6641
115.858089 66.604 -12.9370
116.697645 66.953 -16.5605
117.543284 67.318 -20.3764
118.395051 67.617 -24.6775
119.252990 67.759 -29.4169
120.117147 67.680 -33.8017
120.987565 67.409 -36.5742
121.864291 67.067 -36.9958
122.747370 66.808 -35.1332
123.636848 66.779 -31.4758
124.532771 67.083 -26.8339
125.435187 67.692 -23.0886
126.344142 68.411 -21.9487
127.259684 69.082 -22.1353
128.181860 69.767 -21.6412
129.110718 70.572 -21.2200
130.046308 71.440 -22.4680
130.988677 72.254 -25.4219
131.937875 72.928 -29.7686
132.893951 73.386 -35.2376
133.856956 73.573 -41.1405
134.826938 73.481 -46.4706
135.803950 73.171 -50.1236
136.788041 72.796 -51.1022
137.779264 72.580 -49.4432
138.777669 72.669 -46.9939
139.783309 73.004 -45.7911
140.796237 73.412 -46.3304
141.816504 73.762 -48.0319
142.844165 74.020 -49.9056
143.879273 74.254 -51.1061
144.921881 74.555 -51.9835
145.972045 74.929 -53.5694
147.029819 75.302 -56.4565
148.095257 75.561 -60.8528
149.168417 75.592 -66.3293
150.249353 75.336 -71.7019
151.338121 74.830 -75.5911
152.434780 74.194 -77.2592
153.539385 73.584 -76.6396
154.651995 73.160 -74.1444
155.772667 72.973 -71.8416
156.901460 72.863 -71.5229
158.038432 72.641 -71.7868
159.183644 72.350 -69.9229
160.337154 72.256 -64.9954
161.499023 72.603 -58.8964
162.669312 73.347 -54.9703
163.848081 74.214 -54.7040
165.035392 74.952 -57.4682
