* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.7 dBFS, measurement signal peak level -19.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 10:00:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.7287 ms (-250 mm, -9.84 in) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: curtains-p1-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 63.015 -66.5774
10.166832 63.141 -68.3399
10.240505 63.293 -70.0925
10.314712 63.450 -71.8371
10.389457 63.609 -73.5758
10.464743 63.770 -75.3092
10.540575 63.934 -77.0338
10.616956 64.101 -78.7529
10.693891 64.268 -80.4706
10.771383 64.437 -82.1911
10.849437 64.606 -83.9108
10.928057 64.777 -85.6289
11.007246 64.948 -87.3505
11.087009 65.120 -89.0809
11.167350 65.293 -90.8210
11.248273 65.467 -92.5662
11.329783 65.640 -94.3196
11.411883 65.814 -96.0845
11.494578 65.986 -97.8636
11.577873 66.158 -99.6552
11.661771 66.329 -101.4571
11.746277 66.498 -103.2676
11.831395 66.665 -105.0883
11.917130 66.830 -106.9232
12.003487 66.992 -108.7647
12.090469 67.152 -110.6051
12.178081 67.308 -112.4443
12.266329 67.460 -114.2907
12.355216 67.610 -116.1328
12.444747 67.757 -117.9587
12.534926 67.900 -119.7706
12.625760 68.041 -121.5748
12.717251 68.180 -123.3613
12.809406 68.318 -125.1207
12.902228 68.455 -126.8561
12.995723 68.591 -128.5713
13.089895 68.729 -130.2663
13.184750 68.869 -131.9378
13.280292 69.012 -133.5836
13.376526 69.158 -135.2176
13.473458 69.309 -136.8537
13.571093 69.465 -138.4794
13.669434 69.626 -140.1029
13.768489 69.791 -141.7501
13.868261 69.962 -143.4296
13.968756 70.139 -145.1255
14.069979 70.318 -146.8606
14.171936 70.500 -148.6557
14.274632 70.684 -150.4975
14.378072 70.868 -152.3889
14.482261 71.050 -154.3408
14.587206 71.228 -156.3567
14.692910 71.403 -158.4265
14.799381 71.571 -160.5406
14.906624 71.731 -162.7064
15.014643 71.884 -164.9203
15.123446 72.026 -167.1552
15.233036 72.158 -169.4092
15.343421 72.280 -171.6922
15.454606 72.390 -173.9699
15.566596 72.490 -176.2317
15.679398 72.579 -178.4937
15.793018 72.659 179.2751
15.907460 72.729 177.0869
16.022732 72.790 174.9278
16.138840 72.845 172.8196
16.255788 72.894 170.7703
16.373585 72.937 168.7723
16.492234 72.976 166.8365
16.611744 73.014 164.9666
16.732119 73.050 163.1593
16.853367 73.087 161.4158
16.975494 73.125 159.7398
17.098505 73.167 158.1251
17.222408 73.214 156.5658
17.347209 73.267 155.0678
17.472914 73.328 153.6116
17.599530 73.399 152.1902
17.727063 73.479 150.8038
17.855521 73.572 149.4134
17.984909 73.676 148.0257
18.115235 73.792 146.6168
18.246506 73.918 145.1502
18.378727 74.055 143.6385
18.511907 74.196 142.0487
18.646052 74.342 140.3707
18.781169 74.489 138.6122
18.917265 74.632 136.7659
19.054347 74.769 134.8322
19.192423 74.898 132.8436
19.331499 75.015 130.7944
19.471583 75.120 128.7118
19.612682 75.212 126.6335
19.754804 75.291 124.5496
19.897956 75.359 122.5099
20.042144 75.417 120.5121
20.187378 75.469 118.5690
20.333664 75.517 116.6956
20.481010 75.564 114.8800
20.629424 75.613 113.1167
20.778913 75.664 111.4041
20.929486 75.719 109.7149
21.081150 75.778 108.0513
21.233912 75.839 106.3994
21.387782 75.901 104.7531
21.542767 75.964 103.1234
21.698874 76.027 101.5098
21.856113 76.090 99.9243
22.014492 76.154 98.3810
22.174018 76.222 96.8766
22.334700 76.297 95.4184
22.496546 76.380 93.9949
22.659566 76.475 92.5841
22.823766 76.582 91.1785
22.989157 76.700 89.7381
23.155745 76.829 88.2630
23.323542 76.965 86.7315
23.492554 77.106 85.1486
23.662790 77.250 83.5305
23.834261 77.397 81.8806
24.006973 77.549 80.2311
24.180938 77.710 78.5736
24.356163 77.886 76.9086
24.532658 78.081 75.2045
24.710431 78.299 73.4047
24.889493 78.539 71.4570
25.069853 78.798 69.2803
25.251519 79.066 66.8336
25.434502 79.334 64.0665
25.618811 79.586 60.9962
25.804456 79.811 57.6122
25.991445 79.997 54.0146
26.179790 80.137 50.2126
26.369500 80.226 46.3611
26.560584 80.264 42.4839
26.753053 80.256 38.7245
26.946917 80.211 35.1198
27.142185 80.139 31.7483
27.338869 80.058 28.6107
27.536977 79.979 25.7163
27.736522 79.919 22.9738
27.937512 79.883 20.3174
28.139959 79.874 17.6366
28.343872 79.884 14.8179
28.549264 79.906 11.8120
28.756143 79.922 8.5543
28.964522 79.921 5.0679
29.174411 79.888 1.3517
29.385821 79.812 -2.5031
29.598763 79.686 -6.4617
29.813248 79.501 -10.4173
30.029287 79.254 -14.2593
30.246891 78.946 -17.9059
30.466073 78.581 -21.1779
30.686842 78.173 -23.9601
30.909212 77.740 -26.1047
31.133193 77.320 -27.5201
31.358797 76.956 -28.2542
31.586035 76.686 -28.4149
31.814921 76.543 -28.4258
32.045465 76.520 -28.6667
32.277680 76.592 -29.4565
32.511577 76.703 -31.0323
32.747169 76.800 -33.3165
32.984469 76.847 -36.1851
33.223488 76.814 -39.3973
33.464239 76.694 -42.6184
33.706735 76.498 -45.6342
33.950987 76.248 -48.2061
34.197010 75.988 -50.1771
34.444816 75.763 -51.6079
34.694417 75.612 -52.6615
34.945827 75.560 -53.6541
35.199059 75.599 -55.0170
35.454126 75.698 -57.0071
35.711041 75.815 -59.7501
35.969818 75.906 -63.2609
36.230470 75.931 -67.3994
36.493011 75.867 -71.9615
36.757455 75.700 -76.7471
37.023814 75.428 -81.5424
37.292104 75.057 -86.1073
37.562338 74.609 -90.2499
37.834530 74.112 -93.8727
38.108695 73.598 -96.9513
38.384846 73.098 -99.5624
38.662999 72.631 -101.8890
38.943167 72.200 -104.1389
39.225365 71.795 -106.4188
39.509608 71.401 -108.7407
39.795911 71.015 -111.0485
40.084289 70.641 -113.2674
40.374756 70.300 -115.3789
40.667328 70.015 -117.4932
40.962020 69.801 -119.8541
41.258848 69.654 -122.7595
41.557827 69.551 -126.4832
41.858972 69.457 -131.2172
42.162299 69.327 -137.0526
42.467824 69.117 -143.9874
42.775564 68.785 -151.9445
43.085533 68.295 -160.7865
43.397749 67.619 -170.3289
43.712227 66.738 179.6446
44.028983 65.647 169.3397
44.348036 64.354 158.9097
44.669400 62.886 148.3994
44.993093 61.286 137.6782
45.319131 59.612 126.4024
45.647532 57.935 114.0905
45.978313 56.336 100.3764
46.311491 54.909 85.4197
46.647083 53.763 70.2362
46.985107 53.007 56.4763
47.325581 52.715 45.5068
47.668521 52.881 37.5496
48.013947 53.394 31.7376
48.361876 54.070 27.0126
48.712326 54.745 22.9449
49.065315 55.343 19.8421
49.420863 55.897 18.3661
49.778987 56.536 18.9445
50.139706 57.405 21.1139
50.503039 58.552 23.4402
50.869005 59.895 24.5135
51.237623 61.309 23.8788
51.608912 62.720 21.8379
51.982891 64.115 18.7535
52.359580 65.500 14.6174
52.739000 66.856 9.0808
53.121168 68.121 1.7994
53.506106 69.211 -7.2644
53.893833 70.051 -17.8165
54.284370 70.588 -29.3619
54.677737 70.794 -41.2891
55.073955 70.667 -52.9377
55.473043 70.236 -63.6520
55.875024 69.556 -72.8657
56.279917 68.710 -80.2172
56.687745 67.792 -85.6806
57.098527 66.872 -89.5825
57.512287 65.985 -92.2870
57.929045 65.141 -93.8668
58.348822 64.371 -94.1843
58.771642 63.736 -93.2975
59.197525 63.292 -91.6934
59.626495 63.052 -89.9830
60.058573 62.998 -88.5261
60.493782 63.112 -87.5315
60.932145 63.369 -87.3790
61.373685 63.712 -88.5225
61.818424 64.058 -91.1436
62.266386 64.326 -94.9861
62.717593 64.474 -99.5636
63.172071 64.498 -104.3885
63.629842 64.422 -109.1190
64.090930 64.279 -113.5967
64.555359 64.107 -117.8047
65.023154 63.938 -121.8766
65.494339 63.791 -126.0840
65.968938 63.657 -130.7609
66.446976 63.505 -136.0792
66.928478 63.304 -141.9717
67.413469 63.044 -148.2742
67.901975 62.736 -154.9739
68.394021 62.385 -162.2810
68.889632 61.976 -170.4180
69.388835 61.487 -179.3896
69.891655 60.924 170.9103
70.398118 60.343 160.2854
70.908252 59.804 147.8958
71.422083 59.312 132.4434
71.939636 58.790 112.9569
72.460941 58.127 89.2435
72.986023 57.245 61.6666
73.514909 56.102 31.4229
74.047629 54.684 -0.0720
74.584208 52.995 -31.6794
75.124676 51.116 -64.2350
75.669061 49.452 -103.2040
76.217390 49.112 -158.7278
76.769692 50.708 145.5552
77.325997 53.194 110.0718
77.886333 55.661 86.3278
78.450730 57.912 68.1785
79.019216 59.948 52.6515
79.591822 61.746 37.7251
80.168577 63.247 22.4912
80.749512 64.415 7.0012
81.334656 65.270 -8.2780
81.924040 65.867 -23.1326
82.517696 66.236 -37.8701
83.115653 66.351 -52.9706
83.717943 66.129 -68.5310
84.324598 65.489 -84.0038
84.935649 64.388 -98.5273
85.551128 62.813 -111.2825
86.171066 60.751 -121.5590
86.795497 58.174 -127.8811
87.424453 55.268 -124.0166
88.057967 53.517 -81.8845
88.696071 55.004 -33.8738
89.338800 58.002 -26.3015
89.986185 60.814 -30.6533
90.638262 63.129 -40.2339
91.295065 64.938 -52.9829
91.956626 66.260 -67.8782
92.622982 67.103 -84.3214
93.294166 67.449 -101.8208
93.970214 67.272 -119.7419
94.651161 66.553 -137.1931
95.337042 65.303 -153.1097
96.027894 63.562 -166.5322
96.723752 61.381 -176.7570
97.424652 58.798 177.4861
98.130631 55.956 -179.4744
98.841726 53.541 -159.5671
99.557974 52.802 -134.4022
100.279412 53.609 -124.8352
101.006078 54.755 -125.1184
101.738010 55.707 -129.4607
102.475245 56.360 -136.2982
103.217823 56.651 -145.2245
103.965782 56.521 -155.1705
104.719161 55.973 -164.5500
105.477999 55.085 -172.1635
106.242336 53.972 -177.4938
107.012212 52.776 -179.9757
107.787666 51.717 -179.2305
108.568740 51.019 -177.6031
109.355474 50.641 -178.9603
110.147909 50.307 176.2135
110.946086 49.831 169.8744
111.750047 49.233 163.2631
112.559834 48.610 155.7401
113.375489 47.998 145.5239
114.197055 47.317 131.2684
115.024574 46.455 112.6240
115.858089 45.356 89.6664
116.697645 44.028 63.2343
117.543284 42.613 36.5172
118.395051 41.494 13.3052
119.252990 40.897 -7.0872
120.117147 40.365 -26.0336
120.987565 39.443 -39.4830
121.864291 38.458 -40.0858
122.747370 38.477 -24.5377
123.636848 39.864 -10.7780
124.532771 41.642 -9.8617
125.435187 43.090 -15.4540
126.344142 43.992 -23.7673
127.259684 44.287 -32.5884
128.181860 44.024 -39.5297
129.110718 43.358 -42.2643
130.046308 42.669 -36.4335
130.988677 42.533 -23.5736
131.937875 43.074 -13.9325
132.893951 44.123 -8.2834
133.856956 46.012 2.6272
134.826938 49.014 25.9410
135.803950 52.274 31.9933
136.788041 54.941 20.9978
137.779264 56.724 3.5049
138.777669 57.602 -15.1995
139.783309 57.725 -31.2378
140.796237 57.380 -42.2542
141.816504 56.934 -47.6921
142.844165 56.785 -48.0122
143.879273 57.172 -46.9148
144.921881 57.894 -49.7731
145.972045 58.572 -56.6807
147.029819 59.033 -64.9087
148.095257 59.287 -72.9653
149.168417 59.382 -80.8452
150.249353 59.324 -88.8892
151.338121 59.115 -96.4841
152.434780 58.842 -102.3740
153.539385 58.630 -107.4565
154.651995 58.429 -114.6162
155.772667 58.012 -124.4265
156.901460 57.182 -134.7085
158.038432 55.907 -142.3938
159.183644 54.365 -144.0898
160.337154 52.970 -139.0200
161.499023 52.167 -131.2283
162.669312 52.084 -124.7944
163.848081 52.392 -124.3257
165.035392 52.556 -130.5630
166.231306 52.199 -139.7920
167.435887 51.221 -147.6416
168.649196 49.738 -150.9993
169.871298 48.155 -145.9944
171.102255 47.522 -123.6055
172.342133 48.657 -96.8232
173.590995 50.452 -95.8892
