* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.7 dBFS, measurement signal peak level -20.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 10:00:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.0840 ms (-2.430 m, -(7 ft 11.7 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: curtains-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 58.630 -61.0032
10.166832 58.737 -62.7776
10.240505 58.866 -64.5858
10.314712 58.999 -66.4171
10.389457 59.132 -68.2639
10.464743 59.260 -70.1274
10.540575 59.379 -72.0400
10.616956 59.490 -73.9783
10.693891 59.592 -75.9106
10.771383 59.683 -77.8074
10.849437 59.762 -79.7057
10.928057 59.830 -81.6178
11.007246 59.886 -83.4988
11.087009 59.932 -85.3021
11.167350 59.967 -87.0217
11.248273 59.989 -88.7045
11.329783 60.003 -90.3175
11.411883 60.012 -91.8195
11.494578 60.017 -93.1804
11.577873 60.017 -94.4257
11.661771 60.016 -95.5588
11.746277 60.023 -96.5767
11.831395 60.043 -97.4615
11.917130 60.073 -98.1905
12.003487 60.116 -98.8163
12.090469 60.182 -99.3986
12.178081 60.274 -99.9449
12.266329 60.391 -100.4029
12.355216 60.531 -100.8642
12.444747 60.693 -101.4256
12.534926 60.879 -102.0795
12.625760 61.089 -102.7858
12.717251 61.313 -103.6164
12.809406 61.542 -104.6352
12.902228 61.780 -105.8105
12.995723 62.023 -107.1209
13.089895 62.261 -108.5742
13.184750 62.488 -110.1861
13.280292 62.707 -111.9515
13.376526 62.914 -113.8236
13.473458 63.104 -115.7639
13.571093 63.275 -117.8127
13.669434 63.429 -119.9491
13.768489 63.565 -122.1058
13.868261 63.681 -124.2643
13.968756 63.777 -126.4753
14.069979 63.857 -128.6845
14.171936 63.920 -130.8404
14.274632 63.968 -132.9845
14.378072 64.001 -135.1071
14.482261 64.023 -137.1740
14.587206 64.036 -139.1878
14.692910 64.039 -141.1639
14.799381 64.035 -143.1000
14.906624 64.027 -144.9908
15.014643 64.012 -146.8439
15.123446 63.993 -148.6745
15.233036 63.970 -150.4889
15.343421 63.943 -152.2836
15.454606 63.909 -154.0681
15.566596 63.869 -155.8516
15.679398 63.822 -157.6321
15.793018 63.767 -159.4027
15.907460 63.701 -161.1645
16.022732 63.626 -162.9217
16.138840 63.540 -164.6588
16.255788 63.443 -166.3706
16.373585 63.335 -168.0632
16.492234 63.216 -169.7287
16.611744 63.086 -171.3632
16.732119 62.944 -172.9711
16.853367 62.790 -174.5569
16.975494 62.624 -176.1222
17.098505 62.441 -177.6628
17.222408 62.240 -179.1786
17.347209 62.017 179.3213
17.472914 61.769 177.8787
17.599530 61.488 176.5102
17.727063 61.174 175.2205
17.855521 60.821 174.1148
17.984909 60.425 173.2158
18.115235 59.990 172.5882
18.246506 59.518 172.3626
18.378727 59.010 172.6067
18.511907 58.490 173.3618
18.646052 57.966 174.7642
18.781169 57.457 176.8214
18.917265 56.995 179.4039
19.054347 56.586 -177.4119
19.192423 56.236 -173.8155
19.331499 55.948 -169.9519
19.471583 55.714 -165.7161
19.612682 55.517 -161.0059
19.754804 55.376 -155.8216
19.897956 55.352 -149.6274
20.042144 55.472 -142.5922
20.187378 55.833 -135.0056
20.333664 56.512 -127.3917
20.481010 57.443 -120.8279
20.629424 58.551 -116.1029
20.778913 59.777 -113.0596
20.929486 60.976 -112.0004
21.081150 62.119 -112.2887
21.233912 63.157 -113.7443
21.387782 64.069 -116.1317
21.542767 64.852 -119.0321
21.698874 65.499 -122.4353
21.856113 66.014 -126.0119
22.014492 66.399 -129.6345
22.174018 66.657 -133.2170
22.334700 66.797 -136.4317
22.496546 66.827 -139.3407
22.659566 66.766 -141.5256
22.823766 66.632 -143.0339
22.989157 66.469 -143.5393
23.155745 66.308 -143.0167
23.323542 66.224 -141.4660
23.492554 66.250 -138.9552
23.662790 66.448 -135.9635
23.834261 66.821 -132.7625
24.006973 67.354 -129.9530
24.180938 68.018 -127.7019
24.356163 68.761 -126.2689
24.532658 69.555 -125.6094
24.710431 70.364 -125.7377
24.889493 71.172 -126.5598
25.069853 71.961 -128.0331
25.251519 72.719 -130.0827
25.434502 73.436 -132.6595
25.618811 74.102 -135.6825
25.804456 74.708 -139.1129
25.991445 75.248 -142.8224
26.179790 75.717 -146.7909
26.369500 76.112 -150.8477
26.560584 76.435 -154.9704
26.753053 76.690 -159.0036
26.946917 76.886 -162.8881
27.142185 77.033 -166.5462
27.338869 77.150 -169.9107
27.536977 77.250 -172.9774
27.736522 77.358 -175.7706
27.937512 77.484 -178.3753
28.139959 77.639 179.1176
28.343872 77.823 176.5284
28.549264 78.028 173.7971
28.756143 78.236 170.7760
28.964522 78.431 167.4867
29.174411 78.594 163.8925
29.385821 78.706 160.1158
29.598763 78.756 156.1996
29.813248 78.736 152.2958
30.029287 78.645 148.5608
30.246891 78.487 145.0840
30.466073 78.275 142.0834
30.686842 78.032 139.6293
30.909212 77.783 137.8323
31.133193 77.569 136.6708
31.358797 77.421 136.0086
31.586035 77.363 135.6837
31.814921 77.403 135.3157
32.045465 77.521 134.6727
32.277680 77.692 133.5825
32.511577 77.871 131.9466
32.747169 78.026 129.8712
32.984469 78.134 127.4655
33.223488 78.178 124.9207
33.464239 78.159 122.4955
33.706735 78.090 120.3496
33.950987 77.995 118.6577
34.197010 77.917 117.5157
34.444816 77.897 116.8116
34.694417 77.968 116.3401
34.945827 78.145 115.7729
35.199059 78.412 114.6769
35.454126 78.729 112.8269
35.711041 79.049 110.1421
35.969818 79.328 106.6361
36.230470 79.525 102.4793
36.493011 79.621 97.9039
36.757455 79.603 93.1181
37.023814 79.472 88.3348
37.292104 79.236 83.7952
37.562338 78.918 79.6895
37.834530 78.546 76.1074
38.108695 78.151 73.0780
38.384846 77.762 70.5453
38.662999 77.400 68.3550
38.943167 77.069 66.3120
39.225365 76.760 64.3010
39.509608 76.460 62.2902
39.795911 76.158 60.3175
40.084289 75.853 58.4625
40.374756 75.555 56.7925
40.667328 75.281 55.2970
40.962020 75.046 53.8585
41.258848 74.853 52.2993
41.557827 74.688 50.4449
41.858972 74.526 48.1818
42.162299 74.339 45.4893
42.467824 74.094 42.4429
42.775564 73.769 39.1970
43.085533 73.349 35.9626
43.397749 72.831 32.9837
43.712227 72.225 30.5051
44.028983 71.556 28.7263
44.348036 70.859 27.7553
44.669400 70.171 27.5733
44.993093 69.525 28.0467
45.319131 68.938 28.9941
45.647532 68.419 30.2639
45.978313 67.969 31.7521
46.311491 67.595 33.3514
46.647083 67.296 34.9021
46.985107 67.063 36.2216
47.325581 66.872 37.1967
47.668521 66.698 37.8457
48.013947 66.525 38.2819
48.361876 66.352 38.6172
48.712326 66.185 38.8949
49.065315 66.027 39.1116
49.420863 65.878 39.2970
49.778987 65.745 39.5472
50.139706 65.651 39.9439
50.503039 65.628 40.4171
50.869005 65.700 40.6983
51.237623 65.863 40.4490
51.608912 66.093 39.4471
51.982891 66.364 37.6175
52.359580 66.659 34.8929
52.739000 66.961 31.0922
53.121168 67.229 25.9744
53.506106 67.397 19.4226
53.893833 67.390 11.5637
54.284370 67.139 2.7798
54.677737 66.598 -6.3259
55.073955 65.754 -14.9955
55.473043 64.637 -22.4000
55.875024 63.331 -27.8143
56.279917 61.974 -30.8909
56.687745 60.719 -31.9945
57.098527 59.674 -31.9608
57.512287 58.892 -31.3020
57.929045 58.437 -30.1365
58.348822 58.402 -29.0337
58.771642 58.798 -29.3164
59.197525 59.493 -32.0046
59.626495 60.321 -37.0366
60.058573 61.190 -43.7714
60.493782 62.067 -51.6643
60.932145 62.932 -60.4893
61.373685 63.746 -70.1542
61.818424 64.452 -80.4619
62.266386 65.004 -90.9922
62.717593 65.387 -101.2496
63.172071 65.624 -110.7407
63.629842 65.765 -119.1502
64.090930 65.866 -126.4741
64.555359 65.966 -132.9588
65.023154 66.070 -138.9468
65.494339 66.162 -144.6741
65.968938 66.214 -150.2090
66.446976 66.207 -155.4777
66.928478 66.136 -160.3432
67.413469 66.009 -164.7057
67.901975 65.838 -168.5710
68.394021 65.625 -172.0239
68.889632 65.361 -175.0992
69.388835 65.034 -177.7010
69.891655 64.644 -179.6620
70.398118 64.196 179.1635
70.908252 63.703 178.9848
71.422083 63.203 -179.7203
71.939636 62.795 -176.4893
72.460941 62.612 -171.8187
72.986023 62.689 -167.2659
73.514909 62.925 -163.7590
74.047629 63.237 -160.6418
74.584208 63.658 -157.1176
75.124676 64.246 -153.6545
75.669061 64.964 -151.3237
76.217390 65.712 -150.4487
76.769692 66.420 -150.5972
77.325997 67.066 -151.2797
77.886333 67.668 -152.0084
78.450730 68.285 -152.3583
79.019216 68.995 -152.4854
79.591822 69.804 -153.3793
80.168577 70.626 -155.7897
80.749512 71.370 -159.5011
81.334656 72.012 -163.8574
81.924040 72.570 -168.6146
82.517696 73.044 -173.9941
83.115653 73.395 179.8531
83.717943 73.579 173.1562
84.324598 73.579 166.3640
84.935649 73.406 159.8829
85.551128 73.089 154.0206
86.171066 72.673 148.9475
86.795497 72.203 144.5907
87.424453 71.708 140.6369
88.057967 71.180 136.7314
88.696071 70.581 132.6393
89.338800 69.845 128.3682
89.986185 68.899 124.3763
90.638262 67.699 121.7084
91.295065 66.282 122.0186
91.956626 64.864 127.6509
92.622982 63.947 139.9825
93.294166 63.991 153.3502
93.970214 64.705 159.7606
94.651161 65.437 159.7986
95.337042 65.873 157.3085
96.027894 66.016 154.8475
96.723752 65.980 153.2932
97.424652 65.872 152.4626
98.130631 65.739 151.8851
98.841726 65.588 151.2753
99.557974 65.405 150.6241
100.279412 65.183 150.0284
101.006078 64.925 149.5561
101.738010 64.635 149.2747
102.475245 64.319 149.1642
103.217823 63.973 149.1315
103.965782 63.591 149.3881
104.719161 63.201 150.3112
105.477999 62.844 151.6721
106.242336 62.512 152.7315
107.012212 62.136 153.2266
107.787666 61.645 153.6846
108.568740 61.023 155.2437
109.355474 60.367 159.1670
110.147909 59.863 165.7181
110.946086 59.688 173.6933
111.750047 59.891 -178.6981
112.559834 60.387 -172.7965
113.375489 61.026 -169.0659
114.197055 61.672 -167.4816
115.024574 62.222 -167.5957
115.858089 62.630 -168.6008
116.697645 62.905 -169.7640
117.543284 63.094 -170.6369
118.395051 63.242 -171.3538
119.252990 63.352 -172.3263
120.117147 63.405 -173.4886
120.987565 63.397 -174.5549
121.864291 63.345 -175.2963
122.747370 63.282 -175.5533
123.636848 63.251 -175.3987
124.532771 63.298 -174.9010
125.435187 63.471 -174.3245
126.344142 63.783 -174.4948
127.259684 64.171 -176.4131
128.181860 64.512 179.3771
129.110718 64.679 173.1403
130.046308 64.586 165.4382
130.988677 64.166 156.7532
131.937875 63.368 147.8384
132.893951 62.167 139.5127
133.856956 60.542 132.4008
134.826938 58.472 128.1717
135.803950 56.050 130.6764
136.788041 53.682 143.0160
137.779264 51.923 156.5709
138.777669 50.672 162.0944
139.783309 49.310 165.4148
140.796237 47.646 174.5687
141.816504 46.102 -167.8485
142.844165 45.620 -140.8380
143.879273 46.978 -102.5521
144.921881 49.371 -84.8667
145.972045 51.768 -80.1304
147.029819 53.917 -78.8782
148.095257 55.725 -81.5775
149.168417 57.100 -87.5128
150.249353 58.050 -94.4303
151.338121 58.647 -101.3518
152.434780 58.939 -108.2693
153.539385 58.983 -114.3037
154.651995 58.870 -119.5944
155.772667 58.574 -125.8655
156.901460 57.954 -132.8569
158.038432 56.944 -138.2157
159.183644 55.630 -140.0585
160.337154 54.177 -138.3495
161.499023 52.730 -133.9025
162.669312 51.530 -123.6356
163.848081 51.138 -105.5408
165.035392 51.785 -90.7791
166.231306 52.875 -85.5416
167.435887 53.824 -86.2924
168.649196 54.491 -88.4681
169.871298 55.014 -89.6801
171.102255 55.572 -90.5187
172.342133 56.194 -92.9997
173.590995 56.767 -98.3098
