* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.9 dBFS, measurement signal peak level -22.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:49:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9038 ms (-310 mm, -(1 ft 0.21 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: ottoman-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 26.120 31.6117
10.166832 26.362 29.7238
10.240505 26.654 27.7572
10.314712 26.955 25.7993
10.389457 27.255 23.9262
10.464743 27.539 22.1791
10.540575 27.799 20.4481
10.616956 28.044 18.7626
10.693891 28.283 17.1881
10.771383 28.521 15.7913
10.849437 28.753 14.5688
10.928057 28.981 13.4678
11.007246 29.216 12.4728
11.087009 29.467 11.5767
11.167350 29.740 10.8222
11.248273 30.031 10.2302
11.329783 30.341 9.6811
11.411883 30.676 9.0652
11.494578 31.041 8.3671
11.577873 31.436 7.7236
11.661771 31.851 7.0019
11.746277 32.279 6.0665
11.831395 32.716 4.8720
11.917130 33.167 3.5743
12.003487 33.622 2.1254
12.090469 34.066 0.4556
12.178081 34.495 -1.4755
12.266329 34.913 -3.5874
12.355216 35.312 -5.8290
12.444747 35.683 -8.1839
12.534926 36.024 -10.7256
12.625760 36.336 -13.4366
12.717251 36.616 -16.1893
12.809406 36.857 -18.9070
12.902228 37.061 -21.7621
12.995723 37.226 -24.6899
13.089895 37.353 -27.5214
13.184750 37.438 -30.2065
13.280292 37.481 -32.9411
13.376526 37.486 -35.5842
13.473458 37.456 -37.9504
13.571093 37.385 -40.1166
13.669434 37.281 -42.1237
13.768489 37.157 -43.8465
13.868261 37.017 -45.1657
13.968756 36.859 -46.1290
14.069979 36.707 -46.7700
14.171936 36.585 -47.0858
14.274632 36.490 -46.9463
14.378072 36.432 -46.5109
14.482261 36.434 -46.0232
14.587206 36.503 -45.4007
14.692910 36.630 -44.7148
14.799381 36.799 -44.2451
14.906624 37.008 -44.0655
15.014643 37.250 -44.0816
15.123446 37.495 -44.3496
15.233036 37.725 -44.9372
15.343421 37.944 -45.7838
15.454606 38.134 -46.7173
15.566596 38.282 -47.7129
15.679398 38.394 -48.8274
15.793018 38.471 -49.8100
15.907460 38.511 -50.5548
16.022732 38.522 -51.1563
16.138840 38.526 -51.4496
16.255788 38.533 -51.3171
16.373585 38.554 -50.8370
16.492234 38.622 -50.1111
16.611744 38.755 -49.0743
16.732119 38.951 -47.8712
16.853367 39.218 -46.8552
16.975494 39.560 -45.9538
17.098505 39.953 -45.3193
17.222408 40.367 -45.1800
17.347209 40.802 -45.4205
17.472914 41.227 -46.0086
17.599530 41.621 -46.9789
17.727063 41.983 -48.2478
17.855521 42.300 -49.6085
17.984909 42.566 -51.1349
18.115235 42.783 -52.6834
18.246506 42.955 -54.0540
18.378727 43.082 -55.3551
18.511907 43.179 -56.3923
18.646052 43.253 -57.1102
18.781169 43.315 -57.5419
18.917265 43.388 -57.6110
19.054347 43.476 -57.3249
19.192423 43.599 -56.7837
19.331499 43.767 -55.9841
19.471583 43.983 -55.0229
19.612682 44.253 -54.0322
19.754804 44.576 -53.0087
19.897956 44.946 -52.1115
20.042144 45.363 -51.3191
20.187378 45.818 -50.7508
20.333664 46.307 -50.4116
20.481010 46.824 -50.3429
20.629424 47.359 -50.6392
20.778913 47.906 -51.2289
20.929486 48.449 -52.2380
21.081150 48.982 -53.5835
21.233912 49.487 -55.2659
21.387782 49.956 -57.2947
21.542767 50.376 -59.5087
21.698874 50.739 -61.9456
21.856113 51.040 -64.4260
22.014492 51.275 -66.8581
22.174018 51.448 -69.1848
22.334700 51.565 -71.1561
22.496546 51.640 -72.8206
22.659566 51.699 -73.9263
22.823766 51.761 -74.5446
22.989157 51.870 -74.6698
23.155745 52.041 -74.3684
23.323542 52.300 -73.9807
23.492554 52.642 -73.5464
23.662790 53.048 -73.4711
23.834261 53.498 -73.6940
24.006973 53.950 -74.3382
24.180938 54.391 -75.2782
24.356163 54.799 -76.3375
24.532658 55.178 -77.4260
24.710431 55.543 -78.2640
24.889493 55.920 -78.8874
25.069853 56.349 -79.1454
25.251519 56.858 -79.3474
25.434502 57.474 -79.5405
25.618811 58.184 -80.2867
25.804456 58.974 -81.5936
25.991445 59.789 -83.8918
26.179790 60.598 -86.9980
26.369500 61.350 -91.0207
26.560584 62.023 -95.7082
26.753053 62.591 -101.0086
26.946917 63.041 -106.6131
27.142185 63.364 -112.5559
27.338869 63.555 -118.3759
27.536977 63.615 -124.1956
27.736522 63.549 -129.5018
27.937512 63.372 -134.3230
28.139959 63.106 -138.2842
28.343872 62.798 -141.2796
28.549264 62.496 -143.1255
28.756143 62.284 -143.9582
28.964522 62.212 -144.0812
29.174411 62.321 -143.9157
29.385821 62.581 -144.2367
29.598763 62.949 -145.2267
29.813248 63.344 -147.2180
30.029287 63.707 -149.9907
30.246891 63.997 -153.4658
30.466073 64.181 -157.2991
30.686842 64.252 -161.2149
30.909212 64.208 -165.0515
31.133193 64.062 -168.3730
31.358797 63.843 -171.0317
31.586035 63.587 -172.7812
31.814921 63.364 -173.4846
32.045465 63.241 -173.3191
32.277680 63.275 -172.5097
32.511577 63.495 -171.7428
32.747169 63.866 -171.5811
32.984469 64.335 -172.3074
33.223488 64.824 -174.1189
33.464239 65.269 -176.8311
33.706735 65.632 179.8143
33.950987 65.891 176.0365
34.197010 66.044 172.2348
34.444816 66.108 168.6611
34.694417 66.112 165.4745
34.945827 66.098 162.8340
35.199059 66.117 160.6558
35.454126 66.200 158.6722
35.711041 66.354 156.6013
35.969818 66.562 154.1188
36.230470 66.776 150.9985
36.493011 66.948 147.2950
36.757455 67.042 143.1503
37.023814 67.032 138.7596
37.292104 66.911 134.4201
37.562338 66.692 130.4336
37.834530 66.401 126.9678
38.108695 66.074 124.1205
38.384846 65.750 121.8904
38.662999 65.459 120.1292
38.943167 65.212 118.5851
39.225365 65.000 117.0756
39.509608 64.803 115.5147
39.795911 64.600 113.9061
40.084289 64.376 112.3273
40.374756 64.126 110.8936
40.667328 63.852 109.7254
40.962020 63.561 108.9419
41.258848 63.270 108.6738
41.557827 63.007 109.0447
41.858972 62.818 110.0942
42.162299 62.756 111.6631
42.467824 62.863 113.3268
42.775564 63.134 114.4969
43.085533 63.517 114.6801
43.397749 63.932 113.6870
43.712227 64.307 111.6450
44.028983 64.598 108.8630
44.348036 64.789 105.6822
44.669400 64.886 102.3839
44.993093 64.906 99.1460
45.319131 64.868 96.0384
45.647532 64.787 93.0543
45.978313 64.666 90.1669
46.311491 64.502 87.3830
46.647083 64.293 84.7650
46.985107 64.043 82.4130
47.325581 63.765 80.4162
47.668521 63.479 78.8036
48.013947 63.204 77.5232
48.361876 62.951 76.4660
48.712326 62.721 75.5218
49.065315 62.507 74.6256
49.420863 62.304 73.7621
49.778987 62.110 72.9334
50.139706 61.923 72.1233
50.503039 61.742 71.2903
50.869005 61.559 70.3948
51.237623 61.362 69.4392
51.608912 61.140 68.4889
51.982891 60.888 67.6563
52.359580 60.613 67.0553
52.739000 60.326 66.7552
53.121168 60.041 66.7631
53.506106 59.768 67.0486
53.893833 59.512 67.5908
54.284370 59.279 68.4007
54.677737 59.079 69.4965
55.073955 58.926 70.8374
55.473043 58.829 72.2802
55.875024 58.781 73.6317
56.279917 58.753 74.7874
56.687745 58.713 75.8579
57.098527 58.647 77.2110
57.512287 58.590 79.3423
57.929045 58.626 82.5722
58.348822 58.863 86.7094
58.771642 59.367 90.9668
59.197525 60.122 94.4084
59.626495 61.058 96.4723
60.058573 62.100 96.9656
60.493782 63.183 95.7672
60.932145 64.238 92.7807
61.373685 65.193 88.0784
61.818424 65.981 81.9357
62.266386 66.560 74.8401
62.717593 66.919 67.3135
63.172071 67.078 59.8753
63.629842 67.083 52.9302
64.090930 66.993 46.6260
64.555359 66.866 40.8977
65.023154 66.739 35.5009
65.494339 66.625 30.1563
65.968938 66.515 24.6385
66.446976 66.395 18.8366
66.928478 66.249 12.7230
67.413469 66.070 6.2911
67.901975 65.857 -0.5057
68.394021 65.609 -7.7488
68.889632 65.321 -15.5195
69.388835 65.000 -23.8390
69.891655 64.675 -32.8036
70.398118 64.399 -42.7947
70.908252 64.213 -54.5486
71.422083 64.103 -68.9037
71.939636 64.004 -86.3091
72.460941 63.851 -106.4418
72.986023 63.622 -128.4383
73.514909 63.348 -150.6849
74.047629 63.106 -171.5649
74.584208 62.994 170.2151
75.124676 63.095 155.0804
75.669061 63.447 142.6928
76.217390 64.043 132.2289
76.769692 64.832 122.6664
77.325997 65.716 113.0196
77.886333 66.563 102.6641
78.450730 67.259 91.6622
79.019216 67.746 80.4960
79.591822 68.034 69.8301
80.168577 68.184 60.0619
80.749512 68.267 51.2735
81.334656 68.347 43.2743
81.924040 68.461 35.7101
82.517696 68.612 28.1774
83.115653 68.772 20.3426
83.717943 68.891 12.1280
84.324598 68.936 3.7708
84.935649 68.905 -4.4100
85.551128 68.823 -12.2294
86.171066 68.716 -19.6428
86.795497 68.612 -26.6130
87.424453 68.547 -33.1324
88.057967 68.561 -39.4877
88.696071 68.644 -46.3031
89.338800 68.714 -54.0688
89.986185 68.659 -62.6254
90.638262 68.409 -71.1304
91.295065 67.991 -78.4461
91.956626 67.544 -83.7410
92.622982 67.271 -87.0820
93.294166 67.329 -89.5710
93.970214 67.732 -92.8675
94.651161 68.323 -98.3486
95.337042 68.873 -106.3021
96.027894 69.214 -115.9105
96.723752 69.285 -125.9832
97.424652 69.109 -135.6349
98.130631 68.730 -144.4158
98.841726 68.187 -151.9509
99.557974 67.549 -157.7236
100.279412 66.936 -161.4562
101.006078 66.484 -163.5728
101.738010 66.272 -165.0648
102.475245 66.276 -167.0371
103.217823 66.374 -170.2339
103.965782 66.419 -174.4951
104.719161 66.333 -178.7986
105.477999 66.162 178.0337
106.242336 66.053 176.5836
107.012212 66.176 176.3508
107.787666 66.588 175.7499
108.568740 67.165 173.1387
109.355474 67.702 168.2988
110.147909 68.078 162.3252
110.946086 68.304 156.2739
111.750047 68.433 150.2350
112.559834 68.465 143.7612
113.375489 68.349 136.8037
114.197055 68.044 129.6094
115.024574 67.504 122.3171
115.858089 66.663 115.4858
116.697645 65.501 110.6299
117.543284 64.139 109.6475
118.395051 62.864 113.1362
119.252990 61.977 119.0272
120.117147 61.516 124.1228
120.987565 61.252 127.4666
121.864291 61.030 131.3306
122.747370 61.064 138.7799
123.636848 61.752 148.9080
124.532771 63.082 156.1465
125.435187 64.634 157.6321
126.344142 66.044 154.1050
127.259684 67.116 147.0039
128.181860 67.771 137.8242
129.110718 68.001 127.6670
130.046308 67.781 116.7720
130.988677 67.007 105.5469
131.937875 65.558 95.6759
132.893951 63.462 90.3760
133.856956 61.541 100.6829
134.826938 62.341 163.6887
135.803950 65.443 -174.5474
136.788041 68.295 177.4449
137.779264 70.188 161.9604
138.777669 71.125 144.9902
139.783309 71.292 129.6895
140.796237 70.931 117.3846
141.816504 70.237 107.9927
142.844165 69.330 101.1560
143.879273 68.284 96.8955
144.921881 67.190 95.5986
145.972045 66.224 97.8367
147.029819 65.673 103.4331
148.095257 65.788 110.1138
149.168417 66.507 114.4175
150.249353 67.476 114.1637
151.338121 68.342 109.6528
152.434780 68.932 102.6042
153.539385 69.220 94.4302
154.651995 69.234 85.5122
155.772667 68.967 75.7118
156.901460 68.392 65.2786
158.038432 67.529 54.5947
159.183644 66.461 43.0840
160.337154 65.317 28.5454
161.499023 64.303 7.0399
162.669312 63.825 -26.8102
163.848081 64.307 -71.8179
165.035392 65.553 -111.2587
166.231306 66.961 -138.8723
167.435887 68.214 -158.1451
168.649196 69.301 -172.0125
169.871298 70.222 176.6606
171.102255 70.875 165.8997
172.342133 71.186 156.2089
173.590995 71.241 149.1653
174.848907 71.233 144.9453
176.115934 71.338 142.9611
177.392143 71.743 143.2637
