* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -29.7 dBFS, measurement signal peak level -25.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:48:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0130 ms (-4.5 mm, -0.18 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: ottoman-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 18.982 66.6497
10.166832 18.938 59.9225
10.240505 18.885 52.2743
10.314712 18.832 44.0821
10.389457 18.786 35.7025
10.464743 18.781 27.2293
10.540575 18.839 17.8941
10.616956 18.941 8.0754
10.693891 19.077 -1.6054
10.771383 19.245 -10.7047
10.849437 19.459 -19.8841
10.928057 19.711 -29.3348
11.007246 19.966 -38.4356
11.087009 20.193 -46.7347
11.167350 20.382 -54.5732
11.248273 20.548 -62.7771
11.329783 20.666 -70.8530
11.411883 20.705 -78.3077
11.494578 20.653 -85.2071
11.577873 20.523 -92.6928
11.661771 20.288 -100.4439
11.746277 19.900 -107.8880
11.831395 19.314 -114.9226
11.917130 18.525 -123.1116
12.003487 17.599 -132.5242
12.090469 16.604 -142.7677
12.178081 15.485 -154.4833
12.266329 14.189 -172.7534
12.355216 13.137 157.4250
12.444747 12.972 119.1984
12.534926 14.106 85.6360
12.625760 16.113 63.2980
12.717251 18.274 49.3121
12.809406 20.103 39.2597
12.902228 21.644 30.4231
12.995723 23.016 22.7220
13.089895 24.228 16.1481
13.184750 25.265 10.1941
13.280292 26.129 4.2148
13.376526 26.855 -1.3604
13.473458 27.478 -6.2811
13.571093 27.997 -11.1207
13.669434 28.409 -15.9028
13.768489 28.731 -20.2245
13.868261 28.971 -24.0352
13.968756 29.123 -27.7926
14.069979 29.200 -31.2109
14.171936 29.212 -33.9667
14.274632 29.153 -36.3148
14.378072 29.043 -38.2369
14.482261 28.912 -39.5082
14.587206 28.754 -40.0044
14.692910 28.595 -39.8330
14.799381 28.488 -39.1144
14.906624 28.460 -37.7490
15.014643 28.508 -35.7919
15.123446 28.651 -33.7596
15.233036 28.913 -31.8688
15.343421 29.276 -30.0356
15.454606 29.694 -28.6649
15.566596 30.142 -27.9199
15.679398 30.620 -27.6125
15.793018 31.087 -27.7490
15.907460 31.518 -28.3500
16.022732 31.917 -29.3231
16.138840 32.273 -30.4851
16.255788 32.577 -31.8286
16.373585 32.833 -33.3542
16.492234 33.043 -34.8459
16.611744 33.207 -36.3281
16.732119 33.327 -37.8018
16.853367 33.413 -39.0945
16.975494 33.464 -40.2519
17.098505 33.488 -41.2473
17.222408 33.497 -41.9816
17.347209 33.490 -42.4828
17.472914 33.482 -42.7371
17.599530 33.482 -42.7056
17.727063 33.495 -42.4033
17.855521 33.540 -41.8998
17.984909 33.621 -41.1592
18.115235 33.746 -40.2908
18.246506 33.927 -39.4341
18.378727 34.162 -38.5504
18.511907 34.444 -37.8785
18.646052 34.773 -37.4440
18.781169 35.134 -37.2748
18.917265 35.507 -37.5131
19.054347 35.887 -38.0839
19.192423 36.252 -38.9600
19.331499 36.591 -40.1768
19.471583 36.897 -41.5912
19.612682 37.157 -43.1053
19.754804 37.372 -44.7461
19.897956 37.544 -46.2337
20.042144 37.672 -47.6299
20.187378 37.776 -48.7719
20.333664 37.864 -49.5376
20.481010 37.960 -49.9990
20.629424 38.094 -50.1021
20.778913 38.276 -49.9030
20.929486 38.531 -49.7070
21.081150 38.861 -49.4636
21.233912 39.247 -49.5801
21.387782 39.682 -50.0554
21.542767 40.130 -50.9725
21.698874 40.565 -52.4175
21.856113 40.967 -54.1910
22.014492 41.312 -56.2846
22.174018 41.594 -58.5343
22.334700 41.805 -60.7112
22.496546 41.951 -62.8118
22.659566 42.047 -64.4835
22.823766 42.108 -65.7994
22.989157 42.172 -66.5399
23.155745 42.261 -66.7733
23.323542 42.417 -66.6492
23.492554 42.650 -66.2311
23.662790 42.965 -65.9498
23.834261 43.348 -65.8051
24.006973 43.760 -66.0858
24.180938 44.182 -66.6799
24.356163 44.577 -67.5220
24.532658 44.944 -68.4772
24.710431 45.279 -69.2635
24.889493 45.609 -69.8369
25.069853 45.966 -69.9591
25.251519 46.394 -69.8615
25.434502 46.931 -69.5334
25.618811 47.582 -69.5914
25.804456 48.343 -70.0862
25.991445 49.159 -71.6089
26.179790 49.995 -73.9890
26.369500 50.787 -77.4313
26.560584 51.507 -81.6376
26.753053 52.120 -86.5759
26.946917 52.611 -91.8887
27.142185 52.968 -97.6011
27.338869 53.186 -103.2112
27.536977 53.264 -108.8292
27.736522 53.213 -113.9027
27.937512 53.048 -118.4508
28.139959 52.797 -122.0679
28.343872 52.519 -124.6792
28.549264 52.267 -126.1144
28.756143 52.129 -126.6428
28.964522 52.146 -126.6453
29.174411 52.340 -126.6350
29.385821 52.659 -127.3184
29.598763 53.046 -128.7926
29.813248 53.421 -131.2502
30.029287 53.730 -134.3601
30.246891 53.941 -138.0211
30.466073 54.035 -141.8000
30.686842 54.015 -145.4465
30.909212 53.891 -148.7584
31.133193 53.696 -151.3652
31.358797 53.471 -153.2163
31.586035 53.262 -154.1765
31.814921 53.130 -154.4106
32.045465 53.107 -154.2108
32.277680 53.209 -153.8697
32.511577 53.419 -153.8506
32.747169 53.698 -154.3395
32.984469 54.008 -155.4016
33.223488 54.310 -157.0294
33.464239 54.579 -159.0571
33.706735 54.802 -161.3473
33.950987 54.976 -163.7664
34.197010 55.106 -166.1357
34.444816 55.207 -168.3760
34.694417 55.295 -170.4528
34.945827 55.388 -172.3625
35.199059 55.501 -174.2151
35.454126 55.635 -176.1426
35.711041 55.782 -178.2530
35.969818 55.925 179.3539
36.230470 56.039 176.6628
36.493011 56.101 173.7653
36.757455 56.099 170.7772
37.023814 56.025 167.8401
37.292104 55.882 165.1307
37.562338 55.683 162.7906
37.834530 55.443 160.8921
38.108695 55.177 159.4852
38.384846 54.901 158.5984
38.662999 54.626 158.2505
38.943167 54.367 158.4641
39.225365 54.143 159.2333
39.509608 53.974 160.4814
39.795911 53.867 162.0740
40.084289 53.817 163.8957
40.374756 53.805 165.9870
40.667328 53.833 168.7132
40.962020 53.963 172.6868
41.258848 54.366 178.1848
41.557827 55.195 -175.6322
41.858972 56.456 -170.7003
42.162299 57.980 -168.6608
42.467824 59.542 -169.8768
42.775564 60.975 -173.8168
43.085533 62.200 -179.7106
43.397749 63.189 173.1443
43.712227 63.945 165.3204
44.028983 64.486 157.2559
44.348036 64.837 149.2688
44.669400 65.030 141.5785
44.993093 65.095 134.3171
45.319131 65.061 127.5430
45.647532 64.950 121.2668
45.978313 64.776 115.4897
46.311491 64.552 110.2363
46.647083 64.290 105.5615
46.985107 64.015 101.5162
47.325581 63.756 98.0836
47.668521 63.542 95.1323
48.013947 63.385 92.4465
48.361876 63.278 89.8370
48.712326 63.205 87.2518
49.065315 63.156 84.7841
49.420863 63.149 82.5541
49.778987 63.220 80.5400
50.139706 63.399 78.4973
50.503039 63.687 76.0681
50.869005 64.059 72.9889
51.237623 64.482 69.1961
51.608912 64.949 64.7261
51.982891 65.466 59.5117
52.359580 66.037 53.2711
52.739000 66.628 45.6085
53.121168 67.173 36.2417
53.506106 67.586 25.1514
53.893833 67.791 12.5343
54.284370 67.730 -1.2657
54.677737 67.363 -15.8005
55.073955 66.672 -30.5684
55.473043 65.654 -45.0348
55.875024 64.336 -58.6709
56.279917 62.775 -71.0358
56.687745 61.072 -81.9109
57.098527 59.366 -91.6459
57.512287 57.780 -101.2213
57.929045 56.368 -111.7364
58.348822 55.120 -123.8351
58.771642 54.041 -137.6292
59.197525 53.219 -152.8853
59.626495 52.799 -169.2664
60.058573 52.864 173.6323
60.493782 53.339 156.2227
60.932145 54.039 138.9148
61.373685 54.783 121.9961
61.818424 55.449 105.6941
62.266386 55.970 90.2217
62.717593 56.325 75.6711
63.172071 56.526 62.2107
63.629842 56.614 50.0190
64.090930 56.649 39.0935
64.555359 56.703 29.2767
65.023154 56.828 20.1953
65.494339 57.036 11.4194
65.968938 57.307 2.6398
66.446976 57.616 -6.2029
66.928478 57.952 -14.9930
67.413469 58.326 -23.6055
67.901975 58.758 -32.0393
68.394021 59.254 -40.4152
68.889632 59.804 -48.8333
69.388835 60.393 -57.2550
69.891655 61.028 -65.5460
70.398118 61.739 -73.7094
70.908252 62.539 -82.0581
71.422083 63.387 -91.1499
71.939636 64.193 -101.2720
72.460941 64.861 -112.2434
72.986023 65.344 -123.5161
73.514909 65.653 -134.3888
74.047629 65.856 -144.4320
74.584208 66.035 -153.6146
75.124676 66.243 -162.3657
75.669061 66.477 -171.2235
76.217390 66.687 179.4257
76.769692 66.813 169.4639
77.325997 66.796 158.9059
77.886333 66.578 147.9161
78.450730 66.108 136.7075
79.019216 65.330 125.5591
79.591822 64.178 114.9048
80.168577 62.565 105.4376
80.749512 60.399 98.8651
81.334656 57.772 100.6997
81.924040 55.913 131.3342
82.517696 56.985 177.0146
83.115653 59.712 -173.1870
83.717943 62.232 -176.4318
84.324598 64.199 175.9480
84.935649 65.644 166.5930
85.551128 66.655 156.8462
86.171066 67.336 147.5651
86.795497 67.802 139.2123
87.424453 68.157 131.8118
88.057967 68.471 125.0253
88.696071 68.768 118.4651
89.338800 69.048 111.9860
89.986185 69.332 105.6326
90.638262 69.658 99.2922
91.295065 70.048 92.4434
91.956626 70.460 84.3018
92.622982 70.779 74.2948
93.294166 70.853 62.4939
93.970214 70.556 49.7109
94.651161 69.832 37.2872
95.337042 68.721 26.6876
96.027894 67.367 18.8882
96.723752 65.962 13.7957
97.424652 64.666 10.4434
98.130631 63.547 7.7626
98.841726 62.587 4.8729
99.557974 61.694 1.3230
100.279412 60.763 -2.5780
101.006078 59.753 -6.1815
101.738010 58.691 -9.2039
102.475245 57.622 -11.7980
103.217823 56.582 -14.3622
103.965782 55.572 -17.7412
104.719161 54.502 -22.7476
105.477999 53.216 -29.0500
106.242336 51.624 -35.3148
107.012212 49.775 -40.3020
107.787666 47.930 -43.3909
108.568740 46.697 -46.6211
109.355474 46.648 -56.6891
110.147909 47.509 -76.3403
110.946086 48.738 -100.1733
111.750047 50.134 -121.5973
112.559834 51.632 -138.2362
113.375489 53.155 -150.8123
114.197055 54.644 -160.6104
115.024574 56.079 -168.7267
115.858089 57.423 -176.2515
116.697645 58.596 175.9128
117.543284 59.502 167.6461
118.395051 60.104 159.8408
119.252990 60.479 153.8011
120.117147 60.813 150.3943
120.987565 61.334 149.4895
121.864291 62.167 149.3737
122.747370 63.225 147.8789
123.636848 64.324 144.3558
124.532771 65.342 139.2759
125.435187 66.224 133.1517
126.344142 66.956 126.5139
127.259684 67.573 119.9354
128.181860 68.148 113.7124
129.110718 68.737 107.4299
130.046308 69.310 100.1359
130.988677 69.756 91.4122
131.937875 69.991 81.8922
132.893951 70.023 72.5253
133.856956 69.926 63.6511
134.826938 69.777 55.0142
135.803950 69.617 45.9027
136.788041 69.388 34.9061
137.779264 68.886 21.1520
138.777669 67.880 5.4321
139.783309 66.237 -11.0063
140.796237 63.919 -28.1959
141.816504 61.003 -49.2651
142.844165 58.251 -100.8843
143.879273 57.759 153.0430
144.921881 59.335 124.7644
145.972045 60.964 108.9382
147.029819 62.079 97.3064
148.095257 62.741 88.5728
149.168417 63.129 82.4375
150.249353 63.428 78.5005
151.338121 63.812 76.3052
152.434780 64.380 74.3848
153.539385 65.011 70.1631
154.651995 65.424 62.8054
155.772667 65.392 53.9124
156.901460 64.863 46.2322
158.038432 63.982 42.2964
159.183644 63.024 42.2454
160.337154 62.216 44.8926
161.499023 61.796 50.8853
162.669312 62.072 59.0510
163.848081 63.088 65.8784
165.035392 64.479 67.5466
166.231306 65.730 62.6680
167.435887 66.509 53.5332
168.649196 66.693 42.9199
169.871298 66.295 33.3027
171.102255 65.443 26.8438
172.342133 64.388 25.1177
173.590995 63.479 27.6885
174.848907 62.928 31.0088
