* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.8 dBFS, measurement signal peak level -25.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:49:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0489 ms (17 mm, 0.66 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: ottoman-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 20.180 21.9464
10.166832 19.892 20.3461
10.240505 19.539 19.0771
10.314712 19.173 18.1437
10.389457 18.806 17.5703
10.464743 18.448 17.4267
10.540575 18.097 17.9427
10.616956 17.772 19.0394
10.693891 17.517 20.5239
10.771383 17.378 22.1259
10.849437 17.371 24.0026
10.928057 17.476 26.1482
11.007246 17.675 28.1333
11.087009 17.955 29.5541
11.167350 18.321 30.3306
11.248273 18.781 30.7515
11.329783 19.297 30.6705
11.411883 19.821 29.9708
11.494578 20.330 28.6200
11.577873 20.844 26.8261
11.661771 21.355 24.6848
11.746277 21.845 22.2372
11.831395 22.307 19.4588
11.917130 22.745 16.3516
12.003487 23.159 13.0705
12.090469 23.547 9.7221
12.178081 23.909 6.2697
12.266329 24.244 2.6111
12.355216 24.554 -1.0872
12.444747 24.838 -4.6886
12.534926 25.096 -8.2855
12.625760 25.328 -11.9648
12.717251 25.535 -15.5630
12.809406 25.717 -18.9463
12.902228 25.873 -22.2858
12.995723 26.005 -25.5693
13.089895 26.113 -28.6552
13.184750 26.198 -31.4757
13.280292 26.259 -34.1818
13.376526 26.299 -36.7011
13.473458 26.323 -38.9221
13.571093 26.327 -40.8774
13.669434 26.316 -42.5995
13.768489 26.296 -44.0359
13.868261 26.271 -45.1384
13.968756 26.239 -45.9294
14.069979 26.210 -46.4155
14.171936 26.192 -46.5920
14.274632 26.184 -46.4278
14.378072 26.193 -45.9526
14.482261 26.230 -45.2150
14.587206 26.297 -44.1985
14.692910 26.397 -42.9286
14.799381 26.538 -41.4887
14.906624 26.726 -39.8994
15.014643 26.959 -38.1864
15.123446 27.240 -36.4743
15.233036 27.572 -34.8026
15.343421 27.953 -33.1768
15.454606 28.374 -31.7598
15.566596 28.831 -30.5908
15.679398 29.322 -29.6172
15.793018 29.830 -28.9888
15.907460 30.346 -28.7258
16.022732 30.868 -28.7336
16.138840 31.380 -29.0863
16.255788 31.871 -29.7909
16.373585 32.340 -30.7585
16.492234 32.774 -31.9564
16.611744 33.169 -33.4190
16.732119 33.522 -35.0621
16.853367 33.825 -36.7576
16.975494 34.078 -38.6061
17.098505 34.278 -40.4764
17.222408 34.426 -42.2045
17.347209 34.520 -43.9236
17.472914 34.568 -45.4414
17.599530 34.574 -46.6340
17.727063 34.545 -47.5809
17.855521 34.506 -48.1282
17.984909 34.460 -48.2048
18.115235 34.434 -47.8972
18.246506 34.460 -47.2474
18.378727 34.542 -46.2167
18.511907 34.696 -45.1624
18.646052 34.935 -44.1368
18.781169 35.241 -43.2620
18.917265 35.590 -42.8438
19.054347 35.978 -42.7811
19.192423 36.367 -43.1203
19.331499 36.742 -43.9015
19.471583 37.092 -44.9546
19.612682 37.400 -46.1746
19.754804 37.669 -47.5718
19.897956 37.900 -48.8707
20.042144 38.097 -50.1121
20.187378 38.278 -51.1863
20.333664 38.457 -51.9871
20.481010 38.649 -52.6136
20.629424 38.878 -53.0857
20.778913 39.146 -53.4337
20.929486 39.459 -53.9354
21.081150 39.814 -54.5335
21.233912 40.187 -55.4435
21.387782 40.569 -56.6871
21.542767 40.931 -58.1759
21.698874 41.256 -59.9776
21.856113 41.531 -61.8673
22.014492 41.745 -63.7475
22.174018 41.901 -65.5144
22.334700 42.007 -66.8562
22.496546 42.081 -67.8146
22.659566 42.163 -68.1037
22.823766 42.280 -67.8228
22.989157 42.487 -67.0905
23.155745 42.799 -66.0303
23.323542 43.226 -65.2060
23.492554 43.751 -64.6426
23.662790 44.323 -64.8107
23.834261 44.912 -65.5477
24.006973 45.461 -66.8844
24.180938 45.956 -68.6322
24.356163 46.375 -70.4937
24.532658 46.724 -72.3646
24.710431 47.020 -73.8417
24.889493 47.297 -74.9415
25.069853 47.603 -75.3961
25.251519 47.988 -75.5207
25.434502 48.496 -75.3422
25.618811 49.128 -75.5673
25.804456 49.876 -76.2757
25.991445 50.676 -78.0642
26.179790 51.487 -80.7548
26.369500 52.246 -84.5054
26.560584 52.925 -89.0191
26.753053 53.490 -94.2319
26.946917 53.929 -99.7904
27.142185 54.230 -105.7171
27.338869 54.391 -111.5044
27.536977 54.411 -117.2706
27.736522 54.300 -122.4554
27.937512 54.075 -127.0833
28.139959 53.764 -130.7342
28.343872 53.425 -133.3316
28.549264 53.113 -134.6786
28.756143 52.920 -135.0398
28.964522 52.891 -134.7861
29.174411 53.055 -134.4507
29.385821 53.360 -134.7758
29.598763 53.752 -135.8889
29.813248 54.148 -138.0044
30.029287 54.493 -140.8275
30.246891 54.755 -144.2546
30.466073 54.911 -147.9102
30.686842 54.960 -151.5573
30.909212 54.904 -155.0338
31.133193 54.762 -157.9817
31.358797 54.558 -160.2873
31.586035 54.325 -161.7565
31.814921 54.116 -162.2805
32.045465 53.988 -161.9592
32.277680 53.991 -160.9386
32.511577 54.164 -159.7175
32.747169 54.497 -158.8220
32.984469 54.959 -158.5968
33.223488 55.487 -159.3443
33.464239 56.015 -161.0682
33.706735 56.501 -163.5849
33.950987 56.912 -166.7305
34.197010 57.232 -170.1835
34.444816 57.467 -173.6837
34.694417 57.634 -177.0677
34.945827 57.760 179.8379
35.199059 57.886 177.0635
35.454126 58.040 174.4571
35.711041 58.237 171.8388
35.969818 58.474 168.9696
36.230470 58.721 165.6211
36.493011 58.941 161.7834
36.757455 59.100 157.5466
37.023814 59.174 153.0612
37.292104 59.153 148.5942
37.562338 59.048 144.4559
37.834530 58.889 140.8293
38.108695 58.721 137.8054
38.384846 58.592 135.3438
38.662999 58.539 133.2030
38.943167 58.572 130.9862
39.225365 58.663 128.4160
39.509608 58.775 125.4006
39.795911 58.874 122.0083
40.084289 58.945 118.4171
40.374756 59.001 114.8341
40.667328 59.080 111.3574
40.962020 59.228 107.8252
41.258848 59.470 103.8557
41.557827 59.795 99.0000
41.858972 60.156 92.9109
42.162299 60.492 85.4312
42.467824 60.741 76.5857
42.775564 60.858 66.5214
43.085533 60.815 55.4473
43.397749 60.600 43.5924
43.712227 60.215 31.1854
44.028983 59.675 18.4172
44.348036 59.009 5.4371
44.669400 58.254 -7.6416
44.993093 57.459 -20.7335
45.319131 56.676 -33.7633
45.647532 55.949 -46.6240
45.978313 55.309 -59.1299
46.311491 54.773 -70.9907
46.647083 54.355 -81.8447
46.985107 54.077 -91.3672
47.325581 53.969 -99.4304
47.668521 54.055 -106.2178
48.013947 54.315 -112.1508
48.361876 54.683 -117.6024
48.712326 55.082 -122.6180
49.065315 55.478 -126.8796
49.420863 55.907 -129.9470
49.778987 56.466 -131.6770
50.139706 57.248 -132.5670
50.503039 58.257 -133.5671
50.869005 59.420 -135.4196
51.237623 60.654 -138.2726
51.608912 61.928 -141.9354
51.982891 63.251 -146.3528
52.359580 64.622 -151.8245
52.739000 65.994 -158.8190
53.121168 67.282 -167.6187
53.506106 68.392 -178.1473
53.893833 69.250 169.9318
54.284370 69.810 157.0833
54.677737 70.046 143.8459
55.073955 69.952 130.7897
55.473043 69.545 118.4947
55.875024 68.862 107.5117
56.279917 67.972 98.2740
56.687745 66.965 91.0278
57.098527 65.941 85.6387
57.512287 64.964 81.6625
57.929045 64.052 78.7127
58.348822 63.202 76.7195
58.771642 62.435 75.7755
59.197525 61.804 75.7834
59.626495 61.354 76.2990
60.058573 61.085 76.8035
60.493782 60.971 76.9772
60.932145 60.984 76.6549
61.373685 61.101 75.6084
61.818424 61.274 73.5580
62.266386 61.436 70.4227
62.717593 61.527 66.4033
63.172071 61.516 61.8710
63.629842 61.405 57.1949
64.090930 61.214 52.6013
64.555359 60.975 48.2018
65.023154 60.723 43.9642
65.494339 60.486 39.6962
65.968938 60.271 35.0510
66.446976 60.052 29.7169
66.928478 59.780 23.6055
67.413469 59.413 16.8984
67.901975 58.945 9.8608
68.394021 58.405 2.6281
68.889632 57.838 -5.0042
69.388835 57.273 -13.5094
69.891655 56.722 -23.4283
70.398118 56.192 -35.3457
70.908252 55.704 -50.0050
71.422083 55.274 -68.2354
71.939636 54.888 -90.7364
72.460941 54.493 -117.2961
72.986023 54.012 -147.0564
73.514909 53.353 -178.3641
74.047629 52.458 149.3796
74.584208 51.405 114.5325
75.124676 50.671 71.6086
75.669061 51.110 16.0613
76.217390 52.884 -32.5590
76.769692 55.153 -65.0074
77.325997 57.309 -88.3481
77.886333 59.209 -106.6436
78.450730 60.908 -121.8507
79.019216 62.456 -135.3768
79.591822 63.833 -148.4683
80.168577 64.971 -161.6554
80.749512 65.832 -174.7772
81.334656 66.441 172.6221
81.924040 66.850 160.6780
82.517696 67.077 149.0955
83.115653 67.076 137.6190
83.717943 66.772 126.5588
84.324598 66.127 116.9028
84.935649 65.188 109.9177
85.551128 64.111 106.7595
86.171066 63.160 107.9449
86.795497 62.660 112.6766
87.424453 62.829 118.5792
88.057967 63.606 123.1136
88.696071 64.774 125.1278
89.338800 66.130 124.3285
89.986185 67.511 120.5880
90.638262 68.787 114.0891
91.295065 69.873 105.2926
91.956626 70.715 94.6031
92.622982 71.258 82.2820
93.294166 71.432 68.6873
93.970214 71.171 54.5168
94.651161 70.437 40.8318
95.337042 69.245 28.8990
96.027894 67.674 19.9144
96.723752 65.858 14.7067
97.424652 63.977 13.6498
98.130631 62.260 16.6938
98.841726 60.977 22.8818
99.557974 60.321 29.9323
100.279412 60.250 35.5112
101.006078 60.555 38.6976
101.738010 61.034 39.3353
102.475245 61.500 37.0238
103.217823 61.742 31.8862
103.965782 61.603 25.4442
104.719161 61.077 19.9672
105.477999 60.335 17.2428
106.242336 59.667 17.6354
107.012212 59.365 19.7816
107.787666 59.514 20.7427
108.568740 59.879 17.9058
109.355474 60.109 11.3684
110.147909 60.018 3.0238
110.946086 59.625 -5.4813
111.750047 59.055 -13.9788
112.559834 58.389 -23.5952
113.375489 57.602 -35.3768
114.197055 56.648 -49.8820
115.024574 55.516 -67.8070
115.858089 54.253 -89.7557
116.697645 53.033 -115.2474
117.543284 52.207 -141.6071
118.395051 51.998 -164.8748
119.252990 52.275 177.7260
120.117147 52.944 167.4270
120.987565 54.105 163.1896
121.864291 55.685 160.7585
122.747370 57.368 156.6415
123.636848 58.897 150.4326
124.532771 60.175 143.1108
125.435187 61.203 135.4567
126.344142 61.995 127.6837
127.259684 62.546 119.9838
128.181860 62.869 112.8859
129.110718 63.024 107.0201
130.046308 63.122 102.8510
130.988677 63.284 99.9624
131.937875 63.530 96.9177
132.893951 63.750 92.9407
133.856956 63.836 88.5085
134.826938 63.753 84.5476
135.803950 63.547 81.9515
136.788041 63.350 81.5328
137.779264 63.389 83.7794
138.777669 63.848 86.8635
139.783309 64.606 87.3724
140.796237 65.357 84.5328
141.816504 65.901 79.7551
142.844165 66.172 74.2882
143.879273 66.155 68.9862
144.921881 65.900 65.3546
145.972045 65.612 65.0223
147.029819 65.611 67.8494
148.095257 66.135 71.9088
149.168417 67.171 74.6980
150.249353 68.467 73.9602
151.338121 69.710 69.0477
152.434780 70.696 61.1144
153.539385 71.364 51.7266
154.651995 71.734 41.9183
155.772667 71.855 32.2592
156.901460 71.787 23.0508
158.038432 71.578 14.1516
159.183644 71.243 5.3618
160.337154 70.784 -3.3619
161.499023 70.183 -12.3701
162.669312 69.369 -21.9796
163.848081 68.227 -31.8689
165.035392 66.642 -40.6217
166.231306 64.587 -45.6221
167.435887 62.205 -44.2070
168.649196 59.872 -34.8674
169.871298 58.233 -18.9581
171.102255 57.832 -3.2937
172.342133 58.541 8.5311
173.590995 59.860 15.6952
174.848907 61.251 15.6704
176.115934 62.368 10.3517
