* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.3 dBFS, measurement signal peak level -23.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:50:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -3.8249 ms (-1.312 m, -(4 ft 3.7 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: ottoman-p1-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 12.036 -93.8692
10.166832 11.555 -91.7529
10.240505 10.963 -88.3357
10.314712 10.356 -83.1777
10.389457 9.809 -76.0146
10.464743 9.602 -67.1071
10.540575 9.970 -56.7583
10.616956 10.684 -46.7589
10.693891 11.574 -38.8539
10.771383 12.542 -33.7725
10.849437 13.621 -30.7216
10.928057 14.815 -29.0208
11.007246 16.014 -28.5279
11.087009 17.104 -29.0938
11.167350 18.038 -30.5611
11.248273 18.864 -32.5945
11.329783 19.601 -34.9772
11.411883 20.262 -37.6056
11.494578 20.848 -40.5380
11.577873 21.353 -43.8819
11.661771 21.782 -47.3932
11.746277 22.146 -50.8955
11.831395 22.448 -54.4282
11.917130 22.682 -58.3000
12.003487 22.851 -62.2798
12.090469 22.956 -66.1268
12.178081 23.000 -69.8662
12.266329 22.978 -73.8583
12.355216 22.890 -77.8733
12.444747 22.733 -81.6144
12.534926 22.506 -85.1578
12.625760 22.208 -88.7667
12.717251 21.835 -92.2010
12.809406 21.381 -95.1120
12.902228 20.835 -97.5822
12.995723 20.214 -99.6366
13.089895 19.544 -101.0224
13.184750 18.818 -101.3211
13.280292 18.021 -100.2290
13.376526 17.286 -97.7338
13.473458 16.783 -94.0484
13.571093 16.558 -88.7709
13.669434 16.579 -82.5329
13.768489 16.848 -76.9833
13.868261 17.399 -73.0458
13.968756 18.210 -70.3074
14.069979 19.106 -69.0970
14.171936 19.938 -69.4784
14.274632 20.723 -71.0445
14.378072 21.457 -73.3707
14.482261 22.109 -76.2476
14.587206 22.668 -79.8193
14.692910 23.146 -83.8270
14.799381 23.546 -87.9223
14.906624 23.870 -92.2719
15.014643 24.116 -96.9569
15.123446 24.290 -101.5775
15.233036 24.392 -106.1579
15.343421 24.421 -110.9816
15.454606 24.378 -115.6845
15.566596 24.263 -120.1804
15.679398 24.073 -124.7952
15.793018 23.805 -129.2397
15.907460 23.457 -133.3808
16.022732 23.026 -137.4822
16.138840 22.501 -141.3301
16.255788 21.877 -144.7775
16.373585 21.148 -147.9527
16.492234 20.284 -150.6867
16.611744 19.278 -152.7459
16.732119 18.109 -153.9903
16.853367 16.710 -154.0827
16.975494 14.987 -152.1023
17.098505 13.218 -146.6678
17.222408 11.808 -135.3708
17.347209 10.854 -114.4518
17.472914 10.763 -88.6935
17.599530 11.930 -69.8822
17.727063 13.878 -59.6197
17.855521 15.726 -54.8528
17.984909 17.263 -53.0788
18.115235 18.593 -52.9353
18.246506 19.710 -53.7880
18.378727 20.621 -55.3761
18.511907 21.371 -57.2495
18.646052 21.973 -59.4439
18.781169 22.434 -61.8030
18.917265 22.771 -64.0471
19.054347 22.982 -66.3868
19.192423 23.078 -68.4637
19.331499 23.062 -70.3038
19.471583 22.942 -71.8584
19.612682 22.730 -72.8467
19.754804 22.433 -73.3301
19.897956 22.080 -73.1513
20.042144 21.680 -72.1454
20.187378 21.274 -70.4143
20.333664 20.891 -67.8885
20.481010 20.550 -64.6475
20.629424 20.282 -61.0459
20.778913 20.082 -57.0705
20.929486 19.933 -53.0584
21.081150 19.827 -49.0635
21.233912 19.735 -44.9788
21.387782 19.643 -40.8300
21.542767 19.564 -36.3185
21.698874 19.504 -31.2995
21.856113 19.517 -25.7218
22.014492 19.656 -19.5482
22.174018 19.948 -13.1567
22.334700 20.432 -7.0180
22.496546 21.078 -1.5601
22.659566 21.832 2.6599
22.823766 22.653 5.6981
22.989157 23.461 7.3330
23.155745 24.228 7.8902
23.323542 24.904 7.3932
23.492554 25.473 6.0989
23.662790 25.906 4.2146
23.834261 26.189 1.8415
24.006973 26.299 -0.5875
24.180938 26.221 -3.0430
24.356163 25.932 -4.7473
24.532658 25.445 -5.4645
24.710431 24.788 -3.7696
24.889493 24.185 1.1820
25.069853 23.984 10.8511
25.251519 24.494 23.0063
25.434502 25.897 33.7687
25.618811 27.693 39.3347
25.804456 29.575 40.6634
25.991445 31.308 38.5813
26.179790 32.827 34.5476
26.369500 34.128 29.1463
26.560584 35.221 22.9786
26.753053 36.122 16.3129
26.946917 36.843 9.5502
27.142185 37.396 2.6642
27.338869 37.796 -3.8270
27.536977 38.052 -10.0917
27.736522 38.184 -15.6077
27.937512 38.214 -20.4498
28.139959 38.168 -24.2939
28.343872 38.098 -27.0930
28.549264 38.044 -28.7491
28.756143 38.075 -29.4170
28.964522 38.225 -29.3643
29.174411 38.523 -28.9232
29.385821 38.949 -28.6686
29.598763 39.478 -28.7841
29.813248 40.058 -29.5581
30.029287 40.650 -30.9985
30.246891 41.220 -33.0647
30.466073 41.739 -35.7124
30.686842 42.186 -38.8054
30.909212 42.544 -42.2998
31.133193 42.792 -46.0184
31.358797 42.915 -49.7875
31.586035 42.900 -53.5075
31.814921 42.738 -56.7636
32.045465 42.435 -59.2464
32.277680 42.017 -60.5663
32.511577 41.553 -60.0991
32.747169 41.182 -57.6583
32.984469 41.044 -53.3922
33.223488 41.277 -48.3582
33.464239 41.844 -44.2523
33.706735 42.619 -41.8858
33.950987 43.447 -41.4661
34.197010 44.203 -42.6139
34.444816 44.843 -44.6908
34.694417 45.356 -47.2591
34.945827 45.758 -49.9184
35.199059 46.089 -52.3452
35.454126 46.390 -54.5029
35.711041 46.696 -56.4443
35.969818 47.033 -58.3253
36.230470 47.398 -60.4346
36.493011 47.770 -62.9417
36.757455 48.117 -65.8925
37.023814 48.409 -69.2577
37.292104 48.622 -72.8993
37.562338 48.744 -76.5754
37.834530 48.779 -80.0825
38.108695 48.743 -83.2493
38.384846 48.660 -85.9386
38.662999 48.560 -88.0885
38.943167 48.472 -89.7659
39.225365 48.414 -91.1089
39.509608 48.391 -92.2539
39.795911 48.398 -93.2983
40.084289 48.429 -94.2759
40.374756 48.484 -95.1632
40.667328 48.572 -95.9404
40.962020 48.713 -96.6885
41.258848 48.916 -97.6130
41.557827 49.171 -98.9819
41.858972 49.447 -101.0236
42.162299 49.694 -103.8397
42.467824 49.864 -107.3722
42.775564 49.911 -111.4177
43.085533 49.807 -115.6637
43.397749 49.542 -119.7292
43.712227 49.125 -123.2076
44.028983 48.589 -125.7331
44.348036 47.987 -127.0516
44.669400 47.386 -127.1053
44.993093 46.847 -126.0761
45.319131 46.406 -124.3100
45.647532 46.068 -122.1387
45.978313 45.823 -119.7421
46.311491 45.664 -117.1677
46.647083 45.593 -114.4559
46.985107 45.615 -111.7344
47.325581 45.723 -109.1946
47.668521 45.898 -106.9901
48.013947 46.113 -105.1669
48.361876 46.348 -103.6773
48.712326 46.593 -102.4370
49.065315 46.843 -101.3630
49.420863 47.099 -100.3779
49.778987 47.370 -99.4098
50.139706 47.670 -98.4159
50.503039 48.019 -97.4241
50.869005 48.434 -96.5510
51.237623 48.923 -95.9786
51.608912 49.483 -95.9118
51.982891 50.100 -96.5673
52.359580 50.751 -98.1857
52.739000 51.394 -101.0066
53.121168 51.968 -105.1821
53.506106 52.401 -110.6822
53.893833 52.622 -117.2763
54.284370 52.569 -124.5424
54.677737 52.197 -131.8639
55.073955 51.484 -138.4303
55.473043 50.451 -143.2301
55.875024 49.184 -145.1302
56.279917 47.868 -143.2096
56.687745 46.769 -137.6699
57.098527 46.105 -130.3530
57.512287 45.904 -123.3383
57.929045 46.053 -117.6086
58.348822 46.429 -113.5179
58.771642 46.909 -111.3228
59.197525 47.371 -111.0115
59.626495 47.730 -112.2012
60.058573 47.944 -114.4422
60.493782 48.000 -117.5170
60.932145 47.871 -121.5091
61.373685 47.489 -126.5691
61.818424 46.740 -132.5660
62.266386 45.483 -138.8486
62.717593 43.578 -144.1671
63.172071 40.957 -145.3821
63.629842 38.199 -127.8254
64.090930 37.677 -44.2435
64.555359 40.020 -18.7950
65.023154 42.805 -13.5476
65.494339 45.236 -12.2235
65.968938 47.293 -12.7485
66.446976 49.036 -14.4496
66.928478 50.524 -16.7985
67.413469 51.812 -19.4481
67.901975 52.939 -22.2998
68.394021 53.919 -25.3431
68.889632 54.757 -28.4230
69.388835 55.477 -31.1543
69.891655 56.142 -33.2137
70.398118 56.825 -34.6681
70.908252 57.561 -36.0462
71.422083 58.319 -37.9106
71.939636 59.053 -40.3158
72.460941 59.747 -42.9736
72.986023 60.424 -45.7649
73.514909 61.090 -48.9725
74.047629 61.704 -52.9587
74.584208 62.199 -57.7444
75.124676 62.526 -62.9211
75.669061 62.674 -68.0012
76.217390 62.654 -72.5431
76.769692 62.494 -76.1475
77.325997 62.249 -78.2771
77.886333 62.038 -78.4444
78.450730 62.012 -76.9745
79.019216 62.242 -75.2451
79.591822 62.646 -74.5654
80.168577 63.095 -74.9445
80.749512 63.541 -75.6696
81.334656 64.020 -76.2988
81.924040 64.568 -77.1646
82.517696 65.159 -78.8865
83.115653 65.719 -81.7194
83.717943 66.181 -85.3860
84.324598 66.525 -89.3507
84.935649 66.769 -93.1963
85.551128 66.946 -96.8012
86.171066 67.075 -100.2444
86.795497 67.158 -103.4771
87.424453 67.222 -106.1534
88.057967 67.342 -108.0429
88.696071 67.595 -109.6508
89.338800 67.972 -112.0300
89.986185 68.374 -115.8101
90.638262 68.697 -120.7991
91.295065 68.893 -126.4201
91.956626 68.964 -132.1813
92.622982 68.943 -137.8676
93.294166 68.859 -143.5597
93.970214 68.715 -149.4895
94.651161 68.489 -155.7701
95.337042 68.156 -162.2694
96.027894 67.710 -168.7680
96.723752 67.164 -175.1897
97.424652 66.530 178.3244
98.130631 65.794 171.5316
98.841726 64.921 164.3014
99.557974 63.867 156.7401
100.279412 62.609 149.0533
101.006078 61.147 141.2807
101.738010 59.508 133.0648
102.475245 57.743 123.2437
103.217823 55.911 109.4345
103.965782 54.076 88.4750
104.719161 52.388 58.3868
105.477999 51.193 24.8149
106.242336 50.881 0.5098
107.012212 51.549 -10.8905
107.787666 52.938 -14.2664
108.568740 54.653 -15.1642
109.355474 56.429 -15.9760
110.147909 58.151 -17.4055
110.946086 59.747 -19.8857
111.750047 61.183 -23.1215
112.559834 62.467 -26.7330
113.375489 63.592 -30.9678
114.197055 64.521 -35.7324
115.024574 65.276 -40.1624
115.858089 65.952 -43.6626
116.697645 66.638 -46.5353
117.543284 67.351 -49.5624
118.395051 68.039 -53.3712
119.252990 68.626 -57.9585
120.117147 69.081 -62.7274
120.987565 69.434 -67.0984
121.864291 69.739 -70.9741
122.747370 70.034 -74.5939
123.636848 70.332 -78.2348
124.532771 70.623 -82.1448
125.435187 70.894 -86.3833
126.344142 71.135 -91.0248
127.259684 71.312 -96.5590
128.181860 71.342 -103.1384
129.110718 71.165 -110.2017
130.046308 70.760 -117.4572
130.988677 70.084 -124.8486
131.937875 69.083 -131.7218
132.893951 67.735 -137.2466
133.856956 66.030 -140.8379
134.826938 63.947 -141.2697
135.803950 61.554 -135.9686
136.788041 59.394 -118.5425
137.779264 59.183 -75.2175
138.777669 61.444 -41.4768
139.783309 64.213 -34.2974
140.796237 66.537 -36.3475
141.816504 68.317 -41.6178
142.844165 69.624 -47.9651
143.879273 70.557 -54.3264
144.921881 71.203 -60.2352
145.972045 71.653 -65.2338
147.029819 71.999 -69.2733
148.095257 72.292 -72.9406
149.168417 72.536 -76.4683
150.249353 72.761 -79.4997
151.338121 73.017 -82.2744
152.434780 73.286 -85.8865
153.539385 73.436 -91.2203
154.651995 73.288 -97.9836
155.772667 72.737 -104.1727
156.901460 71.863 -107.1127
158.038432 70.924 -105.9039
159.183644 70.151 -102.6770
160.337154 69.593 -98.7274
161.499023 69.325 -92.4075
162.669312 69.541 -84.1598
