* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.0 dBFS, measurement signal peak level -23.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:50:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -4.2822 ms (-1.469 m, -(4 ft 9.8 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: ottoman-p1-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 20.062 -48.2711
10.166832 20.298 -50.0027
10.240505 20.583 -51.7492
10.314712 20.877 -53.5182
10.389457 21.168 -55.3237
10.464743 21.443 -57.1895
10.540575 21.690 -59.1436
10.616956 21.916 -61.1563
10.693891 22.116 -63.2019
10.771383 22.287 -65.2683
10.849437 22.429 -67.4436
10.928057 22.543 -69.7358
11.007246 22.621 -72.0641
11.087009 22.658 -74.3602
11.167350 22.653 -76.6757
11.248273 22.608 -79.1462
11.329783 22.514 -81.6551
11.411883 22.362 -84.0722
11.494578 22.149 -86.3680
11.577873 21.880 -88.7690
11.661771 21.539 -91.1572
11.746277 21.110 -93.3402
11.831395 20.583 -95.1839
11.917130 19.965 -96.8874
12.003487 19.236 -98.2942
12.090469 18.360 -99.0869
12.178081 17.260 -98.8683
12.266329 15.918 -97.3540
12.355216 14.558 -93.8650
12.444747 13.469 -87.3755
12.534926 12.767 -76.3084
12.625760 12.407 -60.0551
12.717251 12.466 -42.5811
12.809406 13.081 -29.2938
12.902228 14.341 -20.7239
12.995723 15.941 -15.8695
13.089895 17.466 -13.6367
13.184750 18.687 -13.2023
13.280292 19.715 -13.9356
13.376526 20.607 -15.3542
13.473458 21.382 -17.1882
13.571093 22.035 -19.5262
13.669434 22.572 -22.2152
13.768489 23.020 -25.0097
13.868261 23.389 -27.9048
13.968756 23.674 -31.0971
14.069979 23.880 -34.3670
14.171936 24.017 -37.5655
14.274632 24.082 -40.9751
14.378072 24.074 -44.4929
14.482261 23.993 -47.9002
14.587206 23.841 -51.4000
14.692910 23.610 -55.0358
14.799381 23.290 -58.5539
14.906624 22.882 -62.0062
15.014643 22.376 -65.5709
15.123446 21.744 -68.9409
15.233036 20.975 -71.9648
15.343421 20.059 -74.8325
15.454606 18.929 -77.0915
15.566596 17.471 -78.0833
15.679398 15.739 -77.2846
15.793018 14.092 -73.1625
15.907460 12.779 -62.4871
16.022732 11.885 -42.0426
16.138840 11.887 -19.9572
16.255788 13.174 -6.4400
16.373585 15.199 -0.5294
16.492234 17.072 0.1356
16.611744 18.516 -2.4504
16.732119 19.704 -6.6210
16.853367 20.677 -11.7403
16.975494 21.434 -18.2351
17.098505 22.005 -25.3083
17.222408 22.428 -32.6596
17.347209 22.700 -41.1980
17.472914 22.835 -49.9821
17.599530 22.843 -59.1824
17.727063 22.723 -69.6265
17.855521 22.487 -80.0939
17.984909 22.134 -91.8335
18.115235 21.684 -104.8276
18.246506 21.165 -118.1854
18.378727 20.587 -134.0434
18.511907 20.053 -150.9648
18.646052 19.612 -169.7244
18.781169 19.318 169.2954
18.917265 19.270 149.0087
19.054347 19.465 127.8155
19.192423 19.803 108.9678
19.331499 20.249 91.5628
19.471583 20.723 75.6239
19.612682 21.124 62.1565
19.754804 21.444 49.1766
19.897956 21.643 38.2160
20.042144 21.708 28.0370
20.187378 21.645 19.0490
20.333664 21.452 11.6921
20.481010 21.164 5.3181
20.629424 20.831 0.7980
20.778913 20.499 -2.1073
20.929486 20.306 -3.8960
21.081150 20.288 -4.1661
21.233912 20.471 -4.6782
21.387782 20.862 -5.5309
21.542767 21.321 -7.3815
21.698874 21.759 -10.8123
21.856113 22.091 -15.1006
22.014492 22.223 -20.5864
22.174018 22.113 -26.8245
22.334700 21.690 -33.3161
22.496546 20.880 -40.5570
22.659566 19.513 -46.9926
22.823766 17.619 -53.5958
22.989157 15.277 -56.0151
23.155745 13.341 -33.4185
23.323542 14.461 70.4984
23.492554 17.620 75.9204
23.662790 20.335 71.3081
23.834261 22.494 64.9690
24.006973 24.098 58.6534
24.180938 25.222 52.2361
24.356163 26.012 46.8682
24.532658 26.518 42.1286
24.710431 26.835 39.1369
24.889493 27.065 37.5711
25.069853 27.356 38.1703
25.251519 27.844 40.0201
25.434502 28.650 42.2401
25.618811 29.712 44.4148
25.804456 30.963 44.8281
25.991445 32.235 43.1991
26.179790 33.454 40.1182
26.369500 34.546 35.6884
26.560584 35.495 30.4301
26.753053 36.286 24.5388
26.946917 36.921 18.4190
27.142185 37.405 12.0679
27.338869 37.746 5.9787
27.536977 37.951 0.0193
27.736522 38.039 -5.3122
27.937512 38.028 -10.0675
28.139959 37.947 -13.9225
28.343872 37.847 -16.8329
28.549264 37.773 -18.6985
28.756143 37.796 -19.7310
28.964522 37.948 -20.2656
29.174411 38.250 -20.6937
29.385821 38.661 -21.6567
29.598763 39.134 -23.2510
29.813248 39.597 -25.7136
30.029287 39.993 -28.7618
30.246891 40.287 -32.3014
30.466073 40.451 -35.8846
30.686842 40.488 -39.1661
30.909212 40.410 -41.8707
31.133193 40.276 -43.4622
31.358797 40.166 -43.9280
31.586035 40.170 -43.2188
31.814921 40.380 -42.0739
32.045465 40.785 -41.3444
32.277680 41.333 -41.6152
32.511577 41.898 -43.4081
32.747169 42.383 -46.4209
32.984469 42.720 -50.3785
33.223488 42.860 -54.8647
33.464239 42.790 -59.1613
33.706735 42.522 -62.8700
33.950987 42.096 -65.3831
34.197010 41.615 -66.0414
34.444816 41.236 -64.8633
34.694417 41.099 -62.3110
34.945827 41.289 -59.6359
35.199059 41.718 -58.3931
35.454126 42.229 -58.9742
35.711041 42.685 -61.2089
35.969818 42.992 -64.6802
36.230470 43.107 -68.6710
36.493011 43.032 -72.6240
36.757455 42.790 -76.1250
37.023814 42.422 -78.7614
37.292104 41.996 -80.2086
37.562338 41.595 -80.4734
37.834530 41.290 -79.8193
38.108695 41.119 -78.7035
38.384846 41.083 -77.6727
38.662999 41.137 -77.1516
38.943167 41.218 -77.2743
39.225365 41.272 -77.9258
39.509608 41.263 -78.8866
39.795911 41.170 -79.8945
40.084289 40.988 -80.6781
40.374756 40.721 -80.9813
40.667328 40.382 -80.5694
40.962020 39.987 -79.1721
41.258848 39.569 -76.3538
41.557827 39.220 -71.4591
41.858972 39.130 -63.9404
42.162299 39.536 -54.3912
42.467824 40.539 -45.3163
42.775564 41.959 -39.4506
43.085533 43.476 -37.6102
43.397749 44.856 -39.0646
43.712227 45.988 -42.6901
44.028983 46.841 -47.4855
44.348036 47.426 -52.6669
44.669400 47.778 -57.6368
44.993093 47.953 -61.9749
45.319131 48.023 -65.4760
45.647532 48.053 -68.1965
45.978313 48.088 -70.4290
46.311491 48.135 -72.5481
46.647083 48.164 -74.8043
46.985107 48.139 -77.2081
47.325581 48.034 -79.5634
47.668521 47.851 -81.5952
48.013947 47.617 -83.0999
48.361876 47.368 -84.0629
48.712326 47.130 -84.6805
49.065315 46.902 -85.2374
49.420863 46.648 -85.8998
49.778987 46.325 -86.5652
50.139706 45.900 -86.8541
50.503039 45.382 -86.2349
50.869005 44.820 -84.2454
51.237623 44.296 -80.7610
51.608912 43.876 -76.0337
51.982891 43.596 -70.2183
52.359580 43.529 -62.8241
52.739000 43.872 -53.2508
53.121168 44.835 -42.8292
53.506106 46.335 -35.1462
53.893833 48.018 -32.3623
54.284370 49.565 -33.9408
54.677737 50.812 -38.3728
55.073955 51.713 -44.2713
55.473043 52.285 -50.5822
55.875024 52.579 -56.5502
56.279917 52.661 -61.7026
56.687745 52.609 -65.7926
57.098527 52.496 -68.8401
57.512287 52.377 -71.0830
57.929045 52.278 -72.8391
58.348822 52.200 -74.3847
58.771642 52.130 -75.9300
59.197525 52.046 -77.6083
59.626495 51.917 -79.4797
60.058573 51.708 -81.5142
60.493782 51.382 -83.5409
60.932145 50.908 -85.2084
61.373685 50.277 -85.9911
61.818424 49.517 -85.1698
62.266386 48.724 -82.0168
62.717593 48.056 -76.2108
63.172071 47.693 -68.4153
63.629842 47.723 -60.2042
64.090930 48.089 -52.9598
64.555359 48.664 -47.2102
65.023154 49.337 -42.8612
65.494339 50.041 -39.6487
65.968938 50.742 -37.3108
66.446976 51.424 -35.6411
66.928478 52.081 -34.5055
67.413469 52.709 -33.8545
67.901975 53.295 -33.6863
68.394021 53.821 -33.9667
68.889632 54.266 -34.5469
69.388835 54.622 -35.1560
69.891655 54.900 -35.5407
70.398118 55.116 -35.5609
70.908252 55.279 -35.1898
71.422083 55.392 -34.2684
71.939636 55.481 -32.3527
72.460941 55.634 -28.8644
72.986023 55.990 -23.7701
73.514909 56.657 -17.9382
74.047629 57.639 -12.5302
74.584208 58.879 -8.2214
75.124676 60.312 -5.3983
75.669061 61.853 -4.5223
76.217390 63.391 -5.9801
76.769692 64.822 -9.6380
77.325997 66.077 -14.9898
77.886333 67.132 -21.4401
78.450730 67.988 -28.5350
79.019216 68.651 -36.0088
79.591822 69.124 -43.6553
80.168577 69.405 -51.1995
80.749512 69.511 -58.2386
81.334656 69.498 -64.3437
81.924040 69.449 -69.4449
82.517696 69.427 -74.0364
83.115653 69.419 -78.8539
83.717943 69.351 -84.2128
84.324598 69.152 -89.7203
84.935649 68.811 -94.7288
85.551128 68.371 -98.8530
86.171066 67.882 -102.1127
86.795497 67.371 -104.6224
87.424453 66.857 -106.3499
88.057967 66.363 -107.3525
88.696071 65.898 -107.8356
89.338800 65.452 -107.6667
89.986185 65.066 -106.2712
90.638262 64.858 -103.4105
91.295065 64.950 -99.8411
91.956626 65.363 -96.9814
92.622982 65.983 -96.2235
93.294166 66.609 -98.1774
93.970214 67.063 -102.1471
94.651161 67.297 -106.6376
95.337042 67.393 -110.5153
96.027894 67.472 -113.8545
96.723752 67.581 -117.5495
97.424652 67.674 -122.1737
98.130631 67.690 -127.7134
98.841726 67.586 -133.9960
99.557974 67.330 -140.8174
100.279412 66.910 -147.8778
101.006078 66.338 -154.9335
101.738010 65.637 -161.9853
102.475245 64.826 -169.2153
103.217823 63.911 -176.7864
103.965782 62.911 175.1469
104.719161 61.874 166.2710
105.477999 60.890 156.0599
106.242336 60.124 143.7173
107.012212 59.778 128.2009
107.787666 59.937 109.2289
108.568740 60.496 88.4694
109.355474 61.285 68.6610
110.147909 62.183 51.5563
110.946086 63.115 37.4037
111.750047 64.019 25.5911
112.559834 64.828 15.2427
113.375489 65.466 5.8276
114.197055 65.900 -2.3326
115.024574 66.201 -8.5241
115.858089 66.500 -12.8260
116.697645 66.862 -16.3724
117.543284 67.238 -20.2399
118.395051 67.526 -24.7368
119.252990 67.637 -29.5129
120.117147 67.536 -33.6973
120.987565 67.267 -36.2931
121.864291 66.935 -36.8011
122.747370 66.666 -35.2998
123.636848 66.587 -31.9297
124.532771 66.834 -27.0281
125.435187 67.431 -22.5902
126.344142 68.186 -20.9095
127.259684 68.903 -20.9893
128.181860 69.609 -20.7123
129.110718 70.403 -20.4180
130.046308 71.257 -21.4810
130.988677 72.077 -24.1243
131.937875 72.774 -28.2059
132.893951 73.269 -33.4760
133.856956 73.501 -39.2689
134.826938 73.458 -44.6232
135.803950 73.191 -48.5097
136.788041 72.831 -49.9214
137.779264 72.594 -48.5996
138.777669 72.648 -46.1605
139.783309 72.962 -44.7726
140.796237 73.371 -45.1177
141.816504 73.735 -46.7145
142.844165 74.008 -48.6275
143.879273 74.243 -49.9540
144.921881 74.532 -50.8403
145.972045 74.898 -52.2587
147.029819 75.278 -54.8745
148.095257 75.566 -58.9296
149.168417 75.655 -64.1389
150.249353 75.473 -69.5294
151.338121 75.037 -73.7596
152.434780 74.446 -75.9872
153.539385 73.846 -75.9600
154.651995 73.405 -73.8497
155.772667 73.202 -71.7168
156.901460 73.084 -71.6821
158.038432 72.834 -72.5717
159.183644 72.458 -71.4298
160.337154 72.224 -66.7983
161.499023 72.428 -60.3043
162.669312 73.091 -55.4890
163.848081 73.948 -54.3843
165.035392 74.714 -56.6113
