* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.7 dBFS, measurement signal peak level -19.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:51:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.5299 ms (-182 mm, -7.16 in) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: ottoman-p1-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 62.993 -66.6328
10.166832 63.117 -68.3989
10.240505 63.268 -70.1541
10.314712 63.423 -71.9003
10.389457 63.580 -73.6390
10.464743 63.740 -75.3710
10.540575 63.902 -77.0928
10.616956 64.066 -78.8078
10.693891 64.232 -80.5204
10.771383 64.399 -82.2346
10.849437 64.567 -83.9465
10.928057 64.737 -85.6556
11.007246 64.907 -87.3675
11.087009 65.078 -89.0878
11.167350 65.250 -90.8173
11.248273 65.424 -92.5510
11.329783 65.597 -94.2927
11.411883 65.771 -96.0467
11.494578 65.944 -97.8160
11.577873 66.117 -99.5977
11.661771 66.290 -101.3904
11.746277 66.461 -103.1938
11.831395 66.629 -105.0096
11.917130 66.796 -106.8410
12.003487 66.961 -108.6808
12.090469 67.122 -110.5219
12.178081 67.281 -112.3650
12.266329 67.436 -114.2175
12.355216 67.588 -116.0680
12.444747 67.737 -117.9046
12.534926 67.883 -119.7298
12.625760 68.025 -121.5499
12.717251 68.165 -123.3537
12.809406 68.305 -125.1308
12.902228 68.442 -126.8857
12.995723 68.579 -128.6214
13.089895 68.716 -130.3359
13.184750 68.856 -132.0252
13.280292 68.998 -133.6884
13.376526 69.142 -135.3381
13.473458 69.291 -136.9862
13.571093 69.445 -138.6208
13.669434 69.604 -140.2504
13.768489 69.768 -141.9004
13.868261 69.937 -143.5789
13.968756 70.111 -145.2704
14.069979 70.289 -146.9987
14.171936 70.470 -148.7855
14.274632 70.653 -150.6165
14.378072 70.837 -152.4961
14.482261 71.019 -154.4372
14.587206 71.199 -156.4427
14.692910 71.375 -158.5024
14.799381 71.544 -160.6090
14.906624 71.706 -162.7699
15.014643 71.860 -164.9807
15.123446 72.005 -167.2150
15.233036 72.138 -169.4713
15.343421 72.261 -171.7592
15.454606 72.373 -174.0432
15.566596 72.474 -176.3124
15.679398 72.563 -178.5836
15.793018 72.642 179.1768
15.907460 72.712 176.9816
16.022732 72.772 174.8164
16.138840 72.825 172.7052
16.255788 72.872 170.6572
16.373585 72.913 168.6639
16.492234 72.951 166.7372
16.611744 72.986 164.8816
16.732119 73.021 163.0929
16.853367 73.057 161.3699
16.975494 73.096 159.7181
17.098505 73.139 158.1283
17.222408 73.188 156.5905
17.347209 73.244 155.1124
17.472914 73.309 153.6700
17.599530 73.385 152.2535
17.727063 73.471 150.8642
17.855521 73.568 149.4609
17.984909 73.677 148.0493
18.115235 73.797 146.6077
18.246506 73.926 145.1016
18.378727 74.063 143.5427
18.511907 74.203 141.9049
18.646052 74.347 140.1783
18.781169 74.489 138.3731
18.917265 74.626 136.4882
19.054347 74.756 134.5219
19.192423 74.877 132.5040
19.331499 74.985 130.4273
19.471583 75.081 128.3677
19.612682 75.164 126.3058
19.754804 75.235 124.2482
19.897956 75.296 122.2439
20.042144 75.349 120.2925
20.187378 75.398 118.4003
20.333664 75.446 116.5807
20.481010 75.494 114.8187
20.629424 75.547 113.1004
20.778913 75.604 111.4253
20.929486 75.666 109.7578
21.081150 75.732 108.1003
21.233912 75.801 106.4382
21.387782 75.871 104.7635
21.542767 75.940 103.0935
21.698874 76.006 101.4280
21.856113 76.070 99.7863
22.014492 76.132 98.1891
22.174018 76.196 96.6359
22.334700 76.265 95.1441
22.496546 76.341 93.7016
22.659566 76.429 92.2912
22.823766 76.529 90.9033
22.989157 76.643 89.4925
23.155745 76.770 88.0571
23.323542 76.906 86.5635
23.492554 77.049 85.0161
23.662790 77.196 83.4221
23.834261 77.346 81.7865
24.006973 77.501 80.1425
24.180938 77.663 78.4849
24.356163 77.838 76.8258
24.532658 78.030 75.1369
24.710431 78.245 73.3748
24.889493 78.482 71.4854
25.069853 78.740 69.3926
25.251519 79.011 67.0436
25.434502 79.286 64.3860
25.618811 79.550 61.4169
25.804456 79.793 58.1241
25.991445 80.000 54.5880
26.179790 80.164 50.8185
26.369500 80.278 46.9574
26.560584 80.340 43.0316
26.753053 80.353 39.1799
26.946917 80.325 35.4504
27.142185 80.262 31.9230
27.338869 80.181 28.6273
27.536977 80.094 25.5801
27.736522 80.018 22.7275
27.937512 79.961 20.0113
28.139959 79.929 17.3403
28.343872 79.919 14.5897
28.549264 79.926 11.7058
28.756143 79.936 8.5930
28.964522 79.937 5.2576
29.174411 79.914 1.6785
29.385821 79.853 -2.0718
29.598763 79.744 -5.9620
29.813248 79.579 -9.8934
30.029287 79.353 -13.7499
30.246891 79.062 -17.4511
30.466073 78.712 -20.8083
30.686842 78.314 -23.7018
30.909212 77.885 -25.9783
31.133193 77.464 -27.5304
31.358797 77.091 -28.3922
31.586035 76.807 -28.6515
31.814921 76.646 -28.7125
32.045465 76.606 -28.9526
32.277680 76.665 -29.6984
32.511577 76.768 -31.2104
32.747169 76.865 -33.4351
32.984469 76.916 -36.2632
33.223488 76.890 -39.4709
33.464239 76.778 -42.7311
33.706735 76.588 -45.8286
33.950987 76.338 -48.5215
34.197010 76.068 -50.6240
34.444816 75.825 -52.1582
34.694417 75.648 -53.2491
34.945827 75.570 -54.1831
35.199059 75.592 -55.4055
35.454126 75.685 -57.2198
35.711041 75.810 -59.7993
35.969818 75.919 -63.2003
36.230470 75.968 -67.3084
36.493011 75.926 -71.9164
36.757455 75.777 -76.8126
37.023814 75.514 -81.7656
37.292104 75.142 -86.5040
37.562338 74.681 -90.7949
37.834530 74.163 -94.5072
38.108695 73.624 -97.5898
38.384846 73.102 -100.1123
38.662999 72.623 -102.2872
38.943167 72.194 -104.3823
39.225365 71.799 -106.5544
39.509608 71.422 -108.8399
39.795911 71.049 -111.1793
40.084289 70.684 -113.4705
40.374756 70.343 -115.6555
40.667328 70.053 -117.8140
40.962020 69.833 -120.1846
41.258848 69.682 -123.0804
41.557827 69.578 -126.7949
41.858972 69.482 -131.5306
42.162299 69.350 -137.3762
42.467824 69.136 -144.3195
42.775564 68.799 -152.2733
43.085533 68.305 -161.0968
43.397749 67.627 -170.6098
43.712227 66.748 179.3915
44.028983 65.664 169.0956
44.348036 64.382 158.6372
44.669400 62.927 148.0459
44.993093 61.339 137.1882
45.319131 59.675 125.7390
45.647532 58.002 113.2570
45.978313 56.404 99.4251
46.311491 54.980 84.4394
46.647083 53.845 69.3135
46.985107 53.108 55.6398
47.325581 52.831 44.7009
47.668521 52.997 36.6941
48.013947 53.488 30.8306
48.361876 54.137 26.1550
48.712326 54.794 22.2559
49.065315 55.393 19.3602
49.420863 55.963 18.0010
49.778987 56.616 18.5132
50.139706 57.480 20.4927
50.503039 58.604 22.7046
50.869005 59.925 23.8514
51.237623 61.331 23.4009
51.608912 62.745 21.5375
51.982891 64.148 18.5881
52.359580 65.542 14.5877
52.739000 66.913 9.2342
53.121168 68.204 2.1731
53.506106 69.336 -6.6911
53.893833 70.230 -17.1231
54.284370 70.829 -28.6685
54.677737 71.097 -40.7385
55.073955 71.027 -52.6780
55.473043 70.639 -63.8157
55.875024 69.980 -73.5363
56.279917 69.132 -81.3940
56.687745 68.190 -87.2612
57.098527 67.241 -91.4341
57.512287 66.327 -94.3633
57.929045 65.455 -96.2248
58.348822 64.643 -96.8675
58.771642 63.948 -96.2143
59.197525 63.437 -94.6629
59.626495 63.133 -92.8964
60.058573 63.019 -91.3611
60.493782 63.072 -90.2081
60.932145 63.277 -89.7125
61.373685 63.592 -90.3667
61.818424 63.938 -92.5070
62.266386 64.227 -95.9896
62.717593 64.404 -100.3397
63.172071 64.459 -105.0385
63.629842 64.411 -109.7239
64.090930 64.291 -114.2308
64.555359 64.129 -118.5125
65.023154 63.959 -122.6309
65.494339 63.803 -126.7897
65.968938 63.662 -131.3141
66.446976 63.512 -136.4263
66.928478 63.321 -142.1101
67.413469 63.076 -148.2146
67.901975 62.786 -154.7177
68.394021 62.454 -161.8196
68.889632 62.061 -169.7262
69.388835 61.585 -178.3994
69.891655 61.036 172.3180
70.398118 60.473 162.2336
70.908252 59.959 150.4370
71.422083 59.487 135.5281
71.939636 58.965 116.4695
72.460941 58.274 92.9548
72.986023 57.345 65.0537
73.514909 56.168 33.4974
74.047629 54.788 -0.6788
74.584208 53.291 -36.3269
75.124676 51.863 -73.6497
75.669061 50.912 -115.3246
76.217390 51.039 -162.4619
76.769692 52.340 153.2222
77.325997 54.242 119.0267
77.886333 56.244 93.6307
78.450730 58.195 73.9504
79.019216 60.060 57.4392
79.591822 61.771 41.8812
80.168577 63.226 26.1606
80.749512 64.364 10.2765
81.334656 65.198 -5.2498
81.924040 65.787 -20.1587
82.517696 66.173 -34.8037
83.115653 66.330 -49.7810
83.717943 66.171 -65.2905
84.324598 65.608 -80.8285
84.935649 64.591 -95.5355
85.551128 63.106 -108.5563
86.171066 61.145 -119.1184
86.795497 58.689 -125.9376
87.424453 55.853 -124.6807
88.057967 53.738 -95.8440
88.696071 54.651 -40.8196
89.338800 57.557 -27.9127
89.986185 60.426 -31.3960
90.638262 62.784 -40.8961
91.295065 64.612 -53.6481
91.956626 65.943 -68.4738
92.622982 66.798 -84.7531
93.294166 67.172 -102.0894
93.970214 67.035 -119.9989
94.651161 66.355 -137.6687
95.337042 65.127 -153.9955
96.027894 63.386 -167.9547
96.723752 61.176 -178.9034
97.424652 58.514 174.2721
98.130631 55.505 176.4487
98.841726 52.907 -158.8441
99.557974 52.336 -125.8264
100.279412 53.529 -116.6277
101.006078 54.937 -118.6593
101.738010 56.037 -124.2749
102.475245 56.786 -132.0195
103.217823 57.136 -141.8505
103.965782 57.019 -152.6125
104.719161 56.454 -162.4116
105.477999 55.553 -170.0065
106.242336 54.459 -175.1569
107.012212 53.318 -177.6172
107.787666 52.332 -177.3191
108.568740 51.687 -176.3423
109.355474 51.343 -177.9896
110.147909 51.047 176.9049
110.946086 50.605 170.1166
111.750047 50.031 163.2571
112.559834 49.442 155.6421
113.375489 48.866 145.4349
114.197055 48.234 131.7472
115.024574 47.473 114.1827
115.858089 46.525 92.4779
116.697645 45.367 67.4244
117.543284 44.098 41.4016
118.395051 42.953 16.9912
119.252990 42.038 -4.8362
120.117147 41.130 -23.3665
120.987565 40.012 -35.5957
121.864291 38.982 -36.3096
122.747370 38.946 -23.1384
123.636848 40.268 -9.6368
124.532771 42.080 -7.6251
125.435187 43.615 -13.1348
126.344142 44.616 -21.7643
127.259684 45.009 -31.4196
128.181860 44.796 -39.6115
129.110718 44.139 -43.1588
130.046308 43.420 -39.1061
130.988677 43.161 -27.8855
131.937875 43.577 -17.5436
132.893951 44.511 -10.9766
133.856956 46.155 -1.9506
134.826938 48.837 16.7017
135.803950 51.959 26.2881
136.788041 54.620 17.9023
137.779264 56.420 1.4331
138.777669 57.323 -16.4893
139.783309 57.484 -31.9532
140.796237 57.180 -42.5474
141.816504 56.795 -47.3398
142.844165 56.739 -47.3563
143.879273 57.210 -46.4755
144.921881 57.999 -49.3727
145.972045 58.743 -56.2610
147.029819 59.261 -64.7614
148.095257 59.550 -73.2102
149.168417 59.662 -81.3530
150.249353 59.616 -89.4912
151.338121 59.430 -97.0273
152.434780 59.200 -102.9983
153.539385 59.034 -108.4712
154.651995 58.864 -116.2598
155.772667 58.450 -126.8445
156.901460 57.594 -137.8484
158.038432 56.269 -146.1794
159.183644 54.647 -148.6448
160.337154 53.136 -143.6660
161.499023 52.235 -135.2280
162.669312 52.122 -128.1494
163.848081 52.474 -126.9954
165.035392 52.721 -133.0181
166.231306 52.455 -142.5601
167.435887 51.547 -151.2354
168.649196 50.080 -155.9346
169.871298 48.396 -152.5718
171.102255 47.518 -131.0085
172.342133 48.505 -100.6445
