* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.2 dBFS, measurement signal peak level -20.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:51:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.0888 ms (-2.431 m, -(7 ft 11.7 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: ottoman-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 58.598 -61.1998
10.166832 58.707 -62.9833
10.240505 58.838 -64.8027
10.314712 58.974 -66.6464
10.389457 59.109 -68.5052
10.464743 59.239 -70.3801
10.540575 59.359 -72.3050
10.616956 59.472 -74.2560
10.693891 59.575 -76.2003
10.771383 59.666 -78.1074
10.849437 59.745 -80.0146
10.928057 59.813 -81.9350
11.007246 59.869 -83.8234
11.087009 59.915 -85.6325
11.167350 59.950 -87.3559
11.248273 59.971 -89.0410
11.329783 59.985 -90.6551
11.411883 59.994 -92.1580
11.494578 59.999 -93.5191
11.577873 59.999 -94.7633
11.661771 59.999 -95.8952
11.746277 60.007 -96.9134
11.831395 60.028 -97.8010
11.917130 60.059 -98.5338
12.003487 60.104 -99.1655
12.090469 60.170 -99.7571
12.178081 60.263 -100.3169
12.266329 60.381 -100.7918
12.355216 60.522 -101.2727
12.444747 60.684 -101.8553
12.534926 60.870 -102.5324
12.625760 61.078 -103.2642
12.717251 61.300 -104.1192
12.809406 61.527 -105.1590
12.902228 61.761 -106.3546
12.995723 62.000 -107.6834
13.089895 62.234 -109.1506
13.184750 62.456 -110.7706
13.280292 62.671 -112.5411
13.376526 62.872 -114.4143
13.473458 63.057 -116.3502
13.571093 63.224 -118.3888
13.669434 63.374 -120.5108
13.768489 63.505 -122.6494
13.868261 63.618 -124.7851
13.968756 63.712 -126.9678
14.069979 63.789 -129.1463
14.171936 63.852 -131.2708
14.274632 63.899 -133.3793
14.378072 63.934 -135.4650
14.482261 63.959 -137.4987
14.587206 63.975 -139.4806
14.692910 63.983 -141.4264
14.799381 63.986 -143.3392
14.906624 63.984 -145.2147
15.014643 63.978 -147.0588
15.123446 63.967 -148.8892
15.233036 63.953 -150.7146
15.343421 63.934 -152.5305
15.454606 63.909 -154.3444
15.566596 63.876 -156.1663
15.679398 63.836 -157.9956
15.793018 63.785 -159.8195
15.907460 63.723 -161.6381
16.022732 63.650 -163.4583
16.138840 63.565 -165.2574
16.255788 63.467 -167.0281
16.373585 63.356 -168.7791
16.492234 63.234 -170.4961
16.611744 63.099 -172.1734
16.732119 62.951 -173.8170
16.853367 62.791 -175.4288
16.975494 62.618 -177.0084
17.098505 62.429 -178.5539
17.222408 62.221 179.9326
17.347209 61.993 178.4454
17.472914 61.740 177.0205
17.599530 61.456 175.6716
17.727063 61.140 174.4059
17.855521 60.785 173.3219
17.984909 60.389 172.4414
18.115235 59.954 171.8294
18.246506 59.481 171.6137
18.378727 58.973 171.8610
18.511907 58.452 172.6180
18.646052 57.924 174.0214
18.781169 57.410 176.0840
18.917265 56.943 178.6885
19.054347 56.527 -178.0859
19.192423 56.171 -174.4243
19.331499 55.881 -170.4685
19.471583 55.649 -166.1259
19.612682 55.462 -161.3114
19.754804 55.338 -156.0392
19.897956 55.335 -149.8177
20.042144 55.479 -142.8339
20.187378 55.858 -135.3926
20.333664 56.542 -127.9913
20.481010 57.465 -121.6382
20.629424 58.556 -117.0678
20.778913 59.759 -114.1204
20.929486 60.936 -113.0948
21.081150 62.058 -113.3835
21.233912 63.077 -114.8140
21.387782 63.974 -117.1625
21.542767 64.743 -120.0160
21.698874 65.377 -123.3647
21.856113 65.881 -126.8828
22.014492 66.255 -130.4400
22.174018 66.505 -133.9514
22.334700 66.638 -137.0876
22.496546 66.663 -139.9093
22.659566 66.599 -142.0034
22.823766 66.466 -143.4148
22.989157 66.309 -143.8357
23.155745 66.158 -143.2443
23.323542 66.086 -141.6684
23.492554 66.126 -139.1822
23.662790 66.331 -136.2643
23.834261 66.704 -133.1685
24.006973 67.227 -130.4503
24.180938 67.876 -128.2589
24.356163 68.600 -126.8232
24.532658 69.377 -126.1110
24.710431 70.172 -126.1366
24.889493 70.973 -126.8299
25.069853 71.761 -128.1593
25.251519 72.525 -130.0710
25.434502 73.253 -132.5211
25.618811 73.934 -135.4435
25.804456 74.558 -138.7959
25.991445 75.117 -142.4582
26.179790 75.606 -146.4033
26.369500 76.020 -150.4628
26.560584 76.361 -154.6077
26.753053 76.631 -158.6816
26.946917 76.840 -162.6173
27.142185 76.996 -166.3364
27.338869 77.119 -169.7584
27.536977 77.223 -172.8780
27.736522 77.331 -175.7047
27.937512 77.455 -178.3223
28.139959 77.610 179.1853
28.343872 77.794 176.6325
28.549264 78.002 173.9573
28.756143 78.217 170.9977
28.964522 78.423 167.7685
29.174411 78.599 164.2250
29.385821 78.726 160.4806
29.598763 78.793 156.5775
29.813248 78.789 152.6620
30.029287 78.714 148.8928
30.246891 78.570 145.3568
30.466073 78.370 142.2772
30.686842 78.134 139.7301
30.909212 77.887 137.8324
31.133193 77.670 136.5812
31.358797 77.515 135.8504
31.586035 77.449 135.4891
31.814921 77.482 135.1150
32.045465 77.596 134.4824
32.277680 77.767 133.4051
32.511577 77.950 131.7630
32.747169 78.110 129.6523
32.984469 78.222 127.1779
33.223488 78.267 124.5275
33.464239 78.244 121.9699
33.706735 78.164 119.6776
33.950987 78.048 117.8447
34.197010 77.940 116.6075
34.444816 77.884 115.8870
34.694417 77.920 115.4969
34.945827 78.071 115.1054
35.199059 78.327 114.2318
35.454126 78.646 112.5966
35.711041 78.982 110.0812
35.969818 79.283 106.6764
36.230470 79.505 102.5462
36.493011 79.623 97.9354
36.757455 79.624 93.0658
37.023814 79.506 88.1641
37.292104 79.276 83.4919
37.562338 78.956 79.2638
37.834530 78.577 75.5873
38.108695 78.172 72.5054
38.384846 77.774 69.9677
38.662999 77.407 67.8076
38.943167 77.076 65.8033
39.225365 76.772 63.8170
39.509608 76.478 61.8059
39.795911 76.182 59.8091
40.084289 75.880 57.9171
40.374756 75.584 56.2123
40.667328 75.309 54.6943
40.962020 75.074 53.2445
41.258848 74.879 51.6781
41.557827 74.714 49.8145
41.858972 74.552 47.5395
42.162299 74.362 44.8375
42.467824 74.115 41.7900
42.775564 73.788 38.5539
43.085533 73.367 35.3358
43.397749 72.850 32.3694
43.712227 72.246 29.8890
44.028983 71.579 28.0910
44.348036 70.881 27.0917
44.669400 70.192 26.8890
44.993093 69.544 27.3598
45.319131 68.959 28.3132
45.647532 68.444 29.5703
45.978313 68.000 31.0043
46.311491 67.626 32.5145
46.647083 67.322 33.9792
46.985107 67.079 35.2575
47.325581 66.879 36.2492
47.668521 66.701 36.9474
48.013947 66.530 37.4248
48.361876 66.363 37.7667
48.712326 66.199 38.0204
49.065315 66.041 38.2097
49.420863 65.890 38.3915
49.778987 65.756 38.6690
50.139706 65.664 39.1078
50.503039 65.646 39.6128
50.869005 65.723 39.9004
51.237623 65.889 39.6407
51.608912 66.117 38.6380
51.982891 66.386 36.8446
52.359580 66.683 34.2022
52.739000 66.994 30.5093
53.121168 67.283 25.4817
53.506106 67.481 18.9583
53.893833 67.509 11.0386
54.284370 67.296 2.0904
54.677737 66.791 -7.2933
55.073955 65.976 -16.3688
55.473043 64.876 -24.3229
55.875024 63.564 -30.4238
56.279917 62.161 -34.2456
56.687745 60.814 -35.9593
57.098527 59.639 -36.1790
57.512287 58.718 -35.3082
57.929045 58.157 -33.5236
58.348822 58.077 -31.6609
58.771642 58.478 -31.3921
59.197525 59.190 -33.8140
59.626495 60.026 -38.6887
60.058573 60.895 -45.2155
60.493782 61.780 -52.8148
60.932145 62.667 -61.3347
61.373685 63.514 -70.7646
61.818424 64.255 -80.9404
62.266386 64.839 -91.4210
62.717593 65.249 -101.6772
63.172071 65.509 -111.1981
63.629842 65.670 -119.6714
64.090930 65.786 -127.0999
64.555359 65.890 -133.7083
65.023154 65.990 -139.7905
65.494339 66.073 -145.5454
65.968938 66.119 -151.0491
66.446976 66.111 -156.2715
66.928478 66.041 -161.1146
67.413469 65.912 -165.4697
67.901975 65.735 -169.2936
68.394021 65.517 -172.6298
68.889632 65.257 -175.5274
69.388835 64.948 -177.9557
69.891655 64.584 -179.8114
70.398118 64.167 179.0193
70.908252 63.702 178.7573
71.422083 63.222 179.9282
71.939636 62.827 -176.9466
72.460941 62.658 -172.3469
72.986023 62.748 -167.9128
73.514909 62.988 -164.6650
74.047629 63.280 -161.9082
74.584208 63.650 -158.6575
75.124676 64.179 -155.1500
75.669061 64.860 -152.4474
76.217390 65.608 -151.1033
76.769692 66.345 -150.9461
77.325997 67.026 -151.6248
77.886333 67.640 -152.5945
78.450730 68.239 -153.2125
79.019216 68.910 -153.4011
79.591822 69.688 -154.0776
80.168577 70.505 -156.1082
80.749512 71.274 -159.4147
81.334656 71.966 -163.4539
81.924040 72.589 -168.0872
82.517696 73.126 -173.5613
83.115653 73.524 -179.9433
83.717943 73.741 173.1082
84.324598 73.766 166.0881
84.935649 73.612 159.3776
85.551128 73.308 153.2527
86.171066 72.893 147.9079
86.795497 72.414 143.3381
87.424453 71.907 139.2542
88.057967 71.368 135.2555
88.696071 70.759 131.0799
89.338800 70.015 126.7606
89.986185 69.067 122.7518
90.638262 67.875 119.9987
91.295065 66.466 120.0009
91.956626 65.029 125.0496
92.622982 64.045 136.9238
93.294166 64.013 150.5760
93.970214 64.698 157.4527
94.651161 65.434 157.6344
95.337042 65.874 155.0400
96.027894 66.004 152.3901
96.723752 65.938 150.7095
97.424652 65.791 149.9089
98.130631 65.625 149.5312
98.841726 65.454 149.2153
99.557974 65.267 148.8396
100.279412 65.051 148.4788
101.006078 64.807 148.2740
101.738010 64.545 148.2680
102.475245 64.269 148.2808
103.217823 63.959 148.1940
103.965782 63.604 148.3868
104.719161 63.236 149.3104
105.477999 62.905 150.6667
106.242336 62.606 151.6951
107.012212 62.268 152.0811
107.787666 61.813 152.2157
108.568740 61.209 153.2207
109.355474 60.534 156.5083
110.147909 59.973 162.5688
110.946086 59.718 170.3947
111.750047 59.851 178.2027
112.559834 60.308 -175.4588
113.375489 60.948 -171.2565
114.197055 61.618 -169.3866
115.024574 62.201 -169.3734
115.858089 62.645 -170.3032
116.697645 62.953 -171.5704
117.543284 63.151 -172.7925
118.395051 63.279 -173.7444
119.252990 63.364 -174.6144
120.117147 63.406 -175.6238
120.987565 63.394 -176.6333
121.864291 63.339 -177.3085
122.747370 63.277 -177.5130
123.636848 63.247 -177.3633
124.532771 63.292 -176.8535
125.435187 63.469 -176.1567
126.344142 63.796 -176.1590
127.259684 64.208 -178.0059
128.181860 64.572 177.7952
129.110718 64.764 171.6130
130.046308 64.704 163.9600
130.988677 64.323 155.2270
131.937875 63.566 146.1519
132.893951 62.407 137.5398
133.856956 60.820 129.9959
134.826938 58.779 125.1379
135.803950 56.364 126.6804
136.788041 53.951 138.1492
137.779264 52.118 152.1411
138.777669 50.859 158.6005
139.783309 49.593 162.4559
140.796237 48.077 170.4596
141.816504 46.533 -176.4648
142.844165 45.607 -155.5692
143.879273 46.394 -113.9131
144.921881 48.670 -88.4673
145.972045 51.163 -81.9656
147.029819 53.410 -80.2178
148.095257 55.311 -82.3109
149.168417 56.777 -87.9266
150.249353 57.816 -94.7236
151.338121 58.508 -101.5771
152.434780 58.901 -108.6266
153.539385 59.035 -115.1599
154.651995 58.981 -121.1339
155.772667 58.711 -128.0211
156.901460 58.095 -135.5809
158.038432 57.067 -141.6115
159.183644 55.700 -144.1844
160.337154 54.158 -142.8329
161.499023 52.602 -138.4865
162.669312 51.270 -128.4543
163.848081 50.730 -109.8716
165.035392 51.300 -93.4977
166.231306 52.399 -87.0928
167.435887 53.386 -87.2223
168.649196 54.074 -89.2168
169.871298 54.611 -89.8647
171.102255 55.236 -89.4338
172.342133 56.007 -90.7426
173.590995 56.767 -95.7473
