* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.5 dBFS, measurement signal peak level -21.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:39:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9017 ms (-309 mm, -(1 ft 0.18 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: pillows-and-throws-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 27.403 18.2242
10.166832 27.623 18.6430
10.240505 27.890 19.0665
10.314712 28.164 19.4111
10.389457 28.444 19.6020
10.464743 28.738 19.5898
10.540575 29.051 19.4529
10.616956 29.375 19.1970
10.693891 29.698 18.8071
10.771383 30.011 18.2683
10.849437 30.315 17.5770
10.928057 30.610 16.7641
11.007246 30.896 15.8628
11.087009 31.169 14.9000
11.167350 31.426 13.8714
11.248273 31.670 12.7567
11.329783 31.901 11.5952
11.411883 32.122 10.4248
11.494578 32.333 9.2626
11.577873 32.533 8.0753
11.661771 32.725 6.8740
11.746277 32.913 5.6755
11.831395 33.100 4.4961
11.917130 33.284 3.3299
12.003487 33.467 2.1564
12.090469 33.653 0.9575
12.178081 33.845 -0.2629
12.266329 34.040 -1.4838
12.355216 34.239 -2.7414
12.444747 34.441 -4.0728
12.534926 34.648 -5.4746
12.625760 34.859 -6.9243
12.717251 35.069 -8.4432
12.809406 35.277 -10.0558
12.902228 35.484 -11.7650
12.995723 35.686 -13.5475
13.089895 35.881 -15.3874
13.184750 36.066 -17.2940
13.280292 36.241 -19.2919
13.376526 36.405 -21.3290
13.473458 36.555 -23.3576
13.571093 36.691 -25.4279
13.669434 36.813 -27.5285
13.768489 36.922 -29.5898
13.868261 37.018 -31.5898
13.968756 37.100 -33.5856
14.069979 37.170 -35.5263
14.171936 37.232 -37.3594
14.274632 37.284 -39.1228
14.378072 37.329 -40.8107
14.482261 37.371 -42.3923
14.587206 37.409 -43.8672
14.692910 37.445 -45.2481
14.799381 37.481 -46.5320
14.906624 37.518 -47.7157
15.014643 37.555 -48.8017
15.123446 37.593 -49.7894
15.233036 37.632 -50.6824
15.343421 37.671 -51.4784
15.454606 37.712 -52.1584
15.566596 37.754 -52.7151
15.679398 37.797 -53.1538
15.793018 37.847 -53.4495
15.907460 37.904 -53.5819
16.022732 37.971 -53.5616
16.138840 38.056 -53.4065
16.255788 38.165 -53.1014
16.373585 38.298 -52.6659
16.492234 38.463 -52.2023
16.611744 38.662 -51.6981
16.732119 38.893 -51.1952
16.853367 39.151 -50.8314
16.975494 39.436 -50.5760
17.098505 39.738 -50.4621
17.222408 40.043 -50.5620
17.347209 40.351 -50.8437
17.472914 40.649 -51.2686
17.599530 40.929 -51.8442
17.727063 41.188 -52.5467
17.855521 41.421 -53.2524
17.984909 41.625 -53.9986
18.115235 41.803 -54.7066
18.246506 41.956 -55.2390
18.378727 42.087 -55.6214
18.511907 42.207 -55.9392
18.646052 42.320 -55.9242
18.781169 42.437 -55.6800
18.917265 42.574 -55.1702
19.054347 42.736 -54.4055
19.192423 42.939 -53.4779
19.331499 43.190 -52.3856
19.471583 43.494 -51.2428
19.612682 43.856 -50.1780
19.754804 44.273 -49.1878
19.897956 44.736 -48.4906
20.042144 45.242 -48.0263
20.187378 45.775 -47.9381
20.333664 46.325 -48.2367
20.481010 46.880 -48.8911
20.629424 47.424 -49.9705
20.778913 47.952 -51.3755
20.929486 48.447 -53.0966
21.081150 48.907 -55.1116
21.233912 49.320 -57.2722
21.387782 49.683 -59.6268
21.542767 49.993 -61.9783
21.698874 50.250 -64.3221
21.856113 50.457 -66.5484
22.014492 50.621 -68.5254
22.174018 50.753 -70.2684
22.334700 50.870 -71.6117
22.496546 50.986 -72.6227
22.659566 51.127 -73.2775
22.823766 51.302 -73.6314
22.989157 51.528 -73.8743
23.155745 51.804 -74.0214
23.323542 52.119 -74.3202
23.492554 52.463 -74.7338
23.662790 52.811 -75.3380
23.834261 53.154 -76.0709
24.006973 53.478 -76.7807
24.180938 53.787 -77.4302
24.356163 54.097 -77.7766
24.532658 54.428 -77.8669
24.710431 54.821 -77.6029
24.889493 55.296 -77.2194
25.069853 55.881 -76.8791
25.251519 56.563 -76.9807
25.434502 57.327 -77.6831
25.618811 58.123 -79.2675
25.804456 58.917 -81.6823
25.991445 59.662 -84.9248
26.179790 60.335 -88.8654
26.369500 60.909 -93.3040
26.560584 61.375 -98.1209
26.753053 61.722 -103.0919
26.946917 61.951 -108.0103
27.142185 62.065 -112.7880
27.338869 62.081 -117.0607
27.536977 62.014 -120.8241
27.736522 61.906 -123.7410
27.937512 61.799 -125.8841
28.139959 61.747 -127.1388
28.343872 61.803 -127.9205
28.549264 61.991 -128.3748
28.756143 62.306 -129.1715
28.964522 62.712 -130.4832
29.174411 63.161 -132.5677
29.385821 63.595 -135.4105
29.598763 63.983 -138.9038
29.813248 64.291 -142.9121
30.029287 64.508 -147.1661
30.246891 64.624 -151.6101
30.466073 64.640 -155.9353
30.686842 64.560 -160.0142
30.909212 64.391 -163.7184
31.133193 64.152 -166.7650
31.358797 63.870 -169.0513
31.586035 63.579 -170.3883
31.814921 63.342 -170.7123
32.045465 63.221 -170.2003
32.277680 63.268 -169.0996
32.511577 63.510 -168.0847
32.747169 63.910 -167.7293
32.984469 64.412 -168.3180
33.223488 64.936 -170.0523
33.464239 65.414 -172.7447
33.706735 65.805 -176.1166
33.950987 66.086 -179.9354
34.197010 66.255 176.2300
34.444816 66.331 172.6526
34.694417 66.349 169.5000
34.945827 66.355 166.9349
35.199059 66.407 164.8303
35.454126 66.536 162.8800
35.711041 66.745 160.6885
35.969818 67.008 157.9532
36.230470 67.267 154.4913
36.493011 67.469 150.3334
36.757455 67.574 145.6797
37.023814 67.558 140.7529
37.292104 67.412 135.8857
37.562338 67.149 131.4197
37.834530 66.800 127.5519
38.108695 66.404 124.4121
38.384846 66.007 122.0240
38.662999 65.648 120.2314
38.943167 65.344 118.7273
39.225365 65.087 117.2740
39.509608 64.849 115.7565
39.795911 64.603 114.1865
40.084289 64.331 112.6874
40.374756 64.029 111.4451
40.667328 63.708 110.6384
40.962020 63.395 110.3767
41.258848 63.118 110.6924
41.557827 62.912 111.5366
41.858972 62.806 112.7620
42.162299 62.823 114.1169
42.467824 62.967 115.2735
42.775564 63.219 115.9048
43.085533 63.540 115.7823
43.397749 63.881 114.8364
43.712227 64.201 113.1468
44.028983 64.473 110.8789
44.348036 64.686 108.2092
44.669400 64.836 105.2797
44.993093 64.925 102.1845
45.319131 64.955 98.9833
45.647532 64.923 95.7299
45.978313 64.827 92.4995
46.311491 64.667 89.3980
46.647083 64.449 86.5489
46.985107 64.187 84.0617
47.325581 63.902 81.9947
47.668521 63.617 80.3312
48.013947 63.350 78.9856
48.361876 63.108 77.8373
48.712326 62.892 76.7740
49.065315 62.696 75.7159
49.420863 62.511 74.6183
49.778987 62.328 73.4621
50.139706 62.136 72.2525
50.503039 61.928 71.0230
50.869005 61.697 69.8367
51.237623 61.443 68.7722
51.608912 61.172 67.8933
51.982891 60.893 67.2195
52.359580 60.612 66.7207
52.739000 60.329 66.3505
53.121168 60.038 66.1017
53.506106 59.731 66.0453
53.893833 59.411 66.3185
54.284370 59.094 67.0656
54.677737 58.811 68.3436
55.073955 58.592 70.0416
55.473043 58.456 71.8922
55.875024 58.389 73.6008
56.279917 58.357 75.0146
56.687745 58.317 76.2265
57.098527 58.247 77.5935
57.512287 58.168 79.6293
57.929045 58.153 82.7540
58.348822 58.312 86.9629
58.771642 58.734 91.6300
59.197525 59.432 95.8109
59.626495 60.356 98.8212
60.058573 61.438 100.3497
60.493782 62.611 100.1516
60.932145 63.798 97.9690
61.373685 64.908 93.7563
61.818424 65.855 87.7469
62.266386 66.573 80.4829
62.717593 67.039 72.6060
63.172071 67.270 64.7997
63.629842 67.322 57.6496
64.090930 67.276 51.4162
64.555359 67.220 46.0092
65.023154 67.209 41.0031
65.494339 67.251 35.9337
65.968938 67.317 30.5071
66.446976 67.380 24.6730
66.928478 67.425 18.4712
67.413469 67.449 11.8912
67.901975 67.446 4.8486
68.394021 67.400 -2.7236
68.889632 67.293 -10.8042
69.388835 67.118 -19.2256
69.891655 66.897 -27.8540
70.398118 66.677 -36.7289
70.908252 66.504 -46.2255
71.422083 66.381 -56.9525
71.939636 66.260 -69.3691
72.460941 66.064 -83.5186
72.986023 65.744 -99.1379
73.514909 65.293 -115.6902
74.047629 64.750 -132.6920
74.584208 64.181 -149.6570
75.124676 63.664 -166.0766
75.669061 63.287 178.5419
76.217390 63.164 164.5128
76.769692 63.383 151.4747
77.325997 63.912 138.4817
77.886333 64.576 124.6491
78.450730 65.178 109.9708
79.019216 65.602 95.0031
79.591822 65.826 80.5586
80.168577 65.898 67.1241
80.749512 65.887 54.8405
81.334656 65.850 43.5883
81.924040 65.820 33.1393
82.517696 65.819 23.2554
83.115653 65.846 13.7034
83.717943 65.887 4.3579
84.324598 65.935 -4.7100
84.935649 66.003 -13.4158
85.551128 66.111 -21.9026
86.171066 66.249 -30.4846
86.795497 66.371 -39.2996
87.424453 66.439 -48.1249
88.057967 66.457 -56.6568
88.696071 66.446 -64.9208
89.338800 66.391 -73.2802
89.986185 66.214 -81.9059
90.638262 65.821 -90.2098
91.295065 65.198 -96.7535
91.956626 64.504 -99.7101
92.622982 64.140 -98.0368
93.294166 64.563 -93.3671
93.970214 65.815 -90.2952
94.651161 67.434 -92.5305
95.337042 68.927 -100.1641
96.027894 70.029 -111.2487
96.723752 70.673 -123.6931
97.424652 70.901 -135.9673
98.130631 70.797 -147.2063
98.841726 70.441 -156.9946
99.557974 69.910 -165.0421
100.279412 69.295 -171.1324
101.006078 68.701 -175.3314
101.738010 68.224 -178.0127
102.475245 67.935 -179.8298
103.217823 67.832 178.1608
103.965782 67.810 175.1113
104.719161 67.736 171.2489
105.477999 67.553 167.5286
106.242336 67.306 164.7389
107.012212 67.094 163.0709
107.787666 67.004 161.9976
108.568740 67.035 160.4187
109.355474 67.078 157.6807
110.147909 67.020 154.2924
110.946086 66.830 151.1838
111.750047 66.532 148.6598
112.559834 66.124 146.5924
113.375489 65.590 145.6248
114.197055 65.015 147.2200
115.024574 64.640 151.9716
115.858089 64.701 158.3872
116.697645 65.241 164.1338
117.543284 66.103 167.6251
118.395051 67.081 168.5388
119.252990 68.043 167.5354
120.117147 68.953 165.4036
120.987565 69.822 162.4806
121.864291 70.664 158.7906
122.747370 71.479 154.2185
123.636848 72.246 148.4810
124.532771 72.921 141.3455
125.435187 73.442 132.6790
126.344142 73.730 122.3540
127.259684 73.681 110.6111
128.181860 73.218 98.3611
129.110718 72.337 86.6555
130.046308 71.070 75.7948
130.988677 69.403 65.6609
131.937875 67.271 56.5542
132.893951 64.650 48.2814
133.856956 61.907 37.2694
134.826938 61.172 -40.9752
135.803950 63.809 -137.9331
136.788041 66.974 -156.3473
137.779264 69.370 -173.1162
138.777669 70.928 170.7446
139.783309 71.810 156.1765
140.796237 72.184 143.4935
141.816504 72.152 132.5729
142.844165 71.780 123.7633
143.879273 71.173 117.7139
144.921881 70.486 114.8276
145.972045 69.941 115.2469
147.029819 69.775 117.8774
148.095257 70.064 120.1718
149.168417 70.661 120.3225
150.249353 71.352 117.9561
151.338121 71.980 113.4485
152.434780 72.462 107.3798
153.539385 72.768 100.2229
154.651995 72.888 92.2354
155.772667 72.811 83.3890
156.901460 72.511 73.6777
158.038432 71.967 63.2188
159.183644 71.183 51.8336
160.337154 70.170 38.6038
161.499023 68.958 21.6228
162.669312 67.699 -2.7295
163.848081 66.885 -40.9720
165.035392 67.141 -91.4705
166.231306 68.250 -132.4241
167.435887 69.469 -159.8229
168.649196 70.482 -178.4747
169.871298 71.343 168.5703
171.102255 72.091 158.0621
172.342133 72.615 147.7732
173.590995 72.801 137.8280
174.848907 72.607 128.9282
176.115934 72.046 122.2828
