* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.8 dBFS, measurement signal peak level -25.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:38:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0157 ms (-5.4 mm, -0.21 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: pillows-and-throws-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 19.739 22.5930
10.166832 20.200 18.3833
10.240505 20.754 13.7353
10.314712 21.321 9.0243
10.389457 21.873 4.4448
10.464743 22.341 -0.0526
10.540575 22.680 -5.0720
10.616956 22.930 -10.3666
10.693891 23.106 -15.5914
10.771383 23.213 -20.4861
10.849437 23.253 -25.5671
10.928057 23.220 -31.1114
11.007246 23.106 -36.7490
11.087009 22.907 -42.0651
11.167350 22.627 -47.1197
11.248273 22.269 -52.6514
11.329783 21.800 -58.4043
11.411883 21.184 -63.8729
11.494578 20.415 -68.6836
11.577873 19.515 -73.6502
11.661771 18.418 -78.7007
11.746277 17.003 -83.1850
11.831395 15.024 -85.8576
11.917130 12.307 -86.0206
12.003487 9.475 -80.3346
12.090469 7.737 -56.3088
12.178081 8.365 -8.9016
12.266329 10.865 14.7416
12.355216 13.832 20.3002
12.444747 16.338 19.8055
12.534926 18.182 16.3875
12.625760 19.703 11.8490
12.717251 20.995 7.1833
12.809406 22.098 2.5793
12.902228 22.991 -2.7071
12.995723 23.695 -8.1800
13.089895 24.263 -13.2015
13.184750 24.726 -17.7887
13.280292 25.065 -22.7098
13.376526 25.290 -27.3785
13.473458 25.415 -31.1473
13.571093 25.427 -34.4590
13.669434 25.344 -37.4456
13.768489 25.213 -39.5190
13.868261 25.039 -40.1758
13.968756 24.821 -39.6572
14.069979 24.693 -38.0019
14.171936 24.792 -35.2717
14.274632 25.124 -31.1963
14.378072 25.660 -26.9399
14.482261 26.395 -23.8886
14.587206 27.354 -21.7180
14.692910 28.449 -20.5188
14.799381 29.532 -20.8184
14.906624 30.550 -22.4026
15.014643 31.522 -24.6621
15.123446 32.413 -27.5294
15.233036 33.198 -31.0989
15.343421 33.887 -35.1400
15.454606 34.479 -39.2951
15.566596 34.974 -43.6799
15.679398 35.370 -48.4372
15.793018 35.668 -53.0835
15.907460 35.869 -57.6623
16.022732 35.970 -62.4907
16.138840 35.969 -67.0468
16.255788 35.865 -71.3236
16.373585 35.655 -75.6284
16.492234 35.335 -79.4404
16.611744 34.899 -82.7088
16.732119 34.353 -85.5603
16.853367 33.703 -87.5305
16.975494 32.934 -88.3141
17.098505 32.116 -87.8267
17.222408 31.334 -85.7780
17.347209 30.599 -81.4917
17.472914 30.078 -75.5697
17.599530 29.937 -68.8381
17.727063 30.124 -61.7904
17.855521 30.529 -56.0434
17.984909 31.128 -51.9353
18.115235 31.806 -49.2375
18.246506 32.420 -47.7514
18.378727 32.969 -47.2928
18.511907 33.439 -47.2627
18.646052 33.815 -47.5676
18.781169 34.114 -48.0655
18.917265 34.355 -48.3873
19.054347 34.545 -48.6365
19.192423 34.714 -48.6730
19.331499 34.875 -48.4280
19.471583 35.044 -47.9951
19.612682 35.243 -47.4142
19.754804 35.474 -46.6985
19.897956 35.744 -46.0505
20.042144 36.055 -45.4464
20.187378 36.399 -45.0324
20.333664 36.772 -44.8534
20.481010 37.166 -44.9186
20.629424 37.570 -45.3093
20.778913 37.981 -45.9687
20.929486 38.385 -46.9455
21.081150 38.778 -48.2015
21.233912 39.151 -49.6939
21.387782 39.496 -51.4379
21.542767 39.809 -53.3038
21.698874 40.082 -55.3004
21.856113 40.316 -57.3071
22.014492 40.511 -59.2312
22.174018 40.672 -61.0461
22.334700 40.810 -62.5792
22.496546 40.936 -63.8770
22.659566 41.074 -64.8405
22.823766 41.235 -65.5272
22.989157 41.441 -66.0529
23.155745 41.694 -66.4463
23.323542 41.991 -66.9702
23.492554 42.322 -67.5973
23.662790 42.660 -68.4826
23.834261 42.991 -69.5517
24.006973 43.288 -70.6897
24.180938 43.546 -71.8230
24.356163 43.767 -72.6191
24.532658 43.969 -73.0509
24.710431 44.195 -72.7930
24.889493 44.489 -72.0133
25.069853 44.913 -70.7202
25.251519 45.485 -69.4985
25.434502 46.217 -68.6169
25.618811 47.048 -68.7294
25.804456 47.935 -69.8315
25.991445 48.799 -72.1181
26.179790 49.602 -75.3516
26.369500 50.298 -79.3686
26.560584 50.871 -83.9375
26.753053 51.303 -88.8220
26.946917 51.595 -93.7223
27.142185 51.744 -98.5469
27.338869 51.767 -102.8120
27.536977 51.683 -106.5082
27.736522 51.541 -109.1583
27.937512 51.399 -110.8304
28.139959 51.332 -111.3430
28.343872 51.417 -111.2863
28.549264 51.685 -110.9130
28.756143 52.119 -111.1951
28.964522 52.655 -112.3354
29.174411 53.219 -114.6272
29.385821 53.734 -117.9223
29.598763 54.161 -122.0368
29.813248 54.464 -126.7253
30.029287 54.633 -131.6028
30.246891 54.663 -136.5982
30.466073 54.561 -141.2523
30.686842 54.342 -145.4221
30.909212 54.027 -148.8874
31.133193 53.659 -151.3541
31.358797 53.289 -152.7921
31.586035 52.973 -153.0920
31.814921 52.781 -152.5549
32.045465 52.749 -151.5681
32.277680 52.887 -150.5462
32.511577 53.163 -150.0476
32.747169 53.523 -150.2789
32.984469 53.917 -151.2871
33.223488 54.297 -153.0374
33.464239 54.629 -155.3128
33.706735 54.896 -157.9262
33.950987 55.092 -160.7031
34.197010 55.223 -163.3816
34.444816 55.308 -165.8223
34.694417 55.370 -167.9503
34.945827 55.442 -169.7253
35.199059 55.552 -171.2973
35.454126 55.712 -172.8919
35.711041 55.914 -174.7128
35.969818 56.135 -176.9602
36.230470 56.334 -179.7249
36.493011 56.476 177.0896
36.757455 56.535 173.6304
37.023814 56.496 170.0842
37.292104 56.354 166.7132
37.562338 56.124 163.7723
37.834530 55.831 161.4100
38.108695 55.505 159.7177
38.384846 55.178 158.7042
38.662999 54.875 158.2655
38.943167 54.607 158.2334
39.225365 54.367 158.5143
39.509608 54.146 159.1129
39.795911 53.938 160.1331
40.084289 53.752 161.7585
40.374756 53.618 164.1963
40.667328 53.594 167.5847
40.962020 53.755 171.8707
41.258848 54.171 176.7080
41.557827 54.879 -178.5576
41.858972 55.858 -174.7244
42.162299 57.036 -172.4490
42.467824 58.319 -172.0613
42.775564 59.614 -173.5768
43.085533 60.850 -176.8141
43.397749 61.979 178.4946
43.712227 62.970 172.6400
44.028983 63.805 165.9079
44.348036 64.473 158.5619
44.669400 64.971 150.8442
44.993093 65.300 142.9838
45.319131 65.463 135.2022
45.647532 65.473 127.7186
45.978313 65.348 120.7462
46.311491 65.115 114.4779
46.647083 64.812 109.0546
46.985107 64.484 104.5201
47.325581 64.179 100.7791
47.668521 63.930 97.5994
48.013947 63.746 94.6906
48.361876 63.617 91.8290
48.712326 63.517 88.9506
49.065315 63.435 86.1453
49.420863 63.379 83.5570
49.778987 63.380 81.2388
50.139706 63.472 79.0490
50.503039 63.674 76.6817
50.869005 63.972 73.8229
51.237623 64.340 70.3033
51.608912 64.756 66.1022
51.982891 65.219 61.2031
52.359580 65.734 55.4386
52.739000 66.287 48.4772
53.121168 66.830 39.9785
53.506106 67.290 29.7818
53.893833 67.588 17.9501
54.284370 67.654 4.7300
54.677737 67.440 -9.4922
55.073955 66.913 -24.2496
55.473043 66.059 -39.0216
55.875024 64.885 -53.2590
56.279917 63.428 -66.4468
56.687745 61.767 -78.1356
57.098527 60.031 -88.2888
57.512287 58.376 -97.5933
57.929045 56.912 -107.2432
58.348822 55.657 -118.2446
58.771642 54.581 -131.0082
59.197525 53.706 -145.3409
59.626495 53.146 -160.8307
60.058573 53.032 -177.0790
60.493782 53.386 166.1909
60.932145 54.067 149.2183
61.373685 54.873 132.2500
61.818424 55.632 115.5564
62.266386 56.236 99.4706
62.717593 56.639 84.2372
63.172071 56.842 70.2159
63.629842 56.899 57.7843
64.090930 56.897 47.0496
64.555359 56.944 37.8019
65.023154 57.111 29.4330
65.494339 57.397 21.2960
65.968938 57.759 13.0362
66.446976 58.162 4.7038
66.928478 58.608 -3.5290
67.413469 59.122 -11.6570
67.901975 59.707 -19.8870
68.394021 60.337 -28.4626
68.889632 60.965 -37.4132
69.388835 61.561 -46.5269
69.891655 62.128 -55.5262
70.398118 62.697 -64.2190
70.908252 63.302 -72.6904
71.422083 63.950 -81.2736
71.939636 64.606 -90.2915
72.460941 65.210 -99.8544
72.986023 65.711 -109.7670
73.514909 66.093 -119.6304
74.047629 66.378 -129.0934
74.584208 66.612 -138.0079
75.124676 66.838 -146.5459
75.669061 67.062 -155.0822
76.217390 67.251 -163.9923
76.769692 67.348 -173.4431
77.325997 67.285 176.5840
77.886333 67.000 166.3167
78.450730 66.430 156.0663
79.019216 65.506 146.3137
79.591822 64.148 138.0217
80.168577 62.310 133.3108
80.749512 60.227 137.9348
81.334656 59.146 162.6753
81.924040 60.428 -169.6267
82.517696 62.841 -161.7766
83.115653 65.101 -164.2202
83.717943 66.931 -170.7985
84.324598 68.346 -179.2397
84.935649 69.404 171.6125
85.551128 70.181 162.5043
86.171066 70.761 153.7988
86.795497 71.208 145.4746
87.424453 71.548 137.3936
88.057967 71.796 129.6248
88.696071 71.990 122.3583
89.338800 72.185 115.5593
89.986185 72.423 108.8806
90.638262 72.714 101.9060
91.295065 73.044 94.1951
91.956626 73.357 85.1118
92.622982 73.524 74.1422
93.294166 73.375 61.5647
93.970214 72.783 48.6385
94.651161 71.733 37.2284
95.337042 70.359 29.0315
96.027894 68.920 24.3374
96.723752 67.653 21.5736
97.424652 66.623 19.0614
98.130631 65.766 16.1732
98.841726 64.988 12.6899
99.557974 64.191 8.7157
100.279412 63.318 4.7893
101.006078 62.370 1.3118
101.738010 61.371 -1.7427
102.475245 60.334 -4.4000
103.217823 59.287 -6.6078
103.965782 58.270 -8.8873
104.719161 57.262 -12.2997
105.477999 56.148 -17.3282
106.242336 54.812 -23.5035
107.012212 53.216 -30.3152
107.787666 51.441 -38.2467
108.568740 49.740 -49.7606
109.355474 48.656 -69.8077
110.147909 48.813 -101.1121
110.946086 50.141 -134.2545
111.750047 51.954 -159.2233
112.559834 53.766 -176.6624
113.375489 55.392 170.2720
114.197055 56.746 159.2323
115.024574 57.783 149.3044
115.858089 58.525 140.7474
116.697645 59.058 133.8031
117.543284 59.449 128.0336
118.395051 59.696 122.9314
119.252990 59.777 118.7003
120.117147 59.733 116.1686
120.987565 59.707 116.1433
121.864291 59.905 118.4219
122.747370 60.460 121.5391
123.636848 61.329 123.5770
124.532771 62.319 123.1719
125.435187 63.227 120.4493
126.344142 63.982 116.9780
127.259684 64.697 114.4431
128.181860 65.552 112.8663
129.110718 66.570 110.1869
130.046308 67.579 104.8936
130.988677 68.404 97.3311
131.937875 68.964 88.5223
132.893951 69.257 79.4077
133.856956 69.338 70.6652
134.826938 69.300 62.6543
135.803950 69.244 55.0435
136.788041 69.179 46.4227
137.779264 68.953 35.5551
138.777669 68.347 22.7328
139.783309 67.198 9.1088
140.796237 65.401 -4.3044
141.816504 62.869 -16.4583
142.844165 59.697 -23.1830
143.879273 57.217 62.0601
144.921881 57.790 103.6705
145.972045 59.777 98.6411
147.029819 61.416 91.9092
148.095257 62.529 85.9293
149.168417 63.280 81.4421
150.249353 63.945 79.5436
151.338121 64.858 80.1615
152.434780 66.128 80.1421
153.539385 67.506 75.9652
154.651995 68.652 67.2585
155.772667 69.348 55.5094
156.901460 69.512 42.7179
158.038432 69.175 30.5850
159.183644 68.399 19.7635
160.337154 67.201 10.6310
161.499023 65.582 4.5845
162.669312 63.693 4.5127
163.848081 62.206 16.6892
165.035392 62.319 38.3932
166.231306 63.675 44.9751
167.435887 64.893 38.7831
168.649196 65.463 28.9158
169.871298 65.404 19.2817
171.102255 64.853 11.3260
172.342133 63.971 6.1958
173.590995 62.986 4.0245
