* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.8 dBFS, measurement signal peak level -25.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:39:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0441 ms (15 mm, 0.6 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: pillows-and-throws-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 14.380 103.6044
10.166832 14.559 97.2207
10.240505 14.777 90.8888
10.314712 15.000 84.8626
10.389457 15.217 79.3337
10.464743 15.402 74.3326
10.540575 15.537 69.3337
10.616956 15.629 64.4493
10.693891 15.657 59.9534
10.771383 15.601 56.1349
10.849437 15.458 52.6913
10.928057 15.233 49.3739
11.007246 14.924 46.4782
11.087009 14.516 44.4451
11.167350 13.960 43.5863
11.248273 13.246 43.7442
11.329783 12.517 45.2568
11.411883 11.961 48.5751
11.494578 11.690 54.1917
11.577873 11.654 62.4747
11.661771 11.859 71.9404
11.746277 12.356 80.2271
11.831395 13.217 86.0366
11.917130 14.441 90.2421
12.003487 15.816 92.5269
12.090469 17.120 92.9123
12.178081 18.249 91.7407
12.266329 19.281 89.7671
12.355216 20.232 87.2161
12.444747 21.099 84.1504
12.534926 21.872 80.5239
12.625760 22.557 76.5167
12.717251 23.176 72.3407
12.809406 23.746 68.0612
12.902228 24.260 63.4826
12.995723 24.724 58.7162
13.089895 25.155 53.9291
13.184750 25.562 49.1331
13.280292 25.940 44.1622
13.376526 26.301 39.1301
13.473458 26.657 34.1395
13.571093 27.010 29.1173
13.669434 27.360 24.0420
13.768489 27.717 18.9611
13.868261 28.087 13.8866
13.968756 28.468 8.7980
14.069979 28.859 3.7026
14.171936 29.261 -1.4242
14.274632 29.676 -6.5933
14.378072 30.097 -11.7559
14.482261 30.516 -16.9264
14.587206 30.934 -22.2106
14.692910 31.344 -27.5155
14.799381 31.735 -32.7582
14.906624 32.101 -38.1068
15.014643 32.441 -43.5510
15.123446 32.742 -48.8632
15.233036 32.996 -54.1775
15.343421 33.201 -59.6553
15.454606 33.346 -64.9399
15.566596 33.422 -70.0742
15.679398 33.428 -75.3726
15.793018 33.346 -80.3925
15.907460 33.170 -85.0721
16.022732 32.894 -89.7837
16.138840 32.498 -94.0215
16.255788 31.966 -97.5932
16.373585 31.295 -100.7358
16.492234 30.467 -102.8403
16.611744 29.427 -103.3194
16.732119 28.284 -101.7909
16.853367 27.263 -97.4316
16.975494 26.401 -88.6889
17.098505 25.936 -76.1935
17.222408 26.248 -63.5911
17.347209 27.308 -53.0988
17.472914 28.612 -46.4591
17.599530 29.850 -43.2694
17.727063 31.047 -42.1918
17.855521 32.092 -42.2981
17.984909 32.949 -43.3941
18.115235 33.659 -44.9331
18.246506 34.248 -46.4699
18.378727 34.719 -48.1896
18.511907 35.109 -49.7047
18.646052 35.431 -50.9577
18.781169 35.702 -52.0204
18.917265 35.955 -52.7546
19.054347 36.192 -53.2086
19.192423 36.434 -53.4997
19.331499 36.692 -53.6164
19.471583 36.963 -53.6528
19.612682 37.249 -53.7375
19.754804 37.546 -53.8358
19.897956 37.846 -54.0208
20.042144 38.144 -54.2942
20.187378 38.439 -54.6233
20.333664 38.726 -54.9986
20.481010 39.011 -55.4143
20.629424 39.296 -55.8472
20.778913 39.583 -56.3067
20.929486 39.876 -56.8436
21.081150 40.176 -57.4395
21.233912 40.477 -58.1647
21.387782 40.778 -59.0265
21.542767 41.067 -59.9979
21.698874 41.339 -61.1074
21.856113 41.589 -62.2590
22.014492 41.811 -63.4036
22.174018 42.011 -64.4936
22.334700 42.193 -65.3897
22.496546 42.369 -66.1204
22.659566 42.558 -66.5969
22.823766 42.772 -66.8739
22.989157 43.029 -67.0572
23.155745 43.332 -67.1777
23.323542 43.678 -67.4761
23.492554 44.057 -67.9256
23.662790 44.445 -68.6704
23.834261 44.830 -69.6375
24.006973 45.189 -70.7411
24.180938 45.521 -71.9151
24.356163 45.825 -72.9112
24.532658 46.118 -73.7218
24.710431 46.429 -74.1327
24.889493 46.788 -74.2894
25.069853 47.232 -74.2075
25.251519 47.770 -74.2770
25.434502 48.408 -74.6503
25.618811 49.108 -75.7547
25.804456 49.840 -77.5964
25.991445 50.548 -80.3172
26.179790 51.203 -83.7852
26.369500 51.767 -87.8607
26.560584 52.225 -92.3875
26.753053 52.558 -97.1455
26.946917 52.766 -101.8825
27.142185 52.847 -106.4958
27.338869 52.818 -110.5579
27.536977 52.696 -114.0394
27.736522 52.532 -116.5382
27.937512 52.378 -118.1254
28.139959 52.305 -118.6839
28.343872 52.373 -118.7725
28.549264 52.609 -118.6224
28.756143 52.989 -119.0745
28.964522 53.459 -120.2782
29.174411 53.954 -122.4822
29.385821 54.408 -125.5349
29.598763 54.787 -129.2842
29.813248 55.064 -133.4946
30.029287 55.231 -137.8534
30.246891 55.289 -142.2838
30.466073 55.247 -146.4395
30.686842 55.118 -150.2298
30.909212 54.918 -153.5179
31.133193 54.674 -156.1258
31.358797 54.410 -158.0091
31.586035 54.156 -159.0647
31.814921 53.957 -159.2991
32.045465 53.853 -158.8139
32.277680 53.885 -157.7656
32.511577 54.085 -156.5792
32.747169 54.444 -155.7340
32.984469 54.931 -155.5503
33.223488 55.490 -156.3286
33.464239 56.054 -158.1004
33.706735 56.578 -160.6852
33.950987 57.025 -163.9238
34.197010 57.381 -167.4895
34.444816 57.648 -171.1100
34.694417 57.843 -174.6176
34.945827 57.995 -177.8342
35.199059 58.143 179.2728
35.454126 58.316 176.5489
35.711041 58.529 173.8144
35.969818 58.777 170.8310
36.230470 59.031 167.3724
36.493011 59.254 163.4271
36.757455 59.412 159.0790
37.023814 59.481 154.4698
37.292104 59.448 149.8547
37.562338 59.321 145.5428
37.834530 59.126 141.7366
38.108695 58.902 138.5728
38.384846 58.698 136.0858
38.662999 58.561 134.1231
38.943167 58.518 132.3250
39.225365 58.562 130.3480
39.509608 58.663 127.9706
39.795911 58.787 125.1188
40.084289 58.902 121.8525
40.374756 58.995 118.3179
40.667328 59.074 114.6713
40.962020 59.161 110.9717
41.258848 59.283 107.1353
41.557827 59.460 102.9511
41.858972 59.691 98.1355
42.162299 59.957 92.4109
42.467824 60.224 85.5758
42.775564 60.449 77.5351
43.085533 60.595 68.2917
43.397749 60.632 57.9192
43.712227 60.543 46.5372
44.028983 60.318 34.2769
44.348036 59.961 21.2667
44.669400 59.482 7.6399
44.993093 58.900 -6.4482
45.319131 58.241 -20.8010
45.647532 57.537 -35.1548
45.978313 56.825 -49.1663
46.311491 56.143 -62.4254
46.647083 55.538 -74.5107
46.985107 55.061 -85.0906
47.325581 54.766 -94.0559
47.668521 54.689 -101.6116
48.013947 54.819 -108.2145
48.361876 55.093 -114.3180
48.712326 55.421 -120.0875
49.065315 55.740 -125.2949
49.420863 56.047 -129.4455
49.778987 56.421 -132.0978
50.139706 56.984 -133.3112
50.503039 57.819 -133.8821
50.869005 58.896 -134.9233
51.237623 60.113 -137.0963
51.608912 61.382 -140.4056
51.982891 62.675 -144.6218
52.359580 63.998 -149.7277
52.739000 65.336 -156.0218
53.121168 66.635 -163.8760
53.506106 67.811 -173.4385
53.893833 68.780 175.4432
54.284370 69.480 163.1269
54.677737 69.868 150.1022
55.073955 69.926 136.9257
55.473043 69.655 124.1879
55.875024 69.077 112.4841
56.279917 68.245 102.3367
56.687745 67.242 94.1758
57.098527 66.176 88.0898
57.512287 65.143 83.7222
57.929045 64.185 80.5482
58.348822 63.301 78.2990
58.771642 62.489 77.0344
59.197525 61.789 76.8522
59.626495 61.261 77.4939
60.058573 60.936 78.4022
60.493782 60.797 79.0837
60.932145 60.816 79.2859
61.373685 60.966 78.7645
61.818424 61.203 77.1557
62.266386 61.448 74.2407
62.717593 61.621 70.1743
63.172071 61.673 65.4222
63.629842 61.603 60.5303
64.090930 61.449 55.8433
64.555359 61.265 51.4502
65.023154 61.097 47.1800
65.494339 60.967 42.7494
65.968938 60.874 37.8607
66.446976 60.799 32.3055
66.928478 60.712 25.9766
67.413469 60.584 18.8711
67.901975 60.395 11.0568
68.394021 60.136 2.6459
68.889632 59.812 -6.3049
69.388835 59.440 -15.7406
69.891655 59.047 -25.6852
70.398118 58.680 -36.2498
70.908252 58.383 -47.7380
71.422083 58.171 -60.6099
71.939636 57.995 -75.2126
72.460941 57.749 -91.4417
72.986023 57.303 -108.7930
73.514909 56.532 -126.2939
74.047629 55.313 -142.8616
74.584208 53.545 -156.8030
75.124676 51.420 -162.9055
75.669061 50.645 -131.9995
76.217390 53.035 -83.5099
76.769692 56.295 -84.0013
77.325997 58.986 -94.5770
77.886333 61.072 -106.6108
78.450730 62.764 -118.0284
79.019216 64.248 -128.6182
79.591822 65.592 -139.1248
80.168577 66.762 -150.1655
80.749512 67.705 -161.7183
81.334656 68.413 -173.3645
81.924040 68.904 175.1666
82.517696 69.182 163.8384
83.115653 69.206 152.6803
83.717943 68.931 142.2029
84.324598 68.358 133.4185
84.935649 67.577 127.3662
85.551128 66.764 124.6825
86.171066 66.150 125.3984
86.795497 65.991 128.7832
87.424453 66.436 132.7407
88.057967 67.373 134.7559
88.696071 68.559 133.9744
89.338800 69.823 130.6890
89.986185 71.063 125.0620
90.638262 72.188 117.1414
91.295065 73.119 107.1633
91.956626 73.792 95.4180
92.622982 74.140 82.1707
93.294166 74.077 67.9254
93.970214 73.537 53.6942
94.651161 72.513 40.9624
95.337042 71.101 31.2469
96.027894 69.501 25.2026
96.723752 67.924 22.0387
97.424652 66.478 20.5447
98.130631 65.175 20.3143
98.841726 64.018 21.4445
99.557974 63.046 24.0704
100.279412 62.354 28.0315
101.006078 62.033 32.4700
101.738010 62.098 36.0481
102.475245 62.424 37.1074
103.217823 62.747 34.5920
103.965782 62.795 29.4019
104.719161 62.451 23.7971
105.477999 61.788 19.9208
106.242336 61.014 18.7151
107.012212 60.364 19.5983
107.787666 59.977 20.7755
108.568740 59.778 20.1033
109.355474 59.520 16.9656
110.147909 58.990 12.6979
110.946086 58.126 9.1572
111.750047 56.988 7.3479
112.559834 55.640 7.0726
113.375489 54.070 8.6039
114.197055 52.364 15.7231
115.024574 51.174 34.5027
115.858089 51.427 57.0038
116.697645 52.781 69.0208
117.543284 54.294 72.2465
118.395051 55.535 70.8975
119.252990 56.419 67.3665
120.117147 56.930 62.3499
120.987565 57.006 56.2944
121.864291 56.603 50.6090
122.747370 55.754 46.6678
123.636848 54.512 45.2406
124.532771 52.974 48.5438
125.435187 51.619 61.8923
126.344142 51.560 86.7112
127.259684 53.141 107.9797
128.181860 55.299 116.2778
129.110718 57.295 117.1260
130.046308 59.047 115.8821
130.988677 60.590 112.9302
131.937875 61.833 107.4745
132.893951 62.684 100.4510
133.856956 63.133 93.2876
134.826938 63.242 87.2722
135.803950 63.134 83.3157
136.788041 62.982 81.9114
137.779264 63.020 83.3948
138.777669 63.466 86.4926
139.783309 64.289 88.0774
140.796237 65.217 86.3784
141.816504 66.001 82.0037
142.844165 66.508 76.1055
143.879273 66.685 69.8657
144.921881 66.573 64.9812
145.972045 66.332 62.6315
147.029819 66.175 62.7744
148.095257 66.341 65.4045
149.168417 67.051 69.5398
150.249353 68.243 71.4832
151.338121 69.557 68.6863
152.434780 70.682 62.0350
153.539385 71.484 53.2338
154.651995 71.947 43.7136
155.772667 72.139 34.7457
156.901460 72.190 26.8661
158.038432 72.201 19.4237
159.183644 72.179 11.5649
160.337154 72.079 3.0979
161.499023 71.852 -6.1519
162.669312 71.412 -16.4034
163.848081 70.648 -27.2238
165.035392 69.473 -37.3221
166.231306 67.885 -44.6819
167.435887 66.030 -47.3140
168.649196 64.198 -45.4961
169.871298 62.651 -41.6663
171.102255 61.450 -37.6617
172.342133 60.528 -33.3091
173.590995 59.965 -26.7024
174.848907 60.052 -18.7953
176.115934 60.921 -12.6354
177.392143 62.288 -12.1766
