* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.4 dBFS, measurement signal peak level -23.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:40:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -3.7646 ms (-1.291 m, -(4 ft 2.8 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 6.7 ppm
* Measurement: pillows-and-throws-p1-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 22.157 159.4073
10.166832 22.220 156.0745
10.240505 22.297 152.5180
10.314712 22.375 148.8841
10.389457 22.443 145.3076
10.464743 22.463 141.8500
10.540575 22.407 138.1855
10.616956 22.295 134.3521
10.693891 22.131 130.4979
10.771383 21.910 126.7962
10.849437 21.635 123.0781
10.928057 21.304 119.1538
11.007246 20.910 115.1243
11.087009 20.446 111.1612
11.167350 19.913 107.3296
11.248273 19.311 103.3470
11.329783 18.629 99.1975
11.411883 17.855 94.9696
11.494578 16.981 90.8280
11.577873 16.010 86.6304
11.661771 14.933 82.1645
11.746277 13.729 77.2648
11.831395 12.352 71.9878
11.917130 10.768 66.4263
12.003487 9.106 59.8335
12.090469 7.551 51.0491
12.178081 6.178 39.4605
12.266329 4.935 25.4469
12.355216 4.019 8.2869
12.444747 3.753 -10.0570
12.534926 4.359 -24.1671
12.625760 5.640 -33.0904
12.717251 7.177 -39.1058
12.809406 8.670 -43.6227
12.902228 10.150 -46.2338
12.995723 11.645 -47.9787
13.089895 13.086 -49.9291
13.184750 14.432 -52.3223
13.280292 15.702 -54.5132
13.376526 16.895 -56.8547
13.473458 17.998 -59.6584
13.571093 19.008 -62.7805
13.669434 19.929 -65.9943
13.768489 20.765 -69.3165
13.868261 21.516 -72.8796
13.968756 22.178 -76.6616
14.069979 22.759 -80.4397
14.171936 23.261 -84.1610
14.274632 23.682 -88.1163
14.378072 24.024 -92.0954
14.482261 24.289 -95.8515
14.587206 24.478 -99.6567
14.692910 24.590 -103.5092
14.799381 24.627 -107.0938
14.906624 24.589 -110.4605
15.014643 24.475 -113.7929
15.123446 24.291 -116.8122
15.233036 24.036 -119.3777
15.343421 23.713 -121.6601
15.454606 23.337 -123.5047
15.566596 22.916 -124.6947
15.679398 22.453 -125.2196
15.793018 21.996 -125.1432
15.907460 21.571 -124.3519
16.022732 21.184 -122.7076
16.138840 20.885 -120.6660
16.255788 20.710 -118.4023
16.373585 20.646 -115.9063
16.492234 20.665 -113.7805
16.611744 20.769 -112.1960
16.732119 20.925 -111.0979
16.853367 21.072 -110.5995
16.975494 21.198 -110.7672
17.098505 21.285 -111.3933
17.222408 21.300 -112.2988
17.347209 21.241 -113.6306
17.472914 21.099 -115.0851
17.599530 20.864 -116.5138
17.727063 20.535 -118.0399
17.855521 20.107 -119.3170
17.984909 19.578 -120.3202
18.115235 18.945 -120.9632
18.246506 18.207 -120.9325
18.378727 17.364 -120.0721
18.511907 16.449 -118.0908
18.646052 15.457 -114.4947
18.781169 14.496 -108.8192
18.917265 13.754 -100.8423
19.054347 13.283 -90.4879
19.192423 13.242 -79.3467
19.331499 13.733 -69.0537
19.471583 14.552 -61.0357
19.612682 15.482 -55.8113
19.754804 16.477 -52.7612
19.897956 17.389 -51.5667
20.042144 18.182 -51.7928
20.187378 18.841 -52.9257
20.333664 19.349 -54.9017
20.481010 19.702 -57.3943
20.629424 19.893 -60.1097
20.778913 19.915 -63.1862
20.929486 19.754 -65.9409
21.081150 19.401 -68.6733
21.233912 18.836 -70.5675
21.387782 18.046 -71.4241
21.542767 17.085 -70.4386
21.698874 15.961 -66.2114
21.856113 15.032 -57.7716
22.014492 14.741 -44.7142
22.174018 15.143 -30.2513
22.334700 16.250 -19.6018
22.496546 17.737 -13.3922
22.659566 19.113 -11.1842
22.823766 20.334 -11.3142
22.989157 21.321 -12.8699
23.155745 22.079 -15.3787
23.323542 22.623 -18.1013
23.492554 22.957 -21.0890
23.662790 23.091 -23.6095
23.834261 23.027 -25.7876
24.006973 22.775 -26.7783
24.180938 22.359 -26.4479
24.356163 21.850 -23.6466
24.532658 21.410 -17.7774
24.710431 21.360 -8.1196
24.889493 21.873 3.8776
25.069853 23.099 15.0998
25.251519 24.733 22.8649
25.434502 26.500 27.0168
25.618811 28.220 28.1554
25.804456 29.794 27.3335
25.991445 31.205 25.0764
26.179790 32.447 21.9158
26.369500 33.530 18.1374
26.560584 34.459 13.9834
26.753053 35.244 9.6218
26.946917 35.893 5.2620
27.142185 36.413 0.9269
27.338869 36.818 -3.0785
27.536977 37.116 -6.8058
27.736522 37.329 -9.9403
27.937512 37.478 -12.4941
28.139959 37.592 -14.2796
28.343872 37.718 -15.3100
28.549264 37.890 -15.5828
28.756143 38.159 -15.3310
28.964522 38.543 -14.8551
29.174411 39.052 -14.4518
29.385821 39.659 -14.6221
29.598763 40.330 -15.4578
29.813248 41.018 -17.1852
30.029287 41.680 -19.7507
30.246891 42.284 -23.0802
30.466073 42.799 -27.0784
30.686842 43.203 -31.5257
30.909212 43.481 -36.3800
31.133193 43.615 -41.3306
31.358797 43.596 -46.1856
31.586035 43.416 -50.8037
31.814921 43.074 -54.6761
32.045465 42.588 -57.4900
32.277680 41.995 -58.7599
32.511577 41.392 -57.8727
32.747169 40.944 -54.7521
32.984469 40.803 -49.7693
33.223488 41.085 -44.3685
33.464239 41.702 -40.2506
33.706735 42.506 -38.0105
33.950987 43.342 -37.6411
34.197010 44.107 -38.6321
34.444816 44.775 -40.4008
34.694417 45.349 -42.5766
34.945827 45.847 -44.8545
35.199059 46.306 -47.0745
35.454126 46.749 -49.2826
35.711041 47.192 -51.5648
35.969818 47.639 -54.0570
36.230470 48.074 -56.9214
36.493011 48.475 -60.1959
36.757455 48.818 -63.8472
37.023814 49.083 -67.8044
37.292104 49.256 -71.9263
37.562338 49.331 -76.0034
37.834530 49.311 -79.8618
38.108695 49.210 -83.3380
38.384846 49.048 -86.2768
38.662999 48.856 -88.5606
38.943167 48.671 -90.1809
39.225365 48.528 -91.2473
39.509608 48.451 -91.9495
39.795911 48.446 -92.5199
40.084289 48.506 -93.1716
40.374756 48.611 -94.0369
40.667328 48.739 -95.1389
40.962020 48.878 -96.4238
41.258848 49.027 -97.8376
41.557827 49.190 -99.3786
41.858972 49.372 -101.1172
42.162299 49.568 -103.1799
42.467824 49.760 -105.6999
42.775564 49.918 -108.7545
43.085533 50.003 -112.3177
43.397749 49.981 -116.2438
43.712227 49.824 -120.2778
44.028983 49.521 -124.0932
44.348036 49.076 -127.3312
44.669400 48.515 -129.6444
44.993093 47.884 -130.7630
45.319131 47.245 -130.5797
45.647532 46.658 -129.2082
45.978313 46.168 -126.9431
46.311491 45.793 -124.1126
46.647083 45.532 -120.9411
46.985107 45.385 -117.5461
47.325581 45.356 -114.0498
47.668521 45.447 -110.6727
48.013947 45.642 -107.7004
48.361876 45.904 -105.3503
48.712326 46.188 -103.6582
49.065315 46.457 -102.4631
49.420863 46.695 -101.4753
49.778987 46.917 -100.3886
50.139706 47.161 -99.0167
50.503039 47.475 -97.4127
50.869005 47.892 -95.8842
51.237623 48.411 -94.8446
51.608912 49.001 -94.5934
51.982891 49.623 -95.2305
52.359580 50.250 -96.7537
52.739000 50.863 -99.2050
53.121168 51.434 -102.7125
53.506106 51.914 -107.3937
53.893833 52.240 -113.2281
54.284370 52.344 -119.9889
54.677737 52.165 -127.2182
55.073955 51.661 -134.2419
55.473043 50.819 -140.1693
55.875024 49.675 -143.8928
56.279917 48.346 -144.1660
56.687745 47.074 -140.1440
57.098527 46.178 -132.6736
57.512287 45.843 -124.5019
57.929045 45.977 -117.9732
58.348822 46.368 -113.6566
58.771642 46.851 -111.1935
59.197525 47.344 -110.1865
59.626495 47.804 -110.4459
60.058573 48.204 -111.9807
60.493782 48.494 -114.9349
60.932145 48.604 -119.3967
61.373685 48.439 -125.2655
61.818424 47.898 -132.1423
62.266386 46.880 -139.3070
62.717593 45.291 -145.8325
63.172071 43.044 -150.1802
63.629842 40.138 -148.9330
64.090930 37.239 -125.5650
64.555359 36.884 -41.8254
65.023154 39.416 -16.0391
65.494339 42.357 -9.5666
65.968938 44.905 -7.8695
66.446976 47.046 -8.3519
66.928478 48.865 -9.9108
67.413469 50.446 -11.9727
67.901975 51.850 -14.3980
68.394021 53.101 -17.2809
68.889632 54.194 -20.6045
69.388835 55.129 -24.0869
69.891655 55.936 -27.3364
70.398118 56.673 -30.1150
70.908252 57.385 -32.5761
71.422083 58.081 -35.0917
71.939636 58.739 -37.8173
72.460941 59.347 -40.5679
72.986023 59.933 -43.1135
73.514909 60.536 -45.5352
74.047629 61.162 -48.2754
74.584208 61.770 -51.7627
75.124676 62.290 -56.1077
75.669061 62.662 -61.1040
76.217390 62.840 -66.3060
76.769692 62.811 -71.0626
77.325997 62.614 -74.5301
77.886333 62.370 -75.8982
78.450730 62.261 -75.1703
79.019216 62.413 -73.5732
79.591822 62.793 -72.7304
80.168577 63.268 -73.1323
80.749512 63.751 -74.3047
81.334656 64.236 -75.7160
81.924040 64.746 -77.4244
82.517696 65.264 -79.8727
83.115653 65.727 -83.2970
83.717943 66.069 -87.4142
84.324598 66.274 -91.6256
84.935649 66.370 -95.4907
85.551128 66.394 -98.9546
86.171066 66.358 -102.1667
86.795497 66.253 -105.0288
87.424453 66.101 -107.0116
88.057967 65.994 -107.6534
88.696071 66.050 -107.3351
89.338800 66.304 -107.2513
89.986185 66.680 -108.2958
90.638262 67.082 -110.3696
91.295065 67.490 -112.8413
91.956626 67.956 -115.4259
92.622982 68.519 -118.7680
93.294166 69.109 -123.9917
93.970214 69.568 -131.5047
94.651161 69.757 -140.6034
95.337042 69.633 -150.0850
96.027894 69.245 -159.0158
96.723752 68.682 -167.1903
97.424652 68.000 -175.0011
98.130631 67.198 177.1779
98.841726 66.245 169.3566
99.557974 65.126 161.6921
100.279412 63.839 154.1548
101.006078 62.378 146.6043
101.738010 60.741 138.9471
102.475245 58.970 130.5182
103.217823 57.133 119.0967
103.965782 55.258 101.3203
104.719161 53.421 73.8036
105.477999 52.006 37.2635
106.242336 51.574 4.9696
107.012212 52.140 -14.1772
107.787666 53.230 -23.4750
108.568740 54.526 -27.2407
109.355474 55.913 -28.4821
110.147909 57.333 -28.9166
110.946086 58.763 -29.2528
111.750047 60.179 -30.0721
112.559834 61.530 -31.8940
113.375489 62.747 -34.9009
114.197055 63.774 -38.8516
115.024574 64.595 -43.0887
115.858089 65.255 -46.8022
116.697645 65.847 -49.5405
117.543284 66.456 -51.5918
118.395051 67.098 -53.7291
119.252990 67.732 -56.3400
120.117147 68.329 -59.1658
120.987565 68.903 -61.9132
121.864291 69.479 -64.6338
122.747370 70.070 -67.5042
123.636848 70.685 -70.6549
124.532771 71.326 -74.2592
125.435187 71.987 -78.5817
126.344142 72.628 -84.1453
127.259684 73.154 -91.4811
128.181860 73.451 -100.3876
129.110718 73.451 -110.1100
130.046308 73.130 -120.1240
130.988677 72.457 -129.9861
131.937875 71.414 -138.8840
132.893951 70.022 -146.0188
133.856956 68.316 -151.1338
134.826938 66.293 -154.1346
135.803950 63.910 -153.8530
136.788041 61.273 -146.0381
137.779264 59.435 -115.8232
138.777669 60.444 -63.2940
139.783309 63.263 -44.7372
140.796237 65.952 -43.9395
141.816504 68.037 -49.2673
142.844165 69.556 -56.4778
143.879273 70.655 -63.6915
144.921881 71.455 -70.7341
145.972045 71.986 -78.0604
147.029819 72.215 -85.6793
148.095257 72.113 -92.9261
149.168417 71.705 -98.5775
150.249353 71.140 -101.0597
151.338121 70.706 -99.9055
152.434780 70.637 -97.6144
153.539385 70.828 -97.8871
154.651995 70.912 -101.8214
155.772667 70.589 -107.1227
156.901460 69.839 -109.7507
158.038432 68.976 -106.4976
159.183644 68.453 -99.4477
160.337154 68.381 -93.6797
161.499023 68.584 -89.2561
162.669312 68.994 -84.6875
