* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.0 dBFS, measurement signal peak level -22.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:40:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -4.2461 ms (-1.456 m, -(4 ft 9.3 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: pillows-and-throws-p1-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 17.559 -76.9557
10.166832 17.067 -79.1481
10.240505 16.459 -81.4810
10.314712 15.824 -83.9098
10.389457 15.151 -86.3643
10.464743 14.303 -88.7850
10.540575 13.147 -91.4422
10.616956 11.791 -94.3836
10.693891 10.327 -97.5479
10.771383 8.795 -100.7601
10.849437 6.992 -104.4876
10.928057 4.974 -110.5799
11.007246 3.275 -137.2536
11.087009 2.730 84.1234
11.167350 4.026 72.3534
11.248273 6.707 66.9047
11.329783 9.737 62.6867
11.411883 12.341 58.7257
11.494578 14.174 54.6281
11.577873 15.527 50.4418
11.661771 16.599 46.3162
11.746277 17.531 42.2308
11.831395 18.390 37.9978
11.917130 19.123 33.4571
12.003487 19.740 28.8517
12.090469 20.274 24.2980
12.178081 20.740 19.6184
12.266329 21.123 14.5458
12.355216 21.430 9.3612
12.444747 21.673 4.2607
12.534926 21.853 -1.0500
12.625760 21.967 -6.7989
12.717251 22.020 -12.6656
12.809406 22.017 -18.4174
12.902228 21.954 -24.6006
12.995723 21.834 -31.2219
13.089895 21.661 -37.9193
13.184750 21.438 -44.6053
13.280292 21.161 -51.9484
13.376526 20.837 -59.6969
13.473458 20.474 -67.3831
13.571093 20.070 -75.4840
13.669434 19.626 -84.2833
13.768489 19.156 -93.2933
13.868261 18.665 -102.2440
13.968756 18.151 -111.9535
14.069979 17.616 -122.0779
14.171936 17.064 -131.8699
14.274632 16.501 -142.0514
14.378072 15.907 -152.6909
14.482261 15.263 -162.9113
14.587206 14.575 -172.9691
14.692910 13.815 176.4897
14.799381 12.919 166.1597
14.906624 11.866 156.3211
15.014643 10.642 145.6516
15.123446 9.155 134.2603
15.233036 7.184 122.5070
15.343421 4.862 106.6094
15.454606 3.094 79.7552
15.566596 2.849 29.9142
15.679398 3.880 -25.4749
15.793018 5.380 -50.0873
15.907460 6.978 -64.1297
16.022732 8.662 -75.5455
16.138840 10.085 -84.0723
16.255788 11.057 -91.4471
16.373585 11.679 -98.7850
16.492234 12.022 -104.7197
16.611744 12.106 -110.0714
16.732119 11.901 -115.2117
16.853367 11.352 -118.6250
16.975494 10.395 -120.6772
17.098505 9.228 -120.5240
17.222408 8.077 -114.9299
17.347209 6.992 -99.7319
17.472914 6.821 -74.1724
17.599530 8.351 -52.0766
17.727063 10.862 -40.2961
17.855521 13.222 -36.5298
17.984909 15.192 -36.5406
18.115235 16.899 -38.2571
18.246506 18.326 -41.1077
18.378727 19.491 -44.6869
18.511907 20.460 -48.4147
18.646052 21.261 -52.4438
18.781169 21.903 -56.5894
18.917265 22.414 -60.5533
19.054347 22.795 -64.6535
19.192423 23.062 -68.5252
19.331499 23.222 -72.2871
19.471583 23.280 -75.9470
19.612682 23.243 -79.3083
19.754804 23.111 -82.5709
19.897956 22.885 -85.5496
20.042144 22.565 -88.3369
20.187378 22.137 -90.8464
20.333664 21.595 -93.0308
20.481010 20.919 -94.8217
20.629424 20.079 -95.9281
20.778913 19.063 -96.1584
20.929486 17.836 -94.7249
21.081150 16.409 -90.6233
21.233912 15.121 -82.2765
21.387782 14.164 -67.6245
21.542767 13.984 -49.4354
21.698874 14.902 -33.9263
21.856113 16.305 -24.4772
22.014492 17.652 -20.3179
22.174018 18.862 -19.0743
22.334700 19.765 -19.5751
22.496546 20.386 -21.0596
22.659566 20.745 -22.5057
22.823766 20.862 -23.9546
22.989157 20.784 -24.2946
23.155745 20.561 -23.6044
23.323542 20.320 -21.1656
23.492554 20.140 -16.9963
23.662790 20.195 -11.8743
23.834261 20.485 -6.3077
24.006973 20.949 -1.8255
24.180938 21.499 1.6655
24.356163 21.970 4.2361
24.532658 22.346 6.5372
24.710431 22.615 9.7490
24.889493 22.916 14.2623
25.069853 23.447 20.9168
25.251519 24.349 28.1082
25.434502 25.712 34.6274
25.618811 27.308 38.0734
25.804456 28.980 38.8389
25.991445 30.537 36.8240
26.179790 31.912 33.0675
26.369500 33.061 27.9820
26.560584 33.976 22.1347
26.753053 34.656 15.8558
26.946917 35.103 9.6611
27.142185 35.321 3.5983
27.338869 35.329 -1.4789
27.536977 35.152 -5.5734
27.736522 34.872 -7.6592
27.937512 34.622 -7.7220
28.139959 34.589 -5.3257
28.343872 34.940 -2.0213
28.549264 35.709 1.1490
28.756143 36.728 2.1057
28.964522 37.833 0.9606
29.174411 38.863 -2.2668
29.385821 39.739 -6.8433
29.598763 40.430 -12.3658
29.813248 40.927 -18.3707
30.029287 41.238 -24.3651
30.246891 41.375 -30.2902
30.466073 41.363 -35.5969
30.686842 41.234 -40.2102
30.909212 41.024 -43.9157
31.133193 40.791 -46.5622
31.358797 40.587 -48.2744
31.586035 40.459 -49.1208
31.814921 40.438 -49.5557
32.045465 40.519 -49.8741
32.277680 40.687 -50.3340
32.511577 40.902 -51.1562
32.747169 41.134 -52.3318
32.984469 41.357 -53.8317
33.223488 41.550 -55.5814
33.464239 41.699 -57.4341
33.706735 41.798 -59.2645
33.950987 41.844 -60.9323
34.197010 41.850 -62.2100
34.444816 41.845 -62.9758
34.694417 41.866 -63.1991
34.945827 41.958 -62.9507
35.199059 42.152 -62.6304
35.454126 42.439 -62.6757
35.711041 42.781 -63.3988
35.969818 43.115 -65.0046
36.230470 43.371 -67.4169
36.493011 43.504 -70.3068
36.757455 43.487 -73.3284
37.023814 43.320 -76.0882
37.292104 43.029 -78.1030
37.562338 42.677 -79.0446
37.834530 42.348 -78.9058
38.108695 42.115 -77.9814
38.384846 42.015 -76.8775
38.662999 42.021 -76.2998
38.943167 42.046 -76.6122
39.225365 42.004 -77.6714
39.509608 41.835 -79.0814
39.795911 41.516 -80.3271
40.084289 41.064 -80.8464
40.374756 40.530 -80.1447
40.667328 39.999 -78.0083
40.962020 39.556 -74.6302
41.258848 39.245 -70.3989
41.557827 39.074 -65.5574
41.858972 39.062 -60.0071
42.162299 39.279 -53.5329
42.467824 39.833 -46.4361
42.775564 40.775 -39.9490
43.085533 42.012 -35.5900
43.397749 43.351 -34.0787
43.712227 44.624 -35.1736
44.028983 45.735 -38.1819
44.348036 46.646 -42.3908
44.669400 47.353 -47.2178
44.993093 47.873 -52.2285
45.319131 48.231 -57.1218
45.647532 48.456 -61.7091
45.978313 48.575 -65.8914
46.311491 48.608 -69.6271
46.647083 48.573 -72.8983
46.985107 48.484 -75.6906
47.325581 48.359 -77.9993
47.668521 48.213 -79.8599
48.013947 48.062 -81.3754
48.361876 47.908 -82.7020
48.712326 47.738 -83.9811
49.065315 47.528 -85.2542
49.420863 47.253 -86.4163
49.778987 46.899 -87.2363
50.139706 46.473 -87.4344
50.503039 46.001 -86.7878
50.869005 45.518 -85.2161
51.237623 45.051 -82.7806
51.608912 44.613 -79.5200
51.982891 44.214 -75.1796
52.359580 43.927 -69.0663
52.739000 43.945 -60.4696
53.121168 44.522 -50.0752
53.506106 45.711 -40.8627
53.893833 47.254 -35.6522
54.284370 48.817 -34.8718
54.677737 50.183 -37.4633
55.073955 51.256 -42.1507
55.473043 52.016 -47.8644
55.875024 52.481 -53.7669
56.279917 52.695 -59.2450
56.687745 52.724 -63.8473
57.098527 52.644 -67.3681
57.512287 52.530 -69.9058
57.929045 52.427 -71.7845
58.348822 52.348 -73.3640
58.771642 52.282 -74.9047
59.197525 52.208 -76.5275
59.626495 52.107 -78.2966
60.058573 51.953 -80.2725
60.493782 51.711 -82.4573
60.932145 51.336 -84.6708
61.373685 50.791 -86.4962
61.818424 50.070 -87.2214
62.266386 49.222 -85.9416
62.717593 48.381 -81.8766
63.172071 47.748 -75.0206
63.629842 47.498 -66.7101
64.090930 47.644 -58.7911
64.555359 48.062 -52.2629
65.023154 48.620 -47.0421
65.494339 49.251 -42.7291
65.968938 49.933 -39.0864
66.446976 50.655 -36.1205
66.928478 51.396 -33.9001
67.413469 52.131 -32.3999
67.901975 52.842 -31.5088
68.394021 53.520 -31.1532
68.889632 54.152 -31.3468
69.388835 54.712 -32.1152
69.891655 55.167 -33.3453
70.398118 55.494 -34.7334
70.908252 55.689 -35.9036
71.422083 55.767 -36.4457
71.939636 55.766 -35.9802
72.460941 55.751 -34.0819
72.986023 55.827 -30.4774
73.514909 56.122 -25.3580
74.047629 56.728 -19.4431
74.584208 57.682 -13.5059
75.124676 58.980 -8.2191
75.669061 60.557 -4.5650
76.217390 62.263 -3.6589
76.769692 63.922 -5.8198
77.325997 65.406 -10.4944
77.886333 66.660 -16.8032
78.450730 67.684 -24.0046
79.019216 68.498 -31.6834
79.591822 69.116 -39.6429
80.168577 69.540 -47.7088
80.749512 69.777 -55.5776
81.334656 69.861 -62.8563
81.924040 69.855 -69.3936
82.517696 69.807 -75.4747
83.115653 69.713 -81.5735
83.717943 69.522 -87.8339
84.324598 69.194 -93.8525
84.935649 68.743 -99.1201
85.551128 68.218 -103.5180
86.171066 67.644 -107.3432
86.795497 67.004 -110.7693
87.424453 66.268 -113.5015
88.057967 65.440 -115.1587
88.696071 64.533 -115.5643
89.338800 63.566 -114.1691
89.986185 62.663 -109.4274
90.638262 62.191 -100.0319
91.295065 62.565 -88.4450
91.956626 63.706 -80.3909
92.622982 65.101 -78.5828
93.294166 66.315 -81.8669
93.970214 67.160 -87.8351
94.651161 67.652 -94.2718
95.337042 67.928 -99.9534
96.027894 68.125 -105.0424
96.723752 68.286 -110.4039
97.424652 68.370 -116.4462
98.130631 68.336 -123.0100
98.841726 68.172 -129.9237
99.557974 67.866 -137.1477
100.279412 67.406 -144.5608
101.006078 66.795 -151.9391
101.738010 66.059 -159.2062
102.475245 65.225 -166.6118
103.217823 64.300 -174.5221
103.965782 63.277 176.8765
104.719161 62.190 167.4023
105.477999 61.127 156.4846
106.242336 60.240 143.1737
107.012212 59.726 126.5974
107.787666 59.722 106.8417
108.568740 60.180 85.7981
109.355474 60.925 66.2627
110.147909 61.812 49.9457
110.946086 62.764 36.9747
111.750047 63.727 26.5165
112.559834 64.638 17.4585
113.375489 65.415 9.0726
114.197055 66.006 1.4460
115.024574 66.440 -4.8824
115.858089 66.801 -9.6703
116.697645 67.165 -13.3599
117.543284 67.545 -16.7748
118.395051 67.883 -20.4495
119.252990 68.111 -24.3092
120.117147 68.195 -27.7783
120.987565 68.160 -30.1493
121.864291 68.077 -31.0797
122.747370 68.035 -30.5267
123.636848 68.150 -28.3151
124.532771 68.582 -24.5475
125.435187 69.394 -21.0334
126.344142 70.387 -20.7751
127.259684 71.242 -24.1261
128.181860 71.800 -28.9130
129.110718 72.099 -33.1750
130.046308 72.274 -35.9680
130.988677 72.489 -37.2812
131.937875 72.825 -38.4287
132.893951 73.204 -40.8611
133.856956 73.475 -44.6492
134.826938 73.536 -48.9044
135.803950 73.371 -52.4509
136.788041 73.076 -53.8687
137.779264 72.875 -52.2958
138.777669 72.995 -49.1013
139.783309 73.460 -46.7616
140.796237 74.100 -46.6346
141.816504 74.709 -48.8962
142.844165 75.152 -52.5609
143.879273 75.425 -56.2047
144.921881 75.618 -59.1694
145.972045 75.823 -61.6974
147.029819 76.082 -64.4805
148.095257 76.346 -68.4332
149.168417 76.491 -74.0681
150.249353 76.389 -80.8015
151.338121 75.983 -87.4124
152.434780 75.284 -93.0674
153.539385 74.326 -97.1003
154.651995 73.197 -98.1610
155.772667 72.106 -95.5690
156.901460 71.218 -92.1913
158.038432 70.416 -90.1400
159.183644 69.588 -85.8639
160.337154 69.098 -74.7446
161.499023 69.520 -60.2040
162.669312 70.743 -50.9634
163.848081 72.167 -48.6833
165.035392 73.357 -51.6104
