* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.6 dBFS, measurement signal peak level -19.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:41:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.5466 ms (-187 mm, -7.38 in) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: pillows-and-throws-p1-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 62.725 -66.5987
10.166832 62.867 -68.1655
10.240505 63.038 -69.7102
10.314712 63.216 -71.2603
10.389457 63.396 -72.8427
10.464743 63.584 -74.4758
10.540575 63.782 -76.1292
10.616956 63.987 -77.8080
10.693891 64.193 -79.5279
10.771383 64.397 -81.3048
10.849437 64.600 -83.1420
10.928057 64.802 -85.0254
11.007246 65.000 -86.9448
11.087009 65.192 -88.8922
11.167350 65.375 -90.8789
11.248273 65.550 -92.9170
11.329783 65.718 -94.9731
11.411883 65.876 -97.0151
11.494578 66.023 -99.0367
11.577873 66.158 -101.0791
11.661771 66.284 -103.1057
11.746277 66.401 -105.0736
11.831395 66.510 -106.9621
11.917130 66.610 -108.8124
12.003487 66.703 -110.6033
12.090469 66.796 -112.3054
12.178081 66.889 -113.8981
12.266329 66.981 -115.3992
12.355216 67.078 -116.8217
12.444747 67.187 -118.1766
12.534926 67.308 -119.4427
12.625760 67.442 -120.6248
12.717251 67.591 -121.7828
12.809406 67.759 -122.9705
12.902228 67.948 -124.1374
12.995723 68.155 -125.3163
13.089895 68.376 -126.5843
13.184750 68.611 -127.9782
13.280292 68.861 -129.4421
13.376526 69.119 -131.0149
13.473458 69.378 -132.7405
13.571093 69.637 -134.6102
13.669434 69.895 -136.5978
13.768489 70.145 -138.6966
13.868261 70.382 -140.9165
13.968756 70.608 -143.2577
14.069979 70.819 -145.6692
14.171936 71.011 -148.1162
14.274632 71.186 -150.6453
14.378072 71.342 -153.2098
14.482261 71.481 -155.7426
14.587206 71.601 -158.2741
14.692910 71.703 -160.8008
14.799381 71.791 -163.2611
14.906624 71.866 -165.6449
15.014643 71.928 -167.9774
15.123446 71.984 -170.2311
15.233036 72.035 -172.3858
15.343421 72.082 -174.4576
15.454606 72.130 -176.4630
15.566596 72.182 -178.3999
15.679398 72.237 179.7355
15.793018 72.298 177.9004
15.907460 72.365 176.0779
16.022732 72.438 174.2820
16.138840 72.514 172.4778
16.255788 72.593 170.6476
16.373585 72.672 168.8048
16.492234 72.749 166.9521
16.611744 72.820 165.0765
16.732119 72.887 163.1948
16.853367 72.946 161.3451
16.975494 72.997 159.5135
17.098505 73.042 157.7242
17.222408 73.084 156.0184
17.347209 73.121 154.3849
17.472914 73.162 152.8309
17.599530 73.209 151.3745
17.727063 73.265 150.0041
17.855521 73.336 148.6734
17.984909 73.423 147.3984
18.115235 73.528 146.1309
18.246506 73.652 144.8041
18.378727 73.792 143.4397
18.511907 73.944 141.9714
18.646052 74.104 140.3794
18.781169 74.268 138.6765
18.917265 74.427 136.8468
19.054347 74.579 134.8929
19.192423 74.720 132.8646
19.331499 74.845 130.7551
19.471583 74.954 128.6024
19.612682 75.046 126.4606
19.754804 75.122 124.3150
19.897956 75.186 122.2274
20.042144 75.237 120.1967
20.187378 75.283 118.2317
20.333664 75.325 116.3490
20.481010 75.366 114.5327
20.629424 75.410 112.7698
20.778913 75.457 111.0605
20.929486 75.508 109.3721
21.081150 75.563 107.7068
21.233912 75.619 106.0541
21.387782 75.676 104.4079
21.542767 75.733 102.7817
21.698874 75.790 101.1778
21.856113 75.847 99.6050
22.014492 75.907 98.0767
22.174018 75.971 96.5853
22.334700 76.043 95.1303
22.496546 76.124 93.7008
22.659566 76.215 92.2689
22.823766 76.316 90.8310
22.989157 76.426 89.3558
23.155745 76.542 87.8463
23.323542 76.662 86.3009
23.492554 76.785 84.7239
23.662790 76.911 83.1443
23.834261 77.041 81.5604
24.006973 77.181 79.9929
24.180938 77.335 78.4246
24.356163 77.509 76.8228
24.532658 77.704 75.1507
24.710431 77.922 73.3226
24.889493 78.157 71.3000
25.069853 78.402 69.0000
25.251519 78.643 66.4231
25.434502 78.869 63.5332
25.618811 79.065 60.4064
25.804456 79.222 57.0421
25.991445 79.332 53.5948
26.179790 79.392 50.0771
26.369500 79.405 46.6743
26.560584 79.377 43.4055
26.753053 79.321 40.4106
26.946917 79.255 37.6829
27.142185 79.194 35.2731
27.338869 79.161 33.0688
27.536977 79.165 31.0360
27.736522 79.214 28.9681
27.937512 79.303 26.7837
28.139959 79.422 24.3423
28.343872 79.553 21.5829
28.549264 79.682 18.4829
28.756143 79.789 15.0560
28.964522 79.864 11.3517
29.174411 79.895 7.4023
29.385821 79.876 3.3103
29.598763 79.799 -0.8917
29.813248 79.659 -5.1033
30.029287 79.452 -9.2181
30.246891 79.177 -13.1624
30.466073 78.838 -16.7482
30.686842 78.447 -19.8513
30.909212 78.021 -22.3107
31.133193 77.599 -24.0078
31.358797 77.227 -24.9811
31.586035 76.946 -25.3240
31.814921 76.793 -25.4765
32.045465 76.762 -25.8318
32.277680 76.826 -26.7228
32.511577 76.929 -28.3940
32.747169 77.019 -30.7606
32.984469 77.058 -33.6969
33.223488 77.017 -36.9590
33.464239 76.892 -40.2231
33.706735 76.694 -43.2866
33.950987 76.442 -45.9246
34.197010 76.177 -47.9862
34.444816 75.942 -49.5084
34.694417 75.775 -50.6195
34.945827 75.703 -51.5903
35.199059 75.730 -52.8346
35.454126 75.831 -54.6523
35.711041 75.968 -57.2299
35.969818 76.096 -60.6504
36.230470 76.168 -64.8370
36.493011 76.149 -69.5938
36.757455 76.018 -74.7053
37.023814 75.763 -79.9271
37.292104 75.386 -84.9522
37.562338 74.908 -89.5004
37.834530 74.363 -93.4093
38.108695 73.794 -96.6112
38.384846 73.244 -99.1862
38.662999 72.742 -101.3939
38.943167 72.292 -103.5490
39.225365 71.871 -105.8062
39.509608 71.456 -108.1628
39.795911 71.034 -110.5043
40.084289 70.612 -112.6844
40.374756 70.213 -114.6389
40.667328 69.866 -116.4787
40.962020 69.585 -118.4489
41.258848 69.364 -120.7897
41.557827 69.183 -123.6642
41.858972 69.024 -127.1616
42.162299 68.872 -131.3492
42.467824 68.711 -136.3223
42.775564 68.523 -142.2120
43.085533 68.277 -149.1415
43.397749 67.933 -157.1667
43.712227 67.451 -166.2464
44.028983 66.796 -176.2657
44.348036 65.947 172.9139
44.669400 64.892 161.4153
44.993093 63.634 149.3156
45.319131 62.189 136.6328
45.647532 60.594 123.3392
45.978313 58.913 109.4252
46.311491 57.249 95.0350
46.647083 55.756 80.6470
46.985107 54.620 67.1031
47.325581 53.985 55.2509
47.668521 53.861 45.4260
48.013947 54.115 37.3803
48.361876 54.559 30.7069
48.712326 55.042 25.2324
49.065315 55.492 21.1012
49.420863 55.917 18.6606
49.778987 56.399 18.2252
50.139706 57.065 19.6805
50.503039 58.011 22.1089
50.869005 59.223 24.0500
51.237623 60.592 24.4420
51.608912 62.003 23.1337
51.982891 63.397 20.5114
52.359580 64.772 16.8890
52.739000 66.135 12.1812
53.121168 67.459 6.0038
53.506106 68.677 -1.9564
53.893833 69.702 -11.6748
54.284370 70.459 -22.8203
54.677737 70.898 -34.8513
55.073955 70.992 -47.1165
55.473043 70.746 -58.9193
55.875024 70.191 -69.5754
56.279917 69.393 -78.5034
56.687745 68.446 -85.3397
57.098527 67.453 -90.1611
57.512287 66.487 -93.4130
57.929045 65.576 -95.4706
58.348822 64.730 -96.3472
58.771642 63.991 -95.9327
59.197525 63.424 -94.4849
59.626495 63.065 -92.6559
60.058573 62.901 -90.9331
60.493782 62.914 -89.4095
60.932145 63.109 -88.2916
61.373685 63.465 -88.2291
61.818424 63.896 -89.8666
62.266386 64.285 -93.2195
62.717593 64.551 -97.7307
63.172071 64.673 -102.6817
63.629842 64.679 -107.5282
64.090930 64.615 -112.0446
64.555359 64.529 -116.2385
65.023154 64.460 -120.2575
65.494339 64.431 -124.3424
65.968938 64.447 -128.8385
66.446976 64.484 -134.0321
66.928478 64.504 -140.0059
67.413469 64.481 -146.6453
67.901975 64.407 -153.8384
68.394021 64.282 -161.6166
68.889632 64.092 -170.0662
69.388835 63.814 -179.0835
69.891655 63.452 171.6542
70.398118 63.056 162.4386
70.908252 62.708 153.0288
71.422083 62.450 142.4888
71.939636 62.213 129.9193
72.460941 61.852 115.1036
72.986023 61.220 98.5551
73.514909 60.202 81.2671
74.047629 58.720 64.3065
74.584208 56.700 49.1003
75.124676 54.159 38.9888
75.669061 51.909 50.5771
76.217390 52.415 106.2024
76.769692 55.107 114.0908
77.325997 57.704 104.2639
77.886333 59.757 91.6704
78.450730 61.436 79.3989
79.019216 62.924 67.6926
79.591822 64.271 55.5988
80.168577 65.421 42.5303
80.749512 66.322 28.7249
81.334656 66.972 14.7546
81.924040 67.402 0.8243
82.517696 67.608 -13.3365
83.115653 67.528 -27.9700
83.717943 67.067 -42.7499
84.324598 66.151 -56.6810
84.935649 64.756 -68.4589
85.551128 62.911 -76.6307
86.171066 60.725 -78.8872
86.795497 58.691 -68.6115
87.424453 58.241 -38.5885
88.057967 59.946 -17.2050
88.696071 62.341 -14.0623
89.338800 64.563 -18.7504
89.986185 66.461 -27.2395
90.638262 68.022 -38.4272
91.295065 69.235 -51.7977
91.956626 70.078 -66.9496
92.622982 70.515 -83.5541
93.294166 70.493 -101.1515
93.970214 69.959 -118.9192
94.651161 68.895 -135.6694
95.337042 67.336 -150.1450
96.027894 65.364 -161.4874
96.723752 63.059 -169.3065
97.424652 60.488 -172.7172
98.130631 57.788 -169.1943
98.841726 55.406 -155.3954
99.557974 54.188 -134.4746
100.279412 54.459 -119.5459
101.006078 55.483 -114.1669
101.738010 56.597 -114.5292
102.475245 57.535 -118.9683
103.217823 58.120 -127.0948
103.965782 58.211 -137.3785
104.719161 57.779 -147.4305
105.477999 56.920 -155.3837
106.242336 55.784 -160.6256
107.012212 54.520 -162.8925
107.787666 53.318 -161.8168
108.568740 52.372 -159.1805
109.355474 51.674 -158.1237
110.147909 51.027 -158.9758
110.946086 50.289 -159.9927
111.750047 49.457 -160.3301
112.559834 48.531 -160.9501
113.375489 47.403 -162.5254
114.197055 45.936 -163.2770
115.024574 44.257 -157.4159
115.858089 43.299 -132.7383
116.697645 44.199 -102.1989
117.543284 46.171 -93.3372
118.395051 48.069 -95.9370
119.252990 49.578 -102.8278
120.117147 50.688 -112.2523
120.987565 51.394 -123.8563
121.864291 51.696 -136.8616
122.747370 51.632 -150.5792
123.636848 51.255 -165.0808
124.532771 50.587 179.1981
125.435187 49.638 161.8363
126.344142 48.420 142.4669
127.259684 46.978 120.9342
128.181860 45.433 98.1624
129.110718 44.115 77.1509
130.046308 43.531 59.4872
130.988677 43.640 42.5316
131.937875 43.833 26.6575
132.893951 43.894 15.5226
133.856956 44.364 13.8121
134.826938 46.235 29.7041
135.803950 49.185 43.2656
136.788041 51.943 36.4457
137.779264 53.922 20.6388
138.777669 55.075 3.4495
139.783309 55.576 -11.4200
140.796237 55.675 -22.4554
141.816504 55.637 -29.4797
142.844165 55.748 -32.3458
143.879273 56.220 -33.1775
144.921881 56.932 -36.9204
145.972045 57.603 -43.5870
147.029819 58.120 -51.0228
148.095257 58.462 -58.9502
149.168417 58.590 -67.4805
150.249353 58.474 -75.8146
151.338121 58.195 -81.9156
152.434780 58.009 -84.3417
153.539385 58.111 -86.2999
154.651995 58.326 -92.5253
155.772667 58.272 -102.9071
156.901460 57.709 -113.9885
158.038432 56.655 -121.8629
159.183644 55.363 -123.6891
160.337154 54.252 -119.6262
161.499023 53.670 -113.9774
162.669312 53.657 -109.4498
163.848081 53.989 -108.3326
165.035392 54.304 -112.1554
166.231306 54.342 -118.1763
167.435887 54.054 -123.8530
168.649196 53.469 -128.7382
169.871298 52.645 -131.7000
171.102255 51.835 -129.1716
172.342133 51.635 -117.2721
173.590995 52.350 -107.7797
