* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.4 dBFS, measurement signal peak level -20.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 9:41:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.0820 ms (-2.429 m, -(7 ft 11.6 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: pillows-and-throws-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 58.464 -61.4613
10.166832 58.578 -63.0809
10.240505 58.716 -64.7171
10.314712 58.858 -66.3789
10.389457 59.001 -68.0775
10.464743 59.143 -69.8269
10.540575 59.284 -71.6334
10.616956 59.422 -73.4785
10.693891 59.553 -75.3448
10.771383 59.673 -77.2188
10.849437 59.783 -79.1373
10.928057 59.882 -81.1014
11.007246 59.971 -83.0647
11.087009 60.045 -84.9826
11.167350 60.105 -86.8621
11.248273 60.149 -88.7568
11.329783 60.180 -90.6127
11.411883 60.198 -92.3684
11.494578 60.204 -93.9929
11.577873 60.194 -95.5463
11.661771 60.176 -96.9976
11.746277 60.155 -98.3004
11.831395 60.135 -99.4130
11.917130 60.111 -100.3512
12.003487 60.092 -101.1333
12.090469 60.092 -101.7756
12.178081 60.117 -102.2582
12.266329 60.162 -102.5479
12.355216 60.233 -102.7428
12.444747 60.340 -102.9510
12.534926 60.488 -103.1499
12.625760 60.673 -103.3128
12.717251 60.887 -103.5805
12.809406 61.127 -104.0755
12.902228 61.397 -104.7174
12.995723 61.688 -105.5158
13.089895 61.987 -106.5460
13.184750 62.284 -107.8498
13.280292 62.585 -109.3629
13.376526 62.880 -111.0643
13.473458 63.158 -112.9496
13.571093 63.418 -115.0485
13.669434 63.660 -117.3129
13.768489 63.880 -119.6719
13.868261 64.072 -122.1223
13.968756 64.239 -124.7174
14.069979 64.380 -127.3618
14.171936 64.493 -129.9823
14.274632 64.578 -132.6710
14.378072 64.636 -135.3777
14.482261 64.670 -138.0060
14.587206 64.679 -140.5974
14.692910 64.663 -143.1645
14.799381 64.628 -145.6345
14.906624 64.574 -147.9911
15.014643 64.502 -150.2707
15.123446 64.418 -152.4448
15.233036 64.325 -154.4857
15.343421 64.221 -156.4087
15.454606 64.114 -158.2326
15.566596 64.007 -159.9495
15.679398 63.899 -161.5478
15.793018 63.793 -163.0795
15.907460 63.693 -164.5587
16.022732 63.597 -165.9636
16.138840 63.505 -167.3553
16.255788 63.417 -168.7544
16.373585 63.332 -170.1440
16.492234 63.245 -171.5668
16.611744 63.156 -173.0392
16.732119 63.060 -174.5487
16.853367 62.951 -176.0978
16.975494 62.829 -177.7093
17.098505 62.687 -179.3512
17.222408 62.520 179.0115
17.347209 62.327 177.3455
17.472914 62.101 175.7272
17.599530 61.840 174.2014
17.727063 61.543 172.7550
17.855521 61.208 171.5017
17.984909 60.833 170.4761
18.115235 60.424 169.7154
18.246506 59.988 169.3146
18.378727 59.525 169.3386
18.511907 59.054 169.7682
18.646052 58.584 170.6903
18.781169 58.124 172.0983
18.917265 57.691 173.8547
19.054347 57.287 176.0307
19.192423 56.904 178.5262
19.331499 56.541 -178.7356
19.471583 56.189 -175.5943
19.612682 55.831 -171.8695
19.754804 55.487 -167.4760
19.897956 55.224 -161.8089
20.042144 55.070 -154.8604
20.187378 55.169 -146.7498
20.333664 55.634 -138.0383
20.481010 56.410 -130.0478
20.629424 57.441 -123.9051
20.778913 58.651 -119.6712
20.929486 59.856 -117.6670
21.081150 61.020 -117.2130
21.233912 62.083 -118.0772
21.387782 63.021 -119.9591
21.542767 63.832 -122.4388
21.698874 64.508 -125.4656
21.856113 65.055 -128.7224
22.014492 65.476 -132.0854
22.174018 65.775 -135.4626
22.334700 65.959 -138.5707
22.496546 66.034 -141.4569
22.659566 66.014 -143.7522
22.823766 65.912 -145.5024
22.989157 65.758 -146.3668
23.155745 65.578 -146.3139
23.323542 65.433 -145.1816
23.492554 65.361 -142.9657
23.662790 65.445 -139.9177
23.834261 65.707 -136.2992
24.006973 66.172 -132.7814
24.180938 66.818 -129.7059
24.356163 67.588 -127.5875
24.532658 68.442 -126.4451
24.710431 69.314 -126.3966
24.889493 70.178 -127.2558
25.069853 70.997 -128.9626
25.251519 71.758 -131.3084
25.434502 72.446 -134.2175
25.618811 73.055 -137.4765
25.804456 73.580 -141.0533
25.991445 74.023 -144.7075
26.179790 74.384 -148.4436
26.369500 74.672 -152.0180
26.560584 74.896 -155.4350
26.753053 75.073 -158.5114
26.946917 75.222 -161.2505
27.142185 75.364 -163.5765
27.338869 75.529 -165.5830
27.536977 75.731 -167.3015
27.736522 75.987 -168.9640
27.937512 76.297 -170.6967
28.139959 76.652 -172.6838
28.343872 77.030 -175.0694
28.549264 77.412 -177.8775
28.756143 77.771 178.8508
28.964522 78.090 175.2055
29.174411 78.351 171.2094
29.385821 78.542 167.0391
29.598763 78.657 162.7385
29.813248 78.692 158.4724
30.029287 78.647 154.3875
30.246891 78.528 150.5615
30.466073 78.347 147.2108
30.686842 78.125 144.4098
30.909212 77.886 142.2775
31.133193 77.671 140.8287
31.358797 77.516 139.9453
31.586035 77.448 139.4868
31.814921 77.483 139.0559
32.045465 77.604 138.3837
32.277680 77.786 137.2644
32.511577 77.983 135.5558
32.747169 78.156 133.3583
32.984469 78.279 130.7823
33.223488 78.331 128.0294
33.464239 78.313 125.3853
33.706735 78.237 123.0280
33.950987 78.128 121.1574
34.197010 78.030 119.8998
34.444816 77.992 119.1544
34.694417 78.051 118.7129
34.945827 78.229 118.2227
35.199059 78.509 117.1988
35.454126 78.850 115.3754
35.711041 79.202 112.6505
35.969818 79.514 109.0272
36.230470 79.744 104.6788
36.493011 79.865 99.8547
36.757455 79.866 94.7794
37.023814 79.743 89.6836
37.292104 79.505 84.8377
37.562338 79.175 80.4662
37.834530 78.784 76.6800
38.108695 78.368 73.5208
38.384846 77.962 70.9278
38.662999 77.589 68.7146
38.943167 77.254 66.6421
39.225365 76.942 64.5754
39.509608 76.635 62.4893
39.795911 76.320 60.4478
40.084289 75.995 58.5659
40.374756 75.672 56.9402
40.667328 75.373 55.5687
40.962020 75.116 54.3298
41.258848 74.904 53.0515
41.557827 74.729 51.5795
41.858972 74.572 49.8199
42.162299 74.415 47.7424
42.467824 74.242 45.3547
42.775564 74.038 42.6738
43.085533 73.788 39.7197
43.397749 73.472 36.5388
43.712227 73.071 33.2394
44.028983 72.568 30.0092
44.348036 71.956 27.1057
44.669400 71.246 24.8246
44.993093 70.464 23.4453
45.319131 69.659 23.1526
45.647532 68.890 23.9498
45.978313 68.215 25.6072
46.311491 67.667 27.7090
46.647083 67.249 29.8064
46.985107 66.933 31.5848
47.325581 66.680 32.9396
47.668521 66.456 33.9367
48.013947 66.244 34.7097
48.361876 66.041 35.3610
48.712326 65.847 35.9253
49.065315 65.662 36.4156
49.420863 65.484 36.9057
49.778987 65.323 37.5471
50.139706 65.209 38.4555
50.503039 65.185 39.5325
50.869005 65.280 40.4050
51.237623 65.479 40.6190
51.608912 65.743 39.9305
51.982891 66.031 38.3736
52.359580 66.332 36.0561
52.739000 66.646 32.9117
53.121168 66.961 28.6521
53.506106 67.228 22.9694
53.893833 67.370 15.7768
54.284370 67.305 7.2865
54.677737 66.968 -2.0214
55.073955 66.319 -11.4811
55.473043 65.352 -20.3036
55.875024 64.099 -27.6290
56.279917 62.647 -32.6075
56.687745 61.148 -34.6530
57.098527 59.812 -33.9235
57.512287 58.845 -31.4908
57.929045 58.361 -28.8649
58.348822 58.349 -27.3752
58.771642 58.697 -27.8190
59.197525 59.266 -30.2989
59.626495 59.963 -34.4157
60.058573 60.762 -39.7275
60.493782 61.657 -46.1229
60.932145 62.613 -53.7990
61.373685 63.548 -62.8551
61.818424 64.370 -73.0710
62.266386 65.010 -83.8734
62.717593 65.449 -94.6017
63.172071 65.709 -104.6089
63.629842 65.849 -113.4404
64.090930 65.941 -120.9978
64.555359 66.042 -127.4930
65.023154 66.176 -133.3222
65.494339 66.335 -138.8319
65.968938 66.492 -144.2366
66.446976 66.619 -149.5922
66.928478 66.693 -154.8568
67.413469 66.701 -159.9498
67.901975 66.636 -164.8088
68.394021 66.493 -169.3964
68.889632 66.260 -173.6578
69.388835 65.929 -177.4399
69.891655 65.499 179.4774
70.398118 64.982 177.2927
70.908252 64.394 176.1663
71.422083 63.754 176.4421
71.939636 63.134 178.8115
72.460941 62.695 -176.2347
72.986023 62.616 -169.7211
73.514909 62.908 -164.0407
74.047629 63.397 -160.4423
74.584208 63.914 -158.3511
75.124676 64.419 -156.5948
75.669061 64.966 -154.5345
76.217390 65.623 -152.4276
76.769692 66.379 -151.2192
77.325997 67.140 -151.5281
77.886333 67.814 -152.9027
78.450730 68.405 -154.2341
79.019216 69.012 -154.8632
79.591822 69.724 -155.3433
80.168577 70.529 -156.7103
80.749512 71.357 -159.3350
81.334656 72.159 -163.0784
81.924040 72.899 -168.0167
82.517696 73.515 -174.3362
83.115653 73.929 178.1639
83.717943 74.095 170.1481
84.324598 74.022 162.3521
84.935649 73.753 155.2213
85.551128 73.337 148.9402
86.171066 72.824 143.5707
86.795497 72.261 139.0030
87.424453 71.679 134.8026
88.057967 71.053 130.4336
88.696071 70.312 125.7021
89.338800 69.366 120.8900
89.986185 68.133 116.7170
90.638262 66.564 114.6403
91.295065 64.757 117.9472
91.956626 63.288 132.7256
92.622982 63.185 155.5750
93.294166 64.318 166.6869
93.970214 65.520 165.8930
94.651161 66.216 160.7089
95.337042 66.395 155.6542
96.027894 66.259 152.6702
96.723752 66.021 151.6158
97.424652 65.800 151.4664
98.130631 65.625 151.5200
98.841726 65.476 151.4103
99.557974 65.318 151.0386
100.279412 65.127 150.6174
101.006078 64.905 150.3749
101.738010 64.666 150.3408
102.475245 64.415 150.3017
103.217823 64.129 150.0436
103.965782 63.778 149.9055
104.719161 63.384 150.5540
105.477999 63.007 151.9801
106.242336 62.670 153.4413
107.012212 62.327 154.5150
107.787666 61.917 155.5438
108.568740 61.431 157.4271
109.355474 60.942 161.0767
110.147909 60.589 166.5256
110.946086 60.477 172.7124
111.750047 60.612 178.4219
112.559834 60.939 -176.8027
113.375489 61.399 -173.0280
114.197055 61.930 -170.5950
115.024574 62.455 -169.6505
115.858089 62.906 -169.9155
116.697645 63.243 -170.9832
117.543284 63.456 -172.2756
118.395051 63.574 -173.3007
119.252990 63.638 -173.9748
120.117147 63.677 -174.4064
120.987565 63.709 -174.6553
121.864291 63.751 -174.6825
122.747370 63.827 -174.5363
123.636848 63.951 -174.4718
124.532771 64.128 -174.6588
125.435187 64.365 -175.1168
126.344142 64.681 -175.9679
127.259684 65.073 -177.8157
128.181860 65.475 178.4968
129.110718 65.777 172.7469
130.046308 65.880 165.1483
130.988677 65.689 155.9913
131.937875 65.128 146.0615
132.893951 64.167 136.3587
133.856956 62.803 127.4023
134.826938 61.013 119.7186
135.803950 58.765 114.8458
136.788041 56.113 116.3498
137.779264 53.407 129.6629
138.777669 51.416 149.5980
139.783309 50.507 161.1782
140.796237 50.037 163.4983
141.816504 49.272 158.9095
142.844165 47.908 147.7544
143.879273 46.680 122.8514
144.921881 47.802 -30.7351
145.972045 50.722 -52.4175
147.029819 53.530 -63.0517
148.095257 55.756 -72.5756
149.168417 57.375 -82.9036
150.249353 58.462 -93.1332
151.338121 59.120 -102.7936
152.434780 59.385 -112.3694
153.539385 59.267 -121.1096
154.651995 58.867 -127.7269
155.772667 58.312 -132.8018
156.901460 57.633 -137.4172
158.038432 56.798 -141.4626
159.183644 55.780 -144.5341
160.337154 54.574 -145.9978
161.499023 53.176 -146.2668
162.669312 51.576 -143.5720
163.848081 50.119 -130.1689
165.035392 49.657 -106.1213
166.231306 50.292 -92.7064
167.435887 51.172 -89.6583
168.649196 51.953 -87.5731
169.871298 52.812 -83.9108
171.102255 53.874 -81.5309
172.342133 55.024 -82.9028
173.590995 56.062 -88.2597
