* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -28.9 dBFS, measurement signal peak level -22.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 8:24:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0143 ms (-4.9 mm, -0.19 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: rug-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 15.971 127.7399
10.166832 16.937 111.4914
10.240505 18.083 97.6731
10.314712 19.253 86.4657
10.389457 20.402 77.3777
10.464743 21.445 69.6024
10.540575 22.326 61.9221
10.616956 23.103 54.5944
10.693891 23.796 47.8983
10.771383 24.410 41.9106
10.849437 24.942 35.9570
10.928057 25.388 29.8283
11.007246 25.760 23.9039
11.087009 26.070 18.4727
11.167350 26.320 13.3525
11.248273 26.505 7.9880
11.329783 26.625 2.6780
11.411883 26.685 -2.2277
11.494578 26.685 -6.6221
11.577873 26.622 -11.0669
11.661771 26.499 -15.4081
11.746277 26.320 -19.3169
11.831395 26.081 -22.5269
11.917130 25.774 -25.3621
12.003487 25.427 -27.7876
12.090469 25.074 -29.6040
12.178081 24.717 -30.4892
12.266329 24.346 -30.3503
12.355216 24.026 -29.4290
12.444747 23.844 -28.0747
12.534926 23.842 -26.1379
12.625760 23.991 -23.5830
12.717251 24.258 -21.2620
12.809406 24.629 -19.9123
12.902228 25.126 -19.2291
12.995723 25.699 -19.1371
13.089895 26.256 -19.7950
13.184750 26.744 -21.3577
13.280292 27.185 -23.6894
13.376526 27.553 -26.3767
13.473458 27.813 -29.1696
13.571093 27.966 -32.5562
13.669434 28.001 -36.3448
13.768489 27.889 -39.9020
13.868261 27.618 -43.1363
13.968756 27.188 -46.7328
14.069979 26.528 -49.9299
14.171936 25.516 -51.6601
14.274632 24.031 -52.1832
14.378072 22.452 -50.2536
14.482261 21.375 -42.3973
14.587206 21.030 -23.1661
14.692910 21.372 5.3506
14.799381 22.476 24.6672
14.906624 24.437 32.6441
15.014643 26.859 35.1685
15.123446 29.076 34.3344
15.233036 30.785 31.3791
15.343421 32.176 27.5478
15.454606 33.363 23.2921
15.566596 34.390 18.4710
15.679398 35.245 13.1983
15.793018 35.962 7.9859
15.907460 36.562 2.6537
16.022732 37.038 -3.0231
16.138840 37.404 -8.4772
16.255788 37.667 -13.8710
16.373585 37.823 -19.4910
16.492234 37.878 -24.7458
16.611744 37.833 -29.8500
16.732119 37.685 -34.9693
16.853367 37.437 -39.5435
16.975494 37.086 -43.7855
17.098505 36.639 -47.6860
17.222408 36.100 -50.7604
17.347209 35.468 -53.0078
17.472914 34.796 -54.3687
17.599530 34.114 -54.4176
17.727063 33.458 -52.9169
17.855521 32.969 -50.4244
17.984909 32.709 -46.7296
18.115235 32.675 -42.5879
18.246506 32.886 -39.2803
18.378727 33.319 -36.7237
18.511907 33.832 -35.4156
18.646052 34.358 -35.4505
18.781169 34.871 -36.4093
18.917265 35.306 -38.0593
19.054347 35.661 -40.4270
19.192423 35.931 -42.9623
19.331499 36.109 -45.7319
19.471583 36.202 -48.5538
19.612682 36.218 -51.0586
19.754804 36.162 -53.4260
19.897956 36.057 -55.2477
20.042144 35.908 -56.5205
20.187378 35.757 -57.1508
20.333664 35.630 -56.9389
20.481010 35.567 -56.0054
20.629424 35.625 -54.4759
20.778913 35.817 -52.4408
20.929486 36.165 -50.5552
21.081150 36.666 -48.8197
21.233912 37.264 -47.8491
21.387782 37.938 -47.5955
21.542767 38.629 -48.1481
21.698874 39.299 -49.5188
21.856113 39.924 -51.4464
22.014492 40.474 -53.9253
22.174018 40.940 -56.7176
22.334700 41.308 -59.6394
22.496546 41.576 -62.6421
22.659566 41.743 -65.3262
22.823766 41.816 -67.7750
22.989157 41.815 -69.4884
23.155745 41.762 -70.5446
23.323542 41.715 -70.6144
23.492554 41.712 -69.7532
23.662790 41.835 -68.2082
23.834261 42.102 -66.1631
24.006973 42.527 -64.4187
24.180938 43.077 -63.0794
24.356163 43.679 -62.6841
24.532658 44.290 -63.0051
24.710431 44.845 -64.0340
24.889493 45.331 -65.4393
25.069853 45.729 -66.9648
25.251519 46.060 -68.3369
25.434502 46.345 -69.2985
25.618811 46.641 -69.7963
25.804456 46.990 -69.7231
25.991445 47.447 -69.5415
26.179790 48.026 -69.3473
26.369500 48.710 -69.8908
26.560584 49.459 -71.1622
26.753053 50.209 -73.5375
26.946917 50.911 -76.7411
27.142185 51.524 -80.8156
27.338869 52.018 -85.3035
27.536977 52.380 -90.2087
27.736522 52.603 -94.9993
27.937512 52.694 -99.5857
28.139959 52.667 -103.5935
28.343872 52.569 -106.7360
28.549264 52.443 -108.8460
28.756143 52.384 -109.8228
28.964522 52.458 -109.9892
29.174411 52.723 -109.6815
29.385821 53.167 -109.8365
29.598763 53.743 -110.6888
29.813248 54.363 -112.6849
30.029287 54.958 -115.6133
30.246891 55.483 -119.3586
30.466073 55.907 -123.5852
30.686842 56.225 -128.0079
30.909212 56.442 -132.4950
31.133193 56.578 -136.7287
31.358797 56.655 -140.6963
31.586035 56.694 -144.3346
31.814921 56.721 -147.6910
32.045465 56.742 -150.8867
32.277680 56.756 -154.0070
32.511577 56.749 -157.1673
32.747169 56.699 -160.3159
32.984469 56.588 -163.3958
33.223488 56.406 -166.2249
33.464239 56.158 -168.5108
33.706735 55.871 -170.0721
33.950987 55.589 -170.6835
34.197010 55.383 -170.3409
34.444816 55.314 -169.3465
34.694417 55.412 -168.1064
34.945827 55.674 -167.1518
35.199059 56.049 -166.9203
35.454126 56.484 -167.4969
35.711041 56.936 -168.8469
35.969818 57.374 -170.8646
36.230470 57.785 -173.4273
36.493011 58.160 -176.4666
36.757455 58.490 -179.9401
37.023814 58.763 176.1802
37.292104 58.962 171.9341
37.562338 59.068 167.4518
37.834530 59.067 162.9017
38.108695 58.952 158.4790
38.384846 58.727 154.4203
38.662999 58.412 151.0010
38.943167 58.047 148.4229
39.225365 57.684 146.6829
39.509608 57.368 145.5887
39.795911 57.117 144.7985
40.084289 56.912 143.9489
40.374756 56.696 142.8576
40.667328 56.407 141.7043
40.962020 56.008 141.0253
41.258848 55.519 141.5052
41.557827 55.028 143.7427
41.858972 54.677 147.8815
42.162299 54.591 153.2946
42.467824 54.807 158.9062
42.775564 55.273 164.0851
43.085533 55.951 168.9719
43.397749 56.890 173.7861
43.712227 58.150 177.9127
44.028983 59.672 179.9934
44.348036 61.291 179.0647
44.669400 62.831 175.1259
44.993093 64.175 168.7772
45.319131 65.261 160.7539
45.647532 66.066 151.7244
45.978313 66.591 142.2559
46.311491 66.850 132.8353
46.647083 66.872 123.8912
46.985107 66.697 115.7974
47.325581 66.381 108.8434
47.668521 65.993 103.1746
48.013947 65.607 98.7235
48.361876 65.277 95.2004
48.712326 65.026 92.2048
49.065315 64.841 89.4178
49.420863 64.695 86.7407
49.778987 64.573 84.2847
50.139706 64.490 82.2253
50.503039 64.486 80.5977
50.869005 64.605 79.1509
51.237623 64.857 77.4087
51.608912 65.202 74.9647
51.982891 65.584 71.7451
52.359580 65.974 67.9842
52.739000 66.393 63.9305
53.121168 66.891 59.4868
53.506106 67.495 54.0829
53.893833 68.154 46.9990
54.284370 68.754 37.7909
54.677737 69.167 26.4959
55.073955 69.285 13.5385
55.473043 69.032 -0.4506
55.875024 68.357 -14.7382
56.279917 67.230 -28.5769
56.687745 65.643 -40.9518
57.098527 63.630 -50.5868
57.512287 61.305 -56.2217
57.929045 58.884 -57.4430
58.348822 56.595 -55.5529
58.771642 54.489 -52.4899
59.197525 52.452 -47.4735
59.626495 50.555 -37.3123
60.058573 49.249 -21.3784
60.493782 48.894 -5.5684
60.932145 49.265 6.3958
61.373685 50.036 15.5952
61.818424 51.061 22.8101
62.266386 52.238 27.9336
62.717593 53.489 31.0792
63.172071 54.759 32.2977
63.629842 55.966 31.5070
64.090930 57.019 29.1449
64.555359 57.900 26.3254
65.023154 58.709 24.2592
65.494339 59.626 23.3546
65.968938 60.795 22.9377
66.446976 62.244 21.9965
66.928478 63.936 19.7079
67.413469 65.787 15.2256
67.901975 67.650 7.7734
68.394021 69.337 -2.9526
68.889632 70.699 -16.3069
69.388835 71.647 -31.1926
69.891655 72.162 -46.5621
70.398118 72.282 -61.1398
70.908252 72.105 -74.1113
71.422083 71.786 -84.8961
71.939636 71.487 -93.7234
72.460941 71.299 -101.4532
72.986023 71.218 -108.8490
73.514909 71.192 -116.1998
74.047629 71.196 -123.4058
74.584208 71.243 -130.3971
75.124676 71.357 -137.3756
75.669061 71.539 -144.8018
76.217390 71.733 -153.2775
76.769692 71.829 -163.1024
77.325997 71.696 -174.0834
77.886333 71.228 174.6609
78.450730 70.387 164.3292
79.019216 69.226 156.3030
79.591822 67.903 151.5071
80.168577 66.621 149.5928
80.749512 65.496 149.1038
81.334656 64.467 149.0189
81.924040 63.413 150.0757
82.517696 62.374 154.5146
83.115653 61.825 165.7429
83.717943 62.669 -175.3095
84.324598 64.963 -159.0944
84.935649 67.685 -154.8729
85.551128 70.097 -160.1369
86.171066 71.950 -170.5267
86.795497 73.233 177.0115
87.424453 74.048 164.5261
88.057967 74.560 153.0758
88.696071 74.922 142.6904
89.338800 75.205 132.7997
89.986185 75.407 123.0087
90.638262 75.522 113.4644
91.295065 75.606 104.5820
91.956626 75.788 96.2983
92.622982 76.145 87.2162
93.294166 76.542 75.2287
93.970214 76.653 59.6232
94.651161 76.166 41.7441
95.337042 74.906 24.3425
96.027894 72.884 11.3021
96.723752 70.417 6.5624
97.424652 68.176 8.2392
98.130631 66.609 8.4121
98.841726 65.457 5.5393
99.557974 64.364 1.8282
100.279412 63.187 -1.7631
101.006078 61.899 -4.4694
101.738010 60.574 -5.9944
102.475245 59.267 -7.3099
103.217823 57.938 -8.3298
103.965782 56.642 -7.8494
104.719161 55.558 -7.2720
105.477999 54.697 -9.6727
106.242336 53.898 -15.5660
107.012212 53.189 -24.4116
107.787666 52.963 -37.1064
108.568740 53.819 -55.0338
109.355474 55.877 -77.8438
110.147909 58.464 -102.9200
110.946086 60.895 -127.8491
111.750047 62.862 -151.4565
112.559834 64.299 -173.2032
113.375489 65.243 167.1970
114.197055 65.751 149.7386
115.024574 65.878 134.3368
115.858089 65.670 121.0215
116.697645 65.173 109.7885
117.543284 64.413 100.6289
118.395051 63.398 93.9429
119.252990 62.183 90.9392
120.117147 60.969 92.9014
120.987565 60.120 99.9263
121.864291 60.054 110.1663
122.747370 60.970 120.6866
123.636848 62.681 128.6442
124.532771 64.696 130.4155
125.435187 66.502 124.9919
126.344142 67.778 114.4863
127.259684 68.376 101.5286
128.181860 68.264 88.9521
129.110718 67.609 80.4080
130.046308 66.898 78.3351
130.988677 66.620 78.4646
131.937875 66.587 74.1873
132.893951 66.224 66.5237
133.856956 65.361 61.6390
134.826938 64.707 68.8706
135.803950 65.447 84.4467
136.788041 67.020 84.7927
137.779264 68.106 72.5247
138.777669 68.172 55.8613
139.783309 67.098 40.2269
140.796237 65.066 34.0933
141.816504 63.323 59.3074
142.844165 63.926 91.2971
143.879273 65.848 93.2026
144.921881 67.428 84.9573
145.972045 68.302 73.9316
147.029819 68.497 62.8602
148.095257 68.107 53.5106
149.168417 67.263 47.2096
150.249353 66.130 44.7908
151.338121 65.020 48.4540
152.434780 64.755 61.8943
153.539385 66.135 79.7206
154.651995 68.554 87.8895
155.772667 71.054 85.5619
156.901460 73.230 76.7576
158.038432 74.877 62.6738
159.183644 75.752 44.0911
160.337154 75.695 24.4060
161.499023 74.827 8.1678
162.669312 73.515 -2.8730
163.848081 72.124 -10.1213
165.035392 70.888 -15.2993
166.231306 69.777 -22.3827
167.435887 68.341 -31.5615
168.649196 66.310 -33.3053
169.871298 64.260 -21.0642
171.102255 63.058 -10.3818
172.342133 62.563 -6.4191
173.590995 62.383 -1.5852
174.848907 62.832 9.9601
176.115934 63.963 17.3302
