* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.2 dBFS, measurement signal peak level -17.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 8:25:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -3.6835 ms (-1.263 m, -(4 ft 1.7 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: rug-p1-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 27.089 40.7134
10.166832 27.016 36.6031
10.240505 26.927 31.9246
10.314712 26.832 26.9674
10.389457 26.717 22.0087
10.464743 26.509 17.1556
10.540575 26.153 11.5626
10.616956 25.689 5.2078
10.693891 25.124 -1.6366
10.771383 24.437 -8.5992
10.849437 23.544 -16.5189
10.928057 22.487 -26.5699
11.007246 21.461 -39.0461
11.087009 20.703 -53.8548
11.167350 20.345 -71.8616
11.248273 20.318 -95.3301
11.329783 20.576 -120.0926
11.411883 21.110 -140.6516
11.494578 21.960 -156.7861
11.577873 23.148 -170.6162
11.661771 24.468 178.1175
11.746277 25.691 169.0347
11.831395 26.693 161.1768
11.917130 27.548 153.4608
12.003487 28.293 146.2759
12.090469 28.940 139.8477
12.178081 29.489 133.8432
12.266329 29.935 127.6055
12.355216 30.291 121.5161
12.444747 30.571 115.9037
12.534926 30.775 110.4355
12.625760 30.900 104.7089
12.717251 30.952 99.0652
12.809406 30.936 93.8263
12.902228 30.850 88.5065
12.995723 30.694 82.9960
13.089895 30.470 77.5811
13.184750 30.180 72.4351
13.280292 29.822 67.0787
13.376526 29.397 61.5545
13.473458 28.905 56.1044
13.571093 28.345 50.5900
13.669434 27.718 44.7344
13.768489 27.029 38.5393
13.868261 26.273 32.0497
13.968756 25.449 24.9021
14.069979 24.606 16.8199
14.171936 23.783 7.6229
14.274632 22.952 -3.1366
14.378072 22.229 -15.7897
14.482261 21.799 -30.2593
14.587206 21.733 -46.3047
14.692910 21.975 -62.7042
14.799381 22.475 -78.0385
14.906624 23.244 -91.9772
15.014643 24.216 -104.2385
15.123446 25.217 -114.8305
15.233036 26.155 -124.4865
15.343421 27.059 -133.4656
15.454606 27.895 -141.6618
15.566596 28.635 -149.6045
15.679398 29.288 -157.5717
15.793018 29.853 -165.1561
15.907460 30.327 -172.7374
16.022732 30.710 179.3215
16.138840 31.003 171.6263
16.255788 31.205 163.7955
16.373585 31.315 155.4360
16.492234 31.334 147.3099
16.611744 31.259 138.8318
16.732119 31.090 129.7472
16.853367 30.825 120.9083
16.975494 30.463 111.3863
17.098505 30.004 101.2088
17.222408 29.447 91.1984
17.347209 28.791 80.0416
17.472914 28.047 68.1860
17.599530 27.218 56.1309
17.727063 26.313 42.3156
17.855521 25.372 27.9480
17.984909 24.405 12.4141
18.115235 23.448 -5.0927
18.246506 22.557 -22.4015
18.378727 21.737 -41.5088
18.511907 20.976 -60.5624
18.646052 20.281 -78.9194
18.781169 19.602 -98.2618
18.917265 18.858 -115.5106
19.054347 18.037 -134.1172
19.192423 17.104 -152.6128
19.331499 16.013 -171.8049
19.471583 14.892 164.9827
19.612682 13.914 140.8235
19.754804 13.151 109.5372
19.897956 12.833 79.5667
20.042144 13.026 50.1729
20.187378 13.394 26.4857
20.333664 13.724 7.2754
20.481010 13.897 -10.3394
20.629424 13.718 -24.0187
20.778913 13.129 -38.3828
20.929486 11.914 -49.7091
21.081150 10.050 -61.2347
21.233912 8.194 -70.1515
21.387782 6.765 -60.7484
21.542767 7.128 66.8567
21.698874 9.877 63.2456
21.856113 12.981 55.6743
22.014492 15.143 46.0697
22.174018 16.699 36.6285
22.334700 17.793 27.4988
22.496546 18.448 18.1808
22.659566 18.725 10.0836
22.823766 18.610 1.9304
22.989157 18.071 -4.0363
23.155745 17.110 -8.6858
23.323542 15.732 -8.3938
23.492554 14.338 -0.3397
23.662790 14.270 19.2853
23.834261 15.623 41.7323
24.006973 17.770 51.5886
24.180938 20.164 53.7052
24.356163 22.098 51.1212
24.532658 23.618 46.7458
24.710431 24.781 41.5054
24.889493 25.622 36.1112
25.069853 26.186 31.0879
25.251519 26.513 26.8766
25.434502 26.641 23.9446
25.618811 26.687 22.7997
25.804456 26.748 23.9244
25.991445 27.058 26.9329
26.179790 27.715 31.3510
26.369500 28.744 34.9230
26.560584 30.030 37.0309
26.753053 31.369 36.7449
26.946917 32.657 34.6948
27.142185 33.804 31.0942
27.338869 34.781 26.6362
27.536977 35.576 21.4844
27.736522 36.190 16.2036
27.937512 36.632 10.9474
28.139959 36.914 5.9934
28.343872 37.064 1.7471
28.549264 37.110 -1.7343
28.756143 37.119 -4.0092
28.964522 37.158 -5.1987
29.174411 37.306 -5.2178
29.385821 37.633 -4.7654
29.598763 38.150 -4.2230
29.813248 38.823 -4.3601
30.029287 39.577 -5.4806
30.246891 40.349 -7.5848
30.466073 41.072 -10.6416
30.686842 41.721 -14.3325
30.909212 42.277 -18.5361
31.133193 42.736 -22.9613
31.358797 43.102 -27.4786
31.586035 43.381 -32.0221
31.814921 43.580 -36.4436
32.045465 43.703 -40.7314
32.277680 43.749 -44.8789
32.511577 43.711 -48.8123
32.747169 43.578 -52.4277
32.984469 43.338 -55.6157
33.223488 42.980 -58.0952
33.464239 42.516 -59.3937
33.706735 41.994 -59.0593
33.950987 41.512 -56.4926
34.197010 41.268 -51.5427
34.444816 41.438 -45.2030
34.694417 42.064 -39.1770
34.945827 43.031 -35.0931
35.199059 44.111 -33.5983
35.454126 45.161 -34.2214
35.711041 46.103 -36.3730
35.969818 46.904 -39.5511
36.230470 47.570 -43.2885
36.493011 48.116 -47.3116
36.757455 48.562 -51.4843
37.023814 48.925 -55.7324
37.292104 49.216 -60.0387
37.562338 49.440 -64.4154
37.834530 49.589 -68.8589
38.108695 49.656 -73.3292
38.384846 49.630 -77.7427
38.662999 49.506 -81.9447
38.943167 49.288 -85.7021
39.225365 48.993 -88.8080
39.509608 48.657 -91.0990
39.795911 48.325 -92.4972
40.084289 48.046 -93.0771
40.374756 47.859 -93.1030
40.667328 47.774 -92.9569
40.962020 47.769 -92.9385
41.258848 47.811 -93.1539
41.557827 47.871 -93.5487
41.858972 47.940 -93.9919
42.162299 48.029 -94.3792
42.467824 48.159 -94.7201
42.775564 48.349 -95.1797
43.085533 48.598 -96.0358
43.397749 48.882 -97.5706
43.712227 49.156 -99.9644
44.028983 49.372 -103.2449
44.348036 49.480 -107.3115
44.669400 49.442 -111.9716
44.993093 49.223 -116.9633
45.319131 48.797 -121.9525
45.647532 48.145 -126.5074
45.978313 47.264 -130.0573
46.311491 46.180 -131.8578
46.647083 44.983 -131.0559
46.985107 43.848 -127.0612
47.325581 43.013 -120.3367
47.668521 42.630 -112.7339
48.013947 42.647 -106.1813
48.361876 42.891 -101.3212
48.712326 43.224 -97.8448
49.065315 43.577 -95.3406
49.420863 43.914 -93.5668
49.778987 44.201 -92.2607
50.139706 44.430 -90.9402
50.503039 44.645 -89.0143
50.869005 44.955 -86.2360
51.237623 45.459 -83.1956
51.608912 46.151 -81.0807
51.982891 46.910 -80.6476
52.359580 47.613 -81.6759
52.739000 48.221 -83.3792
53.121168 48.792 -85.1427
53.506106 49.421 -87.1099
53.893833 50.134 -90.1663
54.284370 50.845 -95.2673
54.677737 51.396 -102.7423
55.073955 51.638 -112.2161
55.473043 51.468 -122.9188
55.875024 50.819 -133.9149
56.279917 49.652 -144.1995
56.687745 47.959 -152.3801
57.098527 45.794 -156.5283
57.512287 43.346 -154.4034
57.929045 41.016 -145.1732
58.348822 39.271 -132.0881
58.771642 38.280 -119.6349
59.197525 37.889 -108.9672
59.626495 37.873 -100.5146
60.058573 37.979 -94.7385
60.493782 37.986 -90.8489
60.932145 37.821 -87.3865
61.373685 37.531 -83.8632
61.818424 37.108 -81.2933
62.266386 36.355 -80.4878
62.717593 35.026 -79.6050
63.172071 33.438 -68.1759
63.629842 33.524 -6.7318
64.090930 35.809 26.6841
64.555359 38.203 30.9164
65.023154 40.043 32.7462
65.494339 41.711 37.9752
65.968938 43.711 47.0072
66.446976 46.197 56.5579
66.928478 49.012 63.6033
67.413469 51.920 66.4307
67.901975 54.677 64.2241
68.394021 57.066 57.2786
68.889632 58.957 47.1047
69.388835 60.296 35.3088
69.891655 61.094 23.2657
70.398118 61.420 12.3965
70.908252 61.393 3.5642
71.422083 61.167 -2.7238
71.939636 60.874 -6.6473
72.460941 60.593 -8.5533
72.986023 60.395 -8.4480
73.514909 60.390 -6.3901
74.047629 60.691 -3.0367
74.584208 61.352 0.8506
75.124676 62.403 4.6940
75.669061 63.798 7.0836
76.217390 65.319 6.0826
76.769692 66.681 1.4202
77.325997 67.700 -5.6375
77.886333 68.341 -13.2803
78.450730 68.681 -20.1208
79.019216 68.859 -25.4558
79.591822 69.006 -29.4563
80.168577 69.178 -32.7286
80.749512 69.373 -35.6044
81.334656 69.600 -38.0005
81.924040 69.897 -39.8905
82.517696 70.300 -41.5875
83.115653 70.817 -43.4598
83.717943 71.449 -45.7186
84.324598 72.194 -48.7875
84.935649 72.989 -53.4944
85.551128 73.691 -60.4236
86.171066 74.141 -69.3346
86.795497 74.227 -79.2614
87.424453 73.920 -88.9231
88.057967 73.267 -97.1603
88.696071 72.369 -103.2534
89.338800 71.337 -107.0829
89.986185 70.248 -108.8119
90.638262 69.161 -108.0804
91.295065 68.266 -103.4480
91.956626 68.050 -93.6676
92.622982 68.936 -82.7979
93.294166 70.530 -78.8054
93.970214 72.073 -83.0789
94.651161 73.145 -92.4789
95.337042 73.640 -104.0596
96.027894 73.587 -115.8881
96.723752 73.061 -126.7758
97.424652 72.146 -135.9020
98.130631 70.943 -142.6115
98.841726 69.585 -146.6633
99.557974 68.200 -148.4956
100.279412 66.863 -148.7106
101.006078 65.614 -147.5924
101.738010 64.486 -145.6150
102.475245 63.462 -143.8409
103.217823 62.407 -143.3695
103.965782 61.074 -143.8625
104.719161 59.253 -141.9218
105.477999 57.099 -130.0453
106.242336 55.615 -101.5526
107.012212 56.122 -69.6921
107.787666 58.285 -47.9459
108.568740 61.006 -35.2207
109.355474 63.685 -30.0486
110.147909 66.002 -31.6227
110.946086 67.776 -37.8352
111.750047 68.981 -45.8185
112.559834 69.720 -53.3567
113.375489 70.157 -59.3381
114.197055 70.464 -63.4846
115.024574 70.800 -66.0326
115.858089 71.271 -67.9825
116.697645 71.847 -70.8257
117.543284 72.369 -75.6281
118.395051 72.641 -82.1880
119.252990 72.550 -88.9147
120.117147 72.140 -93.8586
120.987565 71.581 -96.0592
121.864291 71.062 -95.7760
122.747370 70.749 -93.3975
123.636848 70.832 -89.1515
124.532771 71.459 -84.4602
125.435187 72.535 -82.3569
126.344142 73.760 -84.4398
127.259684 74.891 -90.2278
128.181860 75.804 -98.8784
129.110718 76.452 -109.7753
130.046308 76.793 -123.0100
130.988677 76.711 -138.9404
131.937875 76.039 -156.9406
132.893951 74.679 -175.3816
133.856956 72.674 166.9998
134.826938 70.213 149.2028
135.803950 67.667 126.9819
136.788041 65.935 95.2202
137.779264 66.370 59.4398
138.777669 68.411 31.3179
139.783309 70.394 8.5251
140.796237 71.726 -10.5005
141.816504 72.584 -24.1654
142.844165 73.331 -33.1982
143.879273 74.057 -41.0526
144.921881 74.633 -49.2390
145.972045 74.990 -57.1113
147.029819 75.160 -64.0503
148.095257 75.192 -70.1847
149.168417 75.108 -75.5743
150.249353 74.979 -79.5951
151.338121 74.974 -82.0005
152.434780 75.233 -84.5043
153.539385 75.630 -90.3589
154.651995 75.781 -101.2887
155.772667 75.284 -116.2529
156.901460 73.886 -132.7135
158.038432 71.608 -148.1348
159.183644 69.262 -146.0278
160.337154 68.878 -22.3413
161.499023 70.119 -33.1027
162.669312 71.304 -42.4424
163.848081 72.396 -45.0736
165.035392 73.664 -45.6099
166.231306 74.764 -51.5381
167.435887 75.193 -61.8314
168.649196 74.884 -69.6417
169.871298 74.439 -68.2968
