* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -29.0 dBFS, measurement signal peak level -17.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 8:26:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -4.2660 ms (-1.463 m, -(4 ft 9.6 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: rug-p1-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 19.146 -2.7126
10.166832 18.820 -4.7872
10.240505 18.419 -7.3990
10.314712 17.997 -10.3091
10.389457 17.515 -13.2639
10.464743 16.737 -16.1425
10.540575 15.380 -19.9287
10.616956 13.733 -24.8099
10.693891 12.194 -30.7639
10.771383 11.172 -37.8328
10.849437 10.789 -51.6364
10.928057 10.920 -117.0319
11.007246 11.517 173.5422
11.087009 12.597 156.7517
11.167350 14.268 147.2596
11.248273 16.464 140.5253
11.329783 18.774 135.0588
11.411883 20.803 130.0151
11.494578 22.355 124.8395
11.577873 23.577 119.5692
11.661771 24.585 114.4897
11.746277 25.472 109.6012
11.831395 26.279 104.6179
11.917130 26.972 99.2607
12.003487 27.558 93.9026
12.090469 28.062 88.7440
12.178081 28.493 83.5513
12.266329 28.840 77.9117
12.355216 29.109 72.2196
12.444747 29.309 66.7909
12.534926 29.440 61.2798
12.625760 29.499 55.3402
12.717251 29.489 49.3925
12.809406 29.412 43.8240
12.902228 29.267 38.0501
12.995723 29.052 31.9933
13.089895 28.769 26.1064
13.184750 28.417 20.7112
13.280292 27.991 15.2076
13.376526 27.502 9.7502
13.473458 26.956 4.8956
13.571093 26.328 0.8374
13.669434 25.659 -2.6560
13.768489 25.035 -5.4525
13.868261 24.496 -6.9230
13.968756 24.035 -6.6302
14.069979 23.785 -5.4872
14.171936 23.901 -4.5186
14.274632 24.405 -2.8459
14.378072 25.169 -1.7617
14.482261 26.064 -2.6979
14.587206 27.088 -4.9362
14.692910 28.191 -7.9287
14.799381 29.258 -12.0306
14.906624 30.242 -17.2891
15.014643 31.166 -22.9883
15.123446 32.013 -28.9131
15.233036 32.772 -35.4176
15.343421 33.447 -42.3490
15.454606 34.036 -49.1626
15.566596 34.538 -56.1632
15.679398 34.952 -63.6428
15.793018 35.275 -70.9009
15.907460 35.505 -78.1516
16.022732 35.640 -85.9228
16.138840 35.674 -93.4321
16.255788 35.603 -100.8966
16.373585 35.422 -108.9078
16.492234 35.118 -116.6071
16.611744 34.687 -124.3829
16.732119 34.113 -132.7292
16.853367 33.369 -140.7446
16.975494 32.454 -149.0960
17.098505 31.317 -158.1917
17.222408 29.879 -167.1620
17.347209 28.119 -177.2316
17.472914 26.101 170.5399
17.599530 23.734 155.6884
17.727063 21.272 128.5020
17.855521 20.007 70.6387
17.984909 20.768 17.0804
18.115235 22.403 -7.9438
18.246506 23.782 -21.5829
18.378727 24.921 -33.9990
18.511907 25.709 -43.8250
18.646052 26.063 -53.1045
18.781169 26.031 -62.6602
18.917265 25.658 -70.8063
19.054347 24.928 -79.8269
19.192423 23.740 -88.4877
19.331499 21.989 -96.8860
19.471583 19.828 -106.8008
19.612682 17.368 -117.0976
19.754804 14.993 -142.5931
19.897956 14.664 73.7493
20.042144 16.874 53.5901
20.187378 19.347 44.4550
20.333664 20.964 36.3375
20.481010 22.030 28.7761
20.629424 22.619 22.7902
20.778913 22.750 16.6639
20.929486 22.500 12.4663
21.081150 21.885 9.3876
21.233912 21.013 8.7579
21.387782 19.915 12.2228
21.542767 19.102 19.8500
21.698874 19.007 31.8325
21.856113 19.562 43.4233
22.014492 20.672 50.1478
22.174018 21.979 52.8693
22.334700 23.040 51.9418
22.496546 23.850 48.9745
22.659566 24.363 44.9170
22.823766 24.584 39.7976
22.989157 24.527 34.8281
23.155745 24.189 29.4536
23.323542 23.573 25.0508
23.492554 22.683 21.2715
23.662790 21.539 19.6382
23.834261 20.246 20.8505
24.006973 19.135 26.1614
24.180938 18.475 36.0710
24.356163 18.741 46.3630
24.532658 19.716 54.1078
24.710431 20.924 57.1001
24.889493 22.167 57.1174
25.069853 23.234 55.1111
25.251519 24.154 52.3632
25.434502 24.947 49.4453
25.618811 25.690 46.8925
25.804456 26.434 44.9292
25.991445 27.255 43.3903
26.179790 28.178 42.2340
26.369500 29.203 40.7744
26.560584 30.296 38.9788
26.753053 31.395 36.3927
26.946917 32.450 33.2264
27.142185 33.414 29.4235
27.338869 34.255 25.3804
27.536977 34.959 21.1299
27.736522 35.523 17.1559
27.937512 35.959 13.5680
28.139959 36.291 10.6909
28.343872 36.575 8.7332
28.549264 36.860 7.7454
28.756143 37.233 7.6079
28.964522 37.728 7.8503
29.174411 38.368 8.0718
29.385821 39.100 7.5010
29.598763 39.873 6.0988
29.813248 40.607 3.6208
30.029287 41.254 0.3954
30.246891 41.783 -3.4642
30.466073 42.176 -7.5599
30.686842 42.440 -11.6067
30.909212 42.591 -15.4456
31.133193 42.670 -18.6993
31.358797 42.723 -21.4114
31.586035 42.800 -23.5286
31.814921 42.954 -25.3734
32.045465 43.194 -27.3369
32.277680 43.506 -29.7009
32.511577 43.840 -32.8638
32.747169 44.137 -36.7661
32.984469 44.351 -41.3370
33.223488 44.438 -46.3975
33.464239 44.375 -51.4749
33.706735 44.155 -56.3105
33.950987 43.788 -60.5195
34.197010 43.311 -63.5239
34.444816 42.804 -65.0802
34.694417 42.367 -65.0377
34.945827 42.118 -63.6219
35.199059 42.132 -61.8857
35.454126 42.368 -60.7480
35.711041 42.734 -60.7592
35.969818 43.110 -62.0933
36.230470 43.401 -64.4275
36.493011 43.564 -67.2770
36.757455 43.585 -70.2498
37.023814 43.471 -72.9697
37.292104 43.254 -75.0649
37.562338 42.980 -76.3358
37.834530 42.705 -76.7815
38.108695 42.474 -76.5375
38.384846 42.319 -75.8898
38.662999 42.244 -75.2068
38.943167 42.226 -74.7802
39.225365 42.230 -74.7172
39.509608 42.230 -75.0195
39.795911 42.202 -75.6329
40.084289 42.133 -76.4846
40.374756 42.012 -77.5063
40.667328 41.825 -78.6250
40.962020 41.558 -79.7286
41.258848 41.201 -80.6479
41.557827 40.744 -81.1515
41.858972 40.193 -80.9528
42.162299 39.563 -79.7202
42.467824 38.889 -77.0708
42.775564 38.234 -72.5231
43.085533 37.720 -65.4515
43.397749 37.581 -55.3807
43.712227 38.107 -43.1871
44.028983 39.363 -32.0238
44.348036 41.066 -24.9955
44.669400 42.860 -22.7225
44.993093 44.511 -24.2266
45.319131 45.910 -28.3108
45.647532 47.016 -34.0118
45.978313 47.823 -40.6024
46.311491 48.341 -47.5144
46.647083 48.591 -54.2781
46.985107 48.604 -60.4954
47.325581 48.423 -65.8458
47.668521 48.103 -70.1266
48.013947 47.700 -73.2988
48.361876 47.263 -75.4976
48.712326 46.818 -76.9556
49.065315 46.369 -77.8729
49.420863 45.912 -78.3354
49.778987 45.446 -78.3539
50.139706 44.976 -77.9694
50.503039 44.500 -77.2852
50.869005 43.999 -76.3591
51.237623 43.443 -75.0392
51.608912 42.821 -72.9469
51.982891 42.157 -69.7045
52.359580 41.492 -65.1855
52.739000 40.860 -59.1998
53.121168 40.377 -50.3407
53.506106 40.497 -35.6337
53.893833 41.830 -16.4240
54.284370 44.139 -3.2544
54.677737 46.574 -0.3940
55.073955 48.624 -4.4266
55.473043 50.141 -12.0289
55.875024 51.122 -21.1226
56.279917 51.605 -30.3998
56.687745 51.660 -38.7988
57.098527 51.392 -45.4417
57.512287 50.950 -49.8461
57.929045 50.487 -52.2177
58.348822 50.098 -53.3959
58.771642 49.769 -54.3030
59.197525 49.427 -55.2034
59.626495 49.022 -55.7523
60.058573 48.562 -55.5221
60.493782 48.090 -54.3456
60.932145 47.644 -52.3197
61.373685 47.251 -49.5917
61.818424 46.925 -46.4009
62.266386 46.653 -43.1233
62.717593 46.380 -39.8667
63.172071 46.064 -35.9427
63.629842 45.778 -30.1466
64.090930 45.707 -22.3494
64.555359 45.935 -14.6096
65.023154 46.292 -8.7944
65.494339 46.567 -4.0507
65.968938 46.792 2.4426
66.446976 47.347 13.1633
66.928478 48.692 27.2529
67.413469 50.797 39.2312
67.901975 53.189 44.9003
68.394021 55.429 44.1801
68.889632 57.282 38.9624
69.388835 58.636 31.1288
69.891655 59.471 22.3033
70.398118 59.826 14.0643
70.908252 59.798 7.5327
71.422083 59.538 3.5588
71.939636 59.207 2.3330
72.460941 58.960 3.7069
72.986023 58.954 7.4994
73.514909 59.346 12.8138
74.047629 60.143 17.6191
74.584208 61.177 20.4573
75.124676 62.292 21.6628
75.669061 63.464 22.0344
76.217390 64.710 21.4410
76.769692 65.960 19.0187
77.325997 67.074 14.4180
77.886333 67.928 8.2421
78.450730 68.483 1.6040
79.019216 68.777 -4.4403
79.591822 68.910 -9.1810
80.168577 68.993 -12.5336
80.749512 69.111 -14.7723
81.334656 69.316 -16.1924
81.924040 69.659 -17.0560
82.517696 70.173 -17.8766
83.115653 70.843 -19.3143
83.717943 71.615 -21.8213
84.324598 72.429 -25.7053
84.935649 73.199 -31.3290
85.551128 73.804 -38.7987
86.171066 74.133 -47.6072
86.795497 74.134 -56.7432
87.424453 73.836 -65.2295
88.057967 73.308 -72.7338
88.696071 72.572 -79.4583
89.338800 71.573 -85.1444
89.986185 70.282 -88.1371
90.638262 68.894 -85.6016
91.295065 68.003 -75.9677
91.956626 68.294 -63.2532
92.622982 69.659 -55.3491
93.294166 71.321 -56.0220
93.970214 72.653 -63.7731
94.651161 73.380 -75.4891
95.337042 73.448 -88.4270
96.027894 72.926 -100.6471
96.723752 71.933 -111.0988
97.424652 70.574 -119.4532
98.130631 68.917 -125.5498
98.841726 67.010 -129.0945
99.557974 64.897 -130.0116
100.279412 62.577 -128.1461
101.006078 60.050 -121.4791
101.738010 57.658 -103.3414
102.475245 56.683 -66.0031
103.217823 57.863 -36.4670
103.965782 59.750 -26.0796
104.719161 61.407 -22.1097
105.477999 62.853 -18.4651
106.242336 64.309 -14.3120
107.012212 65.890 -10.7697
107.787666 67.585 -8.8942
108.568740 69.306 -9.5208
109.355474 70.910 -13.2651
110.147909 72.220 -20.2897
110.946086 73.074 -29.7673
111.750047 73.404 -39.7665
112.559834 73.283 -48.2164
113.375489 72.901 -53.9243
114.197055 72.473 -56.9381
115.024574 72.171 -58.0131
115.858089 72.088 -58.4747
116.697645 72.177 -59.7933
117.543284 72.283 -62.9143
118.395051 72.203 -67.8210
119.252990 71.786 -73.1537
120.117147 71.024 -77.0137
120.987565 70.021 -78.3762
121.864291 68.898 -77.0708
122.747370 67.776 -72.7449
123.636848 66.887 -64.6432
124.532771 66.749 -50.8129
125.435187 67.919 -32.9939
126.344142 69.962 -22.8497
127.259684 71.897 -24.5405
128.181860 73.195 -32.9431
129.110718 73.806 -42.7675
130.046308 73.902 -51.5969
130.988677 73.569 -60.0775
131.937875 72.695 -67.6899
132.893951 71.316 -69.3152
133.856956 70.064 -59.7003
134.826938 69.731 -47.6937
135.803950 70.022 -43.5101
136.788041 70.249 -43.0039
137.779264 70.445 -38.7126
138.777669 71.123 -29.7612
139.783309 72.185 -26.1530
140.796237 73.059 -28.5149
141.816504 73.691 -30.1552
142.844165 74.425 -29.3591
143.879273 75.294 -30.8779
144.921881 75.942 -36.7819
145.972045 76.113 -44.4388
147.029819 75.799 -51.0804
148.095257 75.132 -54.8782
149.168417 74.376 -54.4338
150.249353 73.910 -50.1323
151.338121 73.984 -45.0326
152.434780 74.428 -43.3370
153.539385 74.763 -46.6244
154.651995 74.576 -52.6804
155.772667 73.754 -56.6617
156.901460 72.810 -51.0902
158.038432 73.158 -29.0603
159.183644 75.148 -10.6359
160.337154 77.243 -12.3777
161.499023 78.587 -22.7706
162.669312 79.207 -33.4406
163.848081 79.404 -41.9009
165.035392 79.361 -49.7625
166.231306 78.979 -58.4258
167.435887 78.121 -65.6243
168.649196 76.913 -68.0485
169.871298 75.778 -64.0170
