* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -29.6 dBFS, measurement signal peak level -20.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 8:27:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -8.7218 ms (-2.992 m, -(9 ft 9.8 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: rug-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 58.604 -62.8575
10.166832 58.714 -64.5003
10.240505 58.848 -66.1621
10.314712 58.986 -67.8418
10.389457 59.125 -69.5403
10.464743 59.261 -71.2627
10.540575 59.394 -73.0226
10.616956 59.524 -74.8056
10.693891 59.648 -76.5944
10.771383 59.764 -78.3737
10.849437 59.872 -80.1686
10.928057 59.973 -81.9841
11.007246 60.066 -83.7893
11.087009 60.151 -85.5538
11.167350 60.226 -87.2783
11.248273 60.293 -88.9968
11.329783 60.352 -90.6807
11.411883 60.405 -92.2974
11.494578 60.453 -93.8284
11.577873 60.493 -95.3039
11.661771 60.530 -96.7147
11.746277 60.568 -98.0446
11.831395 60.608 -99.2762
11.917130 60.649 -100.4118
12.003487 60.695 -101.4704
12.090469 60.750 -102.4700
12.178081 60.819 -103.4046
12.266329 60.898 -104.2518
12.355216 60.990 -105.0611
12.444747 61.098 -105.8851
12.534926 61.223 -106.7112
12.625760 61.365 -107.5208
12.717251 61.520 -108.3743
12.809406 61.686 -109.3269
12.902228 61.865 -110.3429
12.995723 62.055 -111.4257
13.089895 62.249 -112.6112
13.184750 62.444 -113.9220
13.280292 62.642 -115.3317
13.376526 62.838 -116.8356
13.473458 63.027 -118.4356
13.571093 63.209 -120.1440
13.669434 63.384 -121.9424
13.768489 63.548 -123.8034
13.868261 63.699 -125.7246
13.968756 63.839 -127.7259
14.069979 63.965 -129.7701
14.171936 64.078 -131.8279
14.274632 64.177 -133.9339
14.378072 64.263 -136.0681
14.482261 64.336 -138.1940
14.587206 64.395 -140.3310
14.692910 64.441 -142.4817
14.799381 64.474 -144.6160
14.906624 64.496 -146.7362
15.014643 64.505 -148.8569
15.123446 64.502 -150.9548
15.233036 64.487 -153.0254
15.343421 64.461 -155.0842
15.454606 64.424 -157.1119
15.566596 64.375 -159.1008
15.679398 64.314 -161.0641
15.793018 64.244 -162.9864
15.907460 64.163 -164.8585
16.022732 64.072 -166.6889
16.138840 63.972 -168.4727
16.255788 63.865 -170.2014
16.373585 63.750 -171.8795
16.492234 63.629 -173.5207
16.611744 63.503 -175.1175
16.732119 63.371 -176.6765
16.853367 63.233 -178.2254
16.975494 63.089 -179.7592
17.098505 62.936 178.7159
17.222408 62.772 177.1792
17.347209 62.595 175.6281
17.472914 62.399 174.0841
17.599530 62.179 172.5446
17.727063 61.934 171.0110
17.855521 61.656 169.5627
17.984909 61.342 168.1924
18.115235 60.992 166.9531
18.246506 60.604 165.9516
18.378727 60.178 165.2015
18.511907 59.723 164.7715
18.646052 59.244 164.7710
18.781169 58.751 165.2072
18.917265 58.266 166.0496
19.054347 57.793 167.4043
19.192423 57.345 169.0780
19.331499 56.932 171.0298
19.471583 56.539 173.2415
19.612682 56.149 175.5839
19.754804 55.753 178.1225
19.897956 55.320 -178.7735
20.042144 54.840 -175.0577
20.187378 54.389 -169.9954
20.333664 54.006 -163.0631
20.481010 53.845 -154.2444
20.629424 54.143 -144.0468
20.778913 54.873 -134.0808
20.929486 55.929 -126.5187
21.081150 57.237 -121.4373
21.233912 58.550 -119.1325
21.387782 59.778 -118.8335
21.542767 60.876 -119.9531
21.698874 61.808 -122.2412
21.856113 62.578 -125.1315
22.014492 63.183 -128.4814
22.174018 63.626 -132.0492
22.334700 63.915 -135.4900
22.496546 64.055 -138.8342
22.659566 64.058 -141.5453
22.823766 63.939 -143.7138
22.989157 63.737 -144.7844
23.155745 63.488 -144.7351
23.323542 63.285 -143.3322
23.492554 63.178 -140.5921
23.662790 63.274 -137.0923
23.834261 63.581 -133.1993
24.006973 64.075 -129.8887
24.180938 64.710 -127.3207
24.356163 65.389 -125.7747
24.532658 66.080 -125.0278
24.710431 66.736 -124.8596
24.889493 67.361 -125.0713
25.069853 67.960 -125.4241
25.251519 68.552 -125.9052
25.434502 69.155 -126.4231
25.618811 69.780 -127.1728
25.804456 70.434 -128.1491
25.991445 71.101 -129.6183
26.179790 71.768 -131.5329
26.369500 72.406 -134.0266
26.560584 72.998 -136.9743
26.753053 73.522 -140.3520
26.946917 73.967 -143.9618
27.142185 74.325 -147.7566
27.338869 74.598 -151.4526
27.536977 74.792 -155.0333
27.736522 74.924 -158.2214
27.937512 75.015 -161.0158
28.139959 75.094 -163.2774
28.343872 75.195 -165.1050
28.549264 75.342 -166.5312
28.756143 75.557 -167.8363
28.964522 75.836 -169.1948
29.174411 76.171 -170.8081
29.385821 76.532 -172.8445
29.598763 76.898 -175.3005
29.813248 77.241 -178.1881
30.029287 77.546 178.6117
30.246891 77.804 175.1486
30.466073 78.010 171.5570
30.686842 78.164 167.9059
30.909212 78.269 164.2421
31.133193 78.327 160.6489
31.358797 78.341 157.1550
31.586035 78.314 153.7939
31.814921 78.249 150.6361
32.045465 78.154 147.7229
32.277680 78.034 145.0999
32.511577 77.905 142.8124
32.747169 77.782 140.8316
32.984469 77.676 139.1215
33.223488 77.598 137.5832
33.464239 77.544 136.1007
33.706735 77.504 134.6441
33.950987 77.467 133.2045
34.197010 77.427 131.9057
34.444816 77.395 130.8986
34.694417 77.400 130.2593
34.945827 77.485 129.9982
35.199059 77.695 129.7988
35.454126 78.038 129.1675
35.711041 78.484 127.6830
35.969818 78.974 125.0196
36.230470 79.428 121.0779
36.493011 79.787 116.0847
36.757455 80.006 110.3143
37.023814 80.062 104.0456
37.292104 79.941 97.6482
37.562338 79.653 91.5222
37.834530 79.219 85.9363
38.108695 78.674 81.1254
38.384846 78.066 77.2634
38.662999 77.451 74.3477
38.943167 76.874 72.1203
39.225365 76.352 70.2712
39.509608 75.875 68.5595
39.795911 75.418 66.8817
40.084289 74.960 65.2984
40.374756 74.497 63.9764
40.667328 74.050 63.0438
40.962020 73.647 62.4559
41.258848 73.310 62.0205
41.557827 73.036 61.5103
41.858972 72.808 60.7790
42.162299 72.608 59.8085
42.467824 72.427 58.6587
42.775564 72.272 57.3532
43.085533 72.155 55.7786
43.397749 72.074 53.6824
43.712227 72.000 50.7868
44.028983 71.883 46.9388
44.348036 71.661 42.1755
44.669400 71.280 36.7061
44.993093 70.692 30.8716
45.319131 69.866 25.1217
45.647532 68.782 20.0277
45.978313 67.449 16.3165
46.311491 65.914 14.8731
46.647083 64.303 16.5458
46.985107 62.822 21.4943
47.325581 61.683 28.3963
47.668521 60.945 35.0613
48.013947 60.487 40.2994
48.361876 60.155 44.3476
48.712326 59.877 47.8569
49.065315 59.652 51.1041
49.420863 59.481 53.9507
49.778987 59.340 56.2874
50.139706 59.206 58.3532
50.503039 59.104 60.5404
50.869005 59.102 62.8654
51.237623 59.251 64.6591
51.608912 59.511 65.0338
51.982891 59.776 63.7015
52.359580 59.965 61.1669
52.739000 60.091 58.2287
53.121168 60.271 55.2161
53.506106 60.633 51.3860
53.893833 61.194 45.2676
54.284370 61.829 35.7372
54.677737 62.365 22.6391
55.073955 62.680 6.5490
55.473043 62.719 -11.6309
55.875024 62.475 -30.8414
56.279917 61.975 -49.9791
56.687745 61.275 -67.7351
57.098527 60.474 -82.8273
57.512287 59.720 -94.4160
57.929045 59.171 -102.5037
58.348822 58.907 -107.8979
58.771642 58.896 -111.6417
59.197525 59.060 -114.2477
59.626495 59.355 -115.8372
60.058573 59.774 -116.6359
60.493782 60.298 -117.0594
60.932145 60.890 -117.4083
61.373685 61.522 -117.7074
61.818424 62.194 -117.8462
62.266386 62.925 -117.8335
62.717593 63.724 -117.9515
63.172071 64.564 -118.6843
63.629842 65.380 -120.3514
64.090930 66.101 -122.7544
64.555359 66.708 -125.2079
65.023154 67.255 -126.9620
65.494339 67.850 -127.7991
65.968938 68.577 -128.2439
66.446976 69.447 -129.0807
66.928478 70.426 -130.8622
67.413469 71.465 -134.0238
67.901975 72.483 -139.0928
68.394021 73.351 -146.4528
68.889632 73.929 -155.8362
69.388835 74.102 -166.3244
69.891655 73.820 -176.7556
70.398118 73.100 174.3550
70.908252 72.031 168.2872
71.422083 70.781 165.9296
71.939636 69.557 167.6365
72.460941 68.622 173.3525
72.986023 68.279 -177.9618
73.514909 68.653 -169.7914
74.047629 69.512 -165.0595
74.584208 70.561 -163.6443
75.124676 71.657 -164.7391
75.669061 72.707 -168.4810
76.217390 73.571 -175.1846
76.769692 74.101 175.7299
77.325997 74.208 165.3666
77.886333 73.872 155.0161
78.450730 73.127 145.6393
79.019216 72.028 137.9620
79.591822 70.635 132.4951
80.168577 69.017 129.6349
80.749512 67.238 129.5071
81.334656 65.338 131.8733
81.924040 63.332 137.7830
82.517696 61.570 153.2998
83.115653 61.325 -172.5029
83.717943 63.247 -142.4558
84.324598 65.935 -131.9409
84.935649 68.418 -131.9073
85.551128 70.425 -137.4006
86.171066 71.902 -145.9640
86.795497 72.871 -155.8541
87.424453 73.400 -165.8183
88.057967 73.576 -175.2205
88.696071 73.460 176.0385
89.338800 73.069 167.9225
89.986185 72.388 160.7845
90.638262 71.427 155.6023
91.295065 70.285 153.6906
91.956626 69.211 156.2528
92.622982 68.666 164.0200
93.294166 69.075 173.3085
93.970214 70.128 175.1094
94.651161 70.986 167.6040
95.337042 71.103 155.3989
96.027894 70.337 143.7054
96.723752 68.870 137.4328
97.424652 67.188 139.1159
98.130631 65.834 144.6036
98.841726 64.935 148.7873
99.557974 64.280 151.4761
100.279412 63.672 153.4615
101.006078 63.015 155.5804
101.738010 62.309 158.4566
102.475245 61.579 162.0466
103.217823 60.848 166.8483
103.965782 60.197 173.3423
104.719161 59.692 -179.4965
105.477999 59.305 -172.4089
106.242336 59.017 -164.5188
107.012212 58.944 -154.6682
107.787666 59.371 -141.8994
108.568740 60.589 -127.1122
109.355474 62.469 -115.7645
110.147909 64.480 -112.5897
110.946086 66.140 -116.7527
111.750047 67.230 -124.6499
112.559834 67.768 -132.8790
113.375489 67.909 -139.5068
114.197055 67.824 -144.2714
115.024574 67.632 -147.5544
115.858089 67.397 -149.9043
116.697645 67.124 -151.9863
117.543284 66.775 -153.7473
118.395051 66.353 -154.5390
119.252990 65.913 -154.0933
120.117147 65.513 -152.6106
120.987565 65.192 -150.4604
121.864291 64.960 -147.9685
122.747370 64.812 -145.2567
123.636848 64.749 -142.2691
124.532771 64.809 -138.7544
125.435187 65.092 -134.3643
126.344142 65.734 -129.3411
127.259684 66.761 -125.7729
128.181860 67.956 -126.5504
129.110718 68.983 -132.6193
130.046308 69.549 -142.9358
130.988677 69.463 -155.3198
131.937875 68.660 -166.5393
132.893951 67.286 -172.3185
133.856956 65.831 -168.9220
134.826938 65.002 -160.3503
135.803950 64.951 -156.3973
136.788041 65.260 -156.8878
137.779264 65.759 -158.4809
138.777669 66.341 -164.5382
139.783309 66.543 -178.4257
140.796237 65.893 163.2383
141.816504 64.251 145.7228
142.844165 61.761 131.1934
143.879273 58.625 116.3685
144.921881 55.087 92.1359
145.972045 52.338 17.7379
147.029819 52.296 -42.9952
148.095257 53.667 -63.5162
149.168417 54.996 -72.0825
150.249353 56.306 -73.4612
151.338121 57.633 -75.4460
152.434780 58.674 -82.7217
153.539385 59.179 -93.5380
154.651995 59.058 -106.5673
155.772667 58.214 -122.3430
156.901460 56.676 -140.9856
158.038432 55.462 -165.6042
159.183644 56.361 -0.1797
160.337154 58.195 -26.1653
161.499023 59.244 -49.8807
162.669312 59.112 -71.0202
163.848081 57.793 -86.9666
165.035392 55.613 -87.4406
166.231306 53.865 -55.0573
167.435887 54.124 -31.0721
168.649196 55.807 -21.5443
169.871298 57.893 -16.3822
171.102255 59.831 -18.6706
172.342133 61.257 -27.9279
