* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -27.5 dBFS, measurement signal peak level -19.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 8:36:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.2654 ms (91 mm, 3.58 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: rug-p2-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 29.287 18.4682
10.166832 29.367 16.1064
10.240505 29.464 13.6417
10.314712 29.563 11.2152
10.389457 29.655 8.9699
10.464743 29.710 7.0048
10.540575 29.707 5.1045
10.616956 29.666 3.3094
10.693891 29.601 1.7497
10.771383 29.520 0.5818
10.849437 29.412 -0.1879
10.928057 29.280 -0.6270
11.007246 29.156 -0.7023
11.087009 29.069 -0.3747
11.167350 29.029 0.4496
11.248273 29.024 1.8100
11.329783 29.076 3.4952
11.411883 29.213 5.2456
11.494578 29.462 6.9391
11.577873 29.818 8.7704
11.661771 30.253 10.4032
11.746277 30.736 11.5184
11.831395 31.259 12.0102
11.917130 31.835 12.1772
12.003487 32.436 11.9314
12.090469 33.027 11.1794
12.178081 33.589 9.9062
12.266329 34.135 8.2835
12.355216 34.658 6.3914
12.444747 35.143 4.2635
12.534926 35.588 1.8395
12.625760 35.994 -0.8328
12.717251 36.361 -3.6035
12.809406 36.687 -6.3873
12.902228 36.970 -9.3580
12.995723 37.212 -12.4399
13.089895 37.414 -15.4602
13.184750 37.577 -18.3761
13.280292 37.698 -21.3843
13.376526 37.782 -24.3432
13.473458 37.832 -27.0789
13.571093 37.847 -29.6908
13.669434 37.830 -32.2194
13.768489 37.790 -34.5375
13.868261 37.732 -36.5511
13.968756 37.654 -38.3450
14.069979 37.571 -39.9157
14.171936 37.497 -41.2188
14.274632 37.430 -42.1899
14.378072 37.381 -42.9266
14.482261 37.364 -43.5524
14.587206 37.387 -43.9827
14.692910 37.444 -44.2717
14.799381 37.536 -44.6244
14.906624 37.665 -45.0755
15.014643 37.826 -45.5667
15.123446 38.000 -46.2094
15.233036 38.179 -47.0756
15.343421 38.363 -48.1015
15.454606 38.536 -49.2240
15.566596 38.686 -50.4594
15.679398 38.815 -51.8210
15.793018 38.920 -53.1367
15.907460 38.996 -54.3546
16.022732 39.045 -55.5383
16.138840 39.079 -56.5238
16.255788 39.101 -57.2284
16.373585 39.118 -57.7137
16.492234 39.154 -57.9605
16.611744 39.218 -57.8933
16.732119 39.316 -57.6089
16.853367 39.466 -57.3078
16.975494 39.675 -56.9127
17.098505 39.931 -56.5917
17.222408 40.224 -56.5769
17.347209 40.555 -56.7699
17.472914 40.894 -57.2441
17.599530 41.224 -58.0831
17.727063 41.541 -59.1940
17.855521 41.822 -60.4443
17.984909 42.060 -61.9141
18.115235 42.254 -63.4351
18.246506 42.398 -64.8093
18.378727 42.494 -66.1488
18.511907 42.555 -67.1934
18.646052 42.585 -67.8698
18.781169 42.603 -68.2064
18.917265 42.640 -68.0789
19.054347 42.702 -67.4897
19.192423 42.822 -66.6401
19.331499 43.016 -65.5183
19.471583 43.281 -64.3306
19.612682 43.617 -63.3545
19.754804 44.013 -62.5389
19.897956 44.438 -62.0915
20.042144 44.882 -61.9923
20.187378 45.324 -62.1612
20.333664 45.750 -62.5938
20.481010 46.159 -63.1923
20.629424 46.549 -63.8378
20.778913 46.925 -64.5439
20.929486 47.298 -65.2312
21.081150 47.673 -65.8924
21.233912 48.059 -66.6195
21.387782 48.460 -67.3774
21.542767 48.871 -68.2974
21.698874 49.289 -69.4153
21.856113 49.701 -70.7270
22.014492 50.093 -72.3034
22.174018 50.455 -74.0422
22.334700 50.771 -75.9033
22.496546 51.039 -77.8242
22.659566 51.253 -79.5960
22.823766 51.420 -81.2367
22.989157 51.554 -82.4685
23.155745 51.669 -83.3423
23.323542 51.802 -83.7197
23.492554 51.969 -83.6609
23.662790 52.208 -83.3418
23.834261 52.523 -82.8372
24.006973 52.915 -82.5331
24.180938 53.368 -82.4358
24.356163 53.848 -82.7999
24.532658 54.334 -83.5066
24.710431 54.795 -84.5397
24.889493 55.226 -85.7301
25.069853 55.621 -86.9117
25.251519 55.998 -87.9673
25.434502 56.376 -88.7463
25.618811 56.791 -89.3353
25.804456 57.266 -89.6932
25.991445 57.823 -90.2253
26.179790 58.460 -90.9544
26.369500 59.152 -92.3586
26.560584 59.872 -94.3643
26.753053 60.576 -97.1942
26.946917 61.234 -100.6423
27.142185 61.817 -104.7397
27.338869 62.305 -109.1660
27.536977 62.687 -113.9296
27.736522 62.956 -118.6584
27.937512 63.116 -123.2847
28.139959 63.173 -127.5716
28.343872 63.152 -131.2704
28.549264 63.074 -134.2923
28.756143 62.994 -136.4083
28.964522 62.961 -137.7256
29.174411 63.029 -138.2571
29.385821 63.241 -138.5544
29.598763 63.600 -138.8779
29.813248 64.081 -139.7855
30.029287 64.628 -141.5051
30.246891 65.195 -144.0714
30.466073 65.725 -147.5023
30.686842 66.187 -151.5566
30.909212 66.559 -156.1628
31.133193 66.823 -161.0242
31.358797 66.973 -165.9513
31.586035 67.007 -170.8319
31.814921 66.933 -175.2987
32.045465 66.768 -179.2016
32.277680 66.538 177.6579
32.511577 66.293 175.5210
32.747169 66.096 174.3153
32.984469 66.001 173.9305
33.223488 66.055 173.9618
33.464239 66.251 173.8202
33.706735 66.551 173.2282
33.950987 66.900 171.9913
34.197010 67.243 170.2030
34.444816 67.558 168.1492
34.694417 67.849 166.0333
34.945827 68.143 164.0731
35.199059 68.487 162.2728
35.454126 68.912 160.3607
35.711041 69.425 158.0359
35.969818 70.001 154.9559
36.230470 70.584 150.8211
36.493011 71.116 145.6768
36.757455 71.548 139.6811
37.023814 71.845 133.0086
37.292104 71.984 125.9378
37.562338 71.958 118.8513
37.834530 71.773 112.0133
38.108695 71.447 105.6665
38.384846 71.011 100.0640
38.662999 70.508 95.4112
38.943167 69.995 91.7153
39.225365 69.520 88.8009
39.509608 69.112 86.4011
39.795911 68.772 84.2188
40.084289 68.481 82.0280
40.374756 68.208 79.7613
40.667328 67.929 77.5175
40.962020 67.639 75.4729
41.258848 67.352 73.7781
41.557827 67.096 72.5092
41.858972 66.908 71.6270
42.162299 66.819 70.9493
42.467824 66.851 70.1595
42.775564 66.999 68.8631
43.085533 67.231 66.6853
43.397749 67.491 63.3710
43.712227 67.713 58.8441
44.028983 67.834 53.2077
44.348036 67.800 46.6907
44.669400 67.571 39.6012
44.993093 67.116 32.3022
45.319131 66.418 25.2097
45.647532 65.468 18.8135
45.978313 64.275 13.7101
46.311491 62.879 10.6283
46.647083 61.374 10.3625
46.985107 59.940 13.4128
47.325581 58.821 19.1970
47.668521 58.180 25.6690
48.013947 57.962 30.6189
48.361876 57.950 33.2058
48.712326 57.933 33.8176
49.065315 57.784 33.2793
49.420863 57.452 32.4386
49.778987 56.937 32.0768
50.139706 56.284 32.8983
50.503039 55.578 35.4626
50.869005 54.945 39.9768
51.237623 54.515 46.0174
51.608912 54.358 52.5894
51.982891 54.447 58.7961
52.359580 54.721 64.4961
52.739000 55.172 70.1786
53.121168 55.883 76.0992
53.506106 56.924 81.3737
53.893833 58.226 84.3330
54.284370 59.588 83.9275
54.677737 60.803 80.3275
55.073955 61.737 74.4347
55.473043 62.330 67.3243
55.875024 62.583 60.0103
56.279917 62.536 53.3348
56.687745 62.276 47.9877
57.098527 61.924 44.2775
57.512287 61.592 41.9370
57.929045 61.336 40.3083
58.348822 61.144 38.8538
58.771642 60.973 37.4563
59.197525 60.805 36.3045
59.626495 60.655 35.5179
60.058573 60.535 35.0158
60.493782 60.440 34.7050
60.932145 60.362 34.7100
61.373685 60.319 35.2699
61.818424 60.353 36.4626
62.266386 60.504 38.1752
62.717593 60.814 40.5024
63.172071 61.393 43.8748
63.629842 62.411 48.0134
64.090930 63.898 50.9391
64.555359 65.633 50.3128
65.023154 67.327 45.7423
65.494339 68.824 38.4443
65.968938 70.112 29.8325
66.446976 71.280 20.8108
66.928478 72.433 11.4807
67.413469 73.610 1.2293
67.901975 74.749 -10.6028
68.394021 75.736 -24.2209
68.889632 76.477 -39.2640
69.388835 76.925 -54.9476
69.891655 77.084 -70.6327
70.398118 77.002 -85.5405
70.908252 76.755 -99.3018
71.422083 76.436 -111.6989
71.939636 76.130 -122.8699
72.460941 75.895 -133.1277
72.986023 75.757 -142.8126
73.514909 75.721 -152.2195
74.047629 75.783 -161.5418
74.584208 75.939 -170.9532
75.124676 76.184 179.2439
75.669061 76.482 168.6195
76.217390 76.749 156.7847
76.769692 76.874 143.7619
77.325997 76.756 129.9556
77.886333 76.340 116.2136
78.450730 75.632 103.3542
79.019216 74.689 92.0913
79.591822 73.604 82.7317
80.168577 72.462 75.1746
80.749512 71.317 69.3038
81.334656 70.224 65.2167
81.924040 69.279 62.9011
82.517696 68.592 61.6823
83.115653 68.201 60.4235
83.717943 68.058 58.2188
84.324598 68.064 54.4475
84.935649 68.090 48.6562
85.551128 67.988 40.8861
86.171066 67.653 31.7337
86.795497 67.057 21.8264
87.424453 66.227 11.1133
88.057967 65.165 -1.3077
88.696071 63.826 -16.8452
89.338800 62.237 -38.0043
89.986185 60.868 -71.4863
90.638262 60.977 -124.3256
91.295065 63.134 -169.0378
91.956626 66.253 165.0525
92.622982 69.428 145.6079
93.294166 72.230 125.3528
93.970214 74.401 101.9536
94.651161 75.784 75.8142
95.337042 76.299 48.2411
96.027894 75.908 20.7446
96.723752 74.607 -4.9938
97.424652 72.431 -26.9797
98.130631 69.471 -42.9573
98.841726 65.880 -50.7947
99.557974 61.895 -46.9966
100.279412 58.286 -19.9796
101.006078 57.167 17.4447
101.738010 58.808 31.3319
102.475245 61.171 32.7046
103.217823 63.439 27.2274
103.965782 65.362 15.6184
104.719161 66.754 -1.1198
105.477999 67.523 -21.0288
106.242336 67.715 -41.9847
107.012212 67.507 -62.5999
107.787666 67.117 -82.8839
108.568740 66.637 -103.7842
109.355474 65.958 -125.4386
110.147909 64.924 -145.8499
110.946086 63.638 -160.9945
111.750047 62.756 -167.8171
112.559834 63.034 -170.6653
113.375489 64.206 -176.7445
114.197055 65.550 173.0946
115.024574 66.683 160.3418
115.858089 67.467 146.4323
116.697645 67.891 132.5747
117.543284 67.990 119.5809
118.395051 67.806 108.1115
119.252990 67.430 99.1368
120.117147 67.035 93.2385
120.987565 66.794 89.6021
121.864291 66.737 86.5793
122.747370 66.778 83.5925
123.636848 66.974 82.1615
124.532771 67.715 84.3011
125.435187 69.266 86.3395
126.344142 71.147 80.8108
127.259684 72.715 67.0499
128.181860 73.616 47.9030
129.110718 73.685 26.2397
130.046308 72.856 5.4570
130.988677 71.292 -9.6334
131.937875 69.714 -15.1234
132.893951 69.266 -18.1194
133.856956 70.070 -28.9900
134.826938 71.354 -48.7911
135.803950 72.557 -76.3903
136.788041 73.401 -109.3850
137.779264 73.795 -144.4143
138.777669 73.682 -178.5699
139.783309 72.961 150.7018
140.796237 71.628 126.7281
141.816504 70.027 112.7064
142.844165 68.849 106.9862
143.879273 68.503 103.8494
144.921881 68.792 100.1095
145.972045 69.315 94.6090
147.029819 69.773 87.5060
148.095257 70.003 79.5741
149.168417 69.966 72.4749
150.249353 69.825 68.0803
151.338121 69.868 66.4514
152.434780 70.340 66.1432
153.539385 71.291 64.8671
154.651995 72.526 60.0726
155.772667 73.738 50.5104
156.901460 74.674 36.4109
158.038432 75.101 17.7511
159.183644 74.727 -4.5308
160.337154 73.353 -26.9249
161.499023 71.105 -45.8510
162.669312 68.649 -65.2589
163.848081 67.380 -103.5366
165.035392 68.165 -176.0903
166.231306 69.761 130.2551
167.435887 71.007 97.1265
168.649196 71.769 74.0344
169.871298 72.316 57.3071
171.102255 72.779 42.4470
172.342133 72.897 25.1526
173.590995 72.224 5.7297
174.848907 70.506 -10.4329
176.115934 67.980 -11.9783
177.392143 65.954 16.0925
178.677599 65.865 31.0269
