* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -28.0 dBFS, measurement signal peak level -22.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 8:35:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 2.2773 ms (781 mm, 2 ft 6.75 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: rug-p2-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 22.618 39.0536
10.166832 23.000 35.5642
10.240505 23.460 32.0091
10.314712 23.932 28.4750
10.389457 24.402 25.0104
10.464743 24.843 21.6079
10.540575 25.238 18.1253
10.616956 25.603 14.6207
10.693891 25.943 11.1700
10.771383 26.261 7.8262
10.849437 26.553 4.4824
10.928057 26.821 1.0937
11.007246 27.067 -2.2646
11.087009 27.294 -5.5274
11.167350 27.502 -8.7180
11.248273 27.689 -11.9432
11.329783 27.858 -15.1510
11.411883 28.011 -18.2852
11.494578 28.149 -21.3347
11.577873 28.271 -24.3968
11.661771 28.377 -27.4470
11.746277 28.470 -30.4477
11.831395 28.550 -33.3899
11.917130 28.617 -36.3453
12.003487 28.671 -39.2994
12.090469 28.710 -42.2287
12.178081 28.735 -45.1452
12.266329 28.747 -48.1069
12.355216 28.742 -51.0856
12.444747 28.716 -54.0525
12.534926 28.669 -57.0650
12.625760 28.601 -60.1669
12.717251 28.504 -63.2889
12.809406 28.369 -66.3768
12.902228 28.201 -69.5885
12.995723 27.992 -72.8955
13.089895 27.725 -76.1583
13.184750 27.394 -79.3453
13.280292 27.004 -82.6947
13.376526 26.524 -86.0303
13.473458 25.926 -89.0760
13.571093 25.222 -92.0106
13.669434 24.376 -94.8390
13.768489 23.289 -97.0917
13.868261 21.792 -98.2068
13.968756 19.890 -97.8893
14.069979 18.066 -94.4336
14.171936 16.907 -83.7324
14.274632 16.513 -58.0629
14.378072 16.847 -24.3672
14.482261 17.982 -5.9974
14.587206 19.991 0.9341
14.692910 22.366 2.7682
14.799381 24.459 1.9099
14.906624 26.041 -0.5657
15.014643 27.318 -3.8044
15.123446 28.411 -7.3820
15.233036 29.363 -11.3683
15.343421 30.159 -15.7101
15.454606 30.834 -19.9955
15.566596 31.407 -24.2980
15.679398 31.871 -28.8318
15.793018 32.240 -33.1678
15.907460 32.523 -37.3077
16.022732 32.715 -41.5345
16.138840 32.828 -45.4341
16.255788 32.862 -48.9665
16.373585 32.820 -52.3538
16.492234 32.716 -55.2355
16.611744 32.551 -57.5425
16.732119 32.340 -59.3673
16.853367 32.117 -60.5098
16.975494 31.886 -60.8136
17.098505 31.685 -60.4091
17.222408 31.572 -59.4261
17.347209 31.551 -57.7156
17.472914 31.640 -55.7785
17.599530 31.861 -53.9472
17.727063 32.196 -52.1943
17.855521 32.595 -50.9693
17.984909 33.047 -50.2890
18.115235 33.521 -50.0665
18.246506 33.977 -50.3170
18.378727 34.411 -50.9806
18.511907 34.814 -51.8381
18.646052 35.175 -52.8749
18.781169 35.502 -54.0133
18.917265 35.801 -55.0776
19.054347 36.073 -56.1233
19.192423 36.333 -57.0740
19.331499 36.588 -57.8952
19.471583 36.843 -58.6404
19.612682 37.109 -59.3271
19.754804 37.384 -59.9573
19.897956 37.669 -60.6249
20.042144 37.964 -61.3187
20.187378 38.262 -62.0694
20.333664 38.559 -62.9035
20.481010 38.852 -63.7905
20.629424 39.135 -64.7192
20.778913 39.409 -65.6841
20.929486 39.673 -66.6346
21.081150 39.928 -67.5782
21.233912 40.176 -68.4915
21.387782 40.420 -69.3712
21.542767 40.660 -70.2228
21.698874 40.896 -71.0539
21.856113 41.126 -71.8487
22.014492 41.347 -72.6133
22.174018 41.558 -73.3096
22.334700 41.757 -73.8824
22.496546 41.948 -74.3139
22.659566 42.139 -74.4850
22.823766 42.340 -74.4202
22.989157 42.574 -74.0582
23.155745 42.854 -73.4609
23.323542 43.203 -72.7843
23.492554 43.624 -72.0974
23.662790 44.115 -71.7417
23.834261 44.660 -71.7085
24.006973 45.225 -72.2725
24.180938 45.791 -73.3105
24.356163 46.319 -74.8676
24.532658 46.796 -76.7742
24.710431 47.201 -78.8796
24.889493 47.534 -81.0158
25.069853 47.796 -82.9457
25.251519 48.010 -84.5214
25.434502 48.201 -85.5312
25.618811 48.423 -85.9976
25.804456 48.712 -85.8498
25.991445 49.118 -85.5501
26.179790 49.652 -85.2091
26.369500 50.294 -85.5191
26.560584 51.010 -86.4972
26.753053 51.738 -88.4862
26.946917 52.435 -91.2727
27.142185 53.060 -94.8764
27.338869 53.586 -98.9358
27.536977 53.999 -103.4228
27.736522 54.291 -107.9225
27.937512 54.466 -112.3416
28.139959 54.534 -116.4122
28.343872 54.521 -119.8757
28.549264 54.456 -122.6317
28.756143 54.396 -124.4820
28.964522 54.393 -125.5673
29.174411 54.499 -125.9605
29.385821 54.743 -126.2469
29.598763 55.119 -126.6720
29.813248 55.593 -127.7339
30.029287 56.109 -129.5508
30.246891 56.625 -132.1262
30.466073 57.094 -135.3939
30.686842 57.496 -139.1347
30.909212 57.815 -143.2667
31.133193 58.042 -147.5324
31.358797 58.176 -151.7975
31.586035 58.217 -155.9666
31.814921 58.171 -159.7860
32.045465 58.050 -163.1376
32.277680 57.870 -165.8755
32.511577 57.661 -167.7874
32.747169 57.469 -168.8408
32.984469 57.337 -169.0392
33.223488 57.318 -168.5671
33.464239 57.434 -167.8667
33.706735 57.678 -167.2634
33.950987 58.020 -167.0525
34.197010 58.412 -167.3573
34.444816 58.823 -168.0533
34.694417 59.245 -169.0243
34.945827 59.684 -170.1338
35.199059 60.164 -171.3915
35.454126 60.697 -172.9966
35.711041 61.277 -175.1558
35.969818 61.879 -178.0997
36.230470 62.453 177.9782
36.493011 62.947 173.1557
36.757455 63.318 167.5967
37.023814 63.531 161.4798
37.292104 63.563 155.0981
37.562338 63.401 148.8664
37.834530 63.046 143.1063
38.108695 62.514 138.1558
38.384846 61.834 134.4111
38.662999 61.059 132.2502
38.943167 60.265 131.8255
39.225365 59.531 133.0804
39.509608 58.918 135.8201
39.795911 58.471 139.7743
40.084289 58.226 144.7071
40.374756 58.226 150.3917
40.667328 58.509 156.3726
40.962020 59.066 161.9289
41.258848 59.829 166.5298
41.557827 60.726 170.1552
41.858972 61.726 173.1401
42.162299 62.856 175.7753
42.467824 64.166 177.9439
42.775564 65.668 179.0465
43.085533 67.299 178.3411
43.397749 68.951 175.3994
43.712227 70.518 170.2501
44.028983 71.926 163.2446
44.348036 73.131 154.8378
44.669400 74.112 145.4670
44.993093 74.863 135.5216
45.319131 75.384 125.3459
45.647532 75.685 115.2545
45.978313 75.781 105.5439
46.311491 75.696 96.4967
46.647083 75.464 88.3724
46.985107 75.132 81.3793
47.325581 74.760 75.6225
47.668521 74.414 71.0407
48.013947 74.148 67.3725
48.361876 73.991 64.2085
48.712326 73.938 61.1417
49.065315 73.954 57.9296
49.420863 74.002 54.5617
49.778987 74.066 51.1985
50.139706 74.155 48.0182
50.503039 74.302 45.0479
50.869005 74.535 42.0867
51.237623 74.851 38.8162
51.608912 75.216 35.0548
51.982891 75.603 30.9128
52.359580 76.024 26.6683
52.739000 76.542 22.4026
53.121168 77.219 17.6525
53.506106 78.043 11.5079
53.893833 78.911 3.2073
54.284370 79.675 -7.4769
54.677737 80.206 -20.2498
55.073955 80.415 -34.5209
55.473043 80.247 -49.5851
55.875024 79.676 -64.6911
56.279917 78.697 -79.1111
56.687745 77.335 -91.9294
57.098527 75.673 -102.1910
57.512287 73.871 -109.3583
57.929045 72.138 -113.9417
58.348822 70.605 -117.4316
58.771642 69.221 -121.1233
59.197525 67.839 -124.8135
59.626495 66.404 -127.4590
60.058573 65.001 -128.5681
60.493782 63.748 -129.0719
60.932145 62.617 -130.3086
61.373685 61.462 -132.4200
61.818424 60.174 -134.4896
62.266386 58.764 -135.8964
62.717593 57.278 -137.2975
63.172071 55.647 -140.2151
63.629842 53.671 -145.8026
64.090930 51.345 -155.8298
64.555359 50.136 160.8178
65.023154 52.163 33.2692
65.494339 55.492 17.9448
65.968938 58.476 8.2106
66.446976 61.031 0.0460
66.928478 63.323 -7.6638
67.413469 65.435 -16.0906
67.901975 67.338 -26.1429
68.394021 68.949 -38.1256
68.889632 70.202 -51.5978
69.388835 71.071 -65.7509
69.891655 71.572 -79.8873
70.398118 71.762 -93.2027
70.908252 71.724 -105.3110
71.422083 71.557 -116.0082
71.939636 71.343 -125.4775
72.460941 71.137 -134.0457
72.986023 70.966 -141.9960
73.514909 70.851 -149.5574
74.047629 70.804 -157.0198
74.584208 70.815 -164.7766
75.124676 70.837 -173.1609
75.669061 70.800 177.7722
76.217390 70.641 168.3018
76.769692 70.329 158.8792
77.325997 69.861 149.9866
77.886333 69.267 142.1323
78.450730 68.615 135.8037
79.019216 68.034 131.3411
79.591822 67.695 128.1746
80.168577 67.663 124.5450
80.749512 67.791 118.8439
81.334656 67.831 111.0177
81.924040 67.623 102.3606
82.517696 67.154 94.3152
83.115653 66.515 87.8206
83.717943 65.828 82.9979
84.324598 65.176 79.5271
84.935649 64.610 77.2753
85.551128 64.186 76.2017
86.171066 63.970 76.0566
86.795497 64.016 76.4218
87.424453 64.342 76.5275
88.057967 64.873 75.2748
88.696071 65.477 72.5425
89.338800 66.136 69.5291
89.986185 66.982 66.7837
90.638262 68.081 62.9292
91.295065 69.348 56.8165
91.956626 70.735 48.6046
92.622982 72.211 37.4824
93.294166 73.555 21.5544
93.970214 74.414 0.4347
94.651161 74.499 -24.3628
95.337042 73.638 -50.5044
96.027894 71.742 -75.0006
96.723752 68.806 -92.9534
97.424652 65.060 -94.8684
98.130631 61.400 -77.3115
98.841726 59.347 -65.7682
99.557974 58.986 -65.3971
100.279412 59.106 -70.9943
101.006078 59.085 -79.7142
101.738010 58.913 -90.0170
102.475245 58.763 -102.6366
103.217823 58.730 -119.5052
103.965782 58.782 -141.9070
104.719161 58.821 -169.3215
105.477999 58.788 161.1880
106.242336 58.750 133.7852
107.012212 58.850 110.8760
107.787666 59.115 91.7994
108.568740 59.349 74.6129
109.355474 59.264 58.7064
110.147909 58.719 45.8651
110.946086 57.937 39.5959
111.750047 57.552 40.4362
112.559834 57.912 41.7517
113.375489 58.659 39.4073
114.197055 59.406 34.4740
115.024574 59.983 27.9978
115.858089 60.330 20.9427
116.697645 60.474 14.0726
117.543284 60.436 7.2075
118.395051 60.165 0.1801
119.252990 59.606 -6.1761
120.117147 58.770 -10.9702
120.987565 57.682 -14.4227
121.864291 56.327 -16.8003
122.747370 55.135 -12.8851
123.636848 56.015 31.0693
124.532771 59.174 70.5356
125.435187 62.333 66.8219
126.344142 64.662 53.7577
127.259684 66.177 39.0583
128.181860 67.147 26.1553
129.110718 67.969 16.3251
130.046308 68.833 6.6576
130.988677 69.502 -5.9668
131.937875 69.686 -20.4421
132.893951 69.326 -34.0972
133.856956 68.527 -45.0856
134.826938 67.508 -51.7249
135.803950 66.673 -53.5570
136.788041 66.320 -55.3385
137.779264 66.174 -61.3781
138.777669 65.795 -70.0043
139.783309 65.037 -78.2493
140.796237 63.991 -84.8185
141.816504 62.811 -90.2211
142.844165 61.570 -97.2241
143.879273 60.141 -109.2377
144.921881 58.601 -130.1322
145.972045 58.283 167.2076
147.029819 60.230 75.4684
148.095257 62.796 45.6382
149.168417 64.948 27.4648
150.249353 66.677 14.4435
151.338121 68.160 4.4294
152.434780 69.507 -4.3115
153.539385 70.674 -13.7837
154.651995 71.540 -24.4333
155.772667 72.177 -33.7135
156.901460 72.970 -39.2161
158.038432 74.097 -45.0186
159.183644 75.103 -56.8243
160.337154 75.532 -72.0801
161.499023 75.418 -85.6138
162.669312 75.085 -96.3154
163.848081 74.665 -107.1428
165.035392 73.943 -119.3247
166.231306 72.698 -129.2100
167.435887 71.114 -131.7742
168.649196 69.685 -129.7288
169.871298 68.704 -126.6636
171.102255 68.572 -117.2852
172.342133 69.807 -103.3716
