* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -28.5 dBFS, measurement signal peak level -18.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 8:42:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.4647 ms (-502 mm, -(1 ft 7.78 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: rug-p3-sfr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 62.997 -65.5028
10.166832 63.114 -67.2423
10.240505 63.256 -68.9657
10.314712 63.403 -70.6756
10.389457 63.551 -72.3741
10.464743 63.702 -74.0616
10.540575 63.856 -75.7319
10.616956 64.013 -77.3914
10.693891 64.173 -79.0483
10.771383 64.334 -80.7105
10.849437 64.498 -82.3707
10.928057 64.664 -84.0272
11.007246 64.831 -85.6905
11.087009 65.000 -87.3708
11.167350 65.170 -89.0705
11.248273 65.342 -90.7803
11.329783 65.514 -92.5053
11.411883 65.685 -94.2509
11.494578 65.855 -96.0226
11.577873 66.024 -97.8179
11.661771 66.190 -99.6309
11.746277 66.354 -101.4564
11.831395 66.512 -103.2960
11.917130 66.667 -105.1598
12.003487 66.817 -107.0319
12.090469 66.962 -108.8959
12.178081 67.101 -110.7502
12.266329 67.234 -112.6115
12.355216 67.362 -114.4596
12.444747 67.486 -116.2722
12.534926 67.604 -118.0511
12.625760 67.719 -119.8081
12.717251 67.831 -121.5287
12.809406 67.943 -123.1979
12.902228 68.054 -124.8171
12.995723 68.166 -126.3950
13.089895 68.282 -127.9370
13.184750 68.405 -129.4402
13.280292 68.532 -130.8962
13.376526 68.666 -132.3326
13.473458 68.810 -133.7778
13.571093 68.963 -135.2116
13.669434 69.125 -136.6455
13.768489 69.295 -138.1210
13.868261 69.473 -139.6546
13.968756 69.659 -141.2212
14.069979 69.850 -142.8486
14.171936 70.041 -144.5633
14.274632 70.235 -146.3514
14.378072 70.428 -148.2085
14.482261 70.616 -150.1387
14.587206 70.798 -152.1512
14.692910 70.974 -154.2299
14.799381 71.140 -156.3506
14.906624 71.294 -158.5207
15.014643 71.438 -160.7401
15.123446 71.570 -162.9687
15.233036 71.690 -165.1991
15.343421 71.797 -167.4475
15.454606 71.894 -169.6765
15.566596 71.980 -171.8705
15.679398 72.055 -174.0481
15.793018 72.122 -176.1864
15.907460 72.182 -178.2737
16.022732 72.236 179.6786
16.138840 72.284 177.6778
16.255788 72.328 175.7273
16.373585 72.369 173.8235
16.492234 72.407 171.9671
16.611744 72.442 170.1564
16.732119 72.475 168.3941
16.853367 72.506 166.6863
16.975494 72.535 165.0295
17.098505 72.563 163.4326
17.222408 72.592 161.9082
17.347209 72.621 160.4536
17.472914 72.655 159.0729
17.599530 72.697 157.7756
17.727063 72.746 156.5555
17.855521 72.810 155.3830
17.984909 72.890 154.2727
18.115235 72.988 153.1810
18.246506 73.106 152.0534
18.378727 73.245 150.9081
18.511907 73.399 149.6606
18.646052 73.569 148.2954
18.781169 73.749 146.8074
18.917265 73.930 145.1480
19.054347 74.111 143.3321
19.192423 74.281 141.3809
19.331499 74.436 139.2783
19.471583 74.573 137.0747
19.612682 74.686 134.8190
19.754804 74.775 132.4991
19.897956 74.839 130.2224
20.042144 74.878 127.9721
20.187378 74.897 125.8127
20.333664 74.899 123.7855
20.481010 74.890 121.8835
20.629424 74.878 120.1438
20.778913 74.867 118.5574
20.929486 74.865 117.0887
21.081150 74.876 115.7486
21.233912 74.901 114.4613
21.387782 74.944 113.2203
21.542767 75.000 111.9813
21.698874 75.069 110.7141
21.856113 75.146 109.4215
22.014492 75.228 108.0884
22.174018 75.313 106.7287
22.334700 75.399 105.3598
22.496546 75.487 103.9826
22.659566 75.579 102.6177
22.823766 75.677 101.2570
22.989157 75.783 99.8903
23.155745 75.898 98.5108
23.323542 76.021 97.0823
23.492554 76.152 95.6044
23.662790 76.285 94.0527
23.834261 76.419 92.4349
24.006973 76.548 90.7684
24.180938 76.673 89.0657
24.356163 76.792 87.3777
24.532658 76.910 85.7099
24.710431 77.031 84.1050
24.889493 77.163 82.5393
25.069853 77.314 81.0093
25.251519 77.487 79.4409
25.434502 77.686 77.7935
25.618811 77.907 75.9613
25.804456 78.143 73.9110
25.991445 78.380 71.5771
26.179790 78.608 68.9637
26.369500 78.811 66.0960
26.560584 78.982 63.0201
26.753053 79.109 59.8227
26.946917 79.192 56.5995
27.142185 79.231 53.4247
27.338869 79.235 50.4270
27.536977 79.214 47.6423
27.736522 79.186 45.1454
27.937512 79.168 42.9044
28.139959 79.177 40.9000
28.343872 79.226 38.9815
28.549264 79.319 37.0809
28.756143 79.453 35.0020
28.964522 79.615 32.6860
29.174411 79.793 30.0490
29.385821 79.966 27.0830
29.598763 80.124 23.8079
29.813248 80.254 20.2676
30.029287 80.349 16.5341
30.246891 80.406 12.6400
30.466073 80.423 8.6613
30.686842 80.401 4.6304
30.909212 80.338 0.5745
31.133193 80.236 -3.4565
31.358797 80.093 -7.4309
31.586035 79.910 -11.3127
31.814921 79.688 -15.0278
32.045465 79.433 -18.5249
32.277680 79.152 -21.7477
32.511577 78.858 -24.6483
32.747169 78.568 -27.2448
32.984469 78.292 -29.5631
33.223488 78.043 -31.6935
33.464239 77.818 -33.7432
33.706735 77.613 -35.7491
33.950987 77.418 -37.7300
34.197010 77.227 -39.5942
34.444816 77.051 -41.2234
34.694417 76.912 -42.5554
34.945827 76.845 -43.5885
35.199059 76.887 -44.5829
35.454126 77.047 -45.9465
35.711041 77.303 -48.0471
35.969818 77.605 -51.1785
36.230470 77.885 -55.4273
36.493011 78.087 -60.5994
36.757455 78.173 -66.4371
37.023814 78.119 -72.6516
37.292104 77.920 -78.8674
37.562338 77.592 -84.7068
37.834530 77.166 -89.9204
38.108695 76.690 -94.3282
38.384846 76.216 -97.8745
38.662999 75.797 -100.7181
38.943167 75.463 -103.2082
39.225365 75.212 -105.6456
39.509608 75.023 -108.2029
39.795911 74.874 -110.9094
40.084289 74.750 -113.6825
40.374756 74.653 -116.4064
40.667328 74.598 -119.0161
40.962020 74.603 -121.5316
41.258848 74.682 -124.0180
41.557827 74.847 -126.5520
41.858972 75.108 -129.2213
42.162299 75.479 -132.1525
42.467824 75.968 -135.5422
42.775564 76.568 -139.6560
43.085533 77.255 -144.7733
43.397749 77.987 -151.1075
43.712227 78.711 -158.7523
44.028983 79.375 -167.6628
44.348036 79.934 -177.6901
44.669400 80.350 171.3836
44.993093 80.596 159.8234
45.319131 80.648 147.9332
45.647532 80.494 136.0587
45.978313 80.132 124.5922
46.311491 79.575 113.9677
46.647083 78.860 104.6266
46.985107 78.052 96.9246
47.325581 77.241 90.9752
47.668521 76.513 86.5269
48.013947 75.913 83.0640
48.361876 75.438 80.1439
48.712326 75.065 77.6379
49.065315 74.791 75.6161
49.420863 74.636 74.0388
49.778987 74.612 72.6357
50.139706 74.702 71.1243
50.503039 74.879 69.4698
50.869005 75.138 67.8206
51.237623 75.504 66.1845
51.608912 75.992 64.2585
51.982891 76.579 61.6912
52.359580 77.229 58.4589
52.739000 77.944 54.8080
53.121168 78.769 50.7452
53.506106 79.730 45.6379
53.893833 80.766 38.5523
54.284370 81.737 28.9315
54.677737 82.494 16.9069
55.073955 82.923 3.1143
55.473043 82.956 -11.5893
55.875024 82.565 -26.2695
56.279917 81.759 -39.9888
56.687745 80.592 -51.6806
57.098527 79.192 -60.4172
57.512287 77.751 -66.0322
57.929045 76.449 -69.5566
58.348822 75.331 -72.4453
58.771642 74.318 -75.2380
59.197525 73.348 -77.3652
59.626495 72.460 -78.3915
60.058573 71.718 -78.7834
60.493782 71.113 -79.3295
60.932145 70.586 -80.0795
61.373685 70.121 -80.5536
61.818424 69.763 -80.5934
62.266386 69.551 -80.6663
62.717593 69.469 -81.2896
63.172071 69.477 -82.6874
63.629842 69.528 -84.9620
64.090930 69.568 -88.0900
64.555359 69.552 -91.6151
65.023154 69.505 -94.7071
65.494339 69.541 -96.8538
65.968938 69.796 -98.5447
66.446976 70.317 -101.0065
66.928478 71.039 -105.2512
67.413469 71.863 -111.7232
67.901975 72.688 -120.6000
68.394021 73.406 -131.9109
68.889632 73.916 -145.3147
69.388835 74.148 -160.0885
69.891655 74.081 -175.4524
70.398118 73.742 169.4679
70.908252 73.201 155.2328
71.422083 72.551 142.1555
71.939636 71.884 130.2070
72.460941 71.274 119.1067
72.986023 70.765 108.5430
73.514909 70.377 98.2185
74.047629 70.117 87.9183
74.584208 69.991 77.3618
75.124676 69.981 66.0298
75.669061 70.021 53.3668
76.217390 70.000 39.1166
76.769692 69.816 23.5469
77.325997 69.416 7.1111
77.886333 68.808 -9.8762
78.450730 68.028 -27.6483
79.019216 67.109 -46.9077
79.591822 66.081 -68.6364
80.168577 65.005 -93.8790
80.749512 64.031 -123.3156
81.334656 63.385 -155.7533
81.924040 63.219 172.7977
82.517696 63.487 146.1882
83.115653 64.026 125.4003
83.717943 64.704 109.4766
84.324598 65.453 97.0050
84.935649 66.249 86.7772
85.551128 67.080 77.7242
86.171066 67.905 68.8385
86.795497 68.650 59.5209
87.424453 69.252 49.8462
88.057967 69.697 40.2554
88.696071 70.017 31.1105
89.338800 70.264 22.5077
89.986185 70.485 14.2061
90.638262 70.699 5.7358
91.295065 70.898 -3.1432
91.956626 71.099 -12.4799
92.622982 71.309 -23.2134
93.294166 71.394 -37.1849
93.970214 71.052 -55.0724
94.651161 69.956 -75.4116
95.337042 67.876 -94.9135
96.027894 64.765 -106.3494
96.723752 61.144 -81.6390
97.424652 58.895 -32.2125
98.130631 59.108 -23.5164
98.841726 60.160 -23.1562
99.557974 61.161 -24.4015
100.279412 62.060 -26.3298
101.006078 62.902 -29.7598
101.738010 63.640 -35.4333
102.475245 64.205 -43.2760
103.217823 64.523 -53.2396
103.965782 64.490 -65.2805
104.719161 63.987 -78.6211
105.477999 62.939 -91.5553
106.242336 61.374 -102.0352
107.012212 59.418 -108.8246
107.787666 57.225 -112.1771
108.568740 54.881 -113.1437
109.355474 52.371 -111.8270
110.147909 49.708 -103.9263
110.946086 47.389 -78.3737
111.750047 46.473 -46.6461
112.559834 46.984 -29.6730
113.375489 48.096 -18.4589
114.197055 49.444 -9.3502
115.024574 50.867 -3.8706
115.858089 52.171 -2.8066
116.697645 53.179 -5.3716
117.543284 53.776 -10.1237
118.395051 53.918 -15.3081
119.252990 53.671 -18.3800
120.117147 53.281 -16.9189
120.987565 53.094 -11.5646
121.864291 53.362 -4.3833
122.747370 54.198 3.3051
123.636848 55.507 8.3381
124.532771 57.013 9.0415
125.435187 58.402 4.4142
126.344142 59.359 -5.3229
127.259684 59.725 -16.9010
128.181860 59.588 -26.4762
129.110718 59.234 -32.1829
130.046308 58.966 -35.2838
130.988677 58.955 -38.0430
131.937875 59.266 -41.4600
132.893951 59.865 -48.0292
133.856956 60.473 -61.5505
134.826938 60.699 -83.0771
135.803950 60.272 -112.1738
136.788041 59.170 -149.7561
137.779264 57.791 159.4960
138.777669 56.849 98.8406
139.783309 56.444 49.9989
140.796237 55.935 16.2249
141.816504 54.935 -6.6223
142.844165 53.402 -21.6770
143.879273 51.555 -25.9459
144.921881 50.712 8.6420
145.972045 52.141 40.5613
147.029819 54.363 40.4492
148.095257 56.279 33.9532
149.168417 57.746 25.7712
150.249353 58.774 16.1704
151.338121 59.360 5.7722
152.434780 59.558 -3.6075
153.539385 59.551 -10.3080
154.651995 59.633 -13.8713
155.772667 60.091 -15.6858
156.901460 60.910 -20.6689
158.038432 61.604 -34.6428
159.183644 61.521 -57.1672
160.337154 60.248 -82.8237
161.499023 57.708 -106.2173
162.669312 54.260 -118.1396
163.848081 51.624 14.5006
165.035392 51.776 10.2683
166.231306 52.808 -0.8339
167.435887 53.314 -9.7433
168.649196 53.707 -7.3656
169.871298 54.789 4.2788
171.102255 56.326 5.9083
172.342133 57.468 -4.7645
173.590995 57.720 -20.2555
174.848907 57.079 -32.0580
