* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.5 dBFS, measurement signal peak level -21.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 10:06:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9061 ms (-311 mm, -(1 ft 0.24 in)) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p1-c
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 28.293 33.0738
10.166832 28.412 30.0617
10.240505 28.557 26.9929
10.314712 28.705 23.9623
10.389457 28.852 21.0660
10.464743 28.987 18.3687
10.540575 29.099 15.7284
10.616956 29.199 13.1593
10.693891 29.293 10.7318
10.771383 29.386 8.5300
10.849437 29.475 6.5528
10.928057 29.561 4.7393
11.007246 29.653 3.0831
11.087009 29.763 1.5929
11.167350 29.895 0.3218
11.248273 30.044 -0.7131
11.329783 30.217 -1.6210
11.411883 30.421 -2.5049
11.494578 30.664 -3.3793
11.577873 30.944 -4.1127
11.661771 31.254 -4.8495
11.746277 31.588 -5.7425
11.831395 31.946 -6.8483
11.917130 32.331 -8.0066
12.003487 32.731 -9.2897
12.090469 33.131 -10.7900
12.178081 33.524 -12.5512
12.266329 33.917 -14.4771
12.355216 34.300 -16.5349
12.444747 34.659 -18.7230
12.534926 34.993 -21.1076
12.625760 35.303 -23.6582
12.717251 35.583 -26.2565
12.809406 35.828 -28.8335
12.902228 36.035 -31.5536
12.995723 36.206 -34.3446
13.089895 36.337 -37.0370
13.184750 36.426 -39.5848
13.280292 36.471 -42.1832
13.376526 36.476 -44.6768
13.473458 36.440 -46.8674
13.571093 36.360 -48.8443
13.669434 36.242 -50.6366
13.768489 36.099 -52.0869
13.868261 35.934 -53.0579
13.968756 35.745 -53.6039
14.069979 35.563 -53.7250
14.171936 35.417 -53.3882
14.274632 35.302 -52.4569
14.378072 35.238 -51.1094
14.482261 35.257 -49.6314
14.587206 35.375 -47.9447
14.692910 35.574 -46.1856
14.799381 35.837 -44.7331
14.906624 36.163 -43.6697
15.014643 36.541 -42.8995
15.123446 36.929 -42.5358
15.233036 37.306 -42.6356
15.343421 37.675 -43.0915
15.454606 38.017 -43.7629
15.566596 38.315 -44.6320
15.679398 38.575 -45.7171
15.793018 38.798 -46.7952
15.907460 38.979 -47.7954
16.022732 39.123 -48.7986
16.138840 39.244 -49.6367
16.255788 39.348 -50.2315
16.373585 39.440 -50.6545
16.492234 39.541 -50.8957
16.611744 39.659 -50.8992
16.732119 39.798 -50.7455
16.853367 39.969 -50.5933
16.975494 40.177 -50.3899
17.098505 40.412 -50.2381
17.222408 40.667 -50.2944
17.347209 40.940 -50.5014
17.472914 41.212 -50.8732
17.599530 41.472 -51.4574
17.727063 41.717 -52.2052
17.855521 41.935 -52.9853
17.984909 42.122 -53.8461
18.115235 42.281 -54.6841
18.246506 42.413 -55.3478
18.378727 42.522 -55.9016
18.511907 42.623 -56.2286
18.646052 42.724 -56.2749
18.781169 42.835 -56.0918
18.917265 42.977 -55.6898
19.054347 43.153 -55.0633
19.192423 43.371 -54.3692
19.331499 43.638 -53.6267
19.471583 43.946 -52.9058
19.612682 44.290 -52.3189
19.754804 44.667 -51.8364
19.897956 45.067 -51.5175
20.042144 45.487 -51.3395
20.187378 45.926 -51.3281
20.333664 46.381 -51.4581
20.481010 46.851 -51.7611
20.629424 47.337 -52.2849
20.778913 47.835 -52.9939
20.929486 48.336 -54.0173
21.081150 48.838 -55.2864
21.233912 49.323 -56.8552
21.387782 49.785 -58.7282
21.542767 50.208 -60.7890
21.698874 50.583 -63.0824
21.856113 50.903 -65.4335
22.014492 51.161 -67.7702
22.174018 51.360 -70.0185
22.334700 51.503 -71.9360
22.496546 51.603 -73.5612
22.659566 51.685 -74.6253
22.823766 51.770 -75.2024
22.989157 51.901 -75.2636
23.155745 52.095 -74.8858
23.323542 52.380 -74.4165
23.492554 52.754 -73.9053
23.662790 53.193 -73.7939
23.834261 53.678 -74.0154
24.006973 54.161 -74.7171
24.180938 54.628 -75.7547
24.356163 55.050 -76.9454
24.532658 55.434 -78.1798
24.710431 55.790 -79.1417
24.889493 56.147 -79.8479
25.069853 56.549 -80.0988
25.251519 57.032 -80.2112
25.434502 57.629 -80.2203
25.618811 58.334 -80.7654
25.804456 59.132 -81.8714
25.991445 59.963 -84.0505
26.179790 60.793 -87.1047
26.369500 61.562 -91.1672
26.560584 62.247 -95.9527
26.753053 62.815 -101.4051
26.946917 63.255 -107.1726
27.142185 63.554 -113.2941
27.338869 63.708 -119.2385
27.536977 63.719 -125.1373
27.736522 63.594 -130.3855
27.937512 63.355 -135.0077
28.139959 63.034 -138.5303
28.343872 62.704 -140.9032
28.549264 62.429 -141.9261
28.756143 62.318 -142.0347
28.964522 62.405 -141.7339
29.174411 62.702 -141.6974
29.385821 63.125 -142.6676
29.598763 63.601 -144.6649
29.813248 64.040 -147.7897
30.029287 64.390 -151.6017
30.246891 64.624 -155.9833
30.466073 64.730 -160.4443
30.686842 64.715 -164.7573
30.909212 64.595 -168.7323
31.133193 64.404 -172.0385
31.358797 64.180 -174.6779
31.586035 63.961 -176.5541
31.814921 63.791 -177.8397
32.045465 63.687 -178.7298
32.277680 63.658 -179.4029
32.511577 63.692 179.8887
32.747169 63.772 179.0856
32.984469 63.886 178.1508
33.223488 64.026 177.0877
33.464239 64.189 175.8864
33.706735 64.372 174.5200
33.950987 64.570 172.9554
34.197010 64.771 171.1510
34.444816 64.962 169.1423
34.694417 65.134 166.9812
34.945827 65.285 164.7501
35.199059 65.423 162.5563
35.454126 65.563 160.4080
35.711041 65.720 158.2621
35.969818 65.904 156.0174
36.230470 66.112 153.4746
36.493011 66.323 150.5097
36.757455 66.507 147.0880
37.023814 66.636 143.2307
37.292104 66.683 139.0624
37.562338 66.632 134.8276
37.834530 66.482 130.7415
38.108695 66.247 127.0011
38.384846 65.950 123.7859
38.662999 65.625 121.2061
38.943167 65.309 119.2117
39.225365 65.029 117.6349
39.509608 64.795 116.2686
39.795911 64.595 114.9219
40.084289 64.408 113.4836
40.374756 64.204 111.9661
40.667328 63.964 110.5171
40.962020 63.680 109.3780
41.258848 63.368 108.8123
41.557827 63.068 109.0406
41.858972 62.842 110.1300
42.162299 62.757 111.8676
42.467824 62.858 113.7259
42.775564 63.135 115.0379
43.085533 63.527 115.2984
43.397749 63.950 114.3480
43.712227 64.333 112.3383
44.028983 64.632 109.5807
44.348036 64.833 106.4058
44.669400 64.939 103.0840
44.993093 64.967 99.7917
45.319131 64.933 96.6085
45.647532 64.851 93.5455
45.978313 64.727 90.5917
46.311491 64.559 87.7603
46.647083 64.348 85.1080
46.985107 64.099 82.7209
47.325581 63.824 80.6739
47.668521 63.542 78.9898
48.013947 63.269 77.6214
48.361876 63.015 76.4732
48.712326 62.782 75.4464
49.065315 62.566 74.4768
49.420863 62.360 73.5407
49.778987 62.162 72.6334
50.139706 61.968 71.7456
50.503039 61.776 70.8571
50.869005 61.580 69.9483
51.237623 61.372 69.0194
51.608912 61.144 68.1023
51.982891 60.889 67.2612
52.359580 60.605 66.5851
52.739000 60.295 66.1757
53.121168 59.967 66.1310
53.506106 59.637 66.5268
53.893833 59.325 67.3998
54.284370 59.054 68.7343
54.677737 58.847 70.4452
55.073955 58.720 72.3600
55.473043 58.674 74.2265
55.875024 58.688 75.7962
56.279917 58.719 76.9724
56.687745 58.724 77.9334
57.098527 58.687 79.1579
57.512287 58.650 81.2523
57.929045 58.719 84.5721
58.348822 59.015 88.8160
58.771642 59.600 92.9866
59.197525 60.431 96.0327
59.626495 61.415 97.4521
60.058573 62.466 97.1867
60.493782 63.520 95.2504
60.932145 64.515 91.6613
61.373685 65.390 86.5591
61.818424 66.091 80.2533
62.266386 66.589 73.2293
62.717593 66.882 65.9748
63.172071 67.001 58.9401
63.629842 66.997 52.4155
64.090930 66.925 46.4318
64.555359 66.829 40.8416
65.023154 66.730 35.4142
65.494339 66.633 29.9506
65.968938 66.534 24.2939
66.446976 66.421 18.3293
66.928478 66.280 11.9893
67.413469 66.094 5.2722
67.901975 65.857 -1.7828
68.394021 65.574 -9.1385
68.889632 65.260 -16.8500
69.388835 64.935 -25.0560
69.891655 64.627 -34.0145
70.398118 64.369 -44.1726
70.908252 64.183 -56.1670
71.422083 64.063 -70.6906
71.939636 63.974 -88.1954
72.460941 63.869 -108.5073
72.986023 63.717 -130.9032
73.514909 63.509 -153.8368
74.047629 63.255 -175.5704
74.584208 63.005 165.5198
75.124676 62.868 150.4329
75.669061 63.001 139.1564
76.217390 63.512 130.4307
76.769692 64.344 122.3381
77.325997 65.309 113.4882
77.886333 66.224 103.5203
78.450730 66.981 92.7987
79.019216 67.540 81.8288
79.591822 67.906 71.1212
80.168577 68.114 61.0327
80.749512 68.215 51.7988
81.334656 68.279 43.4636
81.924040 68.362 35.7274
82.517696 68.481 28.0790
83.115653 68.599 20.1298
83.717943 68.666 11.8793
84.324598 68.658 3.6190
84.935649 68.584 -4.4131
85.551128 68.461 -12.1440
86.171066 68.298 -19.5024
86.795497 68.115 -26.2429
87.424453 67.975 -32.1511
88.057967 67.956 -37.5682
88.696071 68.063 -43.4512
89.338800 68.190 -50.5649
89.986185 68.189 -58.7186
90.638262 67.979 -66.8386
91.295065 67.607 -73.5432
91.956626 67.262 -77.9110
92.622982 67.197 -80.3202
93.294166 67.551 -82.6266
93.970214 68.221 -86.9667
94.651161 68.948 -94.2734
95.337042 69.496 -104.0151
96.027894 69.744 -114.9058
96.723752 69.686 -125.6868
97.424652 69.378 -135.5836
98.130631 68.884 -144.2723
98.841726 68.257 -151.4661
99.557974 67.578 -156.7532
100.279412 66.972 -160.0476
101.006078 66.561 -161.9912
101.738010 66.389 -163.6404
102.475245 66.400 -165.8972
103.217823 66.477 -169.1418
103.965782 66.512 -172.9937
104.719161 66.479 -176.5508
105.477999 66.449 -179.0972
106.242336 66.541 179.3416
107.012212 66.836 177.9821
107.787666 67.307 175.6238
108.568740 67.815 171.3846
109.355474 68.204 165.5479
110.147909 68.413 159.2891
110.946086 68.497 153.5436
111.750047 68.542 148.1724
112.559834 68.559 142.3713
113.375489 68.475 135.7195
114.197055 68.203 128.4053
115.024574 67.672 120.8489
115.858089 66.822 113.8162
116.697645 65.641 108.7458
117.543284 64.240 107.4429
118.395051 62.887 110.7854
119.252990 61.921 117.4935
120.117147 61.491 124.2161
120.987565 61.393 128.3960
121.864291 61.360 131.6044
122.747370 61.478 137.2500
123.636848 62.085 145.3668
124.532771 63.252 151.6572
125.435187 64.670 153.1599
126.344142 65.998 149.8616
127.259684 67.018 142.9022
128.181860 67.633 133.7050
129.110718 67.814 123.3101
130.046308 67.517 112.0046
130.988677 66.628 100.3174
131.937875 65.027 89.9528
132.893951 62.799 84.0859
133.856956 61.154 98.6909
134.826938 62.734 -176.6583
135.803950 66.026 -169.5012
136.788041 68.755 178.0748
137.779264 70.475 160.7791
138.777669 71.233 143.0000
139.783309 71.232 127.5576
140.796237 70.729 115.5955
141.816504 69.934 106.7826
142.844165 68.967 100.6724
143.879273 67.909 97.1709
144.921881 66.851 96.4922
145.972045 65.963 99.2834
147.029819 65.532 105.1005
148.095257 65.753 111.3423
149.168417 66.522 115.0859
150.249353 67.499 114.3895
151.338121 68.359 109.5792
152.434780 68.947 102.3246
153.539385 69.230 93.6699
154.651995 69.198 83.9601
155.772667 68.831 73.5037
156.901460 68.125 62.7991
158.038432 67.128 52.0399
159.183644 65.941 40.2513
160.337154 64.721 24.7075
161.499023 63.754 0.4010
162.669312 63.546 -38.8029
163.848081 64.395 -86.2415
165.035392 65.830 -123.0182
166.231306 67.222 -148.3394
167.435887 68.338 -166.4088
168.649196 69.207 -179.6249
169.871298 69.873 169.8569
171.102255 70.304 160.6757
172.342133 70.502 153.3442
173.590995 70.597 148.7953
174.848907 70.779 146.5774
176.115934 71.191 145.8966
177.392143 71.913 145.8015
