* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.1 dBFS, measurement signal peak level -26.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 10:05:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0121 ms (-4.1 mm, -0.16 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p1-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 20.021 78.9786
10.166832 20.329 77.6784
10.240505 20.700 76.0839
10.314712 21.081 74.2944
10.389457 21.456 72.3803
10.464743 21.795 70.3581
10.540575 22.074 68.0978
10.616956 22.314 65.6789
10.693891 22.521 63.2059
10.771383 22.695 60.7649
10.849437 22.836 58.2370
10.928057 22.942 55.5672
11.007246 23.018 52.8643
11.087009 23.067 50.2381
11.167350 23.089 47.6850
11.248273 23.082 45.0578
11.329783 23.049 42.4326
11.411883 22.998 39.9118
11.494578 22.930 37.5570
11.577873 22.839 35.2537
11.661771 22.735 33.0246
11.746277 22.627 30.9309
11.831395 22.519 29.0416
11.917130 22.407 27.3352
12.003487 22.300 25.7785
12.090469 22.214 24.3540
12.178081 22.156 23.1029
12.266329 22.121 22.0825
12.355216 22.118 21.1876
12.444747 22.157 20.3048
12.534926 22.245 19.4773
12.625760 22.378 18.7575
12.717251 22.552 17.9997
12.809406 22.764 17.0733
12.902228 23.019 16.0792
12.995723 23.309 15.0126
13.089895 23.622 13.7868
13.184750 23.951 12.3580
13.280292 24.299 10.8114
13.376526 24.658 9.1501
13.473458 25.017 7.3592
13.571093 25.375 5.4392
13.669434 25.733 3.4345
13.768489 26.084 1.3804
13.868261 26.425 -0.7241
13.968756 26.756 -2.8908
14.069979 27.076 -5.0631
14.171936 27.383 -7.2068
14.274632 27.677 -9.3731
14.378072 27.956 -11.5192
14.482261 28.220 -13.5881
14.587206 28.468 -15.6254
14.692910 28.700 -17.6211
14.799381 28.916 -19.5062
14.906624 29.116 -21.2947
15.014643 29.300 -23.0120
15.123446 29.470 -24.5869
15.233036 29.627 -26.0010
15.343421 29.772 -27.2947
15.454606 29.911 -28.4227
15.566596 30.047 -29.3518
15.679398 30.182 -30.1119
15.793018 30.325 -30.7249
15.907460 30.482 -31.1740
16.022732 30.654 -31.4682
16.138840 30.847 -31.7215
16.255788 31.067 -31.9434
16.373585 31.309 -32.1308
16.492234 31.568 -32.4396
16.611744 31.846 -32.8742
16.732119 32.133 -33.4198
16.853367 32.415 -34.1591
16.975494 32.690 -35.1021
17.098505 32.948 -36.1784
17.222408 33.175 -37.3603
17.347209 33.370 -38.6991
17.472914 33.529 -40.0242
17.599530 33.645 -41.2802
17.727063 33.721 -42.5103
17.855521 33.765 -43.4840
17.984909 33.776 -44.2026
18.115235 33.773 -44.6481
18.246506 33.779 -44.6929
18.378727 33.798 -44.3463
18.511907 33.863 -43.7692
18.646052 33.992 -42.9256
18.781169 34.185 -41.9906
18.917265 34.446 -41.2907
19.054347 34.771 -40.7415
19.192423 35.127 -40.5989
19.331499 35.500 -40.9212
19.471583 35.869 -41.5885
19.612682 36.202 -42.6072
19.754804 36.497 -43.9294
19.897956 36.742 -45.2571
20.042144 36.931 -46.6730
20.187378 37.080 -47.9062
20.333664 37.193 -48.8216
20.481010 37.295 -49.4528
20.629424 37.421 -49.6298
20.778913 37.585 -49.4348
20.929486 37.826 -49.1181
21.081150 38.152 -48.6333
21.233912 38.553 -48.4904
21.387782 39.026 -48.6804
21.542767 39.527 -49.3913
21.698874 40.029 -50.7281
21.856113 40.504 -52.4869
22.014492 40.919 -54.6948
22.174018 41.268 -57.1378
22.334700 41.536 -59.5922
22.496546 41.728 -62.0323
22.659566 41.853 -64.0528
22.823766 41.928 -65.7364
22.989157 41.991 -66.7643
23.155745 42.067 -67.2172
23.323542 42.208 -67.1716
23.492554 42.430 -66.7082
23.662790 42.749 -66.3022
23.834261 43.151 -65.9804
24.006973 43.598 -66.1383
24.180938 44.063 -66.6556
24.356163 44.502 -67.5209
24.532658 44.905 -68.5625
24.710431 45.265 -69.4834
24.889493 45.605 -70.1973
25.069853 45.959 -70.4072
25.251519 46.376 -70.3172
25.434502 46.902 -69.8737
25.618811 47.554 -69.7564
25.804456 48.332 -70.0297
25.991445 49.177 -71.4080
26.179790 50.050 -73.7092
26.369500 50.879 -77.2016
26.560584 51.629 -81.5397
26.753053 52.261 -86.7076
26.946917 52.756 -92.2891
27.142185 53.098 -98.3325
27.338869 53.282 -104.2445
27.536977 53.304 -110.1642
27.736522 53.172 -115.4083
27.937512 52.906 -119.9815
28.139959 52.540 -123.3167
28.343872 52.163 -125.3055
28.549264 51.855 -125.6841
28.756143 51.756 -124.9947
28.964522 51.908 -123.9343
29.174411 52.314 -123.4027
29.385821 52.851 -124.2710
29.598763 53.427 -126.4784
29.813248 53.929 -130.0428
30.029287 54.305 -134.3580
30.246891 54.526 -139.2796
30.466073 54.581 -144.1648
30.686842 54.486 -148.7313
30.909212 54.264 -152.6992
31.133193 53.971 -155.6161
31.358797 53.675 -157.5193
31.586035 53.446 -158.3289
31.814921 53.354 -158.5994
32.045465 53.403 -158.8449
32.277680 53.563 -159.4965
32.511577 53.757 -160.9318
32.747169 53.916 -162.9535
32.984469 53.996 -165.3814
33.223488 53.973 -167.8314
33.464239 53.861 -169.8297
33.706735 53.699 -171.1532
33.950987 53.544 -171.5560
34.197010 53.476 -171.1367
34.444816 53.546 -170.3358
34.694417 53.763 -169.6199
34.945827 54.096 -169.4983
35.199059 54.476 -170.2640
35.454126 54.845 -171.8356
35.711041 55.161 -174.0573
35.969818 55.400 -176.7175
36.230470 55.556 -179.5394
36.493011 55.638 177.6475
36.757455 55.657 174.9448
37.023814 55.627 172.4180
37.292104 55.559 170.0810
37.562338 55.455 167.9167
37.834530 55.313 165.9395
38.108695 55.128 164.2119
38.384846 54.898 162.8516
38.662999 54.632 162.0398
38.943167 54.358 161.9531
39.225365 54.118 162.6252
39.509608 53.950 163.9096
39.795911 53.870 165.5269
40.084289 53.862 167.2163
40.374756 53.887 168.9624
40.667328 53.925 171.1983
40.962020 54.040 174.6859
41.258848 54.403 179.8695
41.557827 55.195 -173.9939
41.858972 56.442 -168.9339
42.162299 57.975 -166.7733
42.467824 59.555 -167.9519
42.775564 61.007 -171.9193
43.085533 62.248 -177.8697
43.397749 63.252 174.9208
43.712227 64.022 167.0312
44.028983 64.576 158.8973
44.348036 64.941 150.8323
44.669400 65.144 143.0519
44.993093 65.217 135.6902
45.319131 65.187 128.8140
45.647532 65.076 122.4473
45.978313 64.901 116.6026
46.311491 64.675 111.3068
46.647083 64.416 106.6024
46.985107 64.148 102.5162
47.325581 63.899 99.0072
47.668521 63.693 95.9370
48.013947 63.542 93.1057
48.361876 63.437 90.3494
48.712326 63.363 87.6242
49.065315 63.315 85.0017
49.420863 63.308 82.5674
49.778987 63.368 80.2914
50.139706 63.521 77.9763
50.503039 63.769 75.3446
50.869005 64.094 72.1833
51.237623 64.478 68.4058
51.608912 64.915 63.9673
51.982891 65.407 58.7211
52.359580 65.944 52.3681
52.739000 66.484 44.5695
53.121168 66.960 35.1261
53.506106 67.295 24.0739
53.893833 67.419 11.6225
54.284370 67.281 -1.8948
54.677737 66.848 -16.0511
55.073955 66.101 -30.3677
55.473043 65.043 -44.3342
55.875024 63.699 -57.4512
56.279917 62.130 -69.3145
56.687745 60.435 -79.7704
57.098527 58.749 -89.2423
57.512287 57.184 -98.7574
57.929045 55.788 -109.4376
58.348822 54.553 -121.9760
58.771642 53.492 -136.5677
59.197525 52.708 -153.0143
59.626495 52.355 -170.8340
60.058573 52.511 170.7028
60.493782 53.080 152.3120
60.932145 53.852 134.4875
61.373685 54.634 117.4321
61.818424 55.303 101.2874
62.266386 55.804 86.2268
62.717593 56.131 72.3216
63.172071 56.321 59.6862
63.629842 56.432 48.3615
64.090930 56.531 38.1689
64.555359 56.673 28.7762
65.023154 56.880 19.7676
65.494339 57.146 10.8206
65.968938 57.445 1.8019
66.446976 57.761 -7.2259
66.928478 58.094 -16.0941
67.413469 58.469 -24.6848
67.901975 58.908 -33.0470
68.394021 59.418 -41.3708
68.889632 59.981 -49.7991
69.388835 60.575 -58.2962
69.891655 61.202 -66.7042
70.398118 61.893 -74.9923
70.908252 62.666 -83.4412
71.422083 63.487 -92.5746
71.939636 64.274 -102.6847
72.460941 64.937 -113.6591
72.986023 65.422 -125.0559
73.514909 65.719 -136.2600
74.047629 65.864 -146.7654
74.584208 65.926 -156.2483
75.124676 65.990 -164.7395
75.669061 66.120 -172.6760
76.217390 66.324 179.1750
76.769692 66.534 170.1606
77.325997 66.646 160.0103
77.886333 66.557 148.9302
78.450730 66.196 137.2896
79.019216 65.508 125.4213
79.591822 64.427 113.6604
80.168577 62.853 102.4658
80.749512 60.662 93.1190
81.334656 57.902 90.5452
81.924040 55.924 128.4526
82.517696 57.206 -169.2406
83.115653 60.099 -165.7305
83.717943 62.642 -172.3162
84.324598 64.582 178.2759
84.935649 65.989 167.8093
85.551128 66.955 157.2075
86.171066 67.573 147.1477
86.795497 67.941 138.1208
87.424453 68.170 130.3427
88.057967 68.359 123.6340
88.696071 68.569 117.5233
89.338800 68.817 111.5891
89.986185 69.109 105.6464
90.638262 69.464 99.4954
91.295065 69.882 92.5930
91.956626 70.298 84.1860
92.622982 70.579 73.8608
93.294166 70.579 61.9257
93.970214 70.193 49.3617
94.651161 69.392 37.5287
95.337042 68.245 27.7412
96.027894 66.903 20.6893
96.723752 65.546 16.0443
97.424652 64.306 12.8337
98.130631 63.227 10.0984
98.841726 62.275 7.0898
99.557974 61.360 3.5168
100.279412 60.391 -0.2537
101.006078 59.338 -3.6078
101.738010 58.230 -6.2610
102.475245 57.116 -8.4127
103.217823 56.023 -10.6056
103.965782 54.923 -13.5839
104.719161 53.714 -17.7900
105.477999 52.261 -22.7335
106.242336 50.481 -27.0835
107.012212 48.437 -29.3542
107.787666 46.447 -29.4294
108.568740 45.151 -32.5283
109.355474 45.014 -47.1924
110.147909 45.844 -74.6058
110.946086 47.278 -105.2908
111.750047 49.027 -129.3386
112.559834 50.854 -145.8323
113.375489 52.620 -157.3143
114.197055 54.300 -165.7020
115.024574 55.920 -172.4000
115.858089 57.444 -179.0607
116.697645 58.755 173.2592
117.543284 59.756 164.8867
118.395051 60.435 156.9026
119.252990 60.866 150.4094
120.117147 61.210 146.3470
120.987565 61.699 144.9399
121.864291 62.485 144.5398
122.747370 63.491 142.8582
123.636848 64.536 139.1572
124.532771 65.485 133.8502
125.435187 66.276 127.5317
126.344142 66.905 120.8787
127.259684 67.423 114.5284
128.181860 67.920 108.7501
129.110718 68.462 103.0051
130.046308 69.014 96.1908
130.988677 69.453 87.8669
131.937875 69.688 78.7518
132.893951 69.737 69.8582
133.856956 69.685 61.4240
134.826938 69.603 52.9084
135.803950 69.497 43.4160
136.788041 69.267 31.6954
137.779264 68.696 17.2468
138.777669 67.566 1.1508
139.783309 65.771 -15.2922
140.796237 63.297 -32.4023
141.816504 60.270 -54.3113
142.844165 57.678 -121.2356
143.879273 57.688 144.5746
144.921881 59.468 120.7036
145.972045 61.065 105.6919
147.029819 62.085 94.3309
148.095257 62.663 86.1426
149.168417 63.020 80.7794
150.249353 63.341 77.4000
151.338121 63.764 75.3444
152.434780 64.357 73.3744
153.539385 65.002 69.1411
154.651995 65.423 61.7572
155.772667 65.395 52.8732
156.901460 64.873 45.3126
158.038432 64.015 41.5231
159.183644 63.107 41.7410
160.337154 62.433 45.2635
161.499023 62.267 51.3879
162.669312 62.735 57.1482
163.848081 63.688 60.4139
165.035392 64.798 59.2723
166.231306 65.681 53.0701
167.435887 66.087 43.9916
168.649196 65.943 34.6138
169.871298 65.307 27.1941
171.102255 64.355 23.5066
172.342133 63.366 24.1912
173.590995 62.635 27.8401
174.848907 62.272 31.5350
176.115934 62.258 35.4320
177.392143 62.754 41.8491
