* Measurement data measured by REW V5.31
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Apr 16, 2024 3:16:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A plus B A = screen-p1-src B = A plus B 
* Measurement: screen-p1-lrss
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 67.041 -64.1633
10.166832 67.157 -65.9070
10.240505 67.297 -67.6546
10.314712 67.441 -69.4031
10.389457 67.587 -71.1504
10.464743 67.733 -72.8971
10.540575 67.878 -74.6527
10.616956 68.024 -76.4122
10.693891 68.168 -78.1693
10.771383 68.311 -79.9186
10.849437 68.451 -81.6704
10.928057 68.589 -83.4281
11.007246 68.725 -85.1812
11.087009 68.858 -86.9202
11.167350 68.990 -88.6477
11.248273 69.119 -90.3769
11.329783 69.246 -92.0977
11.411883 69.371 -93.7990
11.494578 69.494 -95.4771
11.577873 69.615 -97.1469
11.661771 69.735 -98.8024
11.746277 69.854 -100.4351
11.831395 69.973 -102.0398
11.917130 70.091 -103.6259
12.003487 70.209 -105.1934
12.090469 70.328 -106.7403
12.178081 70.450 -108.2627
12.266329 70.572 -109.7620
12.355216 70.697 -111.2460
12.444747 70.825 -112.7218
12.534926 70.957 -114.1830
12.625760 71.093 -115.6281
12.717251 71.233 -117.0735
12.809406 71.377 -118.5330
12.902228 71.526 -119.9906
12.995723 71.680 -121.4532
13.089895 71.837 -122.9413
13.184750 71.999 -124.4644
13.280292 72.164 -126.0044
13.376526 72.333 -127.5758
13.473458 72.504 -129.1969
13.571093 72.676 -130.8622
13.669434 72.850 -132.5668
13.768489 73.023 -134.3197
13.868261 73.194 -136.1302
13.968756 73.364 -137.9933
14.069979 73.531 -139.9022
14.171936 73.693 -141.8573
14.274632 73.850 -143.8734
14.378072 74.002 -145.9339
14.482261 74.145 -148.0214
14.587206 74.282 -150.1595
14.692910 74.409 -152.3398
14.799381 74.528 -154.5304
14.906624 74.637 -156.7440
15.014643 74.737 -158.9928
15.123446 74.826 -161.2364
15.233036 74.905 -163.4731
15.343421 74.973 -165.7292
15.454606 75.032 -167.9650
15.566596 75.082 -170.1699
15.679398 75.121 -172.3727
15.793018 75.153 -174.5412
15.907460 75.177 -176.6639
16.022732 75.193 -178.7637
16.138840 75.204 179.1803
16.255788 75.209 177.1753
16.373585 75.210 175.2071
16.492234 75.208 173.2846
16.611744 75.204 171.4102
16.732119 75.198 169.5762
16.853367 75.191 167.7816
16.975494 75.184 166.0283
17.098505 75.177 164.3098
17.222408 75.172 162.6210
17.347209 75.167 160.9652
17.472914 75.164 159.3339
17.599530 75.163 157.7244
17.727063 75.165 156.1379
17.855521 75.169 154.5619
17.984909 75.176 153.0012
18.115235 75.187 151.4460
18.246506 75.201 149.8825
18.378727 75.219 148.3179
18.511907 75.240 146.7278
18.646052 75.264 145.1081
18.781169 75.290 143.4547
18.917265 75.315 141.7450
19.054347 75.339 139.9797
19.192423 75.357 138.1614
19.331499 75.367 136.2685
19.471583 75.366 134.3247
19.612682 75.349 132.3451
19.754804 75.315 130.3126
19.897956 75.259 128.3125
20.042144 75.179 126.3070
20.187378 75.075 124.3849
20.333664 74.947 122.5806
20.481010 74.796 120.9099
20.629424 74.629 119.4786
20.778913 74.451 118.2744
20.929486 74.277 117.3494
21.081150 74.114 116.7429
21.233912 73.981 116.3599
21.387782 73.890 116.2520
21.542767 73.851 116.2266
21.698874 73.873 116.2306
21.856113 73.951 116.1263
22.014492 74.078 115.7461
22.174018 74.240 115.0884
22.334700 74.417 114.0104
22.496546 74.597 112.5769
22.659566 74.757 110.7776
22.823766 74.889 108.6524
22.989157 74.980 106.3249
23.155745 75.025 103.7811
23.323542 75.020 101.2180
23.492554 74.967 98.5919
23.662790 74.869 96.0994
23.834261 74.732 93.6995
24.006973 74.567 91.5235
24.180938 74.384 89.5437
24.356163 74.198 87.7820
24.532658 74.017 86.2081
24.710431 73.852 84.7379
24.889493 73.705 83.3271
25.069853 73.575 81.8524
25.251519 73.453 80.2846
25.434502 73.330 78.5374
25.618811 73.189 76.6528
25.804456 73.020 74.5946
25.991445 72.808 72.5038
26.179790 72.548 70.3781
26.369500 72.236 68.4191
26.560584 71.876 66.6552
26.753053 71.477 65.2733
26.946917 71.058 64.2955
27.142185 70.636 63.8405
27.338869 70.244 63.7978
27.536977 69.900 64.1733
27.736522 69.623 64.6761
27.937512 69.412 65.1901
28.139959 69.256 65.4682
28.343872 69.125 65.4120
28.549264 68.996 64.9619
28.756143 68.833 64.1824
28.964522 68.616 63.1814
29.174411 68.327 62.0730
29.385821 67.956 61.1222
29.598763 67.501 60.4512
29.813248 66.969 60.3574
30.029287 66.381 61.0372
30.246891 65.766 62.7345
30.466073 65.180 65.6125
30.686842 64.691 69.6650
30.909212 64.363 74.7391
31.133193 64.256 80.2360
31.358797 64.370 85.5293
31.586035 64.674 90.0627
31.814921 65.086 93.4426
32.045465 65.535 95.6755
32.277680 65.962 96.8816
32.511577 66.319 97.3184
32.747169 66.582 97.3340
32.984469 66.742 97.1978
33.223488 66.803 97.2779
33.464239 66.800 97.9714
33.706735 66.789 99.4876
33.950987 66.835 101.9818
34.197010 67.026 105.2280
34.444816 67.423 108.5625
34.694417 68.018 111.2900
34.945827 68.750 112.8084
35.199059 69.518 112.7933
35.454126 70.249 111.4080
35.711041 70.888 108.9120
35.969818 71.401 105.5696
36.230470 71.776 101.7380
36.493011 72.014 97.7048
36.757455 72.122 93.6746
37.023814 72.117 89.8326
37.292104 72.022 86.3544
37.562338 71.864 83.3252
37.834530 71.669 80.7410
38.108695 71.458 78.5619
38.384846 71.245 76.7091
38.662999 71.036 75.0830
38.943167 70.829 73.6115
39.225365 70.620 72.2817
39.509608 70.407 71.1074
39.795911 70.193 70.1077
40.084289 69.982 69.2871
40.374756 69.779 68.6208
40.667328 69.581 68.0654
40.962020 69.381 67.6125
41.258848 69.171 67.3299
41.557827 68.950 67.3600
41.858972 68.733 67.8789
42.162299 68.559 69.0100
42.467824 68.475 70.7055
42.775564 68.527 72.6632
43.085533 68.725 74.3879
43.397749 69.036 75.4063
43.712227 69.398 75.4748
44.028983 69.748 74.6259
44.348036 70.043 73.0677
44.669400 70.262 71.0637
44.993093 70.401 68.8535
45.319131 70.469 66.6144
45.647532 70.477 64.4576
45.978313 70.438 62.4455
46.311491 70.363 60.6179
46.647083 70.264 59.0067
46.985107 70.153 57.6303
47.325581 70.044 56.4716
47.668521 69.951 55.4648
48.013947 69.876 54.5182
48.361876 69.814 53.5726
48.712326 69.761 52.6536
49.065315 69.717 51.8672
49.420863 69.705 51.3187
49.778987 69.758 50.9904
50.139706 69.908 50.6727
50.503039 70.162 50.0377
50.869005 70.500 48.8097
51.237623 70.896 46.8795
51.608912 71.332 44.2523
51.982891 71.808 40.8867
52.359580 72.319 36.5815
52.739000 72.839 31.0263
53.121168 73.310 23.9800
53.506106 73.655 15.4216
53.893833 73.801 5.5486
54.284370 73.688 -5.2679
54.677737 73.277 -16.5146
55.073955 72.548 -27.5781
55.473043 71.507 -37.7689
55.875024 70.199 -46.3838
56.279917 68.710 -52.8298
56.687745 67.174 -56.9160
57.098527 65.724 -59.1345
57.512287 64.430 -60.2753
57.929045 63.292 -60.6257
58.348822 62.335 -59.8752
58.771642 61.672 -57.9763
59.197525 61.416 -55.9728
59.626495 61.539 -55.3180
60.058573 61.891 -56.5793
60.493782 62.349 -59.4410
60.932145 62.862 -63.4740
61.373685 63.406 -68.5476
61.818424 63.938 -74.6665
62.266386 64.396 -81.6442
62.717593 64.735 -89.0550
63.172071 64.950 -96.3309
63.629842 65.075 -102.9814
64.090930 65.165 -108.8217
64.555359 65.268 -113.9663
65.023154 65.396 -118.7101
65.494339 65.529 -123.2617
65.968938 65.638 -127.5986
66.446976 65.712 -131.5179
66.928478 65.769 -134.8187
67.413469 65.840 -137.5049
67.901975 65.941 -139.7957
68.394021 66.057 -141.9039
68.889632 66.165 -143.7737
69.388835 66.269 -145.1050
69.891655 66.413 -145.6790
70.398118 66.654 -145.6229
70.908252 67.023 -145.3596
71.422083 67.510 -145.3804
71.939636 68.076 -146.0281
72.460941 68.662 -147.5362
72.986023 69.203 -149.8761
73.514909 69.654 -152.6713
74.047629 70.020 -155.3178
74.584208 70.365 -157.3808
75.124676 70.767 -159.0445
75.669061 71.244 -161.0191
76.217390 71.729 -164.0012
76.769692 72.120 -168.0553
77.325997 72.335 -172.7149
77.886333 72.343 -177.1515
78.450730 72.181 179.4838
79.019216 71.944 177.8721
79.591822 71.779 178.1810
80.168577 71.823 179.9268
80.749512 72.156 -177.7905
81.334656 72.779 -176.0201
81.924040 73.609 -175.7293
82.517696 74.516 -177.4226
83.115653 75.378 179.0015
83.717943 76.122 173.9987
84.324598 76.715 168.0461
84.935649 77.146 161.5056
85.551128 77.416 154.6888
86.171066 77.537 147.9151
86.795497 77.539 141.4715
87.424453 77.469 135.4869
88.057967 77.371 129.8217
88.696071 77.263 124.1211
89.338800 77.124 118.0685
89.986185 76.915 111.6244
90.638262 76.612 104.9586
91.295065 76.210 98.1285
91.956626 75.693 90.9246
92.622982 75.003 83.1879
93.294166 74.052 75.2845
93.970214 72.776 68.2406
94.651161 71.188 63.4810
95.337042 69.414 62.2433
96.027894 67.676 64.6249
96.723752 66.204 69.0439
97.424652 65.072 73.4108
98.130631 64.175 76.7339
98.841726 63.348 79.3664
99.557974 62.511 82.5002
100.279412 61.726 87.1415
101.006078 61.125 92.7791
101.738010 60.739 97.6998
102.475245 60.446 100.9996
103.217823 60.092 103.2320
103.965782 59.627 105.9023
104.719161 59.170 110.5695
105.477999 58.946 116.6403
106.242336 58.978 120.6093
107.012212 58.955 120.1047
107.787666 58.471 116.0007
108.568740 57.235 111.5182
109.355474 55.322 114.4681
110.147909 54.046 150.5691
110.946086 55.350 -163.2191
111.750047 57.962 -152.0619
112.559834 60.438 -150.5800
113.375489 62.526 -152.5317
114.197055 64.244 -156.4993
115.024574 65.641 -161.6357
115.858089 66.753 -167.4925
116.697645 67.597 -173.7861
117.543284 68.191 179.9981
118.395051 68.582 174.4524
119.252990 68.850 170.0085
120.117147 69.103 166.9426
120.987565 69.467 165.0907
121.864291 70.004 163.3460
122.747370 70.653 160.4598
123.636848 71.297 156.1426
124.532771 71.855 150.8292
125.435187 72.307 145.0450
126.344142 72.675 139.2478
127.259684 73.014 133.6378
128.181860 73.373 127.9961
129.110718 73.763 121.8517
130.046308 74.140 114.6654
130.988677 74.414 106.1633
131.937875 74.502 96.8295
132.893951 74.399 87.5384
133.856956 74.160 78.6770
134.826938 73.842 70.0448
135.803950 73.453 60.9976
136.788041 72.894 50.6603
137.779264 71.966 39.3379
138.777669 70.503 29.3620
139.783309 68.518 24.2958
140.796237 66.323 27.8908
141.816504 64.679 41.4071
142.844165 64.339 55.3808
143.879273 64.892 60.5773
144.921881 65.515 60.3135
145.972045 65.934 58.8940
147.029819 66.207 58.0311
148.095257 66.514 58.7797
149.168417 67.103 61.3384
150.249353 68.076 63.3173
151.338121 69.264 62.1413
152.434780 70.429 57.6981
153.539385 71.399 50.4772
154.651995 72.047 41.0957
155.772667 72.317 31.0397
156.901460 72.271 21.8111
158.038432 72.028 13.8332
159.183644 71.666 6.4484
160.337154 71.162 -0.9180
161.499023 70.454 -8.0565
162.669312 69.474 -14.7440
163.848081 68.149 -19.5453
165.035392 66.632 -17.5142
166.231306 65.579 -6.8197
167.435887 65.455 1.5830
168.649196 65.779 3.0259
169.871298 66.005 1.3936
171.102255 65.986 -0.5955
172.342133 65.795 -1.4043
173.590995 65.578 -0.8666
174.848907 65.388 -0.6465
176.115934 65.140 -1.0828
177.392143 64.842 -0.0542
178.677599 64.680 3.3817
179.972371 64.699 5.4553
181.276525 64.585 3.7421
182.590129 64.137 2.8950
183.913252 63.855 10.9879
185.245964 64.660 27.1417
186.588332 66.322 33.6736
187.940428 67.887 29.1599
189.302322 68.915 19.5718
190.674085 69.305 7.7873
192.055788 69.052 -4.1201
