* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.3 dBFS, measurement signal peak level -24.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 10:05:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0451 ms (15 mm, 0.61 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p1-r
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 21.714 43.9738
10.166832 21.774 39.3137
10.240505 21.846 34.5375
10.314712 21.919 29.8269
10.389457 21.982 25.3916
10.464743 21.998 21.3778
10.540575 21.938 17.3766
10.616956 21.825 13.3860
10.693891 21.662 9.5748
10.771383 21.449 6.1793
10.849437 21.182 3.1228
10.928057 20.862 0.2303
11.007246 20.494 -2.3971
11.087009 20.082 -4.5690
11.167350 19.615 -6.0874
11.248273 19.086 -6.9727
11.329783 18.540 -7.1861
11.411883 18.033 -6.6550
11.494578 17.584 -5.1998
11.577873 17.168 -2.4786
11.661771 16.841 1.2698
11.746277 16.690 5.5341
11.831395 16.789 9.8500
11.917130 17.125 14.3559
12.003487 17.621 18.3940
12.090469 18.200 21.4223
12.178081 18.837 23.3304
12.266329 19.557 24.4843
12.355216 20.305 24.9020
12.444747 21.020 24.6192
12.534926 21.683 23.7174
12.625760 22.313 22.3731
12.717251 22.906 20.7187
12.809406 23.459 18.8309
12.902228 23.968 16.6657
12.995723 24.437 14.3145
13.089895 24.872 11.8896
13.184750 25.275 9.4142
13.280292 25.644 6.8039
13.376526 25.984 4.1569
13.473458 26.297 1.5606
13.571093 26.585 -1.0672
13.669434 26.846 -3.7214
13.768489 27.085 -6.3106
13.868261 27.302 -8.8191
13.968756 27.497 -11.3337
14.069979 27.672 -13.7735
14.171936 27.827 -16.0682
14.274632 27.963 -18.3069
14.378072 28.082 -20.4486
14.482261 28.186 -22.4046
14.587206 28.274 -24.2095
14.692910 28.351 -25.8728
14.799381 28.423 -27.3239
14.906624 28.491 -28.5348
15.014643 28.559 -29.5408
15.123446 28.640 -30.3381
15.233036 28.740 -30.8902
15.343421 28.861 -31.2116
15.454606 29.014 -31.4142
15.566596 29.209 -31.5148
15.679398 29.443 -31.4873
15.793018 29.717 -31.5362
15.907460 30.031 -31.7226
16.022732 30.381 -31.9801
16.138840 30.750 -32.4836
16.255788 31.132 -33.2779
16.373585 31.521 -34.2771
16.492234 31.897 -35.5208
16.611744 32.254 -37.0492
16.732119 32.585 -38.7670
16.853367 32.876 -40.5715
16.975494 33.126 -42.5641
17.098505 33.329 -44.5922
17.222408 33.480 -46.4864
17.347209 33.579 -48.3935
17.472914 33.630 -50.0780
17.599530 33.635 -51.4016
17.727063 33.600 -52.4529
17.855521 33.552 -53.0093
17.984909 33.494 -52.9944
18.115235 33.458 -52.4817
18.246506 33.486 -51.4774
18.378727 33.583 -49.9550
18.511907 33.774 -48.3440
18.646052 34.077 -46.7155
18.781169 34.468 -45.2623
18.917265 34.918 -44.3794
19.054347 35.418 -43.9325
19.192423 35.919 -44.0063
19.331499 36.401 -44.6299
19.471583 36.849 -45.5910
19.612682 37.243 -46.7797
19.754804 37.583 -48.1912
19.897956 37.871 -49.4927
20.042144 38.107 -50.7494
20.187378 38.314 -51.7867
20.333664 38.503 -52.4786
20.481010 38.695 -52.9202
20.629424 38.922 -53.0798
20.778913 39.190 -53.0161
20.929486 39.514 -53.0379
21.081150 39.895 -53.0888
21.233912 40.310 -53.4996
21.387782 40.749 -54.2762
21.542767 41.179 -55.4107
21.698874 41.579 -56.9834
21.856113 41.932 -58.7683
22.014492 42.220 -60.7110
22.174018 42.444 -62.6732
22.334700 42.602 -64.3685
22.496546 42.710 -65.8193
22.659566 42.796 -66.6817
22.823766 42.883 -67.0427
22.989157 43.029 -66.8542
23.155745 43.251 -66.2205
23.323542 43.584 -65.5800
23.492554 44.020 -64.9969
23.662790 44.527 -65.0153
23.834261 45.079 -65.5278
24.006973 45.615 -66.7065
24.180938 46.117 -68.3550
24.356163 46.549 -70.2639
24.532658 46.913 -72.2889
24.710431 47.213 -74.0445
24.889493 47.478 -75.4893
25.069853 47.750 -76.2972
25.251519 48.081 -76.6929
25.434502 48.523 -76.6177
25.618811 49.095 -76.7626
25.804456 49.803 -77.2138
25.991445 50.588 -78.7038
26.179790 51.412 -81.0799
26.369500 52.199 -84.6172
26.560584 52.916 -88.9875
26.753053 53.521 -94.1721
26.946917 53.997 -99.7681
27.142185 54.327 -105.8173
27.338869 54.504 -111.7486
27.536977 54.527 -117.6970
27.736522 54.401 -123.0151
27.937512 54.145 -127.7152
28.139959 53.788 -131.2767
28.343872 53.406 -133.5829
28.549264 53.069 -134.3742
28.756143 52.904 -134.0457
28.964522 52.960 -133.1655
29.174411 53.258 -132.5171
29.385821 53.704 -132.9986
29.598763 54.215 -134.6508
29.813248 54.683 -137.5835
30.029287 55.053 -141.2904
30.246891 55.292 -145.6288
30.466073 55.387 -150.0451
30.686842 55.348 -154.2795
30.909212 55.192 -158.1067
31.133193 54.960 -161.1470
31.358797 54.697 -163.3985
31.586035 54.451 -164.7521
31.814921 54.275 -165.4550
32.045465 54.187 -165.7669
32.277680 54.191 -165.9320
32.511577 54.263 -166.2361
32.747169 54.378 -166.6845
32.984469 54.521 -167.2667
33.223488 54.687 -167.8961
33.464239 54.887 -168.5468
33.706735 55.129 -169.2736
33.950987 55.417 -170.1515
34.197010 55.742 -171.3382
34.444816 56.086 -172.8841
34.694417 56.430 -174.7804
34.945827 56.760 -176.9805
35.199059 57.071 -179.3703
35.454126 57.372 178.1049
35.711041 57.669 175.4510
35.969818 57.972 172.6317
36.230470 58.279 169.5233
36.493011 58.574 166.0408
36.757455 58.836 162.1680
37.023814 59.042 157.9314
37.292104 59.170 153.4510
37.562338 59.212 148.9652
37.834530 59.174 144.6794
38.108695 59.078 140.7637
38.384846 58.957 137.3410
38.662999 58.855 134.4133
38.943167 58.807 131.7751
39.225365 58.824 129.1457
39.509608 58.892 126.3022
39.795911 58.987 123.1343
40.084289 59.084 119.6620
40.374756 59.178 116.0063
40.667328 59.284 112.2851
40.962020 59.437 108.4490
41.258848 59.663 104.2416
41.557827 59.963 99.2883
41.858972 60.306 93.2399
42.162299 60.638 85.8863
42.467824 60.898 77.1915
42.775564 61.036 67.2626
43.085533 61.018 56.2959
43.397749 60.826 44.5301
43.712227 60.457 32.2170
44.028983 59.926 19.5768
44.348036 59.260 6.7853
44.669400 58.500 -6.0278
44.993093 57.700 -18.7808
45.319131 56.916 -31.4315
45.647532 56.200 -43.9360
45.978313 55.584 -56.1865
46.311491 55.083 -67.9606
46.647083 54.699 -78.9291
46.985107 54.443 -88.7476
47.325581 54.338 -97.2099
47.668521 54.405 -104.3799
48.013947 54.638 -110.5779
48.361876 54.990 -116.1648
48.712326 55.393 -121.2769
49.065315 55.810 -125.7380
49.420863 56.255 -129.2238
49.778987 56.798 -131.5819
50.139706 57.516 -133.1119
50.503039 58.434 -134.4994
50.869005 59.514 -136.3981
51.237623 60.697 -139.1025
51.608912 61.948 -142.6479
51.982891 63.255 -147.1233
52.359580 64.596 -152.8141
52.739000 65.914 -160.0578
53.121168 67.129 -169.0045
53.506106 68.160 -179.5185
53.893833 68.946 168.7322
54.284370 69.444 156.1846
54.677737 69.631 143.3467
55.073955 69.507 130.7593
55.473043 69.088 118.9717
55.875024 68.415 108.4955
56.279917 67.555 99.7150
56.687745 66.595 92.8166
57.098527 65.624 87.6406
57.512287 64.695 83.7911
57.929045 63.825 80.9717
58.348822 63.017 79.1672
58.771642 62.307 78.4396
59.197525 61.752 78.5873
59.626495 61.388 79.0629
60.058573 61.204 79.3123
60.493782 61.155 79.0459
60.932145 61.205 78.1695
61.373685 61.326 76.5458
61.818424 61.475 73.9843
62.266386 61.594 70.4532
62.717593 61.630 66.1669
63.172071 61.560 61.5102
63.629842 61.394 56.8668
64.090930 61.166 52.4440
64.555359 60.918 48.2535
65.023154 60.684 44.1051
65.494339 60.477 39.6978
65.968938 60.279 34.7111
66.446976 60.049 28.9760
66.928478 59.743 22.5604
67.413469 59.334 15.7183
67.901975 58.832 8.6859
68.394021 58.278 1.4917
68.889632 57.717 -6.2007
69.388835 57.171 -14.9804
69.891655 56.632 -25.4088
70.398118 56.095 -37.9550
70.908252 55.583 -53.1865
71.422083 55.141 -71.7668
71.939636 54.790 -94.3201
72.460941 54.490 -120.6346
72.986023 54.137 -149.8633
73.514909 53.590 179.4491
74.047629 52.737 147.7144
74.584208 51.599 113.2378
75.124676 50.592 70.4395
75.669061 50.675 13.8889
76.217390 52.319 -34.6205
76.769692 54.706 -65.3093
77.325997 57.102 -86.7889
77.886333 59.277 -103.9895
78.450730 61.220 -119.0447
79.019216 62.940 -133.1523
79.591822 64.418 -147.1178
80.168577 65.610 -161.1987
80.749512 66.496 -175.2086
81.334656 67.096 171.2599
81.924040 67.454 158.3879
82.517696 67.590 146.0031
83.115653 67.471 133.9397
83.717943 67.030 122.5106
84.324598 66.227 112.7098
84.935649 65.109 105.9611
85.551128 63.853 103.7804
86.171066 62.808 106.9222
86.795497 62.399 113.8164
87.424453 62.794 120.5548
88.057967 63.752 124.4202
88.696071 64.974 125.3022
89.338800 66.297 123.7128
89.986185 67.627 119.7292
90.638262 68.875 113.3138
91.295065 69.956 104.5890
91.956626 70.794 93.7773
92.622982 71.311 81.2135
93.294166 71.431 67.4675
93.970214 71.104 53.3981
94.651161 70.314 40.0826
95.337042 69.093 28.6716
96.027894 67.524 20.1874
96.723752 65.735 15.3569
97.424652 63.899 14.5988
98.130631 62.246 17.8491
98.841726 61.042 23.8490
99.557974 60.434 30.2596
100.279412 60.353 35.2939
101.006078 60.621 38.2119
101.738010 61.044 38.5437
102.475245 61.423 36.0350
103.217823 61.575 31.2976
103.965782 61.406 25.8737
104.719161 60.952 21.4604
105.477999 60.367 19.0664
106.242336 59.863 18.7207
107.012212 59.638 19.4237
107.787666 59.742 18.8776
108.568740 59.971 14.9896
109.355474 60.034 8.0122
110.147909 59.781 -0.2312
110.946086 59.258 -8.2086
111.750047 58.611 -15.9390
112.559834 57.928 -24.8645
113.375489 57.168 -36.3744
114.197055 56.245 -51.1156
115.024574 55.151 -69.7444
115.858089 53.992 -93.1782
116.697645 52.988 -121.0154
117.543284 52.420 -148.9769
118.395051 52.429 -171.6656
119.252990 52.879 172.4730
120.117147 53.602 162.7578
120.987565 54.639 158.3221
121.864291 56.039 156.3824
122.747370 57.610 153.2019
123.636848 59.081 147.5653
124.532771 60.310 140.3862
125.435187 61.277 132.7015
126.344142 61.999 125.0483
127.259684 62.495 117.7190
128.181860 62.790 111.1187
129.110718 62.949 105.8347
130.046308 63.089 102.2214
130.988677 63.312 99.4636
131.937875 63.584 96.0852
132.893951 63.781 91.8195
133.856956 63.827 87.4817
134.826938 63.723 83.8669
135.803950 63.527 81.6080
136.788041 63.372 81.4286
137.779264 63.468 83.5621
138.777669 63.953 86.0685
139.783309 64.687 86.0402
140.796237 65.392 82.9982
141.816504 65.893 78.3198
142.844165 66.137 73.1207
143.879273 66.114 68.1697
144.921881 65.880 64.9270
145.972045 65.646 64.9219
147.029819 65.727 67.8580
148.095257 66.319 71.4546
149.168417 67.348 73.2024
150.249353 68.557 71.5303
151.338121 69.687 66.2870
152.434780 70.590 58.6968
153.539385 71.241 49.9629
154.651995 71.646 40.4830
155.772667 71.805 30.6460
156.901460 71.744 21.0571
158.038432 71.516 11.8981
159.183644 71.163 2.9854
160.337154 70.695 -6.0314
161.499023 70.072 -15.6663
162.669312 69.199 -26.1505
163.848081 67.936 -37.0356
165.035392 66.154 -46.5695
166.231306 63.817 -51.6675
167.435887 61.072 -49.0796
168.649196 58.406 -34.4681
169.871298 56.930 -8.4983
171.102255 57.325 10.1248
172.342133 58.745 18.9606
173.590995 60.383 21.8466
174.848907 61.817 18.2577
176.115934 62.816 9.9908
177.392143 63.327 -0.7312
