* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.8 dBFS, measurement signal peak level -23.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 10:06:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -3.8215 ms (-1.311 m, -(4 ft 3.6 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p1-rl
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 23.679 -40.1575
10.166832 23.629 -45.6921
10.240505 23.567 -51.6030
10.314712 23.502 -57.6161
10.389457 23.424 -63.4164
10.464743 23.286 -68.8067
10.540575 23.056 -74.4994
10.616956 22.752 -80.5041
10.693891 22.358 -86.5159
10.771383 21.863 -92.0771
10.849437 21.294 -97.4854
10.928057 20.637 -103.2653
11.007246 19.810 -109.2445
11.087009 18.703 -114.8993
11.167350 17.146 -119.7676
11.248273 15.111 -124.5125
11.329783 12.944 -129.0751
11.411883 11.148 -132.4421
11.494578 10.137 -130.3522
11.577873 9.831 -99.4975
11.661771 10.110 -19.5813
11.746277 10.932 -5.9007
11.831395 12.370 -6.9801
11.917130 14.417 -11.3378
12.003487 16.613 -16.3713
12.090469 18.500 -21.5980
12.178081 19.861 -27.4776
12.266329 20.866 -34.1655
12.355216 21.651 -40.8108
12.444747 22.320 -47.0956
12.534926 22.894 -53.7224
12.625760 23.343 -60.9574
12.717251 23.684 -68.0926
12.809406 23.939 -74.7673
12.902228 24.104 -81.9875
12.995723 24.175 -89.6576
13.089895 24.154 -97.1118
13.184750 24.045 -104.2416
13.280292 23.845 -112.1393
13.376526 23.545 -120.3651
13.473458 23.134 -128.1715
13.571093 22.615 -136.3362
13.669434 21.978 -145.4274
13.768489 21.199 -154.8297
13.868261 20.239 -164.2030
13.968756 19.100 -175.3083
14.069979 17.896 171.5354
14.171936 16.724 156.9052
14.274632 15.522 137.7267
14.378072 14.539 111.3961
14.482261 14.210 82.5750
14.587206 14.756 55.1909
14.692910 15.831 32.4070
14.799381 16.971 16.3323
14.906624 18.018 3.8423
15.014643 19.028 -7.2134
15.123446 19.908 -16.1587
15.233036 20.592 -23.5676
15.343421 21.116 -30.6426
15.454606 21.522 -36.7332
15.566596 21.828 -41.6523
15.679398 22.035 -46.1250
15.793018 22.194 -49.8965
15.907460 22.333 -52.6738
16.022732 22.455 -54.7592
16.138840 22.617 -56.4397
16.255788 22.851 -57.6187
16.373585 23.150 -58.3854
16.492234 23.511 -59.4289
16.611744 23.945 -60.7303
16.732119 24.422 -62.2619
16.853367 24.893 -64.4475
16.975494 25.351 -67.2524
17.098505 25.771 -70.4656
17.222408 26.117 -74.1400
17.347209 26.389 -78.4210
17.472914 26.569 -82.8972
17.599530 26.644 -87.6104
17.727063 26.610 -92.7745
17.855521 26.454 -97.7974
17.984909 26.171 -103.0449
18.115235 25.747 -108.4191
18.246506 25.166 -113.3843
18.378727 24.420 -118.4233
18.511907 23.471 -123.0587
18.646052 22.299 -126.9088
18.781169 20.875 -129.9838
18.917265 19.106 -131.2916
19.054347 17.003 -129.1637
19.192423 15.084 -121.9674
19.331499 13.694 -105.4757
19.471583 13.112 -83.0063
19.612682 13.725 -67.5396
19.754804 15.150 -60.4848
19.897956 16.393 -58.8558
20.042144 17.248 -61.0139
20.187378 17.750 -64.5795
20.333664 17.880 -69.5543
20.481010 17.623 -75.6777
20.629424 16.949 -82.0475
20.778913 15.823 -90.2760
20.929486 14.098 -99.1428
21.081150 11.837 -113.5826
21.233912 10.785 -149.1057
21.387782 11.995 108.9294
21.542767 14.310 80.6547
21.698874 16.950 67.0161
21.856113 19.421 57.2125
22.014492 21.286 48.2640
22.174018 22.725 39.9808
22.334700 23.861 32.1138
22.496546 24.716 24.3616
22.659566 25.340 17.1850
22.823766 25.742 10.0499
22.989157 25.946 3.7320
23.155745 25.958 -2.3203
23.323542 25.799 -7.2524
23.492554 25.483 -11.3967
23.662790 25.054 -14.0364
23.834261 24.556 -15.1436
24.006973 24.096 -14.5006
24.180938 23.737 -11.9960
24.356163 23.594 -8.3619
24.532658 23.669 -3.7987
24.710431 23.941 0.8438
24.889493 24.386 5.6862
25.069853 24.977 10.7990
25.251519 25.777 16.1887
25.434502 26.843 21.8044
25.618811 28.175 26.3423
25.804456 29.741 29.6036
25.991445 31.388 30.3425
26.179790 33.035 29.3306
26.369500 34.570 26.2550
26.560584 35.961 21.9988
26.753053 37.174 16.5739
26.946917 38.201 10.6212
27.142185 39.035 4.0778
27.338869 39.679 -2.4262
27.536977 40.133 -9.0657
27.736522 40.404 -15.2130
27.937512 40.505 -20.9007
28.139959 40.453 -25.7230
28.343872 40.295 -29.4078
28.549264 40.081 -31.7623
28.756143 39.914 -32.6606
28.964522 39.870 -32.4343
29.174411 40.024 -31.4880
29.385821 40.360 -30.8959
29.598763 40.829 -30.9727
29.813248 41.328 -32.2050
30.029287 41.780 -34.3015
30.246891 42.138 -37.1316
30.466073 42.374 -40.2234
30.686842 42.496 -43.2878
30.909212 42.520 -46.1174
31.133193 42.486 -48.4445
31.358797 42.431 -50.3564
31.586035 42.382 -51.8798
31.814921 42.353 -53.3226
32.045465 42.322 -54.8134
32.277680 42.258 -56.4449
32.511577 42.114 -58.0859
32.747169 41.869 -59.2904
32.984469 41.532 -59.6461
33.223488 41.162 -58.4186
33.464239 40.920 -55.2677
33.706735 40.961 -50.6166
33.950987 41.397 -45.6094
34.197010 42.159 -42.1039
34.444816 43.066 -40.7800
34.694417 43.967 -41.4329
34.945827 44.752 -43.5894
35.199059 45.386 -46.4860
35.454126 45.885 -49.5862
35.711041 46.281 -52.5708
35.969818 46.623 -55.2010
36.230470 46.965 -57.5036
36.493011 47.333 -59.7440
36.757455 47.725 -62.1729
37.023814 48.116 -65.0043
37.292104 48.463 -68.3446
37.562338 48.726 -72.0446
37.834530 48.882 -75.8466
38.108695 48.930 -79.4830
38.384846 48.888 -82.6787
38.662999 48.794 -85.2025
38.943167 48.700 -87.0225
39.225365 48.648 -88.3284
39.509608 48.655 -89.4015
39.795911 48.712 -90.5050
40.084289 48.793 -91.7819
40.374756 48.870 -93.1978
40.667328 48.939 -94.5887
40.962020 49.019 -95.8360
41.258848 49.138 -97.0052
41.557827 49.314 -98.3470
41.858972 49.533 -100.1882
42.162299 49.754 -102.7746
42.467824 49.916 -106.1562
42.775564 49.964 -110.1657
43.085533 49.859 -114.4661
43.397749 49.584 -118.6200
43.712227 49.153 -122.1649
44.028983 48.602 -124.7078
44.348036 47.995 -126.0167
44.669400 47.399 -126.1025
44.993093 46.869 -125.2175
45.319131 46.427 -123.7083
45.647532 46.069 -121.8102
45.978313 45.788 -119.5742
46.311491 45.591 -116.9827
46.647083 45.497 -114.1249
46.985107 45.515 -111.2474
47.325581 45.629 -108.6211
47.668521 45.811 -106.3737
48.013947 46.034 -104.4642
48.361876 46.289 -102.8032
48.712326 46.575 -101.3764
49.065315 46.887 -100.2516
49.420863 47.208 -99.4734
49.778987 47.521 -98.9601
50.139706 47.823 -98.5098
50.503039 48.136 -97.9241
50.869005 48.499 -97.1658
51.237623 48.950 -96.4487
51.608912 49.496 -96.1735
51.982891 50.111 -96.7477
52.359580 50.746 -98.4434
52.739000 51.344 -101.3704
53.121168 51.846 -105.5075
53.506106 52.197 -110.7190
53.893833 52.344 -116.7618
54.284370 52.239 -123.2604
54.677737 51.850 -129.6732
55.073955 51.165 -135.2861
55.473043 50.211 -139.2321
55.875024 49.075 -140.6128
56.279917 47.920 -138.8083
56.687745 46.958 -134.0889
57.098527 46.360 -127.8204
57.512287 46.163 -121.5868
57.929045 46.294 -116.3922
58.348822 46.645 -112.7719
58.771642 47.095 -110.9929
59.197525 47.529 -110.9893
59.626495 47.866 -112.4246
60.058573 48.062 -114.9473
60.493782 48.087 -118.3580
60.932145 47.899 -122.6088
61.373685 47.431 -127.6591
61.818424 46.581 -133.2114
62.266386 45.226 -138.4824
62.717593 43.246 -141.9082
63.172071 40.625 -139.3389
63.629842 38.071 -114.6391
64.090930 37.823 -50.5562
64.555359 40.159 -23.6799
65.023154 42.944 -15.0333
65.494339 45.426 -12.1895
65.968938 47.497 -12.6052
66.446976 49.180 -14.6259
66.928478 50.579 -16.8331
67.413469 51.833 -18.6166
67.901975 53.028 -20.4563
68.394021 54.135 -23.2186
68.889632 55.066 -26.9911
69.388835 55.784 -30.9257
69.891655 56.355 -33.9959
70.398118 56.924 -35.7933
70.908252 57.587 -37.0200
71.422083 58.318 -38.7509
71.939636 59.039 -41.2200
72.460941 59.717 -43.9676
72.986023 60.381 -46.7285
73.514909 61.050 -49.8549
74.047629 61.673 -53.8505
74.584208 62.167 -58.7344
75.124676 62.478 -63.9480
75.669061 62.607 -68.8849
76.217390 62.590 -73.1425
76.769692 62.458 -76.5494
77.325997 62.247 -78.8233
77.886333 62.030 -79.4960
78.450730 61.934 -78.5027
79.019216 62.058 -76.7172
79.591822 62.384 -75.4337
80.168577 62.814 -75.0475
80.749512 63.291 -75.1411
81.334656 63.828 -75.3767
81.924040 64.442 -76.0737
82.517696 65.094 -77.7903
83.115653 65.705 -80.7188
83.717943 66.208 -84.5427
84.324598 66.582 -88.6977
84.935649 66.848 -92.7365
85.551128 67.041 -96.5157
86.171066 67.184 -100.1174
86.795497 67.280 -103.5170
87.424453 67.355 -106.3915
88.057967 67.483 -108.5159
88.696071 67.738 -110.3842
89.338800 68.112 -113.0470
89.986185 68.502 -117.1445
90.638262 68.800 -122.4662
91.295065 68.956 -128.3745
91.956626 68.979 -134.3262
92.622982 68.905 -140.1123
93.294166 68.765 -145.8435
93.970214 68.562 -151.7363
94.651161 68.279 -157.8591
95.337042 67.900 -164.0859
96.027894 67.426 -170.2915
96.723752 66.868 -176.5249
97.424652 66.219 177.0415
98.130631 65.457 170.2952
98.841726 64.552 163.2695
99.557974 63.482 156.0464
100.279412 62.236 148.5994
101.006078 60.800 140.7970
101.738010 59.176 132.4047
102.475245 57.408 122.5388
103.217823 55.579 108.9282
103.965782 53.787 88.4696
104.719161 52.204 59.7960
105.477999 51.195 28.9836
106.242336 51.160 7.2051
107.012212 52.147 -3.0540
107.787666 53.790 -6.8013
108.568740 55.635 -9.2870
109.355474 57.402 -12.3635
110.147909 59.012 -15.7379
110.946086 60.481 -19.1929
111.750047 61.818 -22.9189
112.559834 63.013 -27.0577
113.375489 64.046 -31.6595
114.197055 64.900 -36.4680
115.024574 65.607 -40.8074
115.858089 66.256 -44.1869
116.697645 66.935 -46.9292
117.543284 67.657 -49.9460
118.395051 68.353 -53.9047
119.252990 68.941 -58.7350
120.117147 69.382 -63.8214
120.987565 69.703 -68.5341
121.864291 69.965 -72.6151
122.747370 70.224 -76.2262
123.636848 70.505 -79.8429
124.532771 70.781 -83.9370
125.435187 71.012 -88.5155
126.344142 71.182 -93.4138
127.259684 71.273 -98.9045
128.181860 71.233 -105.1499
129.110718 71.017 -111.8412
130.046308 70.593 -118.9058
130.988677 69.896 -126.3368
131.937875 68.852 -133.3958
132.893951 67.424 -138.9631
133.856956 65.611 -142.1421
134.826938 63.422 -141.6659
135.803950 60.975 -135.1007
136.788041 59.000 -114.7109
137.779264 59.417 -63.7484
138.777669 62.063 -35.0771
139.783309 64.852 -31.7621
140.796237 67.096 -35.5768
141.816504 68.781 -41.7319
142.844165 70.002 -48.5427
143.879273 70.857 -55.1603
144.921881 71.434 -61.1772
145.972045 71.822 -66.1750
147.029819 72.120 -70.0441
148.095257 72.391 -73.4065
149.168417 72.636 -76.7244
150.249353 72.866 -79.7179
151.338121 73.114 -82.6359
152.434780 73.340 -86.4956
153.539385 73.415 -91.7770
154.651995 73.207 -97.7983
155.772667 72.671 -102.7191
156.901460 71.923 -104.6375
158.038432 71.174 -103.6603
159.183644 70.545 -101.6257
160.337154 70.046 -98.4663
161.499023 69.814 -92.3776
162.669312 70.086 -84.4783
163.848081 70.838 -78.5526
