* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.2 dBFS, measurement signal peak level -23.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 10:07:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -4.2726 ms (-1.466 m, -(4 ft 9.7 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p1-rr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 13.918 -61.7419
10.166832 14.090 -65.6814
10.240505 14.299 -69.6403
10.314712 14.512 -73.4061
10.389457 14.714 -76.7631
10.464743 14.857 -79.5715
10.540575 14.902 -82.2113
10.616956 14.885 -84.6588
10.693891 14.824 -86.7386
10.771383 14.728 -88.2263
10.849437 14.579 -89.1071
10.928057 14.384 -89.4864
11.007246 14.186 -89.3250
11.087009 14.032 -88.5751
11.167350 13.935 -87.1013
11.248273 13.877 -84.8170
11.329783 13.887 -82.0396
11.411883 14.003 -79.1848
11.494578 14.263 -76.4955
11.577873 14.662 -73.7329
11.661771 15.150 -71.3143
11.746277 15.673 -69.6016
11.831395 16.211 -68.7166
11.917130 16.783 -68.3427
12.003487 17.359 -68.4652
12.090469 17.897 -69.0907
12.178081 18.376 -70.2464
12.266329 18.808 -71.8514
12.355216 19.190 -73.7245
12.444747 19.511 -75.7388
12.534926 19.767 -78.0078
12.625760 19.959 -80.5774
12.717251 20.088 -83.2208
12.809406 20.152 -85.7614
12.902228 20.149 -88.4540
12.995723 20.079 -91.2654
13.089895 19.940 -93.9629
13.184750 19.733 -96.4201
13.280292 19.454 -98.8869
13.376526 19.107 -101.2363
13.473458 18.693 -103.2335
13.571093 18.204 -104.8469
13.669434 17.650 -106.1174
13.768489 17.054 -106.9413
13.868261 16.418 -107.1014
13.968756 15.740 -106.4115
14.069979 15.083 -104.9835
14.171936 14.513 -102.9808
14.274632 14.026 -100.0192
14.378072 13.644 -96.4745
14.482261 13.413 -93.1198
14.587206 13.363 -90.0495
14.692910 13.444 -87.4394
14.799381 13.578 -85.7461
14.906624 13.740 -85.1464
15.014643 13.924 -85.4475
15.123446 14.068 -86.4754
15.233036 14.137 -88.3002
15.343421 14.137 -90.9645
15.454606 14.052 -94.0470
15.566596 13.868 -97.5422
15.679398 13.583 -101.7842
15.793018 13.183 -106.2844
15.907460 12.663 -110.9823
16.022732 12.015 -116.3900
16.138840 11.203 -121.9694
16.255788 10.222 -127.6494
16.373585 9.035 -134.0573
16.492234 7.486 -140.5270
16.611744 5.358 -147.0132
16.732119 2.929 -154.2972
16.853367 0.857 -161.2521
16.975494 -0.599 -165.1745
17.098505 -0.967 -0.4865
17.222408 0.466 -6.9837
17.347209 3.287 -15.2897
17.472914 6.050 -23.1918
17.599530 8.011 -31.7286
17.727063 9.493 -40.5427
17.855521 10.713 -48.8145
17.984909 11.715 -57.6856
18.115235 12.510 -66.3863
18.246506 13.136 -74.6032
18.378727 13.587 -83.3595
18.511907 13.859 -91.4268
18.646052 13.953 -99.4721
18.781169 13.845 -107.5631
18.917265 13.506 -114.6125
19.054347 12.920 -121.8213
19.192423 11.984 -127.9587
19.331499 10.615 -132.6113
19.471583 8.878 -135.4240
19.612682 6.746 -132.3083
19.754804 4.575 -114.6864
19.897956 4.225 -78.0416
20.042144 6.229 -51.9935
20.187378 8.656 -44.0954
20.333664 10.544 -44.1472
20.481010 12.014 -46.4686
20.629424 12.965 -49.1636
20.778913 13.440 -52.4145
20.929486 13.536 -53.7111
21.081150 13.296 -53.5995
21.233912 13.022 -50.0566
21.387782 12.862 -41.7785
21.542767 13.245 -30.8281
21.698874 14.457 -19.8806
21.856113 16.058 -12.7966
22.014492 17.674 -10.4466
22.174018 19.172 -10.7372
22.334700 20.341 -13.2930
22.496546 21.189 -16.9258
22.659566 21.698 -20.8227
22.823766 21.860 -25.0406
22.989157 21.654 -27.9923
23.155745 21.092 -29.9473
23.323542 20.219 -28.2957
23.492554 19.277 -21.7547
23.662790 19.035 -8.2764
23.834261 19.678 9.1187
24.006973 21.176 21.0854
24.180938 23.093 27.0464
24.356163 24.743 28.1113
24.532658 26.091 26.9632
24.710431 27.091 24.8955
24.889493 27.796 22.7832
25.069853 28.274 21.6315
25.251519 28.657 21.7528
25.434502 29.082 23.8652
25.618811 29.739 27.0194
25.804456 30.728 30.8119
25.991445 31.970 32.8570
26.179790 33.371 33.2178
26.369500 34.729 31.0224
26.560584 35.974 27.2421
26.753053 37.025 21.8993
26.946917 37.868 15.8402
27.142185 38.488 8.9895
27.338869 38.882 2.2265
27.536977 39.049 -4.6890
27.736522 38.997 -10.8150
27.937512 38.747 -16.1724
28.139959 38.333 -19.9473
28.343872 37.874 -21.8036
28.549264 37.495 -21.2354
28.756143 37.438 -18.8911
28.964522 37.773 -16.0522
29.174411 38.488 -14.2895
29.385821 39.356 -14.8440
29.598763 40.229 -17.3719
29.813248 40.959 -21.6689
30.029287 41.499 -26.7973
30.246891 41.825 -32.5566
30.466073 41.937 -38.0930
30.686842 41.859 -43.0510
30.909212 41.626 -47.0415
31.133193 41.327 -49.4235
31.358797 41.079 -50.2676
31.586035 40.997 -49.5690
31.814921 41.186 -48.4605
32.045465 41.606 -47.9321
32.277680 42.175 -48.6254
32.511577 42.743 -50.9215
32.747169 43.218 -54.3745
32.984469 43.543 -58.6778
33.223488 43.684 -63.3883
33.464239 43.638 -67.9020
33.706735 43.419 -71.9266
33.950987 43.059 -75.0239
34.197010 42.622 -76.7319
34.444816 42.206 -76.9837
34.694417 41.906 -75.8868
34.945827 41.812 -74.0046
35.199059 41.935 -72.4091
35.454126 42.201 -71.7540
35.711041 42.518 -72.3022
35.969818 42.788 -74.0159
36.230470 42.942 -76.4920
36.493011 42.955 -79.2648
36.757455 42.823 -81.9473
37.023814 42.566 -84.1510
37.292104 42.228 -85.5142
37.562338 41.878 -85.9401
37.834530 41.576 -85.6005
38.108695 41.358 -84.8417
38.384846 41.223 -84.0973
38.662999 41.128 -83.6795
38.943167 41.020 -83.5509
39.225365 40.871 -83.4306
39.509608 40.684 -83.0331
39.795911 40.489 -82.2021
40.084289 40.321 -81.0139
40.374756 40.186 -79.7767
40.667328 40.039 -78.7750
40.962020 39.805 -77.8302
41.258848 39.434 -76.1313
41.557827 38.986 -72.2827
41.858972 38.716 -64.7700
42.162299 39.015 -53.8030
42.467824 40.069 -43.1989
42.775564 41.600 -36.9763
43.085533 43.171 -35.5825
43.397749 44.536 -37.5492
43.712227 45.622 -41.4009
44.028983 46.434 -46.0922
44.348036 47.010 -50.9497
44.669400 47.397 -55.5654
44.993093 47.648 -59.7366
45.319131 47.807 -63.4265
45.647532 47.904 -66.7096
45.978313 47.954 -69.6978
46.311491 47.959 -72.4702
46.647083 47.917 -75.0391
46.985107 47.828 -77.3639
47.325581 47.698 -79.3915
47.668521 47.538 -81.0960
48.013947 47.357 -82.4930
48.361876 47.161 -83.6293
48.712326 46.950 -84.5576
49.065315 46.719 -85.3123
49.420863 46.456 -85.8866
49.778987 46.148 -86.2086
50.139706 45.788 -86.1240
50.503039 45.374 -85.4068
50.869005 44.923 -83.8075
51.237623 44.464 -81.1106
51.608912 44.042 -77.1106
51.982891 43.726 -71.4630
52.359580 43.661 -63.6816
52.739000 44.066 -53.9217
53.121168 45.068 -44.2561
53.506106 46.509 -37.7309
53.893833 48.067 -35.5977
54.284370 49.482 -37.1782
54.677737 50.623 -41.1970
55.073955 51.453 -46.4854
55.473043 51.987 -52.1277
55.875024 52.271 -57.4538
56.279917 52.366 -62.0438
56.687745 52.347 -65.6939
57.098527 52.280 -68.4585
57.512287 52.212 -70.6019
57.929045 52.158 -72.4521
58.348822 52.111 -74.2629
58.771642 52.048 -76.1680
59.197525 51.945 -78.1850
59.626495 51.778 -80.2707
60.058573 51.527 -82.3543
60.493782 51.165 -84.3041
60.932145 50.664 -85.8512
61.373685 50.009 -86.5110
61.818424 49.222 -85.4771
62.266386 48.406 -81.7842
62.717593 47.764 -74.9984
63.172071 47.513 -66.3141
63.629842 47.686 -58.1187
64.090930 48.131 -51.6535
64.555359 48.697 -46.5338
65.023154 49.335 -42.1444
65.494339 50.037 -38.5549
65.968938 50.754 -36.1201
66.446976 51.422 -34.6822
66.928478 52.028 -33.5689
67.413469 52.627 -32.3329
67.901975 53.265 -31.3340
68.394021 53.904 -31.3639
68.889632 54.444 -32.6193
69.388835 54.802 -34.4444
69.891655 54.980 -35.8937
70.398118 55.047 -36.2781
70.908252 55.085 -35.5488
71.422083 55.137 -33.9558
71.939636 55.226 -31.4422
72.460941 55.423 -27.5247
72.986023 55.866 -21.9693
73.514909 56.684 -15.6019
74.047629 57.858 -10.2488
74.584208 59.226 -7.2494
75.124676 60.622 -6.5781
75.669061 61.973 -7.4432
76.217390 63.285 -9.2631
76.769692 64.567 -12.0862
77.325997 65.787 -16.2162
77.886333 66.882 -21.7333
78.450730 67.804 -28.3260
79.019216 68.533 -35.6102
79.591822 69.063 -43.2636
80.168577 69.387 -50.9822
80.749512 69.514 -58.3277
81.334656 69.492 -64.7390
81.924040 69.415 -69.9734
82.517696 69.370 -74.4834
83.115653 69.360 -79.1349
83.717943 69.306 -84.3855
84.324598 69.125 -89.8698
84.935649 68.799 -94.9107
85.551128 68.365 -99.0871
86.171066 67.868 -102.3553
86.795497 67.340 -104.7344
87.424453 66.815 -106.1347
88.057967 66.333 -106.6885
88.696071 65.909 -106.7880
89.338800 65.526 -106.4431
89.986185 65.208 -105.0858
90.638262 65.063 -102.4361
91.295065 65.203 -99.2567
91.956626 65.635 -96.9326
92.622982 66.243 -96.6748
93.294166 66.841 -98.9327
93.970214 67.271 -103.0132
94.651161 67.495 -107.5088
95.337042 67.598 -111.3864
96.027894 67.700 -114.8186
96.723752 67.831 -118.7544
97.424652 67.936 -123.7496
98.130631 67.945 -129.7054
98.841726 67.817 -136.3277
99.557974 67.536 -143.3601
100.279412 67.102 -150.5883
101.006078 66.525 -157.8761
101.738010 65.826 -165.2116
102.475245 65.026 -172.7149
103.217823 64.144 179.3894
103.965782 63.206 170.7968
104.719161 62.259 161.0804
105.477999 61.386 149.6515
106.242336 60.722 135.8506
107.012212 60.430 119.2180
107.787666 60.586 100.1276
108.568740 61.099 80.2706
109.355474 61.812 61.8536
110.147909 62.618 46.1644
110.946086 63.460 33.2026
111.750047 64.281 22.2689
112.559834 65.016 12.6158
113.375489 65.603 3.8458
114.197055 66.018 -3.7959
115.024574 66.317 -9.7149
115.858089 66.614 -13.9353
116.697645 66.969 -17.4240
117.543284 67.341 -21.1754
118.395051 67.635 -25.5442
119.252990 67.761 -30.2751
120.117147 67.670 -34.5515
120.987565 67.398 -37.3042
121.864291 67.057 -37.8016
122.747370 66.798 -36.0479
123.636848 66.760 -32.6553
124.532771 67.027 -28.3589
125.435187 67.585 -24.6799
126.344142 68.266 -23.2612
127.259684 68.923 -23.1116
128.181860 69.603 -22.4448
129.110718 70.396 -21.9163
130.046308 71.252 -22.9512
130.988677 72.062 -25.6856
131.937875 72.735 -29.8908
132.893951 73.191 -35.2147
133.856956 73.380 -40.9225
134.826938 73.298 -46.0272
135.803950 73.012 -49.3927
136.788041 72.686 -50.0316
137.779264 72.545 -48.2145
138.777669 72.704 -46.0239
139.783309 73.070 -45.3072
140.796237 73.475 -46.1691
141.816504 73.816 -47.9568
142.844165 74.072 -49.8735
143.879273 74.306 -51.1940
144.921881 74.599 -52.2214
145.972045 74.960 -53.8837
147.029819 75.322 -56.7739
148.095257 75.574 -61.1588
149.168417 75.599 -66.6587
150.249353 75.332 -72.1272
151.338121 74.801 -76.1011
152.434780 74.131 -77.6765
153.539385 73.496 -76.7485
154.651995 73.070 -73.8426
155.772667 72.910 -71.1588
156.901460 72.849 -70.5460
158.038432 72.697 -70.6182
159.183644 72.493 -68.8307
160.337154 72.473 -64.4753
161.499023 72.844 -59.2649
162.669312 73.563 -56.0762
