* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.8 dBFS, measurement signal peak level -20.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 10:08:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -7.0884 ms (-2.431 m, -(7 ft 11.7 in)) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p1-sr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 58.607 -61.1904
10.166832 58.719 -62.9426
10.240505 58.855 -64.7318
10.314712 58.995 -66.5484
10.389457 59.135 -68.3860
10.464743 59.269 -70.2474
10.540575 59.394 -72.1632
10.616956 59.513 -74.1099
10.693891 59.622 -76.0557
10.771383 59.719 -77.9719
10.849437 59.804 -79.8970
10.928057 59.877 -81.8427
11.007246 59.938 -83.7628
11.087009 59.989 -85.6095
11.167350 60.026 -87.3785
11.248273 60.051 -89.1196
11.329783 60.066 -90.7961
11.411883 60.075 -92.3636
11.494578 60.078 -93.7909
11.577873 60.074 -95.1095
11.661771 60.067 -96.3175
11.746277 60.068 -97.4052
11.831395 60.078 -98.3508
11.917130 60.095 -99.1372
12.003487 60.125 -99.8115
12.090469 60.175 -100.4261
12.178081 60.252 -100.9848
12.266329 60.352 -101.4386
12.355216 60.476 -101.8784
12.444747 60.623 -102.4010
12.534926 60.796 -102.9975
12.625760 60.994 -103.6302
12.717251 61.208 -104.3784
12.809406 61.431 -105.3123
12.902228 61.665 -106.3949
12.995723 61.907 -107.6095
13.089895 62.146 -108.9724
13.184750 62.376 -110.5024
13.280292 62.600 -112.1871
13.376526 62.815 -113.9852
13.473458 63.013 -115.8645
13.571093 63.194 -117.8615
13.669434 63.359 -119.9531
13.768489 63.506 -122.0760
13.868261 63.634 -124.2136
13.968756 63.743 -126.4137
14.069979 63.834 -128.6214
14.171936 63.910 -130.7864
14.274632 63.970 -132.9521
14.378072 64.014 -135.1057
14.482261 64.047 -137.2095
14.587206 64.069 -139.2705
14.692910 64.080 -141.3020
14.799381 64.083 -143.2949
14.906624 64.079 -145.2445
15.014643 64.068 -147.1607
15.123446 64.051 -149.0506
15.233036 64.029 -150.9174
15.343421 64.000 -152.7615
15.454606 63.964 -154.5875
15.566596 63.922 -156.4008
15.679398 63.872 -158.2017
15.793018 63.813 -159.9840
15.907460 63.745 -161.7469
16.022732 63.668 -163.4944
16.138840 63.581 -165.2173
16.255788 63.485 -166.9104
16.373585 63.379 -168.5787
16.492234 63.264 -170.2235
16.611744 63.140 -171.8416
16.732119 63.006 -173.4374
16.853367 62.860 -175.0225
16.975494 62.702 -176.6003
17.098505 62.529 -178.1651
17.222408 62.335 -179.7187
17.347209 62.121 178.7262
17.472914 61.878 177.2180
17.599530 61.601 175.7746
17.727063 61.288 174.3971
17.855521 60.933 173.2037
17.984909 60.532 172.2154
18.115235 60.088 171.5007
18.246506 59.603 171.2036
18.378727 59.080 171.3940
18.511907 58.542 172.1193
18.646052 57.998 173.5299
18.781169 57.470 175.6343
18.917265 56.993 178.2905
19.054347 56.574 -178.4188
19.192423 56.217 -174.7163
19.331499 55.930 -170.7662
19.471583 55.700 -166.4706
19.612682 55.505 -161.7359
19.754804 55.363 -156.5592
19.897956 55.333 -150.3623
20.042144 55.441 -143.3010
20.187378 55.793 -135.6333
20.333664 56.469 -127.8824
20.481010 57.403 -121.1746
20.629424 58.521 -116.3414
20.778913 59.762 -113.2294
20.929486 60.976 -112.1527
21.081150 62.132 -112.4512
21.233912 63.180 -113.9362
21.387782 64.100 -116.3669
21.542767 64.888 -119.3125
21.698874 65.538 -122.7644
21.856113 66.054 -126.3878
22.014492 66.439 -130.0529
22.174018 66.696 -133.6753
22.334700 66.835 -136.9220
22.496546 66.863 -139.8591
22.659566 66.800 -142.0659
22.823766 66.665 -143.5924
22.989157 66.502 -144.1182
23.155745 66.342 -143.6200
23.323542 66.259 -142.1098
23.492554 66.285 -139.6549
23.662790 66.480 -136.7334
23.834261 66.846 -133.6046
24.006973 67.367 -130.8482
24.180938 68.019 -128.6238
24.356163 68.747 -127.1783
24.532658 69.530 -126.4769
24.710431 70.331 -126.5366
24.889493 71.135 -127.2782
25.069853 71.924 -128.6665
25.251519 72.686 -130.6387
25.434502 73.410 -133.1490
25.618811 74.085 -136.1236
25.804456 74.702 -139.5217
25.991445 75.252 -143.2171
26.179790 75.732 -147.1859
26.369500 76.137 -151.2556
26.560584 76.468 -155.4005
26.753053 76.730 -159.4620
26.946917 76.932 -163.3773
27.142185 77.083 -167.0669
27.338869 77.204 -170.4599
27.536977 77.308 -173.5521
27.736522 77.419 -176.3673
27.937512 77.549 -178.9941
28.139959 77.710 178.4738
28.343872 77.899 175.8486
28.549264 78.110 173.0682
28.756143 78.325 169.9777
28.964522 78.524 166.6004
29.174411 78.687 162.8962
29.385821 78.796 158.9951
29.598763 78.839 154.9402
29.813248 78.804 150.8929
30.029287 78.690 147.0240
30.246891 78.502 143.4310
30.466073 78.251 140.3640
30.686842 77.962 137.9144
30.909212 77.663 136.2248
31.133193 77.402 135.2934
31.358797 77.220 134.9734
31.586035 77.146 135.0747
31.814921 77.193 135.1354
32.045465 77.337 134.8653
32.277680 77.546 134.0544
32.511577 77.770 132.5912
32.747169 77.970 130.6021
32.984469 78.121 128.2139
33.223488 78.205 125.6365
33.464239 78.223 123.1369
33.706735 78.190 120.8709
33.950987 78.129 119.0047
34.197010 78.078 117.6238
34.444816 78.075 116.6233
34.694417 78.148 115.8236
34.945827 78.312 114.9406
35.199059 78.553 113.5977
35.454126 78.836 111.5949
35.711041 79.122 108.8513
35.969818 79.371 105.3666
36.230470 79.546 101.2827
36.493011 79.627 96.8039
36.757455 79.603 92.1189
37.023814 79.472 87.4240
37.292104 79.241 82.9451
37.562338 78.929 78.8665
37.834530 78.563 75.2798
38.108695 78.172 72.2210
38.384846 77.784 69.6480
38.662999 77.418 67.4239
38.943167 77.082 65.3652
39.225365 76.769 63.3572
39.509608 76.465 61.3610
39.795911 76.161 59.4045
40.084289 75.856 57.5572
40.374756 75.559 55.8810
40.667328 75.286 54.3653
40.962020 75.050 52.8979
41.258848 74.853 51.3083
41.557827 74.683 49.4284
41.858972 74.517 47.1490
42.162299 74.323 44.4517
42.467824 74.073 41.4122
42.775564 73.744 38.1841
43.085533 73.321 34.9763
43.397749 72.802 32.0290
43.712227 72.199 29.5802
44.028983 71.536 27.8204
44.348036 70.847 26.8453
44.669400 70.169 26.6260
44.993093 69.531 27.0255
45.319131 68.948 27.8728
45.647532 68.427 29.0403
45.978313 67.969 30.4538
46.311491 67.584 32.0286
46.647083 67.277 33.6066
46.985107 67.040 34.9820
47.325581 66.851 36.0090
47.668521 66.682 36.6847
48.013947 66.515 37.1238
48.361876 66.345 37.4570
48.712326 66.181 37.7467
49.065315 66.028 37.9921
49.420863 65.887 38.2031
49.778987 65.765 38.4465
50.139706 65.681 38.7865
50.503039 65.663 39.1630
50.869005 65.731 39.3409
51.237623 65.885 39.0158
51.608912 66.103 37.9771
51.982891 66.362 36.1404
52.359580 66.647 33.4228
52.739000 66.940 29.6328
53.121168 67.200 24.5248
53.506106 67.363 17.9787
53.893833 67.351 10.1179
54.284370 67.096 1.3210
54.677737 66.550 -7.8085
55.073955 65.700 -16.5061
55.473043 64.575 -23.9258
55.875024 63.260 -29.3162
56.279917 61.896 -32.3087
56.687745 60.646 -33.2869
57.098527 59.620 -33.1532
57.512287 58.868 -32.4809
57.929045 58.446 -31.4076
58.348822 58.436 -30.4830
58.771642 58.842 -30.9773
59.197525 59.531 -33.8557
59.626495 60.343 -39.0299
60.058573 61.187 -45.8557
60.493782 62.036 -53.7938
60.932145 62.872 -62.6251
61.373685 63.657 -72.2614
61.818424 64.337 -82.5011
62.266386 64.869 -92.9233
62.717593 65.243 -103.0481
63.172071 65.484 -112.4236
63.629842 65.637 -120.7851
64.090930 65.752 -128.1442
64.555359 65.861 -134.7045
65.023154 65.972 -140.7511
65.494339 66.074 -146.5239
65.968938 66.138 -152.1600
66.446976 66.136 -157.6231
66.928478 66.050 -162.7006
67.413469 65.892 -167.1357
67.901975 65.691 -170.8489
68.394021 65.469 -174.0225
68.889632 65.218 -176.8831
69.388835 64.910 -179.4277
69.891655 64.529 178.5980
70.398118 64.082 177.4727
70.908252 63.592 177.4146
71.422083 63.100 178.8250
71.939636 62.703 -177.8168
72.460941 62.542 -172.9319
72.986023 62.657 -168.2241
73.514909 62.929 -164.8699
74.047629 63.247 -162.1259
74.584208 63.642 -158.7769
75.124676 64.216 -155.0107
75.669061 64.964 -152.2338
76.217390 65.767 -151.2670
76.769692 66.515 -151.7009
77.325997 67.170 -152.7578
77.886333 67.762 -153.7173
78.450730 68.369 -154.1632
79.019216 69.073 -154.3540
79.591822 69.879 -155.3213
80.168577 70.700 -157.8175
80.749512 71.442 -161.6512
81.334656 72.074 -166.1726
81.924040 72.615 -171.0910
82.517696 73.066 -176.5801
83.115653 73.393 177.2156
83.717943 73.554 170.5167
84.324598 73.533 163.7775
84.935649 73.347 157.3987
85.551128 73.026 151.6464
86.171066 72.611 146.6341
86.795497 72.144 142.2715
87.424453 71.645 138.2910
88.057967 71.109 134.4005
88.696071 70.500 130.3752
89.338800 69.756 126.1769
89.986185 68.801 122.2372
90.638262 67.587 119.6597
91.295065 66.154 120.2387
91.956626 64.743 126.4605
92.622982 63.892 139.4608
93.294166 64.037 152.7466
93.970214 64.809 158.5543
94.651161 65.552 158.1121
95.337042 65.978 155.3618
96.027894 66.109 152.7756
96.723752 66.065 151.1400
97.424652 65.951 150.2332
98.130631 65.816 149.5853
98.841726 65.662 148.9003
99.557974 65.475 148.1677
100.279412 65.248 147.5254
101.006078 64.986 147.0669
101.738010 64.698 146.8083
102.475245 64.389 146.6681
103.217823 64.048 146.5566
103.965782 63.668 146.7055
104.719161 63.272 147.5090
105.477999 62.905 148.8110
106.242336 62.566 149.9087
107.012212 62.192 150.4279
107.787666 61.707 150.8234
108.568740 61.091 152.2961
109.355474 60.439 156.0811
110.147909 59.928 162.3424
110.946086 59.726 170.0735
111.750047 59.897 177.6965
112.559834 60.371 -176.2408
113.375489 61.007 -172.3030
114.197055 61.664 -170.5541
115.024574 62.230 -170.6334
115.858089 62.651 -171.6754
116.697645 62.933 -172.9380
117.543284 63.115 -174.0091
118.395051 63.242 -174.8231
119.252990 63.335 -175.6896
120.117147 63.384 -176.7722
120.987565 63.376 -177.8451
121.864291 63.327 -178.5898
122.747370 63.268 -178.9014
123.636848 63.239 -178.8494
124.532771 63.282 -178.4579
125.435187 63.441 -178.0028
126.344142 63.729 -178.2354
127.259684 64.085 179.8687
128.181860 64.390 175.7593
129.110718 64.525 169.7632
130.046308 64.410 162.3532
130.988677 63.975 153.8353
131.937875 63.154 145.0223
132.893951 61.921 136.9448
133.856956 60.269 130.2993
134.826938 58.193 126.9067
135.803950 55.838 130.9286
136.788041 53.688 144.1353
137.779264 52.237 155.8199
138.777669 51.182 159.2791
139.783309 49.882 161.4584
140.796237 48.218 169.8218
141.816504 46.608 -174.0422
142.844165 45.914 -148.7999
143.879273 47.027 -110.0631
144.921881 49.330 -90.4184
145.972045 51.723 -84.7170
147.029819 53.875 -83.2745
148.095257 55.669 -86.0732
149.168417 57.023 -92.0023
150.249353 57.958 -98.8157
151.338121 58.555 -105.5679
152.434780 58.864 -112.2876
153.539385 58.939 -118.2532
154.651995 58.852 -123.7090
155.772667 58.558 -130.2784
156.901460 57.912 -137.4293
158.038432 56.864 -142.6711
159.183644 55.520 -144.1362
160.337154 54.068 -141.8656
161.499023 52.673 -136.9127
162.669312 51.574 -126.5607
163.848081 51.251 -110.0388
165.035392 51.816 -97.4197
166.231306 52.713 -93.1437
167.435887 53.484 -93.1214
168.649196 54.079 -93.4968
169.871298 54.656 -92.9625
171.102255 55.335 -93.1252
172.342133 56.063 -95.7803
173.590995 56.699 -101.4553
