* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -30.9 dBFS, measurement signal peak level -19.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 10:07:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.7351 ms (-252 mm, -9.93 in) using IR start time relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p1-srf
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 62.985 -66.4956
10.166832 63.105 -68.2403
10.240505 63.249 -69.9678
10.314712 63.399 -71.6810
10.389457 63.550 -73.3824
10.464743 63.704 -75.0724
10.540575 63.863 -76.7449
10.616956 64.025 -78.4058
10.693891 64.189 -80.0637
10.771383 64.356 -81.7262
10.849437 64.525 -83.3860
10.928057 64.697 -85.0414
11.007246 64.871 -86.7031
11.087009 65.048 -88.3814
11.167350 65.225 -90.0781
11.248273 65.406 -91.7834
11.329783 65.587 -93.5037
11.411883 65.768 -95.2461
11.494578 65.948 -97.0155
11.577873 66.129 -98.8070
11.661771 66.308 -100.6175
11.746277 66.485 -102.4450
11.831395 66.658 -104.2921
11.917130 66.829 -106.1642
12.003487 66.996 -108.0493
12.090469 67.159 -109.9351
12.178081 67.316 -111.8214
12.266329 67.469 -113.7208
12.355216 67.617 -115.6157
12.444747 67.761 -117.4875
12.534926 67.900 -119.3393
12.625760 68.034 -121.1806
12.717251 68.166 -122.9962
12.809406 68.297 -124.7712
12.902228 68.426 -126.5106
12.995723 68.554 -128.2197
13.089895 68.684 -129.8976
13.184750 68.817 -131.5394
13.280292 68.954 -133.1422
13.376526 69.095 -134.7252
13.473458 69.243 -136.3072
13.571093 69.399 -137.8717
13.669434 69.561 -139.4299
13.768489 69.731 -141.0164
13.868261 69.908 -142.6435
13.968756 70.091 -144.2900
14.069979 70.280 -145.9851
14.171936 70.471 -147.7556
14.274632 70.666 -149.5846
14.378072 70.861 -151.4747
14.482261 71.052 -153.4376
14.587206 71.241 -155.4784
14.692910 71.424 -157.5834
14.799381 71.599 -159.7384
14.906624 71.765 -161.9517
15.014643 71.921 -164.2197
15.123446 72.065 -166.5075
15.233036 72.197 -168.8113
15.343421 72.317 -171.1443
15.454606 72.425 -173.4657
15.566596 72.521 -175.7612
15.679398 72.606 -178.0504
15.793018 72.680 179.7000
15.907460 72.745 177.5048
16.022732 72.801 175.3488
16.138840 72.851 173.2507
16.255788 72.896 171.2193
16.373585 72.937 169.2468
16.492234 72.975 167.3370
16.611744 73.013 165.4937
16.732119 73.051 163.7132
16.853367 73.091 161.9896
16.975494 73.133 160.3271
17.098505 73.179 158.7191
17.222408 73.230 157.1573
17.347209 73.287 155.6473
17.472914 73.352 154.1729
17.599530 73.425 152.7283
17.727063 73.507 151.3135
17.855521 73.600 149.8961
17.984909 73.703 148.4827
18.115235 73.818 147.0506
18.246506 73.942 145.5668
18.378727 74.076 144.0431
18.511907 74.216 142.4447
18.646052 74.360 140.7623
18.781169 74.506 139.0014
18.917265 74.649 137.1505
19.054347 74.787 135.2115
19.192423 74.917 133.2134
19.331499 75.035 131.1496
19.471583 75.141 129.0485
19.612682 75.233 126.9478
19.754804 75.312 124.8378
19.897956 75.379 122.7728
20.042144 75.436 120.7497
20.187378 75.485 118.7851
20.333664 75.530 116.8965
20.481010 75.574 115.0714
20.629424 75.620 113.3059
20.778913 75.669 111.5977
20.929486 75.723 109.9153
21.081150 75.782 108.2617
21.233912 75.844 106.6171
21.387782 75.909 104.9745
21.542767 75.974 103.3432
21.698874 76.039 101.7205
21.856113 76.105 100.1213
22.014492 76.170 98.5608
22.174018 76.239 97.0379
22.334700 76.313 95.5654
22.496546 76.395 94.1318
22.659566 76.488 92.7194
22.823766 76.594 91.3194
22.989157 76.711 89.8900
23.155745 76.840 88.4305
23.323542 76.976 86.9136
23.492554 77.118 85.3445
23.662790 77.262 83.7375
23.834261 77.409 82.0975
24.006973 77.559 80.4628
24.180938 77.717 78.8273
24.356163 77.889 77.2029
24.532658 78.079 75.5578
24.710431 78.294 73.8426
24.889493 78.533 71.9976
25.069853 78.796 69.9385
25.251519 79.072 67.6094
25.434502 79.351 64.9532
25.618811 79.619 61.9715
25.804456 79.862 58.6512
25.991445 80.066 55.0846
26.179790 80.224 51.2827
26.369500 80.329 47.4033
26.560584 80.379 43.4749
26.753053 80.377 39.6515
26.946917 80.333 35.9821
27.142185 80.256 32.5560
27.338869 80.166 29.3917
27.536977 80.076 26.5049
27.736522 80.005 23.8099
27.937512 79.962 21.2317
28.139959 79.950 18.6481
28.343872 79.964 15.9170
28.549264 79.994 12.9780
28.756143 80.021 9.7430
28.964522 80.030 6.2383
29.174411 80.004 2.4589
29.385821 79.929 -1.4833
29.598763 79.797 -5.5462
29.813248 79.598 -9.5978
30.029287 79.332 -13.5118
30.246891 79.000 -17.1929
30.466073 78.608 -20.4484
30.686842 78.175 -23.1672
30.909212 77.721 -25.2006
31.133193 77.288 -26.4865
31.358797 76.916 -27.0912
31.586035 76.644 -27.1495
31.814921 76.501 -27.0923
32.045465 76.477 -27.2828
32.277680 76.546 -28.0217
32.511577 76.654 -29.5188
32.747169 76.754 -31.7025
32.984469 76.811 -34.4600
33.223488 76.798 -37.5776
33.464239 76.707 -40.7667
33.706735 76.547 -43.8419
33.950987 76.332 -46.6010
34.197010 76.095 -48.8920
34.444816 75.874 -50.7258
34.694417 75.699 -52.1868
34.945827 75.598 -53.4777
35.199059 75.577 -54.9373
35.454126 75.620 -56.8256
35.711041 75.698 -59.3193
35.969818 75.773 -62.5123
36.230470 75.804 -66.3577
36.493011 75.762 -70.6996
36.757455 75.626 -75.3578
37.023814 75.386 -80.1244
37.292104 75.043 -84.7434
37.562338 74.615 -88.9847
37.834530 74.128 -92.7147
38.108695 73.617 -95.8751
38.384846 73.115 -98.5172
38.662999 72.648 -100.8238
38.943167 72.221 -103.0309
39.225365 71.824 -105.2756
39.509608 71.441 -107.5885
39.795911 71.063 -109.9167
40.084289 70.695 -112.1743
40.374756 70.355 -114.3229
40.667328 70.068 -116.4559
40.962020 69.849 -118.8109
41.258848 69.697 -121.6888
41.557827 69.591 -125.3703
41.858972 69.494 -130.0548
42.162299 69.363 -135.8396
42.467824 69.154 -142.7274
42.775564 68.825 -150.6456
43.085533 68.339 -159.4601
43.397749 67.667 -168.9865
43.712227 66.792 -179.0053
44.028983 65.706 170.6974
44.348036 64.420 160.2867
44.669400 62.962 149.8208
44.993093 61.377 139.1803
45.319131 59.729 128.0272
45.647532 58.090 115.8823
45.978313 56.539 102.3801
46.311491 55.162 87.6657
46.647083 54.056 72.6908
46.985107 53.314 58.9987
47.325581 53.000 47.8972
47.668521 53.112 39.6793
48.013947 53.551 33.6435
48.361876 54.158 28.8647
48.712326 54.789 24.9306
49.065315 55.378 22.0633
49.420863 55.958 20.7640
49.778987 56.640 21.2709
50.139706 57.537 23.0542
50.503039 58.680 24.8716
50.869005 59.994 25.5783
51.237623 61.379 24.7856
51.608912 62.769 22.6964
51.982891 64.149 19.5713
52.359580 65.520 15.3795
52.739000 66.859 9.8110
53.121168 68.108 2.5577
53.506106 69.188 -6.4244
53.893833 70.028 -16.8759
54.284370 70.571 -28.3390
54.677737 70.787 -40.2289
55.073955 70.669 -51.8953
55.473043 70.242 -62.6700
55.875024 69.556 -71.9473
56.279917 68.696 -79.3078
56.687745 67.762 -84.6816
57.098527 66.834 -88.4243
57.512287 65.951 -90.9936
57.929045 65.115 -92.5179
58.348822 64.351 -92.8126
58.771642 63.721 -91.8439
59.197525 63.291 -90.1215
59.626495 63.075 -88.4030
60.058573 63.038 -87.1192
60.493782 63.149 -86.3630
60.932145 63.387 -86.3436
61.373685 63.710 -87.4767
61.818424 64.041 -90.0269
62.266386 64.299 -93.8069
62.717593 64.439 -98.3265
63.172071 64.456 -103.0676
63.629842 64.376 -107.6809
64.090930 64.235 -112.0290
64.555359 64.070 -116.1208
65.023154 63.911 -120.1154
65.494339 63.774 -124.3171
65.968938 63.639 -129.0641
66.446976 63.469 -134.4475
66.928478 63.236 -140.2544
67.413469 62.951 -146.2510
67.901975 62.640 -152.5510
68.394021 62.310 -159.6069
68.889632 61.921 -167.7216
69.388835 61.429 -176.7332
69.891655 60.846 173.6656
70.398118 60.247 163.2805
70.908252 59.705 151.0737
71.422083 59.207 135.6072
71.939636 58.657 115.9514
72.460941 57.953 91.9288
72.986023 57.039 63.6843
73.514909 55.906 31.9993
74.047629 54.558 -2.1421
74.584208 53.011 -38.0135
75.124676 51.380 -76.6711
75.669061 50.139 -122.4248
76.217390 50.209 -174.7476
76.769692 51.806 141.8752
77.325997 54.089 112.0424
77.886333 56.409 90.2084
78.450730 58.580 72.4567
79.019216 60.557 56.5304
79.591822 62.294 40.9203
80.168577 63.728 25.0249
80.749512 64.826 8.9835
81.334656 65.608 -6.7223
81.924040 66.127 -21.8474
82.517696 66.423 -36.6624
83.115653 66.476 -51.6539
83.717943 66.212 -66.9972
84.324598 65.549 -82.2711
84.935649 64.430 -96.7233
85.551128 62.823 -109.5155
86.171066 60.692 -119.5834
86.795497 58.026 -124.4656
87.424453 55.123 -115.8279
88.057967 53.615 -72.7570
88.696071 55.191 -35.2327
89.338800 58.106 -26.6570
89.986185 60.880 -29.7034
90.638262 63.187 -38.7142
91.295065 64.995 -51.2769
91.956626 66.315 -66.1498
92.622982 67.149 -82.6648
93.294166 67.478 -100.2714
93.970214 67.276 -118.2593
94.651161 66.532 -135.6962
95.337042 65.261 -151.5494
96.027894 63.506 -164.9343
96.723752 61.311 -175.1763
97.424652 58.708 179.0874
98.130631 55.843 -177.5394
98.841726 53.428 -156.7577
99.557974 52.732 -131.4883
100.279412 53.576 -122.1027
101.006078 54.748 -122.4327
101.738010 55.706 -127.0751
102.475245 56.323 -134.4033
103.217823 56.537 -143.5333
103.965782 56.324 -153.0059
104.719161 55.743 -161.2953
105.477999 54.905 -167.8418
106.242336 53.903 -172.7671
107.012212 52.829 -175.3778
107.787666 51.878 -175.0137
108.568740 51.248 -174.1332
109.355474 50.869 -176.2716
110.147909 50.482 178.5643
110.946086 49.946 172.3900
111.750047 49.315 166.2827
112.559834 48.714 159.1565
113.375489 48.159 148.8627
114.197055 47.550 134.2554
115.024574 46.784 115.1908
115.858089 45.830 91.8500
116.697645 44.727 65.3740
117.543284 43.630 38.7089
118.395051 42.775 14.9049
119.252990 42.213 -5.3396
120.117147 41.685 -22.2102
120.987565 40.966 -33.9746
121.864291 40.243 -36.7385
122.747370 40.117 -29.6738
123.636848 40.847 -22.8240
124.532771 41.972 -21.6381
125.435187 43.028 -24.6050
126.344142 43.717 -31.2542
127.259684 43.839 -39.6394
128.181860 43.362 -46.2811
129.110718 42.455 -47.9714
130.046308 41.546 -40.1880
130.988677 41.297 -23.3568
131.937875 41.866 -12.0338
132.893951 43.077 -5.4569
133.856956 45.411 10.4398
134.826938 48.866 37.7014
135.803950 52.338 41.7064
136.788041 55.058 28.4604
137.779264 56.817 9.4750
138.777669 57.656 -9.8390
139.783309 57.754 -26.0410
140.796237 57.409 -36.8947
141.816504 57.011 -41.9122
142.844165 56.937 -42.5613
143.879273 57.355 -42.3961
144.921881 58.067 -45.6243
145.972045 58.736 -52.5873
147.029819 59.188 -60.9968
148.095257 59.427 -69.2334
149.168417 59.507 -77.1904
150.249353 59.434 -85.3677
151.338121 59.193 -93.2759
152.434780 58.858 -99.4990
153.539385 58.572 -104.2644
154.651995 58.343 -110.5693
155.772667 57.954 -119.9131
156.901460 57.174 -130.2344
158.038432 55.942 -138.1953
159.183644 54.425 -140.4746
160.337154 53.004 -136.4985
161.499023 52.097 -129.5508
162.669312 51.876 -122.8638
163.848081 52.052 -122.4453
165.035392 52.046 -129.1033
166.231306 51.475 -137.5996
167.435887 50.323 -142.3838
168.649196 48.890 -139.9465
169.871298 47.830 -127.3306
171.102255 48.015 -106.7996
172.342133 49.425 -92.8809
173.590995 51.064 -94.1475
