* Measurement data measured by REW V5.31
* Source: Scarlett 2i4 USB, MICROPHONE, R, volume: no control. Timing signal peak level -31.0 dBFS, measurement signal peak level -25.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -18.0 dBFS using an acoustic timing reference
* Dated: Apr 16, 2024 3:39:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0087 ms (-3.0 mm, -0.12 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: screen-p2-l
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 23.742 -4.9685
10.166832 23.008 -5.1210
10.240505 22.099 -4.4285
10.314712 21.157 -2.3664
10.389457 20.250 1.8542
10.464743 19.594 9.1886
10.540575 19.363 20.7473
10.616956 19.447 35.2531
10.693891 19.824 48.8118
10.771383 20.533 58.1556
10.849437 21.664 63.8644
10.928057 23.118 67.1025
11.007246 24.638 68.3564
11.087009 25.981 68.0667
11.167350 27.055 66.5201
11.248273 27.959 64.1750
11.329783 28.738 61.4165
11.411883 29.415 58.4305
11.494578 29.997 55.1204
11.577873 30.471 51.2459
11.661771 30.846 47.1643
11.746277 31.136 43.1495
11.831395 31.348 39.1557
11.917130 31.474 34.6804
12.003487 31.513 30.0263
12.090469 31.465 25.5497
12.178081 31.334 21.2432
12.266329 31.115 16.5367
12.355216 30.799 11.7053
12.444747 30.372 7.1909
12.534926 29.839 2.9391
12.625760 29.195 -1.5080
12.717251 28.397 -5.8676
12.809406 27.394 -9.5455
12.902228 26.144 -12.4750
12.995723 24.705 -14.6429
13.089895 23.177 -15.4089
13.184750 21.541 -13.1285
13.280292 19.724 -4.7580
13.376526 18.222 11.9604
13.473458 17.837 32.1853
13.571093 18.958 47.8684
13.669434 20.890 55.9788
13.768489 22.778 58.3480
13.868261 24.222 57.0057
13.968756 25.433 53.5697
14.069979 26.468 49.2814
14.171936 27.327 44.4960
14.274632 28.003 38.6408
14.378072 28.530 32.4246
14.482261 28.956 26.4656
14.587206 29.283 20.0870
14.692910 29.511 13.3565
14.799381 29.656 7.0230
14.906624 29.724 0.8952
15.014643 29.713 -5.4543
15.123446 29.631 -11.3426
15.233036 29.478 -16.5191
15.343421 29.257 -21.4936
15.454606 28.994 -25.8167
15.566596 28.692 -28.9935
15.679398 28.365 -31.2399
15.793018 28.102 -32.5679
15.907460 27.958 -32.6409
16.022732 27.939 -31.4417
16.138840 28.115 -29.9767
16.255788 28.544 -28.5215
16.373585 29.175 -27.0991
16.492234 29.903 -26.7894
16.611744 30.702 -27.5382
16.732119 31.535 -28.9931
16.853367 32.315 -31.3307
16.975494 33.028 -34.4911
17.098505 33.665 -38.0510
17.222408 34.204 -41.8904
17.347209 34.645 -46.2253
17.472914 34.985 -50.5535
17.599530 35.219 -54.8379
17.727063 35.348 -59.3078
17.855521 35.371 -63.3639
17.984909 35.287 -67.2327
18.115235 35.101 -70.8177
18.246506 34.820 -73.6179
18.378727 34.448 -75.8211
18.511907 34.029 -77.1731
18.646052 33.577 -77.2873
18.781169 33.153 -76.2623
18.917265 32.859 -74.2753
19.054347 32.713 -71.1402
19.192423 32.754 -67.9009
19.331499 33.013 -64.9005
19.471583 33.411 -62.4726
19.612682 33.862 -61.1474
19.754804 34.342 -60.6743
19.897956 34.773 -60.7937
20.042144 35.133 -61.5558
20.187378 35.420 -62.4148
20.333664 35.625 -63.2112
20.481010 35.776 -63.8561
20.629424 35.908 -63.9292
20.778913 36.045 -63.5636
20.929486 36.253 -62.8033
21.081150 36.551 -61.6245
21.233912 36.955 -60.6731
21.387782 37.473 -59.9451
21.542767 38.052 -59.8636
21.698874 38.661 -60.5689
21.856113 39.257 -61.8834
22.014492 39.795 -63.8904
22.174018 40.262 -66.2875
22.334700 40.635 -68.8761
22.496546 40.917 -71.5780
22.659566 41.112 -73.9445
22.823766 41.235 -76.0643
22.989157 41.320 -77.5036
23.155745 41.394 -78.3626
23.323542 41.516 -78.5817
23.492554 41.709 -78.2536
23.662790 42.008 -77.8299
23.834261 42.403 -77.3735
24.006973 42.862 -77.3939
24.180938 43.357 -77.7854
24.356163 43.832 -78.6370
24.532658 44.275 -79.7434
24.710431 44.664 -80.8304
24.889493 45.021 -81.7554
25.069853 45.373 -82.1744
25.251519 45.777 -82.2220
25.434502 46.284 -81.7768
25.618811 46.927 -81.5326
25.804456 47.718 -81.5555
25.991445 48.604 -82.7158
26.179790 49.541 -84.8294
26.369500 50.450 -88.2969
26.560584 51.293 -92.7185
26.753053 52.023 -98.1412
26.946917 52.619 -104.1085
27.142185 53.064 -110.7054
27.338869 53.349 -117.3328
27.536977 53.469 -124.1805
27.736522 53.424 -130.5876
27.937512 53.222 -136.6007
28.139959 52.879 -141.7270
28.343872 52.444 -145.7141
28.549264 51.973 -148.2473
28.756143 51.588 -149.2808
28.964522 51.383 -149.1969
29.174411 51.440 -148.5792
29.385821 51.722 -148.7368
29.598763 52.153 -149.9592
29.813248 52.597 -152.7397
30.029287 52.960 -156.5862
30.246891 53.183 -161.3763
30.466073 53.223 -166.4480
30.686842 53.075 -171.3761
30.909212 52.744 -175.8360
31.133193 52.268 -179.0363
31.358797 51.727 179.2393
31.586035 51.223 179.4647
31.814921 50.923 -178.7422
32.045465 50.907 -176.2732
32.277680 51.182 -174.1064
32.511577 51.630 -173.2921
32.747169 52.125 -173.7638
32.984469 52.587 -175.2792
33.223488 52.970 -177.3827
33.464239 53.289 -179.5829
33.706735 53.576 178.2767
33.950987 53.870 176.3191
34.197010 54.208 174.3929
34.444816 54.597 172.2442
34.694417 55.024 169.7217
34.945827 55.461 166.6920
35.199059 55.879 163.1927
35.454126 56.266 159.3697
35.711041 56.622 155.3314
35.969818 56.958 151.1850
36.230470 57.293 146.9489
36.493011 57.635 142.5331
36.757455 57.981 137.8592
37.023814 58.317 132.8635
37.292104 58.617 127.5420
37.562338 58.863 122.0670
37.834530 59.050 116.6659
38.108695 59.194 111.5546
38.384846 59.332 106.9227
38.662999 59.520 102.8482
38.943167 59.809 99.1164
39.225365 60.219 95.3397
39.509608 60.729 91.1932
39.795911 61.296 86.5266
40.084289 61.880 81.3901
40.374756 62.468 76.0013
40.667328 63.082 70.6185
40.962020 63.775 65.2932
41.258848 64.592 59.7646
41.557827 65.536 53.5726
41.858972 66.567 46.2812
42.162299 67.610 37.6559
42.467824 68.586 27.7069
42.775564 69.433 16.6315
43.085533 70.110 4.7358
43.397749 70.594 -7.6213
43.712227 70.878 -20.0553
44.028983 70.968 -32.2000
44.348036 70.882 -43.7239
44.669400 70.656 -54.3420
44.993093 70.336 -63.8536
45.319131 69.980 -72.1968
45.647532 69.641 -79.4801
45.978313 69.348 -85.9438
46.311491 69.105 -91.8377
46.647083 68.896 -97.2885
46.985107 68.707 -102.2574
47.325581 68.547 -106.6180
47.668521 68.446 -110.3005
48.013947 68.445 -113.4117
48.361876 68.568 -116.2354
48.712326 68.810 -119.1055
49.065315 69.145 -122.2605
49.420863 69.541 -125.7963
49.778987 69.974 -129.7129
50.139706 70.427 -133.9685
50.503039 70.892 -138.4958
50.869005 71.370 -143.2058
51.237623 71.876 -148.0320
51.608912 72.438 -153.0276
51.982891 73.077 -158.4527
52.359580 73.783 -164.7358
52.739000 74.504 -172.2861
53.121168 75.161 178.7051
53.506106 75.673 168.3284
53.893833 75.972 156.8643
54.284370 76.009 144.7156
54.677737 75.757 132.3788
55.073955 75.206 120.4074
55.473043 74.368 109.3937
55.875024 73.280 99.9225
56.279917 72.014 92.4866
56.687745 70.674 87.3261
57.098527 69.371 84.2109
57.512287 68.176 82.5809
57.929045 67.110 82.0234
58.348822 66.178 82.5109
58.771642 65.421 84.1117
59.197525 64.910 86.5513
59.626495 64.693 89.1279
60.058573 64.759 91.0493
60.493782 65.042 91.6486
60.932145 65.443 90.4700
61.373685 65.844 87.3889
61.818424 66.132 82.6887
62.266386 66.235 77.0280
62.717593 66.138 71.1340
63.172071 65.884 65.6307
63.629842 65.547 60.7752
64.090930 65.198 56.3693
64.555359 64.862 51.9565
65.023154 64.522 47.1849
65.494339 64.141 41.9746
65.968938 63.697 36.4065
66.446976 63.182 30.5258
66.928478 62.599 24.2785
67.413469 61.946 17.5209
67.901975 61.217 10.0414
68.394021 60.408 1.5586
68.889632 59.517 -8.3310
69.388835 58.565 -20.1835
69.891655 57.626 -34.8561
70.398118 56.886 -53.4561
70.908252 56.623 -76.6730
71.422083 57.043 -103.0281
71.939636 58.039 -128.9486
72.460941 59.272 -151.8589
72.986023 60.456 -171.4963
73.514909 61.439 171.7036
74.047629 62.190 157.3387
74.584208 62.748 145.1809
75.124676 63.193 134.9462
75.669061 63.598 126.0532
76.217390 63.992 117.6741
76.769692 64.338 109.0742
77.325997 64.563 99.8965
77.886333 64.596 90.2661
78.450730 64.394 80.5449
79.019216 63.941 71.1252
79.591822 63.236 62.2975
80.168577 62.260 54.1938
80.749512 60.955 47.1465
81.334656 59.239 42.3951
81.924040 57.136 43.4177
82.517696 55.190 57.7078
83.115653 54.783 85.4969
83.717943 56.234 103.3328
84.324598 58.205 108.0408
84.935649 59.961 106.3406
85.551128 61.352 101.5474
86.171066 62.396 95.3989
86.795497 63.179 89.0017
87.424453 63.807 82.8260
88.057967 64.362 76.7632
88.696071 64.881 70.4717
89.338800 65.367 63.6631
89.986185 65.809 56.2318
90.638262 66.218 48.1727
91.295065 66.613 39.1344
91.956626 66.953 28.1506
92.622982 67.080 14.3867
93.294166 66.769 -1.8876
93.970214 65.840 -19.2385
94.651161 64.211 -35.5020
95.337042 61.929 -48.2775
96.027894 59.178 -56.0312
96.723752 56.218 -59.4541
97.424652 53.277 -60.1421
98.130631 50.603 -59.4583
98.841726 48.586 -61.3536
99.557974 47.683 -69.5057
100.279412 48.303 -84.0264
101.006078 50.120 -102.9822
101.738010 52.196 -123.0295
102.475245 53.987 -141.6326
103.217823 55.404 -157.9933
103.965782 56.510 -172.6992
104.719161 57.343 172.9788
105.477999 57.873 158.2026
106.242336 58.065 143.3767
107.012212 57.973 130.0387
107.787666 57.775 119.3912
108.568740 57.593 110.6249
109.355474 57.300 103.0333
110.147909 56.828 99.3875
110.946086 56.514 101.9644
111.750047 56.617 105.6399
112.559834 56.874 107.0112
113.375489 57.123 108.8064
114.197055 57.502 111.9480
115.024574 58.137 115.2445
115.858089 59.006 116.7463
116.697645 59.881 114.6873
117.543284 60.541 110.3051
118.395051 60.990 106.0977
119.252990 61.391 103.2845
120.117147 61.900 101.4088
120.987565 62.538 98.9734
121.864291 63.188 94.9023
122.747370 63.719 89.3826
123.636848 64.066 83.0515
124.532771 64.206 76.2854
125.435187 64.108 69.2313
126.344142 63.723 62.3496
127.259684 63.036 56.8705
128.181860 62.145 54.2500
129.110718 61.256 55.1068
130.046308 60.589 58.3268
130.988677 60.203 61.6206
131.937875 60.029 64.9824
132.893951 60.169 70.3835
133.856956 60.856 77.3220
134.826938 62.032 81.6290
135.803950 63.288 80.3829
136.788041 64.288 75.2178
137.779264 64.975 68.9753
138.777669 65.452 62.9797
139.783309 65.831 57.2566
140.796237 66.177 51.4087
141.816504 66.489 44.7222
142.844165 66.687 36.5830
143.879273 66.648 26.8618
144.921881 66.224 15.9958
145.972045 65.314 6.0403
147.029819 64.033 0.0204
148.095257 62.720 -1.8567
149.168417 61.659 -2.3893
150.249353 60.931 -2.7379
151.338121 60.539 -3.7877
152.434780 60.332 -8.3909
153.539385 59.989 -17.2332
154.651995 59.313 -28.8491
155.772667 58.298 -43.3854
156.901460 57.012 -62.7563
158.038432 55.706 -89.9336
159.183644 55.042 -127.7115
160.337154 55.566 -167.8242
161.499023 56.844 161.6902
162.669312 58.079 139.0762
163.848081 58.768 120.5963
165.035392 58.783 106.8207
166.231306 58.456 101.3809
167.435887 58.562 105.5757
168.649196 59.584 111.9718
169.871298 61.147 113.8065
171.102255 62.754 111.2216
172.342133 64.210 106.3140
173.590995 65.454 99.6218
174.848907 66.394 90.9739
176.115934 66.975 81.5542
177.392143 67.255 72.9149
178.677599 67.315 64.9613
