* Measurement data measured by REW V5.31
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Apr 21, 2024 7:33:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A plus B A = screen-p2-src B = A plus B 
* Measurement: screen-p2-lrss
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10.093689 66.961 -69.1849
10.166832 67.075 -70.8350
10.240505 67.213 -72.4725
10.314712 67.355 -74.1068
10.389457 67.500 -75.7474
10.464743 67.647 -77.4012
10.540575 67.800 -79.0579
10.616956 67.957 -80.7197
10.693891 68.114 -82.3932
10.771383 68.271 -84.0865
10.849437 68.429 -85.8029
10.928057 68.587 -87.5368
11.007246 68.743 -89.2849
11.087009 68.898 -91.0461
11.167350 69.050 -92.8292
11.248273 69.199 -94.6404
11.329783 69.345 -96.4643
11.411883 69.487 -98.2873
11.494578 69.624 -100.1110
11.577873 69.756 -101.9599
11.661771 69.883 -103.8122
11.746277 70.004 -105.6441
11.831395 70.120 -107.4491
11.917130 70.230 -109.2595
12.003487 70.335 -111.0548
12.090469 70.435 -112.8088
12.178081 70.532 -114.5127
12.266329 70.624 -116.1926
12.355216 70.714 -117.8368
12.444747 70.804 -119.4278
12.534926 70.895 -120.9576
12.625760 70.985 -122.4398
12.717251 71.079 -123.8820
12.809406 71.180 -125.2871
12.902228 71.287 -126.6332
12.995723 71.400 -127.9406
13.089895 71.523 -129.2433
13.184750 71.657 -130.5500
13.280292 71.802 -131.8269
13.376526 71.957 -133.1196
13.473458 72.122 -134.4773
13.571093 72.299 -135.8705
13.669434 72.485 -137.3004
13.768489 72.677 -138.8128
13.868261 72.873 -140.4303
13.968756 73.075 -142.1190
14.069979 73.278 -143.8927
14.171936 73.477 -145.7739
14.274632 73.675 -147.7626
14.378072 73.867 -149.8356
14.482261 74.049 -151.9809
14.587206 74.222 -154.2303
14.692910 74.384 -156.5618
14.799381 74.533 -158.9272
14.906624 74.666 -161.3502
15.014643 74.785 -163.8437
15.123446 74.889 -166.3380
15.233036 74.976 -168.8309
15.343421 75.047 -171.3650
15.454606 75.104 -173.8704
15.566596 75.145 -176.3260
15.679398 75.171 -178.7809
15.793018 75.186 178.8177
15.907460 75.191 176.4940
16.022732 75.185 174.2112
16.138840 75.172 171.9931
16.255788 75.155 169.8566
16.373585 75.135 167.7809
16.492234 75.114 165.7579
16.611744 75.094 163.7978
16.732119 75.075 161.8865
16.853367 75.059 159.9943
16.975494 75.047 158.1309
17.098505 75.038 156.2816
17.222408 75.030 154.4189
17.347209 75.024 152.5488
17.472914 75.016 150.6680
17.599530 75.006 148.7629
17.727063 74.992 146.8359
17.855521 74.971 144.9094
17.984909 74.943 142.9676
18.115235 74.907 141.0277
18.246506 74.863 139.1199
18.378727 74.810 137.2253
18.511907 74.751 135.3720
18.646052 74.686 133.5710
18.781169 74.616 131.8114
18.917265 74.545 130.1015
19.054347 74.473 128.4433
19.192423 74.402 126.8098
19.331499 74.333 125.2026
19.471583 74.265 123.6093
19.612682 74.196 122.0009
19.754804 74.125 120.3846
19.897956 74.047 118.7599
20.042144 73.960 117.1077
20.187378 73.860 115.4788
20.333664 73.744 113.8745
20.481010 73.610 112.3263
20.629424 73.460 110.9154
20.778913 73.294 109.6310
20.929486 73.121 108.5663
21.081150 72.946 107.7401
21.233912 72.787 107.1377
21.387782 72.651 106.8188
21.542767 72.556 106.6418
21.698874 72.514 106.5947
21.856113 72.526 106.5278
22.014492 72.594 106.2822
22.174018 72.707 105.8208
22.334700 72.848 104.9529
22.496546 73.004 103.7326
22.659566 73.149 102.0923
22.823766 73.274 100.0833
22.989157 73.358 97.8029
23.155745 73.397 95.2468
23.323542 73.383 92.6221
23.492554 73.315 89.8833
23.662790 73.196 87.2581
23.834261 73.032 84.6981
24.006973 72.834 82.3645
24.180938 72.614 80.2220
24.356163 72.388 78.3007
24.532658 72.167 76.5613
24.710431 71.962 74.8979
24.889493 71.775 73.2563
25.069853 71.602 71.4792
25.251519 71.431 69.5418
25.434502 71.247 67.3313
25.618811 71.029 64.9258
25.804456 70.761 62.2687
25.991445 70.424 59.5677
26.179790 70.009 56.8057
26.369500 69.507 54.2700
26.560584 68.919 51.9969
26.753053 68.253 50.2748
26.946917 67.527 49.1721
27.142185 66.762 48.9391
27.338869 66.005 49.5091
27.536977 65.284 51.0109
27.736522 64.643 53.1018
27.937512 64.095 55.6735
28.139959 63.643 58.3643
28.343872 63.263 61.0281
28.549264 62.935 63.5476
28.756143 62.629 65.9884
28.964522 62.335 68.4124
29.174411 62.045 70.9290
29.385821 61.763 73.6632
29.598763 61.495 76.6787
29.813248 61.253 80.0763
30.029287 61.060 83.9154
30.246891 60.939 88.1925
30.466073 60.930 92.8055
30.686842 61.052 97.4321
30.909212 61.307 101.7580
31.133193 61.659 105.3332
31.358797 62.052 108.0626
31.586035 62.432 109.9575
31.814921 62.745 111.3126
32.045465 62.979 112.5272
32.277680 63.140 113.9112
32.511577 63.275 115.8996
32.747169 63.449 118.5333
32.984469 63.717 121.6815
33.223488 64.121 124.9412
33.464239 64.644 127.7645
33.706735 65.244 129.9465
33.950987 65.874 131.4247
34.197010 66.506 132.4033
34.444816 67.145 133.0848
34.694417 67.814 133.5177
34.945827 68.539 133.6637
35.199059 69.326 133.1757
35.454126 70.150 131.7570
35.711041 70.968 129.2882
35.969818 71.728 125.7125
36.230470 72.381 121.1411
36.493011 72.898 115.8635
36.757455 73.262 110.1254
37.023814 73.465 104.1497
37.292104 73.516 98.2219
37.562338 73.430 92.6152
37.834530 73.233 87.4609
38.108695 72.955 82.8479
38.384846 72.626 78.8137
38.662999 72.272 75.3033
38.943167 71.909 72.1831
39.225365 71.540 69.3572
39.509608 71.160 66.7917
39.795911 70.771 64.5025
40.084289 70.384 62.5288
40.374756 70.019 60.8673
40.667328 69.705 59.3698
40.962020 69.458 57.7202
41.258848 69.266 55.5492
41.557827 69.092 52.5482
41.858972 68.883 48.5385
42.162299 68.581 43.4692
42.467824 68.134 37.3707
42.775564 67.493 30.2951
43.085533 66.615 22.2612
43.397749 65.454 13.1976
43.712227 63.961 2.8490
44.028983 62.087 -9.4843
44.348036 59.823 -25.6731
44.669400 57.375 -50.8844
44.993093 55.569 -93.8162
45.319131 55.382 -137.9813
45.647532 56.429 -162.5921
45.978313 57.736 -175.6240
46.311491 58.876 176.9379
46.647083 59.810 172.6800
46.985107 60.593 170.4542
47.325581 61.281 169.6409
47.668521 61.926 169.9233
48.013947 62.582 171.1352
48.361876 63.307 173.0946
48.712326 64.151 175.4799
49.065315 65.135 177.8197
49.420863 66.244 179.6042
49.778987 67.434 -179.5517
50.139706 68.649 -179.7882
50.503039 69.848 179.0152
50.869005 71.014 177.1454
51.237623 72.168 174.8880
51.608912 73.352 172.3194
51.982891 74.598 169.1684
52.359580 75.893 164.9030
52.739000 77.173 159.0370
53.121168 78.349 151.3958
53.506106 79.337 142.1489
53.893833 80.078 131.6648
54.284370 80.533 120.3995
54.677737 80.687 108.8621
55.073955 80.540 97.5820
55.473043 80.117 87.0870
55.875024 79.464 77.8504
56.279917 78.657 70.1965
56.687745 77.791 64.1965
57.098527 76.954 59.5253
57.512287 76.193 55.5978
57.929045 75.502 51.9305
58.348822 74.851 48.3437
58.771642 74.216 44.8498
59.197525 73.598 41.4291
59.626495 72.998 37.8958
60.058573 72.396 33.9935
60.493782 71.744 29.5767
60.932145 70.988 24.7350
61.373685 70.083 19.7064
61.818424 69.002 14.8011
62.266386 67.730 10.3064
62.717593 66.254 6.4752
63.172071 64.559 3.5960
63.629842 62.626 2.0618
64.090930 60.437 2.4958
64.555359 57.982 5.7296
65.023154 55.278 13.1992
65.494339 52.508 29.1347
65.968938 50.605 64.4294
66.446976 50.978 106.1111
66.928478 52.837 124.6548
67.413469 54.660 130.8483
67.901975 56.030 133.2086
68.394021 57.023 135.1982
68.889632 57.820 137.9168
69.388835 58.557 141.0768
69.891655 59.269 144.0351
70.398118 59.953 146.8110
70.908252 60.655 149.9728
71.422083 61.478 153.6418
71.939636 62.464 156.8661
72.460941 63.533 158.4300
72.986023 64.557 158.2032
73.514909 65.469 156.9680
74.047629 66.306 155.5493
74.584208 67.139 154.0827
75.124676 67.988 151.8920
75.669061 68.782 148.3262
76.217390 69.416 143.3332
76.769692 69.814 137.4856
77.325997 69.949 131.5042
77.886333 69.835 126.1149
78.450730 69.517 121.9282
79.019216 69.074 119.5431
79.591822 68.639 119.2855
80.168577 68.355 120.7375
80.749512 68.300 122.8713
81.334656 68.469 124.9349
81.924040 68.846 126.7617
82.517696 69.426 127.8786
83.115653 70.135 127.3572
83.717943 70.835 124.7393
84.324598 71.407 120.5264
84.935649 71.814 115.5499
85.551128 72.079 110.3501
86.171066 72.235 105.0864
86.795497 72.305 99.7877
87.424453 72.316 94.4837
88.057967 72.296 88.9745
88.696071 72.237 82.7466
89.338800 72.076 75.4145
89.986185 71.735 67.1075
90.638262 71.174 58.1713
91.295065 70.388 48.4755
91.956626 69.322 37.2144
92.622982 67.813 23.6293
93.294166 65.636 7.7316
93.970214 62.756 -9.9652
94.651161 60.169 170.9545
95.337042 59.870 140.5325
96.027894 60.982 127.7866
96.723752 61.906 119.2871
97.424652 62.426 114.2278
98.130631 62.657 111.4014
98.841726 62.710 110.2837
99.557974 62.700 110.6674
100.279412 62.712 112.0193
101.006078 62.813 114.0950
101.738010 63.092 116.7389
102.475245 63.609 118.8308
103.217823 64.313 119.0327
103.965782 65.095 116.8839
104.719161 65.856 112.2925
105.477999 66.488 105.1910
106.242336 66.876 95.9314
107.012212 66.939 85.4235
107.787666 66.649 74.7095
108.568740 66.018 64.5303
109.355474 65.046 55.3649
110.147909 63.720 48.1327
110.946086 62.093 44.4065
111.750047 60.344 44.5664
112.559834 58.621 46.7655
113.375489 56.924 51.0187
114.197055 55.444 61.2720
115.024574 54.890 78.9460
115.858089 55.640 93.4352
116.697645 56.872 96.0786
117.543284 57.747 91.3210
118.395051 58.144 86.0469
119.252990 58.451 84.2354
120.117147 59.086 84.3511
120.987565 60.044 82.4045
121.864291 61.079 77.5179
122.747370 62.053 70.7747
123.636848 62.949 62.8027
124.532771 63.749 53.3643
125.435187 64.374 42.1605
126.344142 64.739 29.7546
127.259684 64.839 17.3542
128.181860 64.755 5.7539
129.110718 64.566 -4.9952
130.046308 64.323 -14.8784
130.988677 64.059 -24.0759
131.937875 63.740 -33.2788
132.893951 63.266 -42.2090
133.856956 62.667 -48.8673
134.826938 62.205 -52.6379
135.803950 62.011 -57.4751
136.788041 61.755 -66.1228
137.779264 61.045 -76.3589
138.777669 59.748 -84.9731
139.783309 57.910 -89.6514
140.796237 55.787 -85.4595
141.816504 54.411 -60.8124
142.844165 54.994 -35.2198
143.879273 56.549 -28.5986
144.921881 57.927 -29.3080
145.972045 58.989 -30.4692
147.029819 60.172 -27.2510
148.095257 61.848 -22.1595
149.168417 63.735 -22.6633
150.249353 65.418 -28.7137
151.338121 66.755 -37.4512
152.434780 67.738 -47.5840
153.539385 68.374 -58.4165
154.651995 68.698 -69.1311
155.772667 68.756 -79.5361
156.901460 68.554 -89.5767
158.038432 68.137 -98.2515
159.183644 67.665 -104.9797
160.337154 67.291 -111.1562
161.499023 66.982 -118.7594
162.669312 66.525 -128.6840
163.848081 65.668 -139.7552
165.035392 64.325 -148.2990
166.231306 62.795 -150.6761
167.435887 61.623 -150.4836
168.649196 60.902 -154.5780
169.871298 60.249 -162.3077
171.102255 59.496 -171.0774
172.342133 58.750 178.2328
173.590995 57.969 161.6837
174.848907 56.761 137.7930
176.115934 54.748 108.6705
177.392143 52.185 74.8986
178.677599 51.508 -93.9972
179.972371 54.358 -134.6830
181.276525 57.831 -162.1027
182.590129 60.763 170.2631
183.913252 63.162 143.6455
185.245964 65.118 118.2910
186.588332 66.636 93.7152
187.940428 67.717 69.9294
189.302322 68.387 46.6993
190.674085 68.633 23.2007
192.055788 68.406 -1.2620
193.447503 67.654 -27.3884
194.849303 66.359 -56.3698
